🔴 Przed jamnikiem uderz czołem, jamnik górą chociaż dołem | LIVE #2
🔗 https://www.youtube.com/watch?v=n62fW7lX9yc

1:  Witajcie serdecznie na drugim livestreamie w trybie Q&A.
6573:  Dziękuję za trybucie, Eryman.
6574:  Za trybut, Eryman.
6575:  Dlaczego nie umiem odmieniać słów?
6578:  Radio istnieje, bo samochody.
6579:  Dokładnie tak, prawda?
6581:  Teraz zauważyłem Sandersona na półce.
6583:  Uuu, bystre oko, bystre.
6584:  Tak, jest, jest Sanderson.
6585:  Tam lśni.
6586:  Czytałem coś więcej, niż za film Burzowego Świata.
6588:  Pewnie.
6589:  Czytałem różne rzeczy z Kosmir, ale też czytałem na przykład jego serię Young Adult, zaczynającą się od tomu Stalowe Serce.
6595:  Nie wiem, czy ona też jest częścią Kosmir.
6597:  Sanderson się zarzeka, że tak.
6599:  Ja nie znalazłem tam dowodów na to, zbyt wielu, ale może tak jest, może to jest kolejny z odprysków.
6604:  W każdym razie uwielbiam, bardzo mi się podobało.
6607:  Detroit Become Human jest też na liście do ogrania, ale przyznam się, że jeżeli chodzi o gry Quantic Dreamu, to oglądałem wszystkie po prostu na YouTubie, ale w wielu playthrough.
6616:  Nie wiem, czy to się liczy jak rozegranie, ale umówmy się, to są interactive movies, czyli filmy interaktywne.
6623:  Więc myślę, że jestem rozgrzeszony.
6624:  Trochę.
6627:  Klątwa strada nieczytana.
6629:  Miałem okazję zagłębić się w manifestacje i prawo przyciągania wszechświata.
6633:  Ostatnio popularny temat.
6634:  Jeśli popularny, to na pewno tego nie zrobiłem.
6636:  Żartuję.
6638:  Co sądzę o ewangelizacji?
6639:  Tomasz Kolbe pyta.
6640:  Przez gry wideo prowadzonej przez ojca Adama Szustaka.
6643:  Pałam dużą sympatią do ojca Szustaka, chociaż prawdopodobnie byśmy się w wielu obszarach nie zgodzili.
6648:  Zaimponował mi bardzo przyjęciem zaproszenia do imponderabiliów Paciorka.
6653:  Bardzo mi się to spodobało i słuchałem z zaangażowaniem tej rozmowy i też bardzo mi się podoba, że jest to otwarty człowiek, który różni się od wielu innych 99%, to znaczy przedstawicieli Kleru w Polsce.
6672:  Dlaczego na półkach mam same grube tomiszcza?
6674:  Ponieważ ja czytam głównie fantasy, a fantasy się sprzedaje w grubych tomach, ponieważ ludzie to chcą czytać, w odróżnieniu od plugowego mainstreamu.
6682:  Cieszę się, że motywuję do wciągnięcia się w książki Ursuli Le Guin albo Le Guin, jak kto woli, tylko naprawdę nie zaczynajcie od Czarna Księżnika z archipelagu, który został pretensjonalnie przetłumaczony przez Barańczaka.
6692:  Tylko dajcie na przykład szansę któremuś z mniej znanych światów.
6695:  Na przykład, nie wiem, Światy Rokanona albo Planeta Wygnania czy Miasto Złudzeń z cyklu Hainickiego.
6700:  To jest zupełnie inna Leguin.
6703:  Akutagawa Nieznana.
6704:  Steampunk czy Cyberpunk?
6705:  Absolutnie Steampunk, bez wahania.
6707:  I nie mówimy w tym momencie o grzenie, tylko mówimy w ogóle o settingu.
6710:  Dziękuję Igorze za trybut.
6711:  Jakie uczucie co do zbliżające się Dune'y.
6713:  Jestem tak nachajpowany, że...
6715:  boję się i drżę o to, bo już byłem nachypowany tak ostatnio na jedną rzecz i to był Cyberpunk CD Projekt Red, więc się strasznie boję, ale Denis Villeneuve'a bardzo szanuję, zwłaszcza go szanuję za film The Arrival, który uważam, że jeżeli ktoś z was tutaj na czatach nie widział filmu The Arrival, na podstawie zresztą znakomitego opowiadania i chyba to było opowiadanie Tyda Chianga, ale nie pamiętam tytułu, to obejrzycie film The Arrival.
6737:  On pięknie dekonstruuje podział między humanistami a ścisłowcami, a to jest coś, czego bardzo potrzebujemy.
6742:  w Polsce.
6743:  StomDragon pyta, jaka szkoła magii.
6744:  Come on!
6745:  Odpowiem na to emoji, dobrze?
6746:  Gdzie jest moje emoji?
6747:  Odpowiedziałem na to emoji.
6750:  Co sądzę o Braciach Strugackich?
6752:  O, dawno czytałem.
6753:  Trudno mi powiedzieć w tym momencie.
6755:  Poza tym, że to jest klasyka, którą znam i warto znać, to mam wrażenie, że moje zdanie byłoby takie samo, jak o twórczości Lema.
6762:  To znaczy, bardzo cenię i wiem, że ma wartość historyczną, ale nie jest to pierwsza rzecz, którą bym polecał ludziom, którzy się zagłębiają w fantastykę.
6768:  To jest po prostu trudne.
6769:  Kazuo Ishiguro bardzo szanuje za powieść Never Let Me Go, nie szanuje za tchórzliwe wypowiedzi po otrzymaniu Nagrody Nobla o tym, że jego twórczość nie jest twórczością fantasy, co jest o tyle zabawne, że właśnie jako taka była interpretowana przez pokolenia literaturoznawców i właśnie Kazuo Ishiguro poznałem na konferencjach Utopian Studies Society i jako właśnie autora Never Let Me Go.
6791:  Potem obejrzałem film, więc strasznie mnie to rozczarowało, co zrobił.
6794:  O, maszyna różnicowa Gibsona.
6796:  Piękne klasyki cyberpunka padają na czatach.
6799:  Dieselpunk jest dość niszczony, bardzo mnie barwi nazwa.
6803:  Wiesz, te różne punki, nie?
6805:  Znaczy, Dieselpunk, Sandalpunk, czyli, nie wiem, fantastyka sandałowa, to byłby chyba Assassin's Creed Origins.
6813:  Denerwują mnie te nazwy, a Dieselpunk mnie bardzo bawi od strony settingu i logiki jego.
6818:  To znaczy, bear with me, niedźwiedź ze mną, kończą się wam wszystkie zasoby ropy naftowej na świecie, tak?
6823:  Ale wszystkie!
6825:  Wszyściusieńkie!
6827:  Co robimy?
6828:  Dopalamy nasze samochody i brum, brum, aż po horyzont palimy resztki tej ropy naftowej.
6835:  Tak, to jest w tym skądinąd fantastycznym filmie pod tytułem Mad Max Fury Road.
6841:  No nie ma w tym żadnej logiki, ale i tak lubimy dieselpunk za to, nie?
6845:  To jest taka love-hate relationship.
6847:  Lema można czytać parę razy i wyciągać inne rzeczy za każdym podejściem.
6851:  To jest prawda i umiem zrozumieć ludzi, którzy lubią Lema, sam go lubię, ale z wyłączeniem tych humoresek lemowskich.
6857:  Uważam, że dużym błędem jest to, że Lema się poddaje w szkołach jako autora bajek robotów, no bo właśnie później pamiętamy te jego różne satyryczne pomysły, czy w cyberiadzie i tak dalej, a dla mnie Lem lśni w takich rzeczach jak niezwyciężony.
6872:  Czy kojarzę serię Dishonored?
6873:  Kocham serię Dishonored.
6876:  TranPunk czasem jest też nazywana WhalePunk.
6879:  Uważam, że Dishonored jest jednym z sztandarowych przykładów tego, w jaki sposób zarządzać rozwojem świata fantasy i zarazem bardzo dobrą franczyzą gier wideo.
6887:  To znaczy, odpalacie kolejna część gry, to jest kolejny region i zauważcie, to jest dokładnie to samo, co robi Genshin Impact, więc to jest strategia opłacalna.
6896:  I zauważcie również,
6897:  że to rewolucjonizuje nasze podejście do narracji seryjnych, bo w serialach mieliśmy cliffhanger'y, tak, żeby utrzymać uwagę widza.
6903:  O, o, o, już się tutaj ma coś zdarzyć, już się, a nie, następny odcinek, nie?
6907:  I zauważcie, że to jest też odzwierciedlone w warstwie muzycznej, trochę dłużej się na tym zatrzymam, jeśli pozwolicie.
6912:  Mianowicie w Suitsach to zwłaszcza widać, cały czas się odwołuję do Suits, dlatego że oglądam ostatnie sezony właśnie i tam za każdym razem, jak jest jakaś kwestia dramatyczna, to jest to taka muzyka, muzyka, muzyka, muzyka i urywa się.
6925:  To jest dokładnie ta sama strategia, którą na planie narracyjnym mamy w przypadku procedurali.
6930:  To znaczy, jest sobie jeden serialik, jakaś mikrofabułka, druga mikrofabułka, trzecia mikrofabułka, ale nad nimi jest linia fabularna, która się właśnie urywa w cliffhangerze po to, żeby przyciągnąć więcej widzów w następnym sezonie.
6941:  W grach wideo teraz, światotwórczych, robi się zupełnie coś innego.
6944:  Jest zamknięta całość fabularna, a to, co ma zainteresować gracza, to to, że
6948:  A, teraz będziemy mieli region Dendro w Genshin Impact, albo może będziemy mieli Pandyzję, albo którąś inną z Isles z Uniwersum Dishonored.
6962:  I to nas zaciekawia, nie to, co się stanie dalej z Korwem Attano.
6965:  Jeżeli chodzi o mnie, Korwo Attano mógłby nawet zginąć.
6967:  Chcę następnego bohatera, zainteresuje mnie on bardzo.
6970:  Dobra, wracam do pytań, bo strasznie się rozgadałem.
6974:  Co ci się nie podoba w poglądach Jordana Petersona?
6978:  Z Jordanem Petersonem mam ten jeden problem, że on bardzo dobrze wie, co sprzedać swojemu klientowi.
6987:  I mam wrażenie, że nie jest tak spójnym filozofem, za którego byśmy go chcieli uważać i dlatego ja uważam, że to jest raczej mówca i retor, coach w pewnym sensie, trener personarny, ale nie jest to filozof.
7000:  W tym sensie, że filozof by częściej...
7005:  stawiał wyzwanie swoim własnym poglądom, a niestety Peterson operuje na pewnych aksjomatach.
7010:  I pamiętajmy też, na czym Peterson zbudował całą karierę, to znaczy na sprzeciwie wobec bardzo konkretnej praktyki, którą zgeneralizował, więc
7019:  to mi się nie podoba w jego poglądach, co nie oznacza, że uważam wszystkie za nieistotne.
7024:  Mam dokładnie tak samo ze Slavojem Žižkiem.
7026:  Dlatego ich debata jest genialna, to jest coś, co powinien każdy, kto jest łasy na pokarm intelektualny, zobaczyć.
7035:  Jest na YouTubie debata Žižek-Peterson i podobała mi się ona dlatego, że właśnie wyszło z niej, że Žižek gra dokładnie na takich samych nutach i też mówi bardzo często to, co jego fani chcą usłyszeć.
7048:  Douglas Adams jest Doug Gently na Netflixie.
7050:  Wspaniałość absolutna.
7051:  Uwielbiam Douglasa Adamsa.
7052:  Oczywiście też pamiętajmy o klasycznym autostopie przez galaktykę.
7056:  The Medium Observer będzie ogrywany na kanale.
7058:  Nie wiem, co będzie ogrywane na kanale.
7059:  Na razie jest Wiedźmin, na razie jest Warhammer.
7061:  Może Wiedźmina coś zastąpi, ale pamiętajmy, że jeszcze Mass Effecta mamy zaległego.
7065:  Czy mam jakąś listę anime?
7066:  Nie, nie, nie.
7066:  Nie mam żadnych list.
7070:  Co bym powiedział o tym, jakby wprowadzono live action roleplaying do szkół?
7073:  Myślisz, że realnie to się da zrobić?
7075:  Nie sądzę.
7078:  Czy polecam jakieś urban fantasy?
7080:  Poza Leigh Bardugo poleciłbym Philippa Pullmana, myślę.
7087:  Tak, to znaczy, oczywiście mowa o His Dark Materials, czyli czymś, co zostało po polsku przetłumaczone jako Mroczne Materie, trochę bez sensu.
7098:  Na który film czekam najbardziej z nadchodzących?
7101:  Duna, Spider-Man czy Doctor Strange?
7104:  Nie no Duna, bez wahania.
7105:  Potem idzie Doctor Strange, potem Spider-Man, do którego mam stosunek neutralny całkowicie.
7112:  Jak żyć, jak się nie wie, co robić po skończeniu szkoły?
7116:  Wiecie, co nie wiem, bo ja nigdy nie miałem takiej sytuacji, żebym nie wiedział, co chcę zrobić.
7120:  Zawsze mam coś, co bym chciał zrobić.
7125:  Więc zrobić wtedy należy przegląd swoich zainteresowań i wyobrazić sobie, że będziemy robić w życiu to, pracować tak, czym się interesujemy, a potem w drugiej kolumnie w swoim mózgu wyobrazić sobie scenariusz alternatywny, że robimy to, czego najbardziej nienawidzimy, po czym wybrać tę pierwszą opcję, bo to jest taki test dobry.
7146:  Wyobraźcie sobie najgorszy dzień, kiedy jesteście chorzy,
7149:  Macie pełnoskalową depresję i nie taką depresję, jak to się mówi, tylko kliniczną depresję, nic wam się nie chce, ale musicie pracować.
7157:  I co wtedy chcielibyście robić?
7159:  I jeżeli wtedy jesteście sobie w stanie wyobrazić jedną rzecz, którą byście zrobili, dla której byście wstali z łóżka, to, to należy robić w swoim życiu.
7171:  Black Cover nie widziałem.
7174:  A, anime, które obejrzałem, nie robię takich list.
7177:  Ja jestem zbyt chaotyczny do robienia list.
7179:  Wiecie co, wiele razy… O, na przykład pokażę wam, żeby nie było.
7184:  Kupiłem sobie taki śliczny notesik, tak?
7188:  śliczny notesik, będę sobie piórem w tym notesiku pisał rzeczy, które się sprzedażyły mi albo które zrobiłem, albo o, zanotuję sobie, które whisky wypiłem i które mi smakowały, albo jakie cygara lubię, o, może to ma być dobre, albo jakieś książki, które przeczytałem.
7204:  Wiecie, ile stron zapisałem w tym notesiku?
7207:  Nie, przepraszam, jedną.
7209:  Bo jest na niej jedno whisky, które mi smakowało, już sobie tam zapisałem raz.
7214:  Ja nie umiem prowadzić list, ja nie jestem zbyt chaotyczny, żeby coś takiego zrobić.
7221:  Kroniki Żelaznego Druida.
7223:  Uuu, też mi nieznane absolutnie.
7224:  Picory didn't happen.
7226:  Jest gdzieś tamto.
7227:  Nie chce mi się tego teraz szukać.
7229:  Duży notesik, dużo jest miejsca tam.
7232:  Tak, popalam cygara, ale rzadko.
7233:  To jest taki mój rytuał mały, który mam.
7236:  Tak samo jak chcę zrobić sobie samemu przyjemność.
7238:  To nie jest tak, że to jest jakaś rzecz, którą muszę robić, tak jak to bywa z uzależnieniami, nie?
7245:  Ja generalnie jestem zwolennikiem korzystania z różnych uciech życia, wtedy, kiedy tylko jest taka możliwość.
7250:  I uważam, że nie powinniśmy sobie ich odmawiać.
7252:  Jeżeli chodzi o ulubioną whisky, to chyba aktualnie będzie Bunahaben, bo ją bardzo często piję, ale najlepsza to jest Lagavulin chyba, tak mi się wydaje.
7260:  Zrazam się tutaj z Brianem Coxem, który dla The Esquire kiedyś powiedział, że Lagavulin jest jego ulubioną whisky, bo to jest tak zwana whisky koniakowa, czyli jest przechowywana w beczkach po koniaku.
7271:  Ulubiony typ jamnika.
7272:  Tak, jamnik krótkowłosy, czyli ten z taką połyskliwą sierścią.
7279:  Brązowy, czekoladowy brąz albo kruczoczarny.
7284:  Może być podpalany, ale niekoniecznie.
7287:  Długie, lśniące uszy, nos i te kurwiki w oczach, które mają wszystkie jamniki.
7292:  To jest idealny jamnik, absolutnie.
7294:  Fantazy z wampirami.
7296:  Fantazy z wampirami.
7298:  fantasy.
7302:  Nie wiem, czy Regis u Sapkowskiego podpada pod to, ale jeżeli chodzi o fantasy z wampirami, to... A może być Castlevania?
7309:  bo chyba to mi się najbardziej podobało.
7311:  Ja nie lubię generalnie żywiona narracji o wampirach, zwłaszcza takich, które połyskują, ale Castlevania mnie kupiła w pełni.
7317:  Witamy Janko, muzykanta w gronie Trybutariuszy.
7319:  Bardzo dziękuję.
7322:  Cykl magów prochowych i follow-up w postaci tej drugiej trylogii, tłumaczonej przez Krzysztofa Sokołowskiego, swoją drogą, znakomicie.
7330:  Bardzo lubię i bardzo polecam.
7332:  Znakomita rzecz, niesłychanie oryginalna.
7338:  Fantazy z wampirami, to o wampirach pili piłka polecacie, no proszę.
7343:  Vampire the Masquerade, och, to była gra, na którą czekałem i to bardzo czekałem na nią.
7349:  Vampire the Masquerade Bloodlines 2 miało wyjść oto w tym roku i niestety nie wyszło.
7354:  Miłość do jamników z dzieciństwa.
7355:  Zamieszkła historia, znajdziecie ją na początku streamu.
7358:  Jakuba Momonta również witam z radością w gronie trybutariuszy.
7362:  Miałem Dobermana czarne podpalane.
7363:  Może być jako większa wersja jamnika?
7367:  Tak, tak, tak, wyrośnięty jamnik.
7369:  Na długich nogach.
7370:  Czy oglądałem wywiad z wampirem?
7371:  Tak, nawet zdarzało mi się czytać powieści Anne Rice.
7375:  Natomiast od razu mówię, bo widzę, że to pytanie możesz zmierzać na horyzoncie, to znaczy Twilight.
7381:  Wiem, że coś takiego istnieje, podczytywałem, widziałem ekranizację.
7387:  Nie rozumiem fenomenu, ale ja generalnie nie lubię romansów paranormalnych.
7390:  To nie jest moja filiżanka herbaty, ale bardzo nie lubię ludzi, którzy potępiają to w czambuł.
7400:  Co sądzę o środowisku redpillowców?
7403:  To może musicie mi wyjaśnić, bo ja nigdy nie wiem, już każdy mi tłumaczył, jaka jest różnica między blackpill, redpill i tak dalej, ale nigdy nie jestem w stanie tego zapamiętać.
7410:  Poza moimi osiągnięciami intelektualnymi i memoryzacyjnymi.
7417:  JoJo's Bizarre Adventure, jestem na pierwszym sezonie cały czas i bardzo szanuję to, co tam się dzieje narracyjnie, poleciła mi to moja dyplomatka, którą serdecznie pozdrawiam.
7425:  I nie żałuję tego polecenia, absolutnie.
7428:  I tam faktycznie, tam są dobrze przedstawione wampiry, macie rację absolutnie.
7433:  Co sądzę o podgatunku jakim jest Heart, Science Fiction i książka typu Problem Trzech Ciał z Xixin Liu?
7438:  No, czytałem, czy Xixin, nie wiem jak się, ja nie wiem jak się czyta po chińsku, przepraszam.
7443:  Problem Trzech Ciał czytam dzięki Filipowi z Bez Schematu, którego
7448:  Nie przestaję się dla niego powoływać, dlatego że też bez schematu nie ukrywam, też było dla mnie takim kanałem, o którym bardzo się inspirowałem przez długi czas i dalej go oglądam.
7458:  Nawet wspierałem przez jakiś czas na Patronite'cie.
7460:  I Filip powiedział mi... Słuchaj, ty musisz to po prostu przeczytać.
7463:  to czytać.
7464:  To jest coś, co ci rozwali mózg i faktycznie tak było.
7468:  I przyznam też, że to jest powieść, która staja opory, więc przedzieram się przez nią mozolnie i z szacunkiem dla autora, który ją napisał, ale jest to satysfakcja intelektualna gwarantowana dla wszystkich, którzy lubią tego rodzaju przygody, więc cenię hard science fiction.
7484:  Cenię przede wszystkim za ten wysiłek w przedstawianiu świata, który będzie spójny pod względem
7489:  Eee...
7515:  Nie lubię słowa incel bardzo.
7517:  Nie lubię generalnie kategoryzowania ludzi w taki sposób.
7522:  Nie lubię tego typu określeń.
7524:  Bo dla mnie to jest biopolityka, wiecie?
7525:  To znaczy polityka, która wyraża się w tym, że formułuje język ułatwiający segregowanie ludzi.
7532:  Od segregowania ludzi natomiast idzie...
7536:  No bardzo często jakaś przemoc symboliczna.
7538:  Od przemocy symbolicznej z kolei nie jest daleka droga do przemocy fizycznej.
7543:  Jacques Derrida, jeden z moich ulubionych filozofów, powiedział, dobrze pamiętam, że to on?
7547:  Tak, to chyba on, że nazywanie jest pierwszą przemocą.
7551:  I to jest dobry przykład tego, że nazywanie może być pierwszą przemocą.
7555:  Nie muszę tego...
7557:  nazywać, żeby na przykład skrytykować kogoś, że robi coś źle albo niezgodnie z moim światopoglądem.
7566:  Czytałem puste pudełko?
7567:  Nie, nie czytałem.
7569:  Z problemem trzech ciał jest taki problem, problem z problemem trzech ciał, follow up, że nie został przełożony z chińskiego na polskie, z angielskiego na polski, naprawdę to jest podstawowy błąd w sztuce przekładowej, nie wolno takich rzeczy robić, zawsze się tłumaczy z języka oryginalnego.
7584:  Co skłoniło mnie do prowadzenia kanału na YouTubie?
7586:  O proszę, jeszcze nie odpowiadałem na to pytanie, co dziwne.
7590:  Ale to jest ciekawa historia.
7592:  Ja jestem bardzo pragmatycznym człowiekiem.
7595:  Nie robię nic w życiu, czego nie chcę i nie robię niczego, do czego musiałbym się zmusić i nie lubię robić czegokolwiek, co mi ktoś poleci robić.
7601:  Dlatego sprawdzam się na etacie naukowo-dydaktycznym, gdzie jest nienormowany czas pracy.
7606:  Nikt mi nie każe pracować 8 godzin.
7607:  Generalnie wszystko jest w obszarze raczej debaty i dyskusji i negocjacji, a nie rozkazu służbowego.
7613:  I tu jest podobnie.
7614:  To znaczy, jak była pandemia, no to stwierdziłem, że muszę studentom dać najlepszą jakość tych zajęć, bo dobrze wiedziałem, jak to będzie wyglądało.
7622:  Zanim naukowcy zaczęli sobie pisać na kartce różne rzeczy, fotografować to, kazać drukować studentom i przesyłać zadania w ten sam sposób, dobrze wiedziałem, że to będzie.
7631:  Więc stwierdziłem, że ja będę miał inny.
7633:  I kupiłem sobie wtedy kamerkę, kupiłem sobie światło, powolutku to wszystko rozbudowywałem i mikrofon.
7638:  Wpierw jeden, a potem drugi.
7640:  I wtedy sobie pomyślałem, że...
7642:  Czemu by nie założyć kanału na YouTubie?
7644:  Ale to nie jest jedyna część i nie jedyna moja motywacja, to znaczy finansowo-sprzętowa, jest też druga.
7649:  Miałem taki zawsze zwyczaj, że na Facebooku rantowałem na różne tematy i później grono chmara moich znajomych się jak sępy zlatywała i...
7657:  No Krzysztof, ty się znowu wymądrzasz, coś takiego.
7659:  Stwierdziłem, że mam w końcu tego dość, bo na Facebooku każdy się wymądrza i konfrontuje w komentarzach i robi to w nieskończoność i w ten sposób ja zauważyłem, że to, na co ja chciałem zwrócić uwagę, ginęło pod lawiną komentarzy, w których najczęściej ludzie robili podstawowy błąd retoryczny, czyli fallatio accidentis, nie mylić z fellatio.
7679:  Fellatio accidentis to nie jest coś, co by się przydarzało często.
7683:  I falacja akcydencji polega na tym, że to jest błąd uwydatnienia przypadkowego szczegółu.
7687:  Moja babcia trafiła do szpitala, o jakiego koloru on ma ściany.
7691:  Ważniejsze jest to, że trafiła do szpitala.
7694:  I to samo jest bardzo często w dyskusjach internetowych.
7696:  Stwierdziłem, że zamiast żebym ja to pisał, zwłaszcza, że nie lubię pisać, to może zacznę mówić.
7702:  Tyle.
7703:  I to poszło, dlatego też odmawiam konsekwentnie poddawania się różnym trendom i tendencjom na YouTubie, bo po prostu robię to po swojemu w formie vlogowej.
7712:  Dobra, strasznie się rozgadałem, ale ostrzegałem zawsze, że będą dygresje.
7721:  Nie wszuflatkować ludzi, każdy ma swoje motywy, historie i marzenia.
7724:  Tak jest, jest takie amerykańskie powiedzenie, let him tell his story, pozwól mu opowiedzieć jego historię.
7729:  To jest to, zanim kogoś zaszuflatkujemy.
7734:  Czy lubię niesamowity świat Gambala?
7736:  Niestety nie znam.
7737:  Widzicie, to jest przepiękne też, bo ja się dowiaduję o mnóstwie rzeczy, które mogę poznać, a bywają takie chwile w moim życiu, że stwierdzam, że ja już w sumie tak dużo obejrzałem, przeczytałem i zagrałem, że nie wiem, co wziąć następnego.
7748:  I wtedy wchodzę na Discorda i przeglądam nasze dyskusje, więc to też jest taka subtelna aluzja, że jak nie jesteście jeszcze na Discordzie, to się tam zapiszcie, bo są fajni ludzie i fajne dyskusje.
7758:  A mnie jest też łatwiej zapamiętać wtedy różne polecajki.
7761:  Trzy ulubione książki Lema.
7762:  Niezwyciężony, Kongres Futurologiczny i Eden.
7769:  A, może studiów już mi wypomina, że wspominałem, że przez zajęcia online na TED Talku zacząłem kanał na YouTubie.
7777:  No widzicie, ja absolutnie nie pamiętam tego, co powiedziałem na swoim TED Talku.
7782:  To jest straszne.
7783:  Czy Creatio Fantastica zawiesiło działalność?
7785:  Pyta Filip.
7787:  Piąty cios w moje krwawiące już serce.
7790:  Tak, niestety zawiesiło z uwagi na fundację, która je wydawała i która w którymś momencie przestała chcieć je wydawać.
7795:  Dostałem takie urocze pismo, że
7797:  Z uwagi na opóźnienia wydawnicze, Creatio Fantastica nie będzie wydawana, no więc jak straciliśmy osobowość prawną, to ja nic nie jestem w stanie zrobić.
7806:  Mógłbym odzyskać prawo, ale mi się nie chce i wydawać to dalej.
7809:  Na pewno to wróci.
7811:  Creatio Fantastica nie bez powodu miało swoim logo Feniksa, bo się odradzało z popiołów, ale żeby się odrodziło z popiołów, ja będę musiał mieć na to czas i siły i chęci.
7819:  No i teraz już pieniądze, bo przekonałem się, że prowadzenie czasopisma naukowego bez zaplecza finansowego jest bardzo skomplikowane.
7827:  bo jest bardzo dużo różnych wydatków, które są niespodziewane.
7832:  Nie mowa o wielkim zapleczu finansowym, ale po prostu mam dość już finansowania tego z własnej kieszeni, bo co zabawne, Fundacja wydawała nas tylko i wyłącznie delegę, bo de facto ja płaciłem za wszystko z własnej kieszonki.
7843:  Czy oglądam Lucyfera na Netflixie i co o nim sądzę?
7845:  Uwielbiam Lucyfera na Netflixie, uwielbiam Toma Elisa.
7848:  Wiem, że zdarzały się ludzie, którzy to krytykują, bo to procedural dedektywistyczny, ale Tom Ellis ma w sobie taki urok, że kupuje mnie w 100%.
7856:  Czy myślałem nad robieniem podcastu albo wrzucaniem vlogów jako podcasty?
7859:  Tak, ale bardzo wstecznie, to znaczy ja mogę sobie ekstrahować plik dźwiękowy i to wrzucić na Spotify'a, ale muszę ogarnąć jakiś survey RSS-a, obiecywałem, że to zrobię, ale to okazuje się strasznie skomplikowane.
7872:  Co sądzę o funkopopach?
7873:  Nie wiem, o czym mówisz.
7874:  Jak szybko czytać?
7875:  Dużo czytać i wtedy zaczniesz czytać szybko, nie ma innej drogi.
7878:  Nie robiłem nigdy kursu szybkiego czytania, a ponieważ byłem zmuszony także z uwagi na to, co robiłem, znaczy recenzowałem powieści do tego, żeby się nauczyć szybko czytać, no to się nauczyłem szybko czytać i to po prostu jest jedna prosta technika szybkiego czytania, znaczy opuszczasz to, co wiesz, że jest nieinteresujące dla ciebie, tak mi się wydaje.
7895:  Wiem, że tak, tak, że są takie, że tutaj patrzysz na środek strony i ci się rozbiegają oczy, bla, bla, bla, bla, bla.
7900:  Prawda jest taka, że szybkie czytanie zawsze się sprowadza do tego, że człowiek już przewiduje czego się spodziewać w dialogu na przykład jakimś, więc w takim dialogu się czyta koniec tego dialogu, aha, okej, dlatego zmierzają.
7912:  Albo jest jakiś opis, nie interesuje nas, dalej lecimy.
7916:  W ten sposób się szybko czyta.
7918:  A oprócz tego oczywiście dochodzi to do tego to, że w momencie, w którym szybko czytacie, coraz szybciej łączycie ze sobą słowa w zdania i w okresy składniowe i to tak leci.
7927:  Sądzę o programie z WOS-u i EDB, nie mam pojęcia, co to jest EDB, błagam, edukacja do bezpieczeństwa, ach, to jest to edukacja dla bezpieczeństwa, jest to idiotyczne słowo.
7939:  Wyrzucić, to jest nikomu niepotrzebne do niczego.
7943:  Może, nie wiem, w formie jakichś zajęć pozaszkolnych, przeciążanie grafiku jest bezsensowne moim zdaniem.
7950:  Kiedy planuję nadrobić Dark?
7951:  Oj, chciałbym, chciałbym.
7954:  Nie wiem, prawdopodobnie po Expanse, bo wydaje mi się, że Expanse ma większy priorytet.
7957:  Jeszcze raz popytam o 365 i 50 twarzy.
7960:  Jestem ciekawa, bo to się dobrze sprzedaje.
7962:  Mówisz, Anno, o 365 dniach i 50 twarzach Greya, tak?
7968:  Oglądałem jedno i drugie w formie filmowej.
7970:  365 dni to jest typowy przykład promowania kultury gwałtu i uważam, że to się powinno zbawić.
7978:  zbanować i tyle, i nie pokazywać się tego nigdzie.
7983:  A with the shades of grey to jest ten niewinny romans.
7987:  Ja, jeżeli chodzi o romanse, nie mam nic przeciwko.
7989:  Mają bardzo duży rynek zbycia.
7991:  Są ludzie, którzy czytają nałogowo romanse i oglądają nałogowo romanse.
7994:  Najwyraźniej jest jakieś zapotrzebowanie na to, nie?
7998:  Maku Baksik poszpanuje, że od pierwszego odcinka gry o Tron domyślał się, kto na koniec zostanie królem królową.
8003:  Ja nie spodziewałem się, że będzie to braniec-połamaniec.
8009:  Czy był oglądany Dexter?
8010:  Oczywiście, że był oglądany Dexter.
8012:  Będzie nowy sezon?
8013:  Serio?
8014:  Nie wiedziałem, ale mnie zaskoczyliście.
8019:  Na EDB miałam kurs pierwszej pomocy, pisze White Zombie.
8022:  To dobrze.
8023:  Znaczy wiecie, nie trzeba wprowadzać przedmiotu, żeby był kurs pierwszej pomocy.
8026:  Nie bez powodu nazywaj się kursem.
8030:  Więc wiecie, bardziej mi się podoba kurs pierwszej przemocy niż fetyszyzowanie wojny, które było z udziałem moim na przykład na lekcjach, to wtedy się nazywało przysposobienie obronne, które mieliśmy z byłym wojskowym, to był koszmar absolutny.
8043:  Lubiony lud ze świata lodu i ognia.
8046:  Ten, który zawsze spłaca swoje długi oczywiście.
8048:  Ha, ha, ha.
8049:  Uwielbiam.
8050:  Tywin.
8051:  Och, kocham tę postać absolutnie.
8054:  Dexter wraca w fantastyczną wiadomość.
8056:  Autorka 365 dni może się określić jako feministka, tak samo jak połowa polskich feministek nawet nie siedziała koło feminizmu.
8063:  Polski feminizm jest najgorszym reklamą feminizmu akademickiego tak zwanego i wszystkich trzech fal feminizmu, jakie zrodziła ta planeta.
8070:  Przecież...
8072:  Jakbyście mieli wymienić polskie feministki, to zaczniecie, nie wiem, Kazimiera Szczuka i Magdalena Środa.
8077:  Już jesteśmy w bardzo złym towarzystwie.
