🔴 Studzimy nasz zapał, dmuchając na zimne | LIVE #14
🔗 https://www.youtube.com/watch?v=WL6pr7S-N1I

90:  Dziękujemy.
6819:  Dlaczego ludzie patrząc na Gwiezdne Wojny mówią, to jest science fiction, jak to jest fantasy?
6824:  Najczystsza narracja fantasy, jaką sobie jesteśmy w stanie wyobrazić.
6828:  Ale estetycznie, pod względem czystej estetyki, jest to niewątpliwie uniwersum futurystyczne.
6834:  Dlatego też tego rodzaju połączenia są najciekawsze.
6836:  Zresztą Warhammer 40k jest najlepszym przykładem tego, jak wiele można elementów tam wsadzić.
6841:  high fantasy, dark fantasy, gothic fantasy, new weird, cyberpunk jak najbardziej, technopunk, boże, art deco ile jest w Warhammerze 40k, wszystkie te elementy, high fantasy również, horror, dystopia z Hive Cities, wszystko tam macie.
6863:  Dlatego w takim uniwersum każdy coś na siebie znajdzie, prawda?
6869:  93smok dziękuje serdecznie za dołączenie do grona Trybutariuszy i dziękuje Mikasa za trybut.
6873:  Uff, a się rozgadałem.
6876:  Cities Skylines lepsze od SimCity?
6878:  Znaczy jest dobre, bo w Cities Skylines jesteśmy w stanie, przypominam, stworzyć taki wielki, gigantyczny rezerwuar, w którym będziemy gromadzić kału z całego miasta.
6888:  w momencie, gdy zgromadzimy wystarczająco dużo kału z tego całego miasta, to rzeczony kał zgromadzony i piętrzący się w wielkiej, w wielkiej objętości nad miastem, może zostać uwolniony, tak?
6901:  W tej słynnej scenie we Władcy Pierścieni, tym prawdziwym, to znaczy Petera Jacksona, jak Ent mówi RELEASE THE RIVER!
6909:  BREAK THE DAM!
6912:  No i tutaj też możecie przerwać tamę i
6916:  I wypuścić.
6917:  Ale nie rzekę, która ma obmyć Isengard z obręb mierzłości, tylko możecie wypuścić cały kał na miasto.
6924:  I tak się robi w Cities Skylines.
6928:  To jest przepiękne.
6930:  Widzę, że ludzie stwierdzili, że mówię o krowie od dłuższego czasu.
6933:  Tak.
6934:  Ilfi pisze, że nie słyszała Art Deco w grach?
6941:  Proszę bardzo.
6942:  Od razu.
6944:  Nawet jak sobie to wpiszesz,
6947:  O!
6948:  O!
6948:  Nawet jak sobie to wbijesz w Googlach, to dostaniesz od razu przykłady referencji wizualnych, które pokazują ci, jakie elementy Art Deco masz w Bioshocku.
6958:  To jest Art Deco stylistycznie.
6962:  I faktycznie było bardzo silnie, Bioshock był inspirowany tym stylem, więc jeżeli ktokolwiek kiedykolwiek chciał zrobić sobie coś na temat, nie wiem, jakąś prezentację czy esej na temat Art Deco, no to fantastycznym przejawem tego jest Bioshock właśnie.
6975:  Świetna swoją drogą seria.
6979:  Kaos zgromadzony to prawie tak jak Atlas utracony.
6982:  O Boże.
6985:  Krzysztof, nie tak się gra w te gry.
6986:  Nieprawda, nieprawda.
6988:  Jak patrzę na wycięcia adblocka z Chroma, pisze Adgramer, ojojo i zapowiedzenie kolejnych przeglądarek do podobnych rzeczy.
6994:  Ja najwyżej sobie zrobię swoją instancję przeglądarki, powiedział Dad Grammer, tu jest programisto i może mieć na to wyjebane.
6999:  Niestety my nie możemy.
7000:  Dla mnie to jest bardzo duży problem, ponieważ ja osobiście używam AdBlocka higienicznie.
7004:  To znaczy uważam, że AdBlock pełni dokładnie taką samą funkcję jak, nie wiem, kondom albo jak maseczka.
7010:  Czyli w jednym i w drugim przypadku chodzi o to, żeby cudze flukta i zarazki nie dostawały się do naszych jakoś przesadnie, prawda?
7017:  Tak myślę?
7018:  I żeby samemu swoimi fluktami innych nie...
7020:  borykać, więc czasami jest tak, że jak, nie wiem, musiałbym wejść w tym momencie na stronę, ja może to zrobię, tak, żeby wszyscy ludzie, którzy uważają, że to jest piractwo czy coś takiego, przepraszam, by sobie weszli na stronę, na przykład, o, gram.pl jest taką jedną ze stron, która świetnie pokazuje, dlaczego potrzebujemy adblocków, tak, czy zwłaszcza w wersji mobilnej.
7039:  To znaczy wejdę na dowolny artykuł na gram.pl, dowolny w tym momencie i będę liczył dobrze, to znaczy, o, wchodzimy sobie na gram.pl bez adblocka,
7049:  Pierwsza reklama, druga reklama już się pojawiła, od razu pod nią, bo wiecie, na wypadek, gdybyście nie zobaczyli, pierwsza jest druga, na dole jest belka, to jest trzecia reklama, tu jest czwarta reklama, na wypadek, o przepraszam, piąta reklama, która się odtwarza, nawet mimo, że nie kliknąłem, już się odtwarza, tu jest następny...
7067:  przygotowany już, taka przestrzeń na reklamę, więc też ją liczę.
7071:  Potem mam kolejną reklamę, biurek stojący, wiem, że mam już biurko stojące, kupiłem je dawno temu, ale algorytmy są genialne.
7077:  Tu mam na wszelki wypadek, widzicie, tutaj macie moją miniaturkę, przepraszam, reklama, na dole zmieniło się, na belce jeszcze jest inna reklama, o, jeszcze broken rank jest kolejna reklama.
7088:  I przepraszam najmocniej, ale to jest syf.
7092:  Jeżeli ktoś projektuje w ten sposób strony internetowe, jest syfiarzem.
7095:  Jest dokładnie taką osobą, która siedzi, nie wiem, w domu, nie sprząta od czterech miesięcy, śmierdzi.
7100:  Ja nie chcę do kogoś takiego przychodzić do domu, tak?
7103:  Nie chcę, żeby mi śmierdziało wokół mnie.
7105:  Więc jak ja używam adblocka, to po to, żeby mi nie śmierdziało.
7108:  Jeżeli by reklama była zrobiona w taki sposób, że dostaję artykuł i dostaję reklamę, a przepraszam jeszcze najmocniej, żeby to były dobre artykuły, ale nie są, ale jeżeli redakcja wycenia swoją...
7118:  osobogodzinę i pracę redaktorów w taki sposób, że musi pierdzielnąć 14 reklam w jednym tekście, to przepraszam najmocniej, ale ze względów higienicznych nie używać reklamy, ponieważ na przykład ktoś może mieć mały transfer internetu, używać tego na telefonie, cokolwiek, więc brakat bloku będzie koszmarem absolutnym.
7138:  Nie znoszę.
7139:  O, absolutnie, bardzo rel do tego, jak wyglądają miasta, pisze Puzia.
7143:  Teraz w Krakowie przyszła ustawa krajobrazowa, ja się zorientowałem, że w miejscach, które mijałem, tam jest w ogóle jakiś park, tam jest świat, o, jakiś budynek tam był zabytkowy, bo wcześniej były reklamy, wiecie, Januszeksów, tak?
7154:  Kup moje gwoździe!
7155:  Błagam, kup moje gwoździe!
7158:  I dostałem miliard reklam z gwoździami tymi samymi na całym rogu ulicy na wypadek, gdy bym przegapił, no bo wiecie, jadę tym samochodem, prawda?
7166:  I w związku z powyższym trzeba mi co jakiś czas dać gwoździe, gwoździe, gwoździe, gwoździe, że jak się przemieszczam, to cały czas widzę gwoździe z gwoździeksu jakiegoś Janusza.
7175:  Koszmar.
7175:  Kiedyś jechałem, nie wiem, jakąś zieloną szkołę, coś takiego, właśnie była taka genialna reklama, mianowicie ktoś stwierdził, że trzeba powiedzieć meble, ale wiele razy, żeby ludzie zapamiętali.
7187:  Opowiadałem już kiedyś tę historię, ale zakładam, że ktoś może nie znać, a jest dobra.
7191:  No i niestety ktoś wykleił to me i ble na...
7195:  tym, na oknach, tak?
7196:  Więc część okien była pootwierana, w związku z powyższym, jak ja sobie jechałem tym autobusem, to patrzyłem i widziałem meble, meble, ble, ble, ble, ble, ble, ble, ja właśnie w ten sposób postrzegam reklamy, zwłaszcza powtarzające się.
7208:  Dajcie mi jedną, dajcie mi jedną w jednym miejscu i będzie wszystko w porządku.
7212:  Nawet YouTube wymusza na mnie to, że wrzuca mi, jak ja tego nie sprawdzę, do filmu, I shit you not, z każdym dłuższym filmem tak mam,
7222:  jedną po drugiej reklamie, co 5 sekund.
7224:  Ja później przerzucam te reklamy na przykład na live'ie, żeby były co godzinę, tak?
7229:  Bo zdaję sobie sprawę z tego, że z jednej strony AdSense jest ważne, żeby utrzymywać kanał, ale z drugiej strony nie chcę, żeby tego było za dużo.
7236:  Ale mam możliwość jakiejś interwencji, a czasem nie mam możliwości interwencji, bo na przykład reklamy, które się wyświetlają przed i po, nie mam wpływu na to, jakie się wyświetlają.
7244:  Koszmar!
7246:  Więc używajcie adblocków!
7251:  Nikt nigdy na YouTubie, Krzysztof, używajcie adblocków.
7254:  Tak!
7257:  Och... To są pieniądze, pisze z Adgramem.
7260:  Z pierwszej ręki wszystko Google, WP, Interia, które mają opcję premium, żeby ich nie było, a specjalnie promują, żeby więcej hajsu było, zaców.
7266:  Na gram.pl nie ma czegoś takiego.
7268:  Przysięgam.
7269:  Nie mam możliwości, nie mam możliwości kupienia sobie dostępu do gram.pl bez tego.
7274:  Już pisałem im fonfnaście bombilionów razy pod ich żenującymi postami na fejsie, żeby się ogarnęli wreszcie.
7282:  Naprawdę jest to przerażające.
7285:  Kradzież transferu, absolutnie się zgadzam.
7287:  Olawisz, witamy w gronie trybutariuszy.
7289:  Przepraszam, krzyczałem i mi umknęło to.
7292:  Och.
7296:  Czas przerzucić się na Brave lub Firefoxa.
7298:  Firefox, z jakiegoś powodu przestałem go używać, nie pamiętam dlaczego i później zacząłem używać Chroma, ale tak.
7305:  Coraz więcej jest malware ads, to jest jeszcze inna kwestia i bardzo problematyczna.
7309:  W ogóle polecam wam mega niebezpiecznik i śledzenie jego.
7314:  Okropność.
7315:  Obciu pisze, że dostał ofertę pracy jako game developer.
7318:  To co prawda, muszę do tego rzucić lepiej płatną i stabilną pracę, ale podoba mi się projekt.
7321:  Chciałbym spróbować w końcu swoich sił w gamedevie.
7323:  Ale trzymam za ciebie kciuki.
7325:  To jest dobra rzecz, bo moim zdaniem możesz w ten sposób połączyć pasje programistyczne na przykład z pasjami designerskimi.
7332:  I no, jest to super sprawa.
7335:  Cicho muzyka?
7336:  No wiecie, bo wcześniej była głośniej, a ludzie na mnie krzyczeli, że jest za głośno, w związku z powyższym teraz jest ciszej.
7341:  Ale dawajcie mi znać, jeżeli jest za cicho.
7344:  Żadnego YouTube Premium.
7345:  Ja się składam na YouTube Premium z paroma znajomymi i dla mnie to jest dobre z tego względu, że mogę słyszeć sobie jakiś podcast właśnie w formie podcastu.
7355:  Mam telefon w kieszeni.
7356:  Normalnie YouTube tego nie umożliwia.
7358:  No i nie wiem, czy słyszeliście, ale teraz chodzą słuchy, że będzie YouTube Premium dla wszystkich chcących oglądać w 4K.
7367:  A ja chcę oglądać 4K.
7370:  I co więcej, ostatnio Linus Tech Tips wrzucił na swój kanał informację i dobry film dotyczący tego, w jaki sposób można uzasadnić wprowadzenie tego,
7384:  I to są argumenty o charakterze, rzekłbym, naukowym, w związku z powyższym polecam to mega.
7389:  Prawdopodobnie nie uda mi się oczywiście tego znaleźć, ale zawsze, o przepraszam bardzo, jest.
7394:  Więc film się nazywa YouTube should charge for 4K, hear me out.
7399:  I autentycznie warto jest posłuchać Linusa.
7402:  To nie jest człowiek, który by się sprzedawał YouTubowi, on wiele razy z nimi wojował i bardzo słusznie, gdzie pokazuje m.in.
7409:  to, w jaki sposób rosły...
7412:  no przede wszystkim nie tylko wolumen samych filmów, bo widzicie, że tego jest sporo, ale przede wszystkim rosła przestrzeń serwerowa relatywnie do jakości plików.
7425:  No i to jest dość dobra argumentacja, więc ja szczerze powiedziawszy, ponieważ zawsze oglądam 4K wyjściowo u siebie, z uwagi na telewizor,
7432:  no to tak, to będę mieć jeszcze jeden powód, żeby płacić za YouTube Premium, natomiast równocześnie TKDM ma w 100% rację pisząc, że 3,4 ludzi nie ma monitora 4K i co więcej ze statystyk na YouTubie też to wynika.
7444:  No ale z perspektywy YouTube'a to jest oferta po prostu dla użytkownika, który ma taki monitor, nie?
7450:  Albo ma taki telewizor, w związku z powyższym ona pod niego jest skrojona.
7454:  Natomiast równocześnie, moim zdaniem, jeżeli wprowadzą taką opcję, już w tym momencie powinni rezygnować z takiej liczby reklam, jaka jest dla
7462:  użytkowników nie premium.
7465:  Więc polecam filmie.
7467:  Niezależnie od tego, czy YouTube na to zdecyduje, czy nie jest to dobra argumentacja, dobre ćwiczenie intelektualne i dla wszystkich, którzy nie znają jakimś cudem kanału Linus Tech Tips powód, żeby się nim zainteresować.
7478:  Jezu, te 9 plus na dzwoneczku, I could never.
7480:  Nie, nie, nie, to jest u mnie w moim przypadku, jest pusia tak, że ja jestem podobny w tym zakresie, znaczy nienawidzę jak jest dużo powiadomień, ale jeżeli chodzi o YouTube'a, to musiałem się poddać, to znaczy no nie ma sekundy, żeby nie było komentarza albo czegoś, a ja mam włączone powiadomienia dla wszystkich komentarzy i odpowiedzi na komentarze, więc jakbyście się zastanawiali, dlaczego jest tak, że Krzysztof często odpowiada na komentarze pod filmami sprzed 7 lat,
7501:  mimo że wtedy jeszcze go nie było na YouTubie, ale to jest Hiperbola, no to między innymi dlatego, że mam włączone wszystko.
7508:  Wszystkie odpowiedzi, wszystkie komentarze.
7511:  Zła postać o anielskim wyglądzie.
7513:  Proste, Ilfi, mianowicie trylogia Bobby'ego Dolara.
7517:  Happy Hour in Hell.
7519:  To jest pierwszy tom.
7521:  Gdzie ja to mam?
7521:  Mam!
7532:  Szczęśliwa godzina w piekle.
7533:  Ale to jest trzeci tom.
7534:  W każdym razie ta seria.
7536:  Tada Williamsa.
7540:  Komentarze są lepsze od powiadomień, pisze Merta.
7544:  Tak, tak, to prawda.
7545:  Aczkolwiek nie na telefonie, niestety.
7547:  Na telefonie aplikacja do tych komentarzy jest absolutnie koszmarna.
7551:  Czy praca nad licencjatem, pisze Meko, wcześniej niż na trzecim roku jest właściwa?
7554:  Mam już pewien pomysł.
7555:  Mógłbym rozpocząć wcześniej badania i sądy, ale nie wiadomo, czy do trzeciego roku dotrwam.
7560:  No to jest kwestia mierzenia siły na zamiary przede wszystkim i najważniejsze, zdecydowania się, czy są dla ciebie te badania, czy dla promotora.
7568:  No bo jeżeli dla promotora i nie masz gwarancji, że będziesz na trzecim roku, to trochę szkoda czasu.
7573:  Ja miałem już natomiast swoje pomysły wcześniej, więc na pewno jest to dobry pomysł, ale dla ciebie, nie dla studiów.
7581:  Ale ja studiuję się dla siebie.
7585:  Artur Ditum poleca Tales from the Loop.
7588:  Pozycja obowiązkowa do analizy na bez schematu.
7591:  Przekażę Filipowi.
7592:  Czy słyszałem o grze w świecie książki Stanisława Lema?
7595:  Konkretnie chodzi o Niezwyciężonego od Star Wars Industries.
7599:  Tak, słyszałem.
7600:  Głośna rzecz.
7600:  Dobrze się zapowiada też.
7602:  Bardzo ładna stylistyka.
7604:  O, atom punkowa z kolei, czyli takie lata osiemdziesiąte, siedemdziesiąte, bardziej siedemdziesiąte, sześćdziesiąte.
7610:  Taka estetyka zimnowojenna trochę.
7613:  Czy czekam na ostatni odcinek House of the Dragon?
7615:  Czy pytasz Dzika, czy sra w lesie?
7619:  Bo ja dzisiaj będę.
7620:  Znaczy nie będę srał w lesie, tylko będę czekał na ostatni odcinek House of the Dragon, oczywiście.
7625:  Wspomniałem kiedyś, pisze Gran Grimmie o graniu w Skyrimie, czy nie myślałem o zagraniu w Enderala.
7631:  Znam modelkę, która robi, uwielbiałam Enderala i robi teraz swoją drogą mody do oficjalnych projektów fanowskich typu Skyblivion i średnio raz na miesiąc słyszałem zachętę do tego, natomiast czekam wciąż aż wyjdzie wersja polska.
7647:  Jutro będę przy recenzji House of the Dragon z dużym problemem, z dużymi kłopotami, ale będę.
7654:  Mam wszystko jutro.
7655:  Mam dentystę, audycję radiową, spotkanie, spotkanie z człowiekiem, o, bo tego wam nie mówiłem, skontaktował się, moi drodzy, skontaktował się ze mną tajemniczy wysłannik YouTube'a.
7672:  Pajemniczy wysłannik YouTube'a podobno ma opiekować się od tej pory kanałem.
7677:  Przez sześć miesięcy trwa taki program.
7679:  Przez sześć miesięcy będzie starał się, żeby stąks, żeby zasięgi, żeby wyświetlenia, żeby stąks.
7687:  Muszę powiedzieć, że bardzo współczuję, bo już z góry, to znaczy, będzie rozmawiał z człowiekiem, który mówi, a po co...
7694:  A dlaczego?
7696:  A czemu właściwie?
7698:  A ja nie chcę.
7700:  Zobaczymy, jak długo wytrzyma.
7702:  Będzie zabawne.
7704:  Oj, będzie bardzo zabawne.
7705:  No, a potem mam jeszcze coś i na samym końcu House of a Dragon, rozmowa.
7711:  Książki dla osób zainteresowanych teorią i historią literatury.
7714:  Jeżeli chodzi o teorię literatury, to polecam tak.
7719:  Z polskich to.
7721:  To jest dobry podręcznik.
7722:  Teorię literatury XX wieku.
7725:  Wolę rozdzielone pisane przez Annę Burzyńską, bo rozdzielone pisane przez Michała Pawła Markowskiego, czyli drugiego autora, są potwornie snobistyczne.
7732:  Michał Paweł Markowski jest dyrektorem literackim Festiwalu Konrada.
7735:  Czy ja muszę mówić cokolwiek więcej?
7741:  Natomiast!
7744:  Z rzeczy współczesnych.
7746:  Najlepsza książka o teorii narracji.
7749:  Gość pisze o komiksach, o grach wideo, fantastyce,
7755:  manga o wszystkim, anime.
7758:  Takie są przykłady na zachodzie.
7760:  Wystarczy 300 kilometrów od polskiej granicy i nagle mamy normalną humanistykę.
7765:  I druga rzecz w książkach, dzięki której napisałem doktorat, to znaczy encyklopedia teorii narracji Routledge.
7772:  Jest też w wersji cyfrowej jedno i drugie w wiadomym miejscu.
7775:  To znaczy w serwisie, który nazywa się Library, a końcówka jest Genesis i nie wolno z niego korzystać.
7783:  Przy okazji chciałem powiedzieć, że w tym serwisie wcale nie ma moich książek.
7796:  O niejednej.
7799:  Czy mam zamiar wrócić do bunkra nauki, pisze Monka Shitpost.
7801:  Ja z bunkra nauki wcale nie odszedłem, po prostu były tematy, które... Widzicie, ja rozmawiam na tematy, na których się znam.
7809:  Więc póki takich nie ma, to i mnie też tam nie będzie, ale już mam nową propozycję, żeby poprowadzić ze dwie, trzy rozmowy, więc na pewno będę na jesieni coś prowadził.
7820:  Jakąś rozmowę w bunkrze nauki poprowadzę na pewno.
7824:  Król Dżumiec daje F dla opiekuna od YouTube'a.
7827:  Tak, to się przyda absolutnie.
7829:  Piszecie, że jest już polska wersja Enderala, ale pełna polonizacja?
7833:  Włącznie z głosami?
7835:  To się aż zdziwię.
7838:  Aż się zdziwię, moi drodzy.
7841:  Zapomniałem wspomnieć, żeby nie kupować moich książek, bo ja mam nadzieję, że wszyscy już to wiecie, żeby pod żadnym pozorem nie kupować tych książek, ponieważ w ten sposób sponsorujecie zbrodnicze wydawnictwa naukowe.
7851:  W jakim radiu będzie ta audycja?
7852:  Pytam.
7853:  A żebym to ja wiedział?
7854:  Ja mam zielonego pojęcia.
7855:  Radio to jest martwe medium, kto by tego słuchał.
7859:  Ja radio traktuję jako sposobność i możliwość dotarcia do ludzi 60-70+.
7864:  W związku z powyższym też w inny sposób projektuję swoją argumentację, bo to, czego się nauczyłem na UJ-cie, to jest ta jedna rzecz.
7872:  Kiedyś to zresztą wysyczałem ludziom, którzy mi... O, to teraz opowiem wam tę anegdotę bezpyszna.
7877:  Muszę tylko zapamiętać, że mam... Wysyczałem, tak.
7880:  No, w każdym razie, że nauczyłem się na UJ-cie przynajmniej tego, że należy dopasowywać dyskurs i sposób wysławiania się do...
7888:  słuchaczy i do audytorium, u którego nas słucha.
7891:  Więc wysyczałem.
7893:  Przyszedłem na wakacje.
7894:  Dzięki za wsparcie od sześciu miesięcy.
7896:  Miałem coś takiego, co się nazywa promocją doktorską.
7900:  Promocja doktorska polega na tym, że przebierają was w śmieszne łażki, hajlujecie do bereł Uniwersytetu Jagiellońskiego.
7906:  Naprawdę.
7907:  Przysięgam.
7907:  To był salut rzymski.
7909:  I mówicie po łacinie różne rzeczy.
7911:  Ja mówiłem w języku smoczym, ponieważ specjalnie się nauczyłem do wakin, do wakin, denozilus, warin, cał...
7917:  Alfuk, Norochma, Ferlak, Musdval.
7919:  Całości praktycznie.
7920:  Do dzisiaj pamiętam dwa pierwsze wersy Pieśni Smoczej z Sowengardu w Skyrimie.
7925:  No, ale nie o tym.
7926:  W każdym razie dostałem alarmistyczny telefon w danym dniu, że mam się stawić natychmiast na rzeczoną próbę
7934:  przed promocją doktorską, gdzie byśmy, wiecie, by nas wcześniej przebrali w łaszki, wcześniej byśmy hajlowali do berła i wcześniej byśmy mówili po łacinie śmieszne rzeczy.
7942:  Na co ja powiedziałem, że nie mam na to czasu, a jeżeli już czegoś mnie nauczył Uniwersytet Jagielloński przez te wszystkie lata, to tego, jak być konformisto i powtarzać po innych i papugować to, co mówią.
7952:  Potem się pojawiłem spóźniony całkowicie celowo na życzonej promocji doktorskiej.
7956:  Jakie to było okropne wydarzenie.
7958:  Michał Łuczyszyn, dziękuję Ci za dołączenie do grona Trybutariuszy.
7961:  Najlepszy był mój serdeczny przyjaciel Kuba, którego pozdrawiam, jeżeli jakimś cudem tego słucha, który skomentował tekst prorektora, który opowiadał nam o tym, jak to w czternastym, w piętnastym stuleciu, że ludzie trąby, trąby...
7982:  Chodzili po Krakowie i ogłaszali, że nowy doktor na Akademii Krakowskiej jest doktor i ten doktor później w kolegiacie świętej Anny miał wykład i wszyscy rajcy miejscy przybywali i wszyscy mistrzowie cechów i czeladnicy przybywali, wszyscy mówili och...
8002:  O!
8003:  Doktor przemawia!
8005:  Nowy doktor na uniwersytecie!
8008:  I to było jeszcze w kolegium.
8010:  Majus.
8010:  Haha.
8011:  No.
8013:  Natomiast myśmy byli, wiecie, w takim bałym pomieszczeniu w nowej auli, tam było z 50 osób w sumie i nam mówiono, że musimy szybko się wyrobić, bo tutaj za 15 minut wchodzi 40 doktorantów z Wydziału Historycznego i się musimy wyrobić szybko, szybko, szybko, szybko, szybko, wiecie, fabryka, szybko, szybko trzaskamy doktorów i następni, trzaskamy następni, trzaskamy następni, mój kolega się nachyla do mnie.
8037:  Mówi, a, czyli tak podsumowując tę wypowiedź rektora, dawniej było fajnie, a teraz jest chujowo.
8043:  Ja mówię, no tak, podsumowałeś 600 lat Uniwersytetu Jagiellońskiego właśnie.
8049:  Więc, tak, zabawnie było.
8053:  Ale potem przynajmniej było fajne śniadanie.
8055:  Dzisiaj pamiętam, że poszliśmy potem na Kazimierz leczyć tę traumę śniadaniem angielskim dobrym.
8060:  Krzysztof, czy masz zdjęcie w doktorskich śmiesznych szatach?
8063:  Pyta Kryształowa.
8065:  Chyba mam, ale nie wiem gdzie.
8068:  To jest dobre pytanie, to jest dobre pytanie.
8071:  Jak kupię światotwórstwo fantastyczne, jaki protein z tego mam?
8073:  Zero.
8082:  Książki naukowe objawiają się tym, że płacicie 15 do 20 tysięcy złotych za wydanie 300 egzemplarzy, więc jak ja słyszę o tym, że vanity publishing to jest problem beletrystyki, to parskam śmiechem.
8094:  Po czym z rzeczonych 15 wydanych tysięcy dostajecie 400 złotych tantiem, skutkiem czego wydaliście właśnie 14 600 na wydanie książki, więc wiecie...
8108:  Profit?
8110:  No i tyle, jeżeli chodzi o cały ten interes.
8114:  A książki te są o tyle problematyczne, że one są wymagane do awansu zawodowego, więc zarówno na tytuł doktora, jak i tytuł doktora habilitowanego potrzebujecie tychże.
8123:  Wydawnictwa doskonale o tym wiedzą i na tym w ten sposób zarabiają.
8127:  Świetny model biznesowy, muszę powiedzieć.
8130:  Promocja doktorska, jeszcze dyplom z błędem dostać można, ubolewa Dawid.
8134:  Ale mam nadzieję, że nie był napisany Comic Sansem, bo to jest coś, czego ja się spodziewałem.
8140:  O, Smoczini pisze.
8142:  W lipcu Krzysztof był gościem mojej audycji.
8144:  Poszukajcie audycji pasjonauci w twórce.
8146:  To ty byłeś!
8147:  A to była fajna akurat audycja.
8152:  A wyślesz link do jakiegoś podcastu, jeżeli jest z tego, to wrzucę, wrzucę.
8159:  Saronox mówi, że już opowiadał jakąś historię.
8161:  Wiecie, no bo moi drodzy, bycie stałym widzem tego kanału wiąże się z niesamowitym doświadczeniem słuchania tych samych historii, które ja opowiadam z zapałem człowieka opowiadającego te historie po raz pierwszy.
8172:  To się wiele razy dzieje.
8174:  Jak to zero?
8175:  No tak to się dzieje, Kazimierz, że dostaje się zero.
8177:  Nie rozumiem, dlaczego nie rozumiesz tego, że książki naukowe są wydawane po to, żeby zarabiały wydawnictwa naukowe.
8183:  Może w ten sposób Ci powiem, to znaczy, jeżeli jesteś zainteresowany tematem, to obejrzyj sobie film, który zrobiłem kiedyś o Sci-Hubie i ja tam opowiadam o tym, że jedno z największych wydawnictw naukowych na świecie, czyli Elsevier, ma wyższy profit netto niż Apple.
8197:  Apple.
8198:  Ten Apple.
8198:  Ten od, wiecie, i-kabli, i-ładowarek, i-stołów, i-krzeseł i innych i-ów.
8207:  Ten Apple procentowo ma niższy dochód ze swojej działalności niż Elsevier, wydawnictwo naukowe.
8218:  No.
8219:  Kordemon, dzięki za wsparcie od pięciu miesięcy.
8221:  Niech jamnik będzie z tobą i łosoś.
8224:  Niech jamnik będzie z tobą.
8226:  Bez łososia.
8228:  Łososia trzeba zjeść.
8229:  Jamnikowy Piechur, dzięki za wsparcie od trzynastu miesięcy.
8231:  Krzysztofie, czy mógłbyś pozdrowić Sarę?
8233:  Pozdrawiam Sarę.
8234:  I dziękuję Jamnikowemu Piechurowi za wsparcie od trzynastu miesięcy i za wspaniały nick.
8243:  Waryś pisze, że naprawdę uwielbia odwiedzać transmisje.
8245:  A ja uwielbiam, jak tu się pojawiacie.
8246:  Za każdym razem dowiaduję się czegoś nowego i wciągnęłem sobie, jak mało wiem.
8249:  Odwróćcie, wyjąwszy sytuację, w której Krzysztof wyda historię, którą już opowiedział.
8253:  Wtedy nie ma nic nowego.
8259:  Degresywny Wilk pisze, że jest tak samo zaskoczony, że mówiłem już moją historię, jak ja.
8263:  No, no.
8264:  Czyli ktoś jeszcze nie pamięta.
8265:  Elsevier to jest czyste zło, tak naprawdę.
8268:  Macie 500, 500, 600 dolarów w książkę jedną.
8272:  No, Olga pisze, że Christ in Student Veterinary, bo Elsevier wydaje dużo weterynaryjnego contentu.
8277:  No tak, no bo to jest dobre wydawnictwo, które ma pewną renomę, natomiast to równocześnie zbrodnicza korporacja.
8284:  Okropność absolutna.
8285:  Dzięki Smoczyni za podesłanie linku do audycji.
8287:  Wrzucę tak, żeby ludzie widzieli.
8290:  Jak to jest studiować kierunek niestety nauk?
8292:  Polecam.
8294:  Daw Kedus odwołuje się do tego, że mam na Facebooku napisane studiował niestety na Uniwersytecie Giellońskim.
8300:  Bardzo dobry kierunek, polecam.
8304:  Sushi czy ramen?
8305:  Sushi.
8305:  Sushi scaler.
8306:  Zdecydowanie sushi.
8308:  Uwielbiam sushi, ale co ciekawe, kiedyś jadłem tylko takie, które było wędzone, a nie takie, które byłoby surowe, bo się bałem surowego.
8315:  Jak wygląda codzienna praca na urzędzie?
8316:  To jest ciekawe pytanie od Fryderyka Engelsa.
8318:  Generalnie to jest tak, jeżeli jesteś na takim stanowisku jak ja, to jest stanowisko naukowo-badawcze,
8322:  To znaczy, że nie jesteś tylko wykładowcą, czyli nie przychodzisz na zajęcia i nie wygłaszasz ich, w moim przypadku przychodzisz na część zajęć, a większość prowadzisz zdalnie, tylko oprócz tego prowadzisz badania.
8332:  Na przykład dzisiaj przed live'em pisałem sobie artykuł o Elden Ringu, który mam zgłosić do czasopisma groznawczego i bardzo się dobrze przy tym bawiłem.
8341:  Oprócz tego...
8342:  Zgłasza się granty.
8343:  Granty to są projekty różnego rodzaju, które jeżeli się jest groznawcą, nie dostaje się ich, z tego względu, że jest ograniczona liczba w ogóle projektów na tak błahe tematy, które mogą być przyznane na skalę polską, w związku z powyższym pierwszeństwem mają profesorowie.
8356:  Jest to bardzo skomplikowane i generalnie trudno się przebić.
8359:  To jest trzeci rzecz, którą się robi.
8361:  Czwarta rzecz to jest praca administracyjna na różnych etapach.
8363:  To może być praca w komisjach, na przykład jestem w komisji dyscyplinarnej dla studentów.
8368:  Staram się robić dobre rzeczy za tym pośrednictwem, dlatego się tylko na to zgodziłem.
8371:  Przez jakiś czas, 4 lata byłem pełnomocnikiem do spraw promocji, pomagałem w promowaniu kierunków na uczelni, no i tak dalej, i tak dalej.
8379:  Różne rzeczy, na przykład też kanał Bunkier Nauki, który robię, to jest też jedna z rzeczy takich, które robię ekstra w ramach z kolei popularyzacji nauki.
