🔴 NIE KUPUJCIE TEJ 💩 GRY — DRAGON'S DOGMA II Livestream
🔗 https://www.youtube.com/watch?v=igWJJgW2ho0

3:  i jej.
5314:  I jeszcze przypominam, że ta gra ma nas zachęcić do mikrotransakcji.
5319:  To jest niesamowite.
5320:  Przecież oni postępują przeciwskutecznie.
5324:  Rok mówił, że 10-10 na dla wąskiej grupy, widzicie?
5327:  Dlatego właśnie oceny cyfrowe są do dupy.
5332:  Jak to heavy?
5335:  Jak to heavy?
5336:  Jakie heavy?
5340:  Nie kampuj, ja zawsze kampuję.
5348:  Nawet mi nie mówcie, że to jest zużywalny przedmiot.
5356:  To jest zużywalny przedmiot.
5382:  Doberek Łysina zawsze na propie, pisze Anżelika, prawda?
5385:  Dziękuję za wsparcie.
5387:  Dziękuję Maćku za trybut.
5388:  Pańska refundacja.
5389:  Pozdrawiamy Capcom.
5391:  Ja oceniam wysoko jedną recenzję.
5394:  To znaczy, ktoś powiedział, że na razie ocena jest zła.
5398:  Przestań mnie macać w ręce mocne.
5400:  A jak Capcom zapłaci 99 dolarów, to będzie upgrade do DLC pozytywnej recenzji.
5414:  Czekajcie, to się da zrobić.
5430:  To się da zrobić.
5431:  Ja wam zrobię lepsze efekty.
5432:  Ja wam zrobię lepsze efekty.
5438:  Widzicie, jakie piękne efekty?
5440:  Łooo!
5441:  Jaka lawina była, jak jamniki aż poleciały!
5444:  Łooo!
5449:  Łooo!
5451:  Zostaw te jamniki!
5452:  Biedne jamniki, to prawda.
5458:  Ja nie... Ja nie wiem, ja nie wiem.
5461:  Nie wiem, co się... Ale widzicie?
5463:  Widzicie, że był lepszy efekt?
5464:  Był lepszy efekt!
5469:  Kobleni przychodzą!
5499:  Kobliny!
5501:  Nic to!
5503:  Mam AK-47!
5503:  MAGA-47!
5503:  Jesus Christ.
5517:  Wiecie, co jest piękne?
5519:  Pamiętam, jak deweloperzy mówili, że tutaj specjalnie nie ma systemu szybkiej podróży, bo gra... Jest taki piękny świat, który aż chce się zwiedzać!
5532:  Za każdym rogiem się coś kryje!
5537:  Łooo!
5538:  Popatrzcie, za każdym rogiem się coś kryje!
5540:  Tutaj... Popatrzcie.
5542:  Tu jest quest.
5544:  Ło!
5544:  Czekajcie, czekajcie, czekajcie.
5545:  Tutaj...
5548:  Martwieleń, ale tylko dlatego, że go zabiłem wcześniej.
5551:  Ło!
5552:  Tutaj jest krzew!
5554:  A ta paproć będzie kiedyś ważna.
5559:  A tu jest woda!
5561:  Może w tej wodzie jest jakiś topielec?
5570:  Ja, ja, jaki...
5625:  Ja nie, ja po prostu nie.
5626:  No co tu się dzieje w tej grze?
5628:  No przecież co tu się dzieje?
5631:  Ja nawet nic nie mogę zrobić.
5634:  A mogę, to, to, to, to... Co to było?
5641:  Co to było?
5645:  Ja nie mogę pływać?
5649:  Tu nie można pływać.
5652:  Widzicie, jak nie chcecie, to jest porada groznawczo-światotwórcza dla dewów.
5658:  Jak nie chcecie implementować mechaniki pływania, moi drodzy, nic prostszego.
5663:  Jedyna rzecz, którą musicie zrobić, to wstawić fallusoidalne mycelia, które będą was obrzygiwać czerwoną posoką za każdym razem, jak będziecie starali się wejść do wody.
5675:  To już jest proste!
5679:  Dlatego nie można pływać!
5680:  Proste!
5682:  Można kupić pływanie za 2,99.
5689:  Macki są odpowiedzią na wszystko, absolutnie.
5691:  Ale to widzicie, to japończycy robili, więc prawda jest taka, że to jest jedyna różnica między tym a hentajem, jest taka, że są brzydkie postaci.
5701:  Ale spust jest taki sam.
5704:  Dlaczego ja teraz nie mogę... Okej, dobrze.
5707:  Myślałem, że już mam gorszy spust, ale nie, nie, nie.
5713:  Zwierzęta nie uciekały, jak je mordowałem?
5715:  Tak!
5723:  To jest rewelacyjny system wa... Przypominam, przypominam wam, moi drodzy, że Genshin Impact bywa krytykowany za system walki.
5729:  Przypominam.
5730:  Który, byłoby nie było, jest grą darmową.
5734:  Poza tym hentai jeszcze nie kosztują trzech stówek.
5736:  No właśnie.
5739:  Wziął zeznawstwem Krzysztof.
5741:  Idziemy dalej.
5743:  Kiedyś miałeś lepszy spust, na przykład w Red Dead Redemption 2.
5745:  Jezus, mięsne.
5753:  Nie, nie, nie, nie.
5754:  To są jelenie dla księżniczek Disneya, dlatego nie uciekają, rozumiem.
5758:  Popatrzcie, ile mieliśmy już ukrytych sekretów w tej grze, widzicie?
5762:  Jak dużo rzeczy niesamowitych.
5764:  Na razie są tylko gobliny.
5769:  Popatrzcie, następny level.
5771:  Dwa rodzaje przeciwników, jak dotąd, to znaczy bieda harpia i gobliny.
5777:  To są te rzeczy, które mają nas zachęcić do tego, żebyśmy eksplorowali ten świat.
5782:  To jest niesamowite.
5785:  Ja może użyję jedynej rzeczy, która mi się w tej grze podoba, to znaczy magii, którą nie mogę celować.
5796:  Korpus delicti.
5798:  Czemu nosisz kostur na zgiętym łokciu?
5801:  Ja nie umiem, ja nie umiem powiedzieć, co się w tej grze dzieje.
5807:  Tak, Angeliko, wydajesz się na tę grę i jeszcze masz mikropłatności.
5810:  Mikropłatności w sumie dostępne na Steamie za 90 złotych.
5813:  Jest awantura o to, ja się nie dziwię, ale wiecie, szczerze powiedziawszy, uważam, że powinna być większa awantura o to, jak ta gra wygląda, a nie o to, jakie są mikropłatności.
5825:  Czemu on korzysta z kostury jak Uzi?
5826:  Czemu przede wszystkim mój Pana postać jest tak beznadziejna i się męczy?
5830:  Kreator postaci do tego jest na Steamie za darmo.
5832:  I kreator postaci jest najlepszy, naprawdę.
5835:  Tak dokładnego kreatora postaci nie widziałem jeszcze w... No nawet w Cyberpunku był mniej dokładny.
5846:  Ten może się uleczy.
5883:  To było zaskakujące.
5887:  Nie wiedziałem, że mogę się tak żyć.
5889:  Moje zdolności są w kombinowaniu materiałów.
5900:  I użyję tych w moich posiadaniach, by wybudować dla Ciebie rzeczy w mój spędzony czas.
5909:  Wszystko jest wystarczająco wystarczające
5929:  Nie, nie wierzę.
5932:  Ja po prostu absolutnie... Przynajmniej Dominika zrobiła piękną grafikę do streama.
5935:  Wiecie co?
5936:  Tak, absolutnie.
5938:  Chyba mamy w tym momencie sytuację, w której intro do streama było lepsze graficznie od całej gry.
5946:  Przecież to jest nieprawdopodobne.
5949:  To ja może to otworzę.
5953:  Fajne to studencje Tech Demo, proszę studentów nie obrażać.
5957:  Dzięki MaxWu za trybut.
5970:  W ręce mocny jest w złym stanie.
5977:  Chociaż kusi mnie, żeby sprawdzić, co będzie, jak zginie.
5996:  To naprawdę wygląda jak taka typowa gra do wyciągania pieniędzy.
6002:  Dostajecie levele w siedemnastu różnych kategoriach za byle co.
6008:  Za moment będzie jeszcze siedemnaście różnych typów walut.
6015:  A Krzysztof tak narzekł w swojej na Horizona.
6017:  Ja się tylko śmiałem, nie narzekałem, bez przesady.
6020:  Ale wiecie co?
6020:  Nie będę już narzekał na Horizona.
6024:  Starfield przy tym to arcydzieło, na to wygląda Czerwone Lisie.
6028:  Kingo, dzięki za wsparcie od pięciu miesięcy Minecraft ma realistyczne zwierzęta uciekają.
6032:  Minecrafta też nie należy porównać z tą grą.
6035:  To ja mówię, mimo że nie znoszę grafiki w Minecrafcie.
6040:  Przez 10 minut zastanawiałem się, dlaczego grasz w jedynkę, a tu surprise przy Raven of Thieves, prawda?
6044:  Grafika do Enderala też spoko, tylko trzeba zmienić podpis.
6047:  Jeszcze Gen Greyman, który ma za absolutny punkt honoru przekonać mnie do zagrania w Enderala.
6054:  Dziękuję ci za trybut.
6057:  Czemu narzekanie na Horizonach?
6058:  Nie, tam stałe rzeczy, to znaczy chodzi o to, że dalej są drewniane questy, ale poza tym bardzo sympatycznie się gra.
6065:  Ja lubię Horizona z uwagi na interesujący świat i samą postać Aloy, która jest bardzo likeable, mówiąc po polsku.
6072:  Czyli widzicie, nie możemy odpalać ognisk nawet, ponieważ odpalanie ognisk wymaga zużywania przedmiotu zużywalnego.
6077:  Fajnie, nie?
6079:  Fajnie, nie?
6080:  Nie, nie fajnie.
6081:  Czy ja mogę przynajmniej to podnieść?
6085:  Moi drodzy, trzecia walka z bossem.
6087:  Naciśnij E, żeby wygrać.
6097:  Nie!
6111:  Ja to będę robił!
6123:  Cokolwiek oni robią, niech robią dalej!
6129:  To jest potężne od całej naszej magii!
6136:  Jezus... Jezus Maria, nie wierzę po prostu w to, co widzę, nie wierzę.
6142:  Niedomagiamniks to podniósł, bo jest potężny!
6145:  Widziałem trybut zaraz na drobie, moi drodzy.
6148:  Najbardziej ekscytująca walka tego wieczoru.
6151:  Niedomagiamniks porzucił magię, stwierdził, że potężniejsze są kamulce!
6165:  Atletyka, porażka.
6166:  Tak, ja mi liczę o Kapołanka Zalenstein, dziękuję za trybut.
6168:  Tak właśnie.
6170:  Jacek Witek pisze, że na dobrą herbatkę, na ukojenie bólów przy tej grze.
6173:  Jakie sci-fi polecasz, żeby poznać jak obecnie wygląda gatunek?
6175:  Możesz ogarniać spokojnie, problem czy chciał, czemu by nie, jeżeli Kroniki Dune ci się podobają, ale ja szczerze powiedziawszy bym polecał taką głębię Marcina Podlewskiego.
6186:  bo docenisz wtedy polską wersję.
6188:  Trzeba było mu wsadzić różdżkę do oka, no ewidentnie.
6191:  Nie, nie, moi drodzy.
6193:  Kanoniczne pokonanie, trolla po raz drugi z jakiegoś powodu, małe trolle i duża powódź.
6202:  Przecież to skąd wziąłeś taki mod do Gothic'a, prawda, Mika?
6204:  Ale dziękuję ci za trybu, nie mam zielonego pojęcia.
6210:  To jest naprawdę najgorsza walka, jaką widziałem w życiu.
6217:  Niech to się nagrywa.
6245:  Będzie gra z magiem, mówili.
6247:  Poczarujesz se kule ognia, mówili.
6250:  Będzie z tego seria na streamy na YouTube, mówili.
6255:  Wybitne.
6256:  Dla koneserów.
6259:  Capcom wydał oświadczenie?
6263:  Na Twitterze jest?
6266:  Jest szansa, że przeczytanie oświadczenia Capcomu na Twitterze może być bardziej interesujące od walki z trollem.
6272:  Troll rzecz nie jest niebezpieczny.
6275:  Czy to był Capcom USA, czy inny?
6277:  Fascynująca ta walka, prawda?
6281:  Otóż niestety nie ma tego oświadczenia na Twitterze.
6286:  Murzyny1Q, dziękuję ci serdecznie za trybut.
6290:  Co, jakaś tam maga powietrza, czy jakiegoś innego ognia, jak można napierdalać kamieniami?
6293:  Prawda?
6294:  Prawda?
6295:  Sztofie, go Enderal.
6297:  I God of War, będą dymy.
6299:  Dziękuję ci, posolana, za trybut i namawianie.
6301:  Ogarniemy.
6303:  Na Steamie jest to oświadczenie.
6306:  Na Steamie mówicie, jest to oświadczenie.
6308:  Strona w sklepie.
6313:  Aha.
6317:  Aha.
6318:  To ja nie widzę tego oświadczenia.
6323:  Ja nie wiem, gdzie są oświadczenia na Steamie, może w centrum społeczności to będzie.
6327:  To Dragon's Dogma players on Steam.
6329:  To all Dragon's Dogma players on Steam.
6332:  We would like to update you on the status of following items.
6335:  Aha.
6338:  Crashes and bug fixes, the option of starting a new game, paid DLC.
6345:  Nie ma żadnego oświadczenia.
6348:  Ja bym wolał, żeby to było poza Steamem.
6353:  Jesus Christ.
6361:  To to tu Dragon's Dogma Players on Steam to nie jest żadne oświadczenie, to jest to lista, że będzie o bug fixes.
6367:  Oni nie powiedzieli, przepraszamy, że wydaliśmy chujową grę, usuwamy ją ze sklepu i robimy zwrotkę dla wszystkich.
6377:  Przecież to jest po prostu nieprawdopodobne.
6378:  Poza tym widzicie, że to nie jest problem z bugami.
6381:  To nie jest problem z bugami.
6383:  To jest ten kazus, o którym mówiłem kiedyś przy okazji Cyberpunka, jak była premiera.
6388:  Nie da się naprawić narracji, nie zrobicie hotfixu do narracji.
6392:  Co to, podmienicie dialogi?
6393:  Nie zrobicie hotfixu do zjebanego światotwórstwa.
6399:  Rozważamy dodanie funkcji do wersji SteamGry, która pozwoli graczom, którzy już grają na podobne uruchomienie gry.
6404:  No i co?
6404:  To powinno być jako feature!
6410:  To są w ogóle jakieś drobiazgi.
6412:  To, że oni nie pozwalali na uruchomienie ponownej gry, to ja w ogóle tego nie wiedziałem, zacznijmy od tego, i to jest podwójny skandal.
6418:  Więc ja się nie zamierzam cieszyć z tego, że ktoś powiedział, że się wycofa z...
6425:  To jest mniej więcej tak, jakby ktoś mi powiedział, że w 2025 roku za, nie wiem, przejście po nieparzystych płytach chodnika policja będzie ucinała głowy.
6436:  Następnie, Krzysztof, przeczytaj oświadczenie polskiej policji na Twitterze.
6440:  Informujemy wszystkich zaniepokojonych obywateli, że policja nie planuje ucinać głów obywatelom, którzy chodzą po nieparzystych płytach chodnika.
6447:  Dziękuję!
6448:  Dziękuję!
6450:  Dziękuję!
6451:  Wspaniała wiadomość!
6452:  Wspaniale!
6453:  Dziękuję, że to zrobiliście!
6457:  Oni powinni wydać oświadczenie, w którym przepraszają mnie za to, że ja w ogóle w to gram.
6464:  Jeszcze zapomniałem o kolorku właściwym.
6467:  Same złe rzeczy, moi drodzy, po prostu dzisiaj się dzieją.
6470:  Dlaczego on mnie leczy?
6471:  Czy on zwariował?
6472:  Czemu on mnie leczy?
6474:  To ja jestem ma... Gdzie mam iść?
6478:  Moi drodzy, dlaczego zniknęły wszystkie questy?
6483:  Co bym polecał od Grzędowicza poza Panem Lodowego Ogrodu?
6485:  Wypychacz zwierząt to jest niezły zbiór opowiadań.
6491:  Może jak wcisnę J to będzie journal?
6492:  No nie, nie, nie, J, J, J to jest obracanie postaci, ponieważ wiecie, J od słowa obrót.
6501:  J. Journal, journal, journal is no more.
6510:  Może tabulator, nie, tabulator to jest mapa, od tmapa, ewidentnie, tmap po angielsku.
6516:  Dobrze, to escape w takim razie.
6518:  Quest, dziękuję.
6519:  In Dragon's Wake, travel to the capital to affirm your identity.
6523:  Okej.
6524:  Czyli my jeszcze nie jesteśmy w stolicy, moi drodzy.
6527:  Okej, dobrze.
6530:  Dobrze.
6531:  I jeszcze może, żebyśmy zobaczyli to miasto, gdzie podobno spada klatkaż, tak?
6536:  No to gdzie jest to miasto?
6537:  W jaki sposób mam do tego dotrzeć?
6566:  Otóż mam wsiąść na wóz.
6570:  Gdzie wyście widzieli wóz?
6583:  Stitchy, widziałem ten komentarz, jest wspaniały.
6586:  Teraz mi to uświadomiłeś.
6591:  Gdzie był wóz?
6593:  Wóz!
6595:  Okej.
6597:  Okej.
6600:  Okej.
6606:  Wóz.
6607:  Hail!
6618:  Dlaczego on faktycznie zahailował?
6626:  Co to było?
6628:  No i co mam zrobić, żeby jechać?
6630:  A, sit.
6631:  Świetny, świetny, świetny moment kamery.
6644:  Czy nie macie wrażenia, że szliśmy szybciej?
6677:  Szybszy przejazd wozem 4,99.
6678:  Daleko jeszcze?
6679:  C trzeba nacisnąć.
6703:  Fade to black.
6705:  Fade to Jack Black.
6710:  Upływ czasu.
6711:  Czas jest jak rzeka.
6714:  Czas jest jak rzeka płynąca przez świat i czynności oraz zachowania mieszkańców tego świata odzwierciedleniem przepływłonego są.
6728:  Ludzie nie zostają w tych samych miejscach przez dzień cały.
6736:  Bogały widziały, co brały i jeno pojawiają się o poranku, w nocy lub wśród dnia.
6747:  A żeby płynąć przez czas hyrzej, możesz albo znowu.
6753:  zostać w gospodzie lub uczynić zadość usiąściu na jednym ze specjalnych siedzisk znajdowanych na zewnątrz w wybranych lokacjach!
6770:  W-w-w-wzruszające.
6774:  Ło-ło-łoł.
6776:  Niedomag w drodze na Morskie Oko, jakie ciekawe.
6779:  Dokładnie.
6781:  Jezus Maria.
6784:  Co tu się dzieje?
6788:  Jak ja mam... Get up?
6792:  Wciśnij X, żeby poczekać bardziej.
6797:  To ja może postrzelam skałacha.
6804:  Wiecie, że tu nie ma systemu celowania?
6806:  To jest najlepsze.
6809:  O, w ręce mocnej zaraz zginie.
6814:  Chyba nie jest dość w ręce mocny, moi drodzy.
6842:  Ja pierdolę, ta gra kosztuje 300 złotych, pisze Lindor.
6845:  Tak.
6853:  Zobaczymy, moi drodzy, miasto.
6855:  Dobrze.
6857:  A company vem tu we capital.
6874:  O, teraz już tego nie trzeba przewinąć, okej.
6879:  Jakim cudem ten sam Capcom jest w stanie zrobić episkiego Vergila i Dantego, a tutaj robią tak beznadziejną walkę?
6884:  Nie mam pojęcia.
6885:  A, czyli to jest to miasto, w którym są spadki FPS-ów.
6887:  Włączam monitor FPS-ów.
6892:  106 FPS-ów jak na razie, 134 FPS-ów, zobaczymy jak będzie dalej.
6901:  Ja nie wierzę w to, co się dzieje.
6902:  Czekajcie, będziecie mieli monitor FPS-u, zaraz tak zrobimy, żeby to było widoczne.
6907:  Nie, nie zrobimy tak, żeby to było widoczne, bo mi się nie chce.
6912:  Musicie mi zaufać.
6914:  Nie, nie zasłaniam licznika, mam go po prostu włączonego jako nakładkę, musiałem przechwytywać ekran.
6918:  Zobaczcie, najgorsze miasto w tym roku, Bwyszejoglod.
6921:  To dobrze.
6923:  Na razie bardzo doceniam prześwietlony obraz.
6927:  Baldur's Gate 249 Dragon's Dogma 300.
6937:  Tak, moi drodzy, niech się niesie.
6943:  Ten sam gość projektował walkę do ostatniego Devil May Cry'a?
6947:  To jest niemożliwe.
6948:  Ja myślę, że sobie wytarli gębę jego nazwiskiem, a dali to jakimś internom.
6952:  Nie wierzę.
6953:  Ta gra wygląda jak marne DLC do jedynki, pisze Hekus.
6956:  Ja nie grałem w jedynkę, wiesz, dziękuję ci za trybut, więc nie mam zielonego pojęcia.
6962:  Nie mogę ubrać mojej postaci, ja nie mam dostępu do ekwipunku żadnego sensownego.
6966:  Znaczy, w ekwipunku nie mam dostępu do uzbrojenia.
6969:  Lub szlad jakiś.
6975:  SC, zaraz, dzięki serdecznie za trybut, pisze, że wczoraj skończył binge'ować 27 odcinków Wieśka.
6980:  Dziękuję za tę opowieść, niechaj Torfuna sprzyja Arcymagosowi...
6985:  Troll, spierać Torfuna, Torfuna dobra, cenna.
6989:  Troll nie być jak kapkom, kapkom głupi nie wiedzieć, gdzie leżeć prawdziwa Torfuna.
6996:  A Torfuna leżeć w zadowalaniu graczy.
6999:  Dziękuję serdecznie Danielowi Ratajczykowi za bycie jam Nikołajem Ratajczakowi.
7003:  Przepraszam za przekręcenie.
7004:  Niuch!
7005:  Otrzymuje wsparcie Zły Czarownik, Red Jaga, Pan Karmazyn oraz Ciocia Krystynka, Kraken z Jeziora, Lemonade i Lorelin oraz Fugopychotka i Lepre.
7016:  I Dziobak.
7017:  Dziękuję serdecznie, Jamnikoja dla Jamnikoja jak zawsze.
7020:  75 FPS-ów, moi drodzy.
7020:  Spada, spada.
7020:  77 FPS-ów.
7021:  Mmm, fajnie, fajnie.
7021:  Fajnie się bawią.
7035:  Fajnie się bawią.
7036:  A tu boom i nie ma Dorfuna.
7038:  Zostały mikrotransakcje i zero graczy.
7045:  Głupi kapkom nie wiedzieć, że jak robić mikrotransakcja, to musi być gra jako usługa dłużej niż gra jako produkt.
7056:  Głupie ludziaki nie wiedzą.
7064:  Tak właśnie.
7067:  Jest coraz gorzej, Marciaw.
7068:  Jest coraz gorzej, naprawdę.
7070:  Na jakiej rozdzielczości gram?
7071:  2K!
7072:  Tak, RTX 4090, 1440p i 70 fpsów.
7074:  I don't understand.
7076:  Then you have truly lost your memory?
7092:  No właśnie, gracze pecetowi bez moich parametrów to jest katastrofa.
7096:  No nie kupujcie tej gry.
7097:  Nie wiem, czy mogę wyraźniej to mówić.
7101:  Znaczy ja, wiecie co?
7102:  Nie, ja wiem, co ja zrobię.
7104:  Ja zmieniam tytuł transmisji.
7108:  Nie kupujcie tej kupy
7112:  tej gry.
7113:  Napiszę tej gry, ponieważ inaczej... O, wiem, co zrobię.
7116:  Wrzucę emoji kupy, ponieważ wiecie, inaczej wspaniałe algorytmy YouTube'a będą się trząść, że Krzysztof użył słowa kupa.
7124:  O nie!
7125:  Specjalną dedykacją dla algorytmów?
7127:  Kupa, kupa, kupa, kupa.
7129:  Dobrze.
7130:  Proszę bardzo.
7131:  Proszę bardzo.
7132:  Zaktualizowana, a jeszcze jedną rzecz zaktualizuję.
7135:  To znaczy livestream traci jedynkę, bo to jest ostatni livestream z tej gry.
7145:  Więc teraz nie ma wątpliwości, moi drodzy, że nie należy kupować tej gry, okej?
7154:  Nie będzie, że Krzysztof promuje.
7159:  Izabela pisze, nie kupię dzięki Krzysztof, to dobrze.
7162:  Kup Baldura, Baldur dobry i dzięki za wsparcie od 7 miesięcy.
7167:  Czy można pisać kał?
7168:  Chyba ekskrement by się przydał, to tak.
7172:  Generalnie YouTube nie umie w eufemizmie.
7175:  Jak użyliśmy słowa pudenda, to YouTube... O, nie zareagował.
7181:  Popatrzcie.
7183:  Biedna Cersei Lannister.
7185:  Cersei Lannister po roku pobytu w Radomiu.
7199:  A ja tak czekałem na co jest tego.
7201:  Ja też Jaxa!
7209:  To może być jeszcze bardziej szare, moi drodzy.
7212:  To jest przeszłość, okej?
7215:  Przeszłość.
7217:  Przeszłość szara.
7227:  Wy nie rozumiecie, nie doceniacie monochromatycznych filmów klasycznej kinematografii i znanych chwytów, którzy tylko najstarsi melomani kina docenią.
7240:  I Tomasz Raczek wam powie dobrze, że takie kino to jest wybitne kino, tak?
7246:  I dlatego, że to jest wybitne i stare kino, retrospekcje w kinie robi się czarno-białe.
7254:  Disa wybrała panią, podczas jak odpoczął od twoich błędów.
7258:  Zrobione dawno, ponad 500 godzin, dopisała Izabela dzięki za ponowny trybut i gratulacje, tak należy.
7264:  Wszyscy moi drodzy, którzy oglądacie i cierpicie razem ze mną, zagrajcie w Baldura, jeśli nie graliście.
7272:  Ona przygotowała się do odpoczynku, by służyć jako prawodawca w twoim miejscu.
7276:  Efekt starego filmu na taśmie celulozowej, który totalnie istnieje w tym świecie i pasuje do settingu, prawda?
7280:  Jeszcze dysonans ludotopijny mamy do tego wszystkiego.
7283:  Ludotopijny dlatego, że narracja nie zgadza się z realiami świata tej gry.
7290:  Takim monochrom jak na Guidi Prime.
7292:  Proszę nie porównywać Dune'y do tego.
7295:  Szkoda, że Lariani porzucają Baldura.
7297:  Nie zgadzam się.
7297:  Bardzo dobrze, że to robią.
7299:  Lariani wiedzą, co robią, ponieważ porzucają grę w tym momencie, w którym są in their prime i przechodzą do następnego tytułu.
7307:  Właśnie nie doją tytułu.
7308:  Niesamowicie to szanuję.
7311:  Niech robią Divinity Original Sin 3, niech zrobią jakiekolwiek inną grę, a potem mogą zawsze wrócić do świata Dungeons & Dragons.
7323:  Ja nie mogę się teraz ruszyć, moi drodzy, ja się nie mogę teraz... Trzeba zejść ze sceny Niepokonanym dokładnie.
7330:  Ja dalej się nie mogę ruszyć.
7334:  Jezus, ja nie wierzę, ja nie wierzę.
7336:  Czy Bardo to nie jest jak 92, tylko z lepszą grafiką?
7338:  Uuu, no, no, no, no, to jest naprawdę samodzielna i równocenna gra.
7344:  Uwielbiam ten efekt monstrancji naokoło naszego level-upu, to jest wspaniałe absolutnie.
7353:  Spadło do 68 fps.
7357:  Dlaczego rozmawiamy z martwym człowiekiem?
7361:  On ewidentnie jest martwy, nikt nie ma takiego koloru skóry.
7370:  Ja w dalszym ciągu się nie mogę ruszać.
7374:  Konradzie absolutnie się bawimy doskonale.
7376:  Coraz lepiej.
7378:  Czy grałem we Neverhood?
7379:  Oczywiście, lipiech, że grałem we Neverhood, a na czacie masz największą fankę Neverhooda, to znaczy Dominika Jamniko, twórczynię Klimczak.
7386:  To... Moi drodzy, to jest... To jest Monty Python na tym etapie.
7391:  Urszula, dziękuję ci serdecznie za trybut.
7393:  Urszula się cieszy, że przyszła bluza i t-shirt z Jamnikiem.
7396:  Ja nie mam bluzy z Jamnikiem, musiałem sobie sam doczepić Jamnika.
7401:  Wiesz, kurczę, ja nie wierzę po prostu w to, co się dzieje.
7403:  No nie, nie, absolutnie nie wierzę w to, co się dzieje.
7412:  Nie wiecie, co się działo?
7413:  Ten człowiek, który nie jest martwy, zrobił pop-out, a strażnik za nim zrobił pop-in.
7419:  W ten sposób...
7428:  pomyśleć, że za kilka dni piraci będą mieli w pełni funkcjonalną grę ze wszystkimi dodatkami.
7432:  Tak, tak.
7434:  No więc, moi drodzy, zobacz, przetestujemy sobie spadki FPS-ów.
7436:  66 FPS-ów.
7438:  67.
7438:  O!
7439:  56!
7439:  48!
7439:  4090 my ass.
7439:  Hehehehe.
7439:  Fajnie, fajnie.
7439:  46 FPS-ów.
7440:  Super, super.
7440:  Pięknie się bawimy, pięknie.
7456:  Tak to się kończy, właśnie jak recenzenci nie sprawdzają stanu technicznego gry.
7461:  Mhm, bardzo fajnie, bardzo fajnie, bardzo fajnie.
7464:  Wystarczy, że się obrócimy parę razy i jest od razu spadeczek.
7467:  A zauważcie, że tu w tym mieście nikogo nie ma.
7469:  59 fpsów.
7472:  Fajnie, fajnie.
7475:  To jest nieprawdopodobne to, co tu się dzieje.
7477:  Ja jestem w szoku.
7478:  Ja zwykle nie nadaję tak strasznie na stan techniczny gry, ale nie mam powodów i ściny.
7484:  U mnie też, żeby nie było.
7486:  Ściny nie są z uwagi na procesor.
7490:  Jest niewiarygodne.
7492:  4090 i Intel 9.
7494:  I 64 giga RAM-u.
7496:  Niech wsiąknie.
7502:  Niech wsiąknie.
7505:  Jezus, nie no, to jest bezczelne auto, to jest naprawdę bezczelne.
7508:  67, no.
7514:  Nie ma NPC-ów w ogóle, to jest miasto, które jest obumarłe.
7520:  Ta grafna była robiona przez AI?
7522:  Wiesz co, Flomi?
7522:  Tak.
7523:  Restricted entry, oczywiście.
7527:  Oczywiście, w otwartym świecie nie mogę wejść do... A wejdę.
7532:  Strażnicy zareagują, a będę strzelał?
7534:  Nie.
7541:  Ooo, zareagowali!
7545:  Dobrze!
7554:  Proszę!
7556:  To po to było, moi drodzy, żeby można było wprowadzić mikrotransakcje na ożywienie.
7583:  Pięknie, pięknie.
7586:  Recenzenci zabijali NPCów, żeby mu płynność była większa?
7588:  Poważnie?
7592:  Revive.
7605:  To była najgorsza sesja BDSM, jaką kiedykolwiek w życiu widziałem.
7613:  Rock za największą zaletę powiedział, że świat żyje i jest zapełniony ludźmi jak GTA.
7616:  Polecam wam Luke'a Stevensa, okej?
7619:  Luke Stevens.
7621:  Założę się, że Luke Stevens zrobi tego taką recenzję,
7639:  Wycofuję się z tego, co powiedziałem.
7649:  Wiecie co?
7656:  Tyle w temacie.
7666:  Tyle w temacie.
7673:  Są pewne rzeczy, które są niedopuszczalne, okej?
7676:  Są pewne rzeczy, po których się poznaje człowieka.
7678:  To jedna z nich.
7682:  Przestaję polecać Luca Stevensa.
7684:  Przynajmniej mamy, moi drodzy, najbardziej klasyczny quest, jaki jest kiedykolwiek i zawsze.
7700:  Nie mam kostura.
7702:  To znaczy ucieczka z więzienia.
7723:  Czy chcecie mi powiedzieć, że ja właśnie...
7736:  Odzyskałem... Odzyskałem kostur.
7742:  Odzyskałem kostur, zabiwszy nietoperki i szczury.
7763:  40 fpsów.
7767:  Horizona gramy jutro, Darku.
7768:  To znaczy... Znaczy... Znaczy, wiecie... Nie ma co do tego najmniejszych wątpliwości.
7776:  Albo jutro, albo pojutrze.
7777:  Na pewno w niedzielę jest Horizon.
7782:  A teraz wytłumaczycie mi, gdzie jest nasz Pawn cały?
7785:  Bo on zniknął.
7805:  Wiecie co?
7811:  Wiecie co?
7830:  Wychodzimy z gry.
7832:  Wiecie co jest najlepsze?
7836:  Prawie się nie udało tego zrobić.
7845:  Nie kupujcie gry Dragon's Dogma.
7850:  Została przetestowana.
7851:  Została sprawdzona.
7854:  Zagraliśmy w nią.
7856:  Straciliśmy naszego towarzysza.
7858:  Zlutowaliśmy nietoperze.
