🔴 Detroit. Detroit never changes | DEUS EX: HUMAN REVOLUTION Livestream #5
🔗 https://www.youtube.com/watch?v=GjLx3KIstuk

268:  Witam wszystkich niedzielnie!
7403:  Byłoby to bardziej wiarygodne.
7405:  Jeżeli by się dało wysadzić barierkę, to myślę, że bym tego nie zrobił.
7409:  Dlaczego nie mogę podskoczyć i ją, i ją, i ją?
7412:  Dobrze, mogę.
7415:  Ta akurat jest barierka.
7421:  Iluminaci mają stronę antymemetyczną.
7423:  Ty ich widzisz w pokoju, ale od razu o tym zapominasz.
7426:  Absolutnie.
7427:  Czytałem o tym w ostatnich badaniach.
7429:  One były podlinkowane w artykule wprost, ale niestety ten artykuł jest za paywallem, więc nie przeczytacie.
7442:  Nie no, w ogóle, fajne stowarzyszenia kiedyś to była rozrywka arystokratów, żeby nie było.
7447:  I iluminaci, i żelazo maszański, i tak dalej, i tak dalej.
7451:  Wtedy właśnie tym pozostała.
7455:  Tutaj jeszcze nas kierują, 33 metry gdzieś.
7460:  Może tu jest...
7461:  Co?!
7467:  Ewidentnie czegoś jeszcze nie znalazłem.
7471:  No.
7473:  Coś jest nie tak.
7476:  Coś jest ewidentnie nie tak.
7480:  To przecież nie amunicja do rewolweru.
7483:  Nie rozumiem.
7488:  Przeczytaliśmy całą pocztę.
7497:  Dlaczego mi się to przytrafia?
7498:  Dlaczego mi się to ciągle przytrafia?
7501:  Dlaczego mi się to ciągle przytrafia?
7504:  Dlaczego mi się... No, ja nic nie zrobiłem takiego złego.
7509:  Jaką bombę?
7510:  Przecież rozbroiłem... Czemu?
7513:  Rozbroiłem bombę.
7519:  Bigomeza ma super news, Alex Jones zbankrutował?
7521:  A to już jakiś czas temu chyba nabrudził sobie oczerniając ludzi, przegrał proces zbiorowy z zaszczutymi niewinnymi rodzicami.
7528:  A to już kiedyś w takim razie były jakieś informacje wstępne na temat tego procesu, bo słyszałem, że został wszczęty, czego jednak nie słyszałem, to że finalnie przegrał.
7540:  Bardzo dobrze.
7541:  Chyba tutaj jeszcze coś pominęliśmy, moi drodzy.
7546:  Zaufajcie, zaufajcie mi.
7548:  Jestem doktorem.
7552:  No i gdzie jest ta bomba?
7554:  O Boże, serio?!
7561:  Fredra to kozak był, akurat czytałem jego komedię, pisze MT.
7564:  Ja miałem pytanie z Fredry na egzaminie z romantyzmu na studiach, którego się mega bałem, ponieważ ja stwierdziłem, że co jak co, ale nie zniżę się nigdy do tego, żeby przeczytać Mickiewicza, a wiadomo, że to jest fetysz polonistów.
7577:  No i na szczęście miałem pytanie z Fredry i Monachomachii.
7582:  Fredro się kwalifikuje jako romantyk, więc easy.
7587:  Natomiast pytanie z... Monachomachii było pytaniem z oświecenia.
7599:  Dobrze.
7601:  Natomiast zemsta mi nigdy nie podeszła, ale to głównie dlatego, że... Jaki zły chwyt!
7605:  Przestań oceniać mój chwyt!
7607:  What she said.
7609:  Zemsta mi nie podeszła dlatego, że zostałem zmuszony w gimnazjum do odgrywania roli w tej sztuce.
7614:  Przypadła mi rola Cześnika.
7616:  Musiałem się uczyć na pamięć kwestii.
7618:  Ja!
7620:  Ja!
7624:  Trzynasta Księga Pana Tadeusza jest udana.
7627:  To prawda.
7630:  Zmrok wieczorny, babcia siwa przy kominku głową kiwa nas jak haczek okulary, coś pierdoli, babsztyl stary.
7634:  Tak.
7636:  Stanowczo tak.
7643:  Dobra.
7651:  Centrum Kongresowe i coś jeszcze.
7654:  Michelle Waters musimy znaleźć.
7656:  Gdzie jest Michelle Waters?
7658:  Może uda nam się znaleźć... Nie.
7665:  Gdzie ona jest?
7668:  Sprawdźmy w... Aha.
7679:  Aha.
7680:  A zróbmy tak, chytrze.
7685:  Gdzie nas teraz kierują?
7688:  Dobra, cholerawie, idziemy za tym znacznikiem.
7698:  Ulubiona teoria spiskowa.
7700:  Chyba nie, teorie spiskowe mnie denerwują bardzo.
7703:  Wypieram je bardzo szybko.
7706:  Bo one mają bardzo mroczny sposób oddziaływania na nasze umysły.
7711:  I zawsze jak słyszałem o czymś, to natychmiast starałem się znaleźć informacje debankujące to.
7724:  Jeśli chodzi o Mickiewicza, pisze Astray, zawsze mnie wkurzało to, że kazajno analizować każdy element trzeciej części dziadów.
7728:  Ja właśnie Mickiewicza nie znoszę głównie z uwagi na dziady, które uważam za odpowiedzialne za wytworzenie tego naszego idiotycznego mitu polonocentryzmu.
7738:  Jasne, w tamtym czasie się to przydawało, ponieważ nie wiem, nie było państwa polskiego, ale jakby czytanie tego dzisiaj i potem dziwienie się, że w Polsce narastają nastroje ultraprawicowe umyka mi, jak można nie dostrzec analogii między jednym a drugim.
7755:  Okej.
7765:  Czy to jest Michel Walters?
7769:  W życiu byśmy tutaj nie trafili.
7773:  No i gdzie jest nim Michel Walters?
7778:  Przecież szlak niejasny trafi.
7781:  Ewidentnie nas tutaj kierowali.
7782:  Ewidentnie nas tu kierowali.
7787:  Chyba, że... że ten znacznik nie działa, to jest możliwe.
7794:  A może ona tu jest?
7796:  W metrze.
7800:  Nie no, po prostu ten znacznik jest do dupy.
7808:  Przy centrum kongresowym to jest?
7813:  Okej.
7815:  Okej.
7821:  Ależ wszyscy banuj czytają dziady, na tym polega problem.
7825:  To jest lektura, w związku z tym wszyscy mają okazję zapoznać się na lekcjach języka polskiego, wszyscy, z tym, co jest oczkiem w głowy prawicy, ale w ogóle nie ma lektur, które są lewicowe.
7838:  A jeśli są, to są tak potwornie gówniane, że nie masz szans, żeby społeczeństwo się nie polaryzowało.
7845:  Na tym polega problem, jeden z wielu oczywiście.
7848:  Dobra, nie umiem używać tej mapy, naprawdę nie umiem używać tej mapy.
7860:  Nie tu.
7862:  Może tędy?
7864:  Tak!
7865:  Tu jest południe.
7872:  Ten znacznik to jest naprawdę dramat.
7874:  Gdzie jest przejście tego hędożonego centrum kongresowego?
7878:  Tędy jednak?
7883:  Potencjalne lektury preferujące światopoglądowe centrum.
7886:  To jest fantastyka!
7888:  Myślicie, że dlaczego ja zawsze mówię o fantastyce, tak?
7891:  Fantastyka nie radykalizuje politycznie!
7895:  tylko daje możliwość rozstrzygnięcia neutralnego, czy jesteśmy po tej stronie, czy po tej stronie, przemyślenia idei.
7903:  Nie wali nam po głowie i nie wtłacza tego, jak propagandę zimną i bezsensowną i antyintelektualistyczną.
7911:  O Boże, niesamowite!
7914:  Michał Witkowski ma poglądy lewicowe, jego książki są lewicowe, wow!
7919:  Wow!
7920:  Nieprawdopodobnie... Nie spodziewałem się!
7925:  Niesamowite!
7928:  I później jeden, drugi interpretator mówi o tym w swoim eseju i wszyscy mają takie... Wow!
7935:  Co on odkrył?
7939:  A tymczasem fantastyka tak dobrze kamufluje się, że Sylwia Hutnik długie lata nie wiedziała, że Margaret Atwood jest klasyczką pisarstwa feministycznego.
7948:  I jak już z nią rozmawiała kiedyś na festiwalu literackim w Sopocie, to wyszło, że nie zdała książek,
7954:  bo opierała całą swoją wiedzę na temat serialu.
7957:  Sylwia Hutnik napisała Kieszonkowy Atlas Kobiet i jest traktowana jako klasyczka pisarstwa feministycznego i teorii feministycznej w Polsce, napolonistyka.
7964:  Tak?
7965:  Tak.
7971:  Przy okazji jest również klasyczką usprawiedliwiania ludzi, którzy mówią o dręczeniu zwierząt.
7981:  Więc upolitycznione teksty, zauważcie, będą się zawsze zdarzały częściej tam, gdzie będziemy mieli akcję osadzoną w świecie nam znanym, ponieważ to się samo narzuca, tak?
7998:  Marcin pociesza, że dziadów się nie da zrozumieć.
8002:  No już, ale interpretację musisz wykuć, tak?
8005:  I później to śpiewać.
8009:  Dobra, jeżeli tutaj nie będzie tej cholernej Walters, to mnie szlak traci.
8013:  Bardzo dziękuję, że pomagasz nam, Adam, ale uciekamy z czasu.
8016:  Jesteśmy w oczywistości.
8019:  White jest umarły.
8021:  Znajdziesz go w górach pod precyzją.
8023:  O, jaki relaks!
8024:  Czekaj, jest umarły?
8027:  Man, im mniej detali, tym lepiej znam.
8029:  W każdym razie, szef mnie wreszcie zaskoczył i wysyłał niektórych mężczyzn, żeby pomóc.
8034:  Więc wyjdziemy z tego miejsca.
8035:  W porządku.
8036:  Co jeszcze?
8036:  Tak, tutaj, weź to.
8038:  Policja ma znowu Deadpool.
8039:  Nie podoba mi się to, ale zabierzesz zabójcę, a dostaniesz bountę.
8043:  Zresztą, Nicky, bomba White'a nie była nawet eksplozją.
8047:  To była bomba z gazem.
8049:  Udało mi się ją odzyskać, ale może chcesz dostać tam drużynę do dyspozycji, żeby poprawić to.
8055:  Ah, cholera, zupełnie zapomniałem o tym.
8062:  Jarośniko z ciekawości pyta, macie jakieś stanowisko względem wydarzenia w Nowej Fantastyce sprzed kilku lat, kiedy za opowiadanie Dalian będzie świartowany komuny przepraszanej kanału A&O?
8070:  Ja się nie dziwię się, bo pierwsze to było bardzo kiepskie opowiadanie i źle świadczy o Nowej Fantastyce opublikowanie go, ale...
8077:  Jeszcze gorzej o Nowej Fantastyce i o ekipie Jerzego Rzymowskiego świadczy fakt, że przyjęli opowiadanie, a potem wyrzucili opowiadanie.
8084:  Nie robi się takich rzeczy.
8085:  Trzeba wziąć odpowiedzialność za to, co się robi i zacząć bronić autora.
8093:  jeżeli stwierdziło się, że jest się po stronie autora i przyjęło się opowiadanie.
8097:  A jeżeli się przyjęło opowiadanie i potem się mówi, że tak naprawdę coś mnie przyjęli, to jest niejednoznaczne, po jakiej stronie stoi redakcja.
8103:  Redakcja zawsze powinna stać po stronie autora.
8105:  Jest przynajmniej moje zdanie.
8106:  Nie zmienia faktu, że to opowiadanie jest potworne gówno.
8111:  Dobrze, ewidentnie... Nie wiem, czy nas tutaj kierują.
8119:  Wiecie co, ja się...
8121:  Ja się powoli poddaję, to znaczy absolutnie nie wiem, gdzie nas kieruje ten znacznik.
8128:  Bo ten znacznik jest tak źle zrobiony, że to się w głowie nie mieści.
8141:  No widzicie?
8142:  Teraz 3 metry do znacznika.
8146:  Co się dzieje?
8159:  Wiecie co?
8162:  Michelle Walters, tak?
8165:  Dobrze.
8166:  Jak wy ze mną tak, to ja z wami tak.
8171:  Michelle Walters, Deus Ex.
8178:  Gdzie jest Michelle... Gdzie jest... Where the fuck is Michelle Walters?
8188:  Oczywiście nie ma nigdzie informacji na temat tego, where the fuck is Michelle Walters.
8195:  Where is Michelle Walters?
8196:  To jest w budynku.
8198:  Do bloku niedaleko stacji benzynowej?
8204:  Przecież to jest jakiś kompletny absurd.
8209:  Walters.
8213:  Aha.
8216:  Upon reaching her apartment.
8218:  Jak ja się cieszę, jak ja się cieszę, że dostaliśmy informację, gdzie to jest.
8228:  To jest jakiś absolutny dramat.
8231:  Dobrze, proszę bardzo, dobrze, znalazłem, znalazłem, znalazłem nagranie.
8238:  Leźliśmy tutaj tysiąc razy.
8241:  Tu jest Michelle, dobrze, czyli da się dotrzeć do Michelle Walters.
8247:  Przepraszam najmocniej, w życiu tutaj nie ma znacznika.
8250:  Gdzie?
8251:  Jak?
8252:  Co?
8261:  To ja wiem, że można zmienić poziom na mapie, ale to mnie nic nie mówi, tak?
8268:  Come on!
8273:  Czyli jednak musimy iść do bloku mieszkaniowego w centrum.
8282:  Ja nic nie mówię.
8286:  A, i teraz znacznik nagle magicznie zaczął działać.
8290:  Czy ja tego nie przechodziłem?
8291:  Władca śmierci, ja to przechodziłem kilkanaście razy.
8294:  Kilkanaście razy.
8297:  Przecież szlak niejasny trafi.
8298:  Byliśmy w tym budynku.
8299:  Aaaah!
8301:  Aaaah!
8318:  Sen.
8323:  Dlatego właśnie... Nigdy nie należy mi dawać pozwolenia na broń.
8331:  Biorąc pod uwagę, jakie problemy z pamięcią ma Krzysztof, Krzysztof musi zagrać w wilisko Elysium.
8338:  Tak powiadają.
8344:  Czy jesteśmy w bloku mieszkaniowym w centrum, czy jeszcze nie?
8347:  No!
8348:  Tu jest znacznik!
8350:  Hędosz się w swój cyfrowy odwłok, durny znaczniku!
8362:  Jakiś tam znacznik.
8365:  Nieprawdopodobne.
8367:  Po prostu nieprawdopodobne.
8369:  Nieprawdopodobne!
8370:  Nieprawdopodobne!
8392:  W alternatywnej linii czasoprzestrzennej Michelle Walters nie przeżyła starcia z Adamem Janssenem.
8398:  W obecnej linii czasoprzestrzennej Michelle Walters straciła lodówkę.
8409:  No i co?
8435:  Michelle Waters boi się.
8437:  Ja nie wiem dlaczego się boi, ja tylko jej wyrzuciłem lodówkę z mieszkania.
8444:  Boi się o pącz z lodówki.
8447:  Nie, nie, jesteś z Rollin' Meals.
8450:  Jesteś za ładny, żebyś był z Rollin' Meals.
8452:  Nie, nie jestem.
8454:  Pani Michele Walters, prawda?
8457:  Nazywam się Adam Jensen.
8459:  Nie, nie, jesteś za młody, żebyś był nim.
8463:  Musisz być z Roland Mills.
8467:  I proszę, jeśli chcesz... Właśnie twój obiadek wyjechał drzwiami!
8471:  Tak, ładny mężczyzna.
8473:  Wciąż ma moje zdjęcia... ...o Adamie.
8476:  O, możesz być mężczyzną i zabrać je dla mnie?
8482:  Nie zapomniałam, kto je ma.
8491:  Co sądzę o dziełach kultury japońskiej, a nie lub gry?
8493:  Czy sądzisz, że warto byłoby niektóre elementy jej prowadzić do naszej kultury?
8496:  Ja w ogóle jestem za tym, żeby uczyć nie narodowej kultury w szkole, tylko po prostu kulturoznawstwa, tak?
8502:  Tyle.
8503:  Natomiast jest precedens już historycznie, więc mogę się na to powoływać.
8507:  Nikt nie może powiedzieć, że to jest utopia.
8510:  Mianowicie w międzywojniu
8512:  Była rozdzielona historia literatury, gdzie się wkuwało te wszystkie rzeczy, które się i tak wkuwa do egzaminów teraz, a oddzielnie był przedmiot język polski, gdzie się uczyło mówić i pisać.
8521:  Uczyło się mówić i pisać na różnych utworach.
8523:  No wtedy akurat nie było specjalnego wyboru, ale dzisiaj jest.
8527:  W związku z powyższym można byłoby spokojnie to wykorzystać, prowadzić taki przedmiot.
8530:  Wydzielić sobie te wszystkie interpretacje.
8532:  Nigdy nie przekonacie ludzi nigdy do tego, że nie ma być propagandy opartej o listę lektur.
8537:  Nigdy nie przekonacie do tego ludzi.
8538:  Nie ma takiej możliwości.
8540:  Więc to jest jedyne rozwiązanie kompromisowe, a i tak nikt tego nie weźmie.
8543:  Dlatego też reformowanie nie ma żadnego sensu.
8546:  Jedyny sens ma edukowanie ludzi i efekt kuli śnieżnej.
8555:  Pierwsza zasada roleplayu, i w tym Immersive Simów, do not fuck with NPCs, to jest szczególnie zasadne w odniesieniu do serii Dark Souls.
8563:  Nie, nie, nie wiedza o kulturze.
8580:  Język polski.
8583:  I uczenie interpretacji na anime, na grach, filmach, fantastyce, co ludzie chcą.
8593:  A wiedza o kulturze to był przedmiot zapchaj dziura, który nic nie wprowadzał.
8598:  To była taka bidna komparatystyka, czyli porównywanie opera, muzyka klasyczna i literatura, jakby było jej mało.
8605:  Oj, oczywiście, sztuka, a taka prawdziwa, nie tamże concept art.
8609:  Sztuka, ta w ramach, do 1900 roku, bo nie później.
8613:  Nie daj Boże, by ludzie zobaczyli na przykład Renée McGree albo Salvadore Dalego albo obecnego swoją drogą w Detroit Become Human w ramach aluzji Francisa Bacona.
8623:  O nie!
8624:  Tylko nie to.
8629:  Udobruchamy starszopanie.
8631:  Starsza pani musi zniknąć!
8638:  Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
8669:  O, jesteśmy specjalni.
8672:  Znaczy, wyjątkowi.
8673:  Starowinka wygodnie zapomniała.
8696:  Mroczne karty ze swojej przeszłości jako siostry Ratched.
8700:  Tak, to jest zupełnie inna osoba.
8706:  Nie jestem Adamem Jensenem.
8709:  Nie jestem Adamem Jensenem.
8726:  O, Basia mówi, że na lekcji polskiego była puszczona animacja katedra bagińskiego.
8748:  To jest dobry pomysł.
8749:  Chociaż stuna już się bardzo mocno zestarzała.
8751:  Jest dość kryptyczna, jak się nie zna opowiadania.
8754:  Pani Walters, proszę.
8755:  Wiem, że to było chwilę temu i pamiętać o wszystkich detaliach może być trudne, ale czy uważasz, że możesz spróbować się odpocząć na chwilę?
8763:  Co powiedziałeś detektywu?
8765:  No, panie Radford i ja rozmawialiśmy o wielu, wielu rzeczach.
8770:  Ale czy nie masz jedzenia do dostarczania?
8772:  I gdzie jest moje śniadanie?
8778:  Razem z Ludówką na korytarzu.
8779:  Miss Walters, please.
8780:  I know it was a while ago.
8782:  And remembering all the details might be hard.
8784:  But do you think you can try and focus for a minute?
8787:  What did you tell the detective?
8788:  Well... Mr. Radford and I spoke about many, many things.
8795:  But don't you have meals to deliver?
8800:  And where is my dinner?
8802:  Miss Walters, please.
8803:  I know it was a while... Well...
8806:  Pani Walter... Pani Wal... Cóż... Pani Walter... Cóż... Dziękuję.
8815:  O, zanim zapomnę... Jeśli widzisz Adamu, proszę go dać to.
8819:  To dla wszystkich świąt i świąt, które zapomniałam.
8822:  Zabrałem je.
8823:  Zabrałem je.
8827:  Zabrałem je.
8829:  Zabrałem je.
8830:  Zabrałem je.
8830:  Zabrałem je.
8831:  Zabrałem je.
8832:  Zabrałem je.
8833:  Zabrałem je.
8834:  Zabrałem je.
8834:  Zabrałem je.
8837:  Make sure he get something nice.
8840:  Joanna Kubisz pisze, że głos pani Walters brzmi jak upiorny megafon zza grobu.
8845:  Zostaw panią Walters w spokoju, ale pani Walters bardzo chciała obiad.
8852:  Udław się tym obiadem!
8856:  Dobrze, nie jestem w stanie tego zrobić.
8860:  Ale było to katartyczne.
8865:  Pritchard.
8867:  Potrzebuję, żebyś zapłacił sekundę bezpieczeństwa do apartamentu na Brooklyn Court, aż uda mi się znaleźć lepszą, permanentną solucję.
8873:  Jej imię jest Walters.
8875:  Michelle Walters.
8876:  Sekundę bezpieczeństwa?
8877:  Co do diabła, Jensen?
8879:  Chciałem powiedzieć, że dostaliśmy już obiekt.
8884:  Myśmy już zostawili panią Wolters w spokoju, prawda?
8890:  Przyszło jedzonko!
8910:  Tak!
8911:  Udało się!
8913:  Starsza pani musi zniknąć!
8920:  Teraz, teraz, teraz zniknie w pełni.
8927:  Czekajcie, szafa czy łazienka?
8929:  O, na łóżko.
8931:  Nikt się nie zorientuje?
8935:  No dobrze.
8936:  To nie jest pozycja, w której się przeciętnie zasypia, ale powiedzmy, że nikt się teraz nie zorientuje.
8940:  Dobrze.
8941:  Starsza pani musi zniknąć i zniknęła.
8944:  Dobrze.
8946:  Astrali dopytuje, czy oglądałem Overlorda anime.
8951:  Nie, jeszcze nie oglądałem.
8953:  Trochę kreska mnie odstręczyła.
8955:  No właśnie, piszesz, że CGI trąci myszko.
8957:  To jest problem w moim przypadku.
8958:  Ja tak odpadłem od Neon Genesis Evangelion, niestety, i później na szczęście się okazało, że są cztery filmy, które podsumowują historię.
8967:  To jest sprawa dla agentów NCIS.
8969:  Czemu ją mordujemy?
8970:  Nie, nie, nie.
8971:  To nie było morderstwo.
8973:  Annie Walters bardzo chciała otrzymać jedzenie.
8979:  Więc dostała całą dietę pudełkową, jaką mieliśmy w zanadrzu.
8986:  Okej, tędy.
8997:  Jan pisze, że na polskim mieli dwie grupy i interpretowali ten sam obraz Dalega.
9002:  Szczerze powiedziawszy nie wiem, dlaczego akurat ten sam.
9005:  Czy co, miało to ukazać różnicę w interpretacji, czy wręcz przeciwnie?
9012:  Yakuza?
9014:  Chyba, chyba kiedyś to ogrywałem, bardzo dawno temu, pierwsza część.
9018:  Co on... Bardzo podobna do Mafii.
9022:  Y, Mafia, Mafia zawsze jakoś lepiej, bardziej lubiłem.
9024:  Y, Jade do dobrego znacznika.
9028:  Na tym etapie?
9030:  Cholera wie.
9035:  Eee?
9041:  A, no nie szedłem do dobrego znacznika.
9045:  No nie szedłem do dobrego znacznika, tak ewidentnie nie szedłem do dobrego znacznika.
9052:  Nie!
9053:  Dlaczego mi się to zawsze przytrafia?!
9056:  L.A.
9057:  Noire.
9058:  Nie ogrywałem.
9059:  Mam kupione, ale nie ogrywałem.
9062:  Trochę mnie odstręczyło to, że gra nie była polonizowana, a ja nie znoszę slangu CSI-owego i detektywistycznego amerykańskiego.
9078:  Czy playlista ze Spotify'a The Sadest Dagskund będzie aktualizowana?
9082:  No, ledwie przedwczoraj była!
9086:  Wrzucam tam rzeczy, które zobaczę, że są wystarczająco smutne.
9094:  Nie wiem, czy wiecie, o czym mówimy.
9096:  Jeżeli nie, to ja bezwzględnie muszę pokazać, o czym mówimy, ponieważ playlista Wesades Dachshund ma bardzo znaczący obraz.
9106:  To znaczy, to jest najsmutniejsze zdjęcie Jamnika, jakie udało mi się gdziekolwiek znaleźć.
9111:  Jamnik patrzy w przestrzeń przez okno i wyraża niebosiężny smutek.
9118:  Nieprzenikniony smutek.
9122:  Więc tak, to jest playlista Wesadę z Dachshund, moi drodzy.
9128:  Jest quasi-oficjalne spolszczenie.
9130:  O Jezus, jak ja nie lubię quasi-oficjalnych spolszczeń.
9133:  I tak będziemy to testować, moi drodzy, przy Nier Automata.
9144:  Ja uważam, że naprawdę wydawanie gier dzisiaj, czy w ogóle współcześnie, które nie mają większości dominujących języków w ramach lokalizacji jest trochę niepoważne.
9155:  Maciek pisze, że robię przykrość.
9156:  Czemu, Maćku, robię przykrość?
9159:  Czy ja idę w dobrym kierunku?
9165:  Można było jamniczą emotkę dać.
9167:  Można było.
9169:  To prawda.
9174:  Okej, okej, moi drodzy.
9176:  Finally!
9178:  Some action!
9182:  Jezu, tak, a nie, to jest rewolwer.
9183:  Psia krew.
9184:  Czemu wszyscy mają rewolwery?
9191:  Lotówka.
9193:  Aaa, smutny jamnik sprawił przykrość.
9195:  Smutny jamnik ma tylko wprawić nas w głęboką melancholię.
9203:  Weźże mi się podziubu!
9206:  Nie rób mi ziazi!
9212:  Ej, znam go!
9226:  Ja go znam!
9232:  Nie chce kodu do sejfu.
9234:  Myśmy go kiedyś, żeśmy go przecież uratowali, on sterował tym atakiem na Sarif Industries na początku.
9243:  Kiedy nowa gra?
9243:  Pyta Marta Szczepaniak.
9245:  Będzie w przyszłym tygodniu Beyond to Souls w sobotę, a w niedzielę kontynuujemy Deus Exa.
9253:  Właśnie będzie w sobotę Beyond, też WRKLD pyta o to.
9257:  A po Beyond możliwe, że właśnie Nier Automata.
9265:  Czego?
9266:  Co znowu?
9267:  Gdzie?
9267:  Weź mi z tą amunicją do rewolweru.
9269:  Chędosz się z amunicją do rewolweru.
9272:  Achyżo.
9274:  Tylko amunicja do pistoletu.
9284:  Powinna być opcja do pogadania z nim.
9289:  No to sobie już nie pogadamy.
9292:  Eee...
9301:  Pritchard, wygląda na to, że Sandoval ma sekretny bunkier.
9310:  Będę go wyczerpał.
9313:  Pomóżmy mu, by był tam.
9323:  Dzień... Nie, nie, nie, nie, nie.
9328:  Mówcie mi, że w złym momencie wczytałem.
9332:  F2, F2 bardzo szybko.
9335:  Proszę drogi.
9337:  Tak!
9340:  Ale fuks.
9342:  Och.
9353:  Witamy Clarę na czotach!
9358:  Dajcie spokój.
9360:  Głupi ma zawsze szczęście.
9366:  I'm gonna find you!
9369:  I tak nie masz tak pięknego akcentu amerykańskiego jak Chloe Grace Moretz w peryferalu.
9375:  Klara myślała, że gramy w Stanleya.
9377:  O nie, nie, nie.
9378:  Stanley, moi drodzy... Stanley Parable zasługuje na to, żeby grać w niego tylko w nieoczekiwanych sytuacjach.
9385:  Wtedy, kiedy się wszyscy najmniej tego spodziewają.
9393:  Hmm... Aha.
9403:  Widziałem cię!
9445:  Jak kaczki!
9447:  Jak kaczki!
9451:  Bez urazy dla proroka kaczk.
9460:  Weźcie mi te naboje do strzelby.
9463:  Proszę się uprzejmie hendożyć z nabojami do strzelby.
9470:  O, weźcie z tym alarmem!
9479:  Sarah North pisze, że kocha jamnikomotki.
9481:  Co za piękna nazwa.
9483:  Wszystko zasługa Dominiki Jamnikotwórczyni Klimczak, której dzisiaj nie ma na czatach, ale to nie oznacza... Wiecie co?
9489:  Ja o tym mówię, ale ja tego nie pokazuję.
9496:  Ja was bardzo proszę, żeby... Ja podam link nawet.
9504:  Ja was bardzo proszę, ażeby wejść tutaj
9508:  To jest Instagram.
9509:  Podałem link.
9511:  I żeby dać obserwowanie Dominice.
9514:  Ja potem zapamiętałem liczbę obserwujących.
9517:  Jest 9160.
9518:  I dajcie miłość Dominice.
9521:  Jeżeli się podobają wam jamnicze emotki, zróbcie to.
9526:  Dominika będzie bardzo szczęśliwa.
9529:  Zwłaszcza, że Dominika zwraca uwagę na liczbę obserwujących.
9538:  Nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie.
9546:  I jest program Stop Ksiądz Robak, o to chodziło.
9553:  Krzysztof i zapamiętywanie liczb.
9555:  O, to bardzo proste.
9556:  Od tego mam zapis streamu, moi drodzy.
9559:  Nic się przede mną nie ukryje.
9561:  Co to jest?
9564:  To jest puszka coli.
9565:  Wiecie, co jest najgorsze?
9569:  Absolutnie najgorsze jest to, że przez moje obecne dolegliwości nie będę już mógł pić coli.
9580:  I żadnych innych napojów gazowanych.
9582:  I jeść pizzy.
9584:  Cudownie.
9585:  Znaczy nie, mogę bezglutenową.
9589:  Ale niemożność picia coli, o Jezus, smar... Całe życie.
9594:  Całe życie piłem colę.
9596:  Jestem tak tym faktem zasmucony, jak tylko można być zasmuconym jakimkolwiek faktem.
9603:  Doktors Odess, moi drodzy.
9605:  Niestety.
9608:  Bakterii Coli też nie mogę, tak.
9612:  Ich też nie mogę.
9613:  Generalnie nie polecane.
9616:  Ale, ale... No, pizza mnie dobiła, muszę powiedzieć.
9622:  Wiecie, że mamy już dwanaście... Nie no, mamy dwanaście na... Przecież to jest jakaś katastrofa.
9627:  Czym ja będę strzelał?
9629:  Autentycznie nie mam czym strzelać.
9635:  Okej, sytuacja się zrobiła skomplikowana.
9645:  Ja myślałem, że karabinu bojowego mamy mnóstwo amunicji.
9654:  That's what he said, pisze Aśku.
9665:  Nie no, będzie trzeba korzystać z tych chętnożonych strzelb potem.
9674:  Już planowana jest emotka i jamnika foliarza.
9677:  W sumie można byłoby, baton energetyczny cyberblasta, dawno nie było.
9681:  Oczywiście, że tych drzwi się nie da otworzyć.
9685:  O, nie masz prawa, nie masz prawa.
