Total War: Warhammer II — CYLOSTRA DIRELFIN livestream
🔗 https://www.youtube.com/watch?v=R6IbYz1NgRM

3:  Witajcie na streamie.
4399:  Czemu, czemu Sajlostra ma nagle taką niską... Dobrze.
4407:  Już, już, już, już, atakujcie.
4410:  Sajlostra spieprzaj.
4413:  Oficjalne... No przepraszam, taktyczny odwrót.
4418:  Tak to się zdaje się nazywa.
4422:  Dobrze, potrzebujemy tutaj wzdętego trupa, przynajmniej jednego.
4426:  Potrzebujemy te jednostki, które i tak są beznadziejne.
4434:  Eliksir nam jeszcze nie jest potrzebny.
4437:  Jest nam potrzebny.
4439:  Ach, bo tutaj nas przyszpilił ten... ...wróg, niedobrze.
4446:  Myślę, że...
4450:  Myślę, że to jest moment, gdzie wzdęty trup nam pomoże.
4458:  No, no, no, no, no, no, no, no, no, no, no, no, no, no.
4460:  Tutaj, tutaj.
4461:  Tak, tak, tak, tak, tak, tak, tak, tak.
4465:  Pięknie.
4477:  Sajlostra.
4489:  Dobrze, tamci łucznicy są zajęci.
4496:  No nie wiem, czy tego wzdęty, wzdęty trup będzie nam potrzebny.
4499:  Słuchajcie, czad wiem, że wygląda to jak taktyka zrozumna pod koniec kampanii.
4503:  Tak.
4505:  To jest wszystko taktyka.
4510:  To jest... To jest najlepsza taktyka... No jak bylibyście na bitwie... Na polu bitwy D.Va operował, to co byście robili?
4518:  Taktyczny odwrót to jest najlepsza rzecz.
4523:  Okej, w tym momencie myślę, że artyleria... Artyleria ma napieprzać włóczników, to jest najlepsza opcja.
4538:  Dobrze.
4539:  Silostrze się udało.
4540:  Teraz, teraz, teraz, teraz wszyscy...
4546:  Wszyscy strzelają do gębopluja.
4549:  Znowu zdanie, które nie myślałem, że wypowiem kiedykolwiek.
4556:  Tak, tak, tak, tak, tak, tak, tak, tak, tak.
4560:  Nie ma nic gorszego niż ork berserker.
4564:  Jakby to był jeszcze jakiś mag, to przynajmniej miałby godność.
4568:  I rikcz.
4570:  A barbarzyńca z półtorakiem nigdy nie ma rikczu.
4577:  Haha!
4578:  Giń!
4579:  Trzeba było się uczyć magii.
4583:  W ogóle, jakie to jest żałosne, wyobrażacie sobie być w świecie fantasy?
4586:  Jakie mamy opcje?
4589:  Ja zostanę księgowym, a ja może będę wojownikiem.
4593:  No, ale nie, że tam można się magii uczyć, tak?
4595:  Nie, nie, no po co?
4604:  Bez sens.
4605:  Pierwsza rzecz, którą bym zrobił, jakbym był w dowolnym świecie fantasy, to od razu poleciał do pierwszej z brzegu Akademii Zimowej Twierdzy.
4614:  Oczywiście, że nie ma.
4615:  Dobra.
4617:  Ucznicy... Ale piękne to jest.
4618:  Zobaczcie, jak tutaj są... To jest akurat dobre spolszczenie.
4621:  Ucznicy dzikich orków.
4624:  Ładnie to zrobili.
4626:  Taktyczny odwrót.
4630:  Magini, idziesz na... Idziesz na przód.
4636:  komu by się książki czytać chciało, no.
4638:  Znaczy, są dwa założenia i dwa systemy magiczne.
4642:  Teraz się, teraz będzie we mnie, będzie ze mnie wychodził dendekowiec, mianowicie albo mamy czarownika, który, tak to się tłumaczyło, czarownik, który
4653:  jest po prostu jakoś zczanelowany z magią i dobrze zsynchronizowany z nią i posługuje się magią jakoś takim żywiołem, na czuja, albo mamy właśnie Magusa, czarodzieja, który sobie siedzi w wieży i się uczy z książek.
4668:  Swoją drogą, fajnie to też rozwiązał Garth Nix w takiej jednej z... moim zdaniem jednej z najzejbistszych trylogii fantasy, jaką czytałem, mianowicie Abhorsen, gdzie też są świetnie przedstawieni nekromanci.
4680:  Idea jest taka, że system magiczny generalnie jest nieokiełznany i związany z siłami natury, ale jeżeli jest się właśnie czarodziejem, który opanował książkową wiedzę, to posługuje się tak zwaną magią kodeksową i to jest uzasadnienie tego, że niektóre zaklęcia magiczne przebierają formułę inkantacji.
4699:  Jakiś, nie wiem, tak po łacinie u J.K.
4701:  Rowling.
4705:  Natomiast jeżeli się posługujemy magią dziką, to jest ona potężniejsza, no ale ma tę wadę, że... No właśnie, jest nieokiełznana i nie wiadomo, jakie będą efekty.
4714:  Byle do przodu oczywiście, czy byle do przodu. 20%...
4721:  Dobrze, ostatni wzdęty trup, którego mamy.
4725:  Jakim cudem... Dobrze, teraz będziemy mieli szereg walk.
4731:  Ta kampania na pewno to nie jest coś, co... gdzie się nic nie dzieje.
4736:  Wręcz przeciwnie, dzieje się aż za dużo.
4739:  Nawet nie mam czasu rozwijać moich miast.
4742:  A tutaj by trzeba było wysokiego strażnika troszeczkę rozwinąć.
4747:  I co?
4749:  No, więc Abhorsena, jak tęsknicie za dobrą fantasy, to polecam bardzo.
4758:  Tam jest też świetnie przedstawiona nekromancja.
4761:  Nekromanci schodzą do takiej dziwnej krainy, trochę jak na wzór mitologii starogreckiej, czyli Hades i te sprawy i jest dziewięć katarakt na rzece umarłych i nekromanci im dalej się wyprawią poza te katarakty, tym potężniejsze dusze mogą pętać.
4780:  Rzadko się w sumie w powieściach fantasy pojawiają nekromanci.
4783:  Rozmieść wojska.
4784:  Dobra.
4785:  Uuu.
4785:  Uuu.
4791:  A tego się nie spodziewałem.
4793:  Nie grałem w Hades, ale strasznie bym chciał, bo swoją drogą dzisiaj były nagrody.
4798:  Chyba to się DICE nazywa, ten festiwal.
4801:  Właśnie Hades dostał główną nagrodę.
4804:  Cyberpunk 2077 nie dostał żadnej nagrody.
4808:  Kto by się mógł spodziewać?
4810:  Natomiast Hades dostał i zasłużenie absolutnie.
4814:  Zaczajmy się tutaj na tego...
4819:  Dobra, potrzebujemy tu naszych najlepszych strzelców.
4825:  Ale Hades jest przepiękną grą, także wizualnie.
4831:  Dobra, mam wrażenie, że trochę się przestrzeliłem i tutaj jednak potrzebujemy kogoś do flankowania.
4838:  Potrzebujemy też Silostrę na przód.
4842:  Dobra.
4844:  To powinno wystarczyć.
4848:  Tak, bo tu jest dosłownie ten jeden bohater.
4854:  Komiksowa kreska jest... no, przepięknie to zrobili.
4859:  No właśnie, to jest też ciekawe, że coraz więcej jest takich gier, które się nie boją kreski komiksowej czy mangowej, no na przykład właśnie grafika w Genshin Impact bardzo mi się podoba z tego względu, że lubię anime i nie wyobrażam sobie, żeby to było zrobione fotorealistycznie, no w ogóle nie byłoby takiego klimatu.
4880:  Uuuu, co to się dzieje?
4887:  No bez jaj, on jest strasznie potężny.
4890:  Musimy się... Dobrze, że tu jest wsparcie ogniowe, bo... Psylostra, przyzwij swoich... To są wszyscy absztyfikanci D.V.
4902:  operowej, którzy do niej zarywali w Bretonii.
4905:  Oni dlatego się przy niej trzymają cały czas, taka jest moja robocza teoria.
4912:  Kto by inny chciał nawet po śmierci dotrzymywać towarzystwa Divi Operowej?
4919:  Ja nie przestanę szkalować Cyberpunka.
4923:  Przynajmniej dopóki nie wyjdzie jakiś patch fabularny, który wypełni jedną dziesiątą tych obietnic, która była zawarta.
4931:  Armia... Tak, to jest armia simpów w Silostry.
4937:  Co drogo, nigdy nie używam tej formacji cleanu, a w sumie powinienem.
4945:  No to nie spodziewałem... Dobrze, ci mogę już dołączyć w takim razie.
4953:  Czy dla Przeciwikandzi to jakiś sequel lalki?
4959:  W sumie tak.
4960:  Boże, jak ja dawno czytałem lalkę i wiecie, co nie żałuję?
4970:  Dobrze.
4970:  I to jest, i to jest dobre wykorzystanie kawalerii.
4972:  Wszyscy łucznicy zostali już wybici w... Jak to się mówi?
4977:  W pieni mówi się, tak.
4979:  Przestają umieć mówić.
4981:  Dobrze.
4985:  Simpy, sajlostry mają trochę taki średni skrót.
4989:  Nie da się ukryć.
4995:  Dobra.
4996:  Jak oni wyglądają w ogóle?
4998:  Dumnie wyglądają.
5001:  Ale cwajłują na białym koniu, jak na Simpa przystało.
5006:  Znaczy, muszę powiedzieć, że trochę nie widzę tych 80% odporności fizycznej, jak dwa razy łupnął go jakiś prymitywny ork z puktorakiem i... 3000 zdrowia poszło.
5022:  Nie widzę tego.
5025:  W wielu grach SS jest to największa ranga, no zwłaszcza w grach wszystkich o II wojnie światowej, czyli większości gier w ogóle.
5036:  Przypominam sobie swoją drogą, że taka moja absolutnie ulubiona gra osadzona w II wojnie światowej, wbrew pozorom, to był... Jak to się nazywało?
5049:  Medlofono Ebo.
5051:  Tam można było, jeśli mnie pamięć nie myli, desantować się w dowolnym miejscu mapy i wow, i na tamte czasy, tego nikt jeszcze wtedy nie wprowadził na taką skalę.
5060:  Dzisiaj ten desant ze spadochronem jest w co drugim Looter Shooterze albo PUBG, czy innym tego rodzaju... Boże, jak to się nazywa?
5068:  Jeszcze zapominam nazwy gatunku tych gier.
5071:  Natomiast wtedy to było takie wow.
5075:  Kolejny fan Ebon.
5078:  To źle?
5079:  Simpem zostajesz za najdalszą kataraktą.
5082:  Bardzo lubiłem Ebon, ale nie ze wszystkich Medal of Honorów najbardziej.
5087:  Tak, ja zawsze byłem po stronie Medal of Honora, a nie po stronie tego Call of Duty.
5091:  Chociaż Black Ops było dobre.
5097:  Aha!
5099:  Frakcja zniszczona.
5100:  To jest to, co lubię widzieć.
5102:  Gra się dalej nie zestarzała, jest dalej super, oprócz ostatniego poziomu z Terminatorem.
5106:  No tak, oczywiście ten ostatni poziom to była komedia absolutna, nie wiem po co im to było.
5113:  Swoją drogą, akurat Medal of Honor Erbon był jedną z takich gier.
5118:  Wiecie co zrobimy?
5120:  Zrobimy zasadzkę.
5122:  Nie, akurat 24%, kurczę.
5126:  Dobra, to nic.
5129:  Ustawimy się tu.
5133:  Battlefield Bad Company 2, hmm... Flakturm był niesamowicie klimatyczny w Airborne'ie.
5141:  Bardzo mi się podobał.
5143:  Natomiast... I no... No, to była dobra misja, dopóki właśnie nie pojawił się ten Terminator.
5151:  Dziewiętnaście headshotów i nic się nie działo.
5154:  No zresztą... Ale zobaczcie, teraz nikogo nie dziwi to, że się wbija dziewięćdziesiąt headshotów i bohater nie ginie.
5160:  Anfem, wspomniany już Cyberpunk,
5174:  Dobra, możemy się wycofać, co jest dobrą informacją.
5179:  Plan taktyczny jest następujący.
5182:  Jak najwięcej z nich wybić, z użyciem trupów i całej reszty, potem się wycofać i zaatakować ich po raz drugi.
5190:  To jest, wbrew pozorom, dobra sytuacja, że on zaatakował.
5194:  Jedyne, co mnie bardzo niepokoi, to są te jednostki, bo one strzelają ogniem, a nasza armia jest całkowicie nieodporna na ogień, jak to trupy.
5204:  W dodatku z kategorią wodniak w większości przypadków.
5210:  I mamy bardzo dobrą mapę artyleryjską.
5215:  Teraz żebym tylko się dobrze rozłożył.
5219:  To jest zdanie, którego nigdy nie wypowiedziała Sylostra.
5223:  Dobrze.
5235:  Morgule nam w ogóle nic nie pomogło w tej bitwie.
5237:  Sylostra najbardziej nam pomoże.
5240:  On w ogóle musi się trzymać gdzieś z tyłu.
5245:  Trup.
5247:  Trup pod jedynką.
5248:  Drugi trup pod dwójką.
5252:  Dwójka tu, jedynka tu.
5258:  Ja bierze rakatę zarmiam.
5261:  No nic, tutaj się robi takie ładne zgrupowanie pod naszą magię.
5264:  Na razie nasza magia jest słaba i to jest główny problem.
5267:  Natomiast myślę, że tu się nie ma co zastanawiać i trzeba tę jedną przynajmniej z tych watach polujących salamander spróbować wybić.
5282:  Bo to jest absolutnie najniebezpieczniejsza jednostka w tym momencie.
5286:  Zresztą zobaczcie, co tu się będzie działo.
5288:  Po jednym, jednej salwie.
5296:  To Warhammera to właśnie taką OP jednostką... Co w Warhammerze jest taką OP jednostką jak Connisa w Rome?
5303:  W tym wypadku będzie to kolos nekrofeksjański, Necrofex Colossus.
5309:  Będziemy je rekrutować, myślę, wkrótce, bo one... Jej się dość szybko rekrutuje.
5313:  To jest wielki kolos z armatami zamiast rąk, który jednocześnie, no, znakomicie walczy wręcz.
5325:  O, o, o, o, o, o!
5326:  Tutaj widzę wzdęty trup materiał.
5332:  Jak jest z balansem jednostek?
5333:  Jest bardzo przemyślany.
5335:  Scena multiplayerowa Warhammera w Total War jest nawet bardzo duża.
5340:  Zaskakująco duża jak na taką grę.
5343:  Natomiast oczywiście tam są... Znaczy główny... Główne decyzje balansowe w Warhammerze Total War były właśnie podejmowane ze względu na scenę multiplayer.
5355:  Ale co ciekawe, jeśli chodzi o streaming, to popularniejszy jest zdecydowanie... Dobra.
5366:  Swoją drogą, Friendly Fire.
5368:  Bardzo lubię Friendly Fire.
5372:  Atakujcie salamandry swojej jednostki.
5374:  Tak, tak!
5376:  Tak!
5377:  Mam dzięki temu więcej swoich jednostek.
5379:  Bardzo dobrze.
5383:  Tu ktoś nas atakuje, dobrze.
5384:  Zdęty trup, nie.
5387:  Jeszcze nie.
5387:  Syreny.
5389:  Syreny tu idą na flankę.
5391:  Wiecie co, nie jest tak źle jak myślałem.
5395:  Prawdopodobnie tu będziemy potrzebować tylko tego naszego Paladyna, tak myślę.
5399:  Na wszelki wypadek.
5401:  Tak, ale te salamandry autentycznie niszczą własne jednostki.
5405:  Jeśli chodzi natomiast o najsilniejszą w ogóle rasę w tej grze, to zdecydowanie to są High Elfy.
5409:  High Elfy mają tak nieprawdopodobnie niezbalansowane jednostki, że granie High Elfami jest w zasadzie tożsame z tym, że praktycznie zawsze się wygrywa.
5420:  Trzeba się bardzo postarać, żeby przegrać.
5423:  Natomiast przy innych frakcjach trzeba już mieć pewne umiejętności w grze.
5428:  Ja w Warhammerze Fantasy mam jakąś chorą liczbę godzin, coś, coś blisko... dwóch tysięcy trzech, coś takiego.
5436:  Jak na strategię... sporo.
5439:  U mnie przynajmniej.
5443:  Gry Blizzarda nie pokazują, ile tam mam, i może dobrze.
5448:  Dobra, dobra, dobra, dobra, tutaj jest ma... tu jest wzdęty trup material.
5454:  Blech!
5454:  Leć, leć, trupie!
5455:  Hahaha!
5457:  Leć, leć!
5464:  Bardzo dobrze.
5465:  A w ogóle atakuje nas druga najsilniejsza frakcja w grze, to znaczy... Uuu, niedobrze.
5472:  To znaczy atakuje nas... To jest powód, dla którego zawsze warto mieć... Gdzie jest nasza artyleria?
5480:  Boże, umknęło mi, że zaatakowana została nasza artyleria i się właśnie dziwiłem, co się dzieje.
5488:  Okej, sytuacja nie jest wesoła w tej chwili.
5499:  Sytuacja nie jest wesoła.
5506:  I głównie widzę, że nam zadają mnóstwo obrażeń... Dobra, to jest moment, w którym... To jest moment, w którym się wycofujemy.
5513:  Znaczy robimy taktyczny odwrót.
5525:  Tak umknęło mi zupełnie to, że zaatakowali nas.
5530:  Naszą artylerię.
5530:  To był błąd, że tego nie zauważyłem.
5535:  Bo te straty od salamandry są za duże.
5542:  Było wycofać się wcześniej, to prawda.
5547:  No nie jest dobrze.
5554:  Zobaczymy, jak będzie na ekranie jednostek.
5557:  Jeżeli będzie za dużo, to zrobię loada.
5562:  Nie, zrobię już loada.
5566:  Nie, nie mogę zrobić loada.
5567:  Zobaczymy, czy później się będzie dało.
5573:  Już, już, już, wycofujcie się.
5582:  Dobra, widzę, że części się udało wycofać.
5587:  Silosa może jeszcze zada jakieś obrażenia.
5594:  Niedobrze, niedobrze.
5597:  Tak, bardzo niedobrze, bo jest rozpad.
5603:  Fatalnie.
5607:  Boże, Lord został ranny, co my zrobimy?
5618:  Trzeba było się wycofać wcześniej.
5624:  Zadaliśmy duże straty i... O nie!
5635:  O nie!
5637:  O nie!
5644:  Dobrze, tak, tak, tak, tak przesądziłem.
5651:  Odratowane mamy trzy jednostki, czyli bardzo niewiele.
5655:  Kogo potrzebujemy?
5657:  Potrzebujemy Lore of Vampires.
5661:  Tak.
5663:  I spieprzamy stąd, do największej naszej osady, czyli tej, gdzie mamy największy garnizon.
5672:  W latającej piramidzie to nas nie interesuje.
5673:  Posok Księżyca nie.
5675:  Tutaj... Tu mamy mury.
5678:  Więc tu uciekamy.
5682:  On ma zasięg?
5683:  Jaki on ma zasięg?
5683:  Dobrze, jest złapany przez nasze miasto.
5689:  Dobrze.
5696:  Pytanie, kogo możemy tutaj rekrutować i chyba niewiele i to jest zła informacja.
5704:  Zła, zła, zła, zła, zła, zła, zła.
5707:  Najgorsze jest natomiast, znaczy inaczej, pozytywy.
5710:  Plus jest taki, że został nam bohater i ten bohater się przyda.
5718:  To jest plus.
5721:  Innych plusów nie ma.
5726:  Utrzymanie.
5727:  Nic nam nie da.
5727:  Siła pocisków dla... Nic nam nie da.
5730:  Siła pocisków dla jednostek młodzieży.
5732:  Karona.
5733:  Dobra, to się przyda za moment.
5738:  Utrzymanie dla wszystkich jednostek, odporność fizyczna, nic nam nie da.
5743:  Utrzymanie dla wszystkich jednostek, zdolność werbunkowa, dobrze.
5746:  Silostra jest o jeden punkt od zdolności, która nam, czy od rytuału, który zapewni nam tę gigantyczną jednostkę i to będzie dobra rzecz.
5766:  Tutaj potrzebujemy
5769:  Tak, tu potrzebujemy powiewu śmierci, zdecydowanie.
5778:  Kogoś możemy wyrekrutować?
5780:  Nie, nikogo.
5785:  Nie ma co nawet próbować.
5789:  Oho, on biegnie za nami.
5791:  A nie, nie biegnie za nami.
5793:  To jest dobra informacja.
5796:  Te prowincje stracimy.
5797:  Co do tego, to już nie ma żadnych wątpliwości.
5799:  Będzie trzeba ją odbić za moment, jak tylko Silostra wróci.
5802:  Martwi mnie częściowo kwestia tego, że straciliśmy nasze najlepsze jednostki, które są od samego początku.
5810:  I to nie jest dobra informacja, ale pytanie, pytanie, czy my tutaj możemy?
5813:  Gdzie jest granica?
5818:  Tak, na to liczyłem.
5824:  Dobrze.
5827:  Dobrze, tutaj robimy mury.
5830:  I to jest wszystko, co robimy, a nasz Gunnery White idzie w tę stronę.
5840:  No ciężka kampania, ciężka.
5843:  O wiele prościej gra się Kapitanem Noctilusem, czyli tym, który przypomina Daviego Jonesa, ponieważ on jest dokładnie w tym miejscu na mapie.
5851:  O, tutaj ma taką cudowną wysepkę.
5856:  cmentarzysko Galeonów mianowicie, bo bardzo ciężko jest oblegać.
5862:  Jest z daleka od obrzydliwego Lorda Mazdamandi, który zostanie przez nas zgładzony za to, co się ośmielił zrobić.
5871:  Na szczęście... szybko się z tego podźwigniemy.
5876:  Kiedy możemy wyrekrutować naszą diwę operową?
5880:  Za dwie tury, dobrze.
5885:  Złoto.
5885:  Potrzebujemy złota.
5893:  Jak jeszcze nas Markus Wolfgart dojedzie od tyłu, to dopiero będzie problem.
5903:  Nie będę ze Skegim żadnego paktu o nieagresji.
5908:  Skaveni nas zaatakowali, a równocześnie naciera zasięg ruchu, nie, naprzód absolutnie, rezerwa mocy magii, trudno.
5919:  Wysoki strażnik, to jest który?
5920:  Tutaj.
5922:  Czy my potrzebujemy tutaj?
5923:  Co my tutaj potrzebujemy?
5930:  A może my tutaj potrzebujemy miejsc, żeby rekrutować bohatera?
5935:  To nie jest zły pomysł.
5937:  Gdzie będziemy mieli... No to się nie dziwię w sumie, że tutaj będzie rebelia.
5950:  Odrzuciłem pakt nieagresji, bo to są nasze przody, a nie tyły.
5954:  Poza tym frakcja Skegi...
5957:  Frakcja Skegi jest, gdzie to jest 91 pod względem rankingu siły, wprawdzie my jesteśmy w tej chwili 122 pod względem rankingu siły, ponieważ dojechał nas Lord Mazdamandi, ale no cóż, jakoś trzeba przełknąć tę gorzką pigułę.
5980:  Jedyne, co może być bardzo niedobre, to atak na posok Księżyca, ale nie sądzę, żeby tutaj przepłynął.
5986:  W razie czego jednak, bądźmy w gotowości, żeby tam... No bo widzicie, jaki tu jest zasięg, jest dramatycznie niski.
6005:  Jest jeszcze druga opcja, która może nam zapewnić dochód i nad tym się właśnie zaczynam zastanawiać, to znaczy jest taka mechanika w tej frakcji zakładania pirate coves, zatok pirackich w różnych innych miastach.
6020:  Myślę, że to sobie możemy zrobić za pośrednictwem jakiegoś bohatera, jak tylko go będziemy mieli, bo na razie nie możemy żadnego bohatera rekrutować, ale mamy już Silostrę chyba.
6034:  Jest Sajlostra?
6034:  Gdzie jest Sajlostra?
6036:  Sajlostra.
6038:  Ona ma autentyczną cechę Sztormowa Syrena.
6043:  Dobrze.
6044:  I jest nasz wierny Paladyn, który spieprzył sprawę ostatnio.
6051:  Posąg Księżyca, co możemy zrobić?
6053:  Świetnie.
6058:  Pytanie co teraz?
6060:  Wrócimy sobie tutaj.
6063:  Bo Lord Mazda Mandy widzę nie chce nas atakować na razie, to jest dobra informacja.
6067:  Konstruktacji, ład publiczny, wpływy sportów.
6069:  Pierwszy oficer.
6070:  Nie, nie, nie.
6071:  Interesuje nas wszystko co zmniejsza utrzymanie.
6076:  Tak.
6077:  Na przykład to.
6080:  Na tym etapie to jest najlepsza rzecz jaką możemy zrobić, oprócz oczywiście utrzymania tej prowincji.
6085:  Latająca piramida jaki ma garnizon, no to to już jest garnizon gdzie się można bronić.
6091:  Dobra.
6092:  W sumie mamy też strasznego pecha, ponieważ, co by mnie nie dziwi, bo to jest stream, ponieważ jeżeli są jakieś duże, naprawdę duże bitwy w okolicy, to można rekrutować jednostki bardzo wysokopoziomowe, jeżeli się gra wampirami.
6106:  I to potrafi być dealbreaker, w momencie, w którym jesteśmy, nie wiem, na poziomie, tak jak my, 27 tury i możemy nagle rekrutować jednostki, które nie są dostępne przez 500 tur.
6118:  To by nam...
6120:  Potrzebujemy gwałtownie awansu jakiegokolwiek, ale również tutaj jest... Zadowolenie prowincji to jest właśnie ten system ładu publicznego.
6132:  W tym wypadku jest bardzo krytykowany system spaczenia w Total War.
6137:  Polega on na tym, że mamy albo spaczenie wampiryczne, albo spaczenie skawenów, albo spaczenie chaosu.
6143:  Im wyższe spaczenie dla frakcji chaosu, tym
6148:  Lepsze bonusy.
6148:  My mamy w tym momencie za brak spaczenia minus 2, podatki minus 4, poziom trudności minus 8, no więc poziom trudności najbardziej wpływa.
6157:  Oczywiście.
6161:  Dobrze, zrobimy sobie tak, że sobie tutaj jeszcze przejdziemy, bo tutaj był, był lepszy pól do... O, o, o, o, o, o, o, o. Utrzymanie, zasięg ruchu na mapie kampanii, to się nam bardzo przyda.
6174:  Tak jest.
6176:  Poorly, but surely.
6181:  I nasz paladyn ma dołączyć.
6183:  Dobrze, tutaj coś możemy zrobić.
6186:  Możemy za... Ile kosztuje ten budynek, który musimy wybudować następnie?
6192:  wysokim strażniku, on kosztuje 3600, czyli musimy... Nie, nie chciałem tego robić, czyli musimy oszczędzać.
6199:  Będziemy mieć następnej turze tu.
6201:  Dobra, teraz, żeby Silotha wreszcie awansowała, to będziemy mieć najlepszą jednostkę w tej frakcji, znaczy, poza kolosem nekrofesjańskim, mianowicie wielką, wielką Queen Beth armatę, która strzela gigantycznymi pociskami.
6214:  Czemu krytykowany?
6215:  Przecież podobnie były wpływy kulturowe w Rome czy religia w Szogunie.
6218:  Tak, ale spaczenie działa
6221:  O, tu mamy mury.
6227:  Mamy mury.
6229:  Zobaczymy.
6230:  Spaczenie działa w ten sposób, że jeżeli nasza armia podróżuje przez jakiś teren, który jest spaczony, a jest z frakcji ładu, to wtedy jednostki są jakby atakowane, to znaczy zmniejsza się ich poziom zdrowia.
6244:  Może dojść do sytuacji takich, w której chcemy zaatakować jakieś miasto czy jakąś fortecę, która jest głęboko we wspaczonej prowincji.
6250:  Jak dojdziemy na miejsce już, to się okaże, że nie mamy połowy armii.
6253:  Dlatego to jest krytykowane.
6255:  Nie pamiętam, czy w innych Total Warach tak było, ale chyba, wydaje mi się, że nie.
6260:  Dobra, tu jest tak.
6266:  Będziemy mieli wreszcie bitwę oblężniczą, znaczy my to na pewno przegramy, ale może nie.
6272:  Nie mamy niestety naszej najlepszej jednostki, którą jest oczywiście wzdęty trup i to jest pewna rzecz martwiąca.
6283:  Najniebezpieczniejsi są... Dobrze.
6289:  No tutaj, to jest właśnie... To są właśnie bitwy oblężnicze w Warhammerze, znaczy atak... Nie wiem czym oni strzelają z tych wież, ale chyba chusteczkami do nosa, biorąc pod uwagę jakie zadają straty.
6304:  Więc nasze ataki chusteczkami do nosa... Powiedzmy, że jakoś skoordynujemy przynajmniej, żeby atakowały te same jednostki.
6315:  Dobrze.
6319:  No ale jakieś to obrażenia są, tylko swoją drogą naprawdę, że wygląda tak atak rebelii, to ja nawet nic nie mówię.
6332:  No ale ta prowincja i tak jest skazana.
6337:  Dobra, teraz wycofujemy się.
6341:  Doje pandemii to może być skuteczne na dłuższą metę.
6344:  A ta chusteczka mi do nas... To prawda.
6350:  I Kleenexem.
6352:  Zamiast tego, zamiast... Zamiast, żeby były, na przykład, nie wiem, olej z murów.
6358:  Swoją drogą, to byłoby też dobre, żeby wprowadzono coś takiego, jak olej żrący, który się wylewa na przeciwników, ale niestety tego wszystkiego tutaj nie ma.
6368:  Najlepsze wieże mają skaweni.
6373:  Dobrze.
6374:  Jakieś tam obrażenia zadaliśmy.
6379:  I teraz tak.
6381:  Tu robimy dwie flanki.
6385:  No powiedzmy, że jedna.
6386:  Dwie flanki, a tutaj stawiamy naszych strzelców.
6395:  Ale muzyka za to jest dobra, do oblężnicza.
6398:  Najlepszą muzykę zdecydowanie mają Skaveni.
6406:  O Boże, ale... O nie, mają magię.
6410:  No to jesteśmy skończeni.
6412:  Tak.
6433:  Magia niestety, brak magii w garnizonach jest problematyczny.
6442:  O, jeszcze dostajemy flankę.
6453:  Okej.
6456:  Nie widzę tego.
6459:  Jest jedna rzecz, która może być paradoksalnie dobra.
6462:  Mam nadzieję, że to zrobią.
6463:  To znaczy, jeżeli oni zajmą to miasto, to będziemy mieli łatwiejszego przeciwnika później do odbicia jego, niż gdyby to zrobił Lord Mazdamandi.
6475:  No, ale było za dużo.
6476:  2961, to nie.
6476:  Zajmij, zajmij, zajmij.
6477:  Zajął!
6482:  Cudownie.
6484:  To jest świetna informacja, bo inaczej mielibyśmy do pokonania tego, a to jest armia najgorsza z możliwych, to znaczy Riot of Primeval Glory, który... Tak, to są dinozaury.
6493:  Będziemy za moment walczyć z dinozaurami.
6498:  Ale, ale, ale, ale!
6502:  Ale!
6506:  Zostajemy największą armatę w grze.
6511:  Tę mianowicie.
6514:  I od tego momentu nie powinno być tak źle.
6520:  Dobrze.
6523:  Co więcej, stąd już możemy rekrutować nasze syreny, które były dobrą jednostką i przynajmniej za moment.
6533:  3600 nas to kosztuje, ta przyjemność.
6536:  Albo nieprzyjemność.
6543:  Tak, zdecydowanie się przyda.
6547:  Dobra.
6548:  Ktoś do obsadzenia.
6550:  Potrzebujemy poziom piąty jeszcze.
6553:  Coś nam to daje?
6556:  Ożywione kolosy, nie tempo uzupełnienia strat, dyscyplina.
6562:  No, to już nie aż tak istotne.
6569:  Właśnie teraz to spaczenie widać na mapie już gry, to znaczy pojawia się właśnie ta... Znika zieleń i pojawia się taki piękny, trupi, niebieskawy odorek.
6583:  Oblężenie można wygrać samymi łucznikami.
6585:  Tak, tak, oczywiście, jest jeden problem, nie mamy łuczników, tylko mamy wszystkie jednostki, które strzelają w linii prostej, w związku z powyższym trzeba zrobić wyłom w murach, żeby to zadziałało.
6594:  Ale zobaczcie, teraz jest śmieszna sytuacja, to znaczy te szczyty Maku są oblegane.
6601:  I to jest dobra informacja.
6603:  Bo one są oblegane przez Mazda Mandiego.
6606:  A to oznacza, że będzie mieć straty.
6610:  Tak, tutaj też tak można zrobić.
6614:  Co my możemy zrobić?
6616:  Nie, ożywione kolosy są beznadziejne.
6619:  Czy mamy jakąś jednostkę tutaj na razie, która... Nie.
6625:  Nie, nic nie możemy zrobić.
6628:  Aczkolwiek... Myślę.
6634:  Lord Maznamandi teraz jest słabszy w sumie.
6640:  Ale nie wiem, czy chcę ryzykować na razie.
6643:  Zróbmy tak.
6644:  Ustawmy się tutaj w trybie zasadzki.
6647:  Zobaczymy, co się stanie.
6649:  Coś się dzieje?
6651:  Ktoś nas lubi?
6652:  Wszyscy uwielbiają nas.
6656:  Dobrze.
6659:  Aaa, tak, tak, bardzo dobrze.
6664:  O to chodziło.
6666:  O to chodziło.
