Nie ma ognia bez maga ognia — BALTHASAR GELT Livestream #2
🔗 https://www.youtube.com/watch?v=M4K_9rqOrJc

2:  Witajcie w świecie Warhammera!
8715:  Zawsze jak mam zajęcia, to potem walę literówki wszędzie, albo w mowie, albo w piśmie, nieważne gdzie.
8724:  Tak, żelazna dyscyplina się przyda, chyba.
8728:  Takie mam wrażenie, ale zobaczcie, to oznacza, że możemy teraz się przenieść już naszym radosnym bohaterem stąd, przekazać rzeczy i obsadzić z powrotem Fort Sol, bo tutaj jest sytuacja z ładem publicznym już rozwiązana, mam takie wrażenie.
8748:  W Templehof będzie za moment... Lebelia, czy jesteśmy w stanie to opóźnić?
8753:  Nie, nie jesteśmy, trudno.
8758:  Warto powiedzieć, że autobus miałem o 17.20, a musiałem czekać, kontynuuje Patryk, anegdoty związane do szkoły, na autobus o 18.20.
8765:  No więc właśnie.
8766:  I to jest, nawiasem mówiąc, też problem związany z tym, że gdyby lekcje zdalne były możliwością, przynajmniej w części, zawsze to będę już teraz podkreślał, odkąd ludzie mi zaczynają mówić, ale Krzysztof, relacje rówieśnicze, to nie byłoby takiego problemu.
8784:  Jak się nazywa ta pieśń, o której mówiłem, że się nauczyłem?
8787:  Dovakin.
8788:  Znaczy... Chyba jak wpiszesz na YouTubie Sovngarde, to powinieneś to mieć.
8794:  Bo ona się odpala w momencie, jak jesteśmy w Sovngardzie.
8798:  Ja, to nie jest moja wina, że po Sylwanii bardzo, bardzo jest to takie, wiecie, leśne ostępy.
8805:  Sylwa po łacinie to jest las, więc Sylwania stąd, miejsce, gdzie jest dużo drzew.
8810:  Leśne, prawda?
8812:  I dlatego musimy naszego maga ognia posyłać naprzód.
8817:  żeby scoutował drogę i dzięki temu jesteśmy w stanie dopiero walczyć z jednostkami.
8823:  Gdybyśmy tego nie zrobili, to nie byłoby to możliwe.
8826:  W żadnym wypadku nie jest to wykorzystywanie gier w błędów, gier w błędów, błędów w grach po to, żeby wykorzystywać... Może ja porzucę to zdanie, bo ewidentnie mi nie wychodzi.
8845:  I po prostu zaatakuje Helmana Wursta.
8853:  Czy grałem w CSGO albo inne multiplayerowe gry?
8855:  Nie.
8855:  Tak samo jak mam wstręt i odrazę do wszelkiego rodzaju ocen i podobnych, tak samo mam wstręt i odrazę do wszelkiego autoramentu gier, w których są na końcu rozgrywki takie tablice, które pokazują, popatrz, on był lepszy od ciebie, postaraj się.
8875:  Postaraj się bardziej!
8876:  Będziesz mieć 5 punktów więcej na tablicy!
8879:  Wiem, że są ludzie, którzy to kręci, mają wtedy taki przypływ adrenaliny, ale mnie to obrzydza.
8884:  Więc ja nie jestem w stanie z tego się cieszyć.
8886:  Czy chcemy wielką kuźnię, magiczna ochrona dla czołgów parowych?
8890:  Oczywiście, że chcemy kuźnię.
8892:  Nie chcemy żadnych innych zdolności, ponieważ wszyscy nasi, ale to absolutnie wszyscy nasi muszkieterzy zostaną zastąpieni przez gniew Imperatora.
8903:  Co Sylwania i Bretonia mają wspólnego?
8905:  Los chłopów.
8905:  Znaczy, powiedziałbym, że nawet... Uuu, imperialny Pegas.
8909:  Świetnie.
8910:  Powiedziałbym nawet, że w Bretonii jest troszeczkę gorzej, ponieważ tutaj chłopi nie żyją przynajmniej, a tam mają feudalizm.
8925:  Obawiam się, że zostanie zaatakowany teraz.
8931:  Mhm, to jest bardzo prawdopodobne nawet.
8937:  Czy kojarzę książki Kincaida?
8940:  Insignia albo Diabolic, taka sci-fi dla młodzieży.
8945:  Kojarzę autora, ale nie kojarzę tytułów.
8950:  Już 20 lat temu w IBM i inne firmy miały super systemy e-learningowe i do tego zajebiste systemy do zbierania wiedzy, niestety nikt tego w polskich szkołach nie uczył.
8956:  Tak, tak.
8958:  Absolutnie.
8959:  Wiecie już, pomijam to, ale ja bardzo często krytykuję korporacje, ale wiecie, z drugiej strony, no spójrzmy uczciwie na to, jak wygląda praca w Google i Facebooku przy wszystkich wadach tych korporacji, jak wyglądają biura tam.
8973:  Przecież krzesło, które ja mam i sprowadzałem za jakieś potworne pieniądze, tam jest w standardzie.
8980:  Znaczy krzesła Hermana Millera i tego typu są w standardzie dla pracowników, bo ludzie, którzy siedzą 8-10 godzin przed komputerem,
8988:  potrzebują mieć dobre krzesło, żeby się nie niszczył kręgosłup.
8991:  W Apple'u, w siedzibie w Cappertino jest tak, że są stoły, które się o konkretnej godzinie podnoszą po to, żeby ludzie mogli sobie powstać.
8998:  To jest inwestowanie w pracownika.
9000:  A polska firma najchętniej by zajechała pracownika, tak?
9003:  Więc jest dużo rzeczy, którymi się można inspirować.
9005:  W szkołach przecież krzesła i ławki są tragiczne.
9008:  Przecież to, co tam się dzieje, ja pamiętam, ja się nie mieściłem pod ławką nigdy, nie dlatego, że byłem gruby, tylko dlatego, że byłem za wysoki.
9014:  I szorowałem, pamiętam, kolanami.
9016:  To jest jakiś kompletny absurd.
9021:  Jak się zapowiada nowy Batman?
9024:  Nie jestem jakoś specjalnie podekscytowany tym.
9029:  Czy pomimo swojego stosunku do literatury mam swojego ulubionego poetę?
9032:  Tak, Miciński i Herbert.
9036:  Na Politechnice Łódzkiej, pisze Krzysztof, mamy obecnie laboratoria stacjonarne i wykłady zdalne.
9040:  Przepraszam, powiedziałem laboratoria?
9042:  Przepraszam, laboratoria.
9048:  Ostatecznie, tak powiedział magister niełuki i szkodnista wyższego, a ja jeśli czegoś się nauczyłem przez te wszystkie lata pracy w środowisku uniwersyteckim, to tego, że dobry naukowiec to ten, który małpuje to, co mówią inni.
9061:  Koniec mikrorantu.
9064:  Uberto pisze, że kupił sobie elektryczny stół do kompa i to jest super sprawa, jak chce się okurzyć podstawami.
9069:  Jak chce się zrobić cable management.
9072:  Inwestycja w pracownika i polscy przedsiębiorcy, dobre sobie.
9075:  No właśnie, ale to jest... Wiecie, ale to jest... Najlepsze jest w tym wszystkim to, że to jest bardzo krótkowzroczne.
9080:  To znaczy, jeżeli faktycznie chcemy, jak ten kretyn matczak, doprowadzić do tego, że ludzie będą zapierdalać do końca życia,
9088:  To jest na to świetny sposób, to znaczy zapewnić im takie warunki pracy, że sami będą tego chcieli.
9093:  To jest oczywiście cyniczne i mroczne podejście, ale ono jest skuteczne.
9097:  Więc dalekowzrocznie patrzący przedsiębiorcy powinni właśnie to robić.
9104:  No to, że tego nie robią, to welcome to Poland.
9111:  O powieści z mechańskiego prawnictwa byłem bardzo dziwny, że napisał to Polak.
9114:  No prawda, prawda.
9116:  Wyższe ławki były na końcu klasy, poznałem 187 w wieku 12 lat, ale jeszcze się świetnie bawiłem w ostatniej ławeczce.
9122:  Colorful me, no właśnie.
9124:  Ile ja mam wzrostu?
9125:  1,82 m, więc jakoś nieprzesadnie dużo.
9127:  Wyobraźcie sobie, co bym mówił o ludziach, którzy mają, a osiąga się też taki wzrost bez żadnego problemu, nie wiem, 1,90 m, tak?
9134:  Co mają tacy ludzie powiedzieć w polskiej szkole?
9137:  A przepraszam, mają powiedzieć dokładnie to samo, co leworęczni, to znaczy spierdalać, bo nie pasują do schematu.
9146:  Dzień dobry, Wiktorio.
9147:  Wiktoria przyszła w najgorszym momencie, znaczy w momencie, w którym Krzysztof krzyczy zamiast grać.
9151:  Co sądzę o raporcie z oblężonego miasta Herberta?
9153:  Dobry wiersz.
9154:  Znaczy, to jest zbiór wierszy i wiersz zarazem.
9156:  Ale ja najbardziej lubiłem wszystkie wiersze z cyklu Pan Cogito.
9160:  No i bardzo przypominały prozę.
9162:  I lubię też eseje Herberta.
9163:  Dobre są.
9166:  Słuchajcie, od razu widać, że AI gra.
9168:  35 zabitych magiem ognia.
9176:  Nie pamiętałem, żeby pluć z dala od mikrofonu.
9183:  Ale mamy pieniążków z tych bitew, świetna sprawa.
9186:  Dobrze, to teraz nam pozostaje wrócić szybko do Eschen, bo widzę, że w Waldenforf się pojawiają rzeczy, a Eschen musimy zbudować.
9196:  Co tu się dzieje?
9199:  Okej, szlachetna porażka, czyli tutaj absolutnie nic nie robimy.
9204:  Za granicą nadal są korporacje, gdzie mają się executive bathroom, można być zwolnionym, jeżeli się z niej korzysta, bo nie mają się prawa.
9210:  A przepraszam bardzo, executive bathroom to nie jest kibel dla nauczycieli.
9213:  Wiedziałem, że mnie zawsze wkurwiało, jak widziałem, że jest osobny kibel dla nauczycieli.
9216:  Natomiast to samo jest na uczelniach.
9218:  Osobne kible dla wykładowców.
9219:  Co, przepraszam, oni starają szlachetniej?
9224:  Nie trzeba patrzeć na zagranicę, żeby widzieć takie patologie.
9232:  Podobno jest taka możliwość, nie pytajcie mnie dlaczego to wiem, ale jest taka możliwość, że się zażywa jakąś pastylkę i wtedy można zmieniać kolor ekskrementów.
9240:  Jeżeli ktoś je, nawiasem mówiąc teraz, to życzę mu smacznego.
9244:  Mój kolega ma dwa metry i siedzi w trzeciej ławce.
9247:  O wielkie nieba, Patryku, wielkie nieba.
9249:  Pamiętam, jak profesor mnie upomniał, pisze Lefaj, że wystawiam nogi pod ławką i zachowuję się bezczelnie, a zwyczajnie ławki w salach na Gołębiej, pozdrawiamy Wydział Polonistyki UJ, są beznadziejnie niskie.
9259:  No to jest znowu skandal.
9260:  Ja najbardziej lubiłem na polonistyce te, są takie ławy na Grodzkiej z XIII wieku, w których człowiek usiądzie w dowolnych spodniach i zadziera sobie te spodnie, więc współczuję dziewczynom, jak przyjdą na przykład w sukience.
9274:  A przepraszam, kobiety nie mają żadnego znaczenia, zapomniałem.
9277:  Co by się jakiś uniwersytet nimi przejmował?
9280:  Czy znamy jakieś ciekawe książki?
9281:  Zmienia temat rozpaczliwie Carnival i Mephisto i słusznie, gdzie główni bohaterowie są egzorcystami.
9287:  Szukałem się Ja, Inkwizytor, tylko szczerze powiedziawszy.
9292:  Paweł mówi, że pytał o raport z obrożonych miasta, bo go uwielbiam, ten klimat mimo wierszowanego tekstu, tylko treść jest jasna, zrozumiała.
9299:  Dlatego Herbert powinien był dostać Nobla, ale dostała Goszymborska.
9304:  Haha, nie pluj z daleka, daj nam słyszeć te piękne plosives.
9307:  Ja myślałem, że plosives nie są piękne.
9309:  Lubiłem wszystko, żeby je zredukować.
9311:  Gdzie kupić takie kapsułki Kacprzy?
9314:  Są w sieci kapsułki, gdzie można zmienić kolor ekskrementów.
9317:  Naprawdę, gdzieś to widziałem, był jakiś artykuł na ten temat.
9321:  O, kup sobie smacznej sałatki.
9327:  O, o, Hephaestion, The Priest.
9331:  Tak, ksiądz po polsku.
9333:  Przeglądam sobie kiedyś Netflixa, patrzę, ksiądz.
9336:  Myślę sobie, ja pierdziele, jakbym miał ich mało w Polsce.
9339:  A później czytam, to jest o wampirach.
9343:  I dystopijny świat, w którym ludzie są zamknięci pod kopułami, w miastach, w których rządzi żelazną ręką, kościół, który zmienił się całkowicie z instytucji religijnej państwowo, no w Polsce by nie musiał, haha, i księża są przedstawicielami tego, trochę jak sędzia Dredd, tego zbrojnego ramienia Inkwizycji i walczą z wampirami.
9365:  O, jakie to jest dobre!
9366:  I jeszcze gra tam Karl Urban, jakby to nie mogło być jeszcze lepsze.
9370:  Jestem gotowy.
9371:  Jesteś?
9397:  Czeka desercję, bo Szregowcy musieli dostawać koła, bo mieli wyzutkę z oficerami i główną glans miał, bo główno Szregowca musi stać na batrzu przed Owizerskim.
9405:  Naprawdę było coś takiego?
9408:  Jakie zdania o Szymborskiej?
9415:  Jakie za moja gorusinku.
9419:  Bardzo są do siebie podobni.
9421:  Przy czym Szymborska przynajmniej była sympatyczna.
9428:  O, czyżbyśmy mieli imperialnego gryfa?
9431:  Fantastycznie.
9433:  Dobra, to powoli możemy, w takim razie, skoro jest imperialny gryf, myśleć o tym, żeby zrekrutować maga życia, bo mag życia się nam bardzo przyda.
9448:  Uch, wiedza, by się przydało.
9455:  No nic, musimy... Musimy poczekać na jakiś dobry... Oczywiście, że Estalia.
9463:  Musimy poczekać na jakiś dobry... Na jakąś dobrą cechę.
9468:  Zawsze mam problem z nazwaniem tego.
9473:  No nie powinno dostać Szymborska Nobla, bo co ona zrobiła tak obiektywnie, no?
9480:  Mi się podobała wizja kościoła katolickiego w kontynuacji Hyperiona.
9482:  Hyperion to jest wspaniałość.
9484:  Nadia pisze, że chodziła do męskich toalet, bo w damskich nie było papieru i mydła.
9487:  To szanuję, że było w męskich, bo u mnie w dozownikach na mydło było ślina starszych kolegów wyłącznie.
9494:  Czy Robert Wegner od Mechańczyków wzorował pseudonim na Karlu Wegnerze od cyklu od Keynie?
9499:  Nie wiem.
9500:  Szczerze powiedziawszy, nie wiem.
9503:  To nie jest serial Pawle Ksiądz, na Netflixie ja po prostu widziałem to jako film, The Priest, ale znajdziesz to też na innym Netflixie, to znaczy Byflixie, który różni się od Netflixa tym, że tam nie ma opłat.
9515:  Jutro dodatkowe godziny z matematyki od Przemysława Czarnka.
9517:  Właśnie, to jest ciekawe to, co powiedzieliście mi.
9519:  Są jakieś dodatkowe godziny i to potwierdziłem faktycznie,
9523:  Ale wiecie, jak to zostało zrobione?
9524:  To znaczy te dodatkowe godziny polegają na tym, że uczelnia dostała kasę, i to sporo, od ministerstwa na wprowadzenie dodatkowych zajęć, ponieważ założono, że ludzie po szkołach nie będą nic wiedzieć, bo były zdalne lekcje.
9540:  Jaki to jest debilizm!
9546:  Czy zarzucano mi kiedyś, że moje opinie są specjalnie kontrowersyjne, albo w niewiarygodny sposób idę pod prąd, mówiąc o popkulturze i literaturze?
9552:  Wiesz co, zarzucano by mi to, gdyby nie fakt, że ja to mówiłem zawsze i pisałem to zawsze.
9556:  To znaczy, to nie jest tak, że Krzysztof założył sobie YouTuby i o, będę kontrowersyjny teraz.
9562:  Nie.
9563:  Ja to mówiłem też w tekstach naukowych, więc to jest udokumentowane od dawna i się wyzłośliwiałem, tylko robiłem to w takim języku, który jest delikatnie rzecz ujmując średnio zrozumiały, więc nie zarzucono mi tego jeszcze, natomiast wiele razy, i to było notoryczne, zarzucano mi, że nie mam na to dowodów.
9580:  I...
9581:  Wierzcie mi, szczerze powiem, znajdowałem dowody ludzi z habilitacjami, doktoratami honoris causa, noblistów, ludzi z MIT, z Harvarda, z Oxfordu, z Cambridge, z tytułami profesorskimi, bez tytułów profesorskich, wszystko jedno.
9596:  Zawsze się znalazł argument.
9599:  Zawsze.
9600:  Ponieważ jeżeli rozmawiacie z człowiekiem, który nie jest naukowcem, tylko jest doktrynerem i wierzy w coś,
9605:  To nieważne, ile dowodów naukowych mu przedstawicie.
9608:  Dlatego teraz stwierdziłem, że skoro ja już w swoim życiu przedstawiłem wystarczająco dużo dowodów naukowych, to teraz będę rantował.
9614:  Natomiast czasem mi się zdarza, teraz na przykład jak piszę tę recenzję naukową, to to robię, że autorytatywnie, pisząc na temat tego, jak jest traktowana polska popkultura, już cytuję wyłącznie własne teksty.
9625:  By mam...
9627:  Kompletnie już mnie nie obchodzi to, ale kompletnie.
9630:  Czy ktoś mi zarzuci, że jestem tendencyjny czy nie?
9632:  Bo już swoje napisałem, mam dość wiecznego udowadniania, że jajko nie jest kwadratowe.
9638:  Bo to już naprawdę wystarczy.
9642:  Dobra, myślę, że to jest ciekawe.
9647:  Wiecie co, wyślemy też kapłana życia, nie, przepraszam, światła razem z Geltem.
9657:  Powodzenia w myciu głowy, Hephaestion.
9660:  Jakieś porady, jak zacząć coś zapamiętywać?
9663:  Pyta Rudy.
9670:  Wiem, że możesz być nowy na tym kanale, ale liczę na czaty, że uświadomią cię, jak bardzo jest to ironiczne pytanie do mnie.
9678:  Ja nic nie zapamiętuję, ale to absolutnie nic.
9687:  Poznałem moją szkołę, pisze Patryk.
9688:  W poniedziałek został wprowadzony nakaz noszenia maseczek i cała szkoła chodziła w maseczkach.
9692:  Dziś jedna trzecia szkoły chodzi tylko w maseczkach.
9694:  I założę się, że jak został wprowadzony ten nakaz, to oczywiście nie obowiązywał on nauczycieli.
9702:  Mnie pytali, dlaczego zgłosiłem zajęcia zdalne w tym roku, mimo że nie musiałem.
9707:  Zgłosiłem je dlatego, że dostałem informację, że
9711:  Studenci będą mieli nosić maseczki, a prowadzący nie.
9715:  Ja stwierdziłem, uuu, nie.
9717:  I że tak się nie będziemy bawić.
9722:  Więc wolałem zrobić zajęcia zdalne, bo przynajmniej wiem, że ja to zrobię w sposób, który nie będzie urągał jakimś podstawowym regułom rikczu.
9733:  Okej, dobrze.
9735:  Po to wziąłem tego maga, bo jego zaklęcia są zdecydowanie lepsze od Baltazara Gelta, co by o nim nie mówić, jakkolwiek bym go nie uwielbiał.
9747:  Nie słuchaj, Krzysztofa, on za 5 minut zapomni o twoim pytaniu.
9749:  No, no, no, no, no, no.
9754:  Też, Pawle, opłacam Netflixa w jedyny słuszny sposób, to znaczy skrzykując się.
9761:  Zresztą jest tak dużo tych różnych streamingów, że słuchajcie, no nie da się inaczej.
9766:  Co ja tutaj widzę?
9769:  Ja tutaj widzę śliczny blob jednostek.
9775:  Ja jestem definicją wczesnego Alzheimera.
9777:  Absolutnie, Marcin, zgadzam się.
9782:  Ale to jest piękne, znać tyle dzieł, pojęć, historii, osób, artykułów naukowych, a co chwilę zapominać rzeczy.
9786:  Coś w tym jest.
9787:  Nie wiem, czy ja znam tak dużo pojęć i tak dalej.
9790:  Po prostu ja się tym jaram, wiecie, i to jest... Może tak odpowiadając poważnie na to pytanie.
9795:  Sekretem zapamiętywania jest to, żebyście mieli imersję.
9799:  Ja zapamiętuję, jak mam imersję.
9801:  Jeżeli coś mnie interesuje, to wtedy zapamiętam.
9804:  Jak mnie coś nie interesuje, może nie istnieć.
9811:  Dobra, i wiecie co, tutaj zrobimy niepełną szachownicę i może ten oddział jest za daleko, więc zostawimy go tutaj i może jeden z oddziałów też tutaj przeniesiemy, na wszelki wypadek.
9823:  Czekam aż powadzą o zdalnej pisze Szymon i zaraz ludzie zaczną tworzyć historie i wypowiedzi czarnka, które zmieniają się na przestrzeni tygodni.
9828:  Wiecie, to jest człowiek, któremu już nawet nie przeszkadza to, jak bardzo on bredzi.
9836:  I to jest właśnie typ człowieka, któremu przedstawicie dowód, a on będzie i tak wiedział swoje.
9840:  Niesamowite to jest.
9841:  Znaczy, na jakimś poziomie bardzo to podziwiam, bo trzeba niesamowicie być odpornym na wiedzę.
9846:  To jest powiedzenie mojej mamy, które bardzo lubię.
9848:  Być odpornym na wiedzę.
9850:  To są ludzie odporni na wiedzę.
9851:  Tak samo jak antyszczepionkowcy są odporni na wiedzę.
9853:  Bo oni nie potrzebują już wiedzy.
9856:  Powiedz, oni wiedzą.
9858:  Oni poznali.
9859:  I to jest ciekawe, bo to jest myślenie religijne.
9862:  Oczywiście nie urągając ludziom wierzącym i tak dalej.
9865:  Myślenie religijne polega na tym, że wierzymy w coś i nie potrzebujemy dowodu.
9870:  Myślenie naukowe wymaga dowodu.
9873:  Ja wiem, Patryku, że gra Hades jest znakomita.
9874:  Absolutnie będzie grana.
9875:  Absolutnie.
9877:  Według mnie Glenn Cook pisze Screwtape i Kroniki Czarnej Kompanii są przereklamowane.
9881:  To, co chwalimy, a swego nie znamy.
9882:  Znaczy wiesz, no jeżeli byśmy porównali to z Wegnerem, to Wegner jest lepszy od Clena Cooka.
9886:  To ja się zgadzam z tym.
9889:  Popatrzcie, jak te wampiry są wypalane.
9891:  Czy to nie jest piękny widok?
9892:  Przepraszam, czy to nie jest piękny widok?
9897:  Raz na Wiedźmińskim Strumiku miałem taką imersję, że zdręcały mi kolana, że się nadjął strasznie.
9901:  To jest bardzo miękko.
9902:  I wiecie, najlepsze jest to, że imersja dotyczy także języków, o czym się bardzo często zapomina.
9909:  Nie widzieliście jeszcze, jak strzela przepiękny powóz.
9914:  I chyba nie zobaczycie, ponieważ postanowił się wycofać.
9917:  Przepiękny powozie.
9919:  Strzel w tego wampira, co?
9921:  Dziękuję.
9925:  A nie, mamy tutaj niestety... Niestety mamy wzgórze.
9931:  Zobaczcie później, jak strzela.
9933:  Okej, tutaj są psy.
9935:  Niebezpieczna sprawa.
9937:  Niebezpieczna sprawa.
9938:  Chyba będziemy musieli użyć świątyni Luminaaka.
9945:  Okej, nie.
9945:  Nie.
9953:  O, o, o, o, o, o, o, chyba możemy już.
9956:  Tak!
9959:  To jest magiczny powóz, który strzela z czegoś, co przypomina działo Tesli.
9965:  Tylko strzał ten trwa jakieś 4,5 godziny.
9970:  Nie doczekamy się wystrzału Luminarka.
9983:  Dobra.
9984:  Muszę się teraz troszeczkę bardziej skupić, bo tutaj widzę szansę na piękne zaklęcie.
9991:  Czemu w armii mamy maskotkę drużyn, czyli faceta przybranego za orła?
9994:  To trochę... Faktycznie!
9996:  Boże, nigdy na to tak nie spojrzałem!
9999:  Ale tak faktycznie jest!
10000:  Gość wygląda jakby kibicował drużynie jako cheerleader.
10005:  Ten moment, kiedy się tak zanurzysz w książce i coś się wyrywa do rzeczywistości, przez chwilę nie wiesz, gdzie jesteś, prawda?
10009:  No to jest dokładnie imersja i imersja też działa w... O, o, o, o, o, o!
10018:  To jest przepiękne.
10020:  To jest przepiękne.
10021:  Imersja też działa w nauce języków.
10025:  Dlatego mamy coś takiego, że jesteśmy w jakimś kraju i nagle nam się łatwiej przyswajają słówka, nie?
10031:  I to jest dlatego właśnie, że działa imersja.
10035:  Ja, szczerze powiedziawszy, nauczyłem się właśnie angielskiego wyłącznie dzięki imersji językowej.
10039:  Oglądanie filmów, granie w gry wideo, czytanie książek, to było wszystko robienie rzeczy, które mnie jarają i działało to dokładnie to samo, jak wizyta w Stanach, którą miałem za sobą.
10049:  Oczywiście wiadomo, że wizyta w obcym kraju nas bardzo odblokowuje, to jest jasne, ale można to robić na własnym... na własną okoliczność.
10058:  Wiktorio, z LoLa nie będzie, bo ja, szczerze powiedziawszy, w moby nie gram.
10064:  Steven Krashen zajmuje się w tym języku, ale mało kto go słucha, w Polsce prawie nikt, ale dobrze o tym wiedzieć.
10070:  Jakie zdanie o Jądrze Cienności, o Ziósbon?
10072:  No, można przeczytać, ale strasznie już to jest stara rzecz, to znaczy wioniek myśleniem kolonialnym bardzo.
10083:  Trochę mnie już nie jara.
10086:  Czytałem Zamek Lorda Valentine Silverbrega.
10088:  Silverbreg to jest taka moja wstydliwa rzecz.
10091:  Nie czytałem nic Silverbrega, mimo że bardzo polecał sapek.
10095:  O Boże.
10097:  Zakrztusiłem się własną śliną.
10099:  Ostatnio czytałem przy Screwtape bardzo zachwalonego czarnoksiężnika z archipelagu Leguin, albo Legeu, jak dla mnie przereklamowane, czy mógłbym polecić inną książkę o adeptach wiedzy tajemnej.
10111:  Weź sobie Trylogię Magów Prochowych Briana McClellana.
10117:  Jako, że dzisiaj nie słyszałem jeszcze powodu, dla którego robię corner camping, tradycję trzeba utrzymać.
10122:  Oczywiście, że to jest z tego względu, że tutaj znajduje się Święte Wzgórze Magów Ognia i nasza armia dzielnie go broni.
10130:  Widzicie?
10130:  Ono tutaj jest.
10131:  O, w tym miejscu są nawet drzewa.
10132:  To jest święty dąb, który jest co roku wypalany przez magów ognia, dlatego że mają stosunek do roślin mniej więcej taki jak Jacek Majchrowski.
10139:  Znaczy uważają, że rośliny mogą funkcjonować pod warunkiem, że je wytniemy i to, co wycięliśmy, zabetonujemy starannie.
10151:  Święte wzgórze ze świętym dymem jest zawsze najlepsze.
10153:  Na AGH studenci Torii mają nosić maseczki na zajęciach, a w praktyce 9 na 10 prowadzący ma na to wylalone.
10158:  Bo tak, zawsze powtarzam, na AGH jest duch normalności.
10164:  Nie systemowe, ale związane z prowadzącymi.
10166:  Systemowego duchu normalności w Polsce nie ma nigdzie, ale i tak na AGQ jest najlepiej.
10171:  To wiem, bo prowadzę zajęcia przynajmniej na dwóch jeszcze uczelniach i oprócz tego mam doświadczenie na wiadomej uczelni, z wam bardzo dobrze znanej, z niemym H.
10181:  Odnośnie dobrych książek pisze Kacper.
10183:  Czytam Drogę Królów i dawno nie miałem tak, żeby wydarzenia książki śniły mi się.
10186:  Już dawno się tak dobrze z książką nie bawiłem.
10188:  Fun fact dla was.
10189:  Jest taka technika świadomego śnienia, która stosuje ją mój przyjaciel i to jest nie jedyna rzecz, która ją wyróżnia.
10198:  Stosuje też ją bardzo dużo innych ludzi i polega ona na tym, że wracamy co sen do tego samego świata.
10204:  To nawet nie chodzi o fabułę właśnie, ale chodzi o jakąś rzeczywistość, która nas uspokaja.
10208:  Dzisiejszy stream jest antyklerykalny.
10236:  Czy ja usłyszałem piękny dźwięk przeładowywanej amunicji w czołgu?
10241:  O tak.
10241:  To jest taka cisza.
10243:  Bagno.
10245:  I jebutu!
10247:  Ale znowu cisza.
10249:  Cisza i bagno.
10251:  Cisza.
10252:  Cisza przed burzą.
10255:  I jest czołg.
10256:  Czołg się aż trzęsie z ekscytacji.
10257:  Jebutu!
10259:  Piękne.
10259:  Wspaniała sprawa.
10263:  Czy ja widzę...
10265:  Czy ja widzę nasze dzielne, imperialne formacje, które szykują się do najlepszych fajerwerków wszystkich Sylwestrów ever?
10274:  Czy ja widzę?
10276:  Czy ja widzę śmiesznie odzianych ludzi w żółtych kapotach i pantalonach?
10282:  Czy ja widzę wspaniałą, świetlistą Arkę Hysz, która strzela magicznym, dziwnym promieniem, który przypomina Teslę?
10293:  Teslowe działo?
10297:  Czy ja widzę dzielnych muszkieterów, którzy strzelają w ordynku?
10307:  Och tak.
10308:  To jest piękny, to jest piękny widok.
10313:  Natomiast wiem już dlaczego nie strzelają nasze działa.
10317:  I przygotujmy się na to.
10321:  Oj, oj, oj, oj, oj!
10323:  Oj, oj, oj, oj, oj, oj, oj!
10325:  Biedne wampiry!
10327:  Biedne, nieszczęśliwe wampiry!
10331:  Sprawdźmy tylko, jak strzelają.
10332:  Proszę bardzo, tutaj raz, tutaj dwa, tutaj trzy.
10336:  I teraz potęga... sieci Amentoka, która została overcastowana.
10343:  Wszystkie te jednostki zostaną zatrzymane.
10349:  Wspaniale.
10351:  Wspaniale.
10352:  Świetlista arka, broń się.
10354:  Broń się, arko.
10356:  Dziękuję za przypomnienie o nawodnieniu.
10358:  Wycofujemy arkę na z góry upatrzone pozycje.
10361:  Bliżej świętego tempu.
10366:  Nie mów o świadomym śniegu, nie upiszę Red Angel, bo śnią mi się wodomierze i podzielniki, które rozliczam w pracy.
10373:  To faktycznie gorzej, przyznaję.
10376:  Wszyscy strzelać.
10378:  Wszyscy strzelać w bohatera.
10380:  Natychmiast.
10381:  Czy mamy sieć Amentoka?
10382:  Nie, dobrze, nie mamy.
10386:  Jak tutaj sytuacja?
10389:  Wspaniale.
10392:  Wspaniale.
10392:  Ta sytuacja oznacza, że będziemy mogli rzucić zaklęcie.
10398:  Powiedzmy, że tutaj.
10400:  Dobrze, wampir zginął.
10401:  Hmm...
10408:  I ogary poszły w las.
10424:  Ja wiem, że miło jest walczyć armiami nieludzi, ale walka armiami ludzi jest równie piękna.
10434:  Jakiej muzyki ostatnio słucham?
10437:  Znalazłem genialny utwór!
10440:  Do tego stopnia genialny, że go wykupiłem i będzie na najbliższym streamie.
10444:  Ambientowy.
10444:  Jak chcecie spoilera, to jest na mojej liście ambientowej na Spotify'u.
10449:  Imersja w językach, pisze Krzysztof Of.
10451:  Przyznam, że moja fascynacja słowiańszczyzną przekłada się na przykład na język międzysłowiański.
10456:  Idea panslawianizmu jako puszczej wspólnoty jest czymś pięknym.
10458:  Ponadto, przecież wszystkie nasze języki słowiańskie pochodzą z pranidoeuropejskiego, prawda?
10463:  Czy czytałem coś innego od McClellana niż Trylogię Magii Wprochowych?
10466:  Bo na tym się zatrzymałem, pisze Sam White, a z tego co widzę rozbudował uniwersum.
10470:  Tak, i Krew Imperium jest równie dobra, o ile nie lepsza.
10473:  Chyba lepsza nawet.
10474:  Czy warhammerowskie jamniki boją się imperialnych wyrzutni rakiet?
10477:  Nikt nie boi się... Nie.
10482:  Żaden jamnik nie boi się niczego.
