Wielka ucieczka — THOREK IRONBROW livestream #2 (The Silence & The Fury DLC)
🔗 https://www.youtube.com/watch?v=J7t_63q-mDg

2:  Witam wszystkich!
10844:  Nie, póki jest taki duży opór przeciw e-bookom, którego ja nie rozumiem, to znaczy ja mam książki w tradycyjnych formatach i e-booki,
10852:  e-booki są znakomite na wyjazdy.
10854:  Każdy, kto kiedykolwiek podróżował z dziesięcioma książkami, jak ja, w osobnej torbie wie, jak dobre są e-booki i jeden czytnik, więc kompletnie nie rozumiem tego problemu.
10864:  Widzę, że szlachta Lybarasu zaraz się zrewitalizuje u nas.
10871:  Więc trudno powiedzieć.
10873:  W tym tempie na 200 tur będziemy mieli z pięć prowincji.
10877:  Tak, to jest prawda.
10879:  Oficjalnie stwierdzam, że i tak idzie nam szybko, jak na to, co tu się dzieje.
10886:  Gdzie zniknęli nasi jaszczuroludzie?
10889:  Musieli pójść w tę stronę.
10893:  Przemieścimy się w takim razie tak.
10896:  I podbijemy Polanę Zagłady po raz 785.
10899:  Ale tym razem bardzo bym nie chciał, żeby Court of Liberals zwyciężył, dlatego tutaj sobie wyrekrutujemy Lorda.
10905:  Konkretnie tego, który jest na czwartym poziomie.
10911:  To powinno trochę zwiększyć nasze szanse.
10915:  Tak myślę.
10917:  To są strzelcy?
10918:  Tak.
10919:  Potrzebujemy strzelców.
10922:  Stać nas.
10924:  Tu się coś dzieje, tu jest oblężenie, zniszczmy ich.
10931:  Świetnie.
10936:  Q&A z okazji 15 tysięcy.
10938:  Jak to tak szybko idzie, kto wie.
10941:  Spodobało się Q&A, zauważyłem ostatnio, więc kto wie.
10947:  Ponad wszelką wątpliwość spodobało, co było bardzo, bardzo radosne dla mnie.
10952:  Nie będę ukrywać.
10957:  Jaka szlachetna pora...
10958:  Co?!
10959:  Jaka szlachetna porażka, cóż to, co to znaczy?
10963:  A to jest zdumiewające akurat.
10968:  To są siły rebelianckie?
10969:  Musimy tam wrócić jak najszybciej.
10974:  Musimy zrobić coś innego.
10978:  Tak, musimy zrobić coś innego.
10983:  Musimy się dostać tym bohaterem tam.
10985:  Nie możemy pozwolić na to, żeby tam ta twierdza upadła.
10990:  Malekith już robi pewnie inwazję na Ulfwan.
10992:  Ja myślę, że albo Malekith, albo Morathi.
10995:  Absolutnie.
10996:  Stać nas minusowy przychód.
10998:  Tak, tak, tak.
11005:  Tu jest dobra mapa za to.
11010:  Dobrze, dobrze.
11014:  To będzie spektakularne zwycięstwo.
11022:  Mistrz Rune jest naszym MVP.
11029:  O tak.
11032:  O tak.
11040:  Jak działa w Total Warze podroga?
11042:  Nie mógł Jet Shinnik zaatakować, chyba że ma możliwość przechwycenia.
11051:  I w zasadzie tyle.
11052:  I przemieszcza się pod ziemią, ale z bardzo dużą karą do wartości ruchu.
11058:  O tak!
11059:  Wypalanko!
11064:  Płonął zielono z kurzy!
11068:  Płonął zielono z kurzy!
11072:  Wspaniale!
11075:  Pięknie płonął.
11076:  Dobrze, teraz tutaj.
11078:  Łucznicy.
11078:  Zniszczyć łuczników.
11084:  Pozbyć się tych dzików.
11087:  Och, tak.
11089:  Pytaliście, dlaczego trzeba mieć i którą z jednostek Żelaznych Smoków.
11095:  No już oczywiście, że tę.
11101:  Dobrze.
11106:  Poszło.
11108:  Dobry wieczór, dobry wieczór.
11111:  Czy jest to friendly fire?
11112:  Tak, tak, oczywiście.
11114:  Dlatego najlepiej wyjść lordem, który jest tankiem i wypalać potem.
11122:  Bo dla jednostki z atakiem obszarowym, takim jak na przykład mają żelazne smoki, atakują w o wiele lepszy sposób i skuteczniejszy oddział niż pojedynczą jednostkę.
11135:  O, płonął zielony na skórze wypalacz formacji orków burzy.
11138:  Tak, brakowało mi rymu.
11141:  Podwyższymy sobie tutaj dochód troszeczkę.
11144:  Rebelia została zdławiona, a to oznacza, że my możemy szybkim, krasnoludzim marszem, czyli za jakieś 17 tur, udać się tutaj na pomoc.
11159:  Zawsze miałem kose z polonistami, bo nie rozumiałem poezji.
11162:  Raz postanowiłem się zemścić, sam napisałem wiersz, poprosiłem polonistkę, żeby go zinterpretowała.
11166:  Oczywiście nauczyciel nie podobał.
11167:  No to z tych anegdot jeszcze jest jedna związana z tym, że to jest słynna anegdota powtarzana przez Stanleya Fisha, jednego z lepszych interpretatorów i filozofów zajmujących się sztuką interpretacji.
11179:  Mianowicie zrobił taki eksperyment, że zostawił obliczenia zrobione przez klasę, znaczy klasę zespół, bo to był uniwersytet zajęciowy,
11189:  i po zajęciach jakichś bardzo technicznych zostawił parę wykresów i później przedstawił to swoim studentom jako awangardowy wiersz.
11197:  No i oczywiście nie muszę wam mówić, że wszyscy to przepięknie zinterpretowali i właśnie w tej chwili się pomyliłem, bo użyłem trybu na podziemnej drodze i szlak mnie trafi, ponieważ tracimy jedną turę na zdobycie Polany Zagłady.
11208:  Co to się tutaj dzieje?
11211:  Nie mamy się czego obawiać, myślę.
11213:  Chyba.
11215:  Znaczy, będzie oczywiście bardzo upierdliwe do obrony.
11218:  Może potrzebujemy jakiś jeszcze... Weźmiemy sobie gwardzistów, trudno.
11224:  Tracimy bardzo dużo pieniędzy.
11234:  Czy jesteśmy w stanie jakoś zmodyfikować to w jakiś sposób?
11237:  Tracimy nieprawdopodobnie pieniądze.
11239:  Tak, aż 13 tur to zajmie.
11242:  Pełna zbroja płytowa przyda się.
11247:  E-booki za niewielką opłatą skąd brać?
11250:  Library Genesis.
11251:  Bardzo polecam.
11253:  Wtedy będzie bez opłaty.
11256:  Pozdrowienia również od mnie dla wszystkich.
11258:  Karl Franz zjednoczył Imperium, Grimgor zdobył władzę nad dziesięcioma plemieniami orków, Ikith zniszczył Estalię, a Torek ma prawie trzy prowincje.
11266:  Tak jest.
11268:  W tym czasie Sylostra pewnie pokonała innych wambiżów lordów i właśnie płynie na Ulfwan zaśpiewać.
11272:  Przypominam, że Sylostra to już popłynęła na Ulfwan zaśpiewać.
11277:  Moi drodzy, moja ulubiona, ha ha ha ha, moja absolutnie ulubiona mapa.
11286:  To są sprytne, sprytne krasnale, które... sprytne krasnale, których nie widać.
11294:  Jaki jest lepszy krasnal od krasnala zwykłego?
11298:  Taki, którego nie widać, a który i tak młóci swoimi toporami.
11305:  Dobra.
11306:  Wszyscy?
11307:  Nie, jeszcze nasz... O, jeszcze mamy Lorda.
11310:  Będzie dobrze.
11312:  Walczymy.
11314:  Pierw niszczymy Kohortę z Kingów, o której już się przekonaliśmy, że jest najpotężniejsza w świecie.
11319:  Kohorta z Kingów?
11321:  Aaa.
11322:  Ciekawe.
11324:  Czy kupować regał, czy zbierać na Kindla?
11326:  No bab.
11328:  Kindl, Kindl.
11333:  To uczucie, gdy napisałeś wiersz o rozkoszy z masowego mordu, a twoi nauczyciele interpretują go jako pochwalalitości.
11338:  To jest strasznie zabawne też, bo to jest łapanie się na swoją własną pułapkę.
11343:  To znaczy, gdyby nie uczyć tego, że jest jedna, jedyna poprawna interpretacja, to potem siłą rzeczy nie można byłoby tego szybko i skutecznie obśmiać.
11350:  Tak, Panie!
11351:  Prawda jest silna!
11356:  Kazook?!
11359:  Dziki Bastilodon, to jest twój cel.
11362:  Kazooku.
11364:  Dobra.
11367:  Widzę, że... że bardzo dobrze, to jest moja ulubiona mapa dlatego, że tutaj bardzo często się wieszają jednostki i nie wiedzą co zrobić.
11373:  Ehehe.
11374:  They have wronged us!
11377:  Nie mógłbym się bardziej zgodzić.
11383:  Dobrze, zniszczyć dziki Bastilodon jest do zabicia natychmiast.
11388:  Strażnicy wycofać się.
11391:  Silostra powróci na streamach?
11393:  Zastanawiam się, bo w sumie zrobiliśmy wszystko, co Silostrow się da zrobić.
11397:  Więc możliwe, że wróci, ale w formie innego legendarnego lorda.
11402:  Bo teoretycznie moglibyśmy ją jeszcze zająć cały Ulfuan, no bo to jest jedna rzecz, więc to jest taki niższy priorytet dla mnie, szczerze powiedziawszy.
11409:  Mile mi byłoby pograć trochę jeszcze bardziej yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
11440:  Myślę, że... Czymżeż oni strzelają?
11446:  Grabieżcy Ulfara strzelają, z tego co widzę, toporkami rzucają, ależ przepie... Ale przepięknie, swoją drogą, jednostka sportretowana.
11455:  Poprawili bardzo wygląd tych jednostek, które są legendarne.
11463:  Total War w czterdziestce to byłby coś wspaniałego.
11465:  Jaka jest moja opinia na plan martury międzynarodowej?
11468:  Nie wiedziałem, że coś takiego nawet istnieje.
11473:  Ale coś mi mówi, że na pewno to jest zjebane.
11478:  Dobra, eee... Mściciele, proszę zniszczyć, eee... Zaraz, zaraz, zaraz, zaraz, zaraz, zaraz... Dlaczego?
11487:  Dlaczego nasi kusznicy, jak ostatni kretyni, poszli w bój?
11492:  To nie jest coś, co jestem w stanie zrozumieć.
11498:  Hmm...
11510:  O nie, katapulta przestała strzelać, no litości.
11528:  Jakiego Kindla polecam?
11529:  Kindle Paperwhite.
11530:  Ja mam dwójkę.
11533:  Bardzo sobie chwalę.
11534:  No tak, zapomniałem, że krasnoludy wsławione są znakomitą dyscypliną, w związku z powyższym zaczną uciekać trwożliwie.
11545:  Nie ma to żadnego sensu.
11565:  Nigdy nie zrozumiem, pisze Jakub, czytania dramatów to tak, aby przeczytać scenariusz i na jego podstawie ocenić film.
11570:  No, albo scenariusz gry komputerowej, nie?
11572:  Bo takie też są.
11574:  Równie absurdalne.
11584:  Trochę nam się rozbiły formacje, delikatnie rzecz ujmując.
11586:  Szybko!
11587:  Szybko!
11591:  Szybko!
11596:  Dobra.
11599:  Przynajmniej odzyskali rezon i chcą znowu walczyć.
11602:  To jest dobra informacja.
11608:  Slay everything without a beard!
11610:  Nie mógłbym się bardziej zgodzić.
11613:  Jestem ciekawy, kiedy AI wystawi kolejną armię z Ride of Primeval Glory.
11617:  Niebawem.
11618:  Ja myślę, że do paru tur, bo oni mają to o wiele szybciej niż może mieć gracz kiedykolwiek.
11636:  Jeszcze damy radę raz strzelić z naszych grudge throwers i tyle.
11649:  Nie wiem co tu się dzieje.
11650:  To jest ten moment kiedy straciłem kontrolę nad tym co się dzieje w tej bitwie.
11663:  Moment, w którym krasnoludy się rozpieszchają, ponieważ mają za słabą dyscyplinę, jest czymś, czego ja totalnie... Ach, bo to był Kroggar, to już rozumiem dlaczego.
11672:  Nawodnienie, dziękuję za przypomnienie.
11675:  Czytanie scenariusza gry, aż ciarki nie przechodzą.
11677:  No, dokładnie.
11680:  To dobrze pokazuje absurd tej sytuacji, bo zapewniam was, że gdyby Szekspirowy powiedzieć, że słuchaj, kiedyś twoje sztuki nie będą wystawiane, tylko będą czytane, to zamamałby się.
11696:  Tak, w bardzo pechowym momencie.
11698:  Jeżeli ktoś przybył na stream teraz, to przybył w pechowym momencie, ponieważ aktualnie jesteśmy na wszystkich frontach dojeżdżani przez przeciwnika, którego najciężej jest niestety tutaj zdławić.
11709:  A to akurat nie jest złe.
11716:  To akurat nie jest złe, bo i tak musimy iść na dół.
11719:  Dobrze, Liberas.
11720:  Niech oni tutaj tkwią sobie.
11722:  To lepiej, żeby był tutaj Court of Liberas, niż żebyśmy mieli na głowie Kroggara.
11733:  Dobra, tutaj... ...odrobinkę posiedzimy.
11738:  Myślę.
11741:  Bo trzeba wybudować tu mury.
11744:  A, Raseta jest, widzę, zagrożona.
11749:  Jaki tu mamy garnizon?
11751:  Ok.
11753:  Nawet nie będę próbował.
11756:  I bomba błyskowa, pradawna uraza, amunicja dla jednostek dystansowych.
11761:  To się przyda.
11763:  Generalnie założenie nasze jest w tym momencie takie, że usiłujemy wspomóc tutaj ten garnizon, który jest w tym miejscu.
11771:  Zobaczymy, czy to się uda.
11776:  Teoretycznie nie powinni nas zauważyć, ale wiecie, jak jest w praktyce.
11778:  W praktyce mogą nas zauważyć i zaatakować ten... No, a tu nie jest dobra sytuacja.
11786:  No nic, damy radę.
11790:  Czy uważam Romantym za szkodliwy?
11792:  Tak, uważam, że jest to szkodliwy system ideologiczny.
11799:  Nie, absolutnie, żadnego traktatu pokojowego.
11814:  Krasnoludy są bohaterami z polskiej prozy, gdzie zawsze biorą udział w bitwach, które zawsze mocno ich wybijają.
11819:  Tak, i narażają na zapomnienie, ale walczą za swoje ideały.
11822:  Dokładnie tak jest.
11823:  Jesteśmy atakowani przez przeciwników, których nie jesteśmy w stanie pokonać, ponieważ ilekroć uda nam się wybudować gdzieś mury, znajduje się nowy, mocniejszy przeciwnik, a nasza jedyna armia, którą jesteśmy w stanie utrzymać, jest w innym miejscu.
11836:  To jest przewspaniałe.
11840:  To jest na przykład ten przykład, nie?
11841:  To znaczy przejście
11845:  Przejście tu zajmuje trzy tury.
11847:  Z powrotem tu zajmuje trzy tury.
11849:  Łatwo obliczyć, że w ciągu potrzeba sześciu tur na zabezpieczenie całej prowincji.
11856:  Krasnoludy i tak mają dobrze, bo mogą użyć tej ścieżki podziemnej, nie?
11861:  Uderz w runy, to się przyda.
11864:  I tymczasem udał nam się tutaj przynajmniej gambit mały.
11873:  Okej, jak garnizon zginie, to nam to nie robi różnicy.
11877:  Ważne, żeby zdławić tę rebelię już, bo ona nam się kompletnie nie opłaca finansowo.
11882:  Dobrze, i teraz pytanie, jaka jest sytuacja tutaj, czy tu wybuchnie bunt?
11888:  Najpewniej tak, więc tu się zatrzymamy na troszeczkę.
11891:  Naprawimy wszystko.
11897:  Okej.
11901:  Czy mogę rozszerzyć, dlaczego romantyzm jest szkodliwy?
11903:  Tak, tak, bo zacząłem mówić i odwróciło mnie uwagę to, co się tutaj dzieje.
11908:  Generalnie założenie jest takie, że w ramach tej ideologii, zwłaszcza polskiego romantyzmu,
11914:  Polacy są tym Antemurale Christianitatis, przedmurzem chrześcijaństwa, są jedyni na świecie i cała reszta na nas dybie i ma nam różne rzeczy za złe.
11924:  No i na tej ideologii romantycznej przecież było paliwo dla wszystkich możliwych powstań i tak dalej.
11928:  W dalszym ciągu zauważcie, że ten polski nacjonalizm bardzo specyficzny, katolicko-ultraprawicowy nie jest tym samym, co na przykład nacjonalizm amerykański, nie?
11941:  I to właśnie z tego powodu głównie.
11942:  Moim zdaniem jest to archaiczna ideologia, która kompletnie nie przystaje do współczesnych czasów.
11947:  Po prostu.
11950:  Nie no, nie możemy mieć tak, że wszyscy zginą.
11953:  Walczymy.
11958:  Poziom trudności legendarny, poziom bitwy bardzo, bardzo trudny.
11965:  Polska winkeritem narodów, tego typu rzeczy.
11968:  To miało sens w momencie, w którym trzeba było pocieszać ludzi, którzy nie mieli swojego kraju.
11976:  Wtedy to miało, powiedzmy, jakiś sens.
11978:  Natomiast dzisiaj nie jest to archaiczne i kompletnie nie pasuje do tego spektrum problemów, które mamy.
11985:  Dla mnie na przykład problemem jest to, że ciężko pracując nie jestem w stanie kupić sobie mieszkania.
11990:  Nie jestem, bo kredyt jaki dostanę mieszkaniowy to jest max 200 tysięcy złotych, za co mogę sobie w Krakowie kupić co najwyżej dwa garaże.
11998:  To jest problem człowieka współczesny.
12000:  Nie jest dla mnie problemem to, że jestem w tym miejscu na ziemi, a nie innym, ponieważ decyzją taką mogę się znaleźć w innym miejscu na ziemi, gdzie będę w dokładnie taki sam sposób traktowany przez system kapitalistyczny.
12011:  Więc czytanie czegokolwiek dzisiaj z zakresu romantyzmu, moim zdaniem, jest bez sensu, tzn.
12017:  jedyne, czego się można nauczyć, to prymitywnego nacjonalizmu z tego, bo to jest jedyna rzecz, która została aktualnie, jest aktualna, tzn.
12024:  dalej mamy nacjonalizm w Polsce, tak?
12026:  To jest ta jedna, jedyna rzecz, która jest, wciąż działa.
12034:  O, takie bitwy lubię, są spokojniejsze zdecydowanie.
12037:  Powstanie miało jeden plus, mianowicie zaborcy mogli ćwiczyć na strzelanie do ruchomych celów.
12042:  No brutalnie powiedziane, ale prawdziwie niestety.
12045:  Co sądzę o twórczości Jasia Capelli?
12048:  To nie jest twórczość.
12050:  To nie jest twórczość, ale żeby nie było, jest takich o wiele więcej.
12053:  Jasia Capella jest tylko i wyłącznie syndromem pewnego zwyrodnienia, które trawi polską kulturę.
12062:  Uważam tak, że śmianie się z tego rodzaju twórczości jest uzasadnione, ponieważ jej jedyny walor jest taki, że jest ona komiczna.
12068:  Żadnego innego waloru on nie ma.
12070:  Natomiast jest zręcznym publicystą, czasem mu się zdarza napisać dobry tekst.
12074:  Ale czasem.
12083:  Dobra, polecimy sobie też żyrobombowcem, bo czemu by nie.
12094:  Dobrze.
12095:  Myślę, że też możemy sobie troszeczkę podprowadzić naszą artylerię, żeby strzelała dalej.
12101:  O, i druga rzecz, którą sobie podprowadzimy tutaj, o, to jest ta jednostka, pokażę wam fajną taktykę.
12106:  Moja opinia na temat statutów szkół określających, narzucających wygląd uczniów jest skrajnie negatywna.
12111:  Uważam, że to jest niepotrzebne.
12113:  Jeżeli już cośkolwiek robić, to przynajmniej uczyć czegoś, co ma sens, to znaczy dress code'u jakiegoś, ale nie narzucać tego.
12122:  Ja bym się nie podporządkował nawet wtedy, gdyby mi kazano nosić mundurek, zresztą miałem taki plan.
12131:  Ale na szczęście w mojej szkole się na to nie zdecydowali.
12135:  Najgorsze auto, z jakim miałem do czynienia, to Żeromski.
12137:  No tak, największy polski grafoman.
12141:  Jedyna rzecz Żeromskiego znośna do czytania to jest nawracanie Judasza, którego nikt nie czyta.
12147:  O, tam są wojownicy Saurusów, do nich zaczniemy strzelać.
12152:  Ale wiecie, no cały problem polega na tym, że gdyby przeciętny polonista na przykład zobaczył, co ja robię w tej chwili, to by stwierdził, że no tak, strzela, zabija, to jest przemoc, tak?
12160:  To jest złe.
12162:  Oczywiście śmieszne, nie?
12163:  Natomiast w momencie, w którym znajdzie się dokładnie coś takiego, tylko że w innym sosie, nazwijmy to, właśnie takim martyrologicznym, to wszystko jest okej. ...
12183:  wszystkie możliwe wyzwania pod moim adresem zawsze powtarzam to samo, to znaczy let them come.
12192:  Czemu w tę stronę akurat... Dobrze, udało nam się umknąć.
12196:  To była niebezpieczna broń, którą w nas wycelowano, a teraz... Teraz powinniście móc zobaczyć najlepszą możliwą taktykę, jaka istnieje, pod warunkiem, że nasze jednostki będą umiały ją wykonać, ale nie, nie umieją.
12209:  Nie umieją.
12217:  Na razie Torek musi sobie radzić sam.
12224:  Dobrze, i Iron Drakes mam nadzieję, że zaczną walczyć.
12228:  Dobrze, walczą, świetnie.
12229:  O to chodziło.
12233:  O to chodziło.
12240:  Rosnąca popularność VTuberów, streamerów używających animowanych avatarów często zrzeszonych w agencjach.
12247:  Czy wybrał tradycyjnych streamerów?
12249:  Nie mam zdania na ten temat, musiałbym więcej o tym poczytać.
12256:  Dobra, kusznicy są nam potrzebni po to, żeby wyciąć cały możliwy opór tutaj, na blankach.
12264:  Zawsze tutaj problemem jest ten krenelaż w tym miejscu, o. Bo... ale na szczęście tu się nikt nie gromadzi, bo przez ten krenelaż nie da się niczym strzelić.
12290:  To są czy od twórczości Sienkiewicza?
12295:  Znaczy, ja uważam, że to jest... nędzne, no... Nie było nigdy pisane jako nic ambitnego, co najzabawniejsze.
12304:  Sienkiewicz by się bardzo śmiał z tego, że dzisiaj jest to traktowane jako coś niesamowicie ważnego.
12309:  No na przykład takie Quo Vadis jest pełne błędów historycznych, jak... jak dzisiejszy komiks, no to tak, aby czytać trzystu,
12317:  tylko że to jest dobry komiks, obiektywnie, to jest tak, by czytać 300 jako coś, co mówi wam cokolwiek na temat Termopilii i wojny z Persami z tamtego okresu.
12328:  No nie, nie mówi nam nic na ten temat.
12330:  I nie będzie mówić, bo nie taka jest rola komiksu 300.
12333:  Tak samo jest z Quo Vadis, to była powieść przygodowa, jest czytana jako historyczna, ja nie jestem w stanie tego zrozumieć.
12346:  Dobra, potrzebni są nam Thunderers tutaj i to tak natychmiast.
12353:  Jak tam katapulty?
12354:  Dobrze, trzymają się jeszcze.
12357:  Naramiężnik działa.
12359:  Ja bym przekonał młodzież do czytania.
12360:  Przede wszystkim... Wiecie, to nie jest tak, że trzeba przekonywać do czytania i nie uważam nawet, żeby to było istotne.
12367:  Uważam, że ludzi trzeba przekonywać do kultury.
12370:  Jeżeli ktoś będzie kulturę przyswajał w formie serialu The Boys, okej.
12374:  Jeżeli ktoś będzie ją przyswajał w formie komiksów, okej.
12378:  Ważne jest, żeby ludzie ją przyswajali w formie wartościowych rzeczy, które trzeba znać, tak?
12384:  Jeżeli chce się...
12386:  Jeżeli chce się żyć fajniej, o, i w bardziej interesujący sposób, to warto znać, na przykład ja uważam, że gdyby mi nie polecono, a konkretnie poleciła mnie jedna z seminarzystek moich, JoJo Bizarre Adventure, to wiedziałbym mniej na temat anime, niż bym chciał wiedzieć.
12404:  I na takiej zasadzie powinno działać podobne polecanie, więc...
12407:  W moim przekonaniu, jeżeli chcemy kogokolwiek przekonać do czegokolwiek, no to dokładnie tak samo jak robimy to w innych okolicznościach, to znaczy rozmawiając ze sobą.
12416:  Mnie też kiedyś na przykład ktoś przekonał, słuchaj, nie używaj procesorów Intela, bo Radeony są lepsze i AMD.
12422:  Znaczy AMD w tym przypadku, Ryzeny.
12426:  No i posłuchałem, tak?
12427:  Zostałem przekonany do tego.
12430:  Ale...
12434:  Jak mówimy o przekonywaniu do czytania, to mamy na myśli coś innego, to znaczy mamy na myśli to, że ludzie nie czytają i że trzeba ich do tego przekonać, bo inaczej straszne rzeczy się będą działy.
12444:  Ja nie uważam, że się będą straszne rzeczy działy, jak ktoś nie będzie czytał.
12449:  Oczywiście coś straci, pewnie, że straci, jakąś część kultury, ale to nie znaczy, że będzie głupszy.
12457:  Na przykład może być ktoś, kto nie potrzebuje akurat, nie wiem, wysokiego zasobu słownictwa, nie?
12464:  Warto czytać, nie wiem, w języku angielskim chociażby, jeżeli człowiek chce wyjechać za granicę i ma, tak jak ja chociażby, problem z nauką słówek.
12474:  Wtedy czytanie jest efektywniejsze, to znaczy nauczy się szybciej języka.
12483:  To prawda.
12483:  No i widzicie, powiedziałem o Ryzenach, jest inna opinia od razu.
12487:  No i oczywiście na tym to polega.
12489:  Dokładnie tak samo jest z literaturą.
12491:  Są na przykład ludzie, którzy, nie wiem, cenią ramotki literackie, bo one im coś mówią na temat rzeczywistości.
12498:  Good.
12501:  Good for them.
12503:  Mnie nie mówią.
12505:  Ja wam szczerze mówię, że poza nielicznymi przypadkami klasyki, którą przeczytałem i rzeczywiście mi się podobała, bardzo rzadko bywało, że się czegoś nauczyłem z klasyki literackiej.
12516:  Bardzo.
12517:  Czy to znaczy, że żałuję, że to przeczytałem?
12519:  Nie.
12521:  Jeżeli jest coś, czego żałuję, to studiów polonistycznych, na pewno.
12524:  Uważam, że to był błąd, z mojej strony.
12528:  Kto jest najpotężniejszym człowiekiem we wszechświecie?
12530:  Cóż za pytanie.
12531:  Oczywiście, że Elon Musk.
12532:  Żartuję.
12533:  Zostałem skrytykowany za określanie powstań jako zbędnego marnowania środków oraz funduszy, pomijając już przeszłość pokoleń i ponadto jako racjonalista nie rozumiem sensu romantyzmu.
12541:  Nie wiem, podobnie, nie?
12542:  Ale właśnie cała rzecz polega na tym, że ideologia dominująca nakazuje nam myśleć i mówić co innego i dlatego jest z tym taki problem.
12549:  Dobra, myślę, że możemy już powolutku wkraczać.
12553:  Widział Krzysztof po półtorej godziny oblężenia.
12559:  Proszę wyciąć wojowników saurusów stąd.
12562:  Dobrze, eee... Founderers tutaj.
12571:  Pięknie.
12578:  Moja odpowiedź miała brzmieć He-Man.
12581:  Ktoś tu wykorzystuje wobec mnie jakiś ohydny klucz.
12584:  Skandal.
12585:  Eee...
12588:  Dobrze.
12593:  Oczekiwać, że Krzysztof odpowie zgodnie z przewidywaniami, to tak jak oczekiwać, że stwierdzi nagle, że zamierza spędzić wakacje nie grając w gry komputerowe, tylko czytając dzieła zebrane Olgi Tokarczuk.
12605:  Jeszcze raz.
12612:  Który z naszych mistrzów run jest potężniejszy?
12614:  Ten.
12617:  Okej.
12620:  Coś tutaj się interesującego dzieje, absolutnie nic.
12623:  Jedna z jednostek zużyła całą amunicję, nie może tak być.
12633:  Jakie klasyki mi się podobały?
12635:  Ja czytałem Wojny i Pokoju, byłem w niebo wzięty.
12637:  Mnie się z Wojny i Pokoju najbardziej podobała wojna, oczywiście, ale... ale generalnie spoko.
12644:  Jeszcze bardzo lubiłem Annę Kareninę, to jest świetnie napisana powieść.
12649:  Jest takich parę rzeczy rzeczywiście, które warto czytać, na przykład literatura amerykańska w Polsce nie jest czytana, jest naprawdę bardzo dobra.
12656:  Część z was może znać na przykład Buszulinocego w zbożu Salingera, ale Salinger pisał o wiele więcej różnych rzeczy, nie?
12662:  Ale tak samo Scott Fitzgerald i tak dalej, czy Faulkner.
12669:  To są dobre rzeczy.
12671:  Tak samo kiedyś miałem fazę na czytanie Wiktora Igo.
12674:  Jak się czyta boską komedię jako takie właśnie, nie wiem, uniwersum, to można mieć z tego dużo radochy, bo tam jest dużo postaci, które występują w różnych częściach tego cyklu.
12683:  I to nie jest... To nie jest... Znaczy, jak się czyta tego rodzaju rzeczy, to człowiek rozumie, jak bardzo nasza powieść polska była daleka od tego, co było za granicą.
12693:  O, Steinbeck, następny dobry przykład, nie?
12696:  Steinbeck.
12700:  No ba.
12701:  Pewnie, że JoJo Byza Adventure to jest klasyk.
12703:  Wspaniałość absolutna, ale właśnie ja się za tego klasyka zabrałem o wiele, wiele za późno.
12708:  Jaka tu jest sytuacja?
12709:  W dalszym ciągu jest niezbyt, niezbyt radosna.
12716:  Armata 42-funtowa z Zoof Baru?
12720:  Cóż za zdolność!
12722:  Ależ mi się ona podoba.
12725:  I tak stracimy to, ale co tam.
12729:  Jakiś rok temu za sugerowalne mi podjęcie po studiach pracy nauczyciela zadałem rozmówcy pytanie, co sądzi o wpuszczeniu do świata osoby, która na pierwszej lekcji wywali za okno całą podstawę.
12737:  Domyślam się, że reakcja była entuzjastyczna.
12740:  Ja próbowałem to zresztą zrobić, jak oddawałem się tej przyjemności.
12747:  Tak, to dość kontrowersyjnie jest to przyjmowane.
12750:  Raz, dwa, trzy, cztery.
12753:  Moi mili, zaczynamy robić wreszcie Doomstack.
12756:  Taki porządny, prawilny krasnoludzi Doomstack.
12764:  Co tu się dzieje?
12765:  A, wiedziałem, że zaatakują.
12766:  To akurat na to byłem psychicznie przygotowany.
12770:  Co uważam o mistrzu jako i Małgorzacie jako lekturze szkolnej, gdyż mi mignęło na czacie.
12779:  Dobrze to jest zrobione, tylko mam wrażenie, że jest za wcześnie czytane, wiecie?
12784:  Czy warto sięgnąć po Edgar Allan Poe, jeśli ktoś lubi horror i klasykę literatury grozy?
12789:  Ale czytajcie to po angielsku, bo inaczej szkoda, szkoda, bo po angielsku można się fajnie nauczyć angielskiego, jak się to czyta w oryginale.
12802:  To jest tragiczna sytuacja tutaj, ale... ale... ale... Wiecie co możemy zrobić teraz?
12811:  Teraz możemy iść na dół i dojechać ich ostatecznie.
12815:  Myślę, że to jest dobry... dobry... dobra opcja.
12820:  No dobrze byłoby złapać... albo złapać Replenishment, albo...
12825:  Albo wiecie co, bądźmy odważni, walimy do nich.
