Organki szatkują organy — THOREK IRONBROW livestream #3 (The Silence & The Fury DLC)
🔗 https://www.youtube.com/watch?v=3Z1ESWSjGbE

2:  Kazukan Kazakit!
4428:  Nawet... Nawet pobieraliśmy... Nawet pobieraliśmy razem, czyli ja nawet nie miałem szansy przećwiczyć, czyli to było później.
4434:  Później sobie odpalałem i sprawdzałem właśnie ustawienia i miałem zupełnie inną kampanię, to znaczy Clan Morph został rozniesiony jakoś bardzo szybko i moim szybkim problemem stały się elfy, które nagle mnie zaatakowali.
4447:  Nie mam pojęcia dlaczego, więc wiecie, to jest loteria.
4453:  To jest absolutna loteria.
4457:  Okej.
4459:  Tyle w temacie Lebarasu.
4462:  Teraz musimy jak najszybciej dojechać te wąpierze, bo one mnie denerwują i to bardzo.
4468:  Nawet zrobimy w ten sposób, że zachęcimy je do tego, żeby nas zaatakowały.
4483:  Sokole oko... Nadzorca przyda się.
4488:  I... amortyzacja też się przyda, bo będziemy walczyć z zielonoskrójnymi.
4493:  Gdzie jest tryon ze zjednoczonym ultwanem atakujący Arabię?
4496:  Ja się pytam, a tak, tak.
4499:  Zdarzają się i takie rzeczy.
4508:  O, za moment będziemy mieć awansowanych na złoto.
4515:  No i poza tym też ja lubię rebelie wbrew pozorom, dlatego że one nam dają dość sporo złota.
4521:  Ta naprawa, która tutaj jest, prawdziwie niestety troszeczkę neguje.
4527:  Ale cóż, nie można mieć wszystkiego.
4530:  Zaginiony płaskowyż jest tutaj.
4531:  Dobrze, tutaj możemy mieć taką sytuację.
4537:  Na wszelki, wszelki, wszelki wypadek.
4542:  Weźmiemy sobie na ramieżnik.
4548:  Weźmiemy sobie jakieś dobre oddziały strzelców.
4553:  No.
4555:  Na wszelki wypadek, nie chcę stracić Razetry.
4558:  Tak w ogóle to dziwię się, że jest mało streamów z kampanii Multi, kiedy druga osoba ma możliwość każdej bitwy w siedzibie przeciwnika gracza.
4565:  Ja bardzo nie lubię multiplayera, z tego prostego powodu, że tam są zupełnie inne zasady.
4572:  I wielu streamerów ma podobnie, chociaż są tacy, którzy... To nawet mistrzostwa w Total Warze, come on!
4580:  Wurzak wielki, zielony... Kutas.
4590:  Będziemy musieli sobie z nim poradzić.
4593:  To jest, swoją drogą, coś, co absolutnie uwielbiam.
4596:  To znaczy, Dawii w pocie czoła wznoszą swoje fortece, a potem przychodzą... Topór!
4602:  Niszczyć!
4603:  Zielona skórzy!
4605:  I rozwalają wszystko, nie?
4606:  To jest wszystko, co umieją.
4608:  A, chodzi o kampanię.
4609:  panie multiplayer'ową, a to z bardzo prostego powodu, od razu ci mogę powiedzieć dlaczego to jest nielubiane, a to z tego względu, że dwa razy masz tę samą turę i po prostu to trwa, i tak już przecież Warhammer trwa długo, w porównaniu z innymi grami, więc wiecie.
4631:  Dobrze.
4634:  Lybaras wznosimy na wyższy poziom, zajmiemy Lamię jeszcze,
4640:  Bardzo możliwe, że Wurzak będzie chciał zaatakować nas tutaj, ale tu mamy dość dobry garnizon, co nie zmienia faktu, żebym się czuł bezpieczniej, mając tutaj Lorda.
4649:  Kto wie, czy tego nie zrobimy.
4652:  Natomiast na razie Mierzwa musi się tutaj udać i sprawdzić przede wszystkim, jaki oni mają zasięg.
4656:  Oni mają taki zasięg, dobrze, czyli możemy być tutaj najwyżej.
4661:  Okej.
4663:  Proszę sprawdzajcie, kto ma gdzie zasięg, żeby nie zaatakował, nie?
4666:  Bo to... Nawet się troszeczkę cofniemy.
4670:  Tak, teraz nie ma szans, żeby nas dojechał.
4676:  Dobra.
4678:  Coś się tutaj dzieje jeszcze?
4681:  Tak.
4684:  Tak.
4686:  I... Tak.
4691:  Nie.
4692:  Szybkość chcemy.
4696:  O, tutaj my też możemy mieć wielkie runy.
4698:  To jest ciekawa sprawa.
4701:  Do której dzisiaj strumyk?
4702:  Też tak, wczoraj.
4703:  Ja teraz staram się nie wychodzić poza jakieś 4 godzinki, choć chyba, że będzie się bardzo dobrze grało.
4708:  To jest moja standardowa zasada.
4711:  Olkowie zawsze mi się kojarzą z kibicami Legii.
4713:  Oj, oj, oj.
4714:  Haha.
4716:  Wielki zielony kuta z tymi słowy przywitał mnie dzisiaj Arcymak.
4720:  Przepraszam, to było do Wurzaga.
4727:  Multi z widzami, miła sprawa, tylko wiecie, w Genshinie akurat, który został przywołany, można grać w partii czteroosobowym, jest to żadna zabawa.
4735:  Tak, tak, Grimgor przyjdzie i zaora w trzy armie.
4737:  Oczywiście, tak, tak, ja wiem.
4740:  Dlatego też pilnie chcemy ufortyfikować te prowincje, nie?
4744:  Żeby tutaj już nie było takich problemów, jak te, które są.
4752:  Tu będzie trzeba niestety dużo napraw zrobić.
4756:  Okej.
4763:  W zasadzkę wejdziemy.
4765:  Jakie to są szanse na zasadzkę?
4767:  40%.
4768:  Nie są to dobre szanse.
4775:  Prędkość dla jednostek strażników, koszt wywerbunku, utrzymanie.
4779:  W to idziemy.
4784:  Jak tam Wurzak?
4785:  Wurzak zajął katar, czyli zaraz do nas przyjdzie.
4790:  My musimy zająć lamię, bezwzględnie.
4793:  Ooo!
4795:  Niespodzianka!
4797:  Jest szansa, że jeżeli się zmieni Lord na Kaja, to dostaniemy bardzo dobry, legendarny trade.
4811:  To jest... Cieszę się, że strumyki są idealne do słuchania podczas pracy.
4816:  Bardzo, bardzo mi jest miło.
4817:  Hmm... Dobra.
4826:  Grimgorn może pluć armiami jak rewolwerzy w westernach.
4829:  To jest smutna prawda, dlatego ja bardzo nie chciałem wypowiadać mu wojny, ale to jest fizycznie jedyny przeciwnik, którego mamy na północ.
4837:  Więc...
4840:  Aaa, jest już Wurzak, wiedziałem, wiedziałem.
4843:  Ale dobrze, tam mamy bardzo dobry garnizon.
4848:  Przy czym to jest moment, w którym jednak wyrekrutujemy tam Lorda.
4851:  Proszę, proszę.
4853:  Widziałem jej dzisiaj same bitwy, moi drodzy, same bitwy.
4857:  Same bitwy.
4859:  Och, jaki cudowny layout twierdzy.
4861:  Po lewej stronie jest taka wielka skała, hmm, pomyślmy.
4864:  Ach tak, na pewno tam nie zrobiłem żadnej wieży, żeby przeciwnik mógł się za nią schować.
4872:  Wyobraźcie sobie, jakie to byłoby piękne, gdyby tutaj można było ustawić artylerię.
4878:  No przecież to byłoby po prostu cudne.
4880:  Ale nie!
4882:  Znam ten layout twierdzy zresztą.
4884:  Ona jest dość prosta do obrony, chociaż... Ale przyjrzyjmy się chwilę przez moment, jaka jest piękna ta architektura.
4893:  To jest wspaniałe.
4895:  Jeszcze jaszczuroluźmi nie graliśmy, ale bardzo możliwe, że zagramy nimi po skawenach.
4901:  O, świetnie.
4902:  Ci pójdą na mury.
4903:  Mogą iść na mury, mogą.
4904:  Dobra.
4905:  No to tradycyjnie.
4906:  Tutaj trzeba uważać, ponieważ wbrew pozorom tu nie ma zasięgu.
4910:  To znaczy, jeżeli byśmy się ustawili tak, to jest loteria, czy będzie zasięg, czy nie.
4914:  Możemy to sprawdzić, ale jest pewne ryzyko.
4919:  Więc ustawimy tutaj natychmiast oddział rębaczy.
4924:  Tutaj też.
4928:  O, tak żeby zablokować akurat przejście.
4933:  Wypalacze tu w to miejsce, tak, bo tutaj na pewno nas zaatakują.
4939:  Dwa oddziały strzelców w to miejsce.
4943:  Może nawet się troszeczkę cofniemy, bo tutaj jest jedna rzecz właśnie, jeżeli oni wpadną, to musimy mieć czystą linię strzału.
4951:  Wtedy dobrze jest ustawić w ten sposób strzelców.
4955:  A jeśli chodzi o kuszników... Ach, tu jest jeszcze przesmyk.
4960:  Ale tędy rzadko idą.
4962:  Słynne ostatnie słowa.
4965:  W razie czego wypalaczy tutaj przesuniemy.
4967:  Boże, mamy organki.
4969:  Wspaniałość.
4972:  Dobrze, to tutaj na wszelki wypadek Longbeard się ustawiał.
4976:  Jakie nam oddziały zostały na murach?
4977:  Idealne.
4990:  Dobra.
4992:  Wystarczy?
4993:  Czy tutaj... No nie.
4995:  Musimy mieć tak, żeby złapać trzy wieże.
4997:  I ta jest, ta jest i ta jest.
4998:  Dobrze.
5000:  Szalony pomysł.
5000:  Zrobić twierdzę na górze zamiast obok.
5002:  No prawda.
5003:  Jakie części Total War'a poza Warhammerem są moimi ulubionymi?
5007:  Warhammer 1.
5010:  Minecraft to not my cup of tea, szczerze powiedziawszy wam powiem.
5017:  Kampania Ikitem 3... Oczywiście, że będziemy do Ikita wracać.
5020:  Wy myślicie, że to, co żeśmy pograli Ikitem, to jest wszystko?
5023:  Nie żartujcie sobie nawet.
5027:  Ale pierdnęły te działa.
5029:  Pięknie.
5031:  Chciałbym tylko, żeby waliły w wieżę.
5034:  W wieżę, w zwierzę.
5039:  Ja nie wiedziałem, że... Ja nie wiedziałem, że jaszczur ludzie mają aż tak silne wieże.
5044:  Zostały poprawione.
5046:  Uhu!
5049:  Hahaha!
5050:  To będzie, to będzie radosne oblężenie.
5053:  Do trzech razy sztuka, woda!
5055:  Tak jest, dziękuję Taraelu za przypomnienie, aż upuściłem nakrętkę z wrażenia.
5064:  Coś mówiliście na temat tego, żeby dać jakieś karczmy, żeby nie było, żeby nie było takich oblężeń.
5072:  Nie żartujcie nawet.
5074:  Cała przyjemność wtedy byłaby stracona.
5077:  Ze strzelania z wież!
5079:  Mówiłem wam, że lubię strzelać z wież.
5081:  No co ja na to poradzę?
5084:  Jeżeli gra mi daje taką rzadką szansę, że mogę mieć mury i z nich strzelać, będę to robił.
5093:  Give me more, give me more!
5095:  O tak.
5098:  To jeszcze w tych strzelimy.
5100:  Prześlicznie wieże strzelają.
5103:  Ślicznie!
5107:  Czy zobowiązałem modów do bycia Hydration Botami?
5110:  Tak!
5112:  To dobrzy ludzie, którzy dbają o to, żebym nie trafił znowu do szpitala.
5124:  Dobrze, dobrze.
5129:  To są takie też aplikacje służące do przypominania o piciu wody, ale ja nie lubię takich rzeczy.
5134:  Nie lubię, jak maszyna mi przypomina.
5138:  To jest okropne.
5141:  Ogary chaosu.
5143:  Biorąc pod uwagę to, jak chaotycznie się poruszają, trudno o bardziej adekwatną nazwę.
5149:  A jednak... Mówiłem, że nie będą strzelać nasi strzelcy dzielni.
5157:  Co tu się stało?
5164:  Pięknie.
5168:  Jak ładnie, jak ładnie Dawii robią... Proszę bardzo.
5175:  To jest plus.
5176:  Krasnoludy są niskie.
5179:  Dlaczego jest to plus?
5181:  Mianowicie dlatego, że można ponad oddziałami strzelać z miotaczy.
5186:  Chyba, że do oddziałów miotaczy ognia są rekrutowani wyłącznie tacy żelaznosmoczy, którzy są wyżsi.
5199:  Haha, imperator wykorzystuje serwitory do przypominania o nawadnianiu.
5206:  Raczej... raczej zakon, jakby on by się nazywał, Ordo Discordiarum.
5216:  Moderator nie śpi, moderator czuwa, moderator mądry, sprytny, tak, tak, dobry, dobry.
5221:  Oj, oj, tęsknimy wszyscy za skawenami, widzę.
5231:  Uwielbiam to, w jaki sposób krasnoludy się potrafią bronić.
5234:  To jest poetyckie.
5237:  O multika z widzami pytacie, to jest ciężka sprawa, biorąc pod uwagę, że ja nie gram multiplayery zasadniczo.
5243:  Nawet w Genshin'aku, straszliwym oburzeniu moich kochanych studentów, którzy mnie w ogóle zachęcili do tej gry,
5249:  Raczej grywam z nimi niż gram, a najczęściej gram singleplayerowo.
5255:  Jak ktoś chce dołączyć do świata, to bardzo rzadko się zgadzam.
5258:  Nie wiem, jakoś dla mnie gra zawsze była takim doświadczeniem bardzo osobistym i imersywnym.
5266:  Mogę oczywiście rozmawiać w trakcie, jak gram, ale to nie znaczy, że nie roleplayuję.
5273:  O, 2000 zarobimy na tym buncie.
5275:  Bunty są opłacalne!
5279:  Piękne!
5281:  Czy jest jakiś uniwersum, który pozwala używać magii krasnoludom?
5287:  Nie chodzi tylko o magię runiczną.
5288:  To jest ciekawa sprawa z tą magią krasnoludzią i magią runiczną.
5297:  To będzie łatwe.
5298:  To było po to, że chciałem sprawdzić... Po pierwsze zapisać, a po drugie sprawdzić, jak będzie z...
5307:  Teraz protip.
5309:  Jeżeli ustawimy wojska tutaj, to przyjdą za nami pod winny.
5314:  Jeżeli byśmy się ustawili tutaj, to weźmiemy ich w kleszcze.
5317:  To się nie opłaca.
5320:  Więc pozycja na mapie ważna.
5324:  No proszę.
5325:  Teraz mamy nawet zdecydowane zwycięstwo.
5330:  Dobrze, rozwój jest nam tutaj bardzo potrzebny.
5334:  Okej, Mierzwa Grzebaczek wraca, bo to jest jego rola ostatnio.
5338:  Czy tutaj możemy coś zrobić?
5340:  Tak, wreszcie.
5343:  Okej.
5345:  Czy to jest Nakai?
5346:  To nie jest wciąż Nakai.
5348:  Poczekamy, aż się zmieni w Nakaja.
5355:  Ale kusi!
5361:  Kurczę, jak kusi.
5363:  Nie zrobimy tego.
5366:  Byłoby to dobre, ale ja bardzo potrzebuję tutaj murów.
5371:  O tak, dostaliśmy dobre rzeczy.
5374:  Brak skażenia, to zostawiam, bo się nam przyda.
5378:  Udostępnia garnizon strażnicy z wielką bronią, zostawimy.
5382:  Zostawimy, zostawimy.
5384:  Tego nie zostawiamy, bo to jest nam niepotrzebne.
5387:  Możemy to zbudować, chociaż nie.
5389:  Możemy tu wyrekrutować Tana dzięki temu jakiegoś.
5392:  I jest jeszcze dobry Tan.
5393:  Tan nam się przyda do tej armii.
5396:  Zamiast tego Hikoptera.
5399:  Czy kojarzę Warlords Battlecry 3 albo wcześniejsze części?
5402:  Nie, nie, absolutnie.
5404:  Jak oceniam uniwersum Half-Life?
5406:  No, jedno z ulubionych, absolutnie.
5408:  Kultowe, chociaż nie grałem w Alyxa.
5412:  Czy my chcemy Tana?
5413:  Czy chcemy zostawić sobie Hichopter?
5416:  Zostawimy sobie Hichopter.
5419:  Hichopter może być dobry do rozwalania rzeczy z oddali, wbrew pozorom.
5427:  Na przykład może być dobry do rozwalania goblińskich głazocików, bo już widzę, oczyma wyobraźnię, jak te na nas się zwalają razem z armią Grimgora, jedną z 15 kwadrylionów, które na nas rzuci.
5443:  Ale... Nie zmienia faktu, że nie mamy tu murów.
5448:  To mnie bardzo martwi.
5452:  Tak, to mnie bardzo martwi.
5457:  Myślę sobie, co z tym fantem zrobić.
5460:  Gdzie wyruszy wórzak?
5461:  Czy wórzak ruszy tutaj?
5463:  To jest jeszcze opcja.
5466:  Jeżeli wórzak ruszy tutaj, to mamy przerąbane.
5472:  Kiedy podbijasz lepsze miasto niż wszystko, co kiedykolwiek zbudowałeś, to prawda, bardzo trafne.
5478:  Wiecie co, ruszymy mierzwą tutaj, bo ja mam złe przeczucia.
5482:  Chyba, że my się możemy przenieść, ale ostatnio sprawdzaliśmy i nie mogliśmy.
5491:  Valve wypuszcza niedługo nowego Half-Life'a, a to będzie remaster drugiej części, a to dobrze akurat.
5496:  Kręgosłup diabła to chociaż takiego legalnego, tasmańskiego czy jakieś profanackie bzdury niewiadomego pochodzenia.
5502:  Obawiam się, że to drugie, Taraelu, niestety.
5505:  Obawiam się, że to drugie, ale możemy dla okoliczności naszych radosnych gier przyjąć, że to jest kręgosłup diabła tasmańskiego.
5512:  W ten sposób będzie nam w tych okropnych stronach trochę lżej.
5519:  Czas pozbyć się tej rebelii.
5521:  Dobrze, wreszcie mamy jakiś sensowny dochód.
5527:  Okej.
5529:  Dobrze.
5532:  Naprawimy się.
5538:  Tyle jeśli chodzi o nasze pieniądze.
5543:  Czy tutaj jest jakieś wojsko?
5545:  Nie.
5546:  Nagashizari i tak zaraz im upadnie.
5547:  Dobrze.
5548:  Tutaj nie ma żadnego wojska.
5549:  To jest dobra informacja dla nas.
5552:  Bo to oznacza, że nie musimy się fatygować mierzwogrzebaczkiem.
5556:  Tak, a Wurzak jest kretynem i się ustawił w kolejce do niszczenia naszej twierdzy.
5567:  Któż nie czeka na Half-Life 3?
5569:  No coś w tym jest.
5570:  Gra naprawdę kultowa, ongiś zwłaszcza.
5576:  Myślę, że po tej rebelii powinno być troszeczkę lepiej.
5587:  Battletech z modem ragtag.
5589:  Battletech był chyba przeze mnie kiedyś ogrywany w alfie jeszcze.
5595:  Jeśli dobrze pamiętam.
5597:  Co oczywiście jest warunkowe, jak wiecie u mnie.
5603:  99% bitew naszych to bitwy z powstańcami.
5605:  To prawda!
5605:  Jesteśmy w Polsce!
5607:  Haha!
5608:  Czymże byłby stream polski bez powstań?
5611:  Powstania ważne!
5612:  Wypełniają naszą literaturę i historię wyłącznie!
5616:  Im bardziej przegrane natomiast powstania... Nie ma jak przegrane powstanie, bo takie, wiecie, powstanie... takie nieprzegrane, to jest takie słabe powstanie, nie?
5628:  Ale takie przegrane powstanie, to jest... To jest piękne.
5633:  To jest prawdziwa moc.
5643:  Czy chcemy Gotreka i Felixa?
5648:  Demy Gorteka i Feliksa pewnie.
5651:  Zmał go ja tylko na chwilę, bo oglądam D&D.
5654:  Chciałbym polecić grę The Longing.
5656:  Myślę, że jest bardzo ciekawa i warto uwagi.
5657:  Miłe gry.
5658:  Dziękuję bardzo.
5662:  Dziś jest 1 sierpnia!
5664:  Faktycznie!
5666:  No... tak!
5670:  I stand by what I've said!
5671:  Absolutnie w stu procentach!
5673:  Werbujemy Gottlieba i Horex!
5675:  Dlaczego powiedziałem Horex?
5678:  Proszę bardzo!
5680:  Zabijcie niektórych alienów po tym rukusie!
5683:  Zgadza się!
5683:  Zgadza się!
5684:  Zgadza się!
5684:  Zgadza się!
5690:  Kto mówi o Powstaniu Wielkopolskim, ale o Trzecim Śląskim?
5693:  Oczywiście nie, no, o Powstaniach Śląskich to w ogóle, jeśli się nie mówi, z bardzo prostego powodu.
5696:  Jest po prostu system moratorium na mówienie o Śląsku, a zwłaszcza na oddawanie Ślązakom tego, co ślązackie i co Ślązakom przynależne.
5709:  Dobrze, Gotrek się tutaj zasadza.
5712:  Kotrek Gernischen jest z nami!
5716:  Jesteśmy bezpieczni!
5719:  Tak naprawdę to nie.
5722:  Głosem miecia.
5726:  Dobrze... Tu już nie ma rebelii, ale będzie za moment.
5731:  Zarobimy, zarobimy.
5751:  Jacek Denel dzisiaj miał na fejsie bardzo słuszny moim zdaniem komentarz dotyczący powstania.
5758:  Polecam.
5760:  Powiedział bardzo słusznie, że to nie jest nic, co by należało traktować jako chwalebny rozdział w naszej historii.
5769:  Jedyne co, to trzeba czcić pamięć poległych, natomiast jeżeli chodzi o ocenę tego, to jest jednoznaczna.
5783:  Podejdziemy do tego strategicznie, powiedział Krzysztof grający w grę strategiczną, bo to Wojska Zielonoskórych to nie jest nic, co by należało ignorować.
5803:  Dobrze.
5805:  Sytuacja w Rasetrze zaczyna się stabilizować.
5810:  Sytuacja w Teotiqua nie zaczyna się stabilizować.
5813:  Sytuacja w przeklętej dżungli jest jaka, jaka była.
5816:  Tu potrzebujemy trzeciego poziomu.
5818:  Dobrze.
5820:  Duma weteranów, utrzymanie dla jednostek długobrody.
5822:  Absolutnie tak.
5823:  Pieśni marszowe!
5824:  Potrzebujemy pieśni marszowych!
5826:  Tak!
5827:  I więcej piwa.
5831:  Hmm...
5833:  A jeśli chodzi o Powstanie Wielkopolskie, macie absolutnie rację, że to jest taki fascynujący rozdział w historii, że jest zwycięskie powstanie, udało się, nie było wielu ofiar, ale nikt o nim nie pamięta.
5854:  Mogę założyć, że gdyby to powstanie było w Warszawie, to wtedy wszyscy byśmy je czcili, nie?
5861:  Bo pamiętajcie, że to nie jest nigdy kwestia tego, że na przykład coś jest ważniejsze albo bardziej istotne.
5869:  Tylko jest taka narracja zawsze, że jeżeli coś się dobrego dzieje, to na pewno będzie to w Warszawie.
5874:  Tak, wychodzi teraz ze mnie straszny krakus, wiem.
5879:  Zapał bojowy.
5880:  Tak, chcemy zapału bojowego.
5882:  Gotrek!
5885:  Goornishan!
5886:  Gotrek!
5886:  Goornishan!
5890:  Walczymy.
5891:  Wpierw armia rebeliantów.
5895:  Tyle w temacie armii rebeliantów.
5898:  Chcemy więcej przychodów, absolutnie.
5900:  Grimgor!
5902:  Bardzo dobrze.
5905:  No to jak Grimgorku?
5908:  Ale nie, nie, nie.
5910:  Tak z Gotrekiem, z Gotrekiem.
5912:  Eee, eee, eee.
5915:  Nie, nie, eee.
5916:  Grimgorowi, Grimgorowi uczynimy ten zaszczyt.
5923:  Grimgorowi uczynimy zaszczyt?
5925:  Oj, oj, oj, oj!
5926:  Czyżbym widział przesmyk?
5928:  Czyżbym widział bitwę z przesmykiem?
5931:  Tak!
5932:  Tak!
5934:  Nie!
5936:  Nie jest dobry teren.
5939:  Znaczy, damy radę, ale... Będę się męczył.
5944:  Ja nie lubię się męczyć.
5954:  Dobrze.
5955:  Zabierz sobie grupy.
5957:  Czasem je robię, czasem nie.
5961:  Boże, ale tak, niech oni się nie ruszą, błagam.
5965:  Chihopter tędy.
5969:  Reszta naszej armii tutaj.
5976:  Dobra, i teraz szybko się prze... A nie, ruszają od razu, dobra.
5983:  To zostaniemy w tej formacji.
5986:  Zostaniemy w tej formacji, tutaj potrzebujemy tylko kowali run na flanki, bo flanki będą, nie zgadniecie, flankowane.
5995:  Ooo, czyżbym miał armatę 42-funtową z Zów Baru?
5999:  Niemożliwe.
6005:  Pięknie.
6006:  Niepokoi mnie trochę, że tam się ruszyli.
6018:  Potrzebujemy pieśni marszowych i więcej piwa.
6020:  No oczywiście, że tak!
6022:  Oczywiście, że tak!
6028:  Piwo jest ważne.
6031:  I jest dobre na nerki.
6035:  Tylko pamiętajcie, że piwo jest dobre na nerki wtedy, kiedy się nie ma problemu z nerkami, bo na przykład jeżeli ma się już, nie dajcie bogowie, kolkę nerkową, to można się doprowadzić do utraty nerki, jak się napije piwa.
6050:  No, cieszę się, że zostawiłem chichopter.
6055:  Wziął nikt nigdy.
6061:  Czy będziemy mieć tutaj zasięg?
6065:  Czemu organki nie strzelają?
6067:  Organki nie mają zasięgu, stąd ono nie wierzy.
6073:  Mówiłem, że ta mapa jest i dobra, i zła.
6077:  Dobra.
6080:  Wypalanko!
6080:  To jest tak, jak jesteśmy w świecie Warhammera, to może spytać jeden Dawid, drugiego Dawiego.
6090:  Mamy wrogów tutaj, co robimy?
6092:  Co robimy?
6093:  Nie wiem, ale wypalamy.
6098:  Ooo, armata 42-funtowa z Zoof Baru, tak mi przykro!
6105:  Och tak.
6106:  Nie, przepraszam was, ale granie zwierzoludźmi nie jest dla mnie, granie chaosem nie jest dla mnie, ja muszę grać frakcjami, które mają artylerię, które mają ogień, które mają magię ognia względnie.
6118:  Wiecie, krasnoludy nie mają magii ognia, ale mają next best thing, czyli napalm.
6129:  Najlepsze krasnoludzkie piwo ma 75%, działa zbawiennie na wątroby.
6134:  Tak jest.
6142:  Jest różnie z tym zasięgiem.
6147:  Runes of Spellbreaking!
6150:  Tak!
6154:  Kto to tak, tak spierdziela?
6155:  A, debeściaki orków na dzikach!
6159:  Cóż, debeściaki.
6161:  Not so much.
6163:  Dawno nie używaliśmy runy gniewu i zniszczenia, nie uważacie?
6168:  Dawno, dawno.
6169:  Whisky jest... No oczywiście, że whisky jest dobre, ale niestety nie do końca na nerki, więc ja musiałem poprzestać na razie na tym, na piwie.
6178:  W wodzie, herbacie zielonej.
6183:  Chaos ma wszystkie te rzeczy, Archaon ma magię ognia, Sigvald ma piekielne działo.
6186:  Czego chcieć więcej?
6188:  No dobrze, znaczy, jeśli chodzi o ten chaos, to prawda.
6192:  Oj, oj, tu jest jakaś niedobra sytuacja.
6195:  Niszczyć pająka!
6196:  Chociaż z drugiej strony... Wszyscy strzelać w pająka!
6198:  Wszyscy strzelać w pająka!
6212:  Musimy chronić naszego Toreka, bo... Torek Żelazna Brew nie jest za bardzo żelazny.
6218:  Czy ja dobrze widzę?
6221:  Niech oni tam zostaną.
6229:  42 funty?
6230:  Mniej niż 300 złotych za armatę, to niedużo.
6234:  Ojojoj.
6240:  Wypalanie!
6244:  Uwielb... Skwierczące orki!
6248:  Grillowane!
6252:  Tak!
6253:  Debeściaki orków, świetna piechota!
6256:  Wspaniała, szkoda tylko, że tak płonie!
6261:  Ale nie śmiejmy się, nie śmiejmy się, to jest wersja bez łaa.
6267:  Jak Grimgor się na nas zemści... O, pająk!
6270:  O nie, to jest właśnie Grimgor.
6277:  Dobra, poważna sprawa.
6279:  Wszyscy strzelać w Grimgora.
6283:  Organki bardzo proszę napierdzielać w piechotę tam.
6288:  Poziom trudności legendarny.
6291:  Niestety.
6296:  Dobra, Grimgor za mocno wali.
6304:  Musimy się wycofać.
6306:  Szkoda, żebyśmy stracili nasz bezcenny replenishment.
6317:  Potrzebujemy strzelców na Grimgora.
6322:  Dobra.
6323:  Bo szkoda, szkoda tego bezcennego zdrowia krasnoludziego.
6329:  Founderers.
6331:  Wszyscy walić w Grimgora.
6334:  Sci-Hub się przydał przy pisaniu pracy licencjackiej.
6337:  No nie masz pojęcia, jak się cieszę.
6338:  Strasznie się cieszę.
6342:  Zwykle u siebie na seminariach mówiłem o Sci-Hubie, ale wiecie, no... W ten sposób byłem w stanie powiedzieć to małej liczbie ludzi co roku.
6351:  A tak jest szansa, że to się poniesie dalej.
6355:  Cieszę się, że się przydaje.
6356:  Wino też nie jest dobre na nerki.
6358:  Generalnie ciężkie alkohole mają to do siebie, że mają jakiś osad, nie?
6364:  To jest oczywiście po przefiltrowaniu i tak dalej.
6366:  I ten osad się lubi osadzać w nerkach, jak to z osadem bywa.
6371:  Natomiast wódka z kolei, jeżeli ma się problemy z nerkami, wypije się dużo wódki, to może to doprowadzić do kolki.
6377:  Więc jeżeli człowiek wie, że powinien mieć kolkę nerkową, to jest to jedna z rzeczy, którą można zrobić, żeby wywołać.
6386:  To nie była porada medyczna.
6389:  Dzisiaj herbatka z czekoladą?
6391:  Nie, nie, dzisiaj herbatka z suszoną porzeczką.
6394:  Suszona porzeczka dobra na neneczki.
6398:  Przypomniałem sobie, że w sumie nie wykorzystaliśmy ani razu Gotreka i Feliksa, co jest zabawne.
6406:  Ale będą podążać za naszą armią.
6412:  Dobrze.
6422:  Mamy awanse.
6424:  Lepsza zupa elfa z cebulą!
6426:  Oj, oj, oj!
6428:  Elfy są tutaj długouchę, które moglibyśmy zaatakować, co mi przypomina.
6434:  Są tutaj długouchę.
6436:  Czy nam się przyda premia do szarży?
6438:  Przyda nam się premia do szarży.
6440:  Zawsze się przydaje premia do szarży.
6444:  Runa negacji.
6448:  Okej, sytuacja nie jest zła.
6451:  Teraz podejrzewam, że ktoś może zaatakować lamię i bardzo bym chciał nie zlamić tego i żeby przynajmniej jakiś jeden oddział tam był.
6463:  I myślę sobie, że wbrew pozorom będzie to Mierzwa Grzebaczek, bo mam wrażenie, że tutaj ten garnizon się będzie bronić tak samo dobrze jak ten, więc Mierzwę potrzebujemy na północy.
6482:  Jest Nakai już.
6488:  Udajemy, że tego nie było.
6490:  Mam wąską tematykę do pracy.
6491:  Rozliczanie mediów z zasobem mieszkaniowym.
6493:  Mało literatury, dużo pisania.
6495:  To dobrze.
6495:  Zawsze jak jest mało literatury, to dobrze.
6498:  Można w ten sposób więcej samemu napłodzić i napisać.
6502:  Orkowie to grzyby, więc ciekawe, jakby smakowały takie smażone orki.
6505:  To prawda.
6506:  Myślę, że możemy spytać Dawih.
6511:  Jest ciekawe, można byłoby zrobić konkurs na to, jakiej frakcji czy nacji Dawii bardziej nienawidzą, Skavenów czy Orków.
6520:  Ale myślę, że Skaveni mają więcej wpisów w Księdze Uras, ponieważ klany Skavenów mają taką jedną przykrą właściwość, to znaczy...
6529:  Zasady dotyczące łamania przysiąk, ich nie dotyczą, nie?
6534:  Jak do jakiegoś Chieftaina z Kavenu ktoś powie, że jest pakt i nie należy go złamać, to on tego nie zrozumie.
6542:  To nie jest tak, że on nie będzie chciał tego zrozumieć, on tego fizycznie nie zrozumie.
6548:  Hmm...
6552:  Ooo, Wurzak Wielki Zielony Kuta!
6556:  So, jak miło!
6558:  Jak miło!
