🔴 RINGS OF POWER — odcinek 5 i 6 | Recenzja ze spojlerami #3
🔗 https://www.youtube.com/watch?v=YVcxr00_RQc

233:  A, jesteście!
5764:  No nie przestanę się odwołać do Jacksona, nie da rady inaczej.
5770:  Więc powiedzmy, jeżeli chodzi o liczebność tej armii, faktycznie jest to mocno niejednoznaczne, zwłaszcza, że w wieży zostaje zastawiona pułapka i wedle wszystkich znaków na niebie i ziemi, to swoją drogą jest bardzo sympatyczna pułapka.
5783:  Wszyscy giną, tak?
5785:  To znaczy, udaje się Aron Deerowi oczywiście, bo komuś by innemu, strzelić nie tylko w orków, ale strzelić w takie cuś, w taki dynks i ten dynks sprawia, że cała wieża spada na orków.
5799:  Później oni są, oczywiście tutaj macie scenę, jak upada wieża, są zamknięci przez rzeczonego Aron Deera w środku i prawdopodobnie wszyscy giną.
5807:  Miraski, dzięki serdecznie od trzech miesięcy.
5809:  Gdzie był Gondor, kiedy nagrywali to gówno?
5811:  No...
5815:  To będzie ostatni tytuł streama, jak dobrze pójdzie.
5820:  Jedną z niewielu scen pisze Kamil Olejnik, gdzie muzyka robi dobrze.
5824:  Tak, absolutnie tak.
5825:  To jest pierwszy moment też, kiedy zwróciłem uwagę na muzykę.
5829:  Nie mam zielonego pojęcia, dlaczego ludzie mówią, że muzyka do tego serialu jest dobra.
5832:  Mam wrażenie, że dlatego, że słuchali płyty.
5834:  Ja jeszcze jej nie słuchałem konsekwentnie i cały czas oceniam tę muzykę w perspektywie tego, co widzę i słyszę w serialu i zawsze tak robię.
5841:  zacząłem słuchać płyt z, nie wiem, z Game of Thrones albo z Lord of the Rings, przepiękna płyta Howarda Shore, swoją drogą po tym, jak obejrzałem materiał źródłowy.
5850:  Dlatego właśnie, że zainteresowałem się tymi brzmieniami, które usłyszałem w filmie czy w serialu.
5857:  Czy ktoś tłumaczył, że numery, czy to nie są zwykli ludzie, mogą żyć ponad 250 lat?
5860:  Nie było słowa Mateuszu na ten temat jeszcze.
5863:  Adar wygląda najbardziej elficko.
5865:  To jest paradoks, Hao Asakura.
5868:  Faktycznie jest to paradoks, że Adar wygląda i zachowuje się najbardziej jak elf, ale to będziecie mieli wyraźniejsze w jednej ze scen, która mnie chyba najbardziej oburzyła.
5879:  Mam takie wrażenie w każdym razie.
5884:  Jak oni doszli do wniosku, że łacje będziemy się bronić w otwartej, niezabezpieczonej wiosce zamiast przystosowane do tego twierdzy, to nigdy tego nie zrozumiem.
5889:  No wiecie co, znaczy ma to faktycznie jeden
5895:  To znaczy, jak przyjrzycie się tej scenie marszu,
5899:  mam nadzieję, że mi się uda na nią wskoczyć tutaj, to rzeczona scena marszu pokazuje nam taki bardzo długi szlak, który oni przechodzą, prawda?
5908:  I to jest prawdopodobnie most zwodzony, więc faktycznie dałoby się tam to obronić dobrze, ale nie wiadomo, jak było z zapasami żywności, nie wiadomo było, czy oni chcieli się faktycznie od tej wioski odciąć.
5919:  No i to wiadomo natomiast, to to, że orkowie nie przynieśli ze sobą żadnego wyposażenia obleżniczego, więc nie wiem, jak chcieli zdobywać tę wieżę.
5926:  Ale co tam, o tutaj macie tę scenę.
5928:  To jest jedna z najłatwiejszych do obrony ścieżek, jakie sobie można wyobrazić.
5932:  Wystarczy czterech gwardzistów z tarczami, nawet jeżeli to będą proste drewniane tarcze i dzidy, to już jest to dobrze.
5941:  I później czterech za nimi, czterech za nimi, czterech za nimi, czterech za nimi, czterech za nimi.
5945:  Mogą się bronić tak bardzo długo, bo ciężko się walczy w tego rodzaju ciasnym przesmyku.
5951:  Joe pisze, że Howard Shore nadzoruje tą muzykę, a Howard Shore zrobił tylko muzykę do intra, która nawiasem jest bardzo generyczna.
5958:  Tower Defense, tak jest swoją drogą jeden z moich ulubionych gatunków growych.
5962:  W każdym razie decyzja zapada, żeby zastawić rzeczoną pułapkę i uciec do wioski, w której się będą bronić bardzo podobny też taki...
5971:  Sposób jak w wojnie podjazdowej, prawda?
5974:  Będą się wycofywać, zestawiać pułapki.
5977:  Ma to sens.
5978:  Niewątpliwie, jeżeli mówimy o walce akurat wieśniaków z regimentem orków.
5985:  Oprócz Fenara również Fingolfin Morgotha sklepał.
5987:  Wkleiłem odpowiedni fragment, pisze Tarael.
5989:  Tak, tak, tak, absolutna racja.
5991:  Strategicznie przypomina to ósmy sezon Rymiodron, tak.
5995:  Ale wierzcie mi, to nie są złe sceny w perspektywie całego tego serialu.
6000:  I tu się zaczynają zabawne kwestie.
6002:  Urszulo, dziękuję ci serdeczne za trybut.
6004:  Matko, wracam po trzech godzinach, tu dalej strumyk.
6005:  Trzy godziny już rozmawiamy?
6007:  Jakie trzy godziny?
6008:  Jakie trzy godziny?
6009:  Półtorej godziny!
6011:  Półtorej!
6011:  Rozmawiamy.
6012:  Przeraziłaś mnie zupełnie.
6014:  Tu jest scena, która mnie bardzo zdziwiła.
6017:  Nie mówię o scenie... Nie jestem w stanie się w nią wklikać.
6020:  Jakie to jest krańcowo irytujące, że nie mogę puścić wam fragmentu.
6026:  To jest krańcowo irytujące.
6027:  A, to jest scena, która mnie zdziwiła.
6030:  Czy mamy koniarzy na czatach?
6032:  Czy ktoś kiedykolwiek jadł jabłko razem z koniem?
6036:  Bo Isildur to robi.
6041:  Czy ja rozumiem jeść wspólnie... Znaczy ja nawet bym nie jadł wspólnie z jamnikiem jednego posiłku, ale...
6051:  Ale nie, no wymiana śliny z koniem na diabłuszkiem...
6056:  Każdemu jego porno, ale ja byłem troszeczkę zdziwiony.
6060:  Niemniej, później wyskakujemy na pokład tejże maleńkiej łódeńki, na której, przypominam, jest cały regiment Numenorejczyków.
6071:  Tak w każdym razie należy domniemywać.
6073:  No Adamus pisze, że koń takie jabłuszko to jedyna jeden raz.
6077:  No właśnie, no właśnie.
6078:  Isildur ukryta opcja rochańska.
6084:  Homelander jest koniarzem i krowiarzem także.
6087:  Tak, tak.
6089:  I to jest ciekawe, to jest jeden z nieicznych dialogów
6093:  który brzmi elficko w ustach Galadrieli, nie moi drodzy.
6097:  To jest pierwszy dialog, który brzmi elficko w ustach Galadrieli.
6101:  To znaczy Izildur upokorzony, pamiętamy, niedawno degradacją do rangi stajennego, odarty z zaszczytów za to, że wszczynał burdy, ze wstydem mówi, że on jest tylko tutaj stajennym, a Galadriela na to odpowiada tak jak Galadriela.
6117:  że to nie jest tak, że jest jakaś praca, która czyni cię gorszym albo jakimś podrzędnym, przeciętnym, wręcz przeciwnie.
6129:  Bardzo mi się to spodobało.
6130:  Muszę powiedzieć, że chciałbym więcej takich scen.
6132:  Może bym wtedy uwierzył, że Galadriela, która nie wygląda jak Galadriela, przynajmniej zachowuje się jak Galadriela.
6141:  Natomiast...
6144:  To, przypominam, są całe siły Numenorejczyków.
6147:  Bardzo proszę was, żebyście zapamiętali ten fragment.
6150:  To jest statek dwumasztowy.
6152:  Możemy sobie sprawdzić, jaka była najliczniejsza załoga w statkach dwumasztowych.
6158:  Nie wiem, czy mi się chce to teraz sprawdzić, ale... Może.
6168:  Nie za bardzo jestem w stanie to zrobić na szybko, ale może ktoś na czatach będzie w stanie.
6172:  To jest taki szkuner, nie?
6173:  Więc chciałbym wiedzieć, jaka tam jest załoga.
6175:  Moje ostrożne szacunki są takie, że to jest jakieś 70 ludzi max.
6179:  Daj mi, czy tak wydaje.
6179:  70 ludzi na razy 3 daje nam 200.
6186:  Numenorejczyków.
6188:  Potrzebujemy więcej żagli i większe łajby, jeżeli chcemy dokonać inwazji, bo inaczej, wiecie, to będzie taka inwazja, jak w wspaniałym filmie Stanisława Monderka Stars in Black, trailer.
6201:  Inwazja dowodzi wcielenia zła hrabia mol złe Jedi, tak?
6205:  Te brygi to do 120 ludzi, pisze Black Cat.
6208:  Okej, czyli mamy między 200 a 350 osób jako siły inwazyjne.
6211:  Eee...
6215:  Bez koni.
6217:  To jest istotne i zaraz wrócimy do tego, dlaczego to jest istotne.
6222:  I teraz przenosimy się do miejsca, w którym toczy się większość walk w następnej sekwencji po krótkiej rozmowie z Muriel, to znaczy do naszej wioski, która jest broniona przez dzielnych Southlandczyków, którzy jak wiadomo są na północnym wschodzie.
6236:  Oskar pisze, że te statki wyglądają jak duża kecz lub barkentyna, czyli sto ludzi.
6241:  Okej.
6241:  No
6242:  Szacunkowo powiedzmy najwyżej trzy setki ludzi powiedzmy jeszcze tam może mają jakieś łódki patrolowe mniejsze.
6250:  W każdym razie nie jest to wielka inwazja.
6252:  Znaczy o tym w ogóle mówię dlatego, że jedna z największych inwazji jaka jest w ogóle z wyspy Numenor na Śródziemie to jest pod wodzą Alfarazona, którego możecie już troszeczkę kojarzyć.
6261:  Prawdopodobnie w tym serialu niestety on będzie Alfarmazonem i pozostanie nim.
6265:  W każdym razie Alfarazon jak się zjawił ze swoją armią, ale to już jest wtedy kiedy Sauron ustanowił swoją twierdzę w Mordorze
6272:  Sauron wystawił swoje armie, ale jak zobaczył siły Numenorejczyków, to się autentycznie po raz pierwszy w życiu posrał.
6279:  A jak dobrze wiecie, Sauron zwykle przyodziewał dość taką kolczastą zbroję, ciężką, więc posranie się w takiej zbroi to jest ciężki problem i Sauron poczuł się tak strasznie upokorzony, że klęknął przed Alfarazonem i stwierdził,
6294:  Poddaję się.
6295:  Oczywiście to była też intryga, żeby dostać się na wyspę Numenor, ale wiecie, ta wizja, którą się pamięta z Silmarillionu, jeżeli ktoś go czytał, a jak wiadomo, najwyraźniej jednak Rings of Power jest skierowane do takich ludzi, no to to jest taka potężna wizja.
6309:  To nie jest taka armia Rohanu nawet, która już wzbudzała w nas niesamowite emocje, tylko to jest taka armia, przed którą Sauron uciekł z wrzaskiem.
6316:  To robi to wrażenie.
6318:  No więc te trzy statki
6321:  W tym kontekście nie robię wrażenia.
6322:  Chciałbym, żeby to się pojawiło w innym kontekście.
6324:  A, wcześniej, przed tą inwazją, Numenorejczycy przybywali na wybrzeża Śródziemia wyłącznie statkami handlowymi, a nie wojennymi.
6331:  A zatem jest to zmiana, która została znowu prowadzona celowo po to, żeby Galadrielę można było przetransportować do Śródziemia.
6338:  A przypominam, że można byłoby ją przetransportować nawet w jakiejś łudeńce przynależącej do faktorii handlowej, ponieważ Galadriela nie była wojowniczką.
6347:  Byłam potężną istotą, magiem, maginią, przywódczynią.
6353:  Ale nie była żołnierzem szerokowym, który wiodł bój przede wszystkim.
6359:  Ona toczyła wojny innego rodzaju.
6362:  Takie wojny, bez których inne zostały przegrane.
6365:  Więc zauważcie, że to są takie konsekwencje decyzji, która została podjęta na samym początku.
6370:  Że Galadriela będzie silna, ale nie jesteśmy w stanie przedstawić siły, ponieważ nie umiemy przedstawiać magów nigdy na ekranie.
6377:  Zawsze mag, nawet doktor Strange, jak był przedstawiany jako silny, to wiecie, co sobie wyczarowywał?
6382:  Mieczyk.
6383:  Za każdym razem tak jest.
6385:  W związku z powyższym Galadriela też, że była silna, musi mieć miecz.
6388:  I konsekwencje tego widzimy do teraz.
6390:  Praktycznie.
6397:  Dodatkowe poziomy pokładów pod poziomem wody.
6399:  Tak, jest tak, że Numenorejczycy mieli taką... Na wierzchu widać statek, a w dół jest taka wieża.
6405:  Taka duża wieża.
6406:  Tam jest 19 pokładów.
6409:  i tam jest całe zaopatrzenie i taka wieża sobie sunie przez wodę.
6412:  Dlaczego sunie?
6414:  To magia to jest, świat fantasy, czego się pytasz?
6421:  przygotowania do bitwy są poprzedzone Arondira wysiłkami, by zniszczyć Mroczny Miecz.
6427:  Mroczny Miecz nie poddaje się jego Młotowi Kowalskiemu, ponieważ Arondir nie ma takiego bicka jak Galadriela, więc nie jest w stanie z tym kompletnie poradzić.
6436:  Co jest zabawne, mówi w którymś momencie do Bronwyn, że nasza siła tutaj nie podoła.
6441:  Więc założenie jest takie, że jak zjawi się Galadriela, a oczywiście, że się zjawi i oczywiście, że zjawi się w odpowiednim momencie,
6449:  No bo wiadomo, to być może jej to da.
6453:  Galadriela zniszcz, bo ty jesteś najpotężniejszą istotą w tej części, w tym kwadrancie wszechświata.
6460:  Ale tego nie robi z jakiegoś względu.
6461:  Nie mam zielonego pojęcia.
6463:  Grubysław dodaje, że na szesnastym poziomie statków wież Numenorejczyków jest piętro restauracyjne.
6468:  To jest ważny szczegół.
6469:  Zaczerpnęliśmy go oczywiście z księgi
6472:  Fandulfina, która jest istotną częścią absolutnie nigdy nie zekranizowanego przez Amazon materiału znanego jako Księga Pojebanych Opowieści.
6482:  Zostało to skompilowane przez Adalberta Tolkiena i sprzedane cichcem Jeffowi Bezosowi na prośbę jego synka, dzięki czemu recenzenci Rings of Power mogli szlochać i mówić ojej, popatrzcie, Jeff Bezos robi dobre Rings of Power, ponieważ synek go poprosił, że tato, żebyś tego nie spieprzył.
6498:  Tak było, nie zmyślam.
6500:  Potem przechodzimy do sekwencji, w której budowane są częstokoły, bo jak wiadomo częstokoły zawsze się przydają.
6507:  Jest motywacyjna mowa Arondira.
6510:  Wszyscy oczywiście w takt podmiotny muzyki mówią tak, tak, Arondir, Arondir dobry.
6515:  Tak jak gdyby zapomnieli, że jeszcze parę odcinków temu pałali nienawiścią i uprzedzeniami rasowymi do Elfa.
6523:  I nie chcieli w ogóle się z nim bratać.
6524:  Teraz Arondir jest już dobry.
6526:  Nie wiem, co się zmieniło w tak zwanym międzyczasie, ale prawdopodobnie zmieniła się po prostu fabuła i numer odcinka.
6537:  To jest znowu Tio, którego roli kompletnie nie rozumiem.
6541:  Bronwyn natomiast zatrzymuje się na tym etapie, na którym się już rozwinęła charakterologicznie, w zasadzie jest już tylko tą quasi przywódczynią, nazwijmy to, ale do czasu, bo pojawi się, pamiętajmy, Halbrand, bo oczywiście, że Halbrand się zjawi razem z Galadrielą.
6555:  Bronwyn pociesza Fio, żeby się nie martwił, że zawsze jak jest mrok, tak jest światłość.
6559:  Czego Bronwyn nie wie, to tego, że...
6563:  strange black goo ze Stranger Things przybyło do śródziemia i to nie jest już tak, że ta światłość go odegna.
6569:  Potrzebujemy specjalnie wysyntetyzowanej spermy Balroga z Mithrilu do tego, żeby odegnać strange black goo.
6576:  Tylko to jest w stanie uratować ludzi i tylko to jest w stanie uratować elfów.
6579:  Nie tam jakieś bajania o tym, że jest światłość, która nas uratuje, więc Bronwyn ewidentnie nie doczytała najnowszego przekazu kuriera rohańskiego, który, jak wiadomo, istnieje, mimo że Rohan jeszcze nie istnieje.
6593:  Co oni mają z tymi czepkami na głowach?
6595:  Czepki są po to, żeby włosy mogły opadać wyłącznie, moi drodzy, w scenach, które są romantyczne.
6602:  To jest bardzo ważne, żeby
6606:  tokenowo wykorzystywać kobiece owłosienie do tego, żeby zaznaczać romantyzm sceny.
6612:  Jest to bardzo kluczowe, zwłaszcza wtedy, kiedy elf został ogolony.
6616:  Oczywiście mogliśmy tego uniknąć w momencie, gdybyśmy mieli elfy długowłose, tak jak to było w przedstawieniach wszystkich elfickich Tolkienowskich do tej pory, ale zdecydowano, że zdecydowanie lepiej będzie wyglądał Arondir z włosami długowłose.
6629:  stylizowanymi na najnowszą modę balwierzy z Brooklynu.
6633:  W związku z powyższym trzeba było czepiec ściągnąć wtedy, w takich okolicznościach.
6639:  No i jest ładna scena, w której jest, jak to już wiemy, dzięki Gilgaladowi Milowiczowi, tege śmeges fą fą fą i przechodzimy do crème de la crème tego odcinka, chociaż crème de la crème to już było w scenie z powstaniem Mithrilu i zaczyna się walka.
6658:  Walka jest zrobiona wedle najlepszych tradycji Miguela Sapocznika z ósmego sezonu Gry o Tron, to znaczy nichuj widać.
6666:  Jest ciemno i w związku z powyższym możemy przedstawić siły wroga jako dużo pochodni, natomiast siły nasze przedstawić zamknięte w sadybach, gdzie jest płomienie, jest kameralnie, jak wiadomo, jak są płomienie, jest ciepełko, jest taka atmosfera ogniska domowego.
6686:  przy którym chronimy się, żeby przeciwstawiać się siłom ciemności.
6690:  I wiecie co?
6694:  Dlatego jest ciemno.
6698:  To są siły ciemności.
6701:  No i Rebecca Cloud trybutuje.
6703:  Galadriela to dla mnie taka delikatniejsza Ciri z wyglądu.
6705:  Zawsze jak ją widzę, to mam wrażenie, że zaraz wiatr ją zdmuchnie albo zemdleje.
6710:  Czyli co?
6711:  Czy nie jest wedle twojego zdania, Rebeko, silna?
6715:  Może dlatego ona musi być taka silna, moi drodzy, że gdyby nie trzymała się podłoża chwacko, to właśnie wtedy by ją zdmuchnęło.
6724:  Wszystko ma to... Everything is connected.
6725:  Everything is connected!
6728:  Kiedyś obejrzycie holistyczną agencję detektywistyczną Deca Gentilego i zrozumiecie skąd jest ten cytat.
6733:  I wtedy będziecie mieli Captain America scene.
6736:  I understood that reference!
6739:  A to jest dobry serial, w odróżnieniu od tego, który komentujemy.
6744:  Ciemność idzie.
6745:  Zamknij się.
6745:  Tak, zaraz będzie ciemno.
6747:  Tak jest.
6748:  Tak jest.
6749:  I understood that reference.
6754:  O mój Boże.
6755:  O mój Boże.
6756:  Słodki Eru.
6759:  Arondir nie jest zły.
6759:  Nie, Arondir jest jedną z moich ulubionych postaci.
6761:  Mów.
6762:  Ale fryzurę ma jak Franklin Clinton w dodatku we kontrzach do Grand Theft Auto Online.
6768:  O nie.
6770:  Przypominam, że Galadriela rozwiodliła Dol Guldur gołymi rękami, a to i tak była jedna z jej najmniejszych osiągnięć.
6776:  Przypominam też utrzymanie Lovlorien w stanie praktycznie...
6782:  permanentnego kamuflażu, a Lothlorien jest naprzeciwko praktycznie Dol Guldur i niedaleka, w Dol Guldur się gnieździł Sauron, więc jeśli Galadriel się to udawało utrzymać mocą swojego drogu jednego z pierścieni władzy, Lothlorien w takim stanie permanentnego rozkwitania i idealności, takiej utopijności, to jest to świadectwo jeszcze większej potęgi.
6806:  Dobry Eru, a nasz Panie, daj tu wreszcie na wstrzymanie, tak?
6812:  Dobry Eru, a nasz Panie, daj tu wreszcie na wstrzymanie.
6816:  Ach, tak, tak.
6817:  I mamy kolejną scenę, w której jest harwestowany temat orków, to już się powoli troszeczkę nudzi i ja już miałem pierwszy zgrzyt, to znaczy zastanawiałem się skąd oni są w takiej mnogości, to znaczy czy...
6829:  Udało się Adarowi jakimś zaklęciem ochronić ich przed tymi upadającymi kamieniami zwierzy, no bo Adar, jak domyślacie, się również przeżył.
6836:  Przeżył także jeden ze spiskowców, który knował wspólnie z Adarem, ten, który wspomniał Tio o Sauronie, który powraca.
6844:  On też przeżył, więc no ewidentnie musiało tam być jakieś zaklęcie tarczy, co sprawia, że Adara lubi jeszcze bardziej, bo im więcej magów, tym lepiej.
6852:  Tenebris, dzięki za wsparcie od dwóch miesięcy.
6854:  Szczerze wolę wątek Adara na ten moment.
6855:  Znaczy tak, wszystkie wątki, które się dzieją w Southlands, w moim przekonaniu, są dobre, a coraz bardziej mi się podoba wątek Harfutów.
6862:  Wyjąwszy to, że Harfuty są denerwujące, to ich wątek, przez wzgląd na to, że Hodor przetworzy, staje się coraz ciekawszą postacią i relacja między nimi a Harfutami takoż, budzi coraz większe zainteresowanie.
6875:  Natomiast mogę wam zagwarantować, że w momencie pierwszym, w którym Harfuty znowu zaczną tańcować i jarzębina i spływ marzanny, to ja już nie będę lubił wątków Harfutów.
6889:  Długa, dobra sekwencja batalistyczna.
6892:  Trwa dobre no, dziesięć minut praktycznie, jak walczą w ciemności.
6898:  Jest to dobrze nakręcona scena, są ciekawe pojedynki.
6901:  Oczywiście wciąż macie takie wrażenie, że jest to teatr telewizji trochę, z większym budżetem, ale da się to oglądać.
6909:  Czego się nie dało za bardzo oglądać, to tej sceny, to znaczy jak z...
6917:  oka orka zaczynało coś wyrzygiwać.
6923:  Myślę, że to jest to strange black goo, które infekuje również drzewa.
6929:  W każdym razie jest to... Muszę powiedzieć, że w tym momencie osiągnęliśmy poziom Jacksona, jeżeli chodzi o obrzydliwość przedstawiania orków.
6937:  Chyba obrzydliwsza scena była tylko wtedy, kiedy Saruman wyjmował z tych bąbli Uruk-hai...
6944:  To nie było miłe.
6947:  Tak zdecydowanie nie było miłe.
6949:  Wiedziałem, że czaty zostaną zażygane.
6951:  A jaki będzie znowu wątek?
6953:  Pyta Grubysław.
6954:  Zostawmy ich z tyłu, niech zdychają i potem się popłaczą nad nimi święta.
6957:  Tak jak ten wątek u Harfutów powróci, to się zdenerwuję.
6960:  Ale sądzę, że on już nie powróci z tego względu, że wszystko wskazuje na to, że Nori i... ... ... ...
6974:  whatever, troszeczkę zapunktowały u rad starszych tym, że dzięki Hodorowi z przestworzy zostały osłonięte przed atakiem wargów.
6984:  Wszystkie głupie i tępe harfuty.
6985:  Małe, tępe harfuty.
6987:  No, więc wszystko wskazuje na to, że ten wątek porzucania harfutów, które są w niedoli już nie powróci.
6993:  Mam w każdym razie taką ogromną nadzieję.
6995:  To była Poppy Proudfellow.
6996:  Otóż wyobraźcie sobie.
6999:  Kiedyś to zapamiętam, kiedyś, ale to wtedy, kiedy Poppy zyska jakieś inne cechy charakterylogiczne poza byciem sidekickiem Nori.
7007:  Aaaah... Tak.
7010:  I dziękuję DS Believe za trybut i za czarnego kota.
7015:  Czarny kot to jest zdecydowanie coś, co budzi sympatyczne odczucia po emisji Rings of Power.
7022:  W innych okolicznościach jest uznawane za symbol nieszczęścia.
7025:  Nigdy nie wiedziałem dlaczego.
7028:  przy obrzydliwych scenach jest też jak już pozostajemy jest też ta w której z jakiegoś względu stwierdzono że trzeba nam pokazać to się nazywa zdaje się kauteryzacja rany kausteryzacja coś takiego to znaczy no wiecie wypalenie rany żeby nie było infekcji oczywiście Bronwyn w tym momencie umierała ale ja wiedziałem od samego początku że nie umrze ponieważ w odróżnieniu od Galadrieli ma na sobie o wiele bardziej kunsztowny rodzaj zbroi która jest nazywana zbroją fabularną to znaczy wiadomo że nie zginie
7057:  To jest kolejny problem, który mam z Rings of Power, to znaczy nie odczuwam tutaj żadnego lęku o nawet nowo wprowadzonej postaci.
7062:  Mówiłem, że Galadriela nie zginie, trudno żebym odczuwał lęk w tej kwestii.
7066:  Ale jak jest nowo wprowadzona postać, to dobrze byłoby jednak pokazać mimo wszystko jej śmierć, żeby to miało jakiś grawitas w przypadku śmierci Boromira.
7075:  Przepraszam, spoiler z pierwszej części Władcy Pierścieni.
7081:  Julka przybiegła zaalarmowana niepokojącymi dźwiękami rzygania na czatach.
7086:  Panie Mimir, dzięki za wsparcie od pół roku.
7088:  Dla kontekstu Julka, która jest naszą dzielną moderatorką, z jakiegoś niewytłumaczalnego powodu upodobała sobie emoji rzygającego jamnika.
7097:  A to wszystko się... Jamnik rzygający wziął się stąd, że ja zawsze narzekam w różnorodnych grach wideo na to, że zawsze musi być scena rzygania.
7102:  Nie jestem w stanie zrozumieć dlaczego.
7105:  Ale to jest tak troszeczkę jak w polskim kinie zawsze musi być scena sikającego chłopczyka.
7109:  Też nie wiem dlaczego.
7111:  I teraz przechodzimy do problemów.
7115:  Nacierają Numenorejczycy.
7121:  Macie chwilkę kontemplacji.
7129:  Jako aż to scena mogła zainspirować...
7135:  zainspirować twórców Rings of Power.
7139:  Jakież to hełmy tutaj widzimy, jakaż to szarża, jakichż to koni, które niechybnie zostały przetransportowane na tych trzech malutkich łódeczkach, które jak już ustaliliśmy mogą liczyć jakieś 300 członków załogi.
7165:  Takie zadanie małe, światotwórcze dla Was.
7169:  W tym czasie dziękuję Jesiołowi serdecznie za wsparcie kanału, za bycie Janem Nikołajem i podaniowanie wsparcia Pandzie Grubej, Konradowi Gołębowskiemu, Kadarce, Szymonowi Półtorakowi.
7182:  A ja w tym czasie, jak zastanawiacie się nad tym, dlaczego tego rodzaju scena została pożyczona, mam dla Was małą czytankę.
7190:  To są niedokończone opowieści Śródziemia i Numenoru.
7196:  Ktoś by pomyślał, może adekwatna lektura, jeżeli chcemy przedstawić Numenor.
7202:  I czytamy tutaj, co następuje.
7205:  Przepraszam.
7206:  Przepraszam, że się odwołuję do lore, ale zrozumiałem, że wiedza zewnętrzna teraz jest wymagana do rozumienia serialu.
7213:  Stronnik mi nie wyjaśnił, czym jest Silmaril.
7215:  Stronnik mi nie wyjaśnia, wyjaśnia się mi również genezę Mithrilu.
7218:  Sądzę, że wiedza zewnętrzna jest już pożądana.
7222:  A zatem.
7225:  Przypis siódmy do niedokończonych opowieści, a konkretnie, konkretnie moi drodzy, żebym się nie pomylił, to jest ona 338, więc w spisie treści odpowiada to następującej historii.
7242:  Kles na polach gladen w tłumaczeniu Agnieszki Sylwanowicz.
7247:  W swym własnym kraju Numenorejczycy posiadali konie, które wysoko cenili, porównaj opis Numenoru, coś co bardzo fajnym byłoby źródłem dla twórców serialu osadzonego w świecie fantasy, który tak składa się szczęśliwie, ma swój detaliczny opis i nie wymaga wymyślania rzeczy samemu.
7265:  W owych czasach, pardon, nie używali koni w walce, wszystkie bowiem wojny prowadzili za morzem.
7273:  Byli doskonali zbudowani i silni, także w pełni wyposażony wojownik na wykuł do noszenia ciężkiej zbroi i oręża.
7281:  W swych osadach na wybrzeżach Śródziemia Numenorejczycy hodowali konie, ale rzadko używali ich do jazdy wierzchem.
7290:  W czasie wojny posługiwali się nimi tylko kurierzy i oddziały lekkozbrojnych łuczników,
7308:  Tu macie ilustrację przedstawiającą lekkozbrojnych łuczników.
7312:  Na wszelki wypadek pokazuję.
7316:  Często ci łucznicy lekkozbrojni, których widzicie teraz na ilustracji, która jest kadrem z serialu, który nie mogę pokazywać w całości, ponieważ Amazon.
7328:  byli obcego pochodzenia, więc nie byli Numenorejczykami.
7331:  Na wszelki wypadek powtórzę, że jeżeli Numenorejczycy używali koni w wojnie, to nie byli Numenorejczykami albo byli kurierami.
7340:  W wojnie ostatniego sojuszu wiele spośród używanych przez nich koni zginęło i tylko nieliczne pozostały w Osgiliad.
7356:  Dlaczego to czytam?
7359:  Jeżeli się coś przedstawia na ekranie, to zakładam, że można to robić na dwa sposoby.
7365:  Albo reprezentować to, co jest w świecie.
7368:  Wiecie, pamiętacie analogię z żabką i ze słoniem?
7371:  Albo robić na złość.
7374:  Ja uważam, że to już jest robienie na złość.
7376:  To znaczy, to jest...
7377:  Taka głupota fabularna i narracyjna, którą wytłumaczyć można tylko złośliwością.
7383:  I tylko tym, że producenci serialu powiedzieli przed jego emisją jeszcze, wtedy wiecie, kiedy nie można było oceniać, chyba że się było krytykiem, wtedy obejrzawszy dwa odcinki serialu można było go ocenić w całości, w odróżnieniu od fana.
7396:  I wtedy zapowiedzieli, że oni napiszą lepszą rzecz.
7399:  w uniwersum Tolkiena niż sam Tolkien, że ich opowieść będzie dojrzalsza, że będzie na nasze czasy.
7404:  Jeżeli to jest dojrzalsza odpowiedź, to znaczy, że z maleńkich trzech statków, w których mieści się 300 ludzi, mamy szarży Rohirrimów albo, nie wiem, może był taki, wiecie, fast breeding program, że konie natychmiast
7421:  jak tylko wylądowali na brzegach Śródziemia, to natychmiast zaczęli hodować konie.
7426:  Mieli takie specjalne kapsułki, tak?
7428:  W przypadku Pokemonów, oni robili takie tylko i koń wyskakiwał z tego, powiedzmy takie źrebie.
7433:  Następnie było karmione zmutowaną spermą balrogu, która już, jak wiemy, ma magiczne właściwości i one, nie uwierzycie, ale one wzrastały w ciągu 30 sekund i stawały się pięknymi końmi, na które Numenoryjczycy niezwłocznie
7449:  i ruszyli szybko, co koń wyskoczy, na pomoc Southlandczykom, którzy jak wiadomo nie są na południu, tylko na północy, bo wynika to z nazwy.
7460:  Tylko ja myślę, że to jest całkowicie możliwe, ponieważ to jest magia!
7463:  Świat fantasy przecież!
7465:  Tak!
7466:  W świecie fantasy wszystko jest możliwe!
7469:  Wszystko!
7470:  Więc tak, magiczne konie, na których mamy magiczną szarżę, na czele której to magicznej szarży, kto pędzi szybciej i kto pędzi szyj!
7479:  No oczywiście, że pędzi szybciej Galadriela, bo jej konie.
7484:  Jej koń dostał zwiększoną dawkę spermy balroga.
7488:  To dlatego wzrósł szybciej i stał się bardziej umięśniony.
