Jak naprawić Cyberpunka?
🔗 https://www.youtube.com/watch?v=SXyBVZbxKWc

2:  Jak naprawić Cyberpunk 2077 od CD Projektu Red?
3488:  Dlaczego Kingdom Come Deliverance, gra czeskiego War Horse Studios została wykupiona, ale to było małe studio, potrafiła doprowadzić do sytuacji, w której nie jesteśmy w stanie zdać jakiegoś questu, donatorowi questu, z którym rozmawialiśmy wcześniej, ponieważ na przykład jest noc i on śpi.
3507:  To jest proste, proste rozwiązanie.
3510:  Nie mówię, że Kingdom Come ma same świetne mechaniki.
3513:  Kredyńską mechaniką jest wypijanie eliksiru po to, żeby zapisać grę.
3516:  No i to ktoś, kto na to wpadł, powinien zostać wysłany na tortury, bo takie też funduje graczom.
3522:  Ale sam pomysł z uzależnieniem
3527:  skuteczności naszych poczynań w rozgrywce, od trybu dnia i nocy i pokazanie, że ten tryb dnia i nocy to nie jest tylko i wyłącznie pusta mechanika, tylko to są rzeczywiste warunki, które rządzą tym światem, jest genialne.
3538:  A jakie są warunki, które rządzą Night City?
3541:  Korupcja, przestępstwa, intrygi międzykorporacyjne, machinacje, śledztwa.
3550:  Nie ma tych elementów w świecie tak wyeksponowanych.
3556:  Dlaczego nie możemy wpłynąć na upadek jakiejś korporacji pod koniec gry?
3563:  Dlaczego nie możemy pozostawić czegoś po sobie?
3567:  Dlaczego nie możemy być w Night City legendą, jako był Johnny Silverhand?
3575:  Może z tym pytaniem pozostawię was i, mam nadzieję, również deweloperów cyberpunka, którym jeszcze raz chciałem powiedzieć, że od serca gratuluję tego, co zrobili i mówię to autentycznie, bo gra, gdyby nie corpo, gdyby nie corposi, gdyby nie to, że coraz częściej światotwórstwem zarządzają nie scenarzyści, tylko księgowi, byłaby arcydziełem, na które wszyscy zasługujemy i na które wszyscy tak czekaliśmy.
3606:  Tak jest tylko zapowiedzią arcydzieła, które mam nadzieję kiedyś CD Projekt Red dla nas wszystkich przygotuje.
3613:  Ode mnie w zakresie tego, jakie są błędy w cyberpunku, jak moglibyśmy je poprawić, to na dzisiaj tyle.
3620:  Mam nadzieję, że sprawi to, że nie będę już odczuwał tego dojmującego smutku, który towarzyszy mi od czasu ukończenia tej gry.
3628:  Do następnego.
