Recenzja "What if...?" od Marvela. Garść przemyśleń i pomysłów na upgrade serii
🔗 https://www.youtube.com/watch?v=1-4mEIXVteY
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

5:  KMM - Co by było, gdyby powinno być najlepsze?
3013:  BFP - Zaczyna wchodzić do świata Pixara, rozrywa Wally'ego na części albo Wally dołącza do jego armii jako dodatkowy robot.
3021:  KMM - A potem czyści całe konto Boba Agera.
3025:  BFP - Mało tego, przechodzi do świata Star Wars.
3028:  BFP - Zabija Vadera jednym ruchem głowy, wyrzyna te postacie, ale to widzimy tylko jako taki szybki montaż, bo prawdziwa fabuła zaczyna się, kiedy wchodzi do naszego świata.
3037:  BFP - I zaczyna zabijać aktorów i aktorki, którzy grają postaci w świecie Marvela.
3043:  BFP - Jeremy Renner, Scarlett Johansson za ten pozew, który poszedł w stronę Marvela.
3048:  BFP - Zginie w wielkich męczarniach.
3051:  BFP - Nie wiadomo dlaczego.
3053:  BFP - I na koniec wchodzi do biura Kevina Feige i tylko się szeroko uśmiecha.
3058:  BFP - Kevin Feige jest posrany.
3061:  BFP - To jeszcze nie koniec.
3065:  BFP - Scena finałowa, widać tylko jak ktoś zakłada rękawice, zakłada dwie katany i mówi, to chyba tylko ja zostałem, żeby to posprzątać i wchodzi Deadpool.
3073:  KMM - I to jest koniec.
3077:  KMM - Okej, przebiłeś, przebiłeś.
3079:  KMM - Przyznaję ci order satysfakcji intelektualnej.
3084:  KMM - Nie jestem w stanie wymyślić nic, co będzie bardziej... To jest...
3088:  KMM - To jest świetne.
3089:  KMM - To jest świetne w tym posraniu, absolutnie.
3092:  KMM - Jak ja.
3093:  KMM - Tak, i najlepsze jest w tym wszystkim to, że rzeczywiście to pokazałoby gigantyczny dystans, jaki ma do siebie Disney i już wiemy, dlaczego to nie zostało zrobione i nigdy nie będzie.
3103:  BFP - Tak, jakby to byłoby bardzo Deadpoolowe.
3107:  BFP - Ale cieszę się, że Ci się podobało i mam nadzieję, że naszym słuchaczom i widzom też.
3112:  BFP - Wystawmy końcowe noty czy takie ostatnie komentarze.
3115:  BFP - Ja bym chciał powiedzieć tak.
3118:  BFP - Ten serial miał dwa naprawdę świetne odcinki, z czego jeden wybitny, jeden świetny i powiedziałbym jeden bardzo dobry.
3128:  BFP - Ten wybitny to był dla mnie, co gdyby Doktor Strange stracił serce zamiast rąk.
3132:  BFP - Świetny to było, gdyby Ultron zwyciężył.
3135:  BFP - To był tak dobry przedostatni odcinek, że finał po prostu tak słabo napisany,
3142:  BFP - sprawia, że ten odcinek przedostatni wydaje mi się jeszcze lepszy niż kiedy go obejrzałem za pierwszym razem.
3147:  BFP - I ten bardzo dobry, nie sądziłem, że to powiem, bo mi się tak na początku nie podobał,
3151:  BFP - Zombies.
3153:  BFP - Jest taki luźny, taki, pokazuje, to jest najbliższe właśnie tego mojego ostatniego pomysłu, a co gdyby odcinek był bonkers, gdybyśmy tam wprowadzili zombie, albo gdyby wszyscy się zmienili w wilkołaki, pożarli się nawzajem, albo na przykład, co by było, gdyby nasi superbohaterowie byli w średniowieczu, albo gdyby powstali w latach dziewięćdziesiątych, tak, a nie w dwutysięcznych dziesiątych, i tak dalej, i tak dalej, więc to, wiesz, jakby pokazuje mi, jak bardzo
3180:  BFP - Nie wykorzystano tej formuły, ja to mówiłem przez cały ten nasz odcinek dzisiaj, że mniej remiksów, a więcej nowatorstwa i inwencji twórczej.
3189:  BFP - I wiesz, kiedy można było to uzyskać?
3192:  BFP - Gdyby te reguły antologii były przede wszystkim spięte na zasadzie, na jakiej robi się Love, Death & Robots, czyli co odcinek, inna ekipa kreatywna.
3202:  BFP - Było tylko dwóch scenarzystów, A.C.
3205:  BFP - Bradley i Matthew Chauncey,
3208:  BFP - AC Bradley był jednocześnie showrunnerem tej serii.
3212:  BFP - Napisał dziewięć odcinków, czy dziesięć właściwie, bo tego dziesiątego nie widzieliśmy i one mają podobne zabiegi.
3219:  BFP - One naprawdę mają podobne zabiegi i są pewnymi remixami.
3222:  BFP - Ja czytałem parę wywiadów z AC Bradley'em i on mówił bardzo ciekawe rzeczy.
3226:  BFP - On mówił, że robił śmielsze rzeczy, ale mu zabraniano.
3230:  BFP - A raz zabroniono mu, powiedziano to już robi Guardians of the Galaxy Volume 3.
3234:  BFP - Więc powiedział god damn, innym razem zrobił coś, ktoś powiedział to już robi Thor Love and Thunder, bo połączył Thora z Guardians of the Galaxy na przykład.
3244:  BFP - To są fajne rzeczy, chociaż też są jakimiś tam remixami.
3247:  BFP - Więc nie wiem na ile ta
3250:  BFP - Ta jego kreatywność została ukręcona, ale dwóch scenarzystów czasem nie wystarczy, a jak się robi taką antologię, to tym bardziej zachęca się do tego, żeby wykorzystać różne kreatywne umysły do napisania scenariuszy.
3262:  KMM - Zgadzam się w tym aspekcie scenariuszowym, bo jedno chciałem podkreślić, to znaczy bardzo mi się podobało to, że nie eksperymentowano z wyglądem postaci, że zachowano, i tutaj stąd było moje zdziwienie, że zachowano większość aktorów, którzy grali postacie oryginalne,
3277:  KMM - albo dobrano genialne zastępstwa voice-overów, tutaj jeszcze raz gratulacje i propsy dla aktorów, którym to się udało dokonać, bo ja byłem święcie przekonany, że słyszę Roberta Downeya Jr.
3289:  KMM - i Scarlett Johansson, to było niesamowite.
3292:  KMM - I mówię o tym dlatego, że jest taki jeden przykład Avengersów, którzy się nie udali kompletnie, to znaczy gra wideo o Avengersach, którzy nie wyglądają tam jak Avengersi, to jest pewien problem.
3306:  KMM - I nie brzmią.
3307:  KMM - Tak, i nie brzmi.
3308:  KMM - Dokładnie ten sam problem cierpi antologia Star Wars Visions, też ze stajni Disneya, która jest moim zdaniem koszmarna pod wieloma względami, ale to już jest osobny temat kompletnie.
3319:  KMM - I wydaje mi się, że akurat w odniesieniu do światów tak spójnych,
3324:  KMM - fantastycznych, transmedialnych.
3326:  KMM - Eksperymentowanie z wizerunkami postaci, z kreską i z głosem odbyłoby się ze szkodą dla całości koncepcji.
3334:  KMM - Ale pełna zgoda, że eksperymentowanie narracyjne, scenariuszowe, które jest wizytówką MCU, gdzie mamy Tajkiego Waikiki, który robi rzeczy, bo on zawsze robi rzeczy i mamy z drugiej strony Kennetha Branaha, który robi dramat szekspirowski i dlatego to działało.
3351:  KMM - Zabrakło, faktycznie zabrakło tej swobody.
3355:  BFP - I ja też z jednej strony chwaląc mocną stronę seriala, a z drugiej strony ganiąc twórców za niekonsekwencje, no muszę pochwalić voice actorów.
3364:  BFP - To znaczy Scarlett Johansson właśnie chciałem powiedzieć.
3367:  BFP - Aktorka, która zagrała Black Widow oszukała mnie.
3370:  BFP - Jakby jej intonacja, nawet chrypka,
3375:  BFP - rytmika, akcent, wszystko brzmiało tak jak Scarlett Johansson.
3380:  BFP - Tak samo aktor, który zagrał Tony'ego Starka, również dokładnie to samo frazowanie, dokładnie ta sama intonacja, co za talent.
3388:  BFP - I aktor, który zastąpił w pewnym momencie
3392:  BFP - Hugo Weavinga, który grał Red Skull w oryginalnym Captain America, czyli pierwszym filmie The First Avenger, został zastąpiony przez voice actora w Infinity War i w Endgame.
3408:  BFP - i zagrał znakomicie i ten sam gość zagrał tutaj w odcinku 8 i 9 Altrona i był fenomenalny, był znakomity jako Altron, to nie był ten oryginalny aktor, który zagrał Altrona, tylko właśnie ten sam voice actor, który zagrał także Red Skull i fenomenalnie wypadł, ale właśnie ci aktorzy,
3428:  BFP - Pokazali mi, jak na przykład Mark Ruffalo, który gra Hulka na początku Zombies, to jest koszmarnie zły voice acting, to jest najgorszy voice acting.
3436:  BFP - Naprawdę to się wybiło, to jest zabawne, bo ja nie zacząłem po kolei tych odcinków, ja zacząłem od Zombies.
3441:  BFP - Zacząłem od Zombies i usłyszałem głos Marka Ruffala i powiedziałem, o nie no, chyba to nie będzie taka jakość.
3446:  BFP - Więc no niestety było paru aktorów, którzy nie dociągnęli, a było paru, którzy sobie dali lat jak Benedict Cumberbatch fenomenalnie czy Tom Hiddleston znowu, ale dla mnie to jest niezrozumiała niekonsekwencja.
3460:  BFP - Jeżeli część aktorów na Udam się udało sprowadzić, a część musimy zastąpić, to dlaczego nie zastąpić wszystkich?
3467:  BFP - Może to nie jest właściwa logika, to co proponuje, ale jednak dzięki voice actorom udało się to uratować, bo oni są naprawdę czasem nieodróżnialni.
3476:  BFP - I też może pochwalić gościa, który zagrał aktorsko Spidermana, bo to także nie powrócił Tom Holland, tylko gościu go zagrał.
3485:  BFP - Także naprawdę wielkie czapki z głów dla nich, dla tych kilku odcinków, które mi się bardzo podobały.
3490:  BFP - ale generalnie powiedzmy to jest seria, która dostaje ode mnie 6 na 10, bo to jest seria niewykorzystanego potencjału i niestety po prostu takich remiksów i mam trochę takie wrażenie, że my tymi naszymi alternatywnymi wersjami pokazujemy przynajmniej jakby wyglądało wzięcie głębszego oddechu kreatywnego.
3509:  KMM - Absolutnie.
3510:  KMM - Moja ocena jest wyższa, ale tłumaczy się dlaczego.
3513:  KMM - Dlatego, że obejrzałem Star Wars Wyziąz.
3514:  KMM - Dlatego, że Viva Las Vegas.
3516:  KMM - Tak, Viva Las Vegas.
3517:  KMM - Zobaczyłem, jak można spieprzyć antologię animacji osadzoną w uniwersum.
3523:  KMM - Myślę, że tutaj obroniono się przez większość z tych błędów.
3527:  KMM - Jest spójnie pod względem estetyki, pod względem
3531:  KMM - lore tego świata, nie ma eksperymentów, które niszczą kompletnie tkankę tej rzeczywistości, na co jestem mocno wrażliwy, bo bardzo nie lubię takich rzeczy.
3540:  KMM - O wiele łatwiej jest odczynić fuck-up fabularny, ponieważ można sobie zrobić wersję what if, zwinąć fabułę, to będzie prawdopodobnie zrobione w odniesieniu do X-Menów, zobaczymy.
3553:  KMM - Ale taka jest moja robocza hipoteza, że tak on zostanie włączony w multiwersum,
3558:  KMM - żeby jednak zachować te postaci, do których się przyzwyczailiśmy.
3561:  KMM - Ja w sumie nie jestem w stanie wyobrazić innego Magneto.
3564:  KMM - I zresztą First Class, cała seria przepięknie pokazała, jak to należy zrobić.
3569:  KMM - Że wprowadzamy taką postać na scenę, nawet jako easter egg, nawet jako
3575:  KMM - jakiegoś wizytującego aktora przez jeden dzień na planie, wszystko jedno, żeby było tylko taki akcencik drobny i dlatego mnie się osobiście bardzo podobał pomysł włączenia tam prawdopodobnie, gdzie się nie dało zastąpić tych oryginalnych aktorów i bardzo mi się podobało też to, że modelowano twarze na bazie
3593:  KMM - tamtych postaci, to mówię jako ktoś, kto cierpi na części o prozopagnozję i zapomina, jak wyglądają twarze i mnie można w bardzo łatwy sposób skonfundować w takim świecie, dając inne modele postaci, ja już nie będę wiedział, z kim mam do czynienia wtedy, więc tu moja ocena jest wyższa, natomiast zgadzam się z Tobą w 100%, jeżeli chodzi o ocenę odcinków.
3612:  KMM - Dla mnie też absolutnie na pierwszym miejscu jest ten odcinek z Doktorem Strangem, na drugim miejscu jest ósmy.
3617:  KMM - Tu Zombies byłby troszeczkę niżej, ale prawdopodobnie ten odcinek z T'Challą byłby u mnie na pierwszym miejscu, bo uwielbiam Guardians of the Galaxy i sama możliwość zobaczenia kolekcjonera za to sklepany przez nowych strażników była bardzo sympatyczna.
3634:  BFP - Ja mam głęboką nadzieję, że drugi sezon nie przywróci postaci z pierwszego sezonu, bo to już by moim zdaniem zarżnęło całkowicie ideę tego serialu.
3645:  BFP - Może powrócić Strange Supreme, na pewno powróci Watcher, może jakaś postać powrócić, ale bardzo bym sobie życzył, żeby po pierwsze
3656:  BFP - Pojawiły się takie postacie jak Deadpool.
3658:  BFP - Pojawiły się takie postacie jak Blade.
3660:  BFP - Żeby to była szansa na wprowadzenie fantastycznej czwórki.
3663:  BFP - Żeby był Shang-Chi.
3666:  BFP - Ale to jest ta szansa, żeby sięgnąć do katalogu Marvela.
3669:  BFP - Oczywiście ja rozumiem, dlaczego Marvel na przykład nie chciałby wprowadzić postaci.
3674:  BFP - która będzie miała swojego aktora w MCU, ale jeszcze nie wiedzą jakiego.
3678:  BFP - Ale w przypadku Blade'a wiedzą.
3680:  BFP - Wiedzą, że to będzie Mahershala Ali.
3682:  BFP - Może się pojawić już teraz, prawda?
3686:  BFP - Mało tego, mógłby się pojawić Wesley Snipes jako Blade.
3688:  BFP - Ja nie mam nic przeciwko.
3690:  BFP - Jeden z najlepszych castingów aktorów w historii pre-Marvel Cinematic Universe Marvel.
3697:  BFP - Nawet Ben Affleck jako Daredevil może wrócić, fuck it.
3701:  BFP - Więc to jest jedna rzecz, której bym sobie życzył, a druga rzecz, której bym sobie życzył, to jednak większa odwaga artystyczna i więcej scenarzystów, więcej osób odpowiadających za historię.
3712:  BFP - Niech te historie nie będą ze sobą połączone, ale niech będą świetne, niech będą wyzywające, niech będą artystyczne, niech będą jak Love, Death & Robots.
3722:  BFP - My Love, Death & Robots możemy krytykować
3725:  BFP - Ale one są naprawdę różnorodne, te historie, prawda?
3730:  BFP - I ten drugi sezon nie był lepszy niż pierwszy, zdecydowanie, ale nie da się odmówić tego, że każdy odcinek był jakąś przygodą.
3739:  BFP - Był inny też gatunkowo, a tutaj jednak były dość zbliżone gatunkowo do siebie te odcinki.
3744:  BFP - Więc to jest my take, to był też your take i też zgadzam się ze wszystkim, co powiedziałeś.
3752:  BFP - Jeżeli podobały Wam się te odcinki, to dajcie znać w komentarzach.
3756:  BFP - Jeżeli Wam się nie podobały, to dajcie, bo chętnie przeczytamy kontrrecenzję.
3761:  BFP - Staramy się zawsze wydobyć te esencje z odcinków.
3763:  BFP - Nie mówimy o takich detalach, że podobała nam się bardzo ta scena, chociaż o tym faktycznie mówimy, ale może nie odcinek po odcinku i nie scena po scenie.
3771:  BFP - Mówimy o tym, co rzeczywiście się wybiło, co też wniosło coś do świata, do postaci albo faktycznie było czymś oryginalnym.
3780:  BFP - I chętnie poznamy odmienne punkty widzenia, chętnie też poznamy jakie są Wasze opinie o naszych pomysłach, które gdzieś tam się kreatywnie pojawiły, bo generalnie Krzysztof, powiedzmy wprost, mamy taki pomysł, żeby robić trochę więcej odcinków bez schematów, w których pozwolimy sobie na popuszczenie wodzy fantazji, zobaczymy co z tego wyjdzie.
3797:  KMM - Absolutnie.
3799:  KMM - Zbyt dużo zajmowałem się teorią, żeby troszeczkę zajmie poświatotworzyć.
3802:  KMM - Światotworzenie jest miłe.
3804:  KMM - To jest jako taki eksperyment myślowy, intelektualny.
3807:  KMM - To jest ciekawe, zwłaszcza, że jesteśmy w zasadzie przyzwyczajeni głównie do snucia historii, a wyobrażanie sobie tego rodzaju scenariuszy światotwórczych, to jest interesujące.
3818:  BFP - to może w następnym takim kreatywnym odcinku pogadamy o mojej wizji Batmana, którą się z tą podzieliłem, a ty będziesz musiał dotrzymać mi kroku i uzupełniać świat, który tworzę.
3830:  BFP - Ciekawy pomysł.
3831:  KMM - Postaram się.
3832:  BFP - Pamiętajcie, żeby subskrybować bez schematu i jak to robicie na YouTubie, na Boga, kliknijcie ten cholerny dzwoneczek.
3837:  BFP - Nawet jak klikniecie dzwoneczek, to często mam problem z tym, żeby do was dotrzeć.
3841:  BFP - Kliknijcie dzwoneczek mój, kliknijcie dzwoneczek Krzysztofa i bardzo źle to zabrzmiało, dlatego już kończmy.
3845:  S01 - Tak jest.
