Znęcamy się nad Harrym Potterem - czekając na Hogwart's Legacy, Krzysztof M. Maj, ZMIANA PERSPEKTYWY
🔗 https://www.youtube.com/watch?v=S1o0R985PvI
DS (Dominika Skoczeń, Czerw Fantastyczny)
KMM (Krzysztof M. Maj)

0:  DS - No ale chciałbyś mieć koedukacyjną sypialnię?
2633:  DS - Ja nie mam aż takiej, nie wiem, czy pamięci, czy wyobraźni do tego, więc aż tak bardzo mi to nie przeszkadzało, natomiast faktycznie to w trzeciej części się takie zrobiło.
2642:  DS - To faktycznie w trzeciej części to była taka strasznie zauważalna zmiana, że to nawet mój umysł to wychwycił, że oni nagle biegają góra-dół, góra-dół po tych błoniach.
2650:  KMM - A to raczej było wcześniej takie... No bo tak, bo Alfonso Cuarón chciał mieć dobry sen do tego, żeby przedstawić właśnie te dziwne sytuacje z zmianą czasu, które się tam dzieją.
2659:  KMM - Przypuszczalnie, gdyby to było na płaskich błoniach, cokolwiek ciężej byłoby to zrobić.
2663:  KMM - Więc to była klasyczna zmiana konstrukcji świata pod fabułę, co jest fundamentalnym, podstawowym błędem zawsze fantazy.
2670:  KMM - I spodziewam się, że byłoby tego teraz po prostu więcej.
2673:  KMM - Mój główny problem z tymi współczesnymi adaptacjami jakie są, czyli mamy jedne, czyli fantastyczne zwierzęta, to jest po pierwsze postawienie na fantastyczne zwierzęta, po czym fantastyczne zwierzęta znikają i nikt nie widzi z tym problemu.
2683:  KMM - No więc ten Newt Scamander staje się drugoplanowym bohaterem własnego filmu, bo w pierwszoplanowym nagle jest Dumbledore młody i dziwne rzeczy.
2690:  KMM - I druga rzecz, która jest problematyczna tam, to to, że wszyscy naszą ubrania mugolskie i nikt nie ma z tym problemu.
2696:  KMM - Przez całego podtera wszyscy nam tłumaczyli, że dla czarodzieja po prostu to, że musi nosić mugolskie ubranie, to musi się zedrzeć, bo to jest tak okropnie uwłaszczające.
2703:  DS - Ale też, że mugole uważali, że ci czarodzieje wyglądają nawet trochę śmiesznie w tych swoich szatach.
2708:  KMM - Tak, tak, to prawda.
2709:  DS - A jak czarodzieje się ubierali w te mugolskie szaty, to tam jest ta scena na przykład z czwartej części, gdzie któryś z tych czarodziejów na przykład ubiera się w damską koszulę nocną i uważa, że wygląda rewelacyjnie.
2719:  KMM - Tak, Dumbledore też był słynny z tego, że nosił ten idiotyczny garnitur w kolorze śliwkowym.
2724:  DS - Idiotyczny?
2725:  DS - To była moda, fashion, styl.
2727:  KMM - Znaczy wiem, Joker by się obraził, ale wciąż to w ogóle zniknęło, prawda, jako temat.
2732:  DS - Ale to było fajne, bo okej, on się ubrał w to mogolskie ubranie i był powiedzmy dość...
2737:  DS - światły i pewnie faktycznie studiował jakieś mogolodostwo czy coś, żeby zrozumieć, co ma ubrać, ale i tak dał tam coś takiego czarodziejskiego.
2745:  DS - To jednak był śliwkowy garnitur z jego rudą brodą.
2748:  KMM - No a Jude Law wygląda jak Jude Law, wygląda jak klasyczny przedstawiciel społeczeństwa amerykańskiego z lat 20.
2754:  KMM - XX wieku.
2755:  KMM - Ja bym jeszcze kupił, gdyby właśnie podkreślono cały czas tę różnicę.
2759:  KMM - Bardzo liczyłem na to, że to będzie jak pojawił się Hogwart w Crimes of Grindelwald,
2764:  KMM - I nagle się okazuje, że wchodzi kamera do Hogwartu i wszyscy tam też noszą garniaki.
2770:  KMM - Nie musicie już autentycznie Dumbledore'a na jakieś popyle w jakiejś kamizelce.
2774:  DS - On wyglądał całkowicie jakby go wyjęli z planu filmowego Złotego Kompasu.
2779:  KMM - Tak, albo co gryzie Gilberta Grape'a, albo coś w tym stylu.
2785:  KMM - Nie rozumiem tego kompletnie.
2786:  KMM - I wygląda w sumie rzeczywiście jak Lord Astrid z tej części filmowej.
2789:  DS - Ja myślę, że oni sobie po prostu nie potrafili wymyślić, albo nie wiem, nie zastanowili się nad tym, chcieli to zrobić po prostu jak najłatwiej, ale nie potrafili zaznaczyć upływu czasu, zaprojektować, nie wiem dlaczego, zaprojektować magicznych szat, które wyglądałyby inaczej niż współczesne magiczne szaty.
2803:  KMM - No już w ogóle, jeżeli chodzi o upływ czasów, to jest problem, ponieważ z jakiego powodu świat magiczny jest zastygły w XIX wieku i wszyscy mają lampy naftowe, pergamin wykorzystują, inkaust i tak dalej.
2815:  DS - Świat czarodziejów w ogóle jest biedny przede wszystkim dlatego, że oni, nie wiem czy zauważyłeś, ale to jest jakiś strasznie niespokojny naród, bo oni co róż, po prostu nie wiem, co 20 lat mają jakiegoś największego evil czarnoksiężnika, który się pojawia i po prostu chce zniszczyć świat i trzeba go powstrzymywać.
2830:  DS - a teraz Voldemort został pokonany, no to dzieci Harry'ego nie będą miały wyboru, znowu będą musieli pokonywać.
2834:  KMM - Nie, nie, nie, ale nie rozmawiamy o przeklętym dziecku, to nie wyszło, nie ukazało się nigdy, jeżeli ktoś w komentarzu napisze, że się ukazał, to się myli, nie wyszło nigdy, nie było takiej książki, nie było takiej sztuki, jeżeli już to była sztuka mięsa, jest to koszmarne, nie leży o tym nic mówić, nie ma to żadnego sensu i to już jest ten moment, kiedy Rowling traci rozum, godność człowieka, Rick i całą resztę i ja nie przyjmuję do wiadomości, że to istnieje.
2859:  DS - Więc nie było żadnych dzieci Carego i żadnych... Nie chcesz przedyskutować wspaniałego straszowania postaci Cedrica Diggorego?
2866:  KMM - Nie, nie, nie, nie, nie.
2867:  KMM - Nie przyjmuję do wiadomości, że to istnieje.
2869:  KMM - Ja tylko wiem, o czym to jest, trzymałem się od tego z daleka, zobaczyłem początek, zobaczyłem zakończenie, zobaczyłem plot twist i stwierdziłem nie, to nie znam.
2877:  DS - Ja czytałam Przeklęte Dziecko, tak to się nazywało po polsku, ja przeczytałam i przeczytałam to mniej razy niż siódmą część Carego Pottera, co o czymś świadczy.
2887:  KMM - Czy jest aż tak źle z siódmą częścią?
2889:  KMM - To nie, to ja nie miałem takiego problemu z uwagi na bitwę o Hogwart, która mi się podoba jako pomysł, bo ma to sens z tego względu, że cały czas jest to bezpieczna przestrzeń.
2898:  KMM - Fambazem, że jest to ważne, bo to jest jakiś azyl, z którym się oswajamy i w momencie, w którym jest rzeczywiście zagrożone i są ci wszyscy nauczyciele, się zbierają w sobie, przestają być żenującymi moberami i nagle są pożyteczni dla społeczeństwa i świata, to jest fajne.
2911:  KMM - Bardzo mi się to podobało.
2913:  KMM - I budowało stawkę i budowało napięcie.
2915:  DS - Nie mam aż tak negatywnego stosunku.
2917:  DS - Mam wrażenie, że nauczyciele ogólnie byli spoko, tylko było tam parę takich rodzynków, które były dziwne, szalone i zupełnie nie rozumiem, dlaczego miały miejsce w tej szkole.
2926:  DS - Natomiast mam wrażenie, że było pokazane, że tam jest iluś nauczycieli, którzy stanowią takie tło i są tacy kompetentni i nudni.
2933:  DS - Tam jakaś profesor astronomii, profesor Wektra, która była od numerologii, tam od mogoloznawstwa, ktoś tam był, także było tam paru takich właśnie zwykłych...
2942:  KMM - Tak, oni zostali wycięci potem w filmie, ponieważ nie wiedzieli, jak przedstawić numerologię, żeby to było ciekawe.
2947:  KMM - Generalnie w filmie, to jest to, co powiedzieliśmy, że wycięto wszystkie elementy, które były związane właśnie z tym duchem szkolnym i dopiero później, jak wprowadzali kolejnych nauczycieli obrony przed czarnomagią, to wtedy się pojawiała lekcja.
2958:  KMM - Swoją drogą, najlepsza lekcja, nie wiem, to jaka jest twoja najlepsza lekcja filmowa w Hogwarcie, ale u mnie to będzie zdecydowanie lekcja Alastora Moody'ego.
2965:  KMM - No, ona jest pięknie zrobiona.
2966:  DS - No to mi się stosunkowo mało podobało w filmie, bo ja sobie wyobrażałam ją jakoś fajniej w głowie.
2973:  DS - Ten Moody też troszeczkę mi się nie podobał w filmie.
2978:  DS - Znaczy był fajną postacią, ale był taki trochę przekolorowany.
2981:  DS - Wiesz, tak chodził, tak niezgrobnie, miał takie usta, poter coś tam, coś tam, nie?
2988:  DS - Można go było mimo wszystko trochę stonować, a zostawić tylko to jego constant vigilance.
2993:  KMM - To prawda, to prawda.
2995:  KMM - Coś w tym jest, ale ja jakby kupiłem ten performance w sumie.
2998:  KMM - Mnie najbardziej przeszkadzała Tonks filmowa, która była zbyt neurotyczna i dziwna.
3003:  DS - Ja odmawiam romansu Tonks z Lupinem.
3006:  KMM - To był jakiś koszmar.
3008:  KMM - Ale to jest też coś, co zostało włączone całkowicie na siłę i ten romans był pozakadrowy, mówiąc językiem filmowym, to znaczy w zasadzie nigdy na kartach książki się nie pojawił.
3017:  KMM - Mieliśmy takie, o okej, oni są razem, zaakceptujcie, deal with it.
3021:  S01 - Bup, dziecko.
3022:  KMM - No tak, i potem właśnie, tak.
3028:  KMM - Romans to jest coś, co jest naprawdę niepotrzebne na tym etapie rozwoju świata.
3032:  DS - Ale romanse na przykład w filmie były super pokazane, tym tak jak oni wchodzą w wiek dojrzewania i nagle, wiesz, to zapraszanie na bal, oni są tacy niezręczni i to pasowało moim zdaniem, bo Hogwart mimo wszystko pokazywał też jakoś tam ich dorastanie i to było takie, jako właśnie ten comedic relief, jako te komediowe sceny, które mają troszeczkę to rozluźnić atmosferę i można się było utożsamić w ogóle.
3057:  KMM - Myślę, że w ostateczności gdybyśmy mieli patrzeć na filmy, to tak źle nie było.
3062:  KMM - Generalnie fakt, że jak pojawia się znowu ten film, nawet w wersji z dubbingiem na TVN-ie, to zawsze trenduje na Twitterze hashtag Potterowski.
3071:  KMM - To coś mówi, jeżeli po tylu latach wciąż budzi emocje.
3075:  KMM - Dobrze wiemy, że wybitne produkcje jak np.
3078:  KMM - Rings of Power nie będą budzić żadnych emocji, ponieważ po prostu nikt nie będzie oglądał za paręnaście lat czy parę lat i myślę, że już za parę lat nikt nie będzie tego oglądał.
3085:  DS - Będą oglądać, może memy będą dalej krążyć, nie?
3088:  KMM - Tak, tak, też to określę, że hate watching to jest dokładnie to samo, co długo, długo się utrzymywało z grą o tron, ale jednak gra o tron ma ten kapitał, że do siódmego sezonu się naprawdę da oglądać i spotkałem już ludzi, którzy teraz zaczęli poznawać grę o tron,
3102:  KMM - do siódmego sezonu razem z ósmym i mówię, że ten ósmy nie jest taki zły, bo to trochę okrzepło, ale w momencie... Jesteś przygotowany, że ostatni będzie słabszy, to może jest lepiej.
3109:  KMM - Tak, natomiast jeżeli chodzi o Pottera, to nie sądzę, żeby na przykład fantastyczne zwierzęta doczekały się tak kultowej fanbazy wśród odbiorców.
3118:  DS - Ja jestem strasznie ciekawa, kiedy będzie remake Harry'ego Pottera.
3121:  KMM - Znaczy już jest zapowiedziany remake Harry'ego Pottera i co więcej jest zapowiedziany reboot całej serii, Warner już to zapowiedział z tego względu, że na spotkaniu Warner'a z akcjonariuszami padła informacja skądinąd słuszna, że baby jedno zdaje się dzieliszek IP, fajnie byłoby coś z tym zrobić, nie wiem, bo kiedyś na tym dużo zarobiliśmy, a Warner ostatnio tylko traci.
3140:  DS - No ale to jest takie, jej naprawdę nie możecie, ja wiem, że nie mogą, bo nie wyszły im fantastyczne zwierzęta, ale nie możecie wymyślić jakiejś historii z tego świata, która nie będzie o koniecznie nawet o ratowaniu świata, ale jakiejś fajnej po prostu w tym lore, no nie?
3154:  KMM - Zrobiliby fan's favorite pomysł, to znaczy... Rodziców?
3158:  KMM - Albo rodziców, albo maruderów.
3161:  DS - Nie mogę siedzieć ze skrzyżowanymi rękami, bo ostatnio mi powiedzieliście, że jak tak siedzę, to znaczy, że jestem obrażona na Krzysztofa, a to jest po prostu bardzo wygodne.
3169:  KMM - Tak.
3170:  KMM - Znaczy to jest ta, moglibyśmy długo jeszcze mówić o taniej wiedzy na temat, jak to się nazywa?
3176:  KMM - Mowy niewerbalnej, czy mowy ciała.
3178:  KMM - Właśnie wszyscy językoznawcy zawsze mówią, że mowa ciała to jest skrót myślowy, że tak naprawdę chodzi o niewerbalną, szybka dygresja.
3184:  KMM - Dostałem kiedyś, to było genialne zadanie od kognitywisty, taki pomysł z realizacji, to znaczy co zrobić, jeżeli przyjadą obcy i trzeba się ucieszyć, a nie możesz używać rąk, gestów, ani nic powiedzieć.
3198:  KMM - A chcesz wyrazić radość z ich przybycia?
3200:  S01 - Ja bym podskakiwała.
3202:  KMM - To jest prawidłowa odpowiedź, to jest dokładnie ta odpowiedź, tak.
3205:  KMM - Autentycznie, to jest najmniej inwazyjny, to jest poczytywane za najmniej inwazyjny.
3209:  KMM - Ja co najwyżej patrzę, co za debil, czemu on tak skacze.
3211:  KMM - W najgorszym przypadku człowiek się może skompromitować.
3214:  KMM - Nawet mnie nie zaatakuje, jak tak podskakuje.
3216:  KMM - Tak.
3217:  KMM - A wszystkie inne gesty i tak dalej mogą być poczytane jako atak.
3220:  DS - Ewentualnie można by się położyć na ziemię i podwinąć kończyny pod siebie.
3225:  DS - To tak jak króliki albo kury, albo jawniki, no.
3229:  KMM - Pojawił się jamnik.
3230:  KMM - Czy jest jakieś pytanie od patronów o jamniki?
3233:  DS - Nie ma.
3233:  DS - Nie, bo ja im powiedziałam, że to mają być pytania, które się tyczą Harry'ego Pottera.
3237:  KMM - Przepraszam, ale jamnik nie mógłby być patronusem?
3238:  KMM - Mógłby być patronusem, to byłoby świetne.
3240:  DS - Na twoim, to wiemy.
3242:  KMM - Na przykład, jak rozwiązywałem ten test, bo jak się chce zagrać w Hogwarts Legacy, to można rozwiązać ten test na Pottermore, zbindować konta i dzięki temu migrują informacje z Pottermore do gry.
3251:  KMM - Więc mi grała informacja o jedynym prawdziwym domu moim, który został wybrany, tzn.
3255:  KMM - Slytherin oczywiście, oraz mojej różdżce, która niestety nie była czarna.
3259:  DS - Ale była krótka.
3261:  KMM - Nie, nie była krótsza od tej, bo to jest fizycznie niemożliwe.
3265:  KMM - I anatomicznie również.
3266:  DS - Można się ją zepsuć.
3268:  DS - Zostaje sama rączka.
3270:  DS - Możesz sobie wsadzić dłuższy kijek, jak byś bardzo chciał.
3273:  KMM - That escalated quickly.
3277:  KMM - Pocieszam się, że VAT escalated quickly to wciąż nie jest VAT ejakulated quickly, więc i tak nie jest aż tak źle.
3284:  KMM - W każdym razie to, co nie migruje z POTEMO, to informacja dotycząca właśnie patronusa.
3288:  KMM - Jedna, jedyna rzecz, która nie migruje i dobrze, że ja dostanę jakąś łasicę, nie wiem, zjam łasicę.
3293:  KMM - Jakiś dramat absolutny.
3294:  DS - Ale to nawet pasuje, bo ty masz takie włosy na gładko i takie błyszczące, nie wiem, czym sobie tam je preparujesz, ale to się kojarzy, bo łasice też mają takie futerko.
3303:  KMM - Albo wydra, tak.
3304:  DS - Albo no, wydra też by pasowała.
3306:  KMM - Znaczy nie, to nie jest totalnie zwierzę, z którym bym musiał się utożsamić.
3309:  KMM - Jest wiele zwierząt, poza jamnikami, z którymi bym mógł się utożsamić, ale nie to.
3313:  KMM - W każdym razie o wiele bardziej przekonuje mnie od Patronusa idea, która była w nocnych materiałach z daimonionami.
3318:  KMM - To było ciekawiej przedstawione, bo na przykład pomysł, że zmienia się daimonion w traku dojrzewania i dopiero jak dojrzyjemy, to zestala się w stałą formę.
3327:  KMM - Patronusie to powinno być też tak.
3329:  DS - Ale ktoś powiedział chyba, że Twój patronus może się zmienić, jak przeżyjesz jakąś traumę albo coś, to może zmienić kształt.
3337:  DS - To trochę jest podobny koncept, że on Cię mimo wszystko jakoś odzwierciedla.
3340:  KMM - Plus też cielesny patronus to jest ten corporeal, prawda?
3343:  KMM - To jest najwyższa forma, normalnie można sobie jakąś kulką... Oczywiście problem filmowy, to znaczy wchodzi Aberforth Dumbledore i jest taka fala mocy.
3355:  KMM - ponieważ David Yates, ja bardzo nie lubię Davida Yatesa jako reżysera Potterów, on poszedł w taką tanią widowiskowość i zmienił... Które części?
3363:  DS - Robił ostatnią tylko, czy jeszcze jakąś?
3365:  DS - On robił ostatnią, piąto i szóstą.
3367:  DS - Pamiętam Chris'a Columbus'a, a poza tym też nie.
3370:  KMM - Chris Columbus pierwsza, druga, Alfonso Cuaron trzecia, czwartej zawsze zapominam, bo to był jeden taki one-timer i w czwartej są śmierciożercy, którzy wyglądają jak te stożki, które się ustawia na ulicy, jak są roboty drogowe.
3383:  DS - Ale Harry Potter ma super fryzurę.
3384:  DS - Ktoś ostatnio narzekał w internecie, że co to on ma za jakieś takie długie włosy, a moim zdaniem wyglądał fantastycznie.
3389:  DS - Wtedy wyglądał dobrze.
3389:  DS - A potem go ostrzygli w piątej części na takiego, no nie wiem, mi się kojarzyło tak negatywnie.
3394:  KMM - Na takiego Daniela Radcliffe'a, nie?
3396:  DS - I potem właśnie od piątej części wszędzie... Chociaż są mężczyźni, którzy dobrze wyglądają w takiej fryzurze, więc oczywiście... Ale akurat Radcliffe'owi to nie pasowało za bardzo.
3404:  KMM - W każdym razie David Yates zmienił, i to przetrwało w grach swoją drogą, zmienił cały system magiczny praktycznie, który polegał na kastowaniu zaklęć, oczywiście umiejętnie i tak dalej, na pojedynki, na piu, piu, piu, tymi strumieniami energii, prawda?
3419:  KMM - I w zasadzie już nikt tam nie mówi zaklęć, więc cała idea systemu magicznego opartego na tym, że magia niewerbalna to jest tylko dla największych badassów, upadł, ponieważ David Yates chciał mieć fajne strumienie mocy.
3430:  DS - Ale da się gorzej, gorzej jest w...
3432:  DS - szóstej części chyba w filmie, gdzie Ron tam się ma dostać do drużyny Quidditcha i Hermiona rzuca zaklęcie Confundus i ponieważ to tylko najpotężniejsi czarodzieje jak Dumbledore potrafią rzucać czary bez użycia różdżki, to z jakiegoś powodu ktoś uznał, że zamiast żeby ona tutaj, wiecie, spod kurtki rzucała zaklęcie na tego rywala Rona, to ona nagle, no, Confundus, nie, żadnej różdżki, nic.
3453:  KMM - W książce właśnie było tak, że ona miała różdżkę ukrytą, a w filmie powiedziała Confundus, co swoją drogą doprowadziło do tego, że niektóre kanały lore'owe, które bazują na informacjach wyłącznie z filmów, bo po co czytać książki, to jest bardzo męczące, no to już mówię, że jest taka teoria fanowska, że Hermiona była potężniejsza niż Dumbledore.
3469:  KMM - Potężniejsza niż dyrektor Trzmiel, tylko dlatego, że potrafiła rzucić sobie Confundusa w ten sposób.
3475:  KMM - Irytujące bardzo.
3477:  KMM - A Hermionia już jest wystarczająco irytująca.
3479:  KMM - Nie trzeba jej robić bardziej irytującą.
3482:  DS - Był twoim ulubionym bohaterem.
3484:  KMM - Ja nie mam ulubionych bohaterów, to jest mój problem straszny, bo ja się nie utożsamiam z bohaterami.
3489:  KMM - Dla mnie to jest galeria wymienialnych postaci całkowicie.
3492:  KMM - Ja lubię jako grupę, jako społeczność, tak raczej oceniam, że brakowało mi na przykład tego, że ludzie z Ravenclaw byli mało wyraziści, że mała była ich reprezentacja.
3502:  KMM - Podobało mi się na przykład właśnie jak
3504:  KMM - W czwartej części Cedric Diggory dostał wreszcie trochę przestrzeni ekranowej i nie tylko przestrzeni ekranowej.
3510:  DS - W ogóle był takim sympatycznym gościem.
3511:  DS - Ostatnio wróciłam sobie do trzeciej części i tam jest ten mecz, jak Harry spada z miotły, bo przychodzą dementorzy i jest takie, że no i jak Cedric się zorientował, że spadłeś, to on chciał odwołać i powtarzać mecz, bo to było takie niesprawiedliwe, że on spadł.
3524:  DS - To był uczciwy człowiek.
3526:  DS - I na co mu to przyszło?
3527:  DS - Na to, że potem umarł.
3528:  KMM - No dlatego, że był uczciwym człowiekiem, a jak już ustaliliśmy, Hogwart jest patologiczną instytucją edukacyjną.
3533:  DS - Z takim Cedriciem można by było być w dormitorium.
3537:  DS - No można by było być w dormitorium, oczywiście.
3539:  DS - Nie podkradałby się z karpetek.
3541:  DS - Nie byłby tym człowiekiem, że ty chcesz iść spać, a on jeszcze świeci światło.
3544:  KMM - Tylko przypominam, że dormitoria w Hogwarcie są dyzedukacyjne, a nie koedukacyjne.
3548:  KMM - Ponieważ jest to patologiczna instytucja edukacyjna, jak ustaliliśmy.
3551:  DS - Dyzedukacyjne, czyli że co, że każdy ma swoje karta płeć?
3554:  DS - Tak.
3555:  DS - To źle?
3557:  KMM - Wszystkie badania pedagogiczne, jakie istnieją, mówią, że tak, ale prywatne szkolnictwo anglosaskie twierdzi, że nie, ponieważ arystokracja.
3565:  DS - No, ale chciałbyś mieć koedytacyjną sypialnię?
3568:  KMM - Ja nie mówię, że chciałbym mieć koedukację.
3569:  DS - No jesteś chłopcem, to byś chciał.
3570:  KMM - Ja powiedziałem tylko, że dormitoria w Hogwarcie są dezedukacyjne.
3574:  KMM - To jest wszystko, co ja powiedziałem, powstrzymuję się.
3576:  DS - No więc ja teraz drążę, chcę znać odpowiedź.
3578:  DS - Znaczy, jeżeli miałbym... Znaczy, mi się nie podobało to faktycznie, że, bo podobało mi się już to, że było osobno, że chłopcy mieli swoje, dziewczynki miały swoje, ale nie podobało mi się to, że chłopcy nie mogli wejść do dziewczynek, bo wtedy się robiła zjeżdżalnia i zjeżdżali, ale dziewczynki mogły przychodzić do chłopców.
3593:  DS - No i to już było niesprawiedliwe.
3594:  KMM - Tam było wiele różnych tego rodzaju dziwnych rzeczy, ale generalnie rzecz biorąc, jeżeli miałbym wybór między mieszkaniem w dormitorium z Terrigiem Diggorym, a z kimkolwiek innym włączając w to jęczącą Martę, to wybrałbym jęczącą Martę.
3605:  KMM - Dlaczego?
3607:  KMM - Nie, bo to nie miałbym wielu tematów wspólnych z człowiekiem, który gra w Quidditcha, umówmy się.
3611:  DS - No ale to trafiłbyś na Erniego Macmillana, który był kujonem i rozmawialibyście o allotopiach w świecie mugolskim.
3617:  KMM - Nie, nie, proszę, nie.
3618:  KMM - Nie wolno czytać moich książek.
3620:  DS - Ale z dziewczynkami byłoby lepiej, dziewczynki też grają w Quidditcha.
3624:  KMM - Ale nie rozmawiają o Quidditchu, zaręczam ci, na tysiąc procent nie rozmawiają o Quidditchu.
3628:  S01 - No jak nie?
3629:  KMM - Pomyśl sobie tak, masz wybór, albo jesteś domitorią z Hermioną, która cokolwiek wie na temat historii magii i może ci powiedzieć na przykład, że masz się udać do tego, a tego działu i dowiedzieć się więcej informacji na temat potężnych zaklęć, albo z Ronem Wesleyem, który sobie wpakowuje różdżkę do nosa, żeby się zasmarkać nią bardziej, względnie z Macmillanem, który gra... Nie, nie, no nie jestem...
3650:  DS - Z Fredem i Georgem, którzy wynajdują pierwsze w tym świecie magiczne artefakty.
3654:  KMM - Tak i testują je na tobie, ponieważ akurat zapragną, że chcą mieć jakąś ofiarę łatwą.
3659:  DS - Świetnie.
3659:  DS - Ale to nie jest problem sypialni koedukacyjnych, tylko w takim razie nierównego przedstawienia płci.
3665:  DS - Tak.
3666:  DS - Ale to nie sypialnie są problemem.
3667:  KMM - Czyli rolling jest problemem.
3671:  DS - Próbujesz odwrócić moją uwagę od tego, że to nie sypialnie koedukacyjne są problemy.
3677:  KMM - Ja tylko zacytowałem zdanie mądrzejszych od siebie, nic więcej.
3682:  DS - Znaczy no ja wiem, że to pewien problem jest taki, że
3686:  DS - W sumie to nie wiem, bo to jest teraz stereotyp, że być może jeśli jesteś z pięcioma młodymi mężczyznami, którzy nie chcą wietrzeć swojego dormitorium, to to nie jest zachęcające.
3696:  DS - Ale nie byłam nigdy w męskim dormitorium, więc może panowie wietrzą w swoim dormitorium, ale testosteron jednak mocno... Tak, dzięki temu żyję do teraz, że nie byłem w męskim dormitorium.
3707:  KMM - W każdym razie, jeżeli chodzi o te dormitoria, to dobrze podkreśliłaś to, że tam są podkreślane tego rodzaju różnice, raz.
3713:  KMM - Dwa, jest drugi problem, który jest związany z każdą fantastyką młodzieżową, to znaczy cała sfera seksualna nie istnieje i ona dopiero się manifestuje, pojawia się w którymś momencie tak niewinnie trochę koło czwartego, piątego tomu, a wcześniej tego w ogóle nie ma.
3726:  KMM - No i nawet nie ma tego w odniesieniu do innych starszych grup wiekowych, prawda?
3730:  DS - No nie ma, znaczy jest tam jedna scena, jak się tam obcałowują ktoś tam w krzakach, ale to niekoniecznie jest wada, no nie?
3736:  DS - W sensie możesz chcieć wyciąć ten aspekt, no tak jak Tolkien nie poruszał za bardzo takich spraw.
3740:  KMM - No ale właśnie, tu się pojawia pewien problem, bo Tolkien nie poruszał intencjonalnie, bo o to chodziło w klasycznej fantazy, natomiast Rowling to już jest eban fantazy, to późniejsza fantazy, której cechą jest to, że właśnie jest bardzo swobodne podejście do relacji seksualnej czy romantycznej, to jest przedstawiane.
3753:  DS - No ale jeśli założymy, że mimo wszystko przez większość tomów to ma być takie bardzo baśniowe,
3759:  DS - to mimo wszystko to są trochę bardziej baśnie dla młodszej części odbiorców.
3763:  KMM - Wtedy tak, absolutnie.
3766:  DS - Dlatego to pasuje do tego shiftu, że najpierw one są takie bardzo deadziecie, więc nie ma tego w ogóle, potem w tej czwartej części troszeczkę się to pojawia, a potem już się wszyscy mordujemy.
3775:  DS - Wspominam o tym dlatego, że... Wiesz, że można się mordować, a nie można mówić o cyckach.
3781:  KMM - Ale to jest pruderia amerykańska.
3783:  KMM - Wspominam o tym dlatego, że w momencie, w którym wszedł temat przeklętego dziecka i tego, że
3787:  KMM - że Dumbledore, nie Dumbledore, tylko Voldemort i Bellatrix The Strange
3795:  KMM - No umówmy się, to było śmieszne, że na to zeszła dyskusja, że jak to jest w ogóle możliwe, że mroczny mag i nie wiem, on w ogóle takie sprawy, jak to tak można?
3805:  KMM - To jest straszne.
3807:  KMM - I to świadczy o tym, że rzeczywiście ta sfera jest jakoś dziwnie poruszona.
3810:  KMM - Kiedyś Neil Gaiman napisał takie genialne opowiadanie Problem Zuzanny.
3815:  KMM - I w opowiadaniu o Problem Zuzanny był właśnie problem seksualności w Narnii poruszony.
3819:  KMM - Bardzo złośliwie.
3819:  KMM - Polecam opowiadanie Problem Zuzanny.
3821:  DS - Jest bardzo ciekawe, ale mnie dużo bardziej ruszyło, bo to jest chyba w wersji pisanej, że tak powiem, jako opowiadanie i w wersji komiksu zdaje się.
3829:  KMM - O, no w wersji komiksu nie znam.
3830:  DS - Tylko nie wiem, kto robił ten komiks, ale ja widziałam również fragmenty jako komiks i najpierw zobaczyłam to i potem trafiłam do opowiadania, tak?
3839:  S03 - Tak, to jest opowiadanie.
3841:  DS - I mnie na przykład dużo bardziej ruszyło ten fragment, gdzie Zuzanna tam opowiada, jak musiała identyfikować ciała swojego rodzeństwa.
3851:  DS - Jest strasznie mocny kawałek.
3852:  DS - Tak.
3852:  DS - No bo w ostatniej części opowieści z Narniem, zmieniamy temat z Harry'ego Pottera, musimy zaraz wrócić, jest tylko takie króciutkie zdanie, jak wszyscy, uwaga będą spoilery, jak całe rodzeństwo i ich rodzice wszyscy trafiają do Narni.
3865:  DS - poprzez wypadek w pociągu, ale oni jeszcze o tym nie wiedzą, bo po prostu zobaczyli błysk i znaleźli się w Narni, no to mówią, że Zuzanna nie pojawiła się razem z nimi, bo nie była w tym pociągu, bo jej jakby Narnia już nie interesuje, ona teraz się interesuje tylko dorosłymi sprawami, takimi jak szminki i pończochy, no ale ona zawsze chciała dorosnąć i to jest takie jakby...
3885:  DS - Takie brushed off jest takie, tak trochę, no może nie pogardliwie, ale takie nota Zuzanna, a potem właśnie w tym opowiadaniu m.in.
3891:  DS - jest poruszona sprawa, że to nie do końca było tak, że jej potem zostały szminki i pończochy, bo np.
3896:  DS - pierwszym, co musiała zrobić, to właśnie pojechać do kostnicy i zobaczyć ciała swojego rodzeństwa, gdzie tam, nie wiem, tam jest napisane, że Edmund i Piotr jeszcze tam jakoś wyglądali, bo tam nie bardzo ich ciała były zmasakrowane, ale później było gorzej.
3909:  KMM - Generalnie w każdym razie przejście od tej fantasy, która jest bardzo taka niewinna i neutralna i czysta i tak dalej i tak dalej do tej przejmującej się bardziej sprawami realistycznego świata, myślę, że daje się też prześledzić właśnie na przestrzeni całego cyklu Rowling, ale w filmie nie mam wrażenia, żeby to było tak akcentowane czy przedstawione.
