ESKAPIZM - ucieczka od codzienności! Synestezje - panel dyskusyjny Krzysztof Maj, Bez/Schematu i JA!
🔗 https://www.youtube.com/watch?v=0zVqMH05SfU
KMM (Krzysztof M. Maj)
PW (Przemysław Wideł)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
DS (Dominika Skoczeń, Czerw Fantastyczny)

0:  BFP - Patrońszczyzna.
2723:  BFP - W takich sytuacjach, tak.
2725:  BFP - Ja się zastanawiam, co się stanie, jak wpiszesz w Google pułapkę BDS-a.
2733:  BFP - Będzie tam twój odkurzacz.
2737:  BFP - Znaczy, ja mogę powiedzieć już nawet tak nieżartobliwie, że ja bardzo kocham eskapizm i nie mogę powiedzieć, że jestem od niego uzależniony, ale on jest ogromną częścią mojego życia.
2745:  BFP - Jakby ktoś odebrał mi fikcję, to bardzo bym cierpiał.
2748:  BFP - Ale był taki okres mojego życia, w którym spieprzyłem wiele rzeczy, dlatego że wolałem eskapizm i uważałem, to był moment, w którym nie byłem w stanie stawić czoła problemom, które miałem, chociażby na uczelni i uciekałem, po prostu uciekałem w gry, przede wszystkim w gry.
2762:  BFP - Także jest ciemna strona, można po prostu...
2765:  DS - Jaki masz balans w swoim życiu?
2768:  DS - No bo każdy z nas ma problemy w życiu.
2770:  DS - I jeśli te problemy, tak jak powiedziałaś, są w miarę pod naszą kontrolą, to jak sobie zaczniemy czytać tą książkę i faktycznie nie możemy się oderwać, coś tam zawalimy, to nie ma problemu.
2778:  BFP - A tak jak mówisz, jest to taka nagminna ucieczka, bo po prostu chcemy unikać tego, co... Mogę powiedzieć tylko, jakie to jest uczucie z mojego doświadczenia z autopsji.
2790:  BFP - Ilość problemów się piętrzy.
2792:  BFP - Jak na przykład nie chodzicie na uczelnię, to rośnie zakres materiału, który będziecie musieli odrobić.
2799:  BFP - Jest to coraz trudniejsze.
2801:  BFP - To jest paradoks właśnie jak z najcięższymi obiektami rzeczywistości w uniwersum, które są tak ciężkie, że ich masa sprawia, że zapadają się pod własnym ciężarem i tworzą czarne dziury.
2813:  BFP - I możecie właśnie dojść do takiego punktu, w którym stworzycie czarną dziurę, że myślicie, że musicie się nauczyć, ale już nie pójdziecie, bo nie ma po co.
2820:  BFP - Już nie chcecie po prostu.
2822:  BFP - I żeby poczuć się lepiej, po prostu uciekacie w inne światy.
2828:  BFP - Jest taki pąt, w którym trzeba stawić czoła problemom, które się ma.
2834:  BFP - I ukojenie na pewno da, ucieczka, ale niekoniecznie sprawi, że będziecie mieli się lepiej w rzeczywistości.
2842:  KMM - Jednak istnieje ta rzeczywistość.
2844:  KMM - Znaczy ja miałem taki czas przez ile?
2848:  KMM - Ile to było miesięcy?
2849:  KMM - Siedem miesięcy.
2850:  KMM - Zawsze się śmieję, jak ktoś mi mówi, że no ja bym chciał mieć takie...
2854:  KMM - taki rok, żeby sobie pooglądać Netflixa.
2856:  KMM - Ja przez te 7 miesięcy obejrzałem wszystko, co było dostępne na Netflixie.
2860:  KMM - Nie żartuję, wszystko.
2861:  KMM - Wszystko, co było dostępne na HBO, wszystko, co było dostępne na Amazon Prime.
2865:  KMM - Zagrałem we wszystkie gry, które miałem, przeczytałem całą kubkę wstydu i wiecie, co zostało?
2870:  KMM - Zero.
2870:  KMM - Nic.
2871:  KMM - I to był ten moment, w którym ja stwierdziłem, o nie, musi być równowaga w życiu.
2875:  KMM - Jak sięgam, to jest jedna rzecz, która mnie nauczyła o bezrobocie, ta jedna dobra, że nie chcecie tego, żeby było w życiu wyłącznie przyjemność, wyłącznie fikcja i wyłącznie to, co właśnie nam daje jakąś ucieczkę od...
2891:  KMM - Tylko chcecie cały czas tej ucieczki do.
2894:  KMM - Mieć dwa świata.
2895:  KMM - I tutaj też powiedział bardzo fajnie Michał Ostrowidzicki, który się przedstawia jako Sidney Miller, też teoretyk immersji, że człowiek jest jeden, a światy są dwa.
2902:  KMM - I trzeba pamiętać, że te światy są dwa właśnie cały czas.
2904:  KMM - Że jest to nasza rzeczywistość, jest druga.
2906:  KMM - Ale oczywiście jest ten jeden człowiek, który te rzeczywistości uwspójnia, prawda?
2910:  KMM - Natomiast nie można doprowadzić do tego zachwiania balansu, bo... No właśnie, za każdym razem, tak samo jak w pracoholizmie.
2916:  KMM - Pracoholizm, nawiasem mówiąc, o czym nie powiedzieliśmy, też jest trochę taka czarna dziura, która może wessać.
2921:  KMM - I człowiek tak pracuje, zwłaszcza jak pracuje... Też jest formą... Jezu, oczywiście.
2925:  KMM - Jeżeli człowiek kocha swoją pracę, to Boże, oczywiście będzie do niej uciekał.
2928:  KMM - I bardzo dużo ludzi to robi.
2929:  DS - Uciekasz do pracy przed problemami, na przykład w domu, nie?
2931:  KMM - Tak, tak, tak, absolutnie.
2933:  KMM - Bardzo fajne pytanie.
2934:  KMM - Mhm.
2936:  S08 - W tym tygodniu szczególne podziękowania wędrują do Wojciecha Bencera, Kuby, Making the Matrix, Darka Topierza-Szymańskiego, Flutastik Michasia, Leszka Kani, Marka Olszewskiego, Marka Mościckiego, Rałko Fenela, Wolfgarda i Aragonte.
2955:  S08 - Dziękuję Wam.
2957:  S08 - Jesteście naprawdę fantastyczni.
