THE LAST OF US odc. 3 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=1oQD0C7QyGs
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
TN (Tomasz Nowakowski, Ubieram Się na Czarno)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

8:  BFP - Mili, witajcie na naszym... Mili, witajcie... O, przepraszam, bo mam pogłos siebie.
3135:  BFP - Dlatego uważam, że ten poconek jest absolutnie przepiękny.
3140:  TN - W tej scenie widać, że Bill jest bardzo wrażliwą osobą, ale w sumie też widzieliśmy to wcześniej po tym, jak grał na fortepianie, że jest wrażliwy na sztukę.
3150:  KMM - To jest człowiek zamknięty w takiej skorupie, natomiast bardzo miękki w środku.
3158:  TN - Troszeczkę jak Eli i troszeczkę jak Joel, tylko że Eli rzeczywiście czasami pęka moim zdaniem, a Joel dopiero w tym odcinku moim zdaniem pękł pod koniec.
3170:  BFP - Tak, tak, do tego załamię.
3172:  BFP - I to jest, o Jezu, jak mi się to podoba, kiedy jest ta łza na policzku Franka i on mówi, what's your name?
3177:  BFP - I dopiero wtedy zaczynają się poznawać, pomimo, że zjedli kolację razem.
3181:  BFP - To jest śmiała scena i jestem naprawdę pod wrażeniem tego, że twórcy zdecydowali się to umieścić, bo ja myślę, że tutaj wydaje mi się, że o godzinie trzeciej, żebym dobrze sprawdził,
3194:  BFP - 3.35 w Polsce najgłośniej pękały dupy w całym kraju.
3198:  BFP - Mniej więcej w tej scenie, w której rzeczywiście widzimy dwóch nagich mężczyzn, którzy leżą razem w łóżku.
3203:  BFP - A i ponownie ta scena mnie całkowicie kupuje przez postać byla, który nigdy wcześniej nie uprawiał seksu z innym mężczyzną, a zawsze tego chciał.
3213:  BFP - To jest potężne.
3216:  TN - Taki rzecz wcześniej nawet próbował z kobietą jest powiedziane, tak?
3218:  TN - Tak, tak, tak.
3219:  GW - Być może w ogóle on się bardzo uwrażliwił się tutaj w stosunku do Franka, w sensie otworzył się, pokazał swoją właśnie wrażliwość, że tłumaczył mu się, że ja nigdy wcześniej nie próbowałem, ale nie wychodziło i tak dalej, i tak dalej.
3235:  GW - To właśnie...
3238:  GW - Tak, generalnie można by było łaskawie pokazywać sceny seksu w dowolnej konfiguracji z taką wrażliwością właśnie, bo istotą mimo wszystko takich scen łóżkowych, a nie stricte erotycznych, pornograficznych i tak dalej, jest pokazywanie pewnej intymności między dwójką ludzi.
3260:  GW - I tutaj jest to piękne, że jest właśnie pokazana ta intymność, wrażliwość i tyle.
3265:  GW - I to wystarczy.
3266:  KMM - Znaczy wiecie, w czasach, w których mamy oj jak dużo filmów, w których seks heteroseksualny jest przepotwornie zwulgaryzowany, tandetny i spodziewierany popowo, naprawdę trzeba docenić starania pokazywania jakiejkolwiek ludzkiej seksualności normalnie.
3287:  KMM - I zwrócę jeszcze uwagę na jedną rzecz, ponieważ ja bardzo lubię się wypytać na temat realizmu i światotwórstwa, bo padały uwagi, że no tak, tak, pierwsze co zrobił, to wskoczył mu do łóżka.
3296:  KMM - To jest z pewnością coś, czego nigdy nie zrobił James Bond, to znaczy nawet nie pytając o imię kobiety, od razu skakał z nią do łóżka, to nikomu nie przeszkadzało, prawda?
3306:  KMM - To tylko pokazuje, jak wiele zmienia nasze wychowanie.
3309:  KMM - Moja druga złośliwa uwaga, na którą sobie pozwolę, to jest taka, że jeżeli by tego rodzaju sceny wywoływały rzeczywiście takie potworne zgorszenie, to od czasu, kiedy zaczęliśmy o nich rozmawiać do teraz, na czacie przybyło 200 osób.
3322:  TN - Tym bardziej, jeżeli chodzi o to wskoczenie komuś do łóżka, no to sorry, ale to są ludzie, którzy są totalnie osamotnieni, którzy nie widzieli prawdopodobnie drugiej osoby już od jakiegoś dłuższego czasu i nie mieli takich... Apokalipsa jest, prawda?
3338:  BFP - Tak, no dokładnie.
3340:  BFP - Ja chciałem jeszcze przeczytać jeden komentarz, przykro mi, bo on jest piękny, przykro mi, że akurat jego autor ma nick, który brzmi du-du-du-dupa, ale komentarz jest następujący.
3350:  BFP - Ja doceniam.
3352:  BFP - Tutaj to nie jest Netflixowa relacja dwóch homoseksualistów, tylko dwóch ludzi homoseksualnych.
3358:  BFP - I to jest naprawdę, to robi różnicę.
3361:  BFP - Powiedzieć dwóch homoseksualistów, a dwie osoby homoseksualne i historia.
3366:  BFP - Ale wiecie co, zastanawia mnie też, załóżmy, że w tym odcinku dojdzie jeszcze do zbliżenia dwójki kobiet.
3371:  BFP - Zastanawiam się, czy będzie taka sama reakcja.
3373:  BFP - Bo jestem w stanie założyć się z wami, że nie.
3375:  BFP - Że zawsze chodzi tylko o to, że to jest dwóch mężczyzn.
3379:  BFP - Ale nie, że dwie kobiety.
3380:  BFP - Bo dwie kobiety, jak powiedział pewien pan, a właściwie to jest Marek Suski, można to powiedzieć, powiedział...
3385:  BFP - ale dwie kobiety, to bym sobie popatrzył.
3387:  BFP - Więc wydaje mi się, że wtedy nie będzie aż takiej fali reakcji, jak w przypadku tego, co widzieliśmy w tym odcinku, a jest to dokładnie to samo.
3397:  GW - No i tutaj mamy już właśnie bardziej dojrzały związek.
3400:  GW - Zaczyna się pierwsza poważna kłótnia.
3404:  TN - Ja też widziałem jakieś komentarze odnośnie tego, że ta relacja między nimi jest toksyczna, a tutaj mamy pierwszą kłótnię i ja uważam, że ta kłótnia właśnie jest bardzo zdrowa.
3414:  TN - No tutaj po prostu mają różne zdania na ten temat, jak zagospodarować przestrzeń wokół nich.
3420:  TN - No i widzimy tutaj Franka, poznajemy jaką osobę bardziej ekstrawertyczną, która potrzebuje przyjaciół, która też dba o
3427:  TN - I poznajemy również osobę bardziej tego introwertyka, Billa, który się temu sprzeciwia.
3435:  TN - No i widzimy moim zdaniem bardzo zdrową kłótnię, wymianę też poglądów i też dojście do jakiegoś konsensusu.
3444:  TN - I co prawda tutaj Frank też nie zachował się moim zdaniem w stu procentach fair, no bo bez wiedzy Billa skontaktował się z kimś spoza tego domu i rozmawiał przez radio z TES i dopiero teraz mu to wyjawił, więc uważam, że to też nie do końca jednak było fair, ale moim zdaniem i tak uważam, że to jest dosyć zdrowa kłótnia.
3467:  GW - Tak, no i tutaj mamy właśnie znowu te dwie strony.
3469:  GW - Człowieka, który po prostu stara się przeżyć i który chce żyć.
3473:  GW - No i właśnie osoba, która chce przeżyć jest bardzo praktyczna, stawia na absolutne bezpieczeństwo i właśnie on chce też chronić, Bill chce chronić Franka.
3486:  GW - Natomiast Frank chce po prostu starać się jak najlepiej żyć w trakcie właśnie tych ciężkich czasów.
3493:  BFP - Przepraszam, bo sprawdziłem, ja wiem, że to jest taki off-top, ale ja lubię poprawiać takie rzeczy.
3498:  BFP - Rzeczywiście to nie powiedział Marek Suski tych słów i ja się pomyliłem, za co przepraszam.
3503:  BFP - Ale zwróćcie uwagę na to, w jaki sposób przechodzi ta scena z poprzedniej sceny.
3507:  BFP - Tak jak mówiłem o tych różnych fazach miłości, mamy no tę miłość dosłownie najintymniejszą i najbardziej rozpaloną i nagle jeb, totalnie nagłe, impulsywne przejście prosto w kłótnię.
3520:  BFP - Zobaczcie, jak...
3523:  BFP - Wszystkie te lata, trzy, których nie widzieliśmy, nie musimy sobie nic dopowiadać.
3527:  BFP - Wiemy, co tam się wydarzyło generalnie.
3529:  BFP - I wiemy, że to już jest kolejny etap ewolucji związku, który przechodzi swoje nie tylko wyżyny, ale także dołki.
3538:  BFP - I to jest bardzo dobry sposób na to, żeby wpleść tutaj Joella i Tess, czym przyznam, byłem zaskoczony.
3546:  BFP - Nie spodziewałem się, że oni się pojawią.
3547:  GW - Nie spodziewałem się, że w taki sposób to zrobią, że po prostu wskoczą na to w ten sposób, a nie na przykład będzie ta faza zapoznawania się, że oni stoją tam pod bramą i próbują się skontaktować.
3557:  GW - Także całkiem dość szybko, ale it's fine.
3562:  KMM - I może doceńmy teraz dobrze zrealizowane cięcie i dobrze zrealizowany przeskok czasowy w odróżnieniu od źle zrealizowanych przeskoków czasowych, które niczemu nie służą.
3571:  KMM - Bo zauważcie, że te dwie sceny skonfrontowane ze sobą budują fantastyczny kontrast i pokazują dynamikę relacji, jak również to, że do samego końca nie byli w stanie oni się w pewnych pryncypiach politycznych, ale też nie tylko politycznych, ze sobą zgadzać, co jest fantastyczne i cudowne.
3588:  KMM - Więc w takich okolicznościach ja będę tą osobą, która nie będzie mówić, że nie lubi przeskoku czasowego, a to jest dosłownie chyba pierwszy raz na bez sematu, kiedy mówimy o przeskokach czasowych i mnie się on podoba, ponieważ jest zrealizowany dobrze, wreszcie.
3600:  KMM - Wreszcie nie mam takiego sztucznego wrażenia, że o, 30 lat później, a ja nic nie wiem, tak?
3606:  KMM - Znaczy nie muszę nic wiedzieć, ponieważ zostało to dopowiedziane i odpowiednio zmontowane.
3610:  TN - Pamiętam, jak przy pierwszym odcinku mówiłeś, że ci się nie podobało to, jak był przeskok o 20 lat, taki był napis 20 lat później.
3616:  KMM - Tak właśnie.
3618:  KMM - I tam dla mnie to nie miało żadnego uzasadnienia.
3620:  KMM - Tutaj przez to, że jest ten kontrast zbudowany, czytam to zupełnie inaczej.
3623:  BFP - Także słyszycie, twórcy, powinniście byli nakręcić 5 odcinków więcej, żeby przeskoczyć delikatnie przez te 20 lat, żeby Krzysztof...
3629:  BFP - czuł, że został nakarmiony wiedzą encyklopedyczną na temat świata przedstawionego.
3634:  BFP - Ja ci kurwa kiedyś wydrukuję Wikipedię.
3637:  KMM - Znaczy Filip, ja chciałem tylko uprzejmie powiedzieć, że to ty poszedłeś na awatara oczekując fabuły Bergmana, w związku z powyższym nie wyrzucaj mi teraz, że ja szukam encyklopedii w The Last of Us.
3647:  S05 - Nie, oczekiwałem czegoś takiego dziwnego.
3649:  TN - Oczekiwałem, no.
3652:  TN - Ja oczekiwałem od Avatara coś więcej niż co widziałem w pierwszym Avatarze.
3657:  BFP - To jest to minimum, o którym można wspomnieć.
3659:  BFP - Oczekiwałem, że zobaczę coś, czego nie widziałem w poprzedniej części filmu o tytule Avatar.
3666:  BFP - A tutaj zobaczcie tak, sorry, że tak to powiążę ze sobą, ale jakbyśmy dostali taki odcinek, który byłby w zasadzie oparty na tym, co znamy z gry, to można by powiedzieć fajny ten odcinek, ale za bardzo przyjmie na to, co się działo w poprzednim.
3679:  BFP - Czyli znowu walki z klikerami, których było naprawdę dużo.
3683:  BFP - A mimo to dostajemy całkowitą zmianę tempa.
3685:  BFP - To jest również coś, co bardzo sobie chwalę w tym serialu i podobnie bardzo chwaliłem takie zamknięte całości na przykład serialu Breaking Bad, jak legendarny odcinek The Fly, który wielu osobom się nie podobał, który w zasadzie działał się w całości w jednym zamkniętym miejscu, jak uwielbiam.
3700:  BFP - Więc ja lubię takie eksperymenty, naprawdę lubię takie zamknięte historie, bo to dla mnie był...
3705:  BFP - No film długometrażowy, nie dwugodzinny.
3709:  BFP - Może ta historia zajęła łącznie 50-60 minut, ale kurczę, to była zamknięta historia.
3716:  BFP - Zwróćcie uwagę, bardzo mi się to podoba, że podczas tej sceny lunchu wspólnego, w której zresztą siedzi z naładowanym pistoletem Bill i Frank w pewnym momencie mówi, wybaczcie Billowi, to jest taki paranoidalny schizofrenik, na co Bill odpowiada, nie, nie, nie, nie jestem schizofrenikiem.
3735:  BFP - I to jest ten moment, w którym Joel...
3738:  BFP - Poznaje byla i w jakiś sposób widzi tego gościa jako osobę, która pełni rolę obrońcy, protektora, czyli to samo kim jest w zasadzie Joel.
3748:  BFP - I wie w jaki sposób może go otworzyć.
3751:  BFP - I mówi słuchaj, nie chciałbyś może lepszych ogrodzeń?
3754:  BFP - Bo wiesz, ja mam parę w magazynie.
3756:  BFP - I to jest sposób na to, żeby nawiązać relacje i sposób na to, żeby dokonali jakiegoś barteru.
3762:  BFP - Ale właśnie uderza w ten czuły punkt.
3763:  BFP - Mówi, it could protect lives.
3771:  KMM - Nie jedno życie już, tak.
3773:  KMM - Piękne i bardzo mi się podoba to, bo to jest zresztą porozumienie, które tutaj się z nimi wykuwa.
3780:  KMM - Ono później będzie zbierało owoce.
3782:  KMM - Zostanie to bardzo pięknie podkreślone w ostatniej części filmu, gdzie będziemy mieli pewien list.
3788:  KMM - I bardzo mi się również spodobało to, że tutaj mieliśmy taki bonding typowy między dwoma facetami, którzy umieją walczyć i przetrwać.
3795:  KMM - Tylko w zupełnie inny sposób.
3797:  KMM - To znaczy, Bill jest po mojej stronie, znaczy po stronie ofensywnej defensywy, natomiast ewidentnie Joel jest po stronie ofensywnej ofensywy.
3807:  BFP - Ajzanowski...
3809:  GW - A to tylko jeden w trend, że kawałeczek wcześniej dosłownie, jak właśnie Bill tam poprawia sobie giwerę na tym stole, Franco Beszta, że tak to jest dosłownie ekwiwalent położenia łokci na stole, tak Bill, czy mógłbyś?
3824:  GW - Tak.
3826:  TN - Tak, tak, tak.
3828:  TN - Mi się też to podoba, że jest wprowadzony ten element humorystyczny, że nie cały czas jest właśnie taka atmosfera tego dramatu i rozbudowana ta relacja miłosna, ale bardzo podoba mi się zgrabne wprowadzenie, ten zabieg wprowadzenia tego Joela już tutaj, bo rozumiem z waszych...
3853:  TN - z tego, co powiedzieliście, że w grze tak nie było.
3858:  GW - Nie było w ogóle pokazane, skąd się wzięła ta relacja.
3861:  BFP - W grze nie ma Franka.
3862:  BFP - Frank jest trupem w grze.
3864:  BFP - Tak.
3865:  BFP - Także od wszystkich, może nie ma sensu tego za bardzo rozwijać, ale wszystkich zachęcam do obejrzenia mojej recenzji, gdzie ja na samym końcu, żeby nie psuć może zabawy tym, którzy chcieliby to odkryć sami, to tam wydzieliłem te sekcje i opowiadam o liście Franka, o relacji Billa i Ellie i generalnie jak to zostaje tam rozegrane.
3883:  BFP - Więc tam jest więcej szczegółów, natomiast gra robi to diametralnie inaczej.
3887:  BFP - W sensie rzeczywiście Bill żyje, kiedy Joel i Ellie docierają do tak zwanego Bill's Town.
3895:  KMM - No ale dobra, ale to w takim razie z mojej perspektywy, czyli osoby, która zawsze jest po stronie nie adaptacji, tylko rozwijania świata, to jest bardzo dobre.
3902:  KMM - To znaczy mamy postać, która nie została rozbudowana i teraz poszerzamy świat i pokazujemy jej kontekst.
3908:  KMM - Wszyscy powinni być zadowoleni, bo dla mnie taka prymitywna adaptacja, która polega na tym, o co wiecznie powtarzam, przekład intersemiotyczny z języka jednego medium na drugi, sprowadzi tylko do tego, że ludzie się będą kłócić o fakty fabularne, a tak dostajemy coś, czego nie było wcześniej, dostajemy kontekst i jestem zadowolony ja, który nie grałem w grę i jest zadowolony gracz, który grał w grę.
3926:  KMM - Win-win.
3927:  KMM - Netflix rób notatki.
3928:  TN - Ta scena też pokazuje, że jednak ten odcinek jest ważny, bo Joel poznaje już wcześniej Billa i Franka i przez to ten wydźwięk po tym, jak oni umierają, będzie większy i po tym liście.
3942:  TN - Więc dzięki temu po prostu będzie miał to większy wpływ na Joela.
3947:  BFP - Tak i to też właśnie jak czytałem recenzję, zanim jeszcze miałem przyjemność obejrzeć ten odcinek, to wielu recenzentów, którzy grali także w grę, eksponowało dokładnie to, że takie postacie jak Bill, które były fajne,
3966:  BFP - Tylko wtedy, kiedy zestawiłe się z taką Ellie albo Joellen, to znaczy wchodzili w jakąś konfrontację słowną, potyczkę słowną, to wtedy mieli rację bytu, ale odbierz im Joella i odbierz im Ellie i nie są ciekawymi postaciami.
3979:  BFP - Nie mają wystarczającego rysu psychologicznego, żeby obronić się jako postaci.
3985:  BFP - I tutaj wreszcie zostaje rozbudowana postać, która naprawdę, nie licząc scen walki i rozgrywki i eksploracji, miała łącznie 7 minut dialogów i interakcji.
3997:  BFP - Więc to jest duże osiągnięcie, żeby coś takiego zrobić z postacią, tym bardziej, że zajął się tym także Neil Druckmann, twórca tej postaci.
4003:  BFP - I jak sam powiedział, to jest trochę takie moje director's cut.
4007:  BFP - Tak wyobrażam sobie Billa.
4009:  BFP - I cieszę się, że mogłem rozbudować postać, która uważam dostała za mało czasu ekranowego w przypadku gry.
4017:  BFP - No i jedna z najpiękniejszych scen dla mnie w całym tym odcinku, która... Kurczę, no...
4024:  BFP - Jest dla mnie po prostu naprawdę aż takim... Kojarzy mi się z app Pixara i szczególnie początkiem tamtego filmu, który również pokazuje narodziny i śmierć miłości.
4037:  BFP - Ale to już jest takie apogeum, gdzie oni już naprawdę są ze sobą wiele lat i wciąż w jakiś sposób potrafią się zaskoczyć, potrafią dać sobie szczęście.
4044:  KMM - No to jest taka dojrzała miłość, prawda?
4046:  KMM - W stu procentach.
4047:  KMM - Ja się tu oczywiście poryczałem, niestety.
4050:  TN - Tak i dalej czerpią przyjemności z małych rzeczy takich jak truskawki, aczkolwiek no tutaj Frank też nie do końca był fair z Billem, ponieważ on przehandlował pistolet na nasiona truskawek.
4065:  GW - Taki mały.
4069:  TN - I też o tym nie powiedział wcześniej.
4071:  KMM - Przepraszam najmocniej.
4072:  KMM - Truskawki to jest bardzo poważna rzecz.
4075:  KMM - To nie jest małe.
4076:  KMM - Truskawki są nieprawdopodobnie poważne.
4079:  BFP - Ja wiem, że ty naprawdę... Jak my byśmy żyli w postapokalipsie, to ty, Krzysztof, naprawdę Tower Defense byłoby twoim jedyną szansą na przetrwanie.
4088:  KMM - Ja to wiem, ja to wiem.
4090:  KMM - No i na pewno ja byłbym w stanie przehandlować nawet miotacz ognia do dobre truskawki, bez chwili wahania.
4096:  KMM - Tylko, że nie wiedziałbym, w jaki sposób je uprawiać.
4098:  Ech.
4100:  BFP - Krzysztof, jego podejście ze StarCrafta był przełożony na postapokalipsę.
4103:  BFP - Chciałbym zobaczyć taki eksperyment po prostu społeczny.
4105:  KMM - Gejzer we spanu.
4106:  BFP - Gejzer we spanu.
4110:  BFP - Not enough strawberries.
4113:  BFP - I ten śmiech, to jest tak charakterystyczny śmiech Nika Offermana.
4118:  BFP - Ja uwielbiam, jak ten gościu się śmieje.
4119:  BFP - On ma taki śmiech, jakby gdzieś, jak maleńka, chichotająca dziewczynka.
4126:  BFP - Taki śmiech ma Nick Offerman.
4127:  BFP - Jak on to połączył jeszcze z płaczem,
4130:  BFP - To jest to po prostu, no jest to jedna z najpiękniejszych, jeszcze coś ujmującego.
4134:  BFP - Tak, jeszcze to słońce, które jest tam gdzieś w tle i ten taki moment.
4138:  TN - Piękny kadr, wszystko dobrze zagrane, no piękna scena, no po prostu tutaj wszystko gra moim zdaniem.
4144:  TN - Dokładnie.
4144:  GW - Bardzo znamienne słowa zaraz potem, gdzie właśnie mówisz, że do tej pory nie bał się niczego.
4153:  GW - Nie bał się, tak, tak, tak.
4155:  GW - A teraz już się boi nie tyle o siebie.
4157:  TN - Tak, bo boi się, że kogoś straci, tak.
4159:  KMM - Znaczy on się już od dawna bał, bo on się bał już w tej rozmowie z Joelem, prawda?
4163:  KMM - Ale teraz dopiero się do tego przyznał, należy domniemywać.
4166:  KMM - I ta scena jest piękna na wielu poziomach, absolutnie.
4170:  GW - Co bardzo koresponduje z tą piosenką właśnie tej Lindy Ronstadt właśnie, gdzie tam w słowach jest ten strach i żal przed tym, że kiedy się kogoś kocha i straci, to potem
4184:  GW - Ta miłość nie przeminie.
4185:  BFP - Tak, po co kochać, skoro kogoś się straci?
4187:  BFP - Po co kochać, skoro miłość przeminie?
4190:  BFP - I no piękne jest to wybrzmiewanie tego...
4194:  BFP - kawałka w odcinku.
4195:  BFP - Krzysztof, chciałeś coś powiedzieć?
4196:  KMM - Plus, ponieważ tak, no mnie przypada zawsze rola diabełka kolonijnego, więc muszę zadbać o natychmiastową zmianę nastroju.
4202:  KMM - Chciałem poinformować również, że obydwaj panowie dochodzą do jedynej słusznej konkluzji, to znaczy, że jednak truskawki tutaj, seks tutaj, nie?
4209:  KMM - Truskawki są ważniejsze, więc musimy je ochronić, udać się w ustronne miejsce, ale truskawki?
4215:  KMM - Truskawki należy chronić.
4216:  KMM - Truskawki są ważne.
4218:  BFP - Jak już ustaliliśmy, chyba jasne.
4220:  KMM - Widzicie, po House of the Dragon wiecie, że dla mnie jest ważny stół.
4225:  KMM - Teraz wiecie również, że ważne są dla mnie truskawki.
4229:  BFP - Krzysztof, ja muszę zadać ważne... Connect the dots!
4231:  BFP - Ja muszę zadać ważne pytanie, ja wiem, że ono będzie może nie na miejscu, ale ono musi paść.
4236:  KMM - Bez pruderyjna.
4237:  BFP - No wreszcie.
4238:  KMM - Czy ty doszedłeś, jak wjechały mi otacze ognia?
4241:  KMM - Tak.
4242:  KMM - Chciałem podkreślić, że gdyby The Last of Us było grą Tower Defense, ja w tym momencie bym wyłączył serial i zaczął grać w The Last of Us, aż skończę w obydwu znaczeniach tego słowa.
4253:  KMM - I chciałem jeszcze ponownie zaznaczyć, żeby podkreślić moje uwielbienie dla Tower Defense'ów, że w Jamcraft Chasing Shadow mam 800 godzin, więcej godzin mam tylko w Total War Warhammer 2.
4263:  KMM - Więc to jest dokładnie to, co ja chciałem widzieć od samego początku.
4266:  KMM - Zamiast, żeby rząd Stanów Zjednoczonych robił jakiś bezsensowny faszyzm, który nikt temu żadnych problemów nie rozwiązał w historii cywilizacji, to powinni byli rozstawić wieżyczki ogniowe, powinni byli rozstawić płoty pod napięcie, powinni byli zrobić wilcze doły, tak jak w twierdzy, powinni byli oczywiście również wznosić fortece, ponieważ zostało udowodnione przez ludzi zajmujących się światotwórstwem oraz przez fantastów,
4289:  KMM - że jedyna epoka historyczna, w której przetrwalibyśmy inwazję zombie, to jest średniowiecze, ponieważ wtedy wszyscy byli zakłóci w zbroje, a w każdym razie ci, którzy mieli pieniądze, haha, i oprócz tego były zamki, również dla tych, którzy mieli pieniądze, a zatem jesteśmy w stanie zapewnić przetrwanie ludzi, czyli powinniśmy z tego wyciągać odpowiednie wnioski, a zatem tower defense jest jedynym gatunkiem, który ma sens w tym konkretnym przypadku.
4308:  KMM - Dziękuję za uwagę.
4310:  BFP - Mojego mema z cyklu Krzysztof w postapokalipsie, gdybyś to ty tam był, ty tam stał, gdzie w tym momencie był, to ci bandyci wbiegliby tam tylko po to, po to by najechali, żeby ci zrobić bąka, tylko po to, żeby zrobić bąk.
4322:  GW - Drodzy widzowie, proszę o wycięcie tego fragmentu, po prostu to jest mem sam w sobie.
4329:  KMM - Piękna prawda.
4330:  KMM - Czy nie widzicie piękna w tej scenie, powiedzcie mi, te pieczołowite planowanie, które w tym konkretnym momencie ich uratowało, prawda?
4338:  KMM - No bo taka prawda, nie?
4340:  KMM - To znaczy, Bill ze swoim preperskim szaleństwem w tym momencie ich uratował.
4344:  KMM - Gdyby chociaż dwóch tych gości, których zaatakowało, przedostało się tutaj, to mieliby przerąbane.
4349:  KMM - Jeszcze jest jedna fajna rzecz tutaj, to znaczy wreszcie widzimy
4352:  KMM - pełnoskalowy konflikt ludzi z ludźmi, to znaczy ludzie są takim beznadziejnym gatunkiem, który nawet w momencie, w którym ma wyginąć, stwierdza, aaa, ukradnijmy komuś, żeby mieć więcej, co jest swoją drogą przepięknie poruszone w grze This War of Mine, o czym wiem z tego względu, że jak zacząłem grać w This War of Mine i zobaczyłem, że jakiś pleban miał zajomanych dużo zabasów, to pierwsze co zrobiłem, to wysłałem wszystkich swoich bohaterów, żeby naturalnie je ukradli, po czym oni się powiesili i zostałem ukarany za mój dysonans ludonarracyjny niestety.
4380:  BFP - Ania Kaźmierczak napisała, bandyci dowiedzieli się o truskawkach, stąd najazd i to jest całkiem prawdopodobna teoria.
4387:  TN - To ogólnie też jest sytuacja, o której wcześniej mówił Joel, że może nadejść, a pomimo tego też Bill go nie posłuchał i zabarykadował się samochodami zamiast wziąć i się wymienić właśnie z Joelem.
4401:  TN - Lepiej się zabezpieczyć.
4403:  BFP - Tak.
4404:  BFP - I zauważcie, poza tym, że już tam Bill chce powiedzieć, że zrobił listę i tam już przygotowałem cię na moje odejście, zauważcie, że to jest potężna scena, bo ona pokazuje dokładnie to, o czym powiedział Bill wcześniej.
4418:  BFP - On bardzo boi się sytuacji, w której Frank zostanie sam.
4422:  BFP - Bo Frank ma tę niezwykłą delikatność, wrażliwość, jeszcze większą i jeszcze bardziej dzieli się nią ze światem, bo to on zaprosił Joel i Tess do nich.
4433:  BFP - Jest czymś, co Bill chce chronić i wie, że Frank nie da sobie sam rady.
4438:  GW - Dlatego mówią Cole Joel.
4440:  BFP - Cole Joel.
4441:  BFP - I ja w swoim odcinku powiedziałem, nie wiem o jaką przysługę chodziło, znaczy gracze nie widzieli przez 10 lat, o jaką przysługę mogą chodzić Billowi w grze, bo kilkukrotnie Bill mówi do Joela, are we square?
4456:  BFP - Wiadomo, że Joel jest mu coś winny i nie wiadomo co.
4459:  BFP - Ja powiedziałem w swoim odcinku recenzji, że wciąż nie mam takiego poczucia, że ten odcinek to wyjaśnił i Natalia, którą pozdrawiam z tego miejsca, napisała w jednym z komentarzy, to jest ta scena, być może.
4471:  BFP - Kiedy on powiedział zadzwoń po Joela, my nie widzimy co się stało, bo mamy to cięcie zaraz i kolejny przeskok o 10 lat.
4477:  BFP - Ale on być może odezwał się do Joel'a, tak?
4480:  BFP - Wykorzystał ten swój radiowęzeł, który mieli do tego, żeby się z nim skontaktować i coś mu zawdzięcza.
4487:  BFP - I to jest być może właśnie to, co był potem winny.
4492:  BFP - Radiowęzeł.
4492:  S01 - Skąd ty wziąłeś słowo radiowęzeł?
4494:  BFP - Zabawieńsza radiostacja.
4496:  KMM - Nikt nie używa tego słowa, tylko w szkołach jest używane w latach dziewięćdziesiątych.
4501:  KMM - Było coś takiego.
4502:  GW - Jeszcze rzuć dalekopisem i w ogóle się ładnie cofniemy.
4504:  GW - Ale jeszcze mam jedno.
4505:  GW - Łoki Toki.
4505:  BFP - Łoki Toki.
4506:  BFP - Jeszcze, jeszcze.
4507:  BFP - Jeszcze kurwa kajet.
4509:  BFP - Walkie talkie, czyli chodził, gadził.
4510:  BFP - To jest walkie talkie, chodził, gadził, to też moim zdaniem do tego pasowało.
4514:  GW - To jeszcze tylko znowu w trend a propos radiowęzła, że we wcześniejszych scenach, gdzie właśnie rozmawiał Frank Stess, on zaproponował system z muzyką.
4529:  BFP - Tak, tak i Joel potem zwrócił uwagę na to, że lista w przypadku nie zresetowania zatrzymywała się na latach 80-tych.
4537:  GW - 80-tych, że coś jest nie tak.
4538:  GW - Czyli gdyby przez przypadek ich dopadli kompletnie i tak dalej, to wiadomo, że po prostu są kłopoty i tyle.
4544:  BFP - Tak.
4545:  BFP - No i mamy ten naprawdę mocarny przeskok.
4548:  BFP - Ja byłem przekonany, że Bills ginie, tak swoją drogą.
4551:  BFP - Byłem absolutnie pewny, że Bills ginie i Frank rzeczywiście zostanie i kiedy Joel i Ellie dotrą tutaj, to będzie sam Frank, co byłoby całkiem przewrotne względem gry, ale nie.
4562:  BFP - 10 lat później i widzimy Franka śmiertelnie chorego, to znaczy chroniczna choroba, która postępuje, zakładamy, czy twórcy powiedzieli, że nie powiedziano, ale albo to jest zaawansowane Parkinson, albo właśnie stwardnienie rozsiane.
4581:  BFP - No i to jest, nie ukrywam, najpiękniejsza sekwencja całego serialu, która jest dla mnie po prostu druzgocąca, kiedy Frank
4592:  BFP - On obwieszcza, on po prostu informuje już po podjęciu tej decyzji, że to jest mój ostatni dzień.
4598:  BFP - Swoją drogą ciekawe, że tak bardzo osoby o odmiennych poglądach, bądź może trochę bardziej konserwatywnych zwracają uwagę na dwóch całoniucyjskich mężczyzn, ale nie zwracają uwagi na eutanazję.
4608:  BFP - Ale to taki mały off-top.
4611:  BFP - I to całkowicie zmienia dynamikę tego odcinka.
4614:  BFP - I Frank jest tak całkowicie zdecydowany, że to jest koniec.
4618:  BFP - To już jest moment, w którym wiem, że nie zostanę długo na tym świecie, chcę odejść na swoich własnych warunkach.
