Czy powinniśmy się bać SZTUCZNEJ INTELIGENCJI? Artur Kurasiński i Krzysztof M. Maj  |🚀28
2727:  AK - Róbcie te rzeczy, które być może nawet nie macie pojęcia, że one będą tym pierwszym ruchem motylich skrzydeł, które zmienią cały świat.
2734:  KMM - I nigdy nie wiadomo, czy w naszym zawodzie, który stereotypowo się nie kojarzy ze służbą inteligencji, właściwie się ona dzięki temu nie przyda.
2740:  KMM - Dokładnie.
2741:  KMM - Był z nami Artur Kurasiński, technorealista, przedsiębiorca.
2744:  KMM - Jeżeli jesteście zainteresowani jego działalnością, polecamy profile społecznościowe.
2748:  KMM - Na LinkedInie Artur jest szczególnie aktywny i Edukomiks Różo.
2752:  KMM - Co chcesz wiedzieć?
2752:  KMM - Co chcesz wiedzieć?
2753:  AK - Komiks edukacyjny dla dzieciaków, bo to jest też moja pasja, dawać i właśnie edukować dzieciaki.
2758:  KMM - Dzięki serdeczne Artur i widzimy się w następnym odcinku Bunkru Nauki.
2767:  AK - Patrzę na tą maszynę, czy ona nie spadnie jednak na głowę.
2770:  KMM - Dobra, fajnie.
