Patrz jak ZMASAKROWALI mojego Wiedźmina😞| Rodowód Krwi
🔗 https://www.youtube.com/watch?v=A_bkAVrvoR0
KMM (Krzysztof M. Maj)
JM (Jaga Moder, Legendystka)
DS (Dominika Skoczeń, Czerw Fantastyczny)
AK (Artur Kurasiński)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

29:  BFP - Kochani, już jesteśmy na żywo, już jesteśmy na żywo, wydzielimy sobie za moment czat.
3039:  BFP - I to wydaje mi się, że to jest taka niespełniona potrzeba twórców, żeby właśnie snuć taką historię, żeby stworzyć takie postaci.
3046:  BFP - Tylko ktoś to już zrobił.
3048:  BFP - I ktoś to zrobił wybitnie.
3050:  BFP - I to jest Legends on Vox Machina.
3052:  BFP - Legends of Vox Machina powstało i zaznaczę, że Artur jest tutaj bardzo często, znaczy nie tutaj, ale to się kiedyś zmieni, bardzo często przyjmuje dosłownie postać mistrza gry i prowadzi stołowe sesje RPG, o czym za moment powiesz kilka słów.
3066:  BFP - Ale Legends of Vox Machina tak się narodziło, w sensie Radek Pisula, który tutaj być może jeszcze z nami jest na czatach, mnie tym zaraził.
3072:  BFP - Radek przecież jest częścią kolektywu Spalmy To i tam bawią się właśnie w fabularne gry
3080:  BFP - Vox Machina dokładnie tak zaczynało.
3082:  BFP - Trupa kilku osób zaczęła się bawić w prowadzenie narracji poprzez fabularne RPG i to tak się rozrosło, że oni z tego zrobili anime.
3092:  BFP - Oni zrobili z tego Legends of Vox Machina, który można obejrzeć na Prime Video.
3096:  BFP - Jest znakomite.
3097:  BFP - Dlaczego?
3097:  BFP - Bo jest samoświadome.
3099:  BFP - bo tam wiemy, że to są postaci z RPG, ale nawet z tych postaci, które mogą być i narodziły się właśnie jako postaci kampanii stołowego, fabularnego RPG, to nawet one mają ciekawą osobowość.
3114:  BFP - Nawet z nimi można wiele zrobić.
3115:  BFP - Nawet je można ciekawie napisać.
3117:  BFP - Nawet między nimi można zbudować interesujące relacje.
3119:  BFP - Nawet jedna z nich może cierpieć na PTSD, a druga może nie godzić się na to, że tak naprawdę jest tłukiem, a trzecia może mieć...
3129:  BFP - Jakiś skryty crush względem innej osoby w tej drużynie, bo im to wychodziło podczas tych sesji, które mieli w granie w RPG.
3137:  BFP - I to jest tak naturalne, tak fajne, a tutaj mamy wrażenie, że tułkami byli ci, którzy napisali ten serial, bo coś słyszeli o grach fabularnych, o RPGach, bo trochę pograli w CRPGi, takie jak Ice Wind Day i stwierdzili,
3149:  BFP - to spełnimy nasze marzenie.
3150:  BFP - Po prostu opowiedzmy sześcioodcinkową, potem zredukowane do czterech odcinków, historię, która dokładnie będzie tym, czego nie dostaliśmy, kiedy graliśmy w Icewind Dale'a.
3158:  BFP - Opowiedzmy swoją historię no-name'ów.
3161:  BFP - Tylko oni pozostali przy no-name'ach, którzy nie mają żadnego ciekawego backgroundu.
3165:  BFP - Nie wiem, wydaje mi się, że naprawdę jak się obejrzy Legends of Vox Machina, to tym bardziej rozumie się, dlaczego do dupy jest Rodowód Krwi.
3173:  BFP - Bo można wziąć tę formułę i można to zrobić lepiej, w ogóle niezależnie od...
3178:  BFP - dziedzictwa tego, co stworzył Andrzej Sapkowski, który tutaj jest trawestowany.
3182:  BFP - Tomasz Mikołajczyk napisał, czy Netflix ma obowiązek stosować inkluzywność na siłę?
3186:  BFP - Czy jest to jakaś kasa dodatkowa?
3187:  BFP - Pastisz wyszedł, niepełnosprawność jest, nieheteronormatywność jest, Azjaci są, czarnoskórzy są, kulawi...
3193:  BFP - Smutek.
3194:  BFP - Nie wiem, czy kulawi to jest słowo, którego bym używał i rozumiem, że to taki trochę prześmiewczy komentarz, ale myślę, że podpiszę się pod tym, w zasadzie każda osoba, która w tym momencie bierze udział w dyskusji, dobrze zrobiona inkluzywność jest potrzebna.
3208:  BFP - dobrze, to znaczy tak jak na przykład w Sandmanie, tak jak Neil Gaiman zrobił to 30 lat temu w swoim komiksowym pierwowzorze, gdzie zarówno były osoby nieheteronormatywne, niepełnosprawne, Azjaci, czarnoskórzy, kulawych, nie wiem, nie widziałem, to był komiks, gdyby było audiowizualne i byłby ruch, może bym widział.
3225:  KMM - Ale byłbym...
3227:  KMM - Fantastyka zawsze to robiła.
3229:  KMM - Właśnie dlatego jestem taki tym zdenerwowany.
3232:  KMM - Charles Xavier jest, przepraszam, kim?
3235:  KMM - Przecież nie trzeba, żeby postać stała się kultowa właśnie.
3239:  KMM - Nie można jej charakteryzować właśnie tak jednowymiarowo.
3242:  KMM - Jeżeli jedyna rzecz, którą jestem w stanie powiedzieć jakiejś postaci, to to, że jest białoskóra, czarnoskóra, albo że nie ma nogi, albo że jest niemową.
3252:  KMM - Ten piękny przykład przywołany przez Dominikę ze Smoczego Księcia,
3255:  KMM - To jest jedna z najlepszych postaci tego serialu.
3258:  KMM - Co z tego, że jest niema?
3260:  KMM - Ja potrafię jej zrobić charakterystykę na cztery strony.
3262:  KMM - Oglądam jej wątek dla niej.
3265:  KMM - To naprawdę w przypadku narracji realistycznych jest tak bardzo często i to jest z niej problem, że będziemy reklamować, że tak, to jest reportaż o kurdach.
3276:  KMM - I to jest jego jedyną zaletą, że jest o kurdach.
3279:  KMM - Nie to, że jest dobrze napisane, tylko to, że jest o kurdach.
3282:  KMM - I teraz problem polega na tym, że jeżeli ten mindset przeszczepimy do fantastyki światotwórczej, to będziemy zawsze robić flopa, ponieważ fantastyka się sprzedaje czym innym.
3292:  KMM - Fantastyka się sprzedaje bogactwem świata, świetną fabułą, dobrze poprowadzonymi postaciami też, ale ważne jest to, żeby oni byli w świecie, który żyje i żeby to wszystko ze sobą grało, żeby tworzyło jakiś ekosystem,
3304:  KMM - Żebym ja miał takie poczucie, chcę zobaczyć jeszcze jeden element tej franczyzy Netflixa, jeszcze jedną animkę, jeszcze jeden serial, bo zainteresowała mnie ta postać, ten wątek, ta rasa, chcę tego więcej.
3316:  KMM - Tak robi człowiek, który jest dobrym biznesmenem jeszcze do tego wszystkiego.
3319:  KMM - Żebym teraz dla równowagi wprowadził argumentację, która jest kojarzona niesłusznie swoją drogą w Polsce z prawicą.
3325:  KMM - Tak, można robić na tym świetny biznes również, tylko że trzeba myśleć w pierwszej kolejności i trzeba rozumieć nie tylko materiał źródłowy, ale to w jaki sposób się tworzy fantastykę.
3334:  KMM - Dokładnie ten sam problem robi Rings of Power, tylko tam nie widzimy tego tak czytelnie, z tego względu, że budżet był 100 razy większy, ale problemy były dokładnie takie same.
3343:  KMM - Też było to niezrozumienie dla tego, w jaki sposób się tworzy tego rodzaju światy, więc myślę, że absolutnie podbijam tutaj te wasze wątki, natomiast problem polega na tym, że jestem w stanie wstawić wszystkie pieniądze, jakie mam,
3355:  KMM - Nie wierzę w tego wiele, ale powiedzmy na to, że jeżeliby Tomasz Bagiński słuchał nas, to by się nie zgodził w 100% od A do Z, bo on już ma inny mindset razem z Loren Hissrich i całą resztą.
3366:  KMM - Oni autentycznie wierzą w to, że jest kampania nienawiści przeciwko nim.
3370:  KMM - Jak się czyta fejsa Tomka Bagińskiego, to człowiek się robi smutny, jak sobie przypomni, że to jest człowiek, który zrobił kiedyś katedrę.
3377:  KMM - Nie jestem w stanie uwierzyć, że można się tak zmienić i można tak bardzo nie rozumieć gatunku.
3381:  BFP - Nie widział się go apartamentu, może dlatego tak ci się wydaje, że...
3385:  KMM - To jest dlatego dla mnie, domykając wątek Baglińskiego, zdumiewające, że on w Polsce, której nie było takiej tradycji tworzenia fantastyki kinematograficznej, stworzył katedrę i to był pewien fenomen i chciało się wierzyć, że idzie nowe, idzie świeże wraz z nim także do Hollywoodu.
3402:  KMM - Nie mogłem się bardziej pomylić.
3403:  BFP - Już oddaję głos tobie Jaga, jeżeli chciałbyś się do tego jakoś odnieść.
3408:  BFP - Axelaben napisał jeszcze Tyrion, przypominam.
3411:  BFP - No tak, Tyrion był osobą doskonale napisaną, z niepełnosprawnością, osobą niskorosłą, której naprawdę wiatr wiał w oczy i musiał iść pod prąd ze wszystkim co robił, ale to była znakomicie napisana postać.
3425:  BFP - Jaga?
3427:  JM - Tylko podbiję jeszcze to, że faktycznie z tą sesją RPG coś jest na rzeczy, dlatego, że nawet cała ta drużyna jest taka w sumie jak trochę wyjemny wydarzywcem z Badur's Gate, bo mamy, prawda, tank jest, jest mag, jest zdrowicielka, co my, kogo to mamy, potem na koniec łuczniczka się pojawia.
3446:  JM - I bard jednocześnie w jednej osobie.
3447:  JM - Bard.
3449:  JM - Także drużyna Wiedźmina, słuchajcie, wszystko się zgadza.
3453:  JM - Ja jeszcze może dodałabym coś do tego właśnie, że strasznie boli jednak to, że oni działają na takim poziomie właśnie tłumaczenia świata przez dialogi.
3464:  JM - To jest potwornie irytujące, bo wiecie, no jednak...
3471:  JM - Chce się widzieć ten świat, chce się widzieć jak on żyje, jak on wygląda.
3474:  JM - Niewiele daje właśnie to, że ktoś wytłumaczy wszystko na przestrzeni bardzo krótkiego dialogu, który na dodatek bardzo często się zmienia, bo nie wiem czy też zwróciliście uwagę na to, że postaci tam zmieniają swoją jakąś tam decyzję czy pogląd na coś na przestrzeni jednej minuty na przykład.
3491:  JM - Z jednej strony mamy wygnanie Fiala z rodu, bo tam się dopuścił czynu niegodnego z księżniczką, ale już 30 sekund później dostajemy informację, że właściwie to ojciec chce go z powrotem.
3504:  JM - Więc są takie też irytujące elementy, które niszczą wiarygodność tego, co się dzieje.
3510:  JM - I być może jest to powiązane z tym, co również pojawiało się na mediach społecznościowych twórców,
3517:  JM - gdzie argumentem na tego typu tempo serialu, czy to w jaki sposób jest prowadzona narracja, było to, że no w sumie przecież teraz młodzież to na TikToku tylko siedzi, tam są takie krótkie filmiki, no to im to będzie pasowało, nie będą widzieli niczego złego w tym, że narracja leci bardzo szybko, że się sceny po prostu urywają, że postaci są tylko nakreślone tam byle jako.
3541:  JM - Więc
3543:  JM - Jeżeli wychodzimy z takiego punktu wyjścia, że wszystkim się będzie podobało, bo oglądają TikToka, więc w sumie skoro tam jest poziom w dużej mierze gówniany, to możemy też zrobić gówniany serial i nam się to zwróci i wszyscy będą zadowoleni.
3563:  JM - Ja nie mam pytań właściwie.
3566:  AK - Ja mam z tym ogromny problem, bo to jest ta polityka, która doprowadziła do tego, że w mediach publicznych w Polsce mamy taki zalew głównej, kompletnej beznadziei, dlatego, że dokładnie tak się to tłumaczy.
3579:  AK - No przecież widzowie są głupi i oni oczekują disco polo, więc wrzućmy na rynek disco polo, zaprośmy jakiegoś przereklamowanego i starego zagranicznego artystę czy artystkę i niech oni będą gwiazdą naszego Sylwestra i tak dalej.
3595:  AK - Po tym o dziwo okazuje się, że ludzie jednak oczekują inteligentnych, fajnych, zrobionych z twistem, nowoczesnych seriali, propsują, nie wiem, The Burr, a na przykład totalnie zlewają taki rodowód krwi, bo mają, moim zdaniem, właśnie jest przesyt bylejakości, totalnego sprzyjania powszechnym gustom, dlatego że od tego są stacje, które od lat dowożą takie seriale, tworzą takie treści.
3624:  AK - Jeżeli jestem telewizją streamingową, to ja oczywiście muszę być komercyjna, no bo żyję z tego, że masa ludzi, upraszczając, będzie miała jakiś dosyć spłaszczony ten gust.
3633:  AK - Ale moim zdaniem nie ma nic złego w tym, żeby tak jak HBO próbuje od lat, im to kurczę jednak wychodzi.
3639:  AK - HBO zrobiło grę o tron, tak?
3641:  AK - O dziwo.
3642:  AK - Po raz kolejny HBO zrobiło genialny serial, który złamał konwenanse różnego typu społeczne umowy, pokazał nagość, pokazał przemoc, ale zrobił to w zupełnie inny sposób.
3654:  AK - Zrobił przy okazji jeszcze kilka innych wspaniałych seriali i to cały czas robi HBO, a na przykład Amazon mam wrażenie, że będzie miał dużego kaca po tym, co się okaże.
3662:  AK - jak zrobi drugi sezon ringów mocy, bo prawdopodobnie będą tak samo źle przyjęte jak pierwszy.
3670:  BFP - Ale to nie ma znaczenia, bo mają tyle pieniędzy, że mogą zrobić te swoje pięć sezonów.
3674:  AK - Wiem, ale wiesz co, jednak na końcu gdzieś stoi pan z tabelką, czy pani z tabelką i oni będą ci powiedziały, wiecie co, u nas fantasy się nie ogląda, kilujemy tego typu produkcje.
3682:  AK - I oczywiście to będzie miało sens dla Amazon Prime, ale nie będzie miało to sensu z punktu widzenia, bo to będzie nieprawda.
3689:  AK - To nie dlatego...
3690:  AK - u nich się fantasy nie klika, bo jest niefajne.
3692:  AK - Oni po prostu nie umieją robić tego fantasy.
3694:  AK - I tak jak patrzę na przykład na to, oglądałem, zaśmiewałem się do spółku, jest taki serial, nazywa się Our Flag Means Death, który jest parodią, jest ale świetnym też komentarzem i świetną powieścią.
3706:  AK - Oczywiście również zawiera elementy inkluzywne, jeżeli chodzi o kwestie piratów i łupienia i tak dalej.
3713:  AK - Ale to jest świadomie zrobiona produkcja, która jest komedią.
3719:  AK - Ja bym sobie życzył bardzo, żeby ktoś odszedł takiego sztandarowego właśnie patrzenia na fantezy w rodzaju Wiedźmina czy Dowodu Krwi i zrobił taką parodię.
3727:  AK - I myślę, że to się 200 razy lepiej oglądało.
3729:  AK - Gdyby te postacie były przerysowane,
3732:  AK - Gdyby to de facto były takie, no właśnie, tiktokowe produkcje, które czasami oglądamy w stylu, jak to w grach fantasy, jak w World of Warcraft, ludzie chodzą do wiosek i próbują tam wyrwać jakieś kolejne elementy od wioskowego kaczmarza, jak się dokonuje trading przedmiotów.
3749:  AK - To są śmieszne rzeczy, które bawią ludzi, bo oni grają w takie typu gry.
3752:  AK - I myślę, że to jest właśnie przepis na to.
3755:  AK - Przestańmy myśleć kategoriami, zróbmy serial fantasy tak, jak się robiło 15 czy 20 lat temu.
3761:  AK - I moim zdaniem to jest wielki problem z tym, że taka stacja też nie zaryzykuje.
3765:  AK - Czyli Netflix nie zaryzykuje zrobienia takiego serialu, dlatego że się boi.
3771:  AK - On pójdzie w coś, co jest
3772:  AK - Bardzo bezpieczne.
3775:  AK - Jest świetna gra wideo, która świetnie się sprzedaje na podstawie świetnej prozy takiego polskiego twórcy.
3781:  AK - Kupmy prawa i zróbmy dokładnie to, co zrobiła ta gra wideo, tylko z takim delikatnym swingiem czy switchem na amerykańską publiczność.
3787:  AK - I to okazuje się od samego początku.
3789:  AK - Moim zdaniem to, co powiedziałem rok temu.
3792:  AK - jesteśmy blisko odskilowania całości franczyzy Wiedźmina.
3796:  AK - To znaczy, ja nie twierdzę, że to stanie się jutro, ale jeżeli z tego serialu, z pieprza w podskokach Henry Cavill, który był utożsamiany, to były wszyscy kobiety medlały na jego widok, a faceci mówili, chciałbym mówić fakt, tak jak mówi to Henry Cavill, no to tej osoby już nie będzie.
3810:  AK - Więc dla kogo, po co ci ludzie teraz mają oglądać te kolejne sezony tego dziwnego Wiedźmina?
3815:  AK - Ja mam duży problem z tym, chociaż pokażę wam, mam koszulkę The Witcher, ale...
3820:  AK - Mam tę koszulkę The Witcher, która jest koszulką związaną z grą i nigdy takiej koszulki bym nie założył, która byłaby związana z serialem, bo czułbym cringe.
3827:  AK - I moim zdaniem showrunnerka za chwilę będzie miała bardzo duży problem, dlatego że to, co powiedziałem parę minut temu, jej zawsze do tej pory broniła kasa i efekty oglądalności, a teraz tego nie będzie.
3838:  AK - Przejrzałem sobie, jak wygląda Rotten Tomatoes.
3841:  AK - Przejrzałem sobie MDB, spojrzałem sobie film Webba.
3844:  AK - To jest tragedia.
3845:  AK - To jest show, który powinno normalnie się skillować po pierwszym sezonie.
3849:  AK - Ja mam wrażenie, że to jest ogromny sygnał alarmowy.
3852:  AK - I co wieszczę?
3852:  AK - Wieszczę to, że ktoś pójdzie po rozum do głowy i to już nie będzie ta pani, tylko zatrudnią inną osobę i zrobią kanoniczne, normalne, zwykłe opowiadania i książki Andrzeja Sapkowskiego, bo to się należy wszystkim nam i to będzie dobre.
3867:  AK - I mam nadzieję, że to się zadzieje, bo inaczej brnięcie w tą nędzę, która się nazywa, robimy seriale animowane i to było okej, ale tyłka nie urywał.
3877:  AK - Robimy jakieś dziwne, na podstawie zapisków na pudełko od zapałek, tudzież właśnie serwetce, jakieś miniseriale, które są rywane w połowie, rwane budżetami, to się zupełnie nijak do tego ma,
3890:  AK - W ogóle nie ma grama szacunku do tego, czym ta literatura Andrzeja Sapkowskiego jest.
3894:  AK - Jeszcze na zakończenie powiem, absolutnie uważam, że ktoś napisał sezon burz dla Andrzeja Sapkowskiego i to musiał być jakiś kiepski wody Ghost Rider.
3903:  BFP - Oddaję głos Dominice, ale o tym samym wątku przyszłości serialowego Wiedźmina i tej franczyzy w innym medium niż gry wideo bądź książki chętnie bym jeszcze z wami potem podyskutował.
3914:  BFP - Natomiast dwie rzeczy.
3915:  BFP - Powstała, a propos tego co powiedziałeś Artur, jedna dobra taka parodia fantasy.
3920:  BFP - Ona została wypuszczona w 2007 roku i była autorstwa Uwe Bolle'a, nazywała się Dungeon Siege w imię króla i tam Jason Statham grał postać, która miała na imię Farmer.
3929:  BFP - Jeżeli chodzi o komentarze, bardzo mi się podoba komentarz, który Dead Grammar przekazał, właściwie trochę tak podał dalej, bo to napisał nasz serdeczny kumple Radek Pisula.
3940:  BFP - Napisał
3942:  BFP - Odpaliłem tego nowego Wiedźmina, ale przełączyłem na kuchenne rewolucje, żeby jednak poczuć trochę magii i poobcować z dobrym fantazję.
3949:  BFP - Pani Magda takie pierożki robi teraz.
3951:  BFP - Puciate.
3952:  BFP - Także dobre fantazje jest na wyciągnięcie ręki.
3957:  BFP - Trzeba tylko wiedzieć, gdzie szukać.
3958:  BFP - Dominiko, oddaję Ci głos.
3961:  DS - No mi się wydaje, że żeby zrobić coś dobrego, trochę nieważne co to jest, to trzeba kochać to, co się robi albo przynajmniej to lubić i być tym zainteresowanym.
3973:  DS - Ja tego zupełnie nie czuję od twórców Wiedźmina i ja mam wrażenie, że oni...
3981:  DS - Po prostu chcą zrobić cokolwiek, co się sprzeda, no ale Wiedźmin się sprzedaje, więc po prostu ktoś bierze i googluje, ale dosłownie w pięć minut, jakieś rzeczy związane z Wiedźminem, żeby je wrzucić do tego serialu i dać taki sygnał ludziom, że to jest Wiedźmin.
3996:  DS - Ktoś tam sobie wygooglował, że o, magia chaosu, no to magia ognia.
3999:  DS - No w związku z tym, jak ten gość Jafar dostaje magię chaosu, no to robi te...
4006:  DS - strzela tymi płomieniami, no nie?
4007:  DS - Ktoś sobie wygooglował... Tak, ktoś sobie wygooglował jakieś parę lokacji, no nie, że tam jest jakaś jaruga, że tam jest jakaś cintra, że tam jest jakieś coś, to nie ma... Równie dobrze mogliby to nazwać XYZ, to by absolutnie nic nie zmieniło, bo te rzeczy nie są z niczym powiązane.
4025:  DS - I takich sytuacji tam jest kilka.
4026:  DS - Ktoś wygooglał, że są wiedźmini i wiedźmini są przez ludzi traktowani jak potwory, więc ktoś zrobił wiedźmina potwora, nie?
4034:  DS - Tak.
4035:  DS - No i tak po prostu przez cały serial.
4039:  DS - To jest jedna rzecz.
4040:  DS - Druga rzecz jest taka, że ja mam wrażenie, że oni w ogóle...
4045:  DS - Wzięli sobie za dużo bohaterów, jak na swoje umiejętności.
4051:  DS - Wzięli tych bohaterów siedmiu.
4053:  DS - Ja rozumiem, że to miała być taka, nie wiem czy można tak o tym powiedzieć, ale taka historia drogi, że to jest ta podróż do tej Cintry, no i oni sobie dobierają tych bohaterów, tych kolejnych członków drużyn, no zbierają drużynę po drodze.
4067:  DS - Ale po pierwsze w efekcie, ponieważ oni skrócili ten serial, to ta drużyna jest kompletna dopiero chyba w przedostatnim odcinku.
4074:  DS - W trzecim odcinku dopiero jest cała drużyna.
4077:  DS - Co oznacza, że dopiero wtedy możemy zacząć poznawać ich relacje jako całość.
4082:  DS - Oni się dopiero wtedy razem docierają.
4085:  DS - Więc postacie, które są na początku mają dużo więcej czasu ekranowego.
4088:  DS - Postacie, które są na końcu mają bardzo mało czasu ekranowego.
4092:  DS - Po drugie, przez to, że to jest tyle postaci, to oni...
4096:  DS - I jeszcze, ponieważ ci twórcy chcieli, żeby te postacie były jakieś prawdziwe, jakieś takie głębokie, żeby każda z nich dawała nam jakiś message, to te postacie mają strasznie dużo backstory.
4107:  DS - Moim zdaniem w ogóle Wiedźmin, przez Rodowód Krwi oczywiście, przez trzy czwarte swojego serialu jest po prostu historią o backstory, czyli historiach wszystkich tych bohaterów.
4120:  DS - Ale nie jest to zrobione w żaden ciekawy sposób.
4123:  DS - Oni po prostu od czasu do czasu ze sobą rozmawiają, tu wracamy znowu do ekspozycji w dialogach, o której mówiła Jaga, po prostu czasem ze sobą rozmawiają i opowiadają o tym, że ja miałem taką traumę, a ja miałem taką traumę, a ja przeżyłem to, a ja przeżyłem to.
4137:  DS - Kulminacja tego zabiegu, nie wiem czy można to nazwać zabiegiem, tego błędu,
4142:  DS - jest w trzecim odcinku, gdzie oni siedzą w tej jaskini i rozmawiają o swoich przeżyciach.
4149:  DS - I ja autentycznie wtedy już miałam naprawdę duży problem, żeby nie zasnąć.
4152:  DS - I jak kończyli tam rozmawiać, tam grają w jakieś karty, piją sobie alkohol, w którymś momencie sprawdziłam myszką, żeby zobaczyć, ile zostało jeszcze do końca odcinka.
4162:  DS - I z przerażeniem odkryłam, że nawet nie doszłam do jednej trzeciej.
4167:  DS - Naprawdę tak dużo, że ja byłam przekonana, że jestem już przynajmniej za połową.
4172:  DS - Więc to jest naprawdę duży problem tego serialu.
4176:  DS - Mi się wydaje, że to dużo lepiej by działało albo jakby wywalili część bohaterów, bo moim zdaniem zupełnie zbędną postacią jest ten człowiek z Irokezem taki.
4184:  DS - Ten, co dostaje w mach od Halka.
4191:  DS - Tak, i on w ogóle jest dla mnie kopią tego fiala.
4194:  DS - Nie różni się niczym, jest całkowicie zbędny.
4196:  DS - Nie no, ma przycięte uszko.
4197:  BFP - Ja pamiętam, że jak się kończył drugi odcinek, to widziałem, że ma przycięte uszko.
4200:  DS - Dobrze, że mu przycięli i trochę wygolili boczki.
4203:  BFP - Więc jest bardziej człowiekiem niż elfem.
4206:  DS - Moim zdaniem tą healerkę, czyli uzdrowicielkę też można by było wywalić.
4211:  DS - Spokojnie mógłby ich uzdrowić ten czarodziej, który robił te portale.
4216:  DS - Ten dobry czarodziej, który robił portale.
4218:  AK - Ten uprany na biało.
4221:  AK - Tak, w ogóle nie wiadomo, jak uciekł z tego więzienia.
4224:  DS - Właśnie to jest... Ja też się zatrzymałam i on w którymś momencie mówi i udało mi się uciec z więzienia.
4228:  DS - Ja myślę sobie, ale jak to się udało?
4230:  BFP - No to znaczy, że się udało.
4231:  BFP - No.
4232:  DS - Nie interesuj się człowieku, bo jak poznasz moją sekretną sztuczkę, to będziesz jej używał i potem więzienia będą już odporne na to uciekanie.
4240:  DS - Potem powiedzieli coś w stylu, że uciekłem, bo odkryłem, że te portale, które się robi przy menhirach, można się teleportować nie tylko do innego świata, ale między menhirami.
4252:  DS - I to nam miało tak zamydlić oczy, że on to odkrył będąc w tej celi i dzięki temu się teleportował i wyszedł z tej celi.
4260:  DS - Ale w ostatnim odcinku mówią nam, że ta cela jest wyłożona tym materiałem, który blokuje czary.
4267:  DS - I oni wszyscy praktycznie dotykają tych menhirów, jak się chcą nimi teleportować.
4272:  DS - Więc jakim cudem, nie wiem, czy on ma taką długą rękę, że wsadził ją między kraty w tej celi i dotknął tego menhira i w jakiś sposób jego ręka, która była już poza tą celą, go teleportowała?
4284:  DS - Strasznie mnie denerwuje ta maniera, że jeśli nie wiemy, jak coś zrobić, to po prostu nie pokażemy tego, potem stanie się to, co chcieliśmy, żeby się stało, a ktoś powie, stało się to za ekranem, więc ty, widzu... Mnie się podobało, jak ta cesarzowa powiedziała w pewnym momencie, jak ona już przejęła władzę, mówi, o, teraz, już w tym momencie, moi ludzie zajmują kolejne światy.
4305:  BFP - I narratorka mówi, i podbijali kolejne światy, i podporządkowywali sobie tych, co nie chcieli się podporządkować.
4310:  BFP - A tam dziesięciu gości idzie w jakimś innym świecie i w ogóle okazuje się, że tydzień minął mniej więcej.
4315:  BFP - W całej narracji minął tydzień.
4317:  KMM - Przypominam, że to jest ten sam świat, w którym są motomyszy z Marsa, które zobaczyliśmy w drugim sezonie Wiedźmina.
4322:  KMM - To jest dokładnie ten sam świat, z tą samą cudowną pustynią nuklearną.
4327:  KMM - Ale jeszcze jedna rzecz, jak już tak mówimy o kwestiach logicznych i spójności, mnie fascynuje i frapuje.
4332:  KMM - Wyobraźcie sobie, że jesteśmy na tej sesji RPGowej, no i mamy zadanie, że jest multiwersum i chcemy się przemieszczać między różnymi światami.
4338:  KMM - No ale mamy ten problem, że to nie jest sci-fi, więc nie można sobie wskoczyć we frachtowiec i polecieć.
4343:  KMM - No więc po prostu wymyślamy, jaki może być architektoniczny obiekt, który pozwala na podróże między światami.
4349:  KMM - No i jestem w stanie postawić znów dużo pieniędzy, z tych, których nie mam, że będzie to jakiś rodzaj brutalny.
4357:  KMM - tak, które buzły, portalu, albo bramy, albo łuku triumfalnego, no nie wiem, albo taka tarcza ładna, na którą się wchodzi i później jest teleport i robimy taki puf i przenosi się do innego ksiafa.
4369:  KMM - Albo stara szafa.
4370:  KMM - Sadzawka.
4371:  KMM - Ale nie Menhir!
4373:  KMM - Przecież Menhir nie służy do wchodzenia gdziekolwiek.
4378:  KMM - To jest debilizm!
4379:  KMM - Kto wymyślił, że Menhir generuje gejty?
4383:  KMM - Menhir nie generuje gejtów.
4384:  KMM - Jeżeli ktoś potrzebuje zobaczyć, jak wyglądało cholerne Menhir i obelisk, niech sobie pójdzie do Abu Simbel albo płynie Nilem w dół i zobaczy sobie, że będą dwa obiekty architektoniczne.
4396:  KMM - brama i obelisk.
4397:  KMM - I one się różnią między sobą.
4399:  DS - Jak ja zobaczyłem, że ten... Mogłyby być dwa menchiry, jeden obok drugiego i pomiędzy nimi byłoby... Tak, mieliby kuźwa, mieliby kuźwa więcej menchirów, więc dobrze.
4408:  BFP - W Diablo 2 tak było, że jak się kończyło loch, to na końcu był taki właśnie stożyk, jak się go kliknęło, to on cię przenosił z powrotem do miasta.
4415:  KMM - Okej, masz rację, jest wcześniej wykorzystanie obelisku, natomiast przynajmniej było to zrobione w taki sposób, że generował się portal wokół tego, a tutaj wychodziła jakaś stróżka energii z tego menhira i robiła takie kółko ładne z drugiej strony.
4429:  KMM - Boże, jakie to było głupie!
4431:  KMM - Nie jestem w stanie zrozumieć, nawet gdybym chciał brać niektóre elementy tego serialu,
4437:  KMM - jako swoje, swoiste dla niego i ignorować całego Wiedźmina, Sapkowskiego i Redowego, to nie jestem w stanie tego zrobić, bo postaci nie mają sensu, nawet nie ma takiej klasycznej RPG-owej drużyny.
4448:  KMM - Dominika już próbowała powiedzieć, że to jest uzdrowicielka, to jest jakieś rębajło,
4453:  KMM - Ale i tak nie mamy kompletu.
4455:  KMM - Nie jesteśmy w stanie poznać w ogóle motywacji tych ludzi i co więcej, jeżeli bym spojrzał nie w swoim stylu, bo o światotwórstwie naprawdę tu nie ma co mówić, bo go po prostu nie ma, jeżeli jest to błędne.
4467:  KMM - Jeżeli miałbym powiedzieć coś o fabule i ktoś by mnie spytał, ale Krzysztof, ale o czym jest w zasadzie rodowód, tak, krwi?
4475:  KMM - No to ja bym nie umiał powiedzieć, no bo to jest z jednej strony historia o tym, że jakiś mag próbuje sprowadzić z wymiaru chaosu jakieś bestie, z drugiej strony to jest historia o regentce, która objęła władzę, z trzeciej strony to jest historia o jakimś powstaniu, do którego nie doszło finalnie, ponieważ przypominam, że spichlerz był pusty, o który się bi, w zasadzie nie wiadomo, po co ten spichlerz został wprowadzony, ponieważ potem tuż nasza rebeliantka mówi, no, no, wprawdzie, wprawdzie ta nasza rebelia się nie udała i nie mamy ziarna,
4504:  KMM - No ale to tym gorzej, że nie mamy tego ziarna, to trzeba się tym bardziej zbuntować.
