Jak OBALIĆ pruską SZKOŁĘ w POLSCE? | Krzysztof M Maj
🔗 https://www.youtube.com/watch?v=atqWePD2GeM
KMM (Krzysztof M. Maj)
GK (Grzegorz Klimarczyk)

0:  KMM - W dzisiejszym odcinku.
3001:  KMM - Tak i my się tego uczymy po prostu i w którymś momencie dochodzimy do wniosku, no tak, tak, no ten człowiek, który jest wyżej nad nami ma władzę.
3007:  KMM - Wieśle razy usłyszałem od ludzi, że powinienem być ministrem edukacji, jak ja się z okazją razem obśmiałem i powiedziałem, naprawdę uważacie, że on cokolwiek by zmieniło?
3016:  KMM - Po pierwsze, po dwóch tygodniach miałbym już depresję kliniczną.
3019:  KMM - Po raz drugi w życiu przechodzono, a po miesiącu wszyscy by mi pisali w mediach, że przeniewierzyłem się swoim ideałom, a po dwóch miesiącach okazałoby się, że nie tylko nie jestem w stanie nic zmienić, ale przez presję polityczną zatrudniłem cały gabinet ludzi, którzy realizują dokładnie odwrotne rzeczy niż ja chciałem.
3036:  KMM - I mogliśmy to zauważyć swoją drogą przepięknie po ministrze Gowinie, który miał jeden dobry pomysł, to znaczy reforma oparta na konferencjach.
3045:  KMM - Konferencjach w całej Polsce z nauczycielami, z profesorami, z doktorami.
3051:  KMM - I wyszedł z naszego spektakularna porażka, bo część ludzi zbojkotowała to, bo powiedziała, że nie będzie przychodzić, część ludzi, która przyszła, to byli koniunkturaliści, którzy właśnie chcieli załatwić swoje własne interesy i finalnie skończyło się to na tym, że minister przyjeżdżał na tę konferencję, wygłaszał expose, do którego nie można było zadawać pytań, a potem przechodziliśmy do jakichś właśnie ustawionych referatów różnych ludzi, którzy i tak współpracowali wtedy z ministerstwem, a środowisko naukowe siedziało na sali i mogło sobie fukać z oburzenia.
3078:  KMM - Tak to się skończyło.
3080:  KMM - A zaczęło się od bardzo trafnego pomysłu, że tak nie da się zrobić reformy oświaty bez zrobienia oddolnej serii konferencji, spotkań uświadamiających ludziom, że problem nie tkwi w tym, że na liście lektur jest 15 pozycji, a nie 50, tylko w tym, że jest lista lektur np.
3096:  KMM - I to nie jest proste, bo w tym momencie 90% osób w Polsce, które tego słucha, mówi, my bredzi, lista lektur musi być, ponieważ te 90% osób w Polsce nie ma kontekstu i nie wie, że w takim Yale, czy Stanfordzie, czy gdziekolwiek indziej, listy lektur narzucanej o centralnie nie ma.
3114:  KMM - Więc możemy mieć w takiej sytuacji aspirację, że nie chcemy mieć drugiego Stanfordu, tylko drugi uniwersytet, gdzieś tam gdzieś, który się kompletnie nie liczy, prawda?
3124:  KMM - I nie przeszkadza nam to, że mamy oczekiwania, brzydko mówiąc, schizofreniczne, że z jednej strony chcemy być tym drugim Stanfordem, a z drugiej strony realizujemy wytyczne edukacyjne, które są dokładnie wbrew temu, jak wyglądają zachodnie uczelnie.
3137:  KMM - Pomijając jeden element, w obszarze którego górujemy, to znaczy u nas edukacja jest bezpłatna przynajmniej.
3144:  KMM - I to ich chwała Bogom, natomiast problem polega na tym, że na tamtych uczelniach wchodzi lobbying i wchodzą innego rodzaju metody nacisku, natomiast sama atmosfera studiowania czy uczenia się jest drastycznie inna i to jest coś, nad czym powinniśmy bezwzględnie popracować, tylko że tak jak mówię, to musi być uświadomienie, bo jeżeli...
3166:  KMM - 19 nauczycieli ze 100 będzie nieprzekonanych w 100% i będzie działało na rzecz tego, żeby było tak, było, tylko żeby były wyższe płace, a 80 nauczycieli, wiecie, tak może, tylko 70 powiedzmy, 60, że no tak może,
3181:  KMM - Może to jest racja, ale częściowo to nic nie zrobimy.
3184:  KMM - Znaczy musi być 80% ludzi przekonanych, że jest źle i trzeba to zmienić radykalnie, ewentualnie 20%, że tutaj pewne ustępstwa czy coś, tak?
3195:  KMM - A w tym momencie struktura ta procentowa jest zupełnie inna.
3198:  KMM - To znaczy jest mniejszość ludzi, która jest po stronie radykalnej właśnie nie reformy w zasadzie, tylko przeorganizowania kompletnego struktury myślenia o edukacji, finansowania jej organizacji, nauczania i przede wszystkim dostosowania do realiów cyfrowych.
3212:  KMM - Bo to jest ten największy problem.
3214:  KMM - W tym momencie paradoks polega na tym, że administracja państwowa jest lepiej przystosowana do realiów cyfrowych niż szkoła.
3221:  KMM - Mnie to przeraża, to znaczy w administracji państwowej jestem w stanie, założyłem firmę bez wychodzenia z domu, jestem w stanie rozliczać się bez wychodzenia z domu i teraz dowód cyfrowy mogę go wykorzystywać absolutnie wszędzie na telefonie.
3232:  KMM - A w szkole wciąż musiałbym mieć legitymację fizyczną na przykład, albo jak na uniwersytecie dawałem legitymację do pudełeczka, żeby wypożyczyć książkę.
3241:  KMM - I to w dalszym ciągu jest na uczelniach.
3243:  GK - Już są te legitymacje, ale faktycznie nie wszystkie szkoły to włączyły.
3249:  GK - No dobrze, no to tym bardziej bardzo Ci dziękuję za przyjęcie tego zaproszenia właśnie, bo to zwiększanie świadomości, to też się z Tobą zgodzę, że jeżeli przekroczymy tą, czy to będzie 70 czy 80%, ale musimy przekroczyć pewną magiczną liczbę, w której jakby większość będzie chciała bardzo daleko idących zmian.
3269:  KMM - I nie będziesz zachować się kompetencyjnie, wiesz, bo to też jest często ten problem, że o, nauczyciel z szkoły prywatnej to nie ma prawa głosu, o, albo tak jak usłyszałem wiele razy od dr. Mikołaju Marceli, o, uczysz na uniwersytecie to nie masz prawa głosu, gdy tymczasem nie wiedzieli, że on uczył także w szkole, nie?
3286:  KMM - To jest też ten problem, że ta wojenka kompetencyjna to wcale nie jest tylko między nauczycielami a uczniami, ale także jest między nami samymi w całym środowisku.
3294:  GK - to jeszcze mam jedno ogłoszenie parafiolne, że właśnie jeżeli będą takie osoby, które nas słuchają, a chcą zmienić ten system, mają ciekawe przemyślenia, to oczywiście mogą się do nas zgłosić, mail w opisie.
3307:  GK - Teraz byśmy chcieli zakończyć to dzisiejsze spotkanie.
3310:  GK - Przede wszystkim bardzo, bardzo ci dziękuję.
3313:  GK - Powiem ci Krzysztofie, że wiele się od ciebie nauczyłem, wiele takich inspiracji.
3319:  GK - Mam nadzieję, że też dodasz mi energii do tego, żebym nie stracił energii, którą tutaj poświęcam na to, żeby jednak nie poddać się i coś zrobić.
3330:  GK - Powiedz mi jeszcze na koniec,
3333:  GK - Jak można z tobą nawiązać kontakt i w ogóle, czy pomagasz w jakiś sposób w internecie, czy zajmujesz się takimi projektami niekomercyjnymi?
3341:  GK - To dla tych, którzy cię nie znają, jeszcze chcieliby coś więcej się dowiedzieć.
3347:  KMM - Śmiało można pisać do mnie na razie, nie mam wciąż jeszcze swojej strony, pracuję nad tym, ale na kanale na YouTube jest w zakładce Informacje kontakt mailowy do mnie, więc spokojnie można tak też, ponieważ jestem osobą publiczną jako nauczyciel akademicki, to też Uniwersytet udostępnia kontakt do mnie, więc to nie jest żaden problem.
3365:  KMM - Można też łapać mnie we wszystkich możliwych mediach społecznościowych, mam konto prawie wszędzie, gdzie się da.
3370:  KMM - i zwykle staram się odpisywać, więc jeżeli są jakieś projekty, w które mogę się zaangażować albo właśnie przekierować do kogoś, kto będzie ode mnie bardziej kompetentny, bo te sieci jednak kontaktów jakieś są, to bardzo chętnie oczywiście, że w czymś takim będę brał udział, zresztą zwykle właśnie biorę, lada moment będzie konferencja z duńskiej Woli organizowana przez Annę Szulc, gdzie właśnie będę prelegentem, jednym z wielu.
3394:  KMM - i będę tam zaangażowany warsztatowo, mimo że bardzo nie lubię wyjeżdżać z Krakowa, ale właśnie sprawa jest ważna, więc się angażuję.
3401:  KMM - Nie ma absolutnie sprawy, można się kontaktować.
3404:  GK - Bardzo serdecznie ci dziękuję.
3406:  GK - No i mam nadzieję, że jednak doczekasz się, że nie będziesz tak jak twoja rodzina, która gdzieś tam cię uczyła, jak wejść do tego systemu edukacji i nie będzie to trwało kolejne tam 20, 30, 40 lat i spotkamy się
3422:  GK - jeszcze kiedyś przy kawce i powiemy sobie, że coś się jednak zrobiło i coś się zmieniło w naszym systemie edukacji.
3428:  KMM - Tego sobie życzymy.
3429:  KMM - Tak, tego sobie życzymy, bo optymizmu i dobrej energii trzeba, bo to nie jest łatwy kawałek chleba, nie jest prosta praca.
3437:  GK - Dziękuję Ci bardzo.
3438:  KMM - Dzięki serdeczne.
3439:  GK - Cześć.
3441:  KMM - Do zobaczenia wszystkim.
