Jak nie błądzić w otwartym świecie (krótki poradnik dla designerów) / Krzysztof M. Maj / 18. SFI
🔗 https://www.youtube.com/watch?v=fb9QGVuAtcs

17:  Dzień dobry, witam wszystkich serdecznie.
3206:  nie oznacza to, że przy rozwoju ciągłym technologii nie będziemy w stanie tego procesu przyjemnić.
3211:  Jak ja zwykle na to odpowiadam, musimy poczekać aż Apple zrobi okulary wirtualnej rzeczywistości, a następnie jak Samsung zrobi je lepiej.
3222:  wtedy będziemy rzeczywiście mogli się kontentować w wirtualną rzeczywistość, która jest po prostu wygodna, nie?
3227:  Bo my mamy na przykład na AGK-u placownię badań wirtualnej rzeczywistości, w której ja bywam ekstremalnie rzadko, nie dlatego, że nie jestem patriotyczny, tylko dlatego, że jak ja widzę te rozstawione dziwne jakieś wskaźniki, widzę te handheldy,
3238:  Przede wszystkim czuję te 40 kilo na nosie okularów, to mnie się już robi słabo.
3243:  Ja już nie mam imersji, a mam mdłości bardzo często, bo jeszcze do tego wszystkiego mam cholerną chorobę lokomocyjną, która naprawdę w wiarze nie pomaga.
3250:  Więc to jest taki splot okoliczności, który sprawia, że ja na razie stawiam na AR i rzeczywistość rozszerzoną.
3256:  Przykład.
3257:  Fajnie byłoby, gdybym był w stanie na przykład wyłączyć sobie telefon i aplikację w telefonie, która daje mi interfejs jakiś, na przykład mapę do nawigowania po grze FromSoftu.
3267:  I będę w ten sposób w stanie swoje niedomagania jakoś uzupełnić rozszerzoną rzeczywistością bez ingerencji w projekt artystyczny gry.
3276:  Więc to jest ciekawe.
3277:  Natomiast myślę, że to jest pewien stereotyp, że imersja wiąże się wyłącznie z taką przestrzenną imersją, bo jest jeszcze imersja narracyjna, jak jesteśmy w... No dobra...
3286:  Jeżeli ktoś jest wkręcony w Warhammera, prawda, na przykład, no to niestety nie ma żadnego serialu praktycznie, który moglibyśmy oglądać, zwłaszcza aktorskiego.
3294:  Są animacje, jeszcze, oby był dobry, Henry Cavill daje pewne nadzieje, ale czy my nie mamy imersji, bo to są figurki?
3302:  No oczywiście, że mamy imersję, prawda, tylko ta imersja jest narracyjna, bo sobie odpowiadamy następnie 70 godzin loru, którego wysłuchaliśmy od lutina 9 na kanale, prawda.
3311:  Albo mamy imersję kinestetyczną.
3313:  To jest dla tych wszystkich, którzy lubią chociażby, nie wiem dlaczego, ale ten feedback haptyczny w kontrolerach, prawda?
3320:  Są ludzie, dla których to jest bardzo imersywne.
3322:  Ja raz byłem na przykład w kinie 4D na filmie Noe wybrany przez Boga.
3327:  To jest film, gdzie jest dużo wody.
3330:  I to było kino 4D.
3331:  I w którymś kluczowym momencie zaczęła we mnie sikać jakaś sikawka, żeby była imersja.
3336:  Nie było imersji.
3344:  Tu jeszcze ktoś jest.
3347:  Nawet dwie osoby.
3361:  Świetny design sali.
3363:  Dzięki.
3368:  Nie więcej rok temu na tej samej scenie mówiłeś o tym, że gry wideo są takim medium, które zawiera w sobie inne media.
3376:  I właśnie myślę, że świat trochę się zmienia i teraz widzimy takie rzeczy, że na przykład inne media zaczynają zawierać w sobie gry.
3386:  Chcę tak nawiązać trochę do seriali.
3390:  Też jak już masz tu GGWP, no to na przykład Dota też ma cosplay.
3397:  I pytanie, co o tym sądzisz i czy to nie jest objaw tego, że stosunek wobec gier się zmienia, że to już jest faktycznie jakby uznawane za taką prawdziwą sztukę, że prawdziwe medium, które można integrować z innymi.
3413:  przez mądrych ludzi na pewno, ale jak wiemy z rzeczywistością bywa różnie.
3419:  Myślę, że na pewno dużo zmieniła adaptacja serialowa The Last of Us.
3424:  Ona sporo zmieniła faktycznie.
3426:  Nie specjalnie jakoś uważam, żeby to był serial z tysiąclecia, tak jak niektórzy,
3431:  Po prostu mi się bardzo podobał, natomiast uważam, że jest zdecydowanie w nim za mało tego contentu, który był w grze, którą widziałem na streamach i to było o wiele bardziej emocjonujące przeżycie niż oglądanie od piątego odcinka w górę.
3442:  Co nie zmienia faktu, że rzeczywiście to się o ciupinkę zaczyna zmieniać, ale nie sądzę, żeby to była jakaś gigantyczna i szybka zmiana, bo po prostu tak to jest z mediami, że one...
3452:  bardzo dużo potrzebują czasu, żeby się zadomowić i gry wideo wciąż mają ten problem, ten mój problem, nie?
3458:  Tych cholernych tysięcy wywalonych po to, żeby się cieszyć dobrą grafiką.
3461:  I teraz, skoro już mówimy o The Last of Us, świetna premiera Naughty Dog wyszła w PC-towej wersji.
3467:  Coś wspaniałego.
3468:  Wczytywanie shaderów na Steam Decku?
3471:  Półtorej godziny.
3472:  Wczytywanie shaderów na GeForce 4090 na kanale Luka Stevensa?
3477:  20 minut.
3478:  Nie ma to jak sobie włączyć w grę w 2023 i czekać 20 minut aż się odpali.
3483:  Więc myślę sobie, że jest pewien problem z tym cały czas rosnącym też pułapem technologicznym.
3489:  I to jest problem do rozwiązania ASAP, bo dużo ludzi po prostu nie jest w stanie się cieszyć taką rozrywką, jaką ja się na przykład jestem w stanie cieszyć.
3496:  I mnie się to kompletnie nie podoba.
3497:  Ja bym chciał, żeby gry były o wiele bardziej dostępne i przystępne.
3500:  No i nie oszukujmy się, że też sporo osób będzie grało w gry mobilne i segment mobilny będzie cały czas rósł właśnie dlatego, że tam te ograniczenia technologiczne są w inny sposób rozstrzygane.
3511:  Chociaż ja na przykład się wkurzam, bo przez to w Gęsinie mam limit na moje mebelki w Imbryczku, bo mobilki i jest load limit i to mnie denerwuje, ale co tam.
