Kiedy BOJKOT ma sens, a kiedy zmienia się w ABSURD?
🔗 https://www.youtube.com/watch?v=95VZBqBvPNQ
KMM (Krzysztof M. Maj)
OR (Oskar Rogowski, Napisy Końcowe)
GW (Grzegorz Wątroba, Okiem Deva)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

20:  BFP - Szanowni, witajcie na, mam nadzieję, jednej z najciekawszych dyskusji w historii tego kanału.
3187:  OR - to będę w dużej społeczności i mój głos będzie gdzieś usłyszany i będę miał milion streamów, na które mogę wejść i napisać tej osobie, że jest transfobem.
3196:  OR - Kiedy będę robił to samo z Atomic Hearts, to będę, wiecie, w dużej mierze irrelevant w porównaniu do tego.
3204:  OR - Tylko pytanie brzmi, czy to ja mam być istotny w tej kwestii?
3208:  OR - To o mnie ma chodzić, kiedy ja robię ten protest?
3212:  OR - To ja mam zabłysnąć, pokazać, potem chodzić.
3215:  OR - Patrzcie, taki komentarz tutaj napisałem.
3216:  OR - Plus 10 respektu na dziennik.
3219:  GW - To jest piękna argumentacja.
3221:  GW - Czy to jest skupienie się na problemie, czy to jest skupienie się na sobie?
3225:  BFP - Tak, tak, tak.
3227:  BFP - Mati Kesz, już ci oddaję głos, Krzysztof.
3228:  BFP - Mati Kesz dokładnie napisał to, co teraz powiedzieliście.
3231:  BFP - Bo
3233:  BFP - Sygnalizowanie cnoty nigdy nie było prostsze dziś i to tak niskim kosztem.
3238:  BFP - Oddaję Ci głos Krzysztof.
3241:  KMM - Słuszne są też uwagi na czatach dotyczące tego, że w Polsce jest łatwiej, jak to określono, boykotować Atomic House niż Hogwarts Legacy.
3249:  KMM - Ja wam wyjaśnię dlaczego jest łatwiej.
3252:  KMM - Łatwiej jest z tego względu, że jeżeli ha-ha-ha aktywiści na Twitterze nie przekonali człowieka, któremu bliskie są sprawy osób nieheteronormatywnych i osób trans i ich dyskryminacji w Polsce,
3267:  KMM - który ma pieprzony doktorat z humanistyki i z filozofii i zajmuje się tego rodzaju rzeczami, zastanówcie się, czy przekona zdzisia, który po prostu jest sobie dobrym stolarzem i w którymś momencie usłyszał o tej sytuacji i sobie myśli, o Jezus Maria, co oni znowu wymyślili.
3284:  KMM - Tymczasem ten Zdzisiu i ja i szereg innych osób czytamy doniesienia z Rosji dokumentowane codziennie, non stop przez wszystkich, przez dobre kanały, przez aktywistów, składamy pieniądze nie dlatego, że wierzymy komuś, tylko dlatego, że mamy udokumentowane zbrodnie przeciwko ludzkości.
3304:  KMM - I opowiadamy się po stronie ukraińskiej nawet ci z nas, którzy pamiętają pewne polityczne zaszłości.
3312:  KMM - Dlaczego?
3312:  KMM - Dlatego, że są udokumentowane obiektywnie i racjonalnie zbrodnie i łatwo się tego dowiedzieć.
3320:  KMM - W związku z powyższym trzeba sobie zadać bardzo proste pytanie.
3325:  KMM - że być może dlatego jest nam łatwiej, że mamy więcej danych.
3329:  KMM - I pytanie, o które mówimy i powinniśmy sobie zadawać, brzmi następująco.
3335:  KMM - Czy wspieralibyście sprawę Ukrainy, gdybyście w internecie słyszeli, że jesteście zbrodniarzem wojennym?
3341:  KMM - Za każdym razem, gdy wychodzi ten temat i nie słyszycie nic więcej, nie jesteś po stronie Ukraińskiej, jesteś zbrodniarzem wojennym.
3350:  KMM - Ludzie w ten sposób, zwłaszcza konserwatywni, zwłaszcza pamiętający sprawę UPA i tak dalej, nie byliby po stronie ukraińskiej.
3357:  KMM - Na tym polega niestety sztuka argumentacji, na tym polega bycie, czy staranie się o intersubiektywność, o to, że uwzględniamy dużo różnych stanowisk i dążymy do tej prawdy i do obiektywizmu i staramy się dbać o ludzi właśnie, a nie o samych siebie i trzeba uwzględniać, że
3374:  KMM - Nie będziecie mieli do czynienia za każdym razem z ludźmi ze swojej banieczki.
3378:  KMM - No pewnie, no w ogóle najlepsza sytuacja byłaby taka, gdyby w tej rozmowie uczestniczyły wyłącznie osoby, które boykotują Hogwarts Legacy.
3384:  KMM - A jeszcze lepsza byłaby sytuacja, gdybyśmy zrobili tak w mediach, nie?
3388:  KMM - Że bierzemy dwójkę, którzy popierają, dwójkę, którzy nie popierają.
3392:  KMM - Joanna Senyszyn vs. Janusz Korwin-Mikke.
3394:  KMM - Let them fight, tak?
3397:  KMM - Świetnych konsekwencji to doprowadziło przez lata w Polsce.
3400:  KMM - Właśnie scementowały się dwa obozy.
3402:  KMM - Jeden wierzy w jedną prawdę, drugi wierzy w drugą prawdę, a jeden i drugi bredzi, ponieważ nie ma dostępu do faktów.
3408:  KMM - Więc trzeba dbać o dostęp do faktów i na podstawie faktów ludzie mogą podejmować decyzje konsumenckie.
3414:  BFP - Gulut napisał, do tego chcę się odnieść, może wy też będziecie chcieli.
3418:  BFP - Golut napisał, do Rowling należą prawa do świata i dostanie kasy z tantiem, żeby mogła dalej finansować swoje nienawistne poglądy i znajomych.
3426:  BFP - I tutaj nie ma nieprawdy, ona dostanie pieniądze z tantiem, tylko to jest dla mnie właśnie to, i nie obraź się Golut, popadanie w absurd.
3436:  BFP - Bo czy w związku z tym, że dostanie te pieniądze,
3440:  BFP - Znaczy, że my teraz powinniśmy całkowicie przekreślić cały ten fascynujący świat fikcyjny, który powstał, który tyle dobra może dać innym ludziom i tyle dobra wygenerował w przeszłości, bo jest powiązany z jakąś osobą, czy my mamy stwierdzić, nie da się nic dobrego już z tego wycisnąć?
3457:  BFP - bo zawsze będzie to skażone tym wirusem J.K.
3459:  BFP - Rowling.
3460:  BFP - Mogą to zrobić inni ludzie.
3462:  BFP - Warner Bros.
3462:  BFP - może się odciąć od J.K.
3464:  BFP - Rowling, tak jak zrobiło przy Fantastic Beasts.
3466:  BFP - Ale oni to zrobili.
3467:  S02 - Oczywiście, no właśnie o tym mówię.
3469:  BFP - Dziwię się, wcześniej już przy Fantastic Beasts, też dziwię się, że wcześniej o tym nie powiedzieliście.
3474:  BFP - Odcięli się od J.K.
3475:  BFP - Rowling, odcięli ją od występów publicznych, odcięli ją od tworzenia scenariusza, bo ona robiła dwa pierwsze Fantastic Beasts scenariusze, trzeciego bodajże już nie robiła.
3483:  KMM - Nie zaprosili na dwudziestolecie marki także, odtwarzali tylko wypowiedzi archiwalne.
3488:  BFP - Mamy kilka różnych poziomów.
3491:  BFP - uszczelniania się, tak?
3493:  BFP - Uszczelniania od tego wpływu J.K.
3495:  BFP - Rowling.
3495:  BFP - My nie odetniemy już nigdy jej autorstwa.
3498:  BFP - Prawa autorskie osobiste są niezbywalne.
3502:  BFP - Majątkowe są zbywalne.
3504:  BFP - Osobiste są niezbywalne.
3506:  BFP - Czy w takim razie, idąc tą twoją logiką, Gulut, naprawdę możemy powiedzieć trudno, trzeba wymyślić nowy świat.
3511:  BFP - Wyrzućmy do kosza i spalmy te dwadzieścia kilka lat istnienia świata Harry'ego Pottera.
3517:  BFP - Bo to już po prostu nie ma sensu.
3518:  BFP - Przepraszam, ale Batman jest cis-heteroseksualnym miliarderem białym, który wychodzi i z żywej pasji napierdala przez traumę biednych, wykluczonych ludzi, którzy wybrali drogę przestępczą, bo nie mieli innych możliwości i robi to od kilkudziesięciu lat.
3535:  BFP - A mimo to da się opowiedzieć im naprawdę fantastyczne historie i mimo to on zabiera mnie w ciekawy świat.
3541:  BFP - Ja nie będę bojkotował, chociaż gdybym miał przyjąć reguły, które dzisiaj się przyjmuje, to jest masa powodów, żeby skancelować Bruce'a Wayne'a.
3550:  BFP - Ba, czasem ci przestępcy są czarni.
3552:  OR - Jako osoba, która przeczytała trochę komiksów Batmania, bym się trochę kłócił z tego jego stuprocentową byciem hetero, ale... Ale dobra.
3561:  OR - Ale to jest piękna interpretacja, nie?
3563:  OR - To prawda.
3566:  OR - Nie, proszę bardzo.
3568:  GW - Tak, no bo też troszeczkę chcę już tak odejść od Hogwarts Legacy, bo nad tym już krążymy chwilę, Atomic Heart też, dlatego właśnie tak jak już proponowałem, wejdźmy jeszcze na jedną grę, która jest troszeczkę też powiązana z innym medium i może też trochę się poskupiamy na filmach, być może też muzyce, a mianowicie chodzi mi o osobę Justina Roilanda, któremu udowodniono...
3593:  GW - No bardzo toksyczne zachowanie, przemoc domową, tam też wchodzą jakieś elementy też przemocy seksualnej i mamy dwa media z nim powiązane.
3607:  GW - Po pierwsze grę High on Life przez Squanch Games, gdzie udzielał głosu, był dyrektorem kreatywnym, już go stamtąd zwolniono w momencie, kiedy
3617:  GW - Sąd dostał dowody na jego przestępstwa, a także serial Rick and Morty, którym też udzielał głosu.
3627:  GW - Był przecież twórcą.
3628:  GW - Co prawda teraz...
3632:  GW - nie, teraz tylko udzielał głosu, nie współtworzył scenariuszy, bo tym się już zajmuje cała tam armia scenarzystów.
3640:  GW - No ale, no właśnie i teraz, skoro wiemy, że ta osoba jest... Creepem.
3649:  GW - Toksyczna, jest toksyczna, jest, o jasne, wybaczcie, makaronizm, ale abusive i tak dalej, to
3660:  GW - Czy teraz, żeby jakoś nie wspierać go, chociaż on nie dostanie chyba z tego już żadnej kasy, ale czy medium powiązane właśnie z taką osobą zasługuje w ogóle na uwagę i czy należy kompletnie, high on life wyszło jak wyszło, ale właśnie Rick and Morty, czy powinniśmy przestać to oglądać?
3685:  BFP - Czy powinniśmy skasować poprzednie sezony w związku z tym, że facet okazał się creepem?
3689:  GW - Tak, dokładnie.
3691:  GW - No i tutaj jak inaczej do tego nie podejść niż właśnie starać się oddzielić medium od twórcy na zasadzie takiej, że do mnie należy decyzja, czy ja w takim razie będąc świadomym tego, jaki Justin Rowland jest i że udowodnione mu takie, a nie inne zarzuty, to czy...
3714:  GW - tak bardzo będzie mi przeszkadzała jego osoba, skoro jest powiązana z tymi dwoma mediami, że będę korzystał z nich dalej, czy nie?
3723:  GW - Bo to akurat każdy może zadecydować sobie, ale dodatkowo, czy w takim razie ktoś będzie się czuł na tyle na tym białym moralnym rumaku, że będzie komuś pokazywał palcem, że nie powinien też z tych mediów korzystać.
3742:  BFP - Tak, ja tylko zupełnie, bardzo mi się podobało to, że przytoczyłeś ten przykład Rolanda, bo ten gość okazał się no naprawdę creepem, to znaczy gościu wysyłał wiadomości do nieletnich dziewczyn, DM-ował je na Instagramie, obrażał je, używał języka, który normalnie używany jest w serialu Rick and Morty, co też pokazało jak bardzo jego charakter przenikał do tego serialu i
3766:  BFP - Sam Dan Herman, bodajże się nazywa ten drugi twórca, czy główny twórca Rick and Morty, powiedział, znam tego gościa, lubię go, ale rozumiem jakie są reguły gry, odcinam się od niego.
3779:  BFP - Twórczo, tak jak odcina się od niego twórczo wytwórnia, sprawa załatwiona.
3785:  BFP - I Warner Bros.
3785:  BFP - zrobiło to samo z Rowling.
3787:  BFP - To dlaczego nie możemy przyjąć tej samej miary do nich?
3790:  OR - To jest tyle...
3792:  OR - Ciężki temat, że jest on dla nas też bardzo świeży.
3796:  OR - Zwróćcie uwagę, że dopiero od tak naprawdę afery Herbiego Weinsteina, co nie było tak dawno temu, kiedy ruszyły ruchy w stylu MeToo i tak dalej, dopiero wtedy wyjęliśmy kilka cegiełek, przez które zajrzeliśmy do tego bardzo zgniłego podbrzusza Hollywood, ale też wielu branż.
3817:  OR - Z Hollywood najbardziej zostało tutaj prześwietlone.
3820:  OR - Ale
3822:  OR - To jest dlatego trudne, że popkultura powiedzmy związana z obrazem, to wiecie, od początku istnienia filmu było coś, czego dostaliśmy w brud.
3836:  OR - Mamy z tym masę wspomnień, mamy wspomnienia z dzieciństwa, ktoś oglądał jakiś swój ulubiony film, ktoś ma pierwsze wspomnienia z rodzicami, którzy zabrali ich do kina na X, coś tak dalej i
3847:  OR - Dowiedzieliśmy się właśnie lawinowo po Weinsteinie, jak bardzo ta woda sodowa uderzyła do głowy całej masy ludzi, która dzięki wspólnemu kolesiostwu i ręka rękę myje, tak, ja kryję ciebie, ty kryjesz mnie, działała nie lata, a dekady, przez co w bardzo brutalny i szybki, tak jak mówię, bardzo krótkim czasie odkryliśmy, jak masa naszych ukochanych dzieł jest przesiąknięta
3877:  OR - ludźmi, którzy może później, a niektórzy już wtedy, kiedy nagrywali nawet te dzieła, którymi się zachwycaliśmy, byli, mówiąc bardzo, bardzo, bardzo delikatnie, bardzo złymi ludźmi.
3890:  GW - I wydaje mi się... Przepraszam, skończmy, wybacz.
3895:  OR - Chciałem powiedzieć, że i w momencie, w którym, ponieważ jest to tak nowe, to
3903:  OR - Wielu z nas nie wie nawet do dziś jak do tego podejść i jak się z tym czuć.
3908:  OR - Mam na myśli tutaj czysto warstwę emocjonalną, którą każdy musi sobie gdzieś uporządkować, bo to nie jest coś, z czym borykali się nasi rodzice, to nie jest coś, z czym borykali się nasi dziadkowie, pradziadowie itd.
3920:  OR - Coś, na co my możemy spojrzeć i powiedzieć, dobra, to my będziemy inni, to my mądrzejsi od doświadczenia innych pokoleń możemy pójść własną drogą.
3928:  OR - Bo to jest początek tej drogi, bo jest początek dopiero zaglądania w te bardzo brudne sprawy.
3935:  OR - I za każdym razem, kiedy wychodzi taka kolejna afera, to jeszcze cały czas, wydaje mi się, jesteśmy w tym okresie wychodzących brudów.
3943:  OR - I teraz, odnosząc się do wcześniej poruszonego przez Filipa kwestii z samym Harrym Potterem, po raz kolejny nie znam tego świata, ale zdaję sobie sprawę, na tyle ile rozumiem, jaka jest idea tych dzieł, jak wiele ludzi mogło spojrzeć na te twory jako historię outsidera, który znalazł swoje miejsce przez to, że był inny niż otaczający go świat.
3966:  OR - Co działa zupełnie inaczej.
3967:  OR - Myślę, że masa ludzi mogła na tym się wychować, znaleźć w tym siłę, znaleźć w tym jakieś
3971:  OR - jakieś podejście, znaleźć jakąś moc samą w tym sobie.
3975:  OR - I tak, dla niektórych ludzi to potem, co się stało, jak się okazało, jaka była Rowling, kiedy pisała wiele rzeczy, słyszałem tam jakieś historie o jakichś goblinach, którzy są podobno bardzo nie złym pokazaniem.
3988:  OR - Jeżeli dobrze powiem, to był rzut na judaizm, ale nie pamiętam, nie znam treści.
3995:  OR - I w momencie, w którym... I wiele ludzi to odrzuciło.
3997:  OR - ale inni mają tak silne wspomnienia zapewne z momentów, w których Harry Potter mógł być dla nich jakimś oparciem.
4005:  OR - Może mieli bullying w szkole i jak rozumiem, Harry Potter też był w jakiś sposób, miał rodzinę, która się nad nim znęcała, coś w tym rodzaju.
4013:  OR - I może osoby, które znalazły w tym siłę, dalej mają tę siłę, którą pamiętają, którą z tego czerpali.
4020:  OR - I teraz właśnie pytanie powie się, czy powinni z tego rezygnować, czy powinni w imię wartości i w imię emocji, których oni nie czują,
4027:  OR - dalej iść w tą stronę, bo ja sam po raz kolejny mam dzieła, tak jak wspomniałeś, nie wiem, jak się czuję w kwestii Ricka i Mortiego, to jest świeże, to jest nowe, ja sam jeszcze sobie tego nie ułożyłem.
4038:  OR - Ja mam podobnie z moim absolutnie ukochanym serialem, na którym wyrosłem, czyli Różowe lata 70., gdzie aktor o nazwisku Masterson, który grał tam Stevena Hyda, jeszcze jego procesje się toczą, ale on jest oskarżany o absolutnie straszne rzeczy.
4057:  OR - To jest serial, na którym ja się wychowałem.
4060:  OR - Ale jednocześnie ja na przykład mam problem z oglądaniem, wracaniem do tego serialu.
4064:  OR - Mimo tego, że mam z nim wspaniałe wspomnienia, to oglądanie twarzy tego gościa, zdając sobie sprawę, co prawdopodobnie zrobił, to może okazać się, że jest niewinny, ale na to są bardzo małe szanse.
4076:  OR - Jest dla mnie dzisiaj trudne, więc rozumiem to podejście, ale jednocześnie nie jestem w stanie grubą krechą tego tak zamalować jednym ruchem, bo tak jak mówię, wydaje mi się, że to jest
4087:  OR - Bardzo świeża warstwa emocjonalna, z którą my jako społeczeństwo jeszcze sobie nie poradziliśmy i jeszcze wielu z nas nie było w stanie nawet ułożyć sobie tego we właściwy sposób, w naszych głowach i emocjach.
4100:  KMM - Szybko się odnoszę do jednej kwestii, to znaczy kwestia antysemityzmu pod te, że została podjęta przez ludzi, którzy nie czytali książek, a oglądali filmy, ponieważ...
4110:  KMM - to Warner Brothers zdecydowało o tym, żeby walnąć wielką gwiazdę Dawida w zamku Gringota.
4114:  KMM - Natomiast w powieściach mamy inny wątek, to znaczy taki, że gobliny były dyskryminowane przez społeczność czarodziejów, którzy odebrali możliwość używania różdżek.
4124:  KMM - W związku z powyższym, jeżeli jako coś możemy to interpretować, to raczej jako przedstawienie analogicznej formy dyskryminacji w świecie fantasy.
4131:  KMM - I tutaj jedną ważną rzecz tylko chciałem zaznaczyć, która
4134:  KMM - Pojawia się wtedy, kiedy mówimy o dziełach kultury, a nie tylko oceniamy aktywistów, influencerów i osoby, które mają zasięgi.
4140:  KMM - I nawiążę tutaj do Kevina Spacey'ego, bo od niego w zasadzie się dużo zaczęło.
4144:  KMM - Pamiętam, jak włączyłem Netflixa, jak ze studentami analizowaliśmy House of Cards i zobaczyłem, że wstecznie zostały podmienione wszystkie okładki House of Cards w taki sposób, żeby była tam Claire Underwood.
4157:  KMM - Co było bez sensu, ponieważ Claire Underwood nie była głównobohaterką tego serialu.
4161:  KMM - I pomyślałem sobie, że to jest interesujące, że wymazuje się postać retroaktywnie, wstecznie z uwagi na to, co zrobił aktor.
4167:  KMM - Jesteśmy lata później, zarzutów nie ma.
4170:  KMM - I to jest trudny temat, bardzo trudny, ponieważ ja w 100% ufam Anthony'emu Rappowi, bo to jest z kolei moja
4176:  KMM - Strategia to znaczy, biorąc pod uwagę to, jak bardzo ofiarom jest trudno mówić o molestowaniu i gwałtach, ja zawsze zakładam, dopóki się nie udowodni inaczej, że ofiara ma rację, mogę się mylić, możecie mnie na to zjeść, ale to jest moja prywatna decyzja.
4190:  KMM - Co nie zmienia faktu, że uważam, że to było nieodpowiednie, że odsunięto go od prac nad serialem.
4197:  KMM - Powinien być raczej kontrolowany, żeby na planie nic złego nie robił.
4204:  KMM - kamerowany, monitorowany non-stop, natomiast powinni byli dokończyć serial, ponieważ skutkiem tej decyzji jeden z najlepszych seriali, jaki kiedykolwiek powstał, ma beznadziejne zakończenie.
4214:  KMM - To jest jedyne, co osiągnięto, zauważcie, tym bojkotem konkretnie.
4218:  KMM - To znaczy, czy spowodowano, że w Hollywoodzie nie ma problemu molestowania?
4222:  KMM - Czy spowodowano, że mówi się o tym?
4224:  KMM - Tak.
4224:  BFP - Ale antycypowano to, co się stanie, gdyby wystąpił.
4227:  BFP - Tak jest.
4229:  KMM - Z tym się nie zgodzę.
4231:  KMM - Krótko mówiąc, jedna rzecz, którą mamy, to to, że serial został zakończony beznadziejnie.
4235:  KMM - Natomiast chodzi mi o to, że to wszystko jeszcze się łączy z naszymi interpretacjami, prawda?
4240:  KMM - To znaczy, jeżeli znowu w House of Hals byłyby takie wątki, one byłyby kloryfikowane, no to wówczas nie byłoby wątpliwości, że coś jest mocno nie halo.
4247:  KMM - Natomiast jeżeli nasza interpretacja tego, że uważamy, że ktoś był portretowany tak jak a tak, w związku z powyższym trzeba zlikwidować ten świat, to jest wciąż tylko interpretacja i zwracam uprzejmie uwagę, że to w Polsce nauczono nas, że istnieje interpretacja jedna, ta zatwierdzona ministerialnie i ją trzeba wszystkim narzucić.
4264:  KMM - Nie, interpretacje są różne.
4265:  KMM - Więc tak długo jak długo mówimy o dziełach kultury i utworach artystycznych, to w porządku.
4269:  KMM - Ale jak zaczynamy oceniać właśnie działania pojedynczego człowieka, Kevin Spacey, no to zaczynają się problemy.
4275:  KMM - Nawet u takiej osoby jak ja, która, jako się rzekło już, zakłada, że to ofiara ma rację.
4281:  GW - No ale wciąż, jeżeli chodzi o Space A, no to cały czas jest wyczekiwany ten proces, bo część zarzutów odrzucono, bo brakło dowodów i tak dalej, no ale faktycznie, skoro jest to podejrzenie, no to powinno się trzymać pieczę nad taką osobą, zwracać uwagę na niepokojące sygnały, ale nie skazywać tej osoby, zanim jej nie osądzono prawidłowo, tak?
4306:  GW - Co innego jak w przypadku, bo jeszcze chcę nawiązać do powiedzmy pewnej
4310:  GW - Świeżości ran też w tym zakresie i przestępstwem na tle seksualnym w przypadku Harvey'ego Weinsteina właśnie, o którym też było wspomniane i Oscar wspominałeś, bo to jest właściciel Miramaxa, Dimension i Weinstein Company, czyli wyprodukował m.in.
4325:  GW - zakochanego Shakespeare'a, za którego dostał Oscara, Gangi Nowego Jorku.
4329:  GW - Jest związany z produkcją 9, co było całkiem niezłe akurat z musicalem, ale był też związany z produkcją większości filmów Quintina Tarantino, czy też trylogii Władcy Pierścieni.
4342:  GW - No i co?
4344:  GW - I co teraz?
4345:  GW - Gdzie jemu udowodniono przestępstwa.
4348:  GW - A jego związek z tym wytwór... Tak, tak.
4350:  BFP - 23 lata na 23 lata jest skazany.
4356:  OR - Ale to mało tego, jakby zobaczcie sobie jakiekolwiek nagrania Złotych Globów, czy innych imprez branżowych, do momentu, w którym wyszły przestępstwa Harvey'ego Einsteina, jak cała masa aktorów i reżyserów, których pewnie znacie i kochacie, zachwala go, że on jest wspaniały.
4374:  OR - Nie pamiętam, czy Tarantino, czy Cate Blanchett powiedziała, że on jest bogiem Hollywood.
4377:  OR - Cate Blanchett.
4380:  OR - Właśnie, która też cała masa aktorów i aktorek, reżyserów, wszystkich osób, które było związane.
4385:  BFP - Czy oni też powinni zostać skancelowani?
4387:  OR - Trzymali się za rękę z Harveyem Weinsteinem i teraz właśnie o to chodzi.
4390:  OR - Natomiast jeśli chodzi o Spacey'ego, to chcę do tego wrócić, bo ja mam trochę inne podejście jednak.
4395:  OR - Kevin Spacey, po pierwsze, jasne, wiele procesów się nie odbyło, ale zdajecie sobie sprawę, że ludzie, którzy mieli zeznawać, poumierali.
4407:  OR - I to nie było umieranie na zasadzie... To były wypadki i samobójstwa.
4412:  OR - To były rzeczy, które... I to jeszcze... Ja jeszcze nie zakładając foliowej czapki mógłbym mówić pewne rzeczy, ale w momencie, w którym oni zaczęli umierać i nagle Kevin Spacey nagrał ten strasznie creepy materiał...
4425:  OR - którym dosłownie jest Frankiem Underwoodem, ale on mówi to jako Kevin Spacey, o zabijaniu ludzi uprzejmością.
4432:  OR - W chwili, kiedy ludzie, którzy powinni zeznawać, że gość, rzeczy, które robią, nagle zaczęli umierać, to już nie ma hamulców moralnych.
4442:  OR - To jakby już na tym etapie nieważne,
4446:  OR - To jest ważne, ale czy to on miał cokolwiek wspólnego z tym, że ci ludzie umarli?
4452:  OR - Nagranie filmiku w takim tonie, w takim momencie, kiedy dzieją się postępowania w twojej kwestii, kiedy ludzie, którzy powinni znawać umierają...
4461:  OR - Sorry, ten gość jest potworem.
4465:  KMM - Jest absolutnym potworem na tym etapie.
4467:  KMM - To jest bardzo dziwna sytuacja.
4468:  KMM - Zauważcie, że Spacey zrobił coś, co samo zatarło, prawda?
4472:  KMM - Granicę między odgrywaną przez niego postacią, a nim jako człowiekiem, który ma zarzuty.
4477:  KMM - Tylko, że tak jak słusznie ktoś na czacie napisał, nie pamiętam kto, bo szybko mi miga.
4482:  KMM - rekastować postać Franka Underwooda.
4485:  KMM - Natomiast wybrano rozwiązanie, które było katastrofalne, to znaczy usunięto postać z serialu, by ona nigdy nie istniała i to jest właśnie to naruszenie tej granicy między cancellingiem, a wpływem na twórczość artystyczną i dzieło sztuki, które my w ten sposób nie możemy go ocenić dobrze, bo końcówka serialu House of Cuts była straszna i dlatego o tym wspomniałem, że zauważcie, że to było paliwem z kolei dla wielu środowisk ultrakonserwatywnych, które powiedziały...
4512:  KMM - Zobaczcie, zobacz, mamy dowód co się dzieje, jak lewica nam zabrania i się zaczęło, nie?
4518:  KMM - I ja w takiej sytuacji, no jestem w takiej samej głupiej pozycji jak jestem w przypadku tych bojkotów aktualnych, o których rozmawiamy.
4526:  KMM - No nie mogę nie przyznać racji w sumie, tak?
4528:  KMM - To znaczy zostały popełnione błędy w sytuacji,
4532:  KMM - w której absolutnie nie mogą one być popełniane.
4534:  KMM - Ci ludzie mają sztaby PR-owe, mądrych ludzi, doradców, którzy podejmują decyzje i idą w najgorszym możliwym kierunku, który rozpala debatę publiczną i sprawia, że zamiast żebyśmy dyskutowali więcej na temat molestowania w środowiskach, które są zamknięte, gdzie ciężko jest udowodnić winę, gdzie ciężko jest zgromadzić dowody, no to zapominamy o sprawie, nie?
4555:  KMM - No właśnie...
4557:  BFP - Ja pozwolę sobie teraz mały wtręt.
4561:  BFP - Bardzo się cieszę, że powiedziałeś, Grzegorz, o Harvey Weinsteinie i potem podjąłeś jeszcze ten wątek Oscar i poczyniłeś analogię między nimi a J.K.
4569:  BFP - Rowling.
4570:  BFP - Harvey Weinstein miał większy wpływ na powstanie tych filmów, które tak ubóstwiały, włącznie z trylogią Władcy Pierścieni, niż J.K.
4577:  BFP - Rowling miała na Hogwarts Legacy.
4579:  OR - Znacznie większy.
4581:  BFP - Jemu udowodniono winę i on poszedł do więzienia.
4585:  BFP - A my się spieramy o to, czy J.K.
4587:  BFP - Rowling na pewno jest transfobką, bo tutaj nawet są opinie podzielone i zdania.
4593:  GW - U nas jest już kwestia nawet, czy jest transfobką, czy nie, tylko że ludzie w internecie obsmarowują gównem drugich ludzi za to, że grają w grę, która jest oparta częściowo na świecie osoby i to idzie już w kolejne pochodne.
4606:  GW - A tutaj oglądanie filmu finansowanego przez potwora, tak?
4610:  GW - No...
4611:  BFP - I wychodząc jeszcze od tego przypadku nieszczęsnego Harvey'a Weinsteina, od tego przypadku Justina Rolanda, któremu postawione te zarzuty przemocy domowej, a nie tylko właśnie niewłaściwego zachowania względem nieletnich, chciałem się odnieść wciąż w temacie bojkotu do postaci Merlina Mansona.
4630:  BFP - który to Marilyn Manson został publicznie oskarżony przez wiele kobiet, w tym Evan Rachel Wood, aktorkę, która grała między innymi w Westworld, o to, że znęca się nad nimi, czy znęcał się nad nią, że wykorzystywał ją seksualnie, że uprawiał również grooming.
4645:  BFP - To słowo, które myślę jeszcze wróci tutaj niejednokrotnie podczas naszej dyskusji.
4649:  BFP - I Evan Rachel Wood wielokrotnie, zanim nazwała Marlena Mansona po imieniu i nazwisku, chociaż to jest jego stage name, mówiła o tym, że coś takiego spotkało.
4658:  BFP - Zeznawała pod przysięgą w kongresie Stanów Zjednoczonych, mówiąc o tym, że kobiety padają ofiarom przemocy seksualnej itd.
4665:  BFP - I teraz uwaga, żeby skomplikować sytuację.
4668:  BFP - Kilka dni temu, ku uciesze wielu osób,
4672:  BFP - pojawiają się nagłówki.
4673:  BFP - Modelka utrzymywała, że gwałcił ją Merlin Manson, teraz wycofała zarzuty.
4677:  BFP - Zaprzeczę, że namawiała oskarżycielkę Merlina Mansona do fałszywych zeznań, mówi Evan Rachel Wood.
4682:  BFP - O co chodzi?
4683:  BFP - Otóż jedna z byłych partnerek Merlina Mansona, Ashley... Zaraz... Ashley... Na razie powiedzmy po prostu, że Ashley.
4693:  BFP - Ashley Smithline.
4694:  BFP - Ashley Smithline rzeczywiście wycofała swoje zarzuty.
4697:  BFP - Powiedziała, nie, Merlin Manson się nade mną nie znęcał.
4701:  BFP - Jej linia obrony była następująca.
4704:  BFP - Rozmawiając z Evan Rachel Wood, tak bardzo zasłuchałem się w jej historię, że ona manipulując mną zaszczepiła mi fałszywe wspomnienia.
4712:  BFP - Po czym przyszedł adwokat jej i powiedział, chwileczkę, ja nie złożyłem tych dokumentów dotyczących pozwół.
4719:  BFP - wobec Merlina Mansona, sam z siebie.
4722:  BFP - Ona mi kazała.
4723:  BFP - A ona powiedziała, nie, nie, mój adwokat złożył je sam z siebie.
4725:  BFP - Więc mamy trzy możliwości.
4727:  BFP - Aha, w ogóle jak pojawił się ten news, to masa komentarzy mężczyzn na dzień dobry.
4732:  BFP - To było, mówiłem, mówiłem.
4735:  BFP - Taka przychodzi Ashley Smith Line i okazało się, że kłamała.
4737:  BFP - Mówiłem, nie, chwileczkę, mamy trzy możliwości.
