Dlaczego Uciekamy do Innych Światów? | ESKAPIZM
🔗 https://www.youtube.com/watch?v=4x794OViL7I
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
JM (Jaga Moder, Legendystka)
DS (Dominika Skoczeń, Czerw Fantastyczny)

20:  BFP - Fikcja i fantazja.
3059:  KMM - I dopiero potem, potem późno, późno, jak ja zacząłem dopiero się otwierać na inne gatunki, przeszedłem z pozycji, istnieje tylko muzyka klasyczna i żadna inna, na poznawanie całej reszty muzyki.
3070:  KMM - I wtedy też dołączył się taki drugi nurt u mnie muzyki, która ma sprzyjać imersji, bo Filip tylko częściowo miał rację mówiąc, że nie było tematu muzycznego, bo u mnie się pojawił właśnie ten John Williams przy książce.
3083:  KMM - I to zostało mi do dzisiaj, że słucham muzyki jako ilustracji do jakiejś czynności,
3088:  KMM - I najczęściej jest to muzyka powtarzalna, ambientowa, elektroniczna, czasem techno, ale spokojniejsze, czasem jest to jakaś muzyka z gry, ale zawsze jest zapętlana, to jest ciekawe, że mam taką swoją playlistę, gdzie jest większość utworów pozapętlanych.
3100:  BFP - Wydaje mi się, że w kronikach świata zostało zapisane, że po raz ostatni słowa techno ktoś użył w 1997 roku.
3107:  BFP - Także bijemy pewne rekordy tutaj już na tym streamie.
3113:  DS - To w ogóle jest najlepszym dowodem na to, do czego możecie doprowadzić, do jakich osiągnięć możecie doprowadzić siła nienawiści.
3120:  DS - On tak nienawidził nut, że wystarczyło mu raz przeczytać i już znam na prawdę.
3124:  BFP - On tak nienawidzi padów,
3126:  BFP - do gier z konsol, że wykorzystał swoje umiejętności palcowe do tego, żeby grać na klawiaturze w soulslajki i idzie mu to całkiem nieźle, dzięki temu, że właśnie wygrywał chociażby Bacha na pianinie.
3139:  KMM - Ale ja mam taką myśl, która może przeprowadzić... Wiesz Filip, jak się nazywają tego rodzaju numery pianistyczne Bacha?
3145:  KMM - Mianowicie nazywa się je z tego palcówkami.
3150:  BFP - Ja mam taką jeszcze myśl, która teraz mnie naszła,
3153:  BFP - I naprawdę to się pojawiło, podoba mi się ta emergentność naszej dyskusji, bo każdy z nas coś dostaje od razu od kogoś innego jako zaczątek kolejnego zdania, czy kolejnego akapitu, który może wyjść z naszych ust.
3168:  BFP - I w moim przypadku, jak tak sobie myślałem o muzyce, ale słuchałem tego, o czym ty mówisz Krzysztof, o wygrywaniu też tej muzyki, tego jak akt czynności prowadził cię do...
3178:  BFP - innego świata, który tworzyły dźwięki i ta czynność, to ja pomyślałem muzyka, tak, ona mi towarzyszy wszędzie, zawsze, ale pomyślałem koncerty.
3189:  BFP - Znaczy obejrzeć film i wejść do świata to jest jedno, ale na przykład sam akt pójścia do kina,
3197:  BFP - jest dla mnie naprawdę wyłączający mnie z reszty świata.
3200:  BFP - W sensie w kinie jest mniej dystraktorów, jest mniej czynników, które sprawiają, że oczywiście mogę czasem spoglądać na telefon i to nie jest najzdrowszy nawyk, szczególnie w kinie, ale to tam generalnie bardziej się czuję i to słowo, którego będziemy pewnie zaraz używali, zanurzony.
3217:  BFP - Jest głębsza imersja i teraz tak myślę, no chociażby koncerty Tula, na których miałem przyjemność być, no ja nie pamiętam chyba większego zanurzenia niż wtedy.
3227:  BFP - Znaczy ja czułem coś, czego nigdy wcześniej nie doświadczyłem.
3230:  BFP - I wiecie, ostatnio przeżyłem coś takiego, mógłbym powiedzieć, że po raz ostatni, kiedy przeżyłem znowu coś po raz pierwszy, jeżeli chodzi o eskapizm, to były słuchowiska, fonopolis, Wiedźmina.
3243:  BFP - To była diuna czytana przez Krzysztofa Gosztyłę.
3247:  BFP - To jest niezwyciężony Lema w superprodukcji audioteki, której teraz słucham.
3253:  BFP - To jest coś niezwykłego, w sensie tego wcześniej nigdy nie czułem, że moja wyobraźnia robi tyle podczas czynności takich jak na przykład jazda na rowerze albo chodzenie po mieście i załatwianie spraw.
3262:  BFP - I to jest moje pytanie do Was.
3265:  BFP - Czy przychodzą wam na myśl jakieś formy eskapizmu, które odkryliście albo niedawno, albo jakiś czas temu, ale wydawało wam się, że już wszystko znacie w tej mierze, że już zasmakowaliście, że wiecie czego się spodziewać, kiedy bierzecie książkę do ręki, audiobook, przepraszam, e-book będzie tym samym, albo że graliście w gry i w sumie niewiele już was może zaskoczyć, ale nagle natrafiacie na coś tak głęboko, mocniej wciągającego, jak właśnie koncert, spektakl, jakieś doświadczenie imersywne,
3295:  BFP - Jeżeli tak, to co by to było?
3300:  DS - To ja mogę zacząć w takim razie.
3301:  DS - Proszę.
3303:  DS - No właśnie jakieś wyjścia do teatru czy takie inne rzeczy, to nie jest mi coś szczególnie obcego.
3309:  DS - No zdarzyło mi się być i nawet było fajnie, ale to już było jakiś czas temu, pewnie z rok temu, już nie pamiętam, ale udało mi się wreszcie wybrać po raz pierwszy na Cirque du Soleil.
3321:  DS - Nie wiem, czy ktoś z was kiedyś był.
3324:  DS - Ale poszłam tam i po prostu byłam w szoku, tak najzwyczajniej w świecie, jakie to było fantastyczne.
3331:  DS - Ja w ogóle to oglądałam i ja miałam wrażenie, że tam w ogóle się dzieje jakaś magia na estradzie.
3337:  DS - Ci ludzie wyczyniali tak niesamowite rzeczy.
3340:  DS - I pozornie przynajmniej większość z tych sztuczek, no bo jeśli ktoś z was nie wie, to Cirque du Soleil to są akrobaci, którzy robią takie bardzo rozbudowane przedstawienia.
3352:  DS - Tam naraz się dzieje historia, ale właśnie to wszystko jest obudowane i w światła, i w jakieś rekwizyty, i właśnie w te wszystkie niesamowite rzeczy, które ci ludzie robią.
3360:  DS - Nie wiem, skaczą z jakichś 10 metrów na batuty, potem wlatują z powrotem na górę, robią jakieś salta i tak dalej, i tak dalej.
3367:  DS - Ale to są takie
3368:  DS - to mimo to nie jest to samo, co się widziało w cyrku.
3372:  DS - Ja parę razy byłam w cyrku jako dziecko, za cyrkiem szczerze mówiąc nie przepadam za bardzo, więc już ani razu tam nie poszłam, zwłaszcza, że trzeba by się było interesować dokładnie o losy zwierząt, które tam są aktorami.
3383:  JM - Ja ostatnio widziałam, chciałabym zaznaczyć, że ostatnio widziałam plakat Zalewskiej, weszłam też, znaczy cyrku Zalewskiej, weszłam też na ich stronę.
3390:  JM - Zwierząt już tam się nie uświadczy.
3392:  JM - Są tylko popisy akrobatyczne i nawiązania do popkultury, na przykład Spiderman się pojawia, Batman i tam są różne jakieś takie… Pies przebrany ze Spidermana.
3403:  JM - Nie, nie, w ogóle zwierząt nie ma, ludzie przebrani ze Spidermana i akrobatycznie się popisujący.
3409:  DS - Ale ten Cirque du Soleil to właśnie jeszcze na dodatek jest takie wspaniałe połączenie różnych rzeczy naraz, no bo mamy niby tych akrobatów jak w cyrku, ale równocześnie jest tam cała historia, narracja, która się dzieje od początku do końca, rewelacyjna muzyka do tego jest dołączona.
3423:  DS - Także ja strasznie polecam, jeśli ktoś nie był, to jest to coś, na co zdecydowanie warto wydać pieniądze i się tam udać, bo
3430:  DS - te dwie godziny, czy ile to tam trwa, to po prostu macie wyjęte z życia.
3433:  DS - Macie wrażenie, że przyszliście, zobaczyliście jakieś cuda i koniec.
3439:  DS - I ten czas gdzieś zniknął, nie wiadomo kiedy.
3444:  BFP - Od razu przyszła mi znowu myśl do głowy i Jaga, jak byliśmy w Amsterdamie, ty opowiadałaś mi o London Dungeon.
3453:  BFP - Tak.
3453:  BFP - I byliśmy chyba w Amsterdam Dungeon?
3456:  JM - Tak, tak.
3457:  BFP - Opowiedz, to było fantastyczne.
3461:  JM - To jest w ogóle taka sieć, tak jak tam, gdzie się pojawia gabinet figur woskowych Madame Tussauds, tam pojawia się też zwykle dungeon, ale w zależności od jakiego miejsca, to właśnie ta nazwa tego miasta jest z przodu, czyli np.
3479:  JM - Amsterdam Dungeon.
3480:  JM - Boże, nie mogę tego mówić.
3481:  JM - Podziemia Amsterdamu.
3487:  JM - Dokładnie, albo londyńskie jest też.
3489:  BFP - Holenderskie Kazamaty Ciemności.
3492:  JM - I to jest o tyle fajne, że tam jest duża przestrzeń zagospodarowana, która jest stylizowana na jakieś takie podziemia i tam zaangażowani są aktorzy w pełnej charakteryzacji, które oprowadzają zwiedzających po wielu, wielu pomieszczeniach,
3510:  JM - Łącząc taki delikatny dreszczyk horrorowy z historią danego miejsca.
3516:  JM - Czyli na przykład w Londynie słyszymy opowieści o Kubie Rozprówaczu, o wikingach.
3526:  BFP - Wszystkie ulubione rzeczy Krzysztofa.
3528:  JM - o Elżbiecie Bathory, a z kolei jak na przykład byliśmy właśnie w Amsterdamie, to tam było coś o piratach, nie wiem czy pamiętasz jakoś bardziej, chyba coś było o czarownicach płonących na stosie.
3540:  JM - W każdym razie dużo jest tam takich zrobotyzowanych elementów, że na przykład wchodzimy do pomieszczenia, które jest pod pokładem statku i nawet się ruszają, tak jakby fale poruszały całym statkiem, ruszają się różne elementy.
3556:  JM - Są wybuchy, nagle się pojawiają jakieś dziury w ścianach i jest bardzo tak interaktywnie na zasadzie właśnie takiej, że jest wizyta w takim jakimś zakładzie cyrulika, kogoś z widowni biorą na krzesło, tam zapasowują go i niby tam upuszczają krwi, także dużo tego się dzieje.
3578:  JM - Ja uwielbiam to miejsce i zawsze jak jestem w mieście, w którym coś takiego jest, to tam idę.
3583:  BFP - I no nie wiem, też swoje jakieś wrażenia może opowiedz, bo... Nie no, to jest taki escape room, z którego nie można uciec, więc bardzo fajne miejsce.
3591:  KMM - Nie, znaczy dla mnie... Z każdymi pasami tam się czepią.
3594:  BFP - Znaczy w ogóle, jak mnie otworzyła na takie imersyjne i eskapistyczne doświadczenie, które wcześniej nie znałem, na przykład opera, która jakby rządzi się zupełnie innymi prawami i pobudza umysł w inny sposób niż normalnie spektakl teatralny by pobudził, no bo to jest jednak śpiewana historia, gdzie emocje właśnie wyrażone przez głos, ekspresje aktorów i też pewna
3619:  BFP - mimika, gestykulacja odgrywają znacznie większą rolę niż w sytuacji, w której po prostu opowiadam.
3624:  BFP - Dlatego siedziałem i patrzyłem w libretto i cały czas pytałem, ale dlaczego on tak robi?
3627:  BFP - Dlaczego on to śpiewa cały czas?
3631:  BFP - Albo na przykład pamiętam, jak byłem w teatrze muzycznym i było takie wydarzenie, kurczę, zapomniałem, ale takie wydarzenie, gdzie bębniarze tam siedzą i grają.
3641:  BFP - I to było bardzo, bardzo...
3643:  BFP - zauważyłem, jak teraz przypomniałem sobie o tym Amsterdam Dungeon, tych lochach, to, że faktycznie czasem jak już się siedzi głęboko na przykład w fikcji, czy w kulturze, to dokładnie tak jak powiedziała Dominika o tym Cirque du Soleil.
3657:  BFP - Mam wrażenie, że my dzięki temu, że kochamy to i tym żyjemy i jesteśmy tak chłonni, to mamy bardzo takie wrażliwe kubki smakowe, jeżeli chodzi o te doświadczenia.
3668:  BFP - I bardzo odczuwamy czułkami swoimi, jeżeli coś się nowego pojawia.
3674:  BFP - i chłoniemy to on od razu i wydaje mi się to jest bardzo fajne życzyłbym sobie jedyna moja obawa okej jeszcze VR został którego ja mało doświadczałem ale kurcze mam trochę taką obawę że a co jeżeli tego będzie coraz mniej jeżeli będziemy mieli coraz mniej takich nowych lądów do odkrycia jeżeli chodzi o eskapizm może nie
3693:  BFP - Krzysztof i też ty Jaga, czy wy macie na myśli albo w pamięci świeże właśnie jakieś takie doświadczenia eskapistyczne, które były inne od tego wszystkiego, co do tej pory znaliście?
3705:  KMM - Ja muszę podjąć wątek operowy, bo jak pocisnąć trochę za mało, zaznaczę tylko, że opera polegała na tym, wtedy kiedy została wymyślona, że ludzie szli tam.
3715:  KMM - My dzisiaj idziemy na, no nie wiem, Poland Rock czy coś takiego, znaczy zakładano, że po prostu będziemy sobie tam jeść, plotkować, podpatrywać innych w lożach i tak dalej i wszyscy zamykali się dopiero wtedy,
3727:  KMM - kiedy było to, na co wszyscy przyszli, to znaczy aria, ta jedna, dla której się słucha 4 godziny opery, znaczy nie słucha się, dlatego oni mają recitative tam, to znaczy sobie po prostu recytują, nikogo nie obchodzi, co oni tam mówią, właśnie można zajrzeć do libretto, w razie czego, a okej, dobra, i gadamy sobie dalej, i pijemy alkohol, i jemy sobie, natomiast dzisiaj ludzie, znaczy stoperia, przychodzą do opery i 4,5 godziny,
3753:  DS - W milczeniu.
3755:  DS - Martwa cisza.
3757:  KMM - Autentycznie, tak?
3758:  KMM - Za każdym razem, jak gdziekolwiek szedłem, tak to wyglądało.
3761:  KMM - Było straszne.
3762:  KMM - I nigdy nie zapomnę, ja byłem na operze, która trwała 5,5 godziny albo 6,5 godziny i ja już myślałem, że umrę.
3768:  KMM - Natomiast jeżeli chodzi o nowe formy,
3771:  KMM - To było zaskakujące dla mnie, nie zaskakujące, że dowiedziałem się tego od studentów, ale zaskakujące, ponieważ nie spodziewałem się, że jeszcze jest jakieś medium, którego nie znam właśnie w tym wymiarze eskapistycznym.
3783:  KMM - I studenci mi podrzucili coś, co się nazywa Blockade Labs, to jest AI do tworzenia środowisk cyfrowych, 3D.
3790:  KMM - I ja złapałem się na tym, że parę razy wytworzyłem takie środowisko, ja chciałem zostać w tym świecie dłużej.
3798:  KMM - Więc podejrzewam, że jeżeli eksperyment Metaversum zostanie przeprowadzony w porządniej od samego początku, na nowo w zasadzie, i najlepiej nie przez Zuckerberga, tylko przez ludzi, którzy się na tym znają, to wtedy dostaniemy narzędzie, które będzie najpotężniejszym wymiarem eskapizmu,
3813:  KMM - pod warunkiem, że ludzie będą mogli za jego pośrednictwem tworzyć sobie swoje własne metawersa, zapraszać tam ludzi, pracować tam, odpoczywać, słuchać muzyki, cokolwiek.
3823:  KMM - Wtedy rzeczywiście będziemy mieli do czynienia z taką sztuką najwyższego eskapizmu.
3828:  KMM - No i też pod warunkiem tylko właśnie, że ludziom się da możliwość tworzenia.
3831:  KMM - Bo dla mnie eskapizm jest nierozerwalnie związany z imersją artystyczną.
3836:  KMM - Musi być jakiś artysta, który to stworzy.
3838:  KMM - który będzie tym zaangażowany i który porwie innych.
3841:  KMM - Więc metaversum, gdzie wszyscy wyglądają tak samo i wszyscy są tymi śmiesznymi ludzikami, które Zuckerberg zobaczył sobie w Simsach 2, nie ma najmniejszego sensu.
3850:  KMM - Natomiast metaversum, które polega na tym, że każdy z nas wykrawa dla siebie kawałek tego serwera i świat otworzy, po czym zaprasza ludzi, z którymi na przykład nie może się spotkać w przestrzeni fizycznej tam właśnie, albo po prostu udaje się tam, żeby w bardziej komfortowych warunkach, to znaczy nie ślęczeć z ośmiostronnicami, tylko sobie po prostu czytać,
3868:  KMM - chłonąć wrażenia, o, to byłoby coś niesamowitego.
3872:  BFP - Właśnie wpadły mi do głowy jeszcze dwie rzeczy takie, które były niezwykłym nowym doświadczeniem, ale Jaga, może ty masz jeszcze jakieś?
3878:  JM - Tak, mam.
3879:  JM - Co prawda nie jest to takie najświeższe z moich doświadczeń, ale parę lat temu, jak byłam w Londynie, to miałam taką możliwość, dzięki mojej hostce, znajomej mojej mamy,
3892:  JM - pojawić się na paru sztukach w takich teatrach ofowych londyńskich.
3897:  JM - Pierwszy z nich to był, nie podam Wam dokładnie nazw tych teatrów, bo nie pamiętam już, natomiast pierwsza sztuka, na której byłam dotyczyła Kurska i to było takie jakby relacja tego, co się mogło dziać właśnie wewnątrz Kurska i było to tak wciągające ze względu na to,
3921:  JM - że widownia stała jakby wewnątrz zbudowanej tej sceny, która miała obrazować przestrzeń tej łodzi podwodnej.
3929:  JM - I były tylko takie żółte jakby taśmami korytarze wykrojone, którędy przechodzili aktorzy.
3935:  JM - W związku z tym było się totalnie jakby w środku tych wydarzeń, na stojąco cały spektakl się odbywał, widownia nie mogła usiąść,
3943:  JM - I to było bardzo, bardzo intrygujące i rzeczywiście można się było w tym mocno zatopić.
3949:  JM - Natomiast drugi taki spektakl, na którym byłam i który zmiótł wszystko i myślę, że są marne szanse, że zobaczę spektakl, który przebije to.
3961:  JM - To był spektakl, który stworzyła grupa Shant i nazywał się Money.
3968:  JM - I polegało to na tym, że zbudowana była jakaś taka konstrukcja metalowa pośrodku wielkiego hangaru i do tej konstrukcji metalowej się wchodziło.
3977:  JM - Była dość niewielka widownia, chyba tak max 20 osób.
3980:  JM - W każdym razie było to takie pełne zanurzenie, pełne doświadczenie, ponieważ do środka tej konstrukcji wprowadzali cię ludzie z bronią, niby.
3991:  JM - zakapturzeni, w ogóle zamaskowani, trafiało się do ciemnego pomieszczenia, nie wiadomo było co się dzieje, jakieś dziwne odliczanie, nagle później robiło się jasno, spadały jakieś kurtyny, się znajdowało w zupełnie innym miejscu i w trakcie tego przedstawienia
4008:  JM - było po pierwsze bardzo interaktywnie, po drugie przechodziło się między piętrami i na każdym z tych pięter działo się coś innego, cały czas historia dotyczyła pieniędzy, różnych jakichś tam przejawów.
4018:  JM - Nagle otwierały się jakieś klapy w podłodze, z których wychodzili ci aktorzy, jakiś, nie wiem, człowiek w ręczniku, który z sauna, który akurat wyszedł, bo tam jakaś był taki wątek.
4028:  JM - Więc to było bardzo, bardzo wciągające, bardzo zaskakujące i...
4033:  JM - trzy godziny, bo tyle mniej więcej trwała ten spektakl, siedziało się po prostu czy też chodziło z otwartą szczęką, zafascynowanym w oczekiwaniu, co też następnego będzie i jaka będzie konkluzja tej sztuki.
4048:  JM - Konkluzja była smutna oczywiście, że pieniądz jakby...
4052:  JM - nie jest dobrze wykorzystywany w różnych sytuacjach i uczestnicy mogli się poczuć jakby z nich zrobiono sobie jaja na koniec, ale to było świetne.
4063:  JM - Naprawdę to było świetne.
4065:  JM - Żałuję bardzo, że w Polsce nie ma takich teatrów offowych, nie ma takich funduszy, bo to jest mega doświadczenie.
4072:  BFP - A gdzie to było?
4073:  BFP - Powiedz jeszcze raz.
4074:  JM - To było w Londynie.
4075:  JM - Grupa się nazywała Shunt.
4078:  JM - A nie powiem ci dokładnie w jakiej dzielnicy londyńskiej, ale gdzieś bliżej centrum.
4084:  BFP - To ja mam jeszcze dwie takie mini historie.
4086:  BFP - Może rozpali to wasze żarówki i też coś będziecie mieli jeszcze do dorzucenia w temacie naszym eskapizmu i takich właśnie innych doświadczeń.
4095:  BFP - Ale teraz sobie przypomniałem, że jedno z pierwszych takich potężnych przeżyć, które były
4100:  BFP - osadzone w świecie rzeczywistym, może inaczej, zacierały granice między światem fikcyjnym a rzeczywistym, to był Disneyland, czy też Disney World, Disneyland, nie mam pojęcia jak to się nazywało, jak pojechałem do mojej babci, babcia wyklęta z Paryża, pojechałem tam do niej i miałem 7 czy 8 lat i to było... Filip, Filip, teraz się mówi niezłomna.
4125:  BFP - Niezłomna, tak, tak, tak.
4128:  BFP - Oj, ona jest niezłomna niestety.
4131:  BFP - I pamiętam, że spędziliśmy tam cały dzień w tym Disneylandzie i oczywiście było dokładnie tak, jak mówiła Dominika na początku, czyli siedziało się i oglądało się, przecież w ramach wieczorynek też były bajki Disneya, no między innymi Kubuś Puchatek.
4147:  BFP - Nie mówię, że Kubuś Puchatek był moim ulubieńcem, jak tam szedłem, ale absolutnie chłonąłem wszystko, co się działo.
4154:  BFP - I pamiętam, jedna z pierwszych rzeczy, ja nie wiem, jak w ogóle to funkcjonowało i o co chodziło, ale było zejście pod ziemię i była jakaś historia, 80 tysięcy mil podmorskiej żeglugi, dobrze pamiętam?
4165:  BFP - Taki był tytuł.
4166:  BFP - 80 tysięcy mil podmorskiej żeglugi, tak.
4174:  BFP - I pamiętam, że była taka szyba, która wyglądała jak, no nie wiem, szyba w kajucie.
4181:  BFP - I było widać wodę, która płynie pod i było widać taką ogromną mackę.
4186:  BFP - Ale taką zaciemnioną mackę, którą było widać przez tą szybę.
4190:  BFP - Mnie, moja mama nie mogła stamtąd zabrać przez godzinę.
4193:  BFP - Ja stałem i ja gapiłem się w tą jedną mackę, co już było zwiastunem tego, że będę miał zajoba na punkcie Lovecrafta i Bloodborne.
4199:  BFP - Ale stałem, patrzyłem na tą ciemną mackę, a to było dopiero wejście do Disneylandu.
4204:  BFP - I wszystkie rekwizyty, które tam były, właśnie jakaś wyspa piratów, gdzie się po prostu płynęło po wodzie i piraci wyskakiwali, krzyczeli coś do ciebie i latali na linię nad twoją głową.
4216:  BFP - Znaczy wszystko, co tam było, było totalnie takim imersywnym doświadczeniem.
4220:  BFP - Może poza myszką Miki, która podchodzi i nie wiem, co tam chłopcze, to może to było mało pociągające, ale wszystko pozostałe,
4228:  BFP - Co wymagało jakiegoś skupienia się także na tym, żeby nie wypaść chociażby z jakiegoś wagonika czy gondoli.
4234:  BFP - Było ekscytujące.
4236:  BFP - Słynnie przypomniałem sobie wyjazd z moimi przyjaciółmi na kawalerski wieczór mojego jednego z przyjaciół do Energylandii obok Krakowa.
4246:  BFP - Energylandia jest przezabawna.
4248:  BFP - I pamiętam, że wtedy sobie postawiłem taki cel, że o, pamiętam jak kiedyś w Disneylandzie pojechałem do Disneylandu i rzeczywiście nie wpuścili mnie tylko...
4256:  BFP - na jedną atrakcję i to był jakiś tam rocket, nie jump, tylko jakiś tam rocket shot.
4262:  BFP - I tam moja ciocia poszła, a okazało się, że nie mogłem, chociaż dali mi wyższe buty, bo byłem za mały.
4267:  BFP - Myślę, że dalej jestem za mały na to, ale nieważne.
4269:  BFP - W każdym razie moja ciocia pojechała, więc ja stwierdziłem, że w Energylandie zaliczę absolutnie wszystkie atrakcje, jakie były.
4275:  BFP - I pamiętam, że to był jeden z najbardziej gorących dni w roku i zaliczyłem absolutnie wszystkie atrakcje ze swoimi przyjaciółmi i była taka jedna, gdzie tam, nie wiem, 5G było jakieś obciążenie czy cokolwiek.
4286:  BFP - Ja byłem tak zapalony na to i byłem gościem, który stał cały czas w kolejce i mówił, idziemy, idziemy, idziemy, idziemy.
4291:  BFP - Przez pięć godzin nie słyszałem na ten temat głowy i stoimy w kolejce i taka 30-minutowa kolejka, mówię, ale pojedzie, ale jestem tym hype manem, jestem gościem, którego wynajmuję się na wszelkiego rodzaju wesela, żeby chodził z mikrofonu i mówi, kto nie pije wódki, kto nie pije wódki, ten nie skacze do góry.
4306:  BFP - No więc ja byłem tym gościem, który stoi w tej kolejce, nie może się doczekać i dostałem udaru słonecznego i odpadłem i w ogóle siedziałem pół przytomny, oni poszli wszyscy na to 5G, a ja zostałem.
4317:  KMM - W twojej opowieści pasuje mi wszystko oprócz tego, że ten przyśpiewka brzmi, kto nie skacze ten zuje o tu.
4324:  BFP - Ale jeszcze jedna rzecz, która teraz przyszła mi do głowy, która faktycznie jest jednym z ostatnich moich nowych doświadczeń skapistycznych, to jest granie i tu naprawdę to jest laurka także dla wszystkich, którzy piszą to na czacie, to jest granie w gry fabularne.
4337:  BFP - W sensie rozumianym papierowe gry fabularne czy stołowe gry fabularne, gdzie jest też wcieleniowość.
4344:  BFP - I faktycznie bawimy się też w twórce, sami tworzymy te dialogi i sami sobie tworzymy te postaci i tak sobie myślę, że LARP mnie zaczyna pociągać.
4354:  BFP - Zresztą ja pamiętam Jaga, no przecież ty chyba jeździłaś na Pyrkon i tam było dużo, ty chyba byłeś.
4360:  BFP - Larpiarą, tak można powiedzieć?
4361:  BFP - Larpowcem?
4363:  JM - Ja chyba tylko w dwóch w życiu Larpach brałam udział i to były takie Larpy, no wiecie, takie trochę bardziej dla znajomych, ale z kolei mam znajomych, którzy regularnie po pierwsze na Larpach bywają, po drugie je tworzą.
4377:  JM - Po trzecie zbudowali pod Przemyślem w okolicy wsi Kuńkowce coś, co się nazywa Wioska Fantazy i tam bardzo dużo LARPów się odbywa, takich w klimacie właśnie Wiedźmina, jakichś takich pseudośredniowiecznych i tak dalej.
4392:  JM - To jest super miejsce swoją drogą.
4395:  DS - Krzysztof mi obiecał, że będzie ze mną grał w RPG, ale na razie cały czas się wykręca, że nie ma czasu.
4400:  DS - Także proszę na czatach namówić Krzysztofa, żeby wreszcie znalazł czas.
4403:  KMM - Wszyscy myślą, że ja się wykręcam, że nie mam czasu, a może tak naprawdę ja faktycznie nie mam czasu.
4408:  DS - A czy ty myślisz, że ja mam czas?
4411:  KMM - No właśnie, nie, że to jest... Ja powiem tak, że ja mam niesamowity respekt do wszystkich, którzy są w stanie ogarniać RPGi, ponieważ ja jednak potrzebuję jakiegoś feedbacku wizualnego i nie ukrywam, że LARP mnie pociąga.
4423:  KMM - Nieprawda, mówiłeś, że ci się podobało.
4425:  KMM - Ale rzeczywiście, jestem bardzo uprzejmym graczem.
4427:  KMM - Natomiast, jak wiecie, na przykład Zamek Czocha, on jest słynny, bo tam zamykają tam ludzi na Larpie Podterowskim i oni muszą tam grać tę rolę, na którą się zgadzają.
4438:  KMM - Płaczą i grają.
4439:  KMM - Wszyscy są w stronę.
4440:  KMM - mają różdżki i wszyscy mają oczy szeroko zamknięte.
4443:  DS - Nie ma problemu.
4445:  DS - Jeśli to jest to, czego potrzebujesz, żeby się dobrze bawić, że jesteś zmuszony i zamknięty, to da się załatwić.
4451:  DS - Dam ci też pelerynę czarodzieja.
4453:  BFP - Ale to jest fantastyczny wątek, który wyszedł sam z siebie.
4457:  BFP - Jakie formy eskapizmu was odrzucają?
4459:  BFP - Albo do których nie możecie się przekonać?
4461:  BFP - Oczywiście, że najpierw to pytanie skieruję do Krzysztofa, bo lista będzie najdłuższa.
4467:  BFP - Czarno-białe filmy, komiksy, no.
4468:  KMM - No oczywiście, że tak.
4469:  KMM - Chociaż ostatnio obejrzałem Lighthouse Gersa i zdradzę wam,
4477:  KMM - że mi się w ogóle nie podobało.
4479:  KMM - Znaczy nie, inaczej, żartuję, podobało mi się, ale uważam i będę bronił tego jak ksiądz Kordecki i Częstochowy, że naprawdę, gdyby ten film był nakręcony porządnie, zgodnie ze sztuką kinematograficzną, tylko na przykład był tam jakiś filtr odpowiedni, nie?
4493:  KMM - Na przykład ciemniejszy obraz, wyszłoby naprawdę na to samo.
4496:  S01 - Krzysztof Wilak, czemu nie ma interfejsu, żeby włączyć filtr kolorowy albo wyłączyć?
4501:  S01 - Czemu nie może zdecydować użytkownik sam?
4504:  KMM - Natomiast tak zupełnie serio, miałem tyle podejść do komiksów, od tej strony, od drugiej strony, od zadniej strony, od przedniej strony, nie byłem w stanie nigdy osiągnąć imersji.
4515:  KMM - I to jest jedyne medium, które rzeczywiście stawia przede mną blokadę i jestem w stanie docenić, że
4521:  KMM - Absolutnie.
4522:  KMM - Artystyczny kunszt rysownika.
4525:  KMM - Jestem w stanie powiedzieć na tysiąc procent, że V for Vendetta Alana Mura jest lepsze od filmu, bo znamy jedno i drugie zakończenie, ale nie jestem w stanie czytać i to jest rzecz autentyczna.
4537:  KMM - Boleje i może mi się kiedyś odmieni, coś mi przeklika się w głowie i zacznę mieć imersję.
4542:  KMM - Natomiast ewidentnie nie mogę, bo już pomijam takie przypadki, które są
4546:  KMM - aby zgodne z naszymi osobistymi upodobaniami typu, no więc zasadniczo nie gram w gry kompetytywne, ponieważ nie uważam, żeby kompetytywność była tym, czego potrzebuję w życiu, ponieważ moje życie jest kompetytywne, moja praca jest kompetytywna, więc ucieczka musi być od czegoś, co z nami nam nie odpowiada, do czegoś, czego nie z nami, co nam odpowiada.
4564:  KMM - Komiksy oferują mi takie światy, ale mam blokadę przy określonym medium.
4568:  KMM - I znam sporo ludzi, także w moich zajęciach się to pojawia bardzo często, którzy mieli tak z niektórymi grami.
4573:  KMM - Na przykład niektórzy ludzie nie są w stanie przejść do porządku dziennego z grą izometryczną.
4578:  KMM - No nie mogą, nie mają imersji, nie będzie.
4581:  KMM - Są też tacy, którzy powiedzą, absolutnie wykluczony widok z pierwszej osoby, muszę mieć z trzeciej osoby.
4586:  KMM - Więc myślę, że są jakieś ograniczenia techniczne, które sprawiają, że nie mamy tej imersji i tegleskapizmu.
4592:  KMM - Jest nawet teoria taka, przedstawiał taka szwajcarska narratolożka Mary Lorraine, spokojnie, będzie krótka dygresja tylko, w książce Narracja jako wirtualna rzeczywistość.
