Spieramy się o filmową DIUNĘ
🔗 https://www.youtube.com/watch?v=sq1zcDmAuFw
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)
MG (Marcin Giełzak, Dwie Lewe Ręce)

16:  BFP - Liza Nalgaib!
3197:  BFP - No myślę, że w filmie jednak lepiej wypada powiedzieć mam wycelowane atomówki w źródła przyprawy i zapasy przyprawy niż powiedzieć to poczekajcie ja w trzy miesiące tutaj załatwię, żeby rozlać wodę wszędzie gdzie trzeba i już nie będzie przyprawy.
3210:  BFP - Na pewno w tym czasie nie zdążycie dokonać inwazji całej armady na Arrakis i powstrzymać mnie przed tym.
3216:  BFP - No wydaje mi się, że to jednak brzmiałoby trochę absurdalnie.
3219:  BFP - Kolejny zarzut dotyczący tego, że jest faktycznie i to powiedział nawet Denis Villeneuve
3224:  BFP - Bene Gesserito centryczna ta część, to znaczy ona ukazuje faktycznie plany Bene Gesserit.
3229:  BFP - Jest nawet tego trochę, może nie więcej niż w książce, ale jest akcent szczególnie w tych sekwencjach z księżniczką Irulaną na ukazanie planów Bene Gesserit.
3240:  BFP - I mówisz, że ci się to podoba, ale z drugiej strony mówisz, no ale chciałbym więcej o Korinach.
3244:  BFP - co nie pojawia się w książce, ale pojawia się w kolejnych książkach.
3247:  BFP - No nie można mieć wszystkiego.
3248:  BFP - To znaczy ograniczony metraż sprawia, że musisz na coś postawić, nie jesteś w stanie zawrzeć tam wszystkiego.
3253:  BFP - To jest proste.
3255:  BFP - Denis Villeneuve uznał, że najważniejsze jest ukazanie planów Bene Gesserit i tego, o co chodziło z Kwizyc Haderachem i jak bardzo niszczy to plany Bene Gesserit na milenia być może, jeżeli ten Kwizyc Haderach urodził się pokolenie wcześniej, wbrew ich wszelkim kalkulacjom.
3271:  KMM - A kim jest Kwisatz Haderach dla kogoś, kto nie wie, kim jest Kwisatz Haderach?
3276:  KMM - Bo to mnie interesuje.
3277:  KMM - W jaki sposób jesteś w stanie wytłumaczyć to ludziom, skoro pomijasz cały lore związany z melanżem i z mentatami?
3282:  BFP - Nie, nie jest pominięty.
3284:  KMM - Z perspektywy widza drugiej części my wiemy tylko tyle, że Paul jest wybrańcem i że woda życia daje mu supermocę.
3292:  KMM - To jest wszystko, co wie człowiek przez to, że są wymazani mentaci.
3296:  KMM - Wszyscy recenzenci zagraniczni podkreślali, że Villeneuve ma problem z mentatami, bo oni byli też trudni do pokazania.
3302:  BFP - Ja nawet to podkreśliłem, że ma problem z mentatami.
3304:  KMM - Więc wiesz, usunięcie mentatów i usunięcie gildii nawigatorów sprawia, że cały materiał, który zrobiłeś na temat tego, co człowiek powinien wiedzieć, zanim pójdzie na diunę, przestaje mieć w trzech czwartych sensu, bo nie ma hoamu, nie ma nawigatorów, nie ma mentatów, zostają Bene Gesserit, uszczupleni Korinowie, Harkonneni, którzy są przedstawieni jako faszyści, no a jeżeli chodzi o atrydów, też niewielu jest, ponieważ tu Firhałat zostaje wyeliminowany, Gerni Halek pojawia się jak Filip z Konopi, nomen omen, w połowie filmu, mimo że wcześniej nic o nim nie wiadomo,
3333:  KMM - I w dodatku, kto jeszcze jest z Atrydów wspomniany?
3337:  KMM - Mamy praktycznie poczyszczone, nawet nie ma w którymś momencie siostry Paula Muadiba, ponieważ ktoś, następny geniusz stwierdził, że należy skompresować całą fabułę w taki sposób, żeby się przypadkiem nie narodziła.
3347:  KMM - Co moim zdaniem było bardzo dobrą decyzją.
3348:  KMM - Co moim zdaniem było kiepską decyzją, ponieważ w ten sposób Baron Harkonnen zostaje w hollywoodzki sposób zabity przez Paula, zamiast żeby silna kobieca protagonistka, która jest zajęta w pierwszej części, jest.
3358:  BFP - Trzyletnia.
3358:  BFP - Trzyletnia, baby.
3360:  KMM - Mogłam mu poderżnąć gardło sztyletem fremeńskim.
3363:  BFP - Użyła John Gomb-Jabbar, czyli igły, ale to szybko odbiję.
3368:  BFP - Jeżeli mam do wyboru Paula, który wbija ostrze Harkonnenowi, nawet nie odkrywa swojej twarzy i mówi...
3377:  BFP - Żegnaj dziadku.
3378:  BFP - I to wszystko.
3379:  BFP - A widzieć trzyletnią dzidzie piernik, baby ninja, która została porwana i wali monologi jak dorosła kobieta.
3388:  BFP - No nie, chyba jednak wolę, żeby Alia się nie narodziła w tym filmie.
3392:  KMM - Druga rzecz, którą... Czyli wolisz rozmowę w takim razie z zarodkiem.
3395:  KMM - Czyli czekaj Filip, bo chcę podążać za twoją logiką.
3401:  KMM - Zarodek ma w tym momencie więcej do powiedzenia niż dzidzia piernik trzyletnia i dziwiłoby cię to drugie, ale to pierwsze cię nie dziwi.
3410:  BFP - Nie, wiesz dlaczego?
3411:  BFP - Bo to jest właśnie odpowiedź na twoje pytanie, co z Kwizec Haderachem.
3414:  BFP - Nie wiem, jak oglądałeś, ale to właśnie tam jest odpowiedź.
3416:  BFP - Zapytałeś, skąd wiem o Kwize Schaderach?
3418:  BFP - Skąd mogę to wyczytać?
3420:  BFP - Właśnie stąd.
3421:  BFP - Kiedy wodę życia zażywa Lady Jessica, to otwiera jej pamięć genetyczną i otwiera pamięć jej przodków.
3430:  BFP - Pierwsza rzecz, która robi, kiedy ona się budzi, łapie za rękę
3434:  BFP - Paula i mówi, jesteśmy już krok od tego.
3436:  BFP - Ty też musisz wypić tę wodę życia.
3437:  BFP - Ona otworzyła moją pamięć genetyczną.
3439:  BFP - Ty będziesz miał też pamięć swoich męskich przodków.
3441:  BFP - To jest dokładnie ta scena, kiedy zostaje wyjaśnione, co tak naprawdę słyszał w swoich wizjach Paul.
3447:  BFP - I dokładnie werbalizuje to jego matka, Lady Jessica, po wypiciu tej wody.
3452:  BFP - I ostatnia rzecz.
3453:  BFP - Już oddaję głos tobie, Marcinie.
3455:  BFP - Dziękuję za cierpliwość.
3456:  KMM - Muszę tylko zrobić jedną korektę, bo Kwizac Haderaf nie jest tym, co przedstawiłeś.
3459:  KMM - Kwizac Haderaf jest efektem manipulacji genetycznych Bene Gesserit i miał on się narodzić w wyniku mariażu z Harkonenów i Atrydów.
3467:  KMM - W związku z powyższym to, co powiedziałeś, udowodniło moją tezę, że z filmu nie dowiadujesz się, jakim jest Kwizac Haderaf.
3473:  KMM - Dziękuję.
3475:  BFP - Let's agree to disagree.
3477:  BFP - Odniosę się jeszcze tylko na koniec do tego, co w recenzji, a trochę inkorpore też pojawiło się w tym, co mówiłeś o Korrinach.
3485:  BFP - Kilka osób to napisało też na czacie.
3488:  BFP - Shaddam IV został właściwie nadanym u jakiegoś Gravitas w tym filmie i to nie tylko twarzą Christophera Ukena.
3495:  BFP - W książce Shaddam Corino pojawia się na Arrakis.
3499:  BFP - z pompą.
3500:  BFP - Pierwsza rzecz, którą robi, to pokazuje, jak bardzo jest niehonorowy, bodajże zatrute ostrze Fade'owi Raucie, z którym się dogadał.
3505:  BFP - Kiedy Fade Rauta przegrywa i ginie, nakazuje swojemu podwładnemu, hrabiemu Fenringowi, przy wszystkich, którzy są w pałacu w Arakin, żeby zabił na oczach wszystkich, pomimo, że Paul wygrał walkę.
3516:  BFP - Właśnie Pola Atrydę.
3518:  BFP - To się nie dzieje.
3518:  BFP - Podchodzi do Fenringa i przy wszystkich go policzkuje.
3522:  BFP - A następnie, kiedy Pol spokojnie próbuje mu wytłumaczyć, że postawi mu tron na Selusie Sekundzie, to dostaje tantrum i mimo, że jego życie wisi na włosku, to rzuca zabawkami i krzyczy jak małe dziecko, które nie dostało loda w sklepie.
3534:  BFP - Więc jeżeli ty nazywasz to majestatem Shadama IV Corina, to może czytałeś inne tłumaczenie niż ja.
3540:  BFP - Oddaję ci głos Marcinie.
3541:  KMM - Nie wypowiedziałem w tej rozmowie ani razu słów majestat Shadama IV.
3545:  BFP - No to powiem, że wyczytałem z twojej wypowiedzi, że Shaddam wydawał ci się spłycony względem tego, jaki jest w książce.
3552:  BFP - Mnie wydaje się on wręcz ubogacony i tak jak powiedział Christopher Walken, dobrze jest zagrać monarchę w taki sposób, że monarszość widzisz po reakcjach innych ludzi, a nie po tym, jak on się prezentuje.
3565:  KMM - To ostatnie sprostowanie, tego również nie powiedziałem.
3567:  KMM - Powiedziałem, że ród Korinów został spłycony w stosunku do rodu Atrydów i Harkonenów, którym zostało przedstawione... Tak jak w książce.
3575:  KMM - Którym zostało zaprezentowane... Ale wiesz, ale równocześnie możesz z Mesjasza Duny zaczerpnąć różne rzeczy i to ci nie przeszkadza.
3581:  KMM - Ale masz ograniczony metraż.
3583:  KMM - Tak, w związku z powyższym uważam, że decyzja spłycenia rodu Korinów była niesłuszna.
3588:  KMM - Masz do tego pewne prawo, Marcin.
3591:  MG - Ja jestem gotów zaakceptować wszystkie spłycenie i wycięcie, o których mówiliśmy, nawet za cenę uproszczeń, które są bolesne, a zgadzam się z Krzysztofem, że Kwiza z Haderach
3603:  MG - Widzowi, który tylko oglądał film ma się kojarzyć z The One.
3608:  MG - On to zna z Matrixa, on to zna z tysiąca innych filmów.
3611:  MG - Jest jakaś mesjanistyczna figura, jest wybrany, wybrany ma dokonać wielkich rzeczy.
3617:  MG - Jak to ma się już dokonać szczegółowo i że on jest jakąś kombinacją genetyczną itd. ?
3622:  MG - to już tego widza zajmuje dużo mniej.
3623:  MG - Ważne, żeby wbił sobie do głowy, że jest wybrany.
3626:  MG - Jestem gotów na tego rodzaju kompromisy.
3628:  MG - Jedyna, naprawdę jedyna rzecz, którą mi jest i tak samo jestem agnostykiem w sprawie tego, czy Alia ma przemawiać jako zarodek, czy jako trzylatka i byłbym gotów też pogodzić się z tym, że to Paul zabija na koniec barona Harkonena.
3646:  MG - Jedyna rzecz, której nie umiem odpuścić Villeneuve'owi, to jest to, że jak masz dobry czarny charakter,
3652:  MG - to medytujesz nad nim w nieskończoność, bo to jest skarb.
3656:  MG - I w bardzo wielu dziełach kultury najlepiej zapamiętujemy czarny charakter.
3662:  MG - I nigdy nie kochamy tych czarnych charakterów, które są proste i jednoznaczne.
3666:  MG - Ale widzisz, tu jest pułapka.
3667:  MG - Widzisz, nie kochamy chama ze sztachetą.
3669:  MG - Kochamy taki czarny charakter jak Hannibal Lecter, albo jak pułkownik Kurtz, albo jak Sephiroth z Final Fantasy, który jest postacią, która nosi w sobie dramat i tragedię, która jest w jakiś sposób ludzka, z którą możemy się utożsamiać i której motywacje sprawiają,
3688:  MG - że sami zastanawiamy się, co my byśmy zrobili w analogicznej sytuacji.
3692:  BFP - Gary Oldman... Ale właśnie opisałeś polatrydę.
3695:  BFP - To jest antagonista i protagonista jednocześnie.
3698:  MG - Ale ja chciałem tego w przypadku Harkonnenów.
3700:  MG - I to podkreślam jako moje największe rozczarowanie.
3703:  MG - Moim największym rozczarowaniem jest łatwiznę, w jakiej twórcy poszli w przedstawianiu Harkonnenów.
3709:  MG - To znaczy, to wygląda jakby zrobili piętnastominutową burzę mózgów, w której padłyby następujące słowa, które zapisujemy na tablicy.
3717:  MG - Naziści, no kto jest zły?
3718:  MG - Naziści są źli.
3720:  MG - To ja chcę równe czworoboki maszerujących żołnierzy itd.
3725:  MG - Chcę mieć triumf woli Leni Riefenstahl.
3728:  MG - Po drugie, ty tam fajnie zrobiłeś z tymi inżynierami, że oni byli tacy łyżsi, to też wygląda jakby byli źli.
3735:  MG - Zróbmy to.
3736:  MG - I nie ma żadnej próby pokazania zła w sposób, który jest...
3742:  MG - intelektualnie inspirujący, prowokujący, jest pójście na łatwiznę.
3747:  MG - I to jest mój największy w ogóle zarzut wobec tego filmu.
3750:  BFP - Ja się zgadzam z Tobą.
3751:  MG - Położenie antagonisty.
3754:  MG - Całą resztę wybaczam, rozumiem ograniczenia metrażu, rozumiem, że trzeba było skupić się na czymś, ale trochę Villeneuve w wywiadach udzielił mi odpowiedzi na pytanie.
3765:  MG - On w treningach wywiadów powiedział, że on traktuje jako antagonistę w tej opowieści zbiorowego Bene Gesserit.
3772:  MG - W związku z powyższym Harkonnenowie dla niego są pałkarzami.
3775:  MG - Pałkarzami, których ma na parę godzin na ekranie i potem ich wyrzuca.
3781:  MG - Notabene tutaj wychodzi jego zinternalizowanie anglosaskiej obsesji na punkcie jezuitów.
3789:  MG - Po tym są Bene Gesserit, to znaczy, że w rzeczywistości to jezuici wszystkim rządzą z ukrycia.
3796:  MG - Więc to jest moje fundamentalne zastrzeżenie.
3800:  MG - Gdyby to był serial,
3803:  MG - Dużo ostrzej bym punktował i atakował, bo wtedy byłaby przestrzeń i byłoby miejsce na to, żeby pokazać wszystko i nie byłoby usprawiedliwienia dla wycinania czegokolwiek.
3815:  BFP - Zgodzę się z tobą całkowicie.
3817:  BFP - To tak jak już powiedziałem, nie uważam, żeby Danny był konsekwentny.
3822:  BFP - To znaczy, jeżeli pokazał, że można zniuansować tak bardzo głównego bohatera.
3825:  BFP - I Bene Gesserit też!
3827:  BFP - Bo zauważcie, że ten końcowy dialog, kiedy Lady Jessica z jakimś dziwnym triumfem w oczach mówi Matce Wielebnej Mochiam...
3836:  BFP - wybrałaś złą stronę.
3837:  BFP - Ona mówi, Mohiem odpowiada, że ty ze wszystkich osób powinnaś wiedzieć, że tu nie ma stron.
3842:  BFP - Nasze plany są liczone na milenia, na dziesiątki, setki generacji i my jesteśmy ponad to, my jesteśmy ponad te spory frakcyjne, ponad przepychanki w imperium i przesuwanie pionów na szachownicy.
3854:  MG - Jeśli mogę, tu wchodzi mój ukochany dialog z gry o tron, z całej gry o tron.
3859:  MG - Kiedy Ned Stark pyta się pająka, Varysa, a komu ty służysz?
3867:  BFP - Varys patrzy się na niego i mówi, państwu, ktoś musi.
3870:  BFP - Kingdom, tak.
3871:  BFP - I dokładnie tak ja odbieram Bene Gesserit i nie przypadkiem one
3876:  BFP - Tutaj słowo abomination, abominacja w książce było użyte względem przednarodzonej Ali i tego, że ona nigdy nie powinna była być obudzona ze swoją świadomością jeszcze w brzuchu, ale tutaj ono jest skierowane do pola.
3889:  BFP - Ono jest skierowane do pola, dlatego że ten Kwizec Haderach nie wydaje się do końca takim, jakiego mogłby kontrolować, ale chciałaby go kontrolować właśnie dla tego, co powiedziałeś, dla dobra wspólnoty, jaką jest Imperium Galaktyczne.
3901:  MG - I ich głęboki humanizm, prawda?
3903:  MG - Czyli ich opór względem
3906:  MG - względem inżynierii genetycznej, ich głębokie przywiązanie do zachowywania pewnej stabilności.
3912:  BFP - O przepraszam, one są mistrzyniami.
3916:  MG - Opór eugeniki.
3919:  MG - Z naciskiem na eł, czyli dobry.
3922:  MG - To znaczy one zmierzają do uzyskiwania, że tak powiem, hiperludzkich, nadludzkich rezultatów, ale na widok człowieka w pająkę przemienionego niczym Ariadne matka przewielebna reaguje z krajnym gniewem.
3939:  BFP - Tak, to było jeszcze w pierwszej części.
3940:  BFP - Ja już chcę oddać tobie głos, Krzysztofie, a właściwie zarzucić teraz taki temat, bo podtrzymuję.
3946:  BFP - Mój największy zarzut wobec tego filmu, który oceniam wciąż najwyżej, to jest po pierwsze, sam ma postać Rabana i Glossu jako naprawdę nieinteresującej postaci, którą można było wyciąć, włącznie z najgłupszą sceną w całym filmie.
3961:  BFP - Najgłupsza scena w całym filmie.
3963:  BFP - To jest ta, w której dochodzi do wysadzenia
3968:  BFP - Nie złoża, tylko zapasów przyprawy.
3971:  BFP - I Raban mówi, to teraz zabijemy Muadiba.
3975:  BFP - Wskakuje.
3976:  BFP - Mówi, strzelaj.
3977:  BFP - Tamten strzela.
3977:  BFP - Mówi, źle strzelasz.
3978:  BFP - Skręca mu kark.
3979:  BFP - Mówi, ląduj.
3980:  BFP - Tamten nie chce wylądać, to skręca mu kark.
3981:  BFP - Lądują.
3982:  BFP - Mówi, teraz idziemy na Muadiba.
3983:  BFP - Chwilę później spieprza z powrotem do Ornitoptera.
3985:  BFP - No, kretynizm tego człowieka sprawia, że naprawdę zastanawia się, czemu Harkonnen, Baron, zdecydował się powierzyć mu Araki, skoro pod ręką miał Fejda.
3993:  BFP - I teraz...
3995:  BFP - Aż się prosiło, że skoro wprowadza się fejda, to można było ciekawiej skontrastować te postaci.
4000:  BFP - Jak Raban z fejdem, jak fejda z samym baronem, na barona z baronem, gdzie w książce na baron, czyli fejd, dokonuje nieudanego zamachu na barona, co też prowokuje bardzo interesującą dyskusję i też ciekawie odkrywa plany barona przed swoim bratankiem.
4017:  MG - I jeśli mogę, i baron każe mu, i to jest zrozumienie przemocy i bezwzględności charakteru.
4024:  BFP - wyrżnąć wszystkie kobiety w swoim haremie.
4026:  MG - Każe mu i swoich współspiskowców własną ręką.
4029:  MG - To jest coś, co zrobiłby Saddam Hussein.
4033:  MG - I to jest okrucieństwo Harkonnenów.
4035:  MG - Ono jest politycznie motywowane.
4037:  MG - A nie jest to okrucieństwo, które polega na tym, że potykasz się o własne nogi, jak Rabban co chwila.
4044:  MG - No i wspaniała scena, w której mówi, jeśli nie wiemy, do czego strzelać, to po prostu strzelajmy przed siebie.
4050:  MG - Na match contested field to może być najlepsza scena.
4053:  BFP - Niemniej wciąż uważam, i to już tobie oddaję głos Krzysztofie, wciąż uważam, że ta zasadnicza wizja Wilnewa sprowadza się tak naprawdę do tego przekazu Herberta, który on wielokrotnie próbował precyzować, a potem nawet napisał specjalnie Mesjasza Duny, żeby nie pozostawić wszelkich wątpliwości, to jest bądź ostrożny,
4077:  BFP - ufając charyzmatycznym liderom.
4080:  BFP - Lepiej jest popełniać błędy, lepiej jest spodziewać się niespodziewanego, niż znać przyszłość i zawierzyć charyzmatycznym liderom.
4087:  BFP - Bo jak jeszcze ładnie do tego dodał, błędy liderów i błędy dokonane w jego imieniu, przez jego wyznawców, zawsze są multiplikowane przez ilość jego fanatyków.
4100:  BFP - I wydaje mi się, że bardzo wyraźnie Denis na końcu mówi, to był główny antagonista.
4106:  BFP - Protagonista był antagonistą od samego początku i też widzimy to jako foreshadowing w pierwszej części, gdzie widzi przebitki na swój dżihad i w jakim nie chciałby się stać.
4115:  BFP - Tu zostawiam teraz tobie przestrzeń Krzysztofie.
4118:  KMM - Absolutnie się zgadzam, że to jest jedno z przesłań Duny i jedno z kluczowych.
4122:  KMM - Drugim będzie cały czas ten przekaz ekologiczny.
4125:  KMM - Pamiętajcie, że Giddy Prime jest taka, a nie inna z uwagi na to właśnie, jak uprzemysłowili swój świat Harkonneni i to jest skrajnej, polarnej opozycji wręcz wobec Caladanu i wobec tego, co robił Atrydzi i w ogóle wobec tych planów terraformacji Duny.
4142:  KMM - To jeszcze później wraca w ostatnim tomie, czyli w kapitularzu Duną, gdzie
4147:  KMM - Stąd jest kapitularz Dune'ą, że planeta kapitularz staje się Dune'ą, ponieważ wielkie matriarki, nigdy nie pamiętam jak one są tłumaczone na język polski, atakują... Dominatrixy i tego typu kobiety.
4157:  KMM - Dominatrixy.
4157:  KMM - Tam się dziwne rzeczy dzieją naprawdę.
4159:  KMM - One generalnie są odłamem Bene Gesserich, które kontrolują mężczyzn z zapośrednictwem seksu.
4163:  KMM - Więc troszeczkę coś takiego, co teraz... Which is lifelike.
4167:  KMM - przypisali jednej z Bene Gesserit, która usiłowała kontrolować w ten sposób Fejderaufe i oczywiście mi uciekło imię.
4174:  KMM - Natomiast rzecz dla mnie absolutnie kluczowa w tym temacie ekologicznym, bo to jest ważne, bo często się pojawia, i to też w argumentacji Filipa słyszałem, że nie ma czasu filmowego na przedstawianie różnych rzeczy.
4185:  KMM - No więc mogę powiedzieć, że ten czas można bardzo łatwo uwolnić.
4188:  KMM - Na przykład nie musicie przedstawiać w ogóle
4191:  KMM - Osobistych tarczy.
4192:  KMM - Dla jakiego powodu nie musicie przedstawiać osobistych tarczy?
4194:  KMM - Ponieważ osobiste tarcze przestały być istotne i relewantne, z wyjątkiem jednej sceny w amfiteatrze, w pierwszej części.
4200:  KMM - Jaki jest tego skutek?
4201:  KMM - Harkonneni oto popylają sobie z giwerami i strzelają do nich.
4205:  KMM - W zasadzie więcej pada strzałów z broni laserowej innej, niż jakiejkolwiek innej.
4210:  KMM - Jest tego skutek następujący, to znaczy z perspektywy widza, który obserwuje pojedynek atrydów oraz pojedynek, znaczy nie pojedynek, w zasadzie bitwę sardałkarów i fremenów, to chciałem rzec, to jest ona nie ma żadnego sensu, to znaczy po co oni walczą wręcz, skoro mogli użyć tego wielkiego lasera, który mają, jak każdy szczep fremeński ma i był w stanie zniszczyć bez żadnego problemu harwestery, tak?
4234:  KMM - Tych scen niszczenia harwesterów laserami jest tak dużo, że w którymś momencie pokazuje nam na dużym planie,
4240:  KMM - reżyser, jak wiele harwesterów jest niszczonych, co i róż w ten sposób.
4245:  KMM - To jest niekonsekwencja, która wywołuje różnego rodzaju bzdury z uwagi na to, że w świetnym świecie wystąpił dżikat butleriański, który wyeliminował możliwość używania jakiejkolwiek tego rodzaju broni, w tym także broni masowej zagłady i to dlatego arsenał nuklearny atrydów i innych rodów jest tak bezcennym zasobem, ponieważ takiej broni się nie produkuje.
4263:  KMM - W tym świecie nie bez powodu funkcjonują te osobiste tarcze, ponieważ wszyscy używają broni białej.
4268:  KMM - Wyeliminowanie tego moim zdaniem jest bez sensu i teraz pokazywanie wcześniej wielu scen, w których te osobiste tarcze były istotne, no staje się troszeczkę bez sensu w perspektywie tego, co jest w drugiej części.
4281:  KMM - I takich pomniejszych niekonsekwencji jest na tyle dużo, że gdyby je wszystkie zgromadzić i pousuwać rzeczy, które były niepotrzebne, bo możemy w ogóle tego nie wprowadzać, to nagle byłoby czas na to zajęcie się kwestiami, które w moim przekonaniu
4294:  KMM - wymagają zaadresowania i teraz to jest ten mój zarzut, jeden jedyny, który ja miałem wobec Dune'y, drugi, poważny.
4300:  KMM - To znaczy fakt, że pierwsza część drugiej części jest mniej więcej w takim samym tempie utrzymana narracyjnym jak pierwsza, spoko, natomiast druga część nie.
4309:  KMM - W drugiej części tak przyspiesza akcja i ja dosłownie, a trzeba wam wiedzieć, że jestem wielkim fanem muzyki Hansa Zimmera do pierwszej części, ja siedziałem w fotelu kino i miałem tak, Boże, wreszcie, i potem było tak, okej.
4323:  KMM - I znowu mam, o Boże, wreszcie mija 10 sekund, 15 sekund, okej.
4328:  KMM - Czyli utwór się kończy i scena się kończy.
4330:  KMM - Co teraz będziemy mieli?
4331:  KMM - A posłuchajmy sobie więcej, jak Stilgar będzie mówił o Lisa Nilega i słysząc, jak Paul mówi coś innego.
4338:  KMM - Znaczy scen z Paulem i Fremenami było nadreprezentatywnie dużo.
4343:  KMM - Dzięki temu mamy świetnie ukazaną kulturę Fremenów, ale hej, ją mieliśmy już ukazywaną w drugiej części, która tak wielu ludzi uspiła niestety, pierwszej części Dune'y.
4353:  KMM - Więc można było tutaj troszeczkę urwać tego czasu, nie wiem, 20 minut, 30 minut i zwiększyć udział tych scen, w których się rozstrzyga polityka tej galaktyki, zwłaszcza jeżeli chcemy startować z Mesjaszem Dune'y w taki sposób, jak planuje to robić Hans... Boże, drogi, Leni Villeneuve, dlaczego chciałem... Franz Ferdinand.
4371:  KMM - Hansa Herberta chciałem z niego zrobić, rany boskie.
4373:  KMM - W każdym razie tam będziemy mieli jeden film, moi drodzy.
4378:  KMM - Ja wiem, że też można powiedzieć, że o, to jest przegadane i da się skompresować, ale ja już słyszałem to od części pierwszej Franka Herberta, że jest przegadane i da się skompresować i się nie dało nawet w dwa filmy.
4388:  KMM - Stąd moje wątpliwości.
4389:  BFP - Okej, to ja już szybko odbiję to, co powiedziałeś.
4392:  BFP - Mówiłeś o tych niespójnościach.
4394:  BFP - światotwórczo-fabularnych, wyłapałem tylko jedną, jestem w stanie ją bez problemu zneutralizować.
4400:  BFP - Mówiłeś, dlaczego nie używano różnicy laserowych podczas ataku na płaskowyżu Arrakin.
4405:  BFP - No tak, to jest chyba właśnie płaskowyż Arrakin.
4409:  BFP - Odpowiedź jest banalna.
4409:  BFP - Po pierwsze, dlatego, że mieli potężne włączone tarcze.
4413:  BFP - I czekali, aż pojawi się praojciec wszystkich burz piaskowych.
4417:  BFP - Pojawia się burza piaskowa.
4418:  BFP - Nawet jest scena, w której mówią imperatorze, zbliża się burza i musimy uważać.
4423:  BFP - To jeden z sardałkarów, dowódcu sardałkarów to mówi.
4426:  BFP - Rozładuje tarczę, będziemy wtedy narażeni.
4429:  BFP - Ta burza się pojawia i nie da się przekroczyć burzy z różnicami laserowymi.
4433:  BFP - Oni przekraczają je na czerwiach, więc to nie jest tak, że mogli wziąć różnice laserowe i strzelić.
4438:  BFP - Myślę, że gdyby oni tam wkroczyli z różnicami laserowymi, to szybko ta walka by się zakończyła.
4444:  BFP - Więc to po prostu stawiają na czerwie, którymi przekraczają przez te burze.
4447:  BFP - No tak też było w książce, że nakładają się na siebie trzy rzeczy.
4451:  BFP - Po pierwsze właśnie ta burza, która dezaktywuje tarcze.
4454:  BFP - Po drugie broń atomowa, która niszczy tak zwany
4459:  BFP - ten mur oddzielający Arrakin od pustyni.
4464:  BFP - No i trzecia rzecz to jest atak zaskoczenia z tych dwóch stron.
4467:  BFP - Więc jakby moim zdaniem tutaj kompletnie nie pasują różnice laserowe.
4471:  BFP - Jak ktoś słusznie zauważył, użycie różnicy laserowej na tarczy daje efekt wybuchu jądrowego.
4476:  BFP - Więc to jest zabójcze zarówno dla używającego, jak i
4480:  KMM - No ale ja mówiłem o scenie, w której Harkonneni popylają z tą bronią na samym początku.
4485:  KMM - Oni używają broni białej i oni nią popylają jeszcze do tego wszystkiego na terenie Czerwi, co w ogóle nie ma żadnego sensu.
4492:  KMM - Chodzi mi o początek filmu, natomiast jeżeli chodzi o scenę późniejszą z sardałkarami, właśnie cała rzecz polega na tym, że jeżeli nie wytłumaczysz ludziom, że buczenie tarczy, z tego co pamiętam, powodowało rezonans... Ale fremeni nie mają tarczy, więc działają na nich różnice.
4505:  KMM - Mówię o sardałkarach, że buczenie tarcz powoduje rezonans i mogą zaatakować czerwie.
4510:  KMM - Jeżeli nie pokażesz tego widzom, to ludzie mogą tego nie wiedzieć.
4513:  BFP - To było powiedziane w pierwszej części.
4515:  KMM - I teraz się pojawia pytanie ze strony kogoś, kto ogląda tylko film.
4519:  KMM - Dlaczego jest tak, że atrydzi i sardałkarowie walczą w Arakin przez tak długo i w ogóle co się tutaj dzieje, a tutaj nagle na sardałkarów wypadają ludzie spod piasku i ich pokonują bez żadnego problemu.
4530:  KMM - Jasne.
4530:  KMM - To chodzi o takie rzeczy, żeby troszeczkę więcej pokazać tego kontekstu, bo to jest interesujące.
4536:  KMM - Wprowadzasz technologię, która nie jest znana.
4539:  KMM - To jest najbardziej charakterystyczna część tego uniwersum, że nie masz piu-piu jak w Gwiezdnych Wojnach laserowego, tylko masz skomplikowaną technologię, która łączy w sobie całą tradycję zbrojeniową, jeżeli chodzi o broń białą, z tym elementem futurystycznym w postaci tarcz osobistych.
4556:  KMM - To jest interesujące.
4557:  KMM - Jeżeli to eliminujesz, to wtedy robisz z kina, które jest teoretycznie kinem science fiction, właśnie takie proste, marvelowe fantasy, gdzie w którymś momencie otwierają Ci się portale jak w Avengersach i wypadają z nich czerwie.
4569:  KMM - No, wygląda to ładnie, natomiast trwa to 10 sekund.
4572:  KMM - W związku z powyższym wydaje mi się, że to całe budowanie, wiesz, tego poczucia grozy armii sardałkarów,
4580:  KMM - No poszło w gwizdek, a przecież ja pamiętam, jak zresztą dyskutowaliśmy tutaj na łamach bez schematu o tym, jak piękna wprowadzona scena z sardałkarami, z tym ich dziwnym językiem wokalizowanym, budowała klimat tej armii.
4592:  KMM - A tutaj dostaję scenę, kiedy Szaddam IV zjeżdża swoim wielkim pałacem w pustynię i zostaje siedmiu sardałkarów z niego i mówi, sardałkar!
4602:  KMM - I do...
4603:  KMM - W dym i ginął.
4605:  BFP - Ja się wtedy zaśmiałem.
4606:  BFP - Dla mnie to było satyryczne.
4606:  BFP - To odniosę się do tych dwóch rzeczy.
