Matrix vs Spider-Man, czyli o szacunku do fanów i dobrej i złej nostalgii
🔗 https://www.youtube.com/watch?v=2FvsVRidyhk
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
AK (Artur Kurasiński)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - Dzisiejszy odcinek ulicy Zamkowej będzie sponsorowało słówko nostalgia i fraza fanservice.
3074:  BFP - Wprowadzam Smitha, który jest wykastrowany.
3077:  BFP - Gra go Jonathan Groff, świetny aktor, tylko on nie jest Hugo Weavingiem.
3082:  BFP - On nie brzmi przekonująco, kiedy mówi Mr. Anderson.
3086:  BFP - Nie.
3086:  BFP - Kompletnie tego nie kupuje.
3088:  BFP - Fani nie odbierają tego jako coś fajnego.
3090:  BFP - Ale kiedy pojawia się Andrew Garfield,
3093:  BFP - kiedy okazuje się, że może odzyskać sympatię wszystkich fanów Spider-Mana, bo wreszcie nie jest uwiązany złymi scenariuszami The Amazing Spider-Man, to jest świetny układ strony fanów, którzy nagle zakochali się w Andrew Garfieldzie bardziej niż Tomie Holandzie, bardziej niż Tobi Maguire, bo widzą z jaką pasją on wszedł w tę rolę.
3111:  BFP - A z drugiej strony mamy Jonathana Groffa, który próbuje robić cosplay agenta Smitha.
3117:  BFP - Więc ponownie porównanie i ostatnia rzecz.
3119:  BFP - Ostatnia rzecz z mojej strony.
3121:  BFP - Zobaczcie,
3122:  BFP - Artur, ty mówiłeś o tej scenie z Merovingiem.
3125:  BFP - Dla mnie to była najgorsza scena w tym filmie.
3127:  BFP - Ja byłem zażenowany, ja się zapadałem w fotelu, ale wiecie dlaczego?
3130:  S02 - Wychodzi Meroving, który wygląda jak najebany żul i mówi Wasze Facebooki, Wasze Wikipedie, teraz te macie telefony, a my tu siedzieliśmy, rozmawialiśmy, jak człowiek z człowiekiem, puf, nie ma mnie, a, będę w spin-offie, puf.
3146:  BFP - To był głos Krzysztofa, swoją drogą.
3148:  GW - Uosobienie dziadersa.
3149:  BFP - Tak, uosobienie dziadersa.
3151:  BFP - Ja się poczułem wtedy dziadersem.
3154:  BFP - Ale wiecie dlaczego?
3155:  BFP - Bo rozumienie meta Lany Łaczowskiej to jest port parol.
3159:  BFP - Wezmę bohatera, który wyraża moje poglądy i jego głosem powiem to, co myślę.
3164:  BFP - Ja jestem dziaderem i żyło mi się lepiej, ale wy macie te swoje smartfony.
3169:  BFP - To jest condescending.
3170:  BFP - To jest jakaś taka...
3174:  BFP - paternalizowanie.
3175:  BFP - I to takie nieprzyjemne i tak rozumie to Lana Łaczowski i Matrix.
3179:  BFP - A co zrobił Spider-Man?
3181:  BFP - Jak rozumiana jest tam meta?
3183:  BFP - Tobie Maguire podchodzi, podchodzi do Garfielda i mówi Man, you are amazing.
3187:  BFP - You are amazing.
3189:  BFP - I każdy wie o co chodzi.
3190:  BFP - Nawiązuje do tego, że on czuł się najgorzej ze wszystkich aktorów grających Spider-Mana, bo ucięto jego serię, bo nikomu tak naprawdę nie podobały się te filmy, a nazywał się The Amazing Spider-Man.
3200:  BFP - To jest meta.
3201:  BFP - I to jest z myślą o fanach.
3204:  KMM - Ale to jest w ogóle, bo poczułem się wywołany do odpowiedzi.
3207:  KMM - Ja użyłem tego głosu.
3208:  KMM - Tak, oczywiście.
3210:  KMM - Momentalnie rozpoznałem.
3212:  KMM - Więc mam 32 lata doświadczenia w jego rozpoznawaniu.
3215:  KMM - W każdym razie problem z tym, co poruszyłeś, jest wielopoziomowy.
3221:  KMM - To znaczy ten głupawy przekaz jest kompletnie nie na miejscu w odniesieniu do tego uniwersum, chociaż Matrix jest w pieprzonej przyszłości, w której już...
3233:  KMM - Facebooki, Instagramy i Twittery i Tindery są prehistorią, mamy coś więcej.
3240:  KMM - Ba!
3242:  KMM - Ten film się zdezaktualizował w tym roku, w którym wyszedł, bo Zuckerberg zapowiada prowadzenie Metaversum, tak?
3249:  KMM - Więc to jest tak wielopoziomowo kretyńskie, że powinno się za to przyznać order i odebrać Lanie Wachowskiej wszystkie dyplomy, gdyż problem główny polega na tym, że w momencie, w którym w ten sposób szedzimy z generacji ludzi, którzy się wychowali na Matrixie
3266:  KMM - i zainspirowani Matrixem zaczęli robić tego rodzaju aplikacje, to wpadamy w pętlę, która jest kompletnie nieuzasadniona.
3274:  KMM - No i najważniejsza i najbardziej kluczowa kwestia jest taka, jeżeli to jest jedyny przekaz tego filmu, oprócz Amor Vincit Omnia, to jest to nędzny przekaz.
3283:  KMM - bo on w żaden sposób nawet nie narusza tych problemów, które poruszał zawsze Jean Baudrillard w swoich tekstach filozoficznych, do których rodzeństwo Wachowskie się odwoływało na początku.
3299:  KMM - Tak, i ja w tym momencie widzę regres w stosunku do rozumienia filozofii Baudrillarda i to taki gwałtowny regres.
3305:  KMM - No nie jest to William Gibson, tak?
3307:  KMM - Nie, nie, nie, no absolutnie.
3308:  KMM - Znaczy właśnie to jest problem, że to się zrobiło taka pasza popcornowa.
3312:  KMM - Tak, to już nawet nie jest cyberpunk, to już nawet nie aspiruje do bycia cyberpunkiem.
3316:  KMM - I ja mam tak to jedno wyjaśnienie.
3318:  KMM - To jest moja robocza hipoteza.
3319:  KMM - Ona się opiera na definicji tego, czym jest takie w pełni allotopijne światotwórstwo, że tworzymy inny świat.
3327:  KMM - I jeden z elementów tego świata jest następujący.
3331:  KMM - Tu nie może być alegoria.
3333:  KMM - Bo jeżeli robimy alegorie, to natychmiast wikłamy się w tego rodzaju kretyński przekaz, który zadziałałby świetnie, gdyby to był film osadzony w naszej rzeczywistości.
3342:  KMM - Można byłoby sobie tego rodzaju rzeczy robić.
3344:  KMM - Zresztą nie szukajmy daleko, niedawno wyszedł Don't Look Up, tego rodzaju film.
3349:  KMM - To jest bardzo satyryczny, prosty komentarz, który jest tam wykorzystany, bardzo dobry i adekwatny w odniesieniu do rzeczywistości covidowej i denialistów pandemicznych itd.
3360:  KMM - Sprawdza się.
3361:  KMM - Teraz wyobraźmy sobie, że to jest film osadzony w zupełnie innej rzeczywistości i
3365:  KMM - Wtedy ona traci trochę z tej imersji, traci tego uroku.
3368:  KMM - Zresztą, jak Eco definiował allotopię, mówił, że to musi być świat bardziej realny od rzeczywistego, taki, żebyśmy w niego uwierzyli.
3375:  KMM - Uwierzyli, że ludzie, którzy zamieszkują ten świat, żyją.
3378:  KMM - I dlatego on nie może być alegorią, bo alegoria mówi, ten króliczek to tak naprawdę nie jest króliczek, tylko to jest alegoria gasnącego kapitalizmu.
3386:  KMM - I ja, to nie ma wtedy sensu, tak?
3388:  KMM - Pozbawiamy ludzi interpretacji, dajemy im gotowe wzorce.
3391:  KMM - Ja nie mogę sobie zinterpretować tego Matrixa, tak bym chciał, bo ja mam podane okruszki, za którymi muszę podążać.
3397:  KMM - Dokładnie mam rozumieć tak Merowinga, mam rozumieć tak to Simulate, mam rozumieć w taki sposób relacje.
3404:  BFP - To się nazywa poporność.
3405:  KMM - Tak, relacje Neo i Trinity.
3407:  KMM - Więc tu jestem oburzony bardzo, bo wprowadzanie fantastyki do alegorii tej nowoczesnej fantastyki, która nie jest romantyczną fantastycznością, tylko jest fantastyką światotwórczą, jest przejawem niezrozumienia tej potęgi tego nurtu.
3423:  KMM - i próbą zbliżenia do narracji mainstreamowych osadzonych w naszej rzeczywistości, które nie tracą przez używanie alegorii, wręcz przeciwnie, czasem zyskują, bo znamy już ten świat, w którym są osadzone i możemy sobie spekulować na temat różnych rzeczy,
3438:  KMM - i zmieniać perspektywę, z której oglądamy ten świat.
3441:  KMM - To jest atrakcyjne poznawczo.
3442:  KMM - Ja nie chcę zmieniać perspektywy, z jakiej oglądałem Matrixa, ponieważ nie mam innych okien dostępowych do tego świata, poza tym, co dali mi w obrębie transmedialnego świata Matrixa.
3451:  KMM - Bo jeszcze pamiętajmy, że to jest świat transmedialny.
3453:  KMM - Przecież tam wspomnieliśmy Animatrix, komiks, gry, seriale.
3456:  BFP - Gry, które były kanoniczne fabularnie.
3459:  BFP - Tam umarł Morfeusz.
3460:  BFP - Ale zostawiając wam jeszcze ostatnie zdanie każdemu z was w tym naszym temacie fanservice'u, bo naprawdę zmieniliśmy to w roast Matrixa, bo to chyba po prostu hejt daje nam przyjemność.
3471:  BFP - Jesteśmy Polakami!
3473:  BFP - Lubimy ponapierdalać winnych!
3475:  BFP - Winnych!
3476:  KMM - Krytykarz to cnota, którą należy kształcić.
3480:  BFP - Przepraszam, ja jeszcze tylko raz chciałem pierdolnąć tego Merrowinga, tak już tylko odrobinkę.
3484:  BFP - Wiecie, tak się zastanawiam z perspektywy logiki wewnętrznej tego świata.
3490:  BFP - Jeżeli Merrowing mówi o Marku Zuckerbergu, który istnieje, musi istnieć w tym świecie, w Matrixie, to dlaczego Keanu Reeves nie gra Keanu Reevesa?
3498:  AK - Czemu nikt nie powiedział, stary, wyglądasz jak Keanu Reeves?
3502:  AK - Ja się zacząłem zastanawiać w pewnym momencie, jest kilka filmów, które grają idealnie z takim konceptem właśnie bycia aktorem, który gra siebie.
3511:  AK - To był Być jak John Malkovich, to jest na przykład coś, co jest zapowiedziane i podejrzewam, że pokocham ten film i tak samo jak wy pokochacie.
3518:  AK - Film z Nicolasem Cage'em, który się nazywa Nieznośna ciężkość talentu.
3524:  AK - Tak, tak, tak.
3526:  AK - który on gra siebie.
3527:  AK - Ja już wiem, że ten film dla mnie będzie kultowy.
3529:  AK - W ogóle Nicolas Cage, nie wiem, czy się ze mną zgodzicie, ale jego wybory aktorskie w ostatnich dwóch czy trzech latach, to jest po prostu nieprawdopodobne, niebywałe.
3536:  GW - To jest operetkowy cesarz.
3538:  AK - To jest kosmos.
3539:  GW - Świnia, prawda?
3540:  AK - To jest John Wick na takim poziomie, którego Keanu Reeves nawet podejrzewam, że czytał scenariusz i nie jest w stanie intelektualnie ogarnąć.
3547:  AK - Całe szacunki dla Keanu Reevesa.
3550:  AK - To jest krytyka kapitalistów, to jest świetny film z takim poziomem meta.
3554:  AK - To jest jak gdyby mój pierwszy taki zarzut, że może po prostu ktoś kurczę nakręcił ten film, ale ktoś go po prostu wykastrował na etapie postprodukcji, w sensie robienia montażu.
3564:  AK - Bo może tam jest ta gra, może ten Keanu Reeves jest Keanu Reevesem, który zwariował.
3568:  AK - Chciałbym, błagam, niech ktoś zrobi przeróbkę, niech ktoś weźmie i wiecie, wytnie, zrobi na YouTubie taki film 15-minutowy, gdzie on jednak cały czas jest Keanu Reevesem.
3577:  AK - Druga rzecz, jeszcze też wrzucę do Spidermana na zakończenie.
3580:  AK - Ja się boję jednak tego, że Tom Holland jest bohaterem jednej sztuki, dlatego że zobaczyłem go w trailerze do Uncharted i powiem szczerze, ja tego filmu na tym poziomie już nie kupuję, to znaczy
3596:  AK - Dla mnie Mark Wahlberg, którego kiedyś lubiłem, a teraz uważam, że już kompletnie odcina kupon od swojej kariery, nawet już nie wiem jaki, bo na pewno nie hip-hopowej, umówmy się, ale w zajawce do Uncharted, kiedy moje dzieciaki poszły do ubikacji, wróciły, ja patrzyłem na nie i mówię, nie powiem im, że to jeszcze nie jest Spider-Man, one musiały powiedzieć, o, Tom Holland, co takiego dziwnego robi?
3615:  AK - Tam była ta scena, kiedy wypada z samolotu i tam po tych pudłach skacze.
3618:  AK - I powiem Wam, że...
3620:  AK - Nie, to coś mi tak z tyłu pleców łazi, że tak sobie myślę, że Tom Holland może chyba uwierzyć w siebie, że on jest naprawdę zajebistym aktorem, co bym tutaj powątpiewał, ale moim zdaniem zajebistość Toma Hollanda polega na tym, że on świecił światłem odbitym zawsze aktorów, z którymi on grał na planie filmowym.
3639:  AK - I najlepsza według mnie scena, dla mnie przynajmniej osobiście, czy właściwie seria scen, to była relacja z Iron Manem.
3647:  AK - To kiedy ginął jako Spider-Man, to kiedy ginął potem Iron Man, to dla mnie były kanoniczne elementy też uniwersum Marvela i to kształtowało też Spider-Mana.
3657:  AK - nawet kiedy w kolejnych częściach nie było fizycznie Ironmana, ale był jego duch.
3663:  AK - Były okulary, były takie cząstki, takie artefakty wrzucone przez producentów i reżyserów.
3669:  AK - Ja się tylko boję, że Tom Holland się skończy na byciu bohaterem ostatniej akcji i uwierzeniu w tym, że jest zajebisty, bo ma 1,5 metra, ma fajną klatę, ale po prostu nie jest dobrym aktorem.
3679:  BFP - Na chwili przejście i powiedzieć.
3680:  BFP - Nie, nie, ja tylko pozwolę wypowiedzieć Grzegorzowi Krzysztofowi, ja tylko tu stawiam gwiazdkę, że odbiję wszystko to, co powiedziałeś.
3686:  BFP - No i zajebiście.
3689:  GW - To tak, ja wprowadzę jedno, ostatnie cięcie z mojej strony z tych tysiąca, które zadaliśmy Matrixowi, a później już trochę posmaruję Aloesem w kontekście MCU.
3700:  GW - Natomiast jeżeli chodzi o Matrixa, jedna rzecz jeszcze mnie tragicznie bolała.
3705:  GW - to jest to, że zabrano mi to, co było clou pod kątem pracy kamery w poprzednich częściach.
3711:  GW - Tam łączono bombastyczność zachodniego kina jakby w tych wielkich momentach.
3715:  GW - Detal niekiedy nawiązujący do najlepszych praktyk kina europejskiego, a w trakcie walk… Z Hollywoodem, z Hollywoodem.
3723:  GW - Piękne ujęcia, takie charakterystyczne dla takiego dalekowschodniego kina akcje, statyczne, szerokie ujęcie, podziwialiśmy ten teatr choreografii, a tutaj dostaliśmy taki miszmasz po prostu, ledwo odszedłaliśmy, intencje ruchu, ktoś po prostu włączył mi nagle...
3742:  GW - Taken po raz kolejny, shaky cam, jakieś takie dziwne przejścia.
3747:  GW - Dlaczego?
3749:  GW - No właśnie, dlaczego to zrobili, skoro to tak dobrze działa w trakcie walk?
3755:  GW - Bo nie mieli choreografa głównego.
3756:  GW - No tak, ale właśnie tutaj jeszcze brakuje mi tego, że Matrix przecież dużo brał z Ghost in the Shell, w sensie anime.
3766:  GW - I właśnie ten ambient w tle, właśnie ten taki mistycyzm pewien, ta etniczność muzyki, to jest wzięte z Ghost in the Shell.
3779:  GW - Tak samo zresztą jak te latające literki, tam była inspiracja właśnie, o ile dobrze kojarzę, to Chris Tuckman w anime Impact o tym pisał.
3787:  GW - Także pozabierali mi te takie wartościowe tropy z tego wszystkiego, więc ciężko mi pozytywnie ocenić tutaj Matrixa, no a teraz może też fajny statement mój w stosunku do Spidermana, że
3808:  GW - MCU w co najmniej połowie filmów wie jak dobrze zbudować ten uniwersum i wprowadzić kolejne postacie czy motywy fabularne i tutaj mamy taką klamrę dopinającą, ale wszystkie filmy o Spider-Manach do tej pory.
3821:  GW - I tutaj to jest jakby, ja jestem wielkim fanem Spider-Mana, więc dla mnie to była rewelacja.
3826:  GW - Tutaj każdy Peter Parker miał swoje podsumowanie, jakiś taki
3830:  GW - Redemption, a właśnie głównie Andrew Garfield, gdzie złapał w końcu tą MJ, gdzie nie udało mu się to w jego serii.
3845:  GW - Trochę takie mieliśmy...
3848:  GW - taką grupową terapię, takie kółko, wzajemne kółko wsparcia.
3853:  GW - I właśnie najlepsze, że to działa, bo zazwyczaj na terapii jest tak, że uczy się ludzi, żeby patrzyli z perspektywy trzeciej osoby, a tutaj mieliśmy trzy osoby, które patrzyły na siebie i na wspólne problemy z zewnątrz i wzajemnie siebie trochę przebudowały, powiedzmy, w trakcie tych krótkich rozmów.
3873:  GW - Także jak dla mnie to był w ogóle fantastyczny zabieg.
3876:  GW - No i już pomijając to, że wprowadzenie multiwersum, kolejne nadbudowanie tego świata, które w wygodny sposób pozwoli nam teraz, że Disney będzie nas po prostu pasuł kolejnymi filmami przez następne długie lata i jak dla mnie jako festiwal fanservice'u, no to Spider-Man jest oczywiście 11 na 10, chociaż jako osobny film tutaj się aż tak bardzo dobrze
3905:  GW - nie broni wciąż.
3907:  GW - Spiderman to jest osobna liga w stosunku do tego Matrixa nowego.
3914:  AK - Krzysztof, piszemy petycję o odwołanie Lany Łaciowski.
3918:  AK - Już nam się udało odwołać prawie panią Lauren Fiswich, więc myślę, że też możemy zaapelować do społeczności internetu, do wykopów, do różnego typu innych miejsc, gdzie przebywają kulturalne osoby.
3932:  BFP - I znowu będziemy traktowani jako liderzy polskiej altprawicy.
3942:  BFP - Krzysztof, twoje closing words.
3945:  KMM - Ktoś to sklipuje i zobaczysz, będziemy już trwale w sieci jako liderzy polskiej altprawicy.
3951:  KMM - Będziemy głosowali na Bosaka, na PM.
3954:  KMM - Wiecie co, powiem tak, że porównujemy ze sobą w zasadzie dwa filmy, które miały szansę, znaczy jeden tylko z nich jest kultowy, a drugi miał szansę być kultowy.
3964:  KMM - I całkiem realnie, to znaczy mówiąc już zupełnie serio, ten pomysł narracyjny, że
3970:  KMM - it was all the game, to była tylko gra, mógł być wykorzystany naprawdę dobrze.
3977:  KMM - Przypomina mi się w tym kontekście genialny film o Larpie, to znaczy gra z Michaelem Douglasem, jeden z moich ulubionych filmów wszechczasów.
3985:  KMM - Jeżeli bym zobaczył grę z Michaelem Douglasem, tylko że w realiach Matrixa, z inteligentnymi, dowcipnymi komentarzami do tego świata i z uwzględnieniem faktu,
3998:  KMM - że był pokój między ludźmi a maszynami, niełatwy wprawdzie, i z tego pokoju wynikała moc Neo, to wtedy byłoby to dobre.
4006:  KMM - Właśnie tu jest ta kluczowa kwestia.
4008:  KMM - Spider-Man No Way Home świetnie rozpoznaje źródło mocy Spider-Mana.
4014:  KMM - Źródłem mocy Spider-Mana jest jego cierpienie i empatia.
4019:  KMM - połączone ze sobą.
4020:  KMM - Natomiast nie jest ukąszenie pająka.
4022:  KMM - Tak samo źródłem mocy Neo nie jest to, że ktoś mu dał węża do szyi i wstrzyknął go do Matrixa, tylko źródłem mocy Neo jest to, że przezwyciężył swoje niedoskonałości, ogromne cierpienie i transcendował.
4037:  KMM - Stał się tym H+, postczłowiekiem.
4040:  KMM - Uwierzył w siebie, ale równocześnie wziął najlepsze to, co jest w ludziach i w maszynach.
4046:  KMM - Dlatego ten film dramatycznie w czwartej części nie ma sensu, bo jedynym dobrym rozwiązaniem będę się upierał z perspektywy narracyjnej było wprowadzenie trzeciej siły.
4057:  KMM - I wariant Filipa to są te maszyny, frakcja buntownicza.
4061:  KMM - To jest jeden na drogę zrobienia dobrego Matrixa.
4064:  KMM - Druga droga, o której ja myślałem...
4067:  KMM - ludzka kolonia, koloniści wysłani 2000 lat wcześniej w inną część galaktyki, wracają, zastają w tym momencie to, co jest na Ziemi i mówią, what the actual fuck?
4078:  KMM - I nagle się okazuje, że w tym momencie... Że to planeta małp.
4080:  KMM - Tak, że część maszyn chce współpracować, część nie i mamy jakiś grounding do tego wszystkiego, mamy jakieś podłoże narracyjne i fabularne i można na tym pracować.
4091:  KMM - Spiderman No Ways Home działa dlatego, że wracamy do domu i spotykamy znajome postaci.
4096:  KMM - I już w tym momencie 50% sympatii widza film tym zyskuje, bo to dobrze robi.
4103:  KMM - Chciałem też, trochę tak jak Grzegorz mówił, wrócić do domu, którym jest Matrix dla mnie, który był dla mnie bardzo ważny, zresztą myślę, że dla nas wszystkich, generacyjnym filmem i przeżyciem.
4113:  KMM - I zobaczyłem, że w tym moim domu ktoś spał w łóżeczku, ktoś mi zżarł wszystko z lodówki, a ktoś inny nasrał na stół.
4120:  KMM - I to nie jest miłe.
4122:  KMM - Chciałbym wrócić do domu, który jest pachnąca pościel.
4130:  KMM - Więc chciałbym wrócić do domu, który jest zadbany, tak?
4133:  KMM - A nie do domu, w którym ktoś się szarogęsi rozpanoszył i poprzestawiał wszystko i nie rozpoznaje tego jako mojego domu.
4140:  BFP - Krzysztof, jego metoda barokowego przestawienia trójki tak zwane, czyli pierwsze tak, drugie tak, trzecie wystrzał głowy.
4150:  BFP - Ja zgodzę się z Tobą, że Matrix czy Lana Łaczowski naprawdę mogła pójść świetnym wzorem wytyczonym przez Denis Villeneuve'a i Blade Runner'em 2049, gdzie tamten Neo, jakim był Descartes,
4168:  BFP - pojawia się w połowie filmu i odgrywa wspierającą rolę, ale jest to historia innego wybrańca, który na koniec w ogóle nie okazuje się wybrańcem, tak?
4179:  BFP - To jest świetny przykład tego, jak można przywrócić do życia z klasą film, który jest oparty na pierwowzorze sprzed 30-40 lat.
4189:  BFP - Ale obiecałem odbić parę rzeczy, o których mówił Artur.
4193:  BFP - Jeżeli chodzi o Toma Hollanda, to on niewiele już musi udowadniać.
4197:  BFP - Bo on jako dzieciak występował na Broadwayu grając Billy'ego Elliotta.
4201:  BFP - To raz.
4202:  BFP - Dwa.
4203:  BFP - Grał w filmie Niemożliwe z Ewanem McGregorem, jednego z trzech synów.
4209:  BFP - To jest ten o tsunami, które uderzyło w Tajlandię i był znakomity.
4213:  BFP - I grał z Charlie Hanamem także w filmie The Lost City of Z, gdzie również zagrał fantastycznie.
4219:  BFP - To jest naprawdę dobry aktor i wierzę mu, kiedy on mówi w wywiadach, że dla niego porażką artystyczną będzie, jeżeli będzie grał Spidermana po 30.
4227:  AK - Tak, to chyba jego obecna dziewczyna powiedziała, Zendaya.
4231:  BFP - Tak, tak.
4232:  BFP - Ale trzymając się także tego, co powiedziałeś i ponownie zestawiając na koniec te dwa filmy ze sobą, czemu jeden robi to tak świetnie, a czemu drugi robi to tak fatalnie.
4240:  BFP - To jest to, że...
4242:  BFP - Niedoceniamy być może, a może wy niedoceniacie, tego jak dobre zakończenie ma Spider-Man No Way Home.
4248:  BFP - Mianowicie jest to całkowity reset status quo tej postaci.
4253:  BFP - To jest bardzo głęboko poruszające zakończenie, w którym on traci wszystko w swoim życiu, poza tym co ma i co dał mu pająk radioaktywny, który go ukąsił.
4263:  BFP - Traci swoją ciocię.
4265:  BFP - Traci swojemu kochaną, traci swojego przyjaciela, bo decyduje się, że z wielką mocą wiąże się wielka odpowiedzialność, nie wciągnie ich na nowo do swojego życia.
4272:  BFP - Ale traci wszystkie gadżety, traci cały swój kostium, który miał od Starka.
4277:  BFP - Wszystko jest tabula rasa, będzie zaczynał od nowa, wyciął sobie teraz kostium, który jest...
4282:  BFP - Wygląda tak, jakby był z lat 90.
4284:  BFP - Kojarzy się z tym animowanym Spider-Manem, którego ja zresztą uwielbiałem, w latach 94-98 się ukazywał.
4290:  BFP - I zaczyna wszystko od nowa.
4291:  BFP - To zapowiada zupełnie nową trylogię, nowy punkt wyjścia.
4295:  BFP - To jest bardzo satysfakcjonujące, bo nawet jeżeli nie jesteśmy szczęśliwi tym rezultatem, to jest to śmiały statement.
4302:  BFP - A jakie jest zakończenie Matrixa?
4305:  BFP - Nie było żadnego setupu prowadzącego do tego, że Trinity jest nowym wybrańcem.
4310:  BFP - A tak trochę to rozczytuje.
4311:  BFP - Albo, że Neo nie może rozwinąć się w pełni bez Trinity, a Trinity bez Neo.
4316:  BFP - I nagle na ostatniej prostej zostaje wprowadzone, ha, tak naprawdę to ona potrafiła latać.
4322:  BFP - I teraz przylatują do analista, co wygląda absolutnie jak...
4326:  BFP - kiepski kabaret i mówią, no a nie, może ci spuścimy wpierdy, może nie, teraz my tu będziemy rządzili i wchodzi utwór Brass Against, który gra utwór Rage Against the Machine i który jest niezłym w wykonaniu, bo ja lubię Brass Against, ale ponownie ten ostatni utwór jest dla mnie wyrazem tego, co ja rozumiem jako Matrix, rewizja.
4343:  BFP - Wrzucamy ten sam utwór, który zamykał Matrixa i który miał pazur, a teraz podmieniamy go utworem, który nie ma pazura i jest...
4351:  BFP - Taką melodią, która dzisiaj pasuje bardziej do mojego dzisiejszego ja, tak jakby to powiedział Lana Łaczowski.
4356:  BFP - A jednocześnie jest to utwór zespołu, którego wokalistka nasikała na twarz fanowi na koncercie.
4361:  BFP - Tylko zaznaczę, to zrobiła Brass Against.
4364:  BFP - I to było bardzo głośne.
4365:  BFP - Jak ktoś słusznie powiedział, jej gest jest dobrą odpowiedzią na to, co dokładnie zrobiła Lana Łaczowski fanom.
4372:  BFP - Swoją drogą będę widział Brass Against w maju 2022 roku, bo będą grali przed tulem.
4377:  GW - Chyba, że zniechęcą się tym, że... Będzie stał w pierwszym rzędzie?
4382:  BFP - Tak, biorę parasolkę.
4386:  BFP - I płaszcz przeciwsztormowy.
4388:  BFP - Więc tyle mogę powiedzieć na koniec.
4391:  BFP - Skończyło się na sikaniu na fanów, a tak naprawdę jest to bardzo dobra metafora tego, co chciałem powiedzieć a propos Matrixa.
4398:  BFP - Ale widzicie, zestawiając jedno z drugim, to jak się rozumie meta w tym filmie, jak się rozumie meta w tym filmie?
4402:  BFP - Czym jest fanservice przez wprowadzenie takiej postaci jak N. Smith, a czym jest wprowadzenie takiej postaci jak Andrew Garfield, Spider-Man i tak dalej, i tak dalej.
4411:  BFP - Myślę, że to wystarczy.
4413:  BFP - Ja jestem oczywiście napalony na to, co się będzie działo w komentarzach, chociaż przypominam ten disclaimer z początku.
4419:  BFP - Naprawdę oczekujemy dobrych, rzeczowych komentarzy i krytyki na poziomie.
4423:  BFP - Będziemy chętnie się udzielali, będziemy odpowiadali na te pytania.
4425:  BFP - Pamiętajcie, żeby subskrybować bez schematu i kliknąć dzwoneczek.
4429:  BFP - I sprawdźcie też naszą poprzednią dyskusję, jeżeli nie widzieliście, jak dyskutowaliśmy o Wiedźminie, chociaż to pewnie mało możliwe, bo już jest 40 tysięcy obejrzeń, kiedy to się ukaże, będzie jeszcze więcej.
4438:  BFP - I jeszcze na pewno zobaczycie nas w tym składzie w 2022 roku, liderów nowej, młodej prawicy w Polsce.
4447:  BFP - Tylko Krzysiu Bosa.
