WIEDŹMIN sezon 2. Recenzja bez litości i analiza bez filtra
🔗 https://www.youtube.com/watch?v=KoZgOqNtxfY
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
AK (Artur Kurasiński)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - No więc, Wiesiek Wiesiek, co z Ciebie wyrośnie?
2937:  KMM - Zadać sobie pytanie, co się działo wtedy w Zerikanii?
2940:  KMM - O, fajnie, może coś o tym zrobimy.
2942:  KMM - Tutaj sobie możesz wypełniać.
2943:  KMM - Ale jeżeli jest coś w lore zdefiniowane i powiedziane, jak na przykład podróże międzywymiarowe,
2947:  KMM - bo jasnego chuja wprowadzasz jakieś monolity.
2950:  KMM - Po co to jest w ogóle potrzebne?
2951:  KMM - Jakie, gdzie?
2952:  KMM - Koniunkcja sfer była raz, a teraz koniunkcja sfer jest, jak sobie Ciri zapragnie, jak krzyknie sobie mocniej, to z monolitu nagle zaczynają wyfruwać jakieś muchy.
2961:  KMM - To jest jakiś kompletnie poroniony pomysł.
2963:  KMM - Już pomijam, że koncept podróży wielowymiarowych, który jest przepięknie u Andrzeja Sapskiego wykorzystany wprowadzeniem tego starego panslawistycznego w zasadzie mitu dzikiego gonu, który też się pojawia w innych mitologiach,
2976:  KMM - mitografiach w zasadzie.
2978:  KMM - To są jacyś metalowcy na motorach na Marsie.
2981:  KMM - To są motomyszy z Marsa.
2983:  KMM - No naprawdę.
2985:  KMM - No przecież jak ja to zobaczyłem, to myślałem, że zjejdę.
2989:  KMM - W Wiedźminie komputerowym to są elfy i ma to sens.
2993:  KMM - To są jakieś pieprzone motomyszy z Marsa, do których dołącza Baba Jaga.
2997:  KMM - And I'm not even shitting you.
3000:  KMM - Znaczy, wyobraźcie sobie ten pitch scenariopisarski.
3003:  KMM - Zróbmy motomyszy z Marsa, ale wiecie co, wiecie, ja mam pomysł, ja mam pomysł, mówi, mówi Eddie i Eddie, Eddie z Connecticut mówi, słuchajcie, niech tam Baba Jaga do nich dołączy, bo ona, no w Hellboyu była taka zajebista Baba Jaga, ona ma taki, taki dom na tej kurzej stopce i to takie słowiańskie będzie, będzie taki duch tego Wiedźmina, tego wiecie, ten z Rosji, z Polski, nie, nie, Eddie, to jest z Polski, nieważne, słowiański, Baba Jaga i to, o, będzie super.
3029:  KMM - I
3029:  KMM - Pomijam już koncept, że ta Baba Yaga w którymś momencie inwaduje ducha Ciri i nagle właśnie wszyscy zaczynają nią dźgać.
3035:  KMM - Po co w ogóle jest sprowadzone?
3037:  KMM - Nie mam zielonego pojęcia.
3038:  KMM - Dlaczego Baba Yaga nagle ma zdolności?
3039:  KMM - Nie mam pojęcia.
3041:  KMM - Ale najgorsze w tym wszystkim jest postawa Vesemira, który zmienia się w jakiegoś kompletnego idiotę chcącego zaszlachtować Ciri, jakby zapomniał całe swoje szkolenie wiedźmińskie.
3051:  KMM - Żeby było śmieszniej, z Morzy Wilka
3054:  KMM - We własnym filmowym uniwersum Netflixa jest scena, w której ten sam Wesemir pomaga w wyegzorcyzmowaniu ducha z ciała postaci.
3064:  KMM - Czyli oni nie są nie tylko niezgodni z lore książkowym, są niezgodni ze własnym lore i z własnym uniwersum filmowym.
3072:  KMM - Czyli Wesemir zapomniał, kim był i stał się psychopatycznym kretynem.
3075:  KMM - I jeszcze, żeby było śmieszniej, wcześniej Wesemir robi coś, czego Wesemir nigdy by nie zrobił.
3080:  KMM - Wesemik, który traktował Ciri jak dziadek, jak swoją własną wnuczkę, nagle mówi, że potrzebuje mojej krwi, chce stworzyć Wiedźminów.
3089:  KMM - Zachowuje się jak Ikit Klo ze sklanu Skavenów, chce wydrenować tę krew z Ciri i produkować Wiedźminów na skalę manufakturową.
3096:  KMM - Przecież to jest tak chory koncept.
3099:  KMM - Jak ja to zobaczyłem, to był taki moment, w którym zacząłem do wszystkich wysyłać teksty na Messenger i mówić, słuchajcie, co się tutaj dzieje?
3104:  KMM - Przecież w tym momencie oni zniszczyli jedną z najpiękniejszych postaci.
3107:  KMM - Postaci, która jak dzieje się z nią to, co się dzieje w Wiedźminie 3, nie spoiluję na wszelki wypadek, ja płakałem w tej scenie i nagle dostaję Wiedźmina serialowego, którego nienawidzę.
3119:  KMM - Wiedźmina serialowego, który oddaje Eskela, który zostaje zaszlachtowany po tym, jak się przemienił w drzewo i oddaje go na pożarcie wilkom.
3129:  KMM - Powiedzcie mi, jaki sens ma ceremonia pogrzebowa oddawania na pożarcie wilkom?
3135:  KMM - A wiem, bo to jest cech wilka, to dlatego.
3138:  AK - A jakby był Czech jaszczura, czy tam Cech w innej... Wiesz... Kota, kota.
3146:  AK - Koty jedzące ciało?
3147:  AK - Jestem w stanie uwierzyć.
3151:  BFP - A propos tego Wezimira, to jest gorzej.
3153:  BFP - Przecież tak w skrócie wygląda dialog między Ciri a Wezimirem, który już pozyskuje od niej krew.
3160:  BFP - Ciri, zmień mi wiedźminkę.
3163:  BFP - A Wezimir... Nie, Ciri, nie.
3166:  BFP - Ciri, no weź.
3168:  BFP - Wezimir, no dobra, siadaj.
3169:  BFP - Po czym przychodzi Geralt i mówi, co ty robisz?
3171:  BFP - A Wezimir, ona sama chciała.
3173:  BFP - Ona sama chciała.
3175:  BFP - Przecież tak jest.
3176:  BFP - No to jest dosłownie tak.
3177:  BFP - Jakby Wezimir nie dość, że wygląda faktycznie jak 60-letni wufier z tym bębenem, to jeszcze taki creep trochę, który nie ma kręgosłupa moralnego.
3186:  BFP - No i kurde, było to trochę rozczarowujące, nie da się ukryć.
3190:  AK - Pomyślcie sobie, że do tego uniwersum na przykład wjedzie taka postać jak Regis, czyli bardzo specyficzny
3199:  AK - który będzie miał według książki, powinien mieć takie przynajmniej kilka odcieni szarości, który dla całości w ogóle pięcioksiągu będzie właściwie jedną z ważniejszych postaci.
3211:  AK - Czy Milwa ta wśród
3212:  AK - wspaniała uczniczka, która była takim trochę redneckiem.
3216:  AK - Znaczy ja nie wyobrażam sobie, jak bardzo jeszcze można zszargać ten serial albo inaczej książkę poprzez próbę adaptacji tego, co się będzie działo w dalszych odcinkach, ale myślę, że pani Lauren nas zaskoczy, bo jako żywo myślę, że ona będzie po prostu wyciągała łapami to, co Krzysiek powiedział o tym, że tak prawdopodobnie wyglądała narada w tym pokoju pisarskim.
3240:  AK - że oni po prostu usiedli i stwierdzili, dosmaczmy to jakimś takim słowiańskim akcentem.
3245:  AK - Z czym wam się kojarzy Słowiańszczyzna?
3247:  AK - Putin, wódka, blisko, blisko, jakieś bajdy, jakieś klechdy, dobra, noga, widziałem właśnie Diablo czy tam innego Hellboya, to weźmy tą nogę, ale jak ma to się do Wiedźmina?
3261:  AK - No coś tam dogramy, stwórzmy mit jakiejś nienarodzonej matki czy bezśmiertnej matki,
3266:  AK - Kurde, to mi, w pewnym momencie ja mówię, plus ta sowa, która była na obronę, występowała sowa, była jako ptak, który, ale jak widziałem te sceny, plus tą walec coś tam, to ja mówię, to jest Harry Potter.
3279:  AK - Kurde, oni ucelują w tych młodych odbiorców, którzy po prostu gdzieś tam pamiętają jeszcze
3284:  AK - Nie wiem, Hagrida, wiecie, ten las tam z tymi pająkami.
3287:  AK - Jak go żywo.
3288:  AK - Chatka na kurzej nóżce.
3290:  AK - Chat, chat, chat, który oni tam krzyczeli.
3292:  AK - Ja mówię, co oni drał na japę?
3293:  AK - O co chodzi?
3294:  GW - Ale to jest właśnie, to jest dokładnie to, co mówiłem.
3296:  GW - To jest uzachodowienie, żeby tropy, które znają z popkultury i z różnych motywów, które się przewijały przez lata właśnie w kulturze zachodniej, żeby mieli ten jakiś punkt zaczepienia, że o, to znam, to będę oglądał, tak?
3310:  GW - No bo...
3313:  GW - W momencie, kiedy by wprowadzić tutaj tak bardziej te motywy Sapkowskiego na czysto, to tak, ale jak to ktoś może być i dobry, i zły, albo dobry ze złych powodów, albo zły z dobrych powodów?
3325:  GW - Bingo.
3326:  GW - Biedny widz by się pogubił.
3327:  GW - W ogóle nie ma poszanowania miejscami dla jakichkolwiek strzępków inteligencji widza w tym momencie.
3335:  BFP - Tak, Cesarzem już się wydaje taki bardzo jednostronny, jednobarwny, ale w ogóle przypomnijcie sobie, ile tych Wiedźminów
3342:  BFP - w Kaer Morhen.
3343:  BFP - Ile ich tam w ogóle siedzi?
3345:  BFP - To jest zajazd u szwagra po prostu.
3347:  GW - Oni tam wszyscy się... W ogóle jedna postać, która była wymieniona z imienia, o ile dobrze kojarzę, była w ogóle nie z tej szkoły.
3353:  GW - Ale to już jest taki szczegół.
3356:  BFP - Z tego co pamiętam, tam czterech Wiedźminów powinno być łącznie.
3359:  KMM - Wesemir, Eskel, Lambert i Coen.
3360:  KMM - To jest czterech Wiedźminów, które tam powinno być i stacjonować.
3364:  KMM - Ale w ogóle też w odniesieniu do tego, co Artur powiedział, ja myślę, że mnie już nic nie zdziwi w tym serialu.
3369:  KMM - To znaczy, jeżeli Regisa na przykład, jedną z moich ukochanych postaci fanów, zagra Adam Sandler, to ja się nie zdziwię.
3375:  KMM - Ja po prostu powiem tak, no to jest konsekwencja...
3380:  KMM - Wyobraziłem to sobie.
3381:  KMM - To jest konsekwencja bardzo konkretna, scenariuszowa.
3387:  KMM - Ja już się nie zdziwię absolutnie.
3389:  KMM - Przecież wyobraźcie sobie, że komukolwiek na etapie 2015 roku, kiedy wszyscy się zachwycają Wiedźminem Dzikim Gonem.
3397:  KMM - Weźmy, rok temu praktycznie, kiedy ludzie się zachwycają z Morą Wilka.
3401:  KMM - Oczywiście tam były problemy, ale ja sam byłem w Hype Trainie.
3404:  KMM - Mówiłem, to jest świetna animacja, chcę takich więcej.
3407:  KMM - Wyobraźcie sobie, że ktoś mówi, ale wiecie co, bo Eskel to zostanie zamieniony w drewno, ponieważ został ukąszony przez Leszego i potem Wesemir tego Eskela będzie usiłował wydrenować z tego drewna, ale mu się nie uda, więc Geralt sobie nałoży jak w Dark Soulsach efekt ognia na miecz i go przebije i w ten sposób Eskel zginie i potem zostanie rzucony wilkom na pożarcie.
3426:  KMM - Jak ja bym usłyszał coś takiego, stwierdziłbym, że komuś kompletnie odjebało, że to jest kompletnie niemożliwe w świecie Wiedźmina.
3433:  KMM - Jeszcze domknę ten wątek, o którym wspomnieliście, to znaczy Grzegorz mówił o tej skali szarości, z której słynął Sapkowski.
3441:  KMM - To jest fucking selling point gry o tron.
3444:  KMM - Skala szarości i naruszenie tego baśniowego schematu, że jest dobro, że jest zło.
3449:  KMM - Nie no, w fantasy właśnie tak nie ma być.
3452:  KMM - I nagle dostajemy bardzo czytelny świat.
3455:  KMM - Potwory?
3456:  KMM - Złe.
3457:  KMM - Wiedźminy?
3458:  KMM - Dobre.
3459:  KMM - Ciri?
3459:  KMM - Nie wiadomo, okaże się.
3462:  KMM - I tyle.
3463:  KMM - I w zasadzie ta skala szarości, która była też w odniesieniu do Nilfgaardu, ja jej nie widzę.
3468:  KMM - Nagle się okazuje, że Francesca Findabir ma dziecko i później idzie na killing spree, na strzele z Coyatel, co jest w ogóle jakimś kompletnym absurdem.
3477:  KMM - I jeszcze do tego Emir...
3479:  KMM - geniusz polityki, biały płomień tańczący na kurhanach wrogów teraz jest, nie wiem, strachem na wróble tańczącym pod łuk szosy, który stwierdza sobie, daleko od szosy, stwierdza sobie, że no nie, on zabije w sumie to dziecko tej elfki, no bo przecież nic się nie może złego zdarzyć, jeżeli zabijemy dziecko królowej skojatel, które zostało tak represjonowane w tym świecie, jak to jest nic możliwe.
3504:  KMM - Nie, no na pewno to nie zagrozi planom inwazji na północ.
3506:  KMM - Nie, skąd to?
3507:  GW - Zabije elfie dziecko, żeby zrobić psikusa moim podwładnym.
3516:  BFP - Zobaczymy, jak zareagują.
3520:  GW - Sami sobie wykopali dołek, bo nałożyli w świecie regułę, że elfy od kilkudziesięciu lat się tam nie rodziły, czy od wielu lat się nie rodziły.
3530:  GW - gdzie w książkach tego nie było.
3531:  GW - Tam co prawda to okno, w którym jakby elfy mogą począć potomstwo jest węższe niż u ludzi, to było gdzieś tam opisywane.
3540:  GW - Okej.
3540:  GW - Ale to nie był tak rzadki przypadek, jak oni tutaj podkreślali w książce.
3546:  GW - I nagle jeszcze do tego... Przepraszam, w serialu.
3549:  GW - I nagle do tego jeszcze zabijają dziecko jednej z istotniejszych postaci tam dla loru, żeby, nie wiem...
3557:  GW - Dla Shock Value.
3559:  GW - Tak, to jest chyba tylko dla Shock Value, już pomijając kwestię, że chyba nie chcieli wchodzić w ten motyw Kazirodczy tam w przypadku Emhyra, dlatego... Ogłasza, że to jest jego córka.
3574:  GW - Plot twist po prostu na końcu jest cudny.
3578:  BFP - O, niespodziewanie.
3579:  BFP - Z tym w ogóle kwestia tego Eskela jeszcze bym do niej nawiązał.
3582:  BFP - To jest kolejna ilustracja do tego, co mówiłem, jak robić rzeczy, które są niezasłużone.
3588:  BFP - Jakby wprowadzamy Eskela, fani wiedzą, że to jest postać, z którą... do której mają sympatię, więc wprowadzamy Eskela, jakby...
3599:  BFP - Światło jest prowadzone na niego, że ma się wrażenie, że ten Wiedźmin jest ważniejszy niż tych dwóch czarnych z Dredami, którzy nie mają nawet imienia, ani tamten Azjata, więc zakładamy, że z tym coś będzie.
3610:  BFP - On tu ma jakąś zażyłość z Wezimirem, ma tu jakąś zażyłość z Geraltem, pewnie będzie o coś chodziło z tym Wiedźminem.
3617:  BFP - Ale ciach, go zabijamy i to jest ta niewłaściwie prymitywnie rozumiana subwersja.
3623:  BFP - Znaczy, zróbmy coś, żeby to zrobić, żeby zaskoczyć fanów.
3627:  BFP - Czyli poświęcamy trochę miejsca na to, żeby wprowadzić Eskela i mówimy, ale i zaskoczymy, zabijemy go tylko od razu w tym odcinku, w którym się pojawi, tylko nawet kiedy umiera, to my nie czujemy tych emocji.
3637:  BFP - Bo Eskel nie był z nami przez pięć odcinków, przez jeden sezon, tak jak chociażby było z nieszczęsnym Shane'em w The Walking Dead, który ginął w pewnym momencie, ale i tak później niż w komiksach.
3648:  BFP - I mogli poczuć coś w fani, bo ten gościu był z nami dwa sezony, widzieliśmy jakiś jego story arc, jakiś łuk tej postaci.
3654:  BFP - A Eskel, który jest postacią, którą skojarzą fani, pojawia się tylko po to, żeby go urąbać w tym samym odcinku, to jest dla mnie nic innego jak czysta prowokacja.
3665:  BFP - I to źle zrobiona prowokacja, która służy temu, żeby wywołać jakiś szok, ale to jest i tak szok, który nie jest zasłużony.
3671:  BFP - Szok, który raczej ma irytować fanów.
3673:  KMM - Całe szczęście, że to powiedziałaś, bo właśnie do tego nie musimy wikłać się w te dyskusje o adaptacji, nie?
3679:  KMM - Wystarczy ocenić ten serial samym sobie i dużo ludzi tak mówi, o ja nie grałem w Wiedźmina, nie czytałem Wiedźmina, oceniam to jako samodzielną produkcję.
3685:  KMM - No to w takim razie musisz ocenić to jako zły serial, nie ma innej opcji, ponieważ nie robi się w dobrym serialu tak, że wprowadza się 17 postaci i później nagle jedna z nich jest niby ważna i ona zostaje zabita przez 3 godziny później...
3698:  KMM - I ja nic nie czuję wtedy.
3699:  KMM - Ja nic nie poczułem.
3700:  KMM - Co więcej, żeby było śmieszniej, ja się dowiedziałem, że to był Eskel potem i to mnie jeszcze bardziej rozzłościło.
3705:  KMM - Bo ja na początku nawet się nie zorientowałem, bo nie rozpoznałem go jako Eskela, bo on nie wyglądał jak Eskel.
3710:  KMM - A tak samo nie rozpoznałem Lamberta, który też nie wyglądał jak Lambert.
3713:  KMM - Triss Merigold wyglądał jak własna słuszka, a Yennefer, co już wiemy z memów, pachnie nie bzem i agrestem, tylko betonem i azbestem.
3720:  KMM - Cudowny mem absolutnie.
3722:  KMM - Ja nie rozpoznaję tych postaci, więc szczerze, znaczy chyba gdyby Cyril albo Geralt zginął, to wtedy bym się zmartwił, bo bym rozpoznał ich, nie?
3730:  KMM - Ale nawet Emryn van Emreis nie wygląda jak Emry van Emreis i wiecie co mnie najbardziej martwi?
3735:  KMM - Oni mieli, oni mieli na tacy.
3737:  KMM - Przecież Emyra van Emreisa dubbingował fucking Charles Dance.
3742:  KMM - W Wiedźminie Trzecim.
3743:  KMM - Dlaczego?
3744:  KMM - Dlaczego mu nie daj?
3745:  KMM - To jest rola na 5 sekund czasu ekranowego.
3748:  KMM - Przecież on by z tej postaci utworzył kogoś, kogo się faktycznie jest w stanie bać.
3753:  KMM - Wszystkie Królestwa Północne, nie pamiętam ile jest w tym momencie, 5 zdaje się.
3758:  KMM - I wszyscy będą drżeli przez nim, tak?
3760:  KMM - Będą drżeli przez tym chłoptasiem blond, który wygląda jak z reklamy Gillette?
3764:  KMM - Nie, nie będą, bo on nie jest w stanie promieniować tą grozą, którą promieniował Emrejs w książkach.
3770:  KMM - Jest to dla mnie kompletnie niepojęte i cały czas, zauważcie, wracamy do tych kwestii tego, jak coś wygląda, jak coś jest przedstawione, ale nie tylko właśnie, bo są te nie mniej ważne kwestie etyczne, tak jak w tym etos, w komponencie świata, tak?
3783:  KMM - Jakby oni...
3785:  KMM - Zjechali wszystko, zjechali lore, zjechali to jak świat wygląda i zjechali nawet ten relatywizm moralny, którym się charakteryzuje Sapkowski, który widać w tych ciętych, złośliwych, inteligentnych dialogach.
3796:  KMM - I ja rozumiem Henry'ego Cavilla, który mówił w wywiadach, że on dorzucał swoje kwestie na planie, bo chciał, żeby jego Wiedźmi nie były generycznym rębajłą z fantasy klasy D.
3808:  BFP - No ja zamykając... Tak, proszę.
3812:  AK - Rozmawiamy już prawie chyba godzinę, nie patrzę na zegarek, ale tak mi się wydaje.
3816:  AK - I wiecie, jaka jeszcze nie padła postać, do której się nie odnieśliśmy, która jest bardzo ważna dla pięciu księgów, w ogóle dla opowiadań Wiedźmina?
3824:  AK - Jaskier.
3825:  AK - To jest postać, która właściwie przemknęła przez ekran.
3828:  AK - Ja miałem jeden taki moment w postaci, o, to jest jaskier, ale potem było what the fuck, kiedy jest scena jaskra, który się rozbiera i myje w jakimś tam bajorku.
3839:  AK - Błogiego wuja, jaskier, który jest, okej, moje wyobrażenie, barda, czyli raczej lekko opięty brzuszek, bo ten facet nie ćwiczy rano, tylko...
3848:  AK - śpi do południa, prawda, pod dużą ilością poduszek i prawdopodobnie kobiet, z którymi spędził tą noc.
3855:  AK - Okazuje się jednak, że to jest całkiem niezły kulturysta,
3858:  AK - który nie wiem, co to ma zaraz symbolizować, bo rozumiem, że stanąłby w szanki konkury razem z Wiedźminem przy zabijaniu kolejnego potwora.
3866:  AK - Ale jak wiemy z literatury oraz z poprzednich odcinków serialu Wiedźmin, Jaskier nie sięga po broń, bo nawet jej nie ma.
3874:  AK - On raczej chroni siebie ilutnie i spieprza na tył, bo on nie jest osobą, która bierze udział w bójkach.
3880:  AK - Więc po co jest on pokazany z torsem wyrzeźbionym i sześciopakiem, za Boga jedynego nie wiem.
3887:  BFP - Ja wiem.
3888:  BFP - Wiesz, okej, dobra, to dawaj.
3890:  BFP - Znaczy, w tym festiwalu chujowych soczewek nie załapał się niestety i dostał chujową perukę, ale jakbyś dostał taką perukę, to byś zadbał o dobrą sylwetkę, więc to jest jedyne.
3900:  GW - Poza tym lutnia jest ciężkim instrumentem, to dlatego.
3903:  KMM - Ja już mam taką wizję, jak jaskier pompuje z lutnią każdego dnia na przystrunyku, a Geralt tak na niego popatruje i mówi, kurwa, że miał taką
3911:  KMM - glatę jak on.
3912:  BFP - Ale powiem wam, że Jaskier mnie nie irytował tak w tym sezonie, jak irytował mnie w poprzednim.
3915:  BFP - Miał jedne z lepszych tekstów, lepiej trafili w sedno tej postaci, w sensie była ona lepiej rozbudowana niż poprzednia i dla mnie w tym sezonie jest zdecydowanie na plus.
3926:  BFP - Póki się nie widzi jego włosów, jest naprawdę okej.
3928:  KMM - Zgodziłbym się z tobą pod dwoma warunkami.
3930:  KMM - To znaczy, po pierwsze, Jaskier w Krwi Elfów ma istotną rolę i jest szpiegiem, nie jest idiotą.
3936:  KMM - Tak, tak, tak.
3938:  KMM - i mógł dostać cały wątek fabularny, który dałby nam świetną okazję dla pokazania tego, co Filip mówił, że brakuje, właśnie tych intryg, polityki.
3948:  KMM - Dijkstra był taką nadzieją dla mnie, po czym widzę Dijkstrę, który... W dwóch scenach.
3952:  KMM - Tak, i Dijkstra później okazuje się, że ma schizofrenię, w związku z powyższym przestał być dla mnie atrakcyjną postacią, w tym sensie, że to nie jest Dijkstra mój, Dijkstra to był mistrz szpiegów i Dijkstra nie rozmawiał za szczotką i nie ćwiczył sobie mów politycznych.
3966:  BFP - Ale wejście ma świetne, Dijkstra.
3967:  KMM - Wejście ma świetne, zgadzam się absolutnie, który jest potem absolutnie i doszczętnie zjebany.
3972:  KMM - Natomiast wracając do Jaskra, jest też jedna scena, która go absolutnie rujnuje.
3975:  KMM - Przypominam, w ogóle Jaskier jest narratorem powieści, więc to powinno być dobre.
3979:  KMM - Ktoś powiedział złośliwie, że z pewnością tę opowieść Loren Fistech to robił konkurencyjny Bart względem Jaskra, ten, który mu nie dostaje talentem.
3987:  KMM - I Jaskier w którymś momencie jest wtrącony do więzienia.
3990:  KMM - Świetna scena, jak on sobie podjudza strażnika i śpiewa, po czym jest scena, jak rozmawia z myszami.
3996:  KMM - żeby jeszcze pokazać mu, że jest kompletnym idiotą.
3999:  KMM - Geralt mówi, słuchaj, idziemy stąd, a on na to mówi, nie, poczekaj, jeszcze się muszę ukłonić moim myszkom, do których śpiewałem.
4005:  KMM - What the actual fuck to na takie pomysły wpada?
4009:  KMM - To mnie nie rozbawiło, nikogo to nie rozbawiło najprawdopodobniej, a Jaskier jest jedyną taką postacią, która właśnie powinna wprowadzać tę szczyptę komedii, ale nie właśnie, nie tylko on, ponieważ cała komedianckość Jaskra wychodziła w kontraście z postacią Geralta i Yennefer, i Triss,
4026:  KMM - I Ciri, całej reszty.
4027:  KMM - Ciri miał najfajniejszą w sumie relację, taką siostrzeństrzą powiedzmy, braterską trochę.
4033:  KMM - Traktowali się jak rodzeństwo, natomiast z całą resztą innych postaci też nawiązywał bardzo oryginalne relacje, a tutaj on się pojawia jak taki Red Herring co jakiś czas.
4043:  KMM - Nie jestem w stanie zrozumieć jego roli.
4045:  AK - Znaczy powiem jeszcze więcej.
4047:  AK - W pięciu księgach, tak jak ja pamiętam wnioska z tego akurat okresu, to on jest właściwie już trochę postacią tragiczną, bo on podejmuje się tego śledzenia dla Dijkstra.
4056:  AK - Jednocześnie przynajmniej jeszcze ma tam ze dwa różne konflikty matury moralnej.
4060:  AK - Wiadomo, że ma problem z Yennefer, bo nie pasuje do tego trójkąta między nią, Geraltem, a Ciri.
4068:  AK - Czuje się trochę ciałem obcym.
4069:  AK - Zresztą trochę tu jest w tym serialu takiego, że tam o, tu mnie odrzucił itd.,
4073:  AK - Natomiast z Geraltem też ma problem, bo Geralt też już ma swoją, że tak powiem, swój quest, którym podąża, a Jaskier nie do końca w to się wpasowuje.
4081:  AK - Natomiast tak, oczywiście w literaturze Sapkowskiego Jaskier
4086:  AK - Kurczę, teraz sobie dopiero przypomniałem.
4088:  AK - Czy to jest tak, że oni go nazywali Jaskier już w pierwszym sezonie, czy on był Dandelionem, a teraz dopiero był Jaskrem?
4094:  AK - Bo teraz właśnie już to mi się powoli zaciera w głowie.
4097:  AK - Pamiętacie?
4098:  AK - Był Jaskier.
4100:  GW - Mówili Jaskier, tak?
4101:  GW - Okej, dobra.
4102:  GW - A według mnie powinien być Dandelion od początku.
4106:  AK - Ale tak
4106:  AK - Wiesz, widocznie stwierdzili, że, nie wiem, będzie bardziej po słowiańsku brzmiało, just care, just care.
4112:  AK - A niech spróbują myszowara po polsku powiedzieć.
4115:  AK - Myszowar, moussak.
4119:  AK - Niemniej jednak, jak z Siri mówią, to ja, wiesz, ciekaw jestem, ilu posiadaczom iPhone'ów włączała się, wiecie.
4125:  AK - Bo to jest moim zdaniem też taki problem, że jak już mamy te postacie, no to mogliby przeciwdziałam, jest Ciri.
4130:  AK - Nie wiem, czy to jest do wymówienia w ogóle przez Amerykanów, ale to jest Ciri, nie Siri, kurde.
4134:  AK - Tak samo jak jest nie Geralt, tylko jest Geralt, tak?
4136:  AK - No dam Boga jedynego, ale zostawmy to.
4139:  AK - Niemniej jednak, Jaskier uważam, że jest jedną z bardziej zmarnowanych postaci, bo a, jest naprawdę barwny, ma, przecież on jest tym
4146:  AK - co potem świetnie wygląda Buck, co jest w ogóle całym wątkiem pięknym, jak on pomaga Wiedźminowi w takich właśnie wojnach, nazwijmy to wojnach na zamku, w sensie jest w stanie, właśnie pamięta wszystkie rody, on jest takim no właśnie bardem, który ma tą wiedzę, której Wiedźminowi brakuje, bo jest osiłkiem podróżującym po trakcie i bijącym za pieniądze,
4168:  AK - a bar dzięki temu, że przebywa w tych większych, wyższych sferach, no to możemy właśnie powiedzieć, że o, to jest wino z takiego, a nie innego rejonu, ta kobieta jest taką, a nie inną małżonką tego, a nie innego.
4180:  AK - A tutaj mamy jakiegoś chłopaczka, który ma gitarę rockową, wiecie, ta scena w tej Kaczmi, która mam nadzieję, że ta piosenka nie stanie się hitem, bo naprawdę na to nie zasługuje.
4190:  AK - I on tam właściwie trochę jak Freddie Mercury się wije na tej scenie,
4194:  AK - To jest dla mnie, jak napisałem w tym moim dzisiejszym komentarzu, najbardziej postmodernistyczny wątek, który został wyciągnięty prawdopodobnie przez przypadek.
4201:  AK - That's it, no bo Jaskier jest po prostu jakimś śpiewakiem.
4205:  AK - Nie mam poczucia, że on jest najlepszym bardem swojego czasu.
4209:  AK - Te jego opowieści są bardzo dobre, ale ja nie mam wrażenia, że tam jest... Znaczy, boję się, że ta postać stanie się coraz bardziej dwuwymiarowa.
4218:  AK - Będzie przydupa z taki klasyczny sidekick Geralta na szlaku.
4224:  AK - Pytanie w ogóle, czy on dostanie jakąś rozbudowaną rolę w przyszłych sezonach, bo coś czuję, że przyszłe sezony, moi drodzy, to będzie koniunkcja, to będą podróże, więcej portali, portale dla wszystkich.
4234:  AK - Będzie przemieszczanie się między portalami, koniunkcjami, kurde, każdą częścią świata.
4239:  AK - I za chwilę się okaże, że właściwie podróżowanie końmi jest bez sensu, bo każdy może pstryknąć i przenieść się, gdzie chce.
4244:  AK - Obym się mylił, kurde, obym się mylił.
4246:  KMM - Lauren mówi, że następna część sagi jest jej ulubioną, więc ja też rzeczywiście drżę przed tym, co zobaczymy.
4252:  KMM - Jest jej ulubioną, bo napisała ją sama, więc...
4267:  KMM - I jeśli nawet, jeśli nawet oglądał do tego szóstego sezonu, czyli tyle ile wypuścili, bo znamienne jest to, że nie wypuścili tych dwóch ostatnich odcinków, które są najbardziej koszmarne i to nieprzypadkowo koncentrujemy się właśnie na absurdach z nich, ale zauważcie, że Andrzej Sapkowski miał jedną obsesję, która moim zdaniem rujnowała większość jego narracji, to znaczy on uważa, że dobra narracja fantasy to zawsze taka o utracie mocy.
4289:  KMM - I to jest taki leitmotiv.
4290:  KMM - Wszyscy tu tracą moc.
4292:  KMM - Ja czekam, aż Geralt zgubi swoje dwa miecze i będzie ich szukał przez trzy tomy albo trzy sezony.
4296:  BFP - Nie, ma piórnik na plecach i naprawdę nie jest w stanie ich zgubić.
4301:  KMM - Ale najlepsze jest to, że Yen przecież jest jedną z najpotężniejszych czarodziejek i ona naprawdę, jak czytałem sagę, to...
4309:  KMM - Ja się strasznie bałem Jen.
4310:  KMM - Jen jest taką naprawdę postacią, która emanuje taką grozą tajemniczością.
4316:  KMM - Geralt do końca nie wiedział, jak sobie z nią radzić i to kompletnie tutaj nie wychodzi.
4321:  KMM - Ta relacja między nimi jest spartaczona z tego względu, że Jen jest pomiatana przez własne dziedzictwo, z tym sobie kompletnie nie radzi.
4328:  KMM - Ten pomysł z utratą mocy w ogóle nie działa.
