Czy zadania domowe znikną ze szkoły? | Krzysztof M. Maj
🔗 https://www.youtube.com/watch?v=iEc46kOIsAg
KMM (Krzysztof M. Maj)
SP (Szymon Pękala, Szymon Mówi, Wojna Idei)

0:  SP - Hej, dziś ponownie rozmawiamy z Krzysztofem Majem na temat edukacji w Polsce.
2887:  KMM - Miejsce 67 na 77.
2890:  KMM - Za nami jest tylko Brazylia albo Japonia i Korea, co ciekawe właśnie, ponieważ tam jest największy zamordyzm edukacyjny, nie?
2897:  KMM - Więc właśnie w tych krajach, w których ten zamordyzm edukacyjny jest, bardzo często samodzielność z uczenia się jest niska.
2904:  KMM - I to jest interesujące, że nikt o tych statystykach nie mówi, tej części badania PISA.
2908:  KMM - Natomiast cały czas mówimy o tej części merytorycznej, którą jest łatwo bardzo przerobić w fajny nagłówek.
2915:  KMM - Natomiast przekonanie samodzielności uczenia się, kto ci kliknie w ten nagłówek, który z Polaków jest tym zainteresowany, ale wiesz, ale ja jako prowadzący zajęcie na uczelni jestem w tym żywo zainteresowany, bo jak przychodzą do mnie ludzie z wynikami matur i tak dalej, którzy mi się wydaje, że wszystko wiedzą, którzy nie są w stanie samodzielnie połączyć dwóch kropek,
2934:  KMM - To jest to dla mnie przerażające i ja tego rodzaju testy na swoją rękę robię, oczywiście z uśmiechami do moich studentów, bo wiedzą dobrze, że ja życzę dobrze im, ale zdają sobie też sami z tego sprawę i bardzo często mówią mi wprost, jak bardzo są przerażeni tym faktem, że nie potrafią czegoś sami znaleźć w Google'u.
2950:  KMM - Ileż razy słyszałem, no bo pan to zawsze umie znaleźć, a powiedziałem, ale wyście się urodzili ze smartfonem w ręce, dlaczego dla was to nie jest naturalne?
2958:  KMM - No i zadając sobie takie pytania, natrafiam na taką statystykę i nagle widzę, ok, jest problem, a potem czytam, że PISA 2025 ma badać kreatywność.
2968:  KMM - No więc wiesz, no nie tylko ja to widzę, tylko najwyraźniej widzą to także decydenci na poziomie europejskim, czy całej grupy OECD.
2976:  KMM - W związku z powyższym problem zaczyna być globalny.
2978:  KMM - No i teraz tak, jeżeli problem jest globalny w krajach, w którym poczucie satysfakcji z życia i przynależności do szkoły jest wyższe, to jak bardzo będzie to problematyczne u nas, gdzie jeszcze szkoła jest postrzegana przez większość uczniów jako miejsce wrogie.
2992:  SP - Jak najbardziej może tak być w temacie potencjalnej możliwości zmian, to ja nie jestem pewien, czy to faktycznie zerowe są te szanse, bo na przykład profesor Dudek i autorzy tej książki Umówmy się na Polskę, oni wyrażają jednak nieco większy optymizm, ponieważ uważają, że obecny system może po prostu się w pewnym momencie zaciąć do zera i będzie trzeba coś zmienić i oni chyba temu właśnie kibicują.
3016:  KMM - No jest to optymistyczne stanowisko, bo wiesz, mieliśmy taki moment, to była pandemia i to była taka ostra wiwisekcja metod, Ale się nie zaciął ten system właśnie.
3024:  SP - No nie zaciął się system.
3025:  SP - Więc ten system może jednak się okazać znacznie bardziej żywotny niż niektórzy przypuszczają.
3030:  SP - jest też dobry moim zdaniem moment na zakończenie, dlatego Krzysztofie bardzo dziękuję za udział, bardzo dziękuję za bardzo ciekawą rozmowę i jak zawsze zapraszam wszystkich komentujących widzów do komentowania z czym się zgadzacie, z czym się nie zgadzacie, co byście chcieli dodać do tego wszystkiego.
3043:  SP - Linki zarówno do kanału Krzysztofa, jak i do tych opracowań, o których mówiliśmy w trakcie będą zawarte poniżej i jeszcze oddaję głos na koniec.
3051:  KMM - To ja na koniec tylko mogę wszystkich z was poprosić, że jeżeli macie możliwość rozmawiania na te tematy, cholera jasna, rozmawiajcie z wszystkimi, z kim się da.
3060:  KMM - Z nauczycielami w swoim środowisku, z rodzicami.
3062:  KMM - Taka rozmowa o edukacji naprawdę dużo może dać, nawet jeżeli...
3066:  KMM - Nic się nie zmieni.
3068:  KMM - Na poziomie edukacyjnym, czyli w podstawówce czy w liceum, to jest duża szansa, że w ten sposób będziemy zmieniać edukację na poziomie na przykład szkoleń, które są robione dla firm, albo alternatywnych metod edukacji, albo będziemy mieli bardzo dobrych korepetytorów, którzy będą przygotowywać do matury, będą weryfikować, czy faktycznie ten system to robi, czy to oni to robią.
3087:  KMM - Więc my nie będziemy stratni, jeżeli będziemy prowadzić tego rodzaju dyskusje i na pewno nie będziemy stratni jeszcze na jednej rzeczy, na eksperymentach edukacyjnych.
3095:  KMM - To, że wszyscy byliśmy uczeni metodą wykładową i to zadziałało, może być wyłącznie kwestią tego, że nie mieliśmy na przykład takiej ekspozycji na nowe technologie, jakie są teraz.
3103:  KMM - Wyobraźcie sobie teraz, krótko mówiąc, zadanie domowe versus...
3108:  KMM - sztuczna inteligencja.
3109:  KMM - Ja dzisiaj przeczytałem, wczoraj było na Twitterze od Guillaume'a Cabanaca, że mamy oto, moi drodzy, pierwszy artykuł naukowy, który zaczyna się od słów, no oczywiście jako model sztucznej inteligencji nie mogę udzielić odpowiedzi na to pytanie.
3124:  KMM - I został wydrukowany przez Elseviera, wydającego topowe czasopisma na świecie, włącznie z Nature.
3130:  KMM - Więc wiecie, jeżeli czat GPT zawitał tam, to gwarantuję wam, że będzie też robił za moment wszystkie zadania w Polsce, a chyba nie o to chodzi.
3136:  SP - Jest taka szansa, że w tę stronę właśnie idziemy.
3138:  SP - Dlatego raz jeszcze dziękuję za uwagę i do usłyszenia.
3142:  SP - Hej.
3142:  SP - Dzięki za uwagę.
3143:  SP - Jeżeli jesteście zainteresowani dodatkowym fragmentem, w którym Krzysztof odpowiada na pytanie dotyczące używania smartfonów w szkołach oraz potencjalnego zakazu ich używania, to zapraszam na specjalną grupę wyłącznie dla patronów, gdzie poza dodatkowymi fragmentami rozmów znajdziecie także streamy wyłącznie dla patronów oraz przedpremierowe informacje o nowych odcinkach.
3159:  SP - Do usłyszenia.
3160:  SP - Hej.
3163:  SP - Jeśli chcesz być informowany o kolejnych odcinkach, to kliknij dzwoneczek powiadomienia, żeby żadnego nie przegapić.
3168:  SP - A jeśli chciałbyś pomóc w tworzeniu takich filmów, to zapraszam do wsparcia nas na Patronicie.
3173:  SP - Do usłyszenia.
