THE LAST OF US odc. 4 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=uodZ_r5yHTQ
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)
TN (Tomasz Nowakowski, Ubieram Się na Czarno)
KMM (Krzysztof M. Maj)

10:  BFP - Mili, witajcie na naszym wieczornym omówieniu i analizie live odcinka The Last of Us.
3024:  GW - I gonimy jakichś dwóch gości po prostu, my gonimy jakichś dwóch gości, a tam po prostu już się nam kończą zapasy i powinniśmy iść na jakiś, nie wiem, wypad po prostu zabić bizony czy coś.
3036:  GW - Właśnie podejrzewam, że w ten sposób rozumiem tak organiczne poznawanie świata, a nie przez osobny wątek fabularny bardziej by cię zsatysfakcjonowało.
3045:  GW - Tak, wyrwało mnie to z...
3047:  BFP - Dobrze, że przynajmniej zostawiałeś kadr na... Ale jeszcze niech Krzysztof się wypowie odnośnie wprowadzenia tego wątku.
3055:  KMM - No i ja nie jestem fanem, bo ja przede wszystkim dziwiłem się, że w ogóle wiecie, kto jest Kathleen, bo ja nawet nie wyłapałem jej imienia, a jeżeli wyłapałem, to zapomniałem.
3062:  KMM - Dla mnie to była kolejna postać, którą muszę zapamiętać, koszmar.
3065:  KMM - I za mało czasu ekranowego jej oddano, moim zdaniem.
3068:  KMM - To znaczy, jeżeli bym miał powiedzieć, w jaki sposób bym się do tego zabrał, to na przykład bym zaczął ten odcinek właśnie od może sekwencji wprowadzającej, bo zapomnieliśmy, że one istnieją, hello, intra, przed fajnymi napisami.
3081:  KMM - A brak od siebie zinizmu, tak?
3082:  KMM - Oczywiście, więc jeżeli już nie mówimy nic o przeszłości, ponieważ chętności Krzysztofa i jego oczekiwania, jeżeli nie mówimy nic o epidemii w innych krajach, słusznie zwracano mi uwagę, że nie było w bingu Krzysztofowym tej informacji.
3093:  KMM - Proszę bardzo, czaty, jest informacja o tym, że nie było epidemii w innych krajach pokazanej.
3098:  KMM - Zatem skoro tego nie ma, to zróbmy wstęp dotyczący tego miejsca, do którego się udają nasi bohaterowie.
3103:  KMM - Pokażmy, jaka tam jest sytuacja.
3105:  KMM - Może retrospekcja z tym, jak przejmowali władzę, żebym ja w ogóle wiedział, o co chodzi.
3109:  KMM - ponieważ ja na początku myślałem, okej, to to jest Fedra, to nie jest Fedra, ona ma tutaj napis, że to jest Fedra, ale ona mówi, że to nie jest jednak Fedra, to ja nie wiem już, co to jest, co się dzieje, gdzie ja jestem, nic nie rozumiem.
3120:  KMM - I potem oczywiście było następne cięcie i nie wiem też, kim jest ten człowiek, który jest siwy, poza tym, że jest jej przydupaseń, poza tym, że wygląda jak porządny wiedźmin.
3128:  KMM - I generalnie rzecz biorąc, mam duże problemy z tym, żeby zorientować się, co tam się dzieje.
3132:  KMM - Podejrzewam, że to będzie w kolejnym odcinku, ale nie mam takiej pewności, bo w kolejnym odcinku mogą mi zrobić 20 lat później.
3138:  GW - Krzysztofie, to tylko ci wspomnę, że ten aktor to jest aktor głosowy Tomiego w grze.
3142:  BFP - I ciałowy też, bo jednak grał też.
3146:  BFP - Tak, tak.
3148:  BFP - Będziemy mieli łącznie czwórkę aktorów, którzy wystąpili w grze i wystąpili także w serialu.
3153:  BFP - Już mieliśmy dwójkę.
3154:  BFP - Meryl Dandridge, która gra Marlene, którą widzieliśmy w pierwszym odcinku, przywódczyni świetlików, czy przynajmniej w tym regionie Stanów, w którym ona operuje.
3163:  BFP - I która zresztą
3164:  BFP - oddaje Ellie w ręce Joella i Tess i teraz mamy właśnie Jeffrey'a Pierce'a, który grał w grze Tommy'ego.
3170:  BFP - Będziemy mieli jeszcze, i to nie jest tajemnica, Ashley Johnson, która grała Ellie w grze i będziemy mieli Troya Bakera, który grał Joella w grze.
3177:  KMM - Natomiast... I jeszcze jedna rzecz.
3179:  KMM - Ta przywódczyni, ona nie ma sensu.
3181:  KMM - Znaczy, ona się zachowuje irracjonalnie, erratycznie, podejmuje dziwne decyzje.
3186:  KMM - Nie rozumiem, dlaczego zabija tego lekarza.
3187:  KMM - Kompletnie go nie rozumiem.
3188:  KMM - Jest postapa, tak?
3189:  TN - Ja z kolei też, jeżeli mogę... Proszę, proszę.
3193:  KMM - Jasne, no...
3194:  TN - Tak, jeżeli mogę, no to mi brakowało akurat w tej scenie z Caitlyn i tym lekarzem tego, żeby ona go torturowała, bo tą postacią według mnie prowadzi, jej głównym motywem jest zemsta na ludziach, którzy zabili jej brata.
3210:  TN - Jedyną osobą, która zna informacje, która ma informacje na temat tego, gdzie mogą znajdować się ci ludzie, jest właśnie ten lekarz, więc żeby wyciągnąć z niego informacje, ona powinna użyć bardziej drastycznych środków.
3223:  TN - I to też bardziej by budowało jej postać jako to uzło, a jedyne co ona robi, no to przystawia mu pistolet do głowy i tym go straszy, więc no mi akurat to nie wybrzmiało i zabrakło mi tego, żeby ona po prostu użyła jakichś mocniejszych środków.
3242:  BFP - I to, o czym mówi Krzysztof, będzie w kolejnym odcinku.
3245:  BFP - I ponownie muszę uderzyć w ten odcinek od tej strony.
3248:  BFP - Rejnewan86 pisze tak.
3250:  BFP - Nie zgodzę się z tym, że problemem jest łączność dwóch osobnych odcinków, gdzie drugi nadbudowuje historię pierwszego.
3255:  BFP - Powód?
3256:  BFP - Nikt nie miał problemu z rodziną Soprano chociażby.
3258:  BFP - To teraz mój kontrargument i krytyka tego odcinka jest następująca.
3263:  BFP - Ale The Last of Us przyzwyczaiło nas do czegoś.
3265:  BFP - Jeżeli przyzwyczaiło nas trzecim odcinkiem do czegoś, to do tego, że można opowiedzieć niemalże filmową historię,
3271:  BFP - niemalże filmową historię, zamkniętą w jednej lokacji, nawet rozciągniętą bardzo w czasie, ale w jednej w zasadzie lokacji.
3277:  BFP - Przeplatając to jakimś intro, czy epilogiem i prologiem.
3280:  BFP - I każdy odcinek, i to mogę potwierdzić, każdy pozostały odcinek w całej serii koncentruje się na jakiejś opowieści, zamyka ją w jednym odcinku i w jednej lokacji.
3289:  BFP - Nie licząc pierwszego, który połączono...
3291:  BFP - Tak jak być może powinni byli połączyć ten.
3293:  BFP - Tylko ten, piąty i szósty, jest jedną historią rozbitą w jednej lokacji, rozbitą na dwa odcinki.
3300:  BFP - To się nie broni.
3302:  BFP - Dla mnie to się nie broni i nawet jeżeli Krzysztof teraz obejrzy kolejny odcinek i powie, kurde, jest fantastyczny, znacznie lepszy niż ten, to wciąż będzie mówił, znacznie lepszy niż poprzedni.
3312:  BFP - Ale gdyby obejrzał obydwa połączone w jeden, odrobinę skrócone,
3316:  BFP - to prawdopodobnie powiedziałby jeden z najlepszych odcinków w tym serialu pośród wielu fantastycznych.
3324:  TN - Ja myślę, że też ten serial warto oceniać po zakończeniu jego, jak już wszyscy obejrzą te wszystkie odcinki i z tej perspektywy myślę, że
3334:  TN - Też zobaczycie niektóre rzeczy i też chciałbym wrócić do tego, co mówiłem w poprzednim odcinku, że to nie jest tylko to kinodrogi, tylko powieść szkatułkowa tak naprawdę, czyli zbiór jakichś tam opowiadań, które mają jakiś cel i które wybrzmiewają powiedzmy na końcu, więc myślę, że z perspektywy tego ostatniego odcinka zrozumiemy niektóre rzeczy.
3357:  KMM - Ja jestem ciekaw, jak na przykład będą się zapatrywać na to ludzie, którzy obejrzą całość, powiedzmy, serialu, odcinek po odcinku, naraz, czy będą inaczej odbierać te wątki.
3369:  KMM - Odebrałem taką lekcję w odniesieniu do ósmego sezonu, jak któryś ze studentów mi powiedział, ale wiesz, ja obejrzałem sobie siedem sezonów i ten ósmy, który tak zawsze demonizujesz na wykładach i nie było tak źle.
3379:  KMM - To była dla mnie jakaś tak.
3382:  KMM - I to była dla mnie szokująca lekcja, bo sobie uświadomiłem, że można zupełnie mieć inny odbiór niż ja naszpikowany informacjami, hype'em, marketingiem i tak dalej, i tak dalej.
3390:  KMM - Więc nie wykluczam, że ktoś właśnie może nie dostrzec w ogóle tego problemu, który my mamy, więc od razu mogę powiedzieć od siebie, jako człowieka, który lubi binge'ować, jeżeli ktoś też lubi binge'ować, jakimś tym nadal się zastanawia, czy obejrzeć The Last of Us, zostałbym do końca.
3402:  BFP - I jeszcze zaznaczę, że wrzucając też kamyczek do koszyczka czy do ogródka Krzysztofa, ja natychmiast obejrzałem piąty odcinek po obejrzeniu czwartego mając dostęp.
3413:  BFP - Byłbym bardzo wkurwiony, gdybym musiał pozostać na tym cliffhangerze.
3417:  TN - No cliffhanger to jest jednak coś, czego nie powinno się robić.
3421:  KMM - Tego się nie robi Kotu i tego się nie robi w 2023, a jeszcze podbiję komentarz, który jest zwykłym vloga na czacie, że postaci drugoplanowe to jest coś, co na razie cierpi w serialu.
3432:  KMM - Zgodzę się z jednym wyjątkiem, znaczy z odcinkiem trzecim, który ma postaci, które są na razie w ogóle najwybitniej napisane w całym serialu, jak na razie, ale poza tym rzeczywiście drugoplanowe postaci
3444:  KMM - to nie jest coś, gdzie jestem w stanie się jakoś zakotwiczyć.
3447:  KMM - Mam wrażenie, że to jest właśnie taka galeria NPCów, którzy jeżeli zginą, to ja będę miał takie, okej, dobra, w porządku, a mieli miotacza ognia chociaż, okej, no to będzie troszeczkę fajniejsza śmierć, a jak nie mieli miotacza ognia, to będzie taka przeciętna śmierć.
3461:  BFP - Będziesz miał ogień w kolejnym odcinku.
3463:  BFP - No, to chciałem usłyszeć.
3465:  S06 - Dziesięć na dziesięć.
3466:  S06 - Tak jest, tak jest, po ile rykcę.
3468:  S06 - Chyba jest w trailerze nawet już ten ogień.
3470:  GW - Tak, jest w trailerze, bo właśnie dlatego mówiłem o tak.
3474:  GW - Wiadomo, co się pokaże.
3475:  BFP - To jest dla mnie przykład właśnie takiego ukrywania się i słuchania, tylko wiadomo, mamy relacje między nimi, nie ma jakiegoś słuchania tego, co się dzieje na zewnątrz, za nadto.
3484:  BFP - No, ale też to, co na pewno podoba mi się w tej scenie, to, że Joel próbuje jakkolwiek powiedzieć
3490:  BFP - przykro mi, że musiałaś strzelić do kogoś i że to jest moja wina, ale w końcu się poddaje i ona mówi, ona mówi, nie wychodzi ci to najlepiej, a on mówi, no nie, nie, nie wychodzi mi to najlepiej.
3500:  BFP - To jest bardzo zgodne z istotą tej postaci i także ich relacji.
3504:  BFP - Co, Krzysztof, chcesz powiedzieć?
3506:  KMM - Chciałem powiedzieć o tej rozmowie i relacji, która się między nimi kształtuje.
3509:  KMM - Ona oczywiście przez cały serial, praktycznie przez cały ten odcinek jest, ale na razie tylko zahaczyliśmy o to odrobinkę i bardzo mi się podoba jej dynamika.
3518:  KMM - To znaczy, że z jednej strony w niesamowicie oszczędnych słowach mówią sobie i przekazują bardzo dużo emocji, to jest przepięknie zrobione i to jest pełna paleta emocji, od humoru,
3529:  KMM - najbardziej takiego irracjonalnego, abstrakcyjnego, językowego humoru, jaki uwielbiam i ta książeczka jest cały czas leitmotivem, pun intended, a skończywszy na naprawdę poważnych emocjach.
3539:  KMM - Jest taki jeden moment tylko, że Ellie zamyka się w sobie, ale on będzie w kolejnej scenie dopiero i mówi, nie, nie chcę o tym rozmawiać.
3546:  KMM - To jest taki jeden, jedyny moment.
3547:  KMM - A tak cały czas między sobą przekazują sobie
3551:  KMM - w bardzo dobrze napisanych dialogach, naładowane emocjonalnie kwestie i to jest moment, w którym ten odcinek liśni i nie odstaje poziomem od poprzednich.
3561:  GW - Pytaje mi się, że też Joel tutaj orientuje się, że ona też widziała rzeczy, w sensie, że też jest na tyle doświadczona przez życie w taki sposób, bo on cały czas jakby widzi to przez pryzmat swojej córki,
3577:  GW - która była niewinna, która obruszała się na widok przemocy i tak dalej, i tak dalej, a tutaj Ellie pokazuje mówiąc i jakby obserwując ją, jak ona na niektóre słowa i ma niektóre postawy, widzi, że ona już coś tam przeszła i w tym momencie się orientuje, dobra, to nie jest...
3595:  GW - Charakter mojej córki jest w stanie się bronić, trzeba dać jej narzędzia, tak?
3600:  GW - I w tym momencie właśnie jej uczy posługiwania się bronią we właściwy sposób.
3605:  BFP - Ona sama przyznaje, to nie jest pierwsza osoba, którą zabiłam.
3609:  TN - Tak.
3610:  TN - To jest też ten sam odcinek, w którym Joel mówi do Ellie, że ona jest dla niego tylko towarem, a tutaj już widzimy, jak ta relacja się zmienia.
3617:  TN - Widzimy również z poprzednich odcinków, kiedy Joel odmawia Ellie
3623:  TN - tego, żeby mogła mieć broń, a tutaj uczy ją, jak korzystać z tej broni, więc tutaj też widzimy tę zmianę.
3631:  TN - No i obydwoje właśnie w tej scenie pękają i Joel również przeprasza i pokazuje swoje emocje, moim zdaniem chyba drugi raz w serialu i Ellie również drugi raz pęka i ociera łzy.
3646:  KMM - Mnie bardzo poruszyło to jedno zdanie, które mi przypomniało inne zdanie, które mnie poruszyło z Władcy Pierścieni, to znaczy, że ojcowie nie powinni grzebać swoich synów.
3654:  KMM - Zawsze płaczę, jak jest ta scena na Simbelminie, to są te białe kwiatuszki we Władcy.
3662:  KMM - Natomiast tutaj było takie zdanie, że ale ty masz 14 lat, powinnaś mieć dzieciństwo.
3669:  KMM - Cały czas wybiegam w przyszłość do tej rozmowy już, jak są zabunkrowani.
3674:  KMM - I to tak mocno sięgnęło, bo widać było, że w Joelu też coś pęknęło i on się zastanowił nad tym.
3678:  KMM - Ach, to tak nie powinno wyglądać.
3681:  KMM - Nie tak powinno wyglądać dzieciństwo.
3682:  BFP - Tu mamy całą sekwencję scen, które gdyby połączyły się te odcinki, byłyby niepotrzebne.
3691:  BFP - To tylko chcę zaznaczyć, że nie byłyby potrzebne, zajmują jakieś 4 minuty w 45-minutowym odcinku, gdzie widzimy, że Kathleen poszukuje niejakiego Henry'ego, trafia do miejsca, w którym gdzieś był zabunkrowany razem ze swoim bratem, co też zostaje powiedziane.
3714:  BFP - Można to było zrobić inaczej, jak zobaczycie kolejny odcinek, to zobaczycie też dlaczego.
3719:  KMM - No Krzysztof zapomnij, co się zdarzyło w tym, więc będzie musiał obejrzeć ten po raz drugi.
3724:  GW - Ale albo będziesz miał miłą niespodziankę, dlaczego tak negatywnie do tego potwierdzisz.
3730:  BFP - Tu jest jedna fajna horrorowa scena.
3733:  BFP - Odrobinkę ma horroru i też... O Jezu, co ja tak puszczam?
3737:  BFP - Zaraz mi to wszystko zdemonetyzuje.
3740:  BFP - To jest scena, w której oni schodzą do którejś z piwnic i drży ziemia.
3746:  TN - Strzeżcie się ukrytej bestii.
3748:  KMM - Tak.
3748:  TN - Tak.
3749:  BFP - Tak.
3750:  KMM - Nic więcej.
3750:  KMM - Nie mówcie, że to będzie Balrog.
3752:  KMM - Nie, proszę.
3754:  KMM - Drugi raz w tym roku tego nie zdzierżę.
3756:  BFP - Krzysztof też na B, ale nie Balrog.
3758:  BFP - I będzie miał więcej czasu ekranowego niż w tamtym serialu.
3761:  KMM - Buka?
3764:  KMM - jeszcze gorzej.
3767:  BFP - Nie mówcie przy mnie Buka, bo mam traumę, więc proszę nie mówić tak znienacka przy mnie Buka.
3771:  BFP - Najpierw proszę zapowiedzieć, że się powie Buka, a potem dopiero można.
3776:  BFP - No i druga znakomita scena akcji w tym serialu, czyli wchodzenie po schodach.
3783:  BFP - Dla mnie wszystko się sprowadza tutaj do jednego, czyli tej absolutnie wspaniałej, przepięknej sceny, w której najpierw ona go nacina w lesie i mówi, Joel, czy mogę ci zadać bardzo poważne pytanie?
3797:  S06 - Tak!
3799:  S06 - Ja tak zawsze robię, jak chcę opowiedzieć strasznie suchy żart.
3805:  BFP - Potem robię dokładnie to samo.
3807:  BFP - Tak, i przyznajmy, jakby ten słucharek, który w oryginale brzmi Do you know that diarrhea is hereditary?
3816:  BFP - Why?
3816:  BFP - Because it runs in your genes.
3819:  TN - Tak, i chodzi o geny i o jeansy.
3823:  TN - A jak to przyłożone zostało na język polski?
3825:  TN - Zupełnie inaczej.
3826:  KMM - Tak?
3827:  KMM - Bo ja w ogóle nie oglądałem, więc nie wiem.
3831:  TN - Aha, że rzadko, że... Rzadko, ojoj!
3839:  TN - Że biegunka jest rzadka, ale częsta, czy coś takiego?
3842:  GW - To jest paradoks biegunki, rzadko i często, tak.
3847:  BFP - Niby rzadko, a często.
3853:  BFP - I ten moment, kiedy to jest tak wspaniale zagrane, dla mnie to jest tak autentyczne, jak on nie może powstrzymać swojego śmiechu.
3863:  BFP - Tak, i mówi Jesus, I'm losing it.
3867:  KMM - To jest drugi moment, kiedy Pedro Pascal może powiedzieć I'm losing it, tuż po tym jak stracił oczka.
3874:  BFP - Jak stracił oczka?
3876:  BFP - Widzicie, tak się to robi!
3879:  BFP - Przepraszam, ja myślałem, jak ty powiesz, że jak stracił córkę.
3883:  BFP - I wtedy pomyślałbym, że naprawdę jesteś party pooper, jesteś imprezokupciarz.
3890:  BFP - It runs in your jeans, Krzysztof.
3892:  BFP - Płynie w twoich genach.
3893:  BFP - Tak.
3898:  BFP - Ojejku, jejku, jejku.
3900:  BFP - No i mamy...
3902:  BFP - Napis.
3903:  KMM - No właśnie, najlepszy moment odcinka.
3906:  BFP - Sam i Henry, postaci istotne z perspektywy fabuły, które zobaczycie w kolejnym odcinku.
3912:  BFP - Co ja chcę powiedzieć?
3914:  BFP - I niech to będzie...
3916:  BFP - Podjarka dla Was tym bardziej, że dostaniemy ten odcinek wcześniej, mianowicie dostaniemy go w nocy w piątek.
3921:  BFP - W piątek w nocy na HBO, a HBO Max od samego rana w sobotę i też recenzja moja będzie o 12.
3927:  BFP - Nasze omówienie w poniedziałek.
3930:  BFP - Naprawdę macie na co czekać.
3931:  BFP - To znaczy, po pierwsze...
3934:  BFP - Będzie tam wiele rzeczy, których brakowało wam w tym odcinku.
3937:  BFP - Zarówno jeżeli chodzi o ukontekstowienie bohaterów, których widzicie w tym momencie, jak i Kathleen i historia w ogóle tego ruchu oporu.
3947:  BFP - Będzie więcej akcji, będzie nawet więcej odniesień do gry, ale ponad wszystko będzie najbardziej epicka scena akcji chyba w całym serialu.
3955:  BFP - Tak, tak, tak.
3957:  BFP - Jest wspaniała.
3958:  BFP - Jest absolutnie wspaniała.
3960:  KMM - Bardzo ważne pytanie.
3961:  KMM - Ile trwa kolejny odcinek?
3962:  KMM - Podbijam od Bezbeka na czacie.
3964:  BFP - Coś około 50 minut chyba?
3966:  BFP - Tak, 53 albo 55 minut.
3968:  BFP - Ujdzie.
3969:  KMM - No, ujdzie, ujdzie.
3970:  KMM - Zarobiliśmy te 8 minutek od szczodrobliwców.
3975:  BFP - Można było 10 minut... A właśnie, z jednej rzeczy muszę się wytłumaczyć.
3980:  BFP - Reynewan86 pisze odnośnie mojej recenzji.
3982:  BFP - Właśnie Filipie, powiedziałeś, że sam jest głuchy.
3984:  BFP - Po czym wniosłeś?
3986:  BFP - Po czym to wniosłeś?
3987:  BFP - Bo ja nie wyłapałem tego w serialu.
3989:  BFP - Otóż, kochani, odpowiedź jest bardzo prosta.
3992:  BFP - Popierdoliło mi się, ponieważ...
3995:  S01 - Odnosiłem się już do tego, co dzieje się w kolejnym odcinku i pomieszało mi się to wszystko.
3999:  S01 - I zacząłem to mówić w recenzji.
4001:  S01 - Ja się właśnie zastanawiałem, po czym to wnosisz.
4004:  S01 - Nie, po prostu mi się popieprzyło.
4005:  S01 - I to jest... Skąd wiedziałeś?
4007:  S01 - Niesamowite.
4008:  KMM - Zwłaszcza biorąc pod uwagę to, że cały ten widz polegał na tym, że Joel rozsypał jakieś wióry albo szkło whatever, żeby właśnie usłyszeć, jak ktoś wchodzi.
4018:  KMM - W związku z powyższym... No nie udało się.
4020:  TN - Tak, nie udało się.
4021:  TN - Nie wyszło.
4023:  KMM - Oczywiście lepsza byłaby wieżyczka ogniwa, albo chociaż jakaś pułapka.
4026:  KMM - Były takie pułapki dobre do zrobienia.
4029:  KMM - Nawet w Deus Ex Human Revolution.
4031:  KMM - Nie, ale w Deus Ex Human Revolution łączyłeś puszkę gazową, jak MacGyver, z miną i robiłeś wtedy minę, która od razu zagazowywała kogokolwiek, kto wszedł.
4040:  KMM - Piękna sprawa.
4041:  BFP - Ale miałeś tower defense, no rozsypali szkło.
4044:  BFP - Wilcze doły z twierdzy lepsze.
4046:  KMM - Ale wiecie co, zawsze będę powtarzał, że poznaję się odcinek, gdzie jest problem z dynamiką narracji najlepiej po tym, że jest ona źle poprowadzona.
4055:  KMM - Jak najbardziej emocjonujący moment odcinka to jest pierwsza jedna sekunda przed napisami.
4062:  KMM - Nie, jestem na nie, jeżeli chodzi o coś takiego.
4065:  KMM - Nie lubię, jeżeli najbardziej emocjonujący moment to jest ten, który kończy odcinek dany.
4071:  GW - Dla mnie to tutaj Mazin po prostu chciał się zrobić na Gilligana, dlatego, bo zauważcie, że pierwsza scena to jest właśnie Bella Ramsey celująca z broni i ostatnia scena to jest ten dzieciak celujący z broni.
4083:  GW - Ciekawe.
4084:  GW - Chciał sobie zrobić klamrę po prostu taką wizualną, którą przecież Gilligan operował.
4089:  KMM - O mój Boże, faktycznie.
4092:  KMM - Poleciał Gilliganem.
4094:  BFP - Jest to arcyfacji i dla mnie tutaj trzymając stronę Krzysztofa...
4100:  BFP - Zgadzam się z tym, że nie jest najlepiej, gdy najmocniejszy moment... Pobije Krzysztofa w nosie, że w tym momencie pół oczka poszło co na tego odcinka.
4109:  BFP - Gdy najmocniejszy moment następuje dosłownie w ostatniej sekundzie.
4113:  BFP - To jest taki, no nie, to jest zabieg.
4116:  BFP - Dzisiaj wydaje mi się taką ciekawą dyskusję kogoś, kto powiedział serial fajny albo taki średni 6 na 10, The Walking Dead jest znacznie lepsze.
4125:  BFP - Ja oglądałem The Walking Dead z wypiekami na twarzy w 2010 i 2012.
4132:  BFP - Jakby dzisiaj The Walking Dead wyszło ze swoim naprawdę przestarzałym sposobem reżyserii, żenującym montażem, który był skrojony pod reklamy, które wchodziły w trakcie oglądania.
4142:  BFP - Żenującym.
4143:  BFP - To by został wyśmiany.
4145:  BFP - A jakby jeszcze spojrzeć na drugi sezon, którego akcja toczy się 13 odcinków w jednej lokacji, to nikt by nie zostawił na nim suchej nitki.
4151:  BFP - Ale niestety
4153:  BFP - Taki trend, żeby najmocniejszy akcent zostawić na ostatnią sekundę jest moim zdaniem właśnie przestarzałym sposobem robienia seriali.
4162:  KMM - Też się z tym zgadzam, bo to jest formuła, która się nazywała procedural, to znaczy był tydzień i jest sprawa tygodnia.
4167:  KMM - To w Dexterze dobrze widać, tak?
4169:  KMM - Mamy co tydzień odcinek Dextera, Archimum X to samo.
4172:  KMM - Jest sprawa do rozwiązania super, ale jest taki jeden sznurek, który łączy te wszystkie koraliki, no i to jest jakiś główny motyw w przypadku Dextera, to jest oczywiście chęć uniknięcia tego, że go koledzy nakryją, że jest mordercą, natomiast w przypadku, nie wiem, detektywa Manka to jest śledztwo w sprawie jego żony i to sobie wraca, tak?
4188:  KMM - To ma wtedy sens i się zszywa z poetyką co tydzień od kolejny odcinek.
4193:  KMM - Ale jeżeli ktoś sobie robi artystyczną konstrukcję, w której chce pokazać drogę bohaterów i taki entwicklungsroman, mówiąc po niemiecku, no to wtedy jest pewien problem, tak?
4205:  KMM - Bo entwicklungsroman, czyli dosłownie podróż o dojrzewaniu pod auspicjami mistrza, że się idzie właśnie powieść drogi i tak dalej, i tak dalej, ma sens jako całość!
4215:  TN - Mi się wydaje, że tutaj twórcy w ogóle mieli w The Last of Us problem z długością tych odcinków, no bo ona jest bardzo nierówna.
4222:  TN - No i rzeczywiście mogli ten czwarty i piąty jako jeden pokazać i ewentualnie coś wyciąć, ale też nie wiem czy wiecie, ale trzeci odcinek miał mieć dwie godziny i tam 45 minut zostało wycięte, więc też on był ogólnie dużo dłuższy.
4237:  BFP - No ja już się nawkurzałem z Krzysztofem.
4241:  BFP - Nie podoba mi się, kiedy twórca Craig Mazin mówi o tak znakomitym odcinku.
4247:  BFP - Zresztą pewnie będą osoby, które będą mówiły już to, piszą w komentarzach, że o wreszcie dobrze mamy powrót do post-upu, bo przed nimi to było dno i straciłem wiarę w ten sejf.
4256:  BFP - Ciekawe dlaczego.
4258:  BFP - Jestem ciekaw, jak już się pojawią dane o oglądalności i kolejnym wzroście oglądalności, bo prawdopodobnie będą.
4264:  BFP - Najpewniej będzie to kolejny wzrost.
4265:  BFP - To jest ewenementem w historii HBO.
4268:  BFP - Żaden serial nie miał takich wzrostów oglądalności jak ten serial.
4271:  BFP - Natomiast nie podoba mi się, że Craig Mazin po tak dobrym odcinku rozmawia sobie z kimś i mówi tak, lekką ręką rzuca, no ja to się nawet popłakałem, jak obejrzałem dwugodzinną wersję Director's Cut.
4284:  GW - Była tak bolesna, że aż bolało po prostu.
4287:  GW - Była tak zruszająca, że aż bolało.
4289:  GW - I tak bring the amazing cut.
4291:  BFP - Stop teasing us.
4293:  BFP - Po prostu nie rób nam tego.
4294:  BFP - Nie mów, że była dwugodzinna wersja, której pewnie nigdy nie obejrzymy.
4298:  BFP - Nie, no może na DVD kiedyś.
4301:  BFP - Na DVD.
4302:  BFP - Czekaj, pójdę na Pawlacz i zobaczę, czy mam jeszcze swój odtwarzacz DVD.
4306:  KMM - Było podwójnie zabawne, biorąc pod uwagę korzenie HBO jako home box office.
4311:  BFP - Może dorzucą poliestrowy plecak do tego wydania.
4314:  TN - Nie no, Rod Smoka też miał mnóstwo wyciętych scen, no i to jest wszędzie w każdych serialach, gdzie są te wycięte sceny niestety i właśnie one później się pojawiają w tych wersjach DVD, więc możliwe, że tutaj też to dostaniemy.
4324:  GW - chociaż blu-rayowych, ale to będzie, podejrzewam, że Amazon zostanie wtedy zeszturmowany bardziej niż najbliższa strefa kwarantanny po prostu w tym serialu.
4334:  KMM - Przynajmniej dzięki temu coś sprzedadzą.
4336:  BFP - Ja chcę, żeby Nick Offerman odegrał w swojej piwnicy albo w swoim garażu cały Director's Cut, sam najlepiej.
4343:  BFP - Wszystkie postaci.
4345:  BFP - I wrzucił na YouTube'a, wszystkie postaci, dokładnie.
4347:  BFP - I ja będę ukontentowany, Nick Offerman na prezydenta, to jest ostatnia rzecz, którą chciałem powiedzieć na koniec.
4352:  KMM - Najsmutniejsze jest to właśnie, że nie powróci.
4355:  KMM - To jest najsmutniejsza rzecz.
4357:  KMM - Chyba, że w jakiejś retrospekcji, ale nie liczyłbym na to, szczerze powiedziawszy.
4361:  KMM - W odróżnieniu od niektórych nie widziałem całości.
4364:  BFP - Widzę, że jest pewien zachwyt nad słowem pawlacz, którego użyłem i Claudia pisze, że pawlacz to taki schowek pod sufitem.
4369:  BFP - Zgadza się.
4370:  BFP - To właśnie na pawlaczu ukrywali się bohaterowie Sam i Henry.
4374:  BFP - Jak możecie zobaczyć w toku odcinka, Kathleen razem ze swoją prawą ręką udają się na pawlacz.
4381:  BFP - To jest właśnie taki bardzo duży pawlacz, zwany też poddaszem.
4384:  BFP - Ja takiego nie mam.
4385:  KMM - To jest zabawne, bo jak powiedziałeś ze swoją prawą ręką, to zwizualizowałem sobie jej odciętą rękę, którą ona trzyma w drugiej ręce, ponieważ to jest serial post-apo, gdzie są zombie.
4396:  GW - Tu też prowadzi nas w sznurku, bo po prostu czuła się samotna i musiała coś wyprowadzać na zewnątrz.
4400:  KMM - Tu też jest któryś raz dzisiaj, gdzie udało mi się zamilknąć Filipa.
4409:  BFP - Musiał przetworzyć, czekać, za dużo atrakcji.
4412:  BFP - Ja zapipałem, ja musiałem zapipać, bo ja nie wiem, w którym momencie tutaj wjechało Wednesday w twojej głowie, po tym jak wcześniej wjeżdżał Mad Max i tak, tak.
4424:  BFP - Kochani, jak zawsze absolutnie wspaniałe spotkanie i
4429:  BFP - Mogę tylko powtórzyć, że cieszę się, kiedy słabszy odcinek tego serialu jest wciąż topową telewizją.
4437:  BFP - Czy tym, czego oczekujemy od dobrego, prestiżowego TV.
4441:  BFP - Dobre, prestiżowe TV brzmi jak zakupy w Media Markt.
