THE LAST OF US odc. 8 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=-qnVegfHyeM
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

14:  BFP - Mili, witajcie na naszym cotygodniowym omówieniu.
3153:  KMM - To jest nieuzasadnione kompletnie.
3155:  KMM - Jak nieuzasadnione?
3155:  KMM - No w sumie nie, no jest uzasadnione.
3157:  KMM - Znaczy mógłby tutaj zostawić i na jedno by wyszło.
3160:  GW - Mógłby, ale no właśnie to jest to, że po pierwsze stwierdził, że musi być skuteczny, a po drugie włączył mu się już automat, tak?
3167:  GW - To jest zresztą też takie odniesienie do tego, jak widzimy w pierwszym odcinku, że wszyscy się boją Joela, bo tak naprawdę ten chłop to traktuje po prostu jak zwierzę na smyczy,
3180:  GW - którego pilnowała Tess, o której już Krzysztofie sam mówiłeś, że mogłeś już zapomnieć, ale to jego partnerka ówczesna po prostu pilnowała, żeby ten pies nie spuścił się ze smyczy, a tutaj właśnie mamy Joela, który urwał się z łańcucha i stwierdził, że ma pewien zestaw umiejętności, nie zawaha się ich użyć, żeby jak najszybciej osiągnąć swój cel.
3204:  GW - To nie wszystko, ale
3205:  KMM - Ale to jest cała wioska, tak?
3207:  KMM - Wyobraźcie sobie, że ściga was wioska za zabicie jednego człowieka, trafiacie do tej wioski, gdzie jest wasza towarzyszka, wszystko jedno jak, chcecie się stamtąd wyrwać, w związku z powyższym, żeby się stamtąd wyrwać, zaczynacie mordować po kolei ludzi z tej wioski, którzy oskarżają was o morderstwo.
3223:  BFP - No nie no, ale po pierwsze Joel nie ma pojęcia o tym, o czym mówisz.
3227:  BFP - Jel nie ma pojęcia, że oni są związani z człowiekiem, który go zabił i który go zranił.
3231:  BFP - Kompletnie.
3232:  GW - Myślę, że to nie jest element dialogów między nim a Ellie.
3236:  BFP - To jest jedna rzecz.
3237:  BFP - Druga rzecz jest taka, że on nie zabija dla przyjemności, nie wymordowuje ich.
3240:  BFP - On chce znaleźć Ellie.
3242:  BFP - Ale na tym etapie być może Ellie nie żyje.
3246:  BFP - I on czuje furię.
3248:  GW - A wie, że ci goście są zagrożeniem, więc trzeba jak najszybciej, jak największą liczbę ich wyeliminować po drodze, żeby nie ostał się nikt, kto może mu zagrozić.
3264:  BFP - Joel ma dwie informacje.
3266:  BFP - Eli nie ma w pobliżu, a ci goście próbowali mnie zabić.
3270:  KMM - Okej.
3271:  KMM - Fakt, że nie ma tych informacji faktycznie, to sporo zmienia, natomiast w dalszym ciągu dla mnie to była przemoc niepotrzebna.
3279:  KMM - Znaczy ona nie zwiększyła dla mnie napięcia.
3280:  KMM - I tak, właśnie, ale o to chodzi.
3282:  BFP - Była niepotrzebna.
3283:  BFP - Masz czuć niesmak, kiedy oglądasz Joella w tym momencie.
3287:  BFP - To jest bardzo ważne.
3289:  BFP - I broni się.
3291:  BFP - Jeżeli poczułeś taką reakcję, to o to chodzi, bo zawsze się przyzwyczajamy do tego, żeby oceniać protagonistę z perspektywy naszych oczekiwań, które najczęściej spełnia.
3300:  BFP - Robi właściwe rzeczy.
3301:  BFP - To, co zrobił Joel, było tylko i wyłącznie kierowaniem się własnym instynktem i emocjami, ale nie racjonalnością, ani tym bardziej nie humanitaryzmem.
3310:  BFP - Kiedy w czwartym odcinku zabił chłopaka,
3313:  BFP - którego postrzeliła Ellie, to zrobił to dlatego, żeby nie wzywał posiłków, to zrobił to dlatego, żeby może ulczyć mu w bólu.
3322:  BFP - Były racjonalne wytłumaczenia.
3323:  BFP - Tutaj on nie musiał go zabijać.
3325:  BFP - Po prostu mówi w porządku.
3326:  BFP - Ja i tak mu wierzę i zabiję go dla przyjemności.
3329:  KMM - I to jest stopniowo.
3334:  BFP - Nie mogę się doczekać dyskusji z tobą po obejrzeniu finału.
3337:  BFP - Naprawdę, nie mogę się doczekać.
3339:  BFP - Myślę, że takich wątków będziemy mieli naprawdę dużo.
3342:  BFP - Ale zobaczymy, zobaczymy.
3345:  BFP - To jest ten moment, w którym Eli dostrzega leżące sobie swobodnie gdzieś w kącie ucho, o ile się nie mylę.
3352:  BFP - Tak, ucho.
3354:  BFP - Komu z nas się to nie zdarzyło chociaż raz, żeby dostrzec komuś?
3358:  GW - Że w twojej życiu odpada ucho?
3359:  GW - A, to...
3361:  KMM - Nie, znaczy jest taka scena w facetach w rajtuzach, lend me your ears i wszyscy rzucają swoje uszy na podium.
3369:  KMM - Tak.
3370:  GW - Mel Brooks to był geniusz.
3374:  BFP - To jest... To było taktyczne, to było... Czy naprawdę tak bawicie moje taktyczne mlaśnięcie?
3386:  KMM - Spokojnie.
3387:  KMM - Wiesz Filip, ja ci zacytuję Wińczysława nieszczególnego Zedmunda Niziurskiego.
3391:  KMM - Nie przeszkadzaj sobie chłopczyku, leć, leć, leć ze swoją narracją.
3395:  KMM - Go, go, be free.
3396:  S01 - 1453, 1453, 1453, Konstantynopol.
3408:  BFP - To jest moim zdaniem kluczowa scena, żeby jakkolwiek wyjąć sens postaci Davida.
3414:  BFP - Masz gniewne serce, to są jego słowa do niej, pasujesz do mnie.
3420:  GW - I w tym razie zaczęło się robić creepy.
3422:  BFP - Zaczyna się robić creepy, ale zobaczcie, że to co on mówi jest...
3427:  BFP - tak przerażająco niewinne i oczywiste.
3430:  GW - To jest szczere po prostu.
3432:  GW - To jest szczere, bo on szuka drugiego naturalnego lidera do prowadzenia grupy.
3438:  GW - I to jest jakby... Ja nie wiem, czy lidera.
3441:  GW - Tak, wiadomo, w którym kierunku to pójdzie, ale nie, ono mówi, zaznacza, że jest naturalnym liderem, że mają podobny charakter itd., itd.
3449:  GW - To jest jakby...
3451:  GW - No i widzi w niej, brzydko mówiąc, swoją Ewę, więc to wszystko wiadomo do czego prowadzi, natomiast on próbuje się pokazać właśnie z tej takiej bardzo szczery, otwartej strony tutaj, żeby jeszcze to podejście, że tak powiem, w jakiś sposób złagodzić może, coś takiego.
3476:  KMM - Ale to jest znany motyw, że jakiś główny zwol mówi do naszego protagonisty, jednak różnica wieku między nimi jest taka, że wskazuje trochę na inne motywy i ja tutaj zacząłem je podejrzewać, jak to zacząłem oglądać.
3493:  BFP - Tak, ale teraz uzmysłowiłem sobie jedną rzecz, której nie zauważyłem wcześniej i jak bardzo to ma sens.
3500:  BFP - David mówi, tak, mam gniwne serce i długo z tym walczyłem, to jest dokładnie to, co w tym momencie pokazuję i po apokalipsie zrozumiałem, że już nie muszę.
3510:  BFP - Czy to, co robi kordyceps jest złe?
3512:  BFP - Zmieniła się jego koncepcja tego, czym jest zło, czym jest dobro, utożsamia kordyceps w jakiś sposób z wolą Boga, ale co on mówi Ellie?
3521:  BFP - On widzi jej impulsy agresji.
3524:  BFP - On widzi jej wolę walki.
3526:  BFP - I przypomnijcie sobie wszystkie sceny, w których widzieliśmy na przestrzeni poprzednich odcinków fascynację Ellie przemocą.
3535:  BFP - To, jak ona odkrywała przemoc.
3537:  BFP - I to, z jakim podziwem patrzyła na Joella, kiedy on zatłukł człowieka na jej oczach w pierwszym odcinku.
3544:  BFP - Nacinanie jednego z zainfekowanych.
3548:  BFP - Zabawy bronią.
3551:  BFP - to on widzi coś w niej, czego nie widzą inni.
3555:  BFP - I widzi w niej jakieś zło.
3558:  BFP - Ja nic nie chcę mówić, nic nie chcę spoilować.
3560:  GW - Mrocznego przewodnika.
3562:  BFP - Tak, tak.
3563:  BFP - Mrocznego pasażera, mrocznego przewodnika, jakby powiedział nam Dexter.
3567:  BFP - Pamiętny.
3567:  BFP - I to jest ciekawe.
3569:  BFP - To nadaje głębi temu, co powiedziałeś Krzysztof, co wydaje się takie oklepane, czyli join me, join me and build an empire.
3577:  BFP - Nie, mówi, widzę w tobie coś, co sprawia, że mogę z tobą być autentyczny.
3583:  KMM - Nie kupuję tego.
3584:  KMM - Dla mnie to jest grooming.
3587:  BFP - No jest.
3587:  BFP - Jedno nie wyklucza drugiego.
3590:  BFP - Ale jest to grooming.
3592:  BFP - Nawet coś więcej niż grooming, ale nie możemy powiedzieć, bo zdemonetyzują nas albo zablokują.
3598:  BFP - Idźmy dalej.
3601:  BFP - I tak, to też było w grze, ale ten moment, kiedy on kładzie dłoń na kratach i ona kładzie dłoń na jego dłoni, bo ona potrafi go rozczytać wreszcie.
3611:  BFP - Bo ten gościu naprawdę szuka bliskości, jakkolwiek to by nie brzmiało.
3615:  BFP - I wtedy ona trochę robi tutaj... Łamię mu palec i już w momencie, w którym... O, to też jest kapitalny dialog, kiedy mówi, jak to powiedziałaś?
3626:  BFP - Na maleńkie kawałeczki?
3628:  BFP - I kiedy już ma wyjść...
3630:  BFP - to wtedy używa tej swojej karty przetargowej.
3632:  GW - Ale wtedy właśnie, nie, kartę przetargową to jeszcze używa później, ale teraz właśnie mówi swoje imię.
3639:  BFP - Tak, to jest pierwsza z kart przetargowych, które ma.
3642:  BFP - I to sprawia, że zaczyna na nią patrzeć
3645:  GW - To jest most badass po prostu scena, tu Joel może skosić dziesięciu chłopa, ale ona będąc za kratkami połamała paluchy creepowi i powiedziała jeszcze właśnie, no mam na imię Eli, powiedz zreszcie, że to jest mała dziewczynka, która połamała ci kur na palce, no także...
3665:  KMM - No wyszła z niej wreszcie Lady Mormon po tylu, ale teraz w tym dobrym znaczeniu tego słowa, psychologicznym.
3671:  BFP - Szymon Rogowski napisał na czatach coś, co sprawia, że autentycznie w tym momencie przeszły mnie ciarki.
3676:  BFP - Napisał, w ogóle Ellie w tej scenie wygląda jak z okładki The Last of Us Part II.
3681:  BFP - O w mordę, tak.
3683:  BFP - To, co jest zatrzymane, ta stopklatka.
3686:  BFP - Mord w oczach.
3687:  BFP - Mord w oczach.
3688:  BFP - To jest to, co powiedziałem o tym, że to, że David widzi w niej mrok,
3693:  BFP - Ma sens.
3695:  BFP - I o rany, tak.
3698:  BFP - Zwróćcie uwagę na to, że Joel, który zbliża się do tego ośrodka wypoczynkowego, bo to jest w ogóle ten Silver Lake, to jest ośrodek wypoczynkowy, natrafia na śnieżyce, co też ma istotne znaczenie z perspektywy tego, co będzie się działo za chwilę.
3715:  BFP - To taki kawałeczek informacji kontekstowej, który za chwilę.
3718:  GW - Tak, kawałeczek.
3721:  BFP - Nigdy nie zapomnę, jak grałem w The Last of Us i miałem swoje podejrzenia, ale to właśnie był ten moment, kiedy wchodzimy Joelem do jednego z pomieszczeń i widzimy powieszonych do góry nogami ludzi obdartych ze skóry i ludzkie mięso.
3734:  GW - Czekaj, oni tam nie byli obdarci ze skóry chyba.
3739:  BFP - Nie wnikajmy w to.
3741:  BFP - Krzysztof, stop klateczka dla ciebie.
3743:  BFP - Taka szybciutka.
3744:  GW - No nie, widzisz, nie są obdarcie ze skóry.
3747:  BFP - Nie widzę na szczęście.
3749:  BFP - Krzysztof zamknął oczy i pojechał.
3752:  BFP - I to jest faktycznie ta druga karta przetargowa.
3755:  BFP - To jest przebłysk geniuszu Eli, ale tak oczywisty element, jaki można wykorzystać.
3761:  BFP - Kiedy chcą ją romnąć i
3766:  BFP - Ona mówi, ale ja jestem ugryziona i ja cię ugryzłam i ty też jesteś zainfekowana.
3770:  BFP - Tak, dokładnie.
3773:  GW - I w tym momencie w oczach im się żąk.
3777:  BFP - Cała ta sekwencja, to jest interesujące, bo mamy finalną sekwencję, która ma miejsce w tym, jakby to nazwać,
3788:  BFP - nie salon nie to jest sala restauracyjna to jest sala restauracyjna to jest ten diner taki typowy bo zobacz jakie są w ogóle fotele i tak dalej to jest normalnie sala restauracyjna i to jest swoją drogą też właśnie motyw też wprost z gry tak przenieść te Krzysztof informacja dla ciebie i dla wszystkich którzy nie grali walka z Davidem czy cała sekwencja w tej lokacji jest jedną z ciekawszych walk z bossami przynajmniej ja tak to oceniam jakie widziałem w grach
3818:  GW - Bo nie możesz go nawalać po prostu, tylko właśnie musisz się przekraść i mu zadać cios.
3822:  BFP - On chodzi między tymi fotelami, między tymi stołami i nie wiesz, to jest trochę jak Alien Isolation, nie wiesz, w którą stronę pójdzie obcy David.
3832:  BFP - I poruszając się, masz masę przeszkód, które mogą zdradzić twoją lokację i twoje położenie.
3840:  BFP - I głównie to jest rozbite szkło.
3842:  BFP - I on celowo rozbija szkło, żeby było więcej szans na to, żeby mógł cię znaleźć.
3850:  BFP - I musisz kilkukrotnie wyprowadzać cios, atakować go z tyłu i wyłapywać go.
3854:  BFP - I w pewnym momencie jest taka mechanika w tej grze, która pozwala ci nasłuchiwać.
3859:  BFP - Jak nasłuchujesz, to mniej więcej widzisz położenie przeciwnika.
3863:  BFP - I w pewnym momencie on zaczyna się skradać Tak jak ty I nie możesz już znaleźć jego położenia I jesteś niemalże ślepy jak nietoperz Nie wiesz, nie masz pojęcia gdzie jest I nie tylko ty masz go zaatakować On teraz próbuje zaatakować ciebie To jest kapitalna sekwencja Kapitalnie zrealizowana Tutaj ją po prostu skrócono I sprowadzono do dialogu Natomiast miałem powiedzieć o jednym z zarzutów Który się pojawiał pod recenzją Co do realistyczności Tej sekwencji
3892:  BFP - Pojawia się przytomne pytanie, to gdzie są wszyscy z całej tej mieściny w tym momencie?
3897:  BFP - No bo przecież były strzały z pistoletu, dochodzi do pożaru.
3902:  BFP - Moja odpowiedź jest następująca.
3903:  BFP - Po pierwsze, strzał jest w zamkniętym pomieszczeniu i do tego pomieszczeniu, które jest całkowicie wyizolowane.
3909:  BFP - Przecież David mówi, tak, konsumujemy ludzkie ciało, ale dlatego, że nie mamy innego wyjścia.
3914:  BFP - I nikt o tym nie wie poza garstką osób.
3916:  BFP - Także całe to miejsce może być w jakiś sposób wyizolowane.
3920:  BFP - Druga rzecz...
3921:  BFP - Jest taka, że przypominam, że mamy zamieć, więc zamieć na pewno zagłusza dźwięki.
3926:  BFP - I trzecia rzecz, no pożar się dopiero zaczyna, tak?
3931:  BFP - Więc nie byłbym zdziwiony, gdybym zobaczył mieszkańców, którzy przybiegają, no bo już chwilę trwa ten pożar, kiedy kończy się ta sekwencja, tak się nie dzieje.
3939:  BFP - Ale na tym etapie dla mnie zupełnie zasadne jest, że Ellie i David są sam na sam.
3943:  BFP - Tym bardziej, że wydaje mi się, że ludzie siedzą w domach ze względu na śnieżyce.
3947:  KMM - Ja szczerze powiedziawszy chciałbym bardzo pogratulować temu ogniowi jako człowiek, który bardzo lubi ogień, ponieważ nigdy nie widziałem tak szybko rozchodzącego się ognia od randomowo rzuconej flachy.
3960:  KMM - Natomiast rzekłbym, iż trochę irracjonalnie zachowuje się nasz domorosły pleban.
3966:  KMM - i herezjarcha, mianowicie powinien był on zdjąć może tę firanę i potuptać po niej i następnie zająć się z powrotem Ellie, biorąc pod uwagę fakt, że to on miał klucz, czego nie omieszkał powiedzieć dwa razy i nie przyczepiałbym się, gdyby nie irracjonalna scena, w której on tak spogląda na tę firanę i ma takie a chuj.
3987:  BFP - I idzie dalej.
3991:  BFP - To jest moim zdaniem o tyle ważne, że on pokazuje... Wtedy opada maska, tak jak opadła maska z Kathleen.
3996:  BFP - Jak Perry za każdym razem mówił... Psychopata.
3998:  BFP - Tak, że to jest psychopata.
4001:  BFP - I maska opada wtedy, kiedy okazuje się, dla mnie są rzeczy ważniejsze niż bezpieczeństwo ludzi, którzy mi zaufali.
4009:  BFP - Tak było w przypadku Kathleen, kiedy jako priorytet zawsze stawiała zemstę i co on stawia za priorytet?
4016:  BFP - Mieć kogoś zniewolonego i to jest wymowny krad.
4020:  KMM - Dobra, dobra, dobra.
4020:  KMM - Ale moment, on przecież nie ma tutaj żadnych swoich owieczek do obrony.
4025:  KMM - Wszystkie owieczki są poza tym budynkiem, więc nie ma takich socjopatów, którzy by się w ten sposób zachowywali i równocześnie nie chcieli siebie ratować, swojego życia.
4033:  KMM - On przecież wie dobrze, że jeżeli doprowadzi do tego, że zacznie ten cały budynek płonąć, to on się spali w środku, tak?
4039:  KMM - Znaczy na tym polegają pożary, więc jest to totalnie irracjonalne z jego strony.
4044:  BFP - Nie, nie, zupełnie.
4045:  BFP - No Kate nawet pisze na czatach i mówi, no fajnie, że zająłby się firanom, a ta by go w tym czasie zdjęła.
4050:  KMM - Czym?
4055:  KMM - Z dmuchawki asteckiej, którą by wyjęła z kieszeni.
4058:  KMM - Akurat by miała tam strzałkę.
4059:  KMM - Nie, nie wierzę.
4061:  BFP - Ona ma nóż przecież.
4064:  GW - W tym momencie jeszcze nie.
4066:  BFP - Ma nóż.
4067:  BFP - Cały czas z tego co wiem ma nóż.
4069:  BFP - Ona dopiero tasak weźmie, ale czym ona go zaatakuje?
4072:  BFP - A nie, przepraszam, masz rację, ona z kuchni weźmie.
4074:  GW - Tak, wyciągniemy już później.
4076:  GW - Natomiast tutaj jest tak, że w istocie to jest kolejny element, do którego można się przypieprzyć, że to jest trochę szczapy.
4082:  GW - Oni chcą tutaj raczej, wydaje mi się, że moim zdaniem nieumiejętny sposób pokazać, jak bardzo on jest teraz skupiony na niej, skupiony na celu.
4090:  GW - On ma wywalone po prostu na wszystko, bo znalazł
4095:  GW - kolejną czy tą jakąś swoją ofiarę, ale jednocześnie osobę, która jakoś jest mu bliska charakterologicznie, więc wywalone na to, niech się wszystko pali dookoła.
4107:  GW - To jest bardzo uproszczony motyw.
4112:  GW - wydaje mi się, bardzo uproszczone uzasadnienie tego, bo jakby on faktycznie, no ale właśnie, on nie myśli teraz logicznie, jakby myślał logicznie, to faktycznie zerwałby tą firankę, pieprznałby to w kąt i ten kawałek drewna, którym rzuciła Ellie, bo to był kawałek drewna, nie butelka,
4131:  GW - to faktycznie by może zrobił to inaczej, ale no okej, tu przydaję, że to jest nie do końca sensownie to zrobione.
4140:  KMM - Język filmu potrafi pokazać ludzi, którzy są w psychotycznym szale i nie myślą i do tego wystarczy zobaczyć lśnienie z Jackiem Nicholsonem,
4147:  KMM - Ja przy lśnieniu nie zastanawiałem się, czy on robi coś racjonalnie, czy nieracjonalnie, ale to jest człowiek, który był przez cały czas, jak mawiała Angla Sasi, composed, tak?
4155:  KMM - Zrównoważony, panował nad sobą.
4158:  KMM - On przecież cały czas judzi, jak rozmawia z nią, jątrzy dyskusję, podpuszcza ją, mówi, że a co ty jesteś taka specjalna niby.
4167:  KMM - To jest człowiek w psychoczycznym szale.
4169:  KMM - To jest człowiek, który doskonale kontroluje sytuację.
4173:  GW - Znaczy wydaje mi się, że tutaj w nim coś strzeliło łącznie z jego własnymi palcami, więc w tym momencie już zaczął się przełączać, bardziej też pokazywać jakby głębsze warstwy swojego charakteru.
4186:  BFP - I ciekawy jest ten argument, który podniósł Krzysztof, to znaczy jego opanowanie, jego...
4194:  BFP - nie tylko manipulację, ale też kontrolę nad sytuacją, którą prezentuje wcześniej, może trochę stoi sprzeczności z jego reakcją na to.
4202:  BFP - Już nawet nie chodzi o to,
4204:  BFP - że nie zdjął tej firanki.
4206:  BFP - Tu chodzi o to, jak zareagował na to.
4208:  BFP - I to rozumiem.
4209:  BFP - Ja przyjmuję to.
4211:  BFP - Ja i tak byłem... Na szczęście właśnie sztuka audiowizualna sprawia, że możemy o tym zapomnieć.
4217:  BFP - Jak siedzi tylko trzech gości, którzy trują dupę i znajdują jakieś rzeczy, do których mogą się przyczepić, to wtedy to wychodzi.
4225:  BFP - Ale jednak wiadomo, film rządzi się swoimi prawami.
4229:  BFP - Bardziej nie leżało mi to, że Joel tak szybko wyzdrowiał.
4234:  BFP - Kurde, to jest tak, już przeskoczyłem kilka kadrów do przodu, ale wydaje mi się, że w grze, czy z tego co pamiętam, David w grze trochę bardziej grał w otwarte karty i trochę nawet bardziej był creepy.
4247:  GW - Tak, bo on mówił, you don't know what I'm capable of, tak właśnie on już zapowiadał, że nie wiesz do czego ja jestem zdolny, a tutaj mamy to właśnie mniejszą ilością słów wypowiedziane, ale wydaje mi się, że bardziej powoduje ciary na plecach, kiedy on mówi, że nie ma strachu w miłości.
4267:  BFP - There's no fear in love i to jest cytat.
4271:  BFP - z Biblii.
4271:  BFP - Tak, to też moim zdaniem właśnie pięknie pokazuje, jak instrumentalnie wykorzystywał religię i jak bardzo uzasadniał nią swoje odchyły i to, co mówi, że kardyceps pokazał mu, że nie musi powstrzymywać pewnych swoich impulsów, bo ja tak to czytam.
4289:  BFP - A zło przestaje być złem.
4292:  BFP - I there is no fear in the... Ale druga rzecz, która mówi, która jest bardziej przerażająca, to jak mówi, myślałem, że wiesz, najbardziej lubię, kiedy walczą.
4302:  BFP - Najbardziej lubię ten moment, w którym się opierasz.
4306:  BFP - To jest mocne.
4307:  BFP - To jest bardzo mocne i różnica między... Tak, jeszcze Massimo w Yerusini pisze coś, co nie chce nam przejść przez gardło, ale on chciał ją...
4319:  BFP - Jedna rzecz, reakcja Ellie, kiedy ona zaczyna krzyczeć jest naprawdę...
4340:  BFP - To nie jest pierwszy raz, kiedy Bella Ramsey w tym serialu po prostu miażdży swoim talentem, ale to też nie jest pierwszy raz, kiedy jej wykonanie aktorskie jest lepsze niż to, co zostało wyreżyserowane i zagrane przez Ashley Johnson w grze.
4354:  BFP - Ale jest pewna różnica między tym, co się dzieje w tej scenie, a tym, co wydarzyło się w grze.
4361:  BFP - W grze Joel pojawia się szybciej.
4365:  BFP - On wchodzi do tego płonącego budynku.
4367:  BFP - I możecie to zobaczyć w recenzji, którą dzisiaj puściłem.
4369:  BFP - I Thule, Ellie, powstrzymuje ją w jej szale.
4372:  BFP - Tutaj Ellie zostaje niepowstrzymana.
4375:  BFP - I ona w tym szale jest dłużej.
4377:  BFP - Ona po prostu... Tak, jest to potężne.
4383:  BFP - Zanim zepsuję klimat i przeczytam jedną wspaniałą rzecz, którą dzisiaj dostałem jako wiadomość prywatna na Instagramie z pewnym pozdrowieniem, to chciałbym jeszcze zostawić głos Wam co do tej sceny, bo właśnie wykonanie aktorskie Belly Ramsey robi tu całą robotę.
4399:  KMM - Znaczy, jeżeli ktoś, znowu powiem to zdanie po raz kolejny, miał jakiekolwiek wątpliwości co do tego, czy Bela Ramsey uciągnie tę rolę, no to myślę, że już na tym etapie nie powinien mieć żadnych wątpliwości.
4410:  KMM - No i to jest ten moment, kiedy, zauważcie, przemoc jest całkowicie uzasadniona i nie musi być gol, tak nawiasem mówiąc, co też jest argumentem na rzecz tego, co ja zawsze powtarzam, że
4421:  KMM - Jeżeli czegoś nie trzeba pokazać na ekranie, to paradoksalnie można wzmocnić ten efekt.
4427:  KMM - My nie musimy widzieć masakrowanej twarzy człowieka na tym etapie, więc dobra decyzja bardzo.
4431:  KMM - Zdecydowanie lepiej, że kamera się skupia na tym, co jest istotne, to znaczy na twarzy przerażonej ofiary, która chce się zemścić po prostu.
4439:  KMM - No i w tym momencie nasze emocje są po jedynej słusznej i właściwej stronie w tym przypadku.
4444:  BFP - Przepraszam, ale właśnie zobaczyłem jednego użytkownika, którego właśnie wyciszyłem, który jedyne co był w stanie napisać patrząc na ten kadr to ziemniok.
4453:  BFP - I myślę o tym, że wciąż są ludzie, którzy oglądają Belle Ramsey z całym jej wielkim talentem i są w stanie spojrzeć na jej fizis i powiedzieć, że wygląda jak ziemniak albo balon.
4464:  BFP - Czasem można stracić wiarę w człowieczeństwo i nie potrzeba do tego apokalipsy.
4468:  BFP - Ale żeby poprawić humor, dostałem dzisiaj wiadomość od Kuby, pozdrawiam cię Kubo, bardzo serdecznie, który napisał bardzo ważną rzecz.
4478:  BFP - Powiedział, chciałem przed transmisją podzielić się z tobą tymi liczbami.
4482:  BFP - Ellie w momencie szlachtowania Davida uderzyła go aż 22 razy w około 19 sekund, co daje około 1,16 uderzenia na sekundę.
4490:  BFP - Do tego wszystko to działo się w płonącej karczmie.
4493:  BFP - Ewidentnie build postaci na atak speed plus fire resistance.
4497:  BFP - I... Mi się nie śmieje, to jest najgorsze zawsze.
4501:  BFP - Ja się bardzo śmiałem i pozdrowienia dla Kuby, całkowicie się z tym zgadzam.
4506:  BFP - Całe to rozładowanie...
4509:  BFP - Cały ten skumulowany gniew, który jest w tym opętańczym szale, naprawdę mówi więcej niż słowa tego, co to znaczy strach i tego, że wiecie, jak czasami po prostu ubijecie, do czego nie zachęcam, ale ubijecie klapkiem pająka, bo byliście go przerażeni, to wasze reakcje są przesadne.
4532:  BFP - I wizja tego, co prawie ją spotkało i jak bardzo się tego bała i jak bardzo to wciąż jest dziecko i być może nawet nie była świadoma, że ludzi stać na takie zło, które wyziera z każdego słowa, które mówi ten człowiek.
4546:  BFP - Ten człowiek nie widział, że to co robi jest odrażające, przerażające.
4552:  BFP - Jest mocno.
4554:  GW - Wydaje mi się, że i tak największe reperkusje tego będziemy widzieć dalej, bo komukolwiek się nie zdarzyło w jakiejkolwiek formie, że przekroczone jego jakieś granice prywatności czy tej nienaruszalności, nietykalności fizycznej jedno czy wielokrotnie na pewno po pierwsze traci trochę zaufanie do drugiego człowieka tak w ogóle,
4582:  GW - a po drugie w momencie, kiedy dzieje się to więcej niż raz, no to włącza się ten element prymarny takiego zaszczucia, więc tutaj wydaje mi się, że... No i po prostu jestem ciekaw, jak to pokażą dalej, bo widać pierwsze tego efekty, jak ona już wychodzi z tej knajpy, gdzie ona jest w takim trybie, że właśnie nie dotykaj mnie, że po prostu jest właśnie ten element zaszczucia, że jest jak takie zranione zwierzę,
4610:  GW - Natomiast co dalej będzie się z tym działo, no to zobaczymy w ostatnim odcinku.
4616:  BFP - No ale jest to faktycznie bardzo zwierzęca scena i bardzo taka prymarna reakcja, pierwotna, pierwotna reakcja.
4628:  BFP - I ten moment jej wzdrygnięcia się, kiedy Joel podchodzi, próbuje ją przytulić, ona wyrywa się, ona nie wie, że to jest Joel.
4636:  BFP - Ja zobaczyłem w tej scenie jedną rzecz, która mnie zmroziła.
4639:  BFP - Ja jej nie widziałem wcześniej, a oglądam ten odcinek już po raz trzeci.
4645:  BFP - Zobaczcie, co mówi Joel.
4647:  BFP - Joel mówi, już dobrze maleńko, I got you, I got you, babe, it's okay, it's okay.
4651:  GW - On mówił tak do swojej córki.
4653:  BFP - Tak.
4654:  BFP - On powiedział to do Sary w pierwszym odcinku, kiedy umierała w jego ramionach.
4657:  BFP - Verbatim, słowo do słowa.
4659:  BFP - Powiedział, muszę zobaczyć, jak to jest w języku angielskim, ale... Baby girl, baby girl.
4666:  BFP - Tak, I got you baby girl, it's ok now, bodajże, uspokajając.
4671:  BFP - To jest mocne.
4673:  BFP - To jest bardzo...
4675:  GW - To jest jakby ostateczne domknięcie tego, wydaje mi się, swojej relacji tutaj pomiędzy Joelem a Eli.
4683:  GW - Jak wcześniej było takie zrozumienie i w jakiś sposób ta delikatna miłość, kiedy złapali się za ręce w momencie, kiedy Joel leżał ranny, tak tutaj to już kompletnie jakby domknięto to, w jaki sposób zbudowała się ich relacja ojciec-córka.
4704:  KMM - Przepiękna scena.
4705:  KMM - Jeszcze jeden dowód, że The Last of Us lśni wtedy, kiedy ma przemyślaną kompozycję odcinka.
4710:  KMM - Kiedy jest opowiedziana spójna historia, kiedy nie ma idiotycznych cliffhangerów, kiedy nie ma cięć, kiedy nie ma zawieszonej akcji do następnego tygodnia.
4719:  KMM - Tak, jest poczucie kompletności, spełnienia i jeszcze nawiązania, czy repryzy w tym przypadku, bo ponawia się pewien motyw, do wydarzeń, które były początkowe.
4729:  KMM - Brakowało mi takich scen w większej liczbie, biorąc pod uwagę na to, że jednak to nie jest serial 20-odcinkowy, prawda, czy 15-odcinkowy, ale tylko 9-odcinkowy.
4740:  KMM - No i teraz już mam takie poczucie tylko i zdradzę wam, że po tym odcinku mam takie, Jezus Maria, to został jeden odcinek teraz na finał,
4748:  KMM - co się wtedy stanie i jak oni to zrobią i ja się tym faktem stresuję.
