POBITY, POŁAMANY, PONIŻONY. Roast 3. Sezonu Wiedźmina
🔗 https://www.youtube.com/watch?v=MxmMzmDBX6I
KMM (Krzysztof M. Maj)
DS (Dominika Skoczeń, Czerw Fantastyczny)
JM (Jaga Moder, Legendystka)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

14:  BFP - Wiecie, ja nie jestem fanem rantów ani roastów na YouTubie, to jest zmora YouTube'a.
2905:  KMM - Nie był w Jarytuzie, on był w pałacu, który jest na wyspie Thanet, tylko że problem polega na tym, że wyspa Thanet w serialu nie jest wyspą Thanet, tylko jest wyspą, na której stoi obelisk, którego nie ma w książce.
2914:  KMM - Więc wiecie, tych rzeczy, które są nieścisłe, jest dużo, ale to nie są nieścisłości, które wychwyci uważny fan i nie wpływają one na odbiór serialu, ponieważ ludzie, którzy nie czytali materiału źródłowego na przykład, będą mieli wrażenie chaosu.
2928:  KMM - nie będą wiedzieli o co chodzi, nie będą w stanie zrekonstruować jaka jest polityka Nilfgaardu wobec Królestwu Nocy, jaka jest polityka Redanii wobec polityki Temerii, co się w zasadzie stanie pod Yarugą, tak?
2938:  KMM - O co chodziło w zjeździe na Thanet, jak tak naprawdę przebiega intryga całego Vilgefortza, jakie były związki Vilgefortza z Rinsem.
2945:  KMM - To są odpowiedzi, na które widzowie nie będą znali odpowiedzi.
2948:  KMM - Znaczy pytanie, na które ludzie nie będą znali odpowiedzi, właśnie dlatego, że nikt tego nam sensownie nie pokazuje.
2953:  KMM - No i wreszcie zobaczcie, jak przedstawiano nam postaci na początku, kiedy jeszcze był... serial się rozpędzał i widzieliśmy, kto jest kim.
2961:  KMM - I teraz mamy nowe postaci.
2962:  KMM - Ja nie mam zielonego pojęcia, że ja patrzę na Marguerite L'Antille przez pół serialu.
2967:  KMM - Dopiero mi ludzie na live'ie to uświadomili.
2968:  KMM - Ja nie wiedziałem, że spotkałem Milvę!
2970:  KMM - ponieważ ona została wprowadzona między wierszami znowu.
2973:  KMM - No nie wolno w ten sposób wprowadzać postaci, więc tak z grubsza przedstawia się właśnie ten problem nieścisłości.
2979:  KMM - Wycina się rzeczy ważne z powieści, które dają kontekst, a wsadza się pomysły, które mają zrobić tie-in, czyli takie połączenie między dwoma uniwersami z obrzydliwą obietnicą krwi, czy rodowodem krwi, czy whatever, blood origin, rodowodem krwi i menhirami.
2997:  GW - Tym samym niestety robią serial dla nikogo, bo fani faktycznie, którzy są zainteresowani materiałem źródłowym są niezadowoleni ze względu na nieścisłości, na zmiany, na rozpieprzenie w ogóle kompletnych pewnych konsekwencji świata, a z kolei ci, którzy nie znają materiału źródłowego są pogubieni z racji, że nie wyjaśnia się pewnych rzeczy w jakiś taki standardowy, uniwersalny sposób, który
3023:  GW - jest, istnieje od, od lat w języku serialu, show don't tell, wyjaśnienie po prostu pewnych konsekwencji, nakreślenie jakiejś ekspozycji, nie takiej, to już mogłaby być naprawdę wpysk dla niektórych rzeczy, a tego nawet w
3038:  GW - w ten sposób nie robią.
3039:  GW - I to nie jest kwestia poszanowania inteligencji widza, tylko na zasadzie, bo musimy wspomnieć o tym, więc napieprzymy nazwisk i tak jak już gadaliśmy w omówieniu poprzedniej części tego sezonu, to jest dosłownie, tutaj idealnie zgrywa się z cytatem z Geralta na początku tej całej imprezy, tak z piątego odcinka, jak ja mam kurwa zapamiętać te wszystkie nazwiska.
3064:  BFP - Brendo napisał na czacie, że ten serial nie ma też przewodnich motywów wizualnych.
3069:  BFP - Sety mieszają style.
3070:  BFP - Przykładowo zamek redański, okna romboidalne, secesyjne krzesła, trochę gotyku, romanizmu, do tego sterylne, nudne stroje.
3079:  BFP - Ja bym to rozciągnął szerzej, oddając głos teraz Jadze i Dominice.
3086:  BFP - Dla mnie jako osoby, która nie ma takiego przywiązania do materiału źródłowego, chcę po prostu być porwany przez historię, przez bohaterów i przez świat.
3097:  BFP - I tak sobie pomyślałem, ten odcinek, który jakkolwiek mi się podobał, pomimo, że miał te swoje Netflixizmy, jak sowa wylatująca z dupy i Filipa L. Hartura pojawia się jak Deus Ex Machina, czy Kahir, który na kolanach płacze i mówi, zabij mnie, zabij mnie, po czym widzisz, że biegną z kojatel, wstaję i mówi, wiewiórki biegną, uciekaj.
3115:  BFP - I sam ucieka.
3116:  BFP - Więc dużo było takich rzeczy, ale tak sobie myślę, ten przewrót na Canet i ja wróciłem faktycznie do tego,
3123:  BFP - w książce i tam to jest bardzo immersyjne doświadczenie.
3128:  BFP - Tam naprawdę nie wiemy, co się dzieje.
3129:  BFP - I przypomnijcie sobie krwawe gody w grze o tron.
3134:  BFP - Pomyślcie o tym, jak to było, gdy nagle widzicie, tutaj nagle ktoś regluje drzwi.
3139:  BFP - Tutaj widzicie, że wjeżdżają jacyś ludzie z powodzem i oni nie do końca sprawiają wrażenie gości, którzy przyjechali ze świniakiem.
3146:  BFP - Zaczyna się bardzo robić gęsta atmosfera i wiemy, że coś zaraz pierdyknie.
3151:  BFP - Przewrót na tanet jest zrobiony w taki sposób w serialu, że non stop ktoś musi odezwać, ktoś musi otworzyć usta i cały czas coś pieprzyć.
3159:  BFP - Jakby skupcie się na walce.
3161:  BFP - Normalnie, kiedy dochodzi do walki, to szukasz osłony, rzucasz zaklęcia i jest naprawdę fajny moment, kiedy oni rzucają tarcze, a okazuje się, że mają dwimerytowe groty strzał i coś się zaczyna sypać.
3173:  BFP - Natychmiast ktoś zaczyna z kimś rozmawiać.
3175:  BFP - Natychmiast zaczyna siadać akcja, kiedy tylko przechodzimy między, po pierwsze, różnymi perspektywami postaci, ale nie, że te postaci coś robią, tak jak powiedział Grzegorz, show, don't tell, tylko cały czas muszą coś tell.
3187:  BFP - Cały czas coś muszą powiedzieć, zamiast skupić się na tym zbudowaniu atmosfery
3194:  BFP - O nie, jest źle.
3196:  BFP - Rzeczy wypadają w tym momencie spoza planszy i sypią się plany bohaterów dokładnie tak, jak widzimy w oczach Geralta, że przegra walkę z Vilgefortzem, którą oceniam bardzo dobrze.
3208:  KMM - O tyle Filip jeszcze ma rację, że zauważcie, że w grze od HBO jest pipsztylion plus jeden więcej postaci niż w serialu Wiedźmin.
3218:  KMM - i nikt nie musi nam mówić, o bo wiesz, bo ten jest ten, a ten, o bo wiesz, bo nic mi się wprawdzie nie prowadzi, ale to jest Tisaja, tak?
3225:  KMM - Nie robi się takich rzeczy.
3226:  BFP - No i już oddaję głos Jadze i Dominicy, ale jako, że gram wciąż Final Fantasy XVI, które również jest tak zahuśnięte grą o tron, jak wydaje mi się czasami twórcy Netflixowego Wiedźmina, bardziej niż materiałem źródłowym, jakim jest proza Sapkowskiego,
3242:  BFP - to tam jest przynajmniej taka opcja, że można przytrzymać gładzik na padzie i można przeczytać sobie lore.
3247:  BFP - I gra się zatrzymuje i można przeczytać, kto jest jaką postacią.
3250:  BFP - I świetnie napisał recenzent z IGN, który przygotował artykuł o rozbieżnościach między czasem pogardy a serialem.
3256:  BFP - Powiedział, wystawiając serialowi ostatecznie ocenę 5 na 10, powiedział, ten serial naprawdę niby chce zadowolić fanów,
3263:  BFP - ale nawet to mu nie wychodzi, ale ci, którzy nie są fanami, cały czas muszą siedzieć z otwartą Wikipedią albo jakimś glosariuszem, żeby czytać, co dokładnie kto tutaj ma do zrobienia i jaką ma motywację i w zasadzie, czemu znajduje się w tym momencie w scenie.
3277:  KMM - Hygiene dał 5 na 10, a nie 7 na 10 pierwszy raz w swojej historii?
3282:  KMM - Ja nie wierzę.
3284:  KMM - To musi być naprawdę poważna sprawa.
3286:  BFP - Well, girl, better believe it.
3288:  BFP - Jaga Dominika.
3289:  BFP - Odnośnie wierności materiałowi źródłowemu, ale też właśnie
3295:  BFP - temu, co oferuje ten serial tym, którzy nie znają materiału źródłowego, ale chcieliby poczuć to, co czuli, kiedy oglądali Gry o Tron.
3302:  DS - Ja myślę, że cała ta konfuzja wynika po prostu z jakiegoś takiego błędu na pomyłki na poziomie właśnie producentów, bo po prostu...
3312:  DS - Wiedźmin, zwłaszcza trzeci sezon, jest napisany po to, żeby został wyemitowany na Amazonie.
3318:  DS - Znaczy na Prime'ie, przepraszam, bo na Prime'ie masz X-Ray'a i tam możesz po prostu zapauzować sobie scenę, rozwinąć i wtedy już wiesz, kto jest kim i nikt ci nie musi się nie tłumaczyć.
3328:  DS - Coś się pokręciło, poszło na Netflixie i nie mamy takiej funkcji niestety.
3331:  DS - W związku z tym ja oglądając rzeczony bal, który się odbywał tam,
3336:  DS - I dostałam nagle taki ząb, bo właśnie książki czytałam dawno, nie pamiętałam dokładnie, kto jest kim, zwłaszcza z tych czarodziejek wszystkich, bo ich tam było strasznie dużo.
3345:  DS - No i ja byłam przekonana, że Tisaja jest rektorką szkoły, no bo cały czas Jennifer z nią gadała a propos przyjęcia Ciri do szkoły i załatwienia tych wszystkich formalności, więc sobie zapamiętałam, okej, czyli Tisaja zarządza szkołą, a potem wchodzą na bal, no i ona tam mówi, no to jest ta Margarita jakaś tam rektorka szkoły.
3363:  DS - I ja się totalnie wtedy zgubiłam, mimo że i tak miałam ułatwień, no bo kiedyś te książki czytałam, więc to jest jakiś dramat.
3370:  DS - A propos wierności książkom, to ja naprawdę nie przestaję mnie fascynować, jak udaje im się wziąć scenę i jakoś tak to zrobić, że wziąć same nieistotne rzeczy, a nie pokazać tych ważnych rzeczy.
3381:  DS - Świetnym przykładem jest scena, kiedy Ciri tam nie chce iść do Eretuzy, więc po tych tam wydarzeniach w łaźni ona bierze konia i ucieka, no nie?
3392:  DS - i jedzie w galop, tam ją goni dziki gon.
3395:  DS - Oglądamy to i mamy takie, no dobra, wiemy, że ona nie chce pójść do szkoły, spoko.
3399:  DS - Jakoś by dostała się z miasta, spoko.
3402:  DS - Nie wiem, dlaczego teleportowała się na jakąś drogę i nagle galopuje, nagle ją goni dziki gon, w ogóle nie wiadomo o co chodzi, a potem nagle znajduje ją Geralt.
3409:  DS - Stąd Geralt wiedział, że ona w ogóle tam będzie.
3412:  DS - Nie mam zielonego pojęcia, skąd wypadł z krzaków akurat na czas, też nie mam pojęcia, dlaczego rozgonił dziki gon prostym znakiem R, też nie mam pojęcia, no dobrze, że mu się udało.
3421:  DS - A potem czytamy książkę i okazuje się, że w książce to wszystko miało sens, ponieważ księżniczka Cyrilla będąc w tej łaźni podsłuchała najpierw, że w tym zajeździe jest sekretne przejście, znaczy takie przejście, które można tam namówić tego karczmarza, żeby otworzył, które prowadzi za mury, więc po pierwsze miała już drogę na zewnątrz.
3441:  DS - wymyśloną, no nie?
3442:  DS - Po drugie, tam wcześniej jak była scena w banku, to Jennifer rozmawiała tam z tym krasnoludem na temat tego, gdzie znajduje się Geralt, więc później idąc na targ z tym subiektem, subiektem, no nieważne, z tym chłopakiem z banku,
3457:  DS - klerkiem dokładnie, ona się go zapytała jak dojechać do tej miejscowości, gdzie Geralt jest, więc potem wzięła konia, wyjechała tym tajnym przejściem, pojechała do Geralta, no dojechała tam, gdzie Geralt był, więc Geralt ją znalazł, wszystko ma sens.
3468:  DS - I oczywiście nie Geralt swoim znakiem Art rozgonił ten dziki gon, tylko Yennefer swoją potężną magią, więc jest jak najbardziej sensownie skonstruowana scena, gdzie wszystko się jakoś klei, a oni biorą z tego kawałeczki i wychodzi z tego taka kompletna bzdura.
3485:  DS - Nie przestaje mnie w to fascynować.
3487:  DS - A propos tych strzał, o których mówiłeś Filip, że ci się to podobało, że oni mieli te strzały z Dwimerytem, które tam przebiły tę barierę, to...
3495:  DS - Po pierwsze, dlaczego Tisaja najpierw potrafi czarami rozwalić kajdany z Dwimerytu, ale nie może sobie poradzić z tymi grotami, to ja nie rozumiem.
3503:  DS - To jest moja pierwsza wątpliwość, bo albo ten Dwimeryt jest odporny na magię całkowicie, albo nie jest, albo trzeba to jakoś dokładniej wytłumaczyć, więc to jest pierwszy problem, który mam.
3511:  DS - Drugi problem, który mam jest taki, że ten Dwimeryt chyba rośnie na drzewach, bo w tym serialu cały czas wszyscy mają kajdany z Dwimerytem i ciągle on się pojawia.
3518:  DS - Wydawało mi się, że jest to raczej...
3520:  DS - trudny do zdobycia minerał, no ale najwyżej źle pamiętam, możecie mnie za chwilę poprawić, a trzeci problem, który mam z tą walką, to teoretycznie powinna być fajna walka, tam było tyle pięknych efektów wizualnych, ja powinnam siedzieć na brzegu krzesła, a ja cały czas siedziałam i się zastanawiałam, no okej, no ja rozumiem, że to są strzały z wimerytem,
3538:  DS - Ale przecież drzewce nie są z dwimerytu, więc mogą choćby zepchnąć strzałę z lotu, oddziałując na drzewce.
3544:  DS - To jest mój pierwszy pomysł.
3545:  DS - Mój drugi pomysł jest taki, że można na przykład wywrócić łuczników.
3548:  DS - Przecież w pierwszym odcinku bodajże Yennefer magią powietrza
3554:  DS - potrafi przesunąć o 10 metrów ogaro karaczana, który prawdopodobnie waży tyle, co nieduży albo nawet spory słoń, więc nie powinni mieć problemu z łucznikami.
3563:  DS - Po trzecie, no nie wiem, co się stało na przykład z podpaleniem cięci w magią, żeby nie można było strzelać z łuku, ale nie, wszystkie te pomysły nie przychodzą do głowy naszym czarodziejom.
3572:  DS - Wspomniałam to, że nie używają żadnej magii obszarowej, tylko wszyscy się tłuką jeden na jeden z żołnierzami, więc równie dobrze mogliby mieć miecze.
3579:  DS - ale widocznie po prostu są dalej na kacu z imprezki poprzedniego dnia, widać mocno zapili i po prostu nie nadają się intelektualnie do pojedynków tego dnia.
3588:  DS - Takie są moje wnioski.
3589:  KMM - To ja oddając...
3594:  KMM - Bo Garo Karachon zwycięża, absolutnie.
3596:  KMM - Muszę jeszcze o Dwi Merycie zrobić, bo to jest taki typowy zabieg hollywoodzki, że zrobimy coś, żeby było cool, tak?
3601:  KMM - To Ruin Johnson sobie pomyślał w The Last Jedi, że wiecie co byłoby super?
3606:  KMM - Jakby on przeleciał tym... On niech on przeleci przez tamten statek i będzie takie...
3613:  KMM - To jest super, tylko że nie przewidział, że to ma konsekwencje światotwórcze aż do nowej nadziei.
3619:  KMM - Znany argument fanowski, nie będę go powtarzał, Luke Skywalker generalnie rzecz biorąc mógłby zrobić łatwiej kamikadze niż słuchać ducha mocy, który mu mówi, żeby wrzucił torpedę w otwór Fi 60 przed nim 4 km dalej.
3631:  KMM - I to jest dokładnie to samo z tymi nieszczęsnymi grotami z Dreamerytu.
3634:  KMM - Tak jak mówi Dominika, wprowadzamy miliony różnych problemów.
3638:  KMM - Ile jest tego dwi-merytu na sieci?
3639:  KMM - Dlaczego się tego częściej nie używa?
3640:  KMM - Przede wszystkim kajdan z dwi-merytu nie byłoby w Garstagu, gdyby nie to, że zmieniono względem... Magogę nie popierają w płytówkach, skoro można zrobić strzały z dwi-merytu.
3648:  KMM - O, właśnie.
3649:  KMM - Więc w Garstagu nie byłoby w ogóle kajdan z dwi-merytu, nawiasem mówiąc, gdyby nie zmieniono tego, że tam był pałac obłożony zaklęciem.
3656:  KMM - Zdawien dawien dawna i Tissaia de Vries w ten sposób to zaklęcie zdjęła, co pokazywało w książkach jej moc.
3662:  KMM - Natomiast tutaj zostało to zmienione w taki sposób, że jeśli mnie pamięć nie mieli, to Filipa Eilhart nagle sobie jakiś śmieszny czar nałożyła, na co Tissaia de Vries mówi, że o, ja byłam tam, kiedy pisano tę magię, ponieważ cytuję Aslana, i tak ludzie myślą, że nikt się tego nie domyśli.
3676:  KMM - No i w związku z powyższym ona cofa to zaklęcie, ale że ono jest słabsze, to trzeba było jeszcze dodać kajdanę z dwiemerytu.
3682:  KMM - Wprowadzamy gimmick do fabuły, który nic nie zmienia, ale ma niesamowite konsekwencje światotwórcze i człowiek się zaczyna zastanawiać, dlaczego tego wcześniej nie używano, dlaczego tego później nie używano, w ogóle jakim cudem Scoia'tael, którzy ledwo mogą sobie... Oni są jak ten Oliver Twist, to... Panie, poratujcie chlebusiem i gulaszem z jednej strony i o tym jest pół tego sezonu, a z drugiej strony wstać ich nad wimeryt, na które sobie mogli pozwolić, no może monarchowie, tak?
3708:  KMM - W swoich więzieniach w pałacach.
3709:  GW - Można by było wyjaśnić, że Emher to generalnie ogarnął, a że ten Dwimeryt może jest częścią tych zasranych Menhirów, no bo to inaczej nie widzę.
3717:  KMM - Ale już oczywiście, przecież oni importują Dwimeryt przez Menhiry z innych światów, ponieważ magia.
3725:  BFP - Znaczy, uważam, że ten serial naprawdę ma poważniejsze problemy niż kwestia, skąd się wziął Twimeryt i zgodzę się z tym, co napisał Mateusz na czacie, że takim takim rozumowaniem można by wszystko w zasadzie podważyć w tym serialu, szukając w nim jakiś luk takich światotwórczych, logicznych, więc... Nie rozumiesz, to jest coś, co jest wprowadzone przez nich.
3742:  KMM - Jeżeli jest się debilem i ma się materiał źródłowy, w którym jest wszystko w porządku,
3747:  KMM - po czym stwierdza się, ja potrafię lepiej i nie potrafisz lepiej, to wtedy jesteś wyśmiewany, tak?
3752:  DS - Zatem te małe problemy rosną potem w duże problemy.
3755:  DS - Na przykład niby drobnostka, dodali księgę monolitów, ale tą małą księgą monolitów dodali całe podróże w czasie, bo ktoś tam powiedział, że będzie można podróżować w czasie i przestrzeni.
3765:  DS - Jak dodajemy podróże w czasie, to już cała powieść leży i kwiczy na poziomie logicznym najczęściej.
3768:  DS - A nie sądzę, żeby twórcy Wiedźmina wymyślili, jak rozsądnie ogarnąć podróże w czasie, skoro nic nie są w stanie wymyślić.
3774:  KMM - Zresztą my wciąż nie wiemy tak naprawdę, o co chodzi z tą Księgą Monolitów, ponieważ ostatni raz, kiedy ją widzieliśmy, to wtedy, kiedy Vilgefortz wypchnął jakiegoś maga bodajże, Istreda, razem z nią przez portal.
3784:  DS - Jak te osoby chcą wygnać wszystkie elfy z powierzchni kontynentu.
3789:  BFP - Ach to, tak, tak, ja to wyparłem.
3791:  BFP - Mnie wprowadzenie dwimierytowych strzałów podobało się nie dlatego, że to były dwimierytowe strzały, tylko wreszcie był to moment, kiedy bohaterowie się zamknęli, coś się zaczęło dziać.
3799:  BFP - Doprecyzuję.
3800:  BFP - Dlatego to jest to, co mam na myśli, że serial ma naprawdę większe problemy niż to, skąd wzięli Dwi Merit.
3805:  BFP - Jaga, oddaję głos tobie teraz.
3807:  JM - Jezu, ja już się pogubiłam, w czym jesteśmy.
3810:  BFP - Możesz zacząć od czego chcesz, tak po prawdzie.
3813:  JM - Wiecie co, ja to tak wrócę do tego odcinka z imprezką, bo...
3823:  JM - Wiele osób mówiło, że nie do końca było w stanie jakby wczuć się w to wszystko, no ale zauważcie nawet jak ten scenariusz jest napisany tego odcinka.
3830:  JM - Najpierw mamy pierwszą wersję zdarzeń, której brakuje pewnych ważnych elementów.
3838:  JM - a potem przez 40 minut mamy to samo, tylko uzupełniane o kolejne te elementy.
3844:  JM - Ja wiem też, że tak czasami się robi w filmach, żeby podkręcić trochę interesującą zagadkę, która gdzieś tam w tle się skrywa, ale to się tutaj zupełnie moim zdaniem nie udało, zwłaszcza, że napięcie siadło, bo po środku była ta scena pomiędzy Geraltem i Yennefer w sypialni i miałam wrażenie, że właśnie to pierwsze takie
3867:  JM - ograbione z tych ważnych szczegółów ekspozycja na te wydarzenia służyło tylko po to, żeby oni mogli mieć tą scenę w tej alkowie, że tam można było pokazać, że pomiędzy nimi ta miłość jednak się odnowiła z powrotem.
3881:  JM - No bo nie widzę innego uzasadnienia, bo mogliby za jednym zamachem całe te wszystkie wydarzenia w całości puścić i byłoby dokładnie jakby tak samo, nie byłoby jakiegoś wielkiego zaskoczenia.
3893:  JM - No a jednak zdecydowali się to podzielić na dwa.
3897:  JM - nie wiem, dla mnie dziwne.
3899:  DS - Jakby się uprzeć to nawet na trzy, bo potem jeszcze tam wracali i trzeci raz, jak myśleli, co oni tam ci z Redanii powiedzieli, to niektórzy jeszcze raz pokazywali.
3907:  JM - Tak, tak.
3908:  JM - W każdym razie napięcie dzięki takim zabiegom siada mocno i ja się nie dziwię, że nie jest się w stanie czuć jakichś ciarek na plecach takiego zainteresowania w momencie, kiedy dwa razy o tym samym się słucha i na dodatek jeszcze to nie jest jakieś super ciekawe, no bo tam...
3925:  JM - Naprawdę, te fragmenty, które były pokazane, nie były jakieś kluczowe, to nie było nic, co wzbudzało zainteresowanie.
3933:  JM - No i też pokazywało m.in.
3935:  JM - to, co powiedziałam wcześniej, czyli niezrozumienie postaci Sapkowskiego.
3939:  JM - Dijkstra jest tutaj jednym z przykładów, gdzie
3943:  JM - Jednak w sadze jest to potężny, potężny gość, szpieg, który jest inteligentny, z którym nie igra się, bo może się to źle skończyć.
3952:  JM - A tutaj mamy dziwnego gościa, który się krzywi, który zaciska zęby, jak mu się coś nie podoba, nie potrafi odpyskować nawet jakoś poważnie.
3962:  BFP - Nie zbyt emocjonalny.
3964:  BFP - To nie jest śpieg mistrz, tylko gość, który do tego jest strasznie uzależniony od Filipa Eilhart emocjonalnie, ale dosłownie też sytuacyjnie, czego doskonałym przykładem była wygarnięta przez was ta scena, w której on ze strzaskaną nogą leży i w zasadzie jest całkowicie bezbronny, dopóki nie pojawia się Filipa Eilhart i jej sowa, która zabija
3987:  JM - Jaka jej sowa?
3988:  JM - To jest Filip Eilhart we własnej osobie?
3991:  BFP - We własnej osobie.
3994:  GW - Sowa Filipa Eilhart, tak?
3995:  GW - We własnej osobie, dziękuję bardzo, piękne to było.
3998:  GW - Ale Dijkstra w ogóle książkowy to podejrzewam jeszcze gdzieś miał trzy sztylety pochowane, jeden pod pachą, drugi gdzieś tam za dziąsłem po prostu, czwarty gdzieś tam w nocy, cokolwiek, także
4009:  GW - Tutaj nie oddano nawet do końca honoru postaci, która faktycznie jest takim nieprzejednanym skurwolem po prostu w tym całym uniwersum.
4018:  GW - Byłoby niesamowicie interesujące, tak to zrobili z niego alkoholika i z... no...
4024:  GW - z boka jeszcze przy okazji, nie kingshamuje, żeby nie było, no to by mogli, mogli, mogli naprawdę, to jest miły dodatek, jasne, ale tak naprawdę nie oddali właśnie istoty tej postaci w ogóle.
4036:  JM - No właśnie, no bo przecież z takim gościem jak z serialu nikt by się nie liczył.
4040:  JM - W królestwie.
4041:  JM - Nikt, król, ci wszyscy jego szpiedzy, jakieś współpracownicy, nikt by się z taką postacią nie liczył, więc my musimy, no, takie zawieszenie niewiary gdzieś tam się pojawia, że no okej, dobra, to jest najpotężniejszy szpieg ever known, nie wiem.
4058:  DS - A ponieważ jest też geniuszem politycznym, to jak tylko słyszy, że ktoś musi zapłacić za ich potknięcie, mianowicie to Filipa, to zamiast wymyślić jakiś super plan, jakąś intrygę, cokolwiek, żeby albo ją uratować, albo nawet wyjść na tym na plusie, to jedyne co mu przychodzi do głowy, to ja oddam za nią życie, bo ona jest dla mnie taka ważna.
4077:  KMM - Ja tylko chciałem uprzejmie też zaznaczyć, że scena, o której Jaga mówi bardzo słusznie, to jest odcinek serialu, z którego twórcy są niesamowicie dumni, ponieważ to był jedyny moment, kiedy zastosowali inny zabieg narracyjny niż przyczynowo-skutkowy wątek prowadzony na dwóch planach czasowych.
4095:  KMM - więc są niesamowicie z tego dumni.
4097:  KMM - Świadectwem tego jest pieśń, która została nagrana wprawdzie z towarzyszeniem Percivalu Schuttenbach, więc tutaj propsy, bo w ramach pochwały dla tego serialu trzeba powiedzieć, tak, wreszcie posłuchali graczy i zatrudnili Percivala, brawo, zajęło im to tylko ile?
4109:  KMM - Trzy lata?
4109:  KMM - Cztery lata?
4111:  KMM - I przypominam, że refren tej wybitnej pieśni, gdzieś sobie go nawet znalazłem, to jest, już mam, All is not as it seems, tak, czyli nic nie jest takie, jak się wydaje, Tisaja jest zła, kiedy się nie naje i tyle cały czas słyszymy przez non stop, przez cały odcinek.
4129:  KMM - Tak, sztuka iluzji, więc żebyśmy pamiętali o tym, że tutaj się dzieją poważne narracyjne rzeczy, nie?
4136:  KMM - Że to jest żałosne po prostu, jeżeli sobie to przypomnimy.
4139:  KMM - Nawet weźmy Toss a Coin to a Witcher, tak?
4142:  KMM - To było wprowadzone na luzie, na lajcie, podróżowali sobie bohaterowie, Bart mandolił na tej swojej mandolinie i okej, dobrze.
4151:  KMM - Natomiast tutaj nie ma to żadnego uzasadnienia, oczywiście poza faktem, że wprowadzono tę trupę wagantów wcześniej po to, żeby z kolei poniżyć Jaskra.
4159:  KMM - Czy możemy przez moment porozmawiać o tym, jak bardzo biedna jest postać Jaskra w tym serialu?
4165:  KMM - Przecież on zaczyna jako całkiem fajna postać, która jest przyjacielem Geralta, wspiera go, czasem sobie ironicznie coś powie, a potem on nawet wizualnie zrobi się coraz bardziej smutnym spanielem.
4177:  GW - Ale on był taki Rising Rockstar, a później zrobili z niego takiego przebitego emo jeszcze, którego każdy tyra albo robi z niego opiekunkę do dziecka, no to... Tak.
4187:  GW - Ja naprawdę życzyłem tej trupie, żeby ta żagnica ich wpierdoliła tam albo wyrzuciła po prostu do morza.
4192:  JM - Ja myślałam, że ona ich zjeżdża, a ich nie zeżarła.
4194:  GW - No dokładnie.
4195:  JM - Co do Jaskra, to ja w ogóle byłam zaskoczona, że w serialu, znaczy w książce nikt nie powierzyłby mu Ciri pod opiekę, no ale tutaj ewidentnie zmiana w charakterze postaci nastąpiła, bo nagle Jaskier stał się odpowiedzialny.
4212:  BFP - No w ogóle jakieś takie...
4216:  BFP - No rzeczywiście te męskie postaci są jakieś takie niedorzeczne.
4219:  BFP - Myślę na przykład Wizimir, który jest parodią.
4223:  BFP - Widać, że to jest władca, który jest parodią.
4226:  BFP - To jest taki żywcem wzięty ze Shreka.
4231:  BFP - Facet jest żywcem wzięty ze Shreka.
4235:  BFP - Wspomniany Dijkstra, wiecie, szybko sprawdziłem sobie jak nazywały się postaci w Rodzie Smoka i jak sobie tak myślę, do kogo można by porównać Dijkstra z książek i z gier, nie?
4246:  BFP - Otto Hightower z Rodu Smoka, Larry Strong, to są oślizgłe
4252:  BFP - Postaci, które dosłownie Machiavelli mógłby umieścić na okładce.
4255:  KMM - Z gry o Tron Lord Varys, tak 1 do 1 praktycznie.
4259:  BFP - Absolutnie, Little Finger, dokładnie, to są oślizgłe, ale nieprawdopodobnie przebiegłe postaci, które są w stanie postawić na szali swoją moralność, potrafią być lisem, potrafią być tygrysem.
4272:  BFP - Nie lubisz, ale podziwiasz, tak?
4274:  BFP - Tak, nie lubisz, ale podziwiasz.
4276:  BFP - Nawet teraz, jak słucham sobie audiobooka Duny, jak słyszę knowania Barona Harkonena, Wladimira Harkonena i jak on swojemu bratankowi tłumaczy pewne rzeczy i jednocześnie nabija się zmentaty, który...
4292:  BFP - daje się ponosić swoim ludzkim przywarom i tych ludzkich przywar bardzo dużo ma Dijkstra, ale nie ma właśnie tego, co ma na przykład Baron Harkonnen, wspomniany Little Finger, nie ma tego, co ma Varys, Otto Hightower, strasznie, bo ty, Jaga, mówisz właśnie o tej jednowymiarowości postaci, ja bym brutalnie powiedział, te postaci są wykastrowane w jakiś sposób z pewnej dominanty osobowości, czegoś, co sprawia, że
4317:  BFP - Myślisz ta postać i myślisz, a, to ten, który zrobił coś takiego.
4320:  BFP - Albo to jest jego motywacja, nie?
4322:  BFP - Jak ja myślę sobie o Rodzie Smoka, to właśnie myślę, dana postać, ja wiem, co Otto Hightower chciałby zrobić.
4327:  BFP - Ja wiem, dlaczego jego córka została wydana za żonę, za króla i tak dalej, i tak dalej.
4332:  BFP - Gdzieś tam widzę pewną konstrukcję ich motywacji.
4334:  BFP - A ja nie umiem tego samego powiedzieć o Dijkstrze.
4336:  BFP - Nie umiem tego samego powiedzieć o Radowidzie obecnie, który został władcą i w sumie jest absolutnie porażony tym faktem.
4343:  BFP - Nie umiem tego powiedzieć o Jaskrze.
4344:  BFP - Nie umiem powiedzieć tego o Geralcie.
4347:  BFP - W zasadzie nie ma takiej postaci, nie umiem tylko powiedzieć o Kahirze.
