Shōgun | Omówienie odc. 1-3
🔗 https://www.youtube.com/watch?v=4St49k3ZVBE
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
ML (Michał Lipiński, Ponarzekajmy o Filmach)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

41:  BFP - Dobry wieczór.
3155:  BFP - Ze względu na bazę w Macao, która jest budowana i o czym dowiaduje się, o czym informuje nasz bohater i też potwierdza to ze swoją wtyką w więzieniu.
3164:  BFP - I o czym przekonuje się też Ishido, gdzie jeden z regentów tak naprawdę wbrew niemu atakuje ten orszak, w którym są jego ludzie.
3172:  BFP - Bo ludzie Ishido eskortują Tokugę... Kurczę, cały czas mam problem.
3180:  BFP - Toronagę.
3180:  BFP - Oni nie wiedzą, tak.
3181:  BFP - Tylko, że nie wiedzą, co tam jest.
3182:  BFP - Dokładnie.
3183:  BFP - I w pewnym momencie w lesie zostaje zaatakowany ten orszak i w pewnym momencie nawet patrzą tam ci ludzie i mówią zaraz, ale dlaczego oni walczą między sobą?
3192:  BFP - Więc wydaje mi się, że Ishido ostatecznie może też nawet
3196:  BFP - zmienić stronę albo dogadać się z Toranagą.
3198:  BFP - Nie wiem, rzucam to tak wam pod dyskusję, ale wydaje się to być racjonalnie myślący, rozumny człowiek, który może zacząć dostrzegać podobnie jak Toranaga, że zagrożenie leży po innej stronie niż mu się wydaje.
3215:  ML - Za mało informacji.
3216:  ML - Za mało.
3217:  ML - No bo jeszcze póki ta rada, ta pozostała trójka, a oni dopiero na koniec teraz zaczęli się tak naprawdę trochę rozchodzić i o tą też religijną rzecz kłócić i o Toranagę, no to na tym etapie to nie wiemy, w którą stronę pójdą wszyscy, nie?
3230:  ML - Ale jest to ciekawe.
3231:  ML - No ja się też jaram właśnie, że ten Nishido nie jest jakimś bedgajem, ugabuga, tylko wydaje się być kolejnym inteligentnym gościem.
3238:  ML - który może trochę lekceważył Thranager, myślał, że go teraz tu zaszachuje szybko, czy zamatuje, ale no... Ej, ja czekam na jutrzejszy odcinek, nie?
3248:  KMM - No i bardzo, dawno nie było czegoś takiego.
3251:  KMM - Jeszcze bym rzucił, że te postaci antagonistów, którzy są dwuznaczni czy wieloznaczni, są tutaj bynajmniej nieograniczone wyłącznie do Ishida, bo jeszcze mamy tego członka rady dyrygencyjnej, który jest trendowaty, w zasadzie nie wiadomo jaki on ma
3267:  KMM - z kolei cel, poza tym, żeby przeżyć.
3269:  KMM - Żeby się nie rozpaść.
3273:  KMM - Poza tym jeszcze mamy jezuitów.
3274:  KMM - Przypominam sobie tę scenę, w której przekonuje Toranaga, że zostanie wbudowana świątynia katolicka w Osace.
3284:  KMM - I on mówi, o Boże, to absolutnie na wszystko się zgodzimy.
3288:  KMM - No i jeszcze jest jedna kwestia, to znaczy ta wyspa tajemnicza, na której dokonuje się przemyt broni i wszystko jest pod kuratelą jezuitów.
3299:  KMM - Mnie nie pytaj nigdy o tego rodzaju szczegóły.
3301:  GW - Nie, on ci proponował grę.
3305:  ML - Tak, dokładnie, i po Makale.
3310:  BFP - Go!
3312:  BFP - Tak, to też Alvito, na przykład ten ojciec Alvito, który jest wśród jezuitów.
3316:  ML - Fajna postać, nie?
3317:  BFP - Tak, Człowiek Rondel.
3319:  BFP - Człowiek Rondel.
3322:  ML - On również nie jest jednoznacznie zły, tak?
3324:  ML - Dokładnie, właśnie fajnie, że wśród tych jezuitów są... Nie no, jest graczem, tak, też.
3328:  ML - Ale też ma jakąś taką osobistą, nie wiem, jakiś swój kodeks, że honorowo tłumaczy, tak?
3334:  ML - I gra do tej bramki, ale ma jakiś tam poziom honoru i tak dalej.
3338:  ML - Także ciekawe, no właśnie to buduje ten serial, że ci bohaterowie rzeczywiście są... To, co mi się kojarzy z Grą o Tron, no nie wszyscy są ci dobrzy czy źli, tylko...
3347:  BFP - Jest dużo odcieni szarości.
3349:  BFP - Natalia zapytała, czy dobrze rozumiem, że tylko Toranaga i Ishido wśród regentów są niewierzący.
3354:  BFP - Nie.
3354:  BFP - Jest pięciu regentów i dwóch z nich jest katolikami.
3358:  S00 - Trendowaty, bo liczy, że to nie zmieni.
3362:  BFP - I ten jeden, który się bogaci dzięki jezuitom.
3364:  BFP - I teraz zwróćcie uwagę na jedną bardzo ważną rzecz.
3367:  BFP - To jest niepozorna scena, ale wydaje mi się niezwykle istotna.
3370:  BFP - Jezuici rozmawiają o przejęciu władzy w Japonii.
3374:  BFP - i rozmawiają o tym, w jaki sposób wpływają na innych, wśród nich siedzi jeden z regentów i mówi, ja się tym zajmę.
3380:  BFP - To jest ten, który organizuje ambush, atak... Zasadzkę.
3387:  BFP - Tak, o, właśnie tego słowa szukałem.
3389:  BFP - Organizuje zasadzkę w lesie, kiedy przechodzi ten orszak, więc to jest interesujące.
3394:  BFP - Jeżeli miałbym wskazywać kogoś złego, poza jezuitami jak zawsze, to byłby to prawdopodobnie jeden z tych regentów,
3401:  BFP - który wzbogaca się dzięki temu przemytowi, który jest połączony także z ten czarny galeon, który ma wypłynąć, to jest ten, który ma płynąć do Macao.
3411:  BFP - Więc interesująca jest rola tego jednego z regentów, o którym na razie mało wiemy, ale wiemy, że on wydaje się takim najstarszym chyba z tych wszystkich regentów i najbardziej cynicznym.
3420:  GW - No, mimo wszystko chyba największym cynikiem, jednocześnie moją jeszcze taką ulubioną postacią jest tego wszystkiego Hiromatsu, czyli ten doradca właśnie Toranagi.
3429:  GW - Bo scena, kiedy on przyszedł zaanonsować, że jednak ta Regentura tam się troszeczkę rozpada i rozpadła się szybciej niż właśnie jeden z członków tej Regentury.
3439:  GW - to tak przyszedł po prostu do nich i powiedział, no siema typy, ale to już ten układ nam nie działa, Toranaga sobie posiedzi teraz w Osace i chuja nam zrobicie, tak?
3452:  GW - No i w tym momencie, w tym momencie sposób też w jaki on
3461:  GW - robi różne rozważania polityczne.
3463:  GW - Właśnie on jest takim, mam wrażenie, że jest takim trochę przewodnikiem po polityce tamtego czasu.
3469:  GW - I to jest bardzo fajne, że on zazwyczaj jest wtedy, kiedy wprowadzana jest jakaś postać do pewnych knowań,
3477:  GW - I on z racji tego, że jest tam najstarszy i najmądrzejszy z całej ekipy, to tłumaczy i dzięki temu my też poznajemy jakby ten świat dookoła.
3486:  GW - Także on jest tutaj taką encyklopedią troszeczkę po ówczesnej polityce i wyjaśnia to często w zabawny sposób.
3496:  GW - Także bardzo mi się podoba tutaj też jego rola w tym wszystkim.
3498:  BFP - Tak, mnie się też bardzo podoba.
3500:  BFP - On jest jedną z osób, które są darzone największą estymą, zauważyłem w tym serialu.
3507:  BFP - Bo Hiromatsu jest podobno bardzo doświadczonym generałem, jest jedną z najstarszych postaci.
3514:  BFP - na ekranie, który oglądamy i ma ogromne doświadczenie np.
3517:  BFP - w walce z Koreańczykami.
3519:  BFP - Zresztą nawet kilkukrotnie wychodzi kwestia konfliktu z Koreańczykami, to przywołuje m.in.
3526:  BFP - Yabushige, kiedy rozmawia z Ishido, że Yabushige był pod dowództwem Ishido i tam w pewnym momencie Ishido mówi, że pamiętam tego Yabushige, znakomitego żołnierza, którego wyciągnąłem spod ciał Koreańczyków.
3540:  BFP - No i jeżeli oni są tak doświadczeni, to jak doświadczenie z Hiromatsu.
3544:  BFP - Więc nie tylko interesująca jest jego relacja z Toronagą, nie tylko interesująca jest jego relacja z jego wnuczką, którą jest Fuji, ale również Buntaro.
3556:  BFP - Buntaro, który jest mężem Mariko i jest jego synem.
3561:  BFP - I relacje między nimi są nadwyrężone.
3563:  BFP - I ja tylko przypomnę, Buntaro wydaje się, że zginął.
3567:  BFP - I Buntaro ma jedną z najbardziej badass scen w całym serialu, który następuje pod koniec drugiego odcinka.
3573:  BFP - To jest moment, w którym on próbuje dołączyć do tego Orszako, który już przerzucił się na łódkę i płynie w stronę Galeonu.
3583:  GW - I zabezpiecza ich odwrót.
3586:  BFP - Dokładnie.
3586:  BFP - I oni wiedzą, że on nie znajdzie się już na tej łódce.
3590:  BFP - I on dosłownie biegnie na molo i siecze wszystkich, którzy za nim idą.
3594:  BFP - To jest kapitalna scena.
3596:  ML - Muszę powiedzieć, że jestem właśnie fanem też jeśli chodzi o zdjęcia, bo na przykład te sekwencje w szerokich planach w tym nocnym miasteczku przy naturalnym oświetleniu z tych wszystkich lamp, wszystko pięknie tutaj wygrzewało.
3608:  ML - I przy okazji, trochę zmieniając temat na zdjęcia, a co sądzicie o tym niskim polu ostrości na tym kręceniu na otwartej przysłonie w jakimś takim winietowaniu?
3618:  KMM - Chodzi ci o te flary, które się pojawiają.
3620:  ML - No takie rozmycie.
3622:  KMM - Rozmycie?
3623:  KMM - No to jest ciekawe.
3624:  KMM - Widziałem, że na to Marcin na gałęzi zwrócił łukańskie uwagę.
3628:  KMM - Dlaczego zrobiłem z Marcina Łukańskiego?
3629:  KMM - Marcin z na gałęzi łukańskich.
3632:  KMM - Nie mam pojęcia.
3633:  KMM - W każdym razie, zanim on tego nie powiedział, to ja na to nie zwróciłem uwagi, od razu powiem.
3638:  KMM - Ja zwracałem uwagę wyłącznie na te kadry sunące za postaciami, to mnie uderzyło bardzo, i na szerokie plany.
3647:  KMM - To było fenomenalne, absolutnie.
3648:  KMM - Natomiast jeżeli chodzi o ten konkretny zabieg, o którym mówisz, to nie zwróciłem na to uwagi, dopóki mi nie zostało to pokazane.
3658:  KMM - Ewidentnie, albo to było bardzo naturalnie zrobione, albo ja po prostu jestem ślepy.
3662:  GW - To jest umiejętnie zrobione, ale to też pozwala na jedną rzecz.
3665:  GW - Jeżeli trzeba w tle dołożyć CGI, to łatwiej ukryć jakiekolwiek niedoskonałości i budżet.
3670:  GW - To jest taki trening trochę.
3671:  ML - Właśnie chciałem powiedzieć, że ja na przykład nie jestem tego fanem i muszę powiedzieć, że to jest jedyna moja rzecz w tym serialu, taka techniczna.
3676:  BFP - To stary, obejrzyj sobie Narcos Mexico, gdzie to zostało do bólu po prostu wykorzystane, także się nie da tego oglądać.
3683:  ML - Przerwałem właśnie Narcos Mexico na pierwszym odcinku, jak oglądałem Narcos.
3687:  ML - Ja też.
3688:  ML - Ale niestety obecnie to mi się kojarzy trochę ze Snyderem, Zackiem, więc... I przypomina mi się jakiś Rebel Moon i tak dalej, więc nie jestem trochę... Bo na początku myślałem, że wprowadzają ten zabieg zmniejszenia pola ostrości, w przeciwieństwie do tego, co się robiło w wszystkich filmach tak historycznie, typu jakiegoś Kurosawy, gdzie zawsze właśnie była zamknięta przysłona, wszystko w kadrze pięknie.
3707:  ML - Myślałem, że to będzie taki zabieg na około głównego bohatera, że ten Blackthorn jest taki z zewnątrz, że jak on jest w kadrze, to wszystko jest rozmazane, że on trochę, wiecie, nie pasuje do rzeczywistości, nie?
3716:  ML - Ale potem to jest wszędzie, więc myślę, że to po prostu jest jakaś taka decyzja artystyczna, której no nie jestem hiperfanem, szczególnie, że tak jak Grzegorz powiedział, rzeczywiście, to jest świetny, to jest jedna z metod zasłaniania CGI w tle, tak samo jak robienie jakiegoś dymu, trochę tam, trochę wam się coś dymi i nagle, wiadomo, nagle efekty kosztują 10 razy mniej te z tyłu, bo są zadymione.
3736:  ML - ale póki co jesteśmy w takich małych jakichś tam fajnie opracowanych scenografiach, gdzie wszyscy są w strojach, nie trzeba im robić CGI jak w jakimś Avengers Endgame, więc trochę szkoda, że nie widać, nie?
3747:  ML - I na przykład właśnie jak były te sceny akcji i szersze plany, to od razu miałem taki, że wolałbym tak, nie?
3753:  ML - Żeby rzeczywiście wszystko było
3754:  ML - ładnie widać.
3755:  ML - Chyba, że zrobili taką decyzję, żeby to się wtracić w serialu, im bardziej kosmo będzie się, znaczy tam ten Blackthorn będzie się jakby asymilował z kulturą japońską, że wtedy mu się będzie to tak jakby, wiecie, zmieniało, ale wątpię.
3767:  ML - Wydaje mi się, że tak jest i no nie wiem.
3769:  ML - Ja chciałem zapytać, bo ja nie jestem fanem akurat tej decyzji, nie?
3772:  BFP - Ja dzisiaj dopiero zwróciłem na to uwagę, jak oglądałem trzeci odcinek i o, nawet tutaj chyba to trochę widać, bo chodzi ci o tą głębię ostrości, nie?
3780:  ML - To rozmycie takie, które czasami jest... Tak, jest płytka głębiej ostrości, plus jeszcze jest taki efekt, nie wiem, czy oni dodają już bezpośrednio obiektyw, czy produkcji takiego wymiotowania kulistego, nie?
3791:  ML - Tak, tak, tak.
3793:  KMM - Podobno to jest kwestia użytego obiektywu.
3795:  KMM - Przynajmniej czerpię informacje z recenzji, czy recenzji z omówienia Marcina Łukańskiego na gałęzi.
3802:  BFP - No nie, to muszę powiedzieć, że mnie nie rzuca, nie było to dla mnie nachalne, tak jak było właśnie w Narcos Mexico, gdzie to było po prostu aż nieznośne i nie widziałem nic innego poza tym, to tutaj ładnie się to wkomponowuje, tym bardziej, że widzisz to głównie, kiedy widzisz jakąś martwą naturę, a nie kiedy widzisz na przykład wnętrza, domów i tak dalej.
3822:  ML - We wnętrzach jest tego mniej, rzeczywiście.
3824:  ML - To głównie na zewnątrz stosujemy.
3825:  BFP - Ciekawą rzecz napisał Marcin Mazurek, muszę to przeczytać, bo czuję kronikarski obowiązek.
3832:  BFP - Anglii zawdzięczamy to, jak historiograficznie przedstawione jest historię Japonii i wpływ Portugalczyków i jezuitów jako zło.
3839:  BFP - Jakby wyprawa Perrego z 1954 roku była okej, otwarcie Japonii.
3844:  BFP - To jest interesujące, pamiętasz Krzysztof co ostatnio powiedział, Marcin, który jest historykiem z wykształcenia, powiedział, że Bene Gesserit wpisują się w taki trend kosmicznych jezuitów, których zwykło się właśnie poprzez dominowaną przez Anglosasów kulturę i popkulturę prezentować jako zło.
3863:  BFP - I to troszeczkę wpisuje się, i to nie jest pierwszy komentarz, dziękuję Ci Marcinie za to, to nie jest pierwszy komentarz, że to co prezentuje nam Blackthorn, mówiąc o zmowie niemalże masonów, Portugalczyków, Hiszpanów oraz jezuitów, jakby to było największe zło świata, a to faktycznie jest jednak pewien zabieg propagandowy, który wykorzystywali Anglicy, więc cieszę się, że to zostało podbite.
3886:  KMM - To ma jeszcze drugie dno, bo historiografia anglosaska jest bardzo wrażliwa teraz na to odbrązowianie trochę kolonizacyjnych i kolonialnych narracji, które w zasadzie złożyły się na najważniejsze gatunki, jakie dominują dzisiaj, typu relacja z podróży i tak dalej.
3905:  KMM - Mary Louise Pratt to opisuje w imperialnym spojrzeniu.
3908:  KMM - I ona mówiła, że te pamiętniki jezuitów z podróży, one miały taką charakterystyczną cechę, którą nazwała narracją antypodboju.
3916:  KMM - Oznaczało to, że w tych opowieściach z podróży były gumkowane wszystkie przejawy obecności jezuitów, zwłaszcza takie administracyjne, gospodarcze, finansowe, ekonomiczne, jakiekolwiek inne, co też jest fajnie pokazane w tym serialu, jak to właśnie można rozegrać w cieniu.
3933:  KMM - No i właśnie cała ta historiografia współczesna zmierza do tego, żeby wydobyć prawdę z tych wszystkich pamiętników i pokazać te momenty, w których był ten antypodbój, że w ogóle aspekt podboju był wycinany.
3944:  KMM - To jest w sumie w pustyni i w puszczy, gdzie widać tego właśnie dobrego dzikusa, natomiast cała reszta europejskiej obecności w Egipcie jest starannie wygumkowana po to, żeby specjalnie nie gorszyła.
3956:  KMM - No tylko, że w przypadku Sienkiewicza to jest już intencjonalna działalność, dość mroczna, a w przypadku tych pamiętników pierwszych, które były
3962:  KMM - Mam wrażenie, że to było trochę tak na zasadzie, że tak się opowiada i że to jest naturalne i nie robiono tego jakoś mega celowo, natomiast dobrze, że historiografia współczesna stara się na to zwrócić uwagę.
3973:  KMM - Przepraszam za wtręt, ale akurat mi się przypomniało, myślę, że właśnie bardzo fajnie jest pokazane to, znaczy inaczej, pokazuje to bardzo dobrze, dlaczego właśnie ta cała strona tego spisku, nazwijmy to jezuickie, jest tak troszeczkę w cieniu.
3985:  BFP - Ale tutaj na przykład w tym oficjalnym, właśnie podkreśliłem to na tej oficjalnej stronie, ale rozumiem, że oni przyjmują narrację autora książki i też scenarzysty serialu, jest napisane, że jezuici, czy misjonarze jezuicy mieli swoją twierdzę w Osace, konwertowali masy chłopów, prostych ludzi,
4007:  BFP - wykorzystując ich sytuację materialną, czyli biedę, ubóstwo i nawet docierali do zamku w Osace w taki sposób, żeby wpływać na warlordów, czego dowodem jest tych dwóch regentów, którzy tam są.
4022:  KMM - No tak, właśnie zdefiniowałeś misję i działalność misjonarzy, tak to wyglądało.
4028:  KMM - Czasem nawet i do dzisiaj tak to wygląda.
4031:  BFP - I to dlatego,
4033:  BFP - Staram się was też odwieść od jednotorowego myślenia, czy tej perspektywy, którą ukazuje nam ten serial i zobaczcie sobie milczenie Scorsese, które w znacznie bardziej zniuansowany sposób prezentuje jezuitów.
4048:  BFP - I religię również, gdzie Liam Neeson jest postacią, którą próbuje znaleźć Andrew Garfield przez cały film i to, z czym mierzą się jezuici i też ich podejście do wiary i znaczenie tej wiary,
4063:  BFP - No jest znacznie bardziej zniuansowany niż takie jednostronne, że to jest właśnie takie historyczne Bene Gesserit, że oni pociągają za sznurki albo są narzędziem w rękach imperiów takich jak wówczas imperium kolonialne portugalskie bądź hiszpańskie i wykorzystywani do tego, żeby przejąć kontrolę nad Japonią.
4079:  BFP - Moim zdaniem, a nawet nie tylko moim zdaniem, ale też wielu historyków, no jest to pewna przesada.
4087:  BFP - Rzekłem.
4089:  ML - Koniec.
4089:  BFP - Makao?
4090:  BFP - Ale z tym manipulowaniem i wykorzystywaniem to trochę naciągane.
4093:  BFP - Wielu było szczerze przekonanych.
4096:  BFP - Pełna zgoda też wielu Japończyków znalazło jakby ukojenie w religii.
4102:  BFP - Mariko nie wydaje się być durną postacią, wydaje się być jedną z najinteligentniejszych, najtwardziej chodzących po ziemi postaci, a jest głęboko wierząca i wydaje mi się, że też jest zaskoczona, kiedy dowiaduje się o tych planach od Blackthorna i dowiaduje się o Portugalczykach, a mimo to osobiście, nie wiem, są wśród was, znaczy Grzegorz, nie wiem, czy ty przeczytałeś książkę?
4127:  GW - Szoguna?
4128:  GW - W sensie książkę?
4129:  BFP - Tak, tak, tak.
4130:  GW - To czy możesz powiedzieć, czy jedno z naszych... Przecież mówimy dzisiaj za czterdzieści razy.
4134:  BFP - Ale może chodziło o powieści z Narnii, Grzegorz też zna, okej?
4137:  KMM - Nie.
4138:  ML - Ja się tu produkuję.
4140:  ML - Grzegorz, bo ty jesteś wyciszony od początku.
4142:  BFP - Nie miałem pewności, czy już skończyłeś, czy masz jakby ją skończoną.
4145:  GW - Tak, tak, już dawno przeczytałem ostatnią, tylko przypominałem fragmenty.
4148:  KMM - A podróż wędrowca do świtu też?
4151:  BFP - Właśnie, Patryk napisał, jezuici sprzedawali armaty i broń w Japonii, ale również otwierali szkoły i uczyli języków szarości.
4157:  BFP - Więc czy w książce, biorąc pod uwagę to, że znasz całość,
4162:  BFP - Jednoznacznie są tam prezentowani jezuici jako ci źli?
4165:  GW - Nie do końca.
4167:  GW - No właśnie tam ta książka jest bardzo brutalna i wciąż jest bardzo brutalna, bardzo wyrazista, jest dużo rzeczy do przesady zrobionych, ale faktycznie tam mało postaci jest takich czarno-białych.
4186:  KMM - Okej, no to tak jak z tym ojcem... No właśnie, ja myślę, że to też będzie taka furteczka do tego, żeby pokazać... Tak jak ten ojciec Alvito, nie?
4193:  BFP - Bo ten ojciec Alvito jednak, pan Rondel wydaje się taki oddany.
4196:  GW - Alvito brzmi jak jakaś po prostu linia zdrowej żywności z Biedronki, sorry.
4200:  BFP - Dobra.
4203:  BFP - Powiedzcie mi jeszcze panowie o waszych ulubionych scenach w tym serialu jak dotąd i waszych ulubionych postaciach poza Toranagą i poza... No dobra, Blackthorn to tylko mój ulubiony, ale Mariko na pewno wam się podoba.
4217:  BFP - Więc powiedzcie mi o waszych ulubionych scenach i o waszych ulubionych wątkach i o waszych ulubionych postaciach.
4222:  BFP - Michale.
4224:  ML - Wiesz co, nie wiem czy mam jakieś, żebym teraz wymienił, ulubione sceny, ale w sensie dużo mniejszych takich fajnych scenek było, gdzie tam sobie spiskują i ja uwielbiam ten taki a la Gra o Tron mówienie czegoś, co ma po drugie, trzecie znaczenie, że on nie ujawnia, że on tu oficjalnie i tak dalej.
4239:  ML - Tak naprawdę jesteśmy w trakcie zbierania na siebie haków wojny i tam za moimi plecami już moi coś przygotowują, a ja w ogóle mam trzy kroki do przodu.
4246:  ML - Ale oficjalnie to siedzimy, ja nic nie powierzałem, ja tutaj jestem gościem i tak dalej, także tego typu sceny wszystkie.
4251:  ML - Ale ten właśnie Człowiek Rondel, czy jak tam go nazwałeś, bardzo mi się podobała ta scena właśnie jak on był wprowadzony, gdzie Blackthorn wcześniej się nauczył, że tamten jezuita oczywiście go nie lubi i tłumaczy specjalnie źle, żeby na zasadzie pirat zabijcie go.
4266:  ML - A ten znowuż siada, tłumaczy dokładnie to, co on powiedział, zaskakująco.
4270:  ML - Fajnie tutaj też, która naga wykorzystuje tą Mariko, tak?
4273:  ML - Żeby mieć, no niby żeby się poduczyła, czy coś mówi, ale żeby mieć swojego tłumacza, żeby weryfikowała.
4279:  ML - Więc podobało mi się to, jak ci bohaterowie się odbijali i poznawali, i odbijali te swoje właśnie podejście, powiedzmy, do życia.
4288:  ML - No bo Blackthorn był pewien, że tutaj znowu go po prostu wkopią i jezuita go oszuka, a
4294:  ML - Okazało się, że nawet wśród wrogów mało się go jakoś tam tłumaczy, także mogę wymienić tę scenę.
4301:  KMM - Ja powiem coś, co nie powinno być zdumiewające dla starych wyjadaczy pośród widzów bez schematu, mianowicie jak powszechnie wśród nich przynajmniej wiadomo, ja uważam, że jeden element całej scenografii House of the Dragon za wybitny i wspaniały
4317:  KMM - Z tego względu, że jest tam mapa.
4318:  KMM - No i oczywiście ulubiona moja scena w Szogunie to będzie scena określenia mapy.
4322:  KMM - Ja wiem, że ona jest teatralna, wiem, że ona jest być może pompatyczna, a dla niektórych oczywista.
4328:  KMM - Ale równocześnie przepięknie jest pokazany właśnie ten podział świata między sferę wpływów hiszpańskich i portugalskich.
4335:  KMM - Jest to zrobione językiem dramy, performansu, językiem filmowym, wizualnym w większym stopniu, a mogłoby być to zrobione dialogiem ekspozycyjnym.
4343:  KMM - Nie oszukujmy się, bardzo wielu filmowców w tym momencie ucieka w dialogi ekspozycyjne, pozakadrowe jeszcze, więc z ofu jakiegoś narratora i to byłoby wtedy nieznośne i nudne, a tak została przygotowana.
4353:  KMM - przedstawiona scena, która teoretycznie nawet się mogła przydarzyć.
4356:  KMM - To jest jedna z takich scen historycznych, które mogły się przydarzyć, a jeśli nawet się nie przydarzyły, to nie ma żadnego znaczenia, ponieważ ona oddaje ducha epoki i bardzo dobrze maluje krajobraz geopolityczny tamtych czasów.
4368:  KMM - Fenomenalna sprawa i też to jest taki moment, kiedy faktycznie zadzierzga się pewnego rodzaju więź między Toranagą, a naszym bohaterem Blackfornem.
4378:  KMM - I równocześnie mamy powód, żeby wprowadzić postać Mariko, która będzie cały czas jego tłumaczką.
4383:  KMM - Więc znakomita sprawa.
4385:  KMM - To był taki moment, kiedy znakomity Hiroyuki Sanada zagrał, bo mu się wyostrzyła uwaga, jak usłyszczał o tych tajnych bazach, które można byłoby w jakiś sposób przechwycić i równocześnie o tym, że jego mały świat na małej wyspie nie jest tak...
4401:  KMM - Nie jest tak rozległy, jak można było on gdzieś przypuszczać, więc znakomicie zrealizowana sprawa, a po stronie humorystycznej to scena z ostatniego trzeciego sezonu Nauki Pływania.
4412:  KMM - Uwielbiam absolutnie, bo to jest jeden z przykładów takiego kontrastu kulturowego, społecznego i rozbijania hierarchii, a równocześnie uświadamiania, że ona jednak jest.
4423:  KMM - No, godny najlepszych tego typu narracji, bo zauważcie, że ta scena, w której cały czas Toronaga mówi jeszcze raz skacz do wody, jeszcze raz chce się nauczyć skoku do wody.
4433:  KMM - Przez obserwacje.
4434:  KMM - Tak, przez obserwacje następuje tuż po tym, jak on obdarowuje go gigantycznym zaszczytem.
4439:  KMM - Oczywiście Blackthorn nie wie, że to jest zaszczyt, dopiero Mariko mu tłumaczy, słuchaj, to jest olbrzymi zaszczyt, więc mamy taką ładną równowagę, symetrię roszczeń, że z jednej strony dostał wielki zaszczyt, ale z drugiej strony pokazano mu miejsce w hierarchii.
4451:  KMM - I to jest zrobione za pośrednictwem jednej metaforycznej sceny brzemiennej wznaczenia.
4455:  KMM - Uwielbiam tego rodzaju zabiegi.
4457:  KMM - To jest inteligentna reżyseria, inteligentne prowadzenie aktorów, dialogów.
4463:  KMM - Więcej takich scen tylko w kolejnych odcinkach i będę w pełni zachwycony.
4467:  KMM - A to mi się rzadko zdarza w sumie, jak sobie uświadamiam, przecież to nie jest fantastyka, a ja się zachwycam.
4471:  BFP - Czy ja dobrze rozumiem, że Krzysztof
4474:  BFP - Doszedł jak facet patykiem narysował na piasku kawałek Europy?
4477:  BFP - Tak, ponieważ to jest mapa.
4479:  BFP - Fun with maps.
4480:  KMM - Im więcej map będzie w naszej kulturze, tym lepiej.
4484:  BFP - Będziesz najszczęśliwszym człowiekiem na świecie.
4487:  KMM - Mam wszystkie atlasy, których potrzebuję.
4490:  KMM - Mam Atlas...
4491:  KMM - Nawet te, których nie potrzebuję.
4494:  KMM - I mam Atlas Śródziemia Karen Wynn-Fonstadt, który wyszedł swego drogo w wersji zaktualizowanej.
4499:  KMM - Stary Atlas Karen Wynn-Fonstadt jest nieaktualny, już te mapy zostały poprawione i są fenomenalne.
4504:  GW - A masz Globus Województwa Małopolskiego?
4510:  GW - Co?
4513:  GW - Nie masz, no to widzisz.
4515:  GW - To znaczy, że nie masz wszystkich.
4516:  BFP - W sensie, czy to jest taki cały czarny globus, cały czarny i masz taką maleńką białą plamkę na tym globusie i to jest województwo małopolskie?
4524:  S00 - O to chodzi?
4526:  KMM - I taki duży napis tu, ze strzałką, który pokazuje, że właśnie tu... Ale jest globus świata Warhammera fantasy, który przygotowuje kartograf niepraktyczny i on ma w którymś momencie powstać i ten globus będę mieć.
4539:  BFP - Grzegorzu, twoje ulubione postaci, wątki, sceny?
4543:  GW - No to tak, na pewno chemia dyskusyjna pomiędzy Blackthorne'em, a ty, jak to już określiłeś, Dadim Rodriguez'em.
4551:  GW - Poza tym i całe, wszystkie sceny, które składają się na budowanie wzajemnego szacunku do dwóch różnych kultur.
4559:  GW - To mi się bardzo podoba, bo to jest budowane jakby niełatwo, dużym wysiłkiem, ale właśnie to pokazuje, że budowanie wzajemnego szacunku to nie jest
4570:  GW - wartość dana, tylko to jest wartość, która jest budowana i to często dużym poświęceniem.
4577:  GW - Także wszystko, co się na to buduje, zdecydowanie to jest jednocześnie moje ulubione sceny, ale to jest jednocześnie jedna z głównych osi tej historii, jakby w książce to jest właśnie
4592:  GW - To adaptowanie się do innej kultury to jest jeden z takich dużych wątków przez całe dzieło i tutaj wydaje mi się, że to też będzie jeden z tych wątków serialowych, dlatego wszystko co się na to składa jest moimi ulubionymi scenami.
4608:  BFP - Ja, żeby trochę się od Was odróżnić, powiem, że bardzo... Gotowanie żywcem... Nie.
4615:  GW - Nieczowanie po prostu... Sceny z sepuku.
4619:  GW - Pamiętacie, jak było małe dziecko i trzeba było... Bardzo mu się podobają sceny akcji.
4624:  ML - No, chciałem tylko powiedzieć.
4625:  GW - Ale też, też, też, też.
4628:  BFP - No tak, tak, dobrze Filipku, bardzo dobrze, to świetnie.
4632:  KMM - Nie, bo ja cię rozumiem, ja też chciałem, żeby Anakin w świątyni Jedi, jak już powiedział A, to powiedział też B, no ja na to czekałem.
4640:  BFP - Chciałem tylko powiedzieć, że podobała mi się scena, jak skrytobójczyni, ja już to mówię trzeci raz dzisiaj chyba w sumie, że skrytobójczyni jak zabija, to mi się podoba.
4654:  BFP - I to by było w sumie tyle.
