Debata online: Średnia ważona — czy na jej podstawie można i należy ustalać oceny klasyfikacyjne?
🔗 https://www.youtube.com/watch?v=X-YBvc93g2s
GO (Gabriela Olszowska)
AKJ (Agnieszka Krokos-Janczyło)
KMM (Krzysztof M. Maj)
DS (Daniel Sjargi, Stowarzyszenie Umarłych Statutów)
JS (Jolanta Skrzypczyńska)

202:  S03 - Bardzo proszę.
4616:  KMM - I sama idea tego, że jeżeli masz błąd, to masz go poprawić, a nie masz informację zwrotną, że coś zostało zrobione źle i musisz to nadrobić i następnym razem będzie super, jeżeli to dasz radę, ale wtedy też nie będzie idealniej 5-100%.
4630:  KMM - ponieważ to jest następny krok i musisz zrobić więcej i więcej i więcej i więcej, bo proces uczenia się jest nieskończony i zawsze możemy zrobić coś lepiej i więcej.
4638:  KMM - Ja mam taki test na swoich studentach, że daję im mój artykuł naukowy poprawiony przez redaktora i oni widzą dwa tysiące poprawek.
4646:  KMM - Oni są przerażeni, ja mówię im nie bądźcie przerażeni, to znaczy, że ja po tylu latach pracy wciąż nie piszę idealnego artykułu, więc wy też nie napiszecie, więc się uspokójmy wszyscy i patrzmy na błędy jako krok do osiągnięcia sukcesu.
4660:  S05 - I w temacie tym również Agnieszka Prokos ją czuła.
4663:  AKJ - Ja się zgodzę z panem Krzysztofem.
4665:  AKJ - Oczywiście to, co powiedział, to wszystko jest niezwykle ważne.
4668:  AKJ - Ten proces, o którym mówimy.
4670:  AKJ - Natomiast proszę pamiętać, tak mi się wydaje, jeżeli mówimy, że zła ocena z jakiegoś zagadnienia, z działu, nie wiem z czego jeszcze, jest informacją, z czym sobie dziecko nie poradziło, no to oczywistym jest, że jeżeli nie osiągnie pewnej wiedzy na pewnym poziomie, to zdobywanie kolejnych wiadomości może być trudniejsze.
4693:  AKJ - Tak jest w przypadku matematyki, tak jest w przypadku fizyki, chemii, języka polskiego, każdego przedmiotu.
4699:  AKJ - Trzeba znać podstawy i te podstawy później rozwijać.
4702:  AKJ - I wydaje mi się, że tutaj jest to logiczne, że jeżeli to nie jest ocena dla oceny, ocena dla oceny nic nie mówi.
4708:  AKJ - To jest informacja zwrotna, która mówi, z czym sobie jeszcze nie radzisz.
4711:  AKJ - co powinieneś poprawić, bo oczywiście nie musisz.
4714:  AKJ - Poprawa jest dobrowolna.
4716:  AKJ - Natomiast wydaje mi się, że chyba powinniśmy patrzeć w tym kierunku, bo jeżeli będziemy patrzeć, że ocena dla oceny, to oczywiście, ja też uważam, że to nie do końca ma sens.
4725:  AKJ - Natomiast ta informacja, która pojawia się, zobacz, co jeszcze nie zrobiłeś, albo z czym masz trudność, albo jakie masz niedociągnięcia i nawet jeżeli ona jest wymierną w postaci oceny, no to oczywiście to jest
4738:  AKJ - sygnał, że trzeba to doprecyzować, dopracować, bo później się robią tak zwane, mówiąc językiem potocznym, nauczycielskim zaległości, a później trzeba robić koła.
4749:  AKJ - I tak cały czas się napędzamy, więc ja bym tylko chciała sprostować, jakby odnieść się do tego, że oczywiście ocena nie dla oceny, tylko jako ocena, jako informacja z czymś, trudność, proces, co poprawić, żeby pójść dalej, żeby było jeszcze lepiej.
4762:  AKJ - Dziękuję bardzo.
4764:  GO - Pani kurator, ja bardzo pani dziękuję za te słowa.
4768:  GO - To są absolutnie istotne rzeczy, ale proszę zwrócić uwagę, że część z nas, mówię o nauczycielach oczywiście, myśli sobie tak, proces, jesteśmy w procesie, ma nadrobić zaległości, ale jednak jak zrobi klasówkę, to to jest ważniejsze niż na przykład mój plakat z lalki, gdzie pokazany jest świat przedstawiony Warszawa.
4793:  GO - Proszę zobaczyć, że my i jeżeli jest ważniejsze, to ja zaburzam pewną wartość.
4800:  GO - Plakat jest nieprawdopodobnie ważny.
4802:  GO - Jak mi chłopaki zrobią we czwórkę, w dodatku będą gadać między sobą, czyli uruchomią dodatkowy kanał i narysują mi, w jakim rzesz to kierunku, w jakich to kierunkach ów Wokulski ganiał w te i we wte.
4817:  GO - Także
4819:  GO - Jeszcze raz mówię, musimy troszkę przynajmniej odczarować wagę świętych testów i tak dalej.
4827:  GO - Testów, sprawdzianów na rzecz też bardzo ciekawych innych form pracy.
4834:  GO - ale jestem za tym, co pani powiedziała i bezwzględnie się podpisuje, nie ma zgody na prace niesamodzielne podtykane nauczycielom.
4845:  GO - Chociaż moja mama mi przyszyła guzik i pani od ZPT dała, dostałam piątkę, ale pani od ZPT...
4852:  GO - Pety się świetnie zachowała, pyta się Gabrysia, kto ci ten guzik tak ładnie przyszedł?
4856:  GO - Przyszedł mamusia, to mamusia ma pięć i ty też masz pięć, za prawdą mówiąc.
4861:  GO - To jest żart oczywiście, ale zgadzam się z panią, troszeczkę spróbujmy nie demonizować tychże form takich no...
4870:  GO - no świętych, tak, przypominających troszeczkę egzamin.
4874:  GO - Jasne, że trzeba trenować formy związane z egzaminem, bo przetrenowanie formy pomaga dzieciakowi wdrożyć się, czy nawet temu osiemnastolatkowi, wdrożyć się w pewne procedury.
4887:  GO - Ale spróbujmy.
4889:  GO - Inne, mamy bogactwo.
4892:  GO - Przepraszam.
4892:  DS - Bardzo proszę, bardzo proszę jeszcze panią Agnieszkę Krokosynczuk.
4896:  AKJ - Tak, ja się zgodzę.
4897:  AKJ - Oczywiście, to jest to, o czym Pani mówi, te wszechstronne możliwości, jakie mamy, z których powinniśmy korzystać, ale cieszę się, że tak jak wspomniałam, znalazłyśmy jakiś wspólny mianownik, że jednak dążymy do tego, żeby dziecko poradziło sobie ze sprawdzianem, takim jak matura,
4914:  AKJ - egzamin ósmej klasy.
4915:  AKJ - Ja bym chciała jeszcze podkreślić, może to nie jest demonizowanie tego sprawdzianu, czy klasówki, czy odpowiedzi, natomiast ważne są, tak, niezwykle ważne są te dodatkowe rzeczy, które dziecko wykonuje, ponieważ to też kształci umiejętności, tak,
4930:  AKJ - I też w pewnym sensie wiedzę, bo dziecko, które robi plakat, musi mieć pewną wiedzę, żeby ją przenieść później na ten plakat.
4936:  AKJ - Więc oczywiście ja też jestem jak najbardziej za tym, że dziecko, które wykonuje w grupie, jest tak zwana praca w grupach, wykonuje ten plakat, komunikuje się, wymieniają się swoimi poglądami, wchodzą w pewien dialog, to też jest kolejna umiejętność niezwykle ważna.
4953:  AKJ - Natomiast tak jak powiedziałam, te formy, o których mówiłam wcześniej, w pewien sposób porządkują.
4958:  AKJ - I tylko temu służą.
4960:  AKJ - Nie chciałabym, żeby to było na zasadzie takiej, że naprawdę demonizujemy, natomiast ta wiedza, taka merytoryczność pewnych kwestii związana z nauką jest nieodzowna.
4970:  AKJ - Bo jeszcze, co chcę podkreślić, czym innym jest wiedza, czym innym są umiejętności.
4975:  AKJ - Wiedza, jak napisać rozprawkę z polskiego, co powinna zabierać, jakie słownictwo, to jest wiedza, a już sztuką prawdziwą,
4982:  AKJ - Jest napisanie tej rozprawki, przykładowo, tak jak mamy często na różnych egzaminach i to już jest pewna umiejętność.
4989:  AKJ - I żeby zrobić jedno i pogodzić to, potrzebne są różne działania w procesie edukacyjnym.
4994:  AKJ - Bardzo dziękuję.
4996:  DS - I tutaj o głos ponownie poprosiła Pani dr Gabriela Olszowska.
5001:  GO - Ja poprosiłam o głos, a to jest dla mnie ciekawostka, ale skoro pan zauważył, że poprosiłam, no to też znowu uzupełnię, bo my się widzę, że z panią kurator Krokos uzupełniamy troszkę, tak?
5014:  GO - Widzą państwo?
5017:  GO - I polaryzujemy.
5018:  GO - Proszę zobaczyć.
5020:  GO - że ja, bo przyznam, znaczy no nie proszę zobaczyć, że ja, ale ja kiedy kończyłam studia, była to końcówka lat 80., uczona byłam, że treścią nauczania jest pojedyncza wiadomość.
5033:  GO - I pani kurator świetnie podkreśliła jedną rzecz, to się zmieniło.
5038:  GO - Zaczął to Bloom gdzieś w latach 50. i cała kupa bardzo mądrych psychologów i w ogóle teoretyków i badaczy uczenia się,
5048:  GO - że teraz niewątpliwie wiemy, że owa wiedza z umiejętnością musi być powiązana.
5056:  GO - Czasem dominuje bardziej wiedza, ale nigdy samodzielnie.
5061:  GO - Dobrze napisane wymaganie edukacyjne zawiera bowiem osobę, nazywa osobę, która się uczy.
5069:  GO - Dla nas będzie to uczeń, dla pana doktora Maja będzie to student.
5074:  GO - Potem będziemy...
5079:  GO - umiejętność, będziemy to widzieć, Haki mówił, widzialne uczenie się dla nauczyciela w powiązaniu zawsze z umiejętnością.
5087:  GO - Więc jak ta przysłowiowa, już przysłowiowa przez panią kurator przywołana rozprawka wygląda tak, uczeń pisze rozprawkę, ale żeby napisał tę rozprawkę, on musi mieć zespół umiejętności bardzo złożonych i oczywiście całą porcję wiedzy.
5106:  GO - Nigdy proszę nie pisać osobno, wyliczać na przykład lewe dopływy, prawych dopływów, lewych dopływów.
5115:  GO - To jest przykład autentyczny, zauważony kiedyś przez moją koleżankę, tylko zawsze to będzie, że uczeń wymienia dopływy i oczywiście proszę uważać, bo mają być wymagania niezbędne.
5128:  GO - to nas tu powinno troszeczkę trzymać.
5131:  GO - Także bardzo pani dziękuję za ten przykład.
5134:  GO - Jest mi on bardzo bliski, bo polonistyczny.
5137:  GO - I nowa definicja treści kształcenia jest taka, że treścią kształcenia jest wiadomość w powiązaniu z umiejętnością.
5147:  GO - I tak mamy zapisane w artykule 44b.
5151:  GO - To jest naprawdę bardzo ciekawe, to jest bardzo nowoczesne, chociaż wolałabym, żeby się jeszcze raz po 25 latach naukowcy, specjaliści od diagnostyki edukacyjnej, przypatrzyli tej definicji, czy po 25 latach by coś tam nie odświeżono, ale to tak delikatnie podpowiadam.
5171:  GO - Dziękuję serdecznie.
5175:  DS - Na naszych czatach, czyli w komentarzach pod transmisjami na Facebooku i na YouTubie pojawiło się dużo pytań o charakterze statutowych, do których za chwilę przejdę i będę prosił o pierwszej kolejności wypowiedź panią Jolantę Sprzyczyńską.
5189:  DS - Ja jeszcze chciałbym zachęcić państwa obserwujących do tego, żeby zadawać pytania do konkretnych osób, bo będziemy mieli jeszcze krótką przestrzeń do tego, żeby te pytania tutaj wybrzmiały i zachęcam, żeby one się pojawiły w komentarzach.
5205:  DS - Natomiast tutaj pytanie do Pani Jolanty Skrzypczyńskiej.
5209:  DS - Pytanie zadaję generalnie do ogólnie, jeżeli ktoś jeszcze z Państwa będzie chciał się wypowiedzieć, to również zapraszam.
5215:  DS - Małgorzata Jarosz na YouTubie.
5218:  DS - A co myślicie na temat określonej w statucie liczby ocen, które ma nauczyciel wystawić?
5224:  DS - Czyli ile minimalnie i maksymalnie w półroczu?
5228:  S05 - Bardzo proszę.
5229:  S05 - Dziękuję bardzo.
5237:  GO - Nie słyszymy Jolu, Joluś nie słyszymy.
5243:  GO - Halo, nie słyszymy kochanie.
5263:  GO - Ten niedobry Mark Zuckerberg, oj niedobry.
5267:  DS - w związku z tymi problemami technicznymi.
5269:  DS - Bardzo bym prosił o wypowiedź panią Agnieszkę Krokostę-Janczył.
5274:  AKJ - Powiem tak, jeśli weźmiemy tygodniowy rozkład zajęć w szkole, no to widzimy, że przewidziany jest przykładowo język polski w szkole podstawowej 5 godzin w tygodniu, matematyki 4 godziny w tygodniu,
5292:  AKJ - Jeśli chodzi o ilość ocen, ona jest zasadna, ponieważ jakby tworzy możliwość wypośrodkowania pewnych rzeczy.
5301:  AKJ - No bo teraz, proszę Państwa, jeżeli będzie tak, że plastyka jest raz w tygodniu, no i uczeń nie zdobył oceny i teraz tak, plastyka wypada w piątki, a teraz następny piątek to jest 1 listopada, później pojawia się jakieś święto niepodległości, nie wiem, tak abstrahuję, później jest jeszcze...
5320:  AKJ - jak można wystawić z jednej oceny.
5323:  AKJ - Więc tutaj to jest też taka dyscyplina poniekąd, żeby dbać o to, żeby ilość ocen dawała jakąś wymierną, żeby to nie była tylko jedna ocena.
5333:  AKJ - Natomiast łatwiej jest zupełnie z języka polskiego i z tych przedmiotów,
5340:  AKJ - Taka ilość ocen, ile razy tak przyjętą średnio, może tutaj w różnych statutach pewnie jest różnie.
5348:  AKJ - Natomiast generalnie ilość godzin w tygodniu nie mniej niż 3 oceny.
5352:  AKJ - Jeżeli jest na przykład język polski 5 razy w tygodniu, 5 ocen plus 1, no to normuje jakoś wypośrodkowanie pewnych rzeczy.
5360:  AKJ - Żeby to nie było jedna praca i od razu ocena.
5363:  AKJ - Albo to, o czym wcześniej rozmawialiśmy też, jakieś widzimisię, ocena pojawiała się znikąd.
5368:  AKJ - czy pojawiła się znikąd.
5370:  AKJ - Poza tym, proszę Państwa, musimy też pamiętać o jednej bardzo ważnej rzeczy.
5374:  AKJ - Ocenianie musi być systematyczne, wtedy jest ono adekwatne i miarodajne.
5380:  AKJ - Więc ilość ocen, która się pojawia, wynika też z pewnej systematyczności.
5385:  AKJ - Więc tutaj poniekąd ja zawsze skupiam się na tym, żeby było nie mniej niż.
5391:  AKJ - Jestem zwolenniczką takiej zasady,
5394:  AKJ - przykładowo plastyka raz w tygodniu, muzyka też raz w tygodniu, nie mniej niż trzy oceny, bo to daje jakąś taką, można to w pewien sposób wypośrodkować.
5406:  AKJ - Tak na to po prostu patrzę, dziękuję.
5410:  GO - Czy ja mogę?
5413:  GO - Ja należę akurat do tej grupy byłych dyrektorów już, ale osób zajmujących się ocenianiem, że jestem absolutnie przeciwnikiem normowania jakiejkolwiek liczby stopni szkolnych w statucie.
5433:  GO - Po pierwsze naruszona jest autonomia nauczyciela z artykułu 12 ustawa karta nauczyciela, że nauczyciel dobiera metody takie jak uważa za słuszne pod warunkiem, że są dopuszczone stanem aktualnym nauk pedagogicznych.
5453:  GO - To jest jakby jedna rzecz.
5454:  GO - Druga rzecz,
5455:  GO - My mamy bardzo różne wymagania edukacyjne i nauczyciel ma myśleć wymaganiami edukacyjnymi.
5463:  GO - I jakie ma wymagania, takie powinien sprawdzać.
5466:  GO - Teraz będziemy się spotykać z panią kurator Krokos, bo dojdziemy do tego...
5474:  GO - Tylko inaczej.
5476:  GO - A mianowicie, nie może być tak, żeby nauczyciel miał jedną lub dwie tak zwane oceny, myślę tutaj o stopniach, ponieważ nie zachowa oceniania bieżącego.
5490:  GO - Bieżącego, czyli takiego, które towarzyszy, proszę Państwa, uczeniu się.
5496:  GO - Ocenianie bieżące ma być w związku z uczeniem się.
5502:  GO - Te perturbacje, o których pani kurator przede mną mówiła, że przepadają notorycznie lekcje czwartek, piątek, to są rzeczywiście najsłabsze dnie tygodnia w związku z układem różnych świąt, to wiedzą dyrektorzy, że to tak jest.
5523:  GO - Żeby temu zapobiec, trzeba mieć w głowie włączone.
5527:  GO - No ale niestety czynnik ludzki jest taki, że mamy kolegów, czy też czasem koleżanki, nauczyciel, żeby nie było, że ja na mężczyzn napadam, że patrzymy, jest październik, a tam pusto.
5542:  GO - patrzymy listopad a tam nic nie ma w związku z tym są szkoły które się decydują na taki no miecz właściwie Damoklesa niemniej powinni nauczyciele reagować na nadzór dyrektora szkoły który pisze pamiętaj że
5563:  GO - Masz oceniać w sposób bieżący w związku z uczeniem się.
5568:  GO - No i ja myślę, i to będę bardzo popularyzować, jeżeli chodzi o Małopolskę, że ocenianie powinno być jednym z elementów oceny pracy nauczyciela.
5581:  GO - Jest to tak, jak pani kurator powiedziała, niesłychanie ważny, ważki, istotny obszar działalności nauczyciela, wręcz kluczowy.
5593:  GO - Nie może być tak, że jest pusta rubryka albo jedna, już zamyka myśl.
5599:  GO - Jeżeli jest jedna, dwie, a nawet trzy stopnie, proszę państwa, czy widać proces, a ocenianie jest procesem.
5606:  GO - Czyli myśmy się tu spotkały, tylko inaczej do tego doszłyśmy.
5611:  DS - Jeszcze krótka odpowiedź, Pani Krokus Janczyło.
5614:  AKJ - Ja bym tylko chciała dodać, chciałabym przede wszystkim dodać, że wszystkie kwestie związane z ilością ocen, z tym ocenianiem z poszczególnych przedmiotów normuje statut szkoły.
5627:  AKJ - Tutaj myślę bliski temat.
5630:  AKJ - No i tam są wpisane, jak powinno być to nie mniej niż, czy więcej, czy ilość.
5636:  AKJ - Wewnętrzny dokument każdej szkoły, żeby nie była dobrowolność, że nauczyciel będzie wystawiał, czy oceniał wtedy, kiedy chce.
5643:  AKJ - Tylko tak jak tutaj też pani Gabriela Olszowska mówi, na bieżąco ocenią ucznia, natomiast trzymał się pewnej reguły w myśl tego, żeby przestrzegać litery prawa, a to jest też niezwykle ważne,
5658:  DS - Dziękuję.
5659:  DS - Dziękuję serdecznie.
5660:  DS - Przejdźmy do kolejnych komentarzy.
5662:  DS - Pani Ilona Lewandowska na Facebooku.
5665:  DS - Problem polega na tym, że studentów nikt nie przygotowuje do bycia nauczycielem.
5669:  DS - Mamy teoretyczne uczelnie, które w znikomym lub w żaden sposób nie wyposażają studentów w umiejętności metodyczne, w tym umiejętność oceniania.
5678:  DS - Również mogę przytoczyć od razu komentarz pani Agnieszki Najman,
5683:  DS - gdzie nauczyciel może się nauczyć pracy z wymaganiami edukacyjnymi.
5687:  DS - I bardzo proszę tutaj o zabranie głosu Pana Krzysztofa Maja oraz później inne chętności.
5692:  KMM - Mogę polecić od razu, jeżeli chodzi o źródła budującą się szkołę i tamtejsze edukatorium.
5698:  KMM - Są tam zebrane książki, liczne książki.
5702:  KMM - z których się można tego uczyć.
5704:  KMM - Oczywiście są też kursy różnego autoramentu.
5706:  KMM - Mnie dużo nauczyły kursy tutoringów kolegium w Ratis-Lawienzy, więc ścieżką tutoringu też polecam podążać.
5712:  KMM - Natomiast ad vocem jeszcze chciałbym dopowiedzieć jedną, wydaje mi się kluczową rzecz.
5717:  KMM - to znaczy fakt, że właśnie nie uczymy tego oceniania na studiach, jest kluczowy.
5722:  KMM - To znaczy pierwsza ocena, którą ja wystawiłem w życiu, oczywiście, że była oceną cyfrową, ponieważ zostałem tak nauczony jako student.
5729:  KMM - Natomiast jeżeli ktokolwiek myśli, że miałem jedne
5733:  KMM - jedne zajęcia, to było na UJ, jedne z tego, w jaki sposób wystawić ocenę, to myliłby się.
5740:  KMM - Ja miałem owszem zajęcia z tego, w jaką rubryczce należy je postawić, bo to jest kluczowe, jak Jacques Derrida kiedyś pięknie powiedział, że problem naszego społeczeństwa jest terror rubryczek.
5749:  KMM - Nieważne, czy mówimy o kapitalizmie, czy mówimy o szkolnictwie.
5752:  KMM - I ja zawsze lubię robić taki reality check.
5756:  KMM - Ja wiem, że możemy w bardzo szumnych słowach pięknie mówić o procesach nauczania,
5760:  KMM - Ale jak zejdziemy rzeczywiście do praxis, to w praxis jest tak, że uczeń mówi, że jest zagrożony.
5767:  KMM - Co to znaczy do ciężkiej cholery, że ktoś jest zagrożony?
5771:  KMM - Usłyszałem coś strasznego w tle.
5774:  KMM - To jest, swoją drogą i nomen omen, straszne, że ktoś może pomyśleć w ten sposób i używać normalnie takiego języka.
5782:  KMM - Zagrożenie oczywiście oznacza brak kwalifikacji, brak klasyfikacji, ocenę niedostateczną.
5787:  KMM - W ogóle to nie powinno to znaczyć.
5789:  KMM - Wszyscy, którzy mówią o metodzie zielonego długopisu i mówią o tym, że wystarczy sformułowanie zdałeś, nie trzeba mówić nie zdałeś, da, bo jeżeli zdałeś, to znaczy, że zdałeś, jak nie zdałeś, to znaczy, że nie zdałeś.
5799:  KMM - Proste, więc wystarczy jeden czasownik, zdałeś, kropka.
5803:  KMM - Wystarczy.
5804:  KMM - Albo to słynne jeszcze nie.
5807:  KMM - Natomiast tworzenie atmosfery, w której nie dość, że poprawiamy te oceny, bo tutaj też się trochę nie zgodzę, że to łącznie po stronie uczniów nie byłoby lekcji pod tym poprawa sprawdzianu inaczej, to jest jedna rzecz, ale zagrożenie to jest dla mnie o wiele bardziej problematyczne, żeby ludzie tak o sobie myślały.
5825:  DS - I przechodzimy do kolejnych pytań, tym razem z YouTube'a.
5830:  DS - Pytanie do wszystkich gości.
5831:  DS - Szkoła ma pozwalać na kształtowanie poglądów.
5833:  DS - Jak ma to robić, jeśli dobra ocena zależy często od tego, czy to, co się powie, spodoba się nauczycielowi?
5840:  DS - Nie wiem, czy słyszymy się już ponownie z panią Jolantą Skrzypczyńską?
5846:  JS - Słyszycie mnie?
5847:  DS - Doskonale.
5848:  DS - Bardzo proszę panią kurator o udzielenie odpowiedzi.
5851:  JS - Jeszcze raz musi pan powtórzyć.
5853:  JS - Bardzo proszę.
5854:  DS - Powtórzę zatem komentarz.
5856:  DS - Pytanie do wszystkich gości.
5857:  DS - Szkoła ma pozwalać na kształtowanie poglądów.
5860:  DS - Jak ma to robić, jeśli dobra ocena zależy często od tego, czy to, co się powie, podoba się nauczycielowi?
5868:  JS - Nie, no myślę, że to chyba tak nie jest, że ta dobra ocena zależy od tego, co się podoba nauczycielowi.
5873:  JS - Ja sobie w swojej szkole tego nie wyobrażam i nigdy tak nie było.
5878:  JS - Może tak oczywiście ktoś subiektywnie odbierać, ale wręcz uważam, że każdy ma mieć swój pogląd, umieć go bronić i
5887:  JS - I móc wypowiedzieć, a po to jesteśmy nauczycielami, żeby właśnie wspierać naszych uczniów w kształtowaniu ich poglądów.
5895:  JS - One nie muszą się z naszymi zgadzać, ale uważam, że nie wolno nikomu zabronić mówić tego, co myśli.
5904:  JS - Jeżeli nie krzywdzi oczywiście drugiego człowieka, no ale to jest jakby też nasza rola jako nauczycieli, żeby pozwalać, bo gdzie ma się nauczyć tego, jak nie w szkole, przy mądrych nauczycielach.
5921:  S05 - Dziękuję.
5921:  DS - Dziękuję serdecznie.
5924:  DS - Przechodzimy zatem do kolejnego pytania.
5927:  DS - Również do wszystkich uczestników debaty zapraszam osoby zainteresowane do udzielenia odpowiedzi.
5932:  DS - Co ma zrobić uczeń w sytuacji, gdy nauczyciel przy ocenach cyfrowych 5, 4, 5, 1 wystawia zagrożenie z przedmiotu?
5941:  DS - Jest to sytuacja dosyć częsta, występuje wśród wielu uczniów.
5947:  DS - Bardzo proszę o zabezpieczenie.
5952:  GO - To może ja odpowiem.
5954:  GO - Po pierwsze słyszeliście Państwo, że bardzo ciekawy komentarz, za co dziękuję, o zagrożeniu.
5962:  GO - Nigdy tak nie pomyślałam, bo nie posługuję się tym terminem, ale rzeczywiście funkcjonuje w statutach zagrożenie jedynką, czy w komunikatach i tak dalej.
5973:  GO - Dziękuję, bo to jest dla mnie istotna refleksja.
5975:  GO - Przede wszystkim, proszę państwa, należy się zwrócić o wyjaśnienie o motywację.
5981:  GO - I motywacja oceny jest tylko wtedy skuteczna, tak jest u nas w Małopolsce od lat, jeżeli się nauczyciel odnosi do wymagań edukacyjnych.
5992:  GO - On ma powiedzieć, jakie realizował wymagania edukacyjne, które wypełnił uczeń i w jakim stopniu.
6000:  GO - Te stopnie, cyfry to jest jedna rzecz, natomiast argumentacja musi zawsze pójść wymaganiami edukacyjnymi.
6011:  GO - I powiem tak, może się zdarzyć, że jakiś wymagań edukacyjnych uczeń ze względu na swoje nieobecności nie wypełnił.
6023:  GO - I może się zdarzyć, że ze względu na nieobecności go nie było.
6029:  GO - Ale to już jest jakby też bardzo specyficzna rzecz, którą trzeba po prostu wspólnie na razie przedyskutować, bo ja zwracam uwagę na sytuację taką, gdzie uczeń ma więcej niż 50% nieobecności, nie zrealizował bardzo wielu wymagań edukacyjnych, a ma na przykład dwie piątki.
6052:  GO - No i teraz jest podstawa, czy nie jest podstawa do ustalenia oceny.
6057:  GO - To jest taki przepiękny przykład, że dwa wymagania wypełnił, siedmiu wymagań edukacyjnych nie wypełnił.
6067:  GO - No i proszę Państwa, co teraz?
6072:  GO - Nauczyciele dla świętego spokoju klasyfikują takiego ucznia.
6077:  GO - Równie dobrze można sklasyfikować na dopuszczające, ale to jest zupełnie jeszcze inna sprawa.
6083:  GO - Jak ktoś umie myśleć wymaganiami edukacyjnymi, to się wybrał.
6089:  DS - Dziękuję serdecznie i bardzo proszę jeszcze o krótki komentarz Panią Krokos-Niemczyk.
6095:  AKJ - Myślę, że chodzi przede wszystkim, tak jak tutaj pani Gabriela Olszowska powiedziała, o ten fakt, kiedy albo ucznia dosyć często nie ma w szkole i nauczyciel wie, co jeszcze czeka, czyli czeka czy sprawdzian, czy kartkówka, co jeszcze ma, jakie formy, o których mówiłam, zaplanowane, co uczeń powinien jeszcze...
6115:  AKJ - jakby w stosunku nie do konkretnego ucznia, ale generalnie do klasy, jakie ma przewidziane zadania tej klasie.
6121:  AKJ - I jeżeli tutaj, ja się przychylę oczywiście do przedmówczyni, że jeżeli widać, że dziecko nie, my potocznie mówimy, nie opanowało pewnych treści, albo ma zaległości, albo, no najgorszą rzeczą, proszę Państwa, w szkolnictwie jest jedna rzecz, nie nauczymy ucznia nieobecnego.
6136:  AKJ - A wystawić ocenę musimy.
6138:  AKJ - Jakby zakończyć semestr oceną, bo tak też mówi prawo oświatowe.
6144:  AKJ - Więc stąd może być domniemanie, że ten uczeń nie przyjdzie, tylko tak nie zaliczy, więc tutaj też to wszystko normują statuty szkoły, jak wygląda to z punktu widzenia prawnego.
6155:  AKJ - Natomiast, proszę Państwa, prawdą jest, że
6160:  AKJ - Dziecko też jest świadome, ponieważ jest informowane tak bardzo często na początku roku szkolnego, jakie oczekiwania przede wszystkim będą.
6169:  AKJ - I tak jak rodzice przychodzą i mówią, że dziecko ma dwie piątki i ma nagle zaproponowane albo nieklasyfikowanie, albo w ogóle jakąś ocenę,
6176:  AKJ - dużo, dużo, dużo niższą.
6178:  AKJ - Wynika to z tego, że nauczyciel w tym całym procesie przewiduje już pewne rzeczy i asekuruje się, żeby w jakiś sposób, może nie asekuruje się, ale chce, żeby to było sprawiedliwe.
6192:  AKJ - Tak mi się wydaje.
6194:  DS - Dziękuję serdecznie za tę wypowiedź.
6196:  DS - Będziemy powoli zmierzani do końca dzisiejszego spotkania.
6200:  DS - Ja chciałbym przytoczyć krótki komentarz z naszej grupy na Facebooku Umarłe Statuty o Prawach Ucznia, gdzie prawie 60 tysięcy użytkowników dyskutuje o prawie oświatowym i właśnie prawach uczniowskich.
6212:  DS - I tam Pani Joanna Czajkowska w takim wątku rozpoczętym w związku z dzisiejszą debatą, do którego również Państwa bardzo serdecznie wszystkich zapraszam, można tam komentować, wymieniać się poglądami.
6224:  DS - Napisała coś takiego.
6226:  DS - Znam szkołę, która wybrnęła z tego w dość ciekawy sposób.
6230:  DS - W statucie określono, że nauczyciel nie może wystawić niższej oceny, niż wychodzi uczniowi ze średniej.
6236:  DS - Za to w drugą stronę, czyli jeśli nauczyciel ocenia, że uczniowi należy się wyższa nota niż wylicza dziennik, to po prostu ją wstawia.
6245:  DS - Nie ma górnego limitu, może to sposób, żeby pogodzić obie strony.
6250:  DS - Czyli co Państwo myślą na temat możliwości
6254:  DS - żeby średnia ważona była pewnym bezpiecznikiem, umożliwiała uzyskanie pewnej minimalnej oceny.
6260:  DS - Natomiast jeżeli zdaniem nauczyciela uczeń zasługuje na wyższą ocenę klasyfikacyjną, to wtedy taka jest mu ustalana.
6269:  DS - Bardzo proszę tutaj dr Gabriela Olszowską, a potem ewentualnie innych chętnych.
6274:  GO - No to panie Danielu, ja zacznę od tego, że uczeń na nic nie zasługuje.
6280:  GO - On nie musi na nic zasługiwać.
6282:  GO - I to jest jakby istota tego, uczeń na nic nie zasługują, się uczy, tak jak umie się uczyć, a przede wszystkim, proszę Państwa, czy myśmy go nauczyli się uczyć.
6293:  GO - Oczywiście to gadanie o uczeniu się nie jest tym pitchingiem angielskim, ja tu będę ci tak gadał, ucz się Franek, bo twój tata to się uczył.
6303:  GO - Nie, to nie o to chodzi.
6304:  GO - Czy konkretnie określone techniki, metody pracy,
6309:  GO - zostały uczniowi zaproponowane, jak przejść przez to, przez tamto, czy przez siamto, albo co ty też znajdziesz.
6315:  GO - Więc proszę państwa, na nic uczeń nie musi zasługiwać.
6319:  GO - Ja jestem przeciwna średnim i jeszcze raz przypominam, że definicja, czyli tak zwana definicja legalna, prawna, wpisana w artykuł 44 pokazuje proces.
