MOBBING TO SMUTNY STANDARD? *Krzysztof M.Maj*
🔗 https://www.youtube.com/watch?v=ZYhuh4pJjvA
KMM (Krzysztof M. Maj)
MM (Mateusz Macierakowski, BEZ ŻARTÓW)

4:  MM - Bez żartów.
2909:  KMM - Ludziom się tłumaczyło wcześniej, że można pozwać za nagranie takiej sytuacji.
2913:  KMM - Tylko, że trzeba wiedzieć, jak funkcjonują rozprawy sądowe.
2916:  KMM - To znaczy, żeby, jeżeli by nawet ktoś pozwał za to, że ktoś go nagrał, jak popełniam wykroczenie,
2923:  KMM - to musiałby przyznać, że on to popełnił, to wykroczenie, które jest na nagraniu, w związku z czym przyznałby się do wykroczenia lub przestępstwa.
2929:  KMM - Więc nigdy nie pozwie o coś takiego, ponieważ mober zawsze się boi ujawnienia i zawsze się boi mówienia wprost o nim.
2936:  KMM - I są legendy na uczelniach,
2938:  KMM - artystyczne jest pod tym względem bardzo przykre.
2941:  MM - Tak, tam dochodzi do apogeum absurdu.
2943:  MM - W szczególności na tych aktorskich.
2945:  KMM - Tak, ale też w Akademiach Sztuk Pięknych, jak ja słyszałem od rekrutujących się studentów, że profesorowie, którzy ich egzaminowali, potrafili wziąć teczkę z rysunkami wydrukowanymi za ciężkie pieniądze i
2957:  KMM - rozrzucić to po ziemi i zacząć potem skakać.
2960:  KMM - Przepraszam, no jak ja bym coś takiego zobaczył, to po pierwsze bym to wyśmiał, a po drugie bym wyrzucił tych ludzi na zbity ryj.
2966:  KMM - Z wpisem do akt i z zakazem wykonywania zawodu na całe życie.
2971:  KMM - Nie żartuję w tym momencie.
2972:  KMM - I to jest rzecz, której nie rozumiem, że nie robią uczelni.
2975:  KMM - Uczelnie mają dużą autonomię.
2976:  KMM - W gestii uczelni jest zdecydować, ten człowiek nie będzie nigdy prowadził zajęć z ludźmi.
2981:  KMM - Nie nadaje się do tego.
2982:  KMM - Niech nam ciła punkciki, niech nam ciła granty, niech przynosi kasę na uczelnię.
2987:  KMM - Wykorzystajmy go.
2989:  KMM - Brakuje takiego pragmatyzmu na uczelniach.
2992:  KMM - Jeżeli ktoś generuje problem, należy sprawić, żeby problemu nie generował, bo szkodzi instytucji.
2998:  KMM - Jak podejmowałem swoją pierwszą pracę w korpo akurat,
3001:  KMM - bardzo dobrym, to było w IT, to miałem aneks do umowy o pracę, antydyskryminacyjny, antymolestacyjny, antymobbingowy, miał to pięć stron, teoretycznie nie musiałem tego podpisać, bo polskie prawo, które podobno działa, penalizuje wszystkie te zachowania, ale miałem aneks, bo tam była słuszna adnotacja, moim zdaniem,
3023:  KMM - że zobowiązuje się do nie działania na szkodę wizerunku firmy i nie robienia tych rzeczy, jeśli będę robił 400 tysięcy, płacę na rzecz firmy.
3033:  KMM - No come on, jeżeli byłyby tego rodzaju aneksy do umów o dzieło, czy o pracę, czy cywilnoprawnych na uczelniach, podejrzewam, że tego rodzaju przypadki by się faktycznie zmniejszyły, bo tego potrzeba, potrzeba straszaka dla takich ludzi.
3047:  KMM - Tak, niech chodzą na paluszkach, niech się boją o każde słowo, ponieważ pracują z ludźmi.
3051:  KMM - Człowiek to jest tkanka wrażliwa.
3053:  KMM - To nie jest praca z workiem ziemniaków.
3055:  KMM - Tak, trzeba uważać na to, co się mówi.
3057:  KMM - Nie, nie jest to cenzura.
3059:  KMM - To jest pewna prewencja.
3061:  KMM - Ja wolę mieć trudność nawet w zwróceniu się do drugiego człowieka, bo muszę tam przemyśleć sobie różne rzeczy.
3068:  KMM - Wolę, żeby warsztat pracy z aktorem był utrudniony, ale równocześnie, żeby ochronić ludzi, którzy mogą być skrzywieni na całe życie.
3076:  KMM - I niestety, najczęściej wtedy, jeżeli zostaną w tych strukturach,
3080:  KMM - stać się swoimi oprawcami, bo to jest smutna rzecz, o której się rzadko mówi, ale bardzo często mobbing jest dziedziczny.
3087:  KMM - I człowiek, który był mobowany, wyszedł z tego, wydaje mu się nie.
3092:  KMM - Tak jest.
3092:  KMM - Ja mam teraz grubą skórę i ja teraz muszę wykształcić tę grubą skórę u kolejnego człowieka.
3097:  MM - Czyli, że się nie odczuwa, że robi się w ogóle krzywdę drugiemu człowiekowi nieświadomie gdzieś tam.
3101:  KMM - Dużo moich kolegów, koleżanek, doktorantów robiło na swoich zajęciach dokładnie to, co robili ich wykładowcy.
3108:  KMM - Sam to robiłem.
3109:  KMM - Moje pierwsze zajęcia, które prowadziłem na Wydziale Polonistyki na UJ, to nie są zajęcia, z których jestem dumny.
3114:  KMM - Miałem kija w dupie, wymagałem niestworzonych rzeczy i prawdopodobnie mogłem zniechęcić część osób do literatury.
3122:  KMM - co jest dla mnie przykre i staram się, żeby tak nigdy już nie było.
3126:  KMM - Ale tak było, ponieważ ktoś mnie tego nauczył i pomyślałem sobie, tak najwyraźniej ma być, tak nie ma być.
3134:  MM - To nie jest tak, że im wyższe uczelnie, tym im większe masowo, jeżeli chodzi o skalę kraju, tym dochodzi do częstszych zjawisk mobbingowania na takiej zasadzie, że po prostu tych wykładowców prestiżowych, takich, których znamy o wysokim statusie,
3152:  MM - Jest ich najwięcej na tych najlepszych uczelniach w kraju, więc po prostu oni muszą tam siedzieć, robią swoje i im nic nie wolno, bo są bezskarni, ponieważ tak zwany status kulturowy, materialny im po prostu na to zezwala, że mają tyle narzędzi, że są tym samym niemożliwi do wyrzucenia.
3171:  MM - To jest tak z dawną arystokracją.
3173:  MM - To nie jest przypadek, że... To też twoje słowa, że chodzenie do wykładowcy i całowania w feudalny pierścień, tak zwany, prawda?
3181:  MM - To zjawisko cały czas jest.
3182:  KMM - Proszenie się... Ono jest charakterystyczne dwóch środowisk.
3186:  KMM - Akademickiego i kościelnego.
3188:  KMM - Żeby było śmieszniej, to jest bardzo zbliżone.
3190:  KMM - Tak, bardzo.
3191:  KMM - I w jednym i w drugim się przenosi z parafii do parafii.
3194:  KMM - Różnica w środowisku akademickim polega na tym, że Mobera się nawet nie przenosi do innej parafii.
3198:  KMM - po prostu się zasypuje sprawę i zamiata pod dywan, więc jest to jeszcze bardziej perfidne.
3204:  KMM - Ale to jest charakterystyczne, bo kiedyś też mi ktoś powiedział, że polski Kler był dziwnie postrzegany za granicą, że był bardzo czołobitny wobec hierarchów, kardynałów itd.
3216:  KMM - I to jest spuścizna PRL-u.
3218:  KMM - To jest pewnym fenomenem.
3220:  KMM - To znaczy jasne, wcześniej mieliśmy szacunek do pozycji profesora jako takiej, ale nie wiązało się to z czołobitnością taką niesamowitą.
3228:  KMM - Natomiast PRL wytworzył taki etos inteligenta i taki nostalgiczny sen, który jest totalnie niezgodny z założeniami komunizmu, żeby było śmieszniej, nad statusem, nad prestiżem.
3243:  KMM - Dokładnie takie same wzorce akademickie, jakie widzę w Polsce i w polskich szkołach, widziałem u kolegów ze wschodu i koleżanek.
3252:  KMM - Dokładnie takie same.
3253:  KMM - Ilekroć wyjeżdżałem na zachód, wszyscy ludzie, pierwsza rozmowa zawsze jaką miałem,
3259:  KMM - Ręka i przedstawienie się.
3261:  KMM - Profesor, profesor, doktor, nieważne.
3264:  KMM - Ja nawet pytałem, czy ktoś jest profesorem, czy nie jest.
3266:  KMM - Oni nie rozumieli mojego pytania.
3268:  KMM - W Oxfordzie, of all places, który jest kojarzony z najbardziej elitarną kulturą akademicką, jaką można sobie wyobrazić, zostałem zaproszony do stolika profesorów podczas naszego obiadu.
3278:  KMM - To jest coś, czego... No właśnie.
3280:  KMM - To jest coś, czego nigdy w życiu nie doświadczyłem na polskim środowisku akademickim jako student.
3286:  KMM - To mi się w głowie nie mieściło, a tam spojrzyli na mnie jak na idiotę.
3290:  MM - Jest to rzadkość na polskich uczelniach, ale mimo wszystko spotkałem się parę razy.
3293:  MM - Ja się spotkałem na tej uczelni, na której teraz pracuję.
3295:  KMM - Bo pewnie ty to robisz, zapraszasz do stolika.
3298:  MM - Ale też wynika z swoich filmików, że też masz dobry kontakt ze studentami.
3303:  MM - Normalnie chodzenie na wspólne imprezy, rozrywki i tak dalej.
3305:  KMM - Na AGH jest...
3307:  KMM - faktycznie taka społeczność akademicka, która jest społecznością i w której się te podziały zasypuje ilekroć można.
3315:  KMM - Rektor otwierający kadź z piwem na imprezie i pijący razem ze studentami, to nie jest rzecz, którą ja wymyśliłem, ani nie jest rzecz, którą ja bym zrobił jako rektor.
3324:  KMM - To jest to, co zrobił profesor Słomka L. lat temu, jak otwierano browara GH na miastach studentów.
3330:  KMM - Więc tam było i chwała Bogom za to.
3333:  KMM - Ale jest to duży ewenement, to znaczy jednak to podejście, że student wysiadujący dupę na twardej ławce godzinę przed prokojem profesora, który się spóźnia na własny dyżur, to jest standard.
3346:  KMM - I to jest standard, którego nie powinno być, bo jesteśmy wszyscy dorosłymi ludźmi i to już jest ten etap, kiedy należy się traktować z wzajemnym szacunkiem.
3354:  KMM - bo to nie jest tylko tak, że profesor poświęca czas, a student poświęca czas.
3359:  KMM - To nie jest tak, jak było sobie, nie wiem, n lat temu, że, jak niestety często profesorowie podkreślają, student miał obowiązek tylko studiować.
3368:  KMM - No nie.
3368:  KMM - Dzisiaj, żeby studiować, trzeba pracować.
3371:  KMM - Nie ma tak, że jak ktoś pracuje, to studiuje zaocznie dzisiaj.
3374:  KMM - Dzisiaj, żeby studiować dziennie, trzeba pracować, ponieważ miejsca w akademikach są już drogie, rynek mieszkaniowy szaleje i wynajem mieszkań jest absurdalnie drogi.
3383:  KMM - Nie da się inaczej.
3384:  KMM - Chyba, że ktoś ma rodziców, wsparci itd.
3387:  KMM - Ja miałem to szczęście chociażby.
3389:  KMM - to wtedy co innego, ale większość ludzi nie ma takiej możliwości.
3393:  MM - No tak, bo wchodząc w ten system po prostu narażamy się, mam wrażenie, że to co mówisz jest jedną wielką walką i godzimy się na te przykrości ze strony często wykładowców, ponieważ chcemy to przejść i mieć spokój, bo walczymy o tak zwany...
3409:  MM - jakąś tam przyszłość tak zwaną, dlatego bierzemy wszystko z dobrodziejstwem inwentarza.
3413:  MM - Ja nad tym ubolewam z perspektywy studenta, dlatego że o tym, co o tym mówisz i to, jak to opisujesz, to to wszystko ma do tej pory miejsce i to naprawdę w moim przypadku nadal często i w przypadku moich kolegów z kierunku, byłych kolegów z kierunku i to się nie zmienia całkowicie, spóźnianie
3429:  MM - ale trzeba przegryźć wargi i walczyć z tym w dalszym ciągu?
3435:  MM - Czy trzeba się męczyć, zgłaszać?
3438:  MM - Jakie masz narzędzia, żeby to naprawić?
3440:  MM - Albo co zrobić, będąc studentem?
3442:  KMM - Wejdź w moją rolę i powiedz, co mam zrobić.
3446:  KMM - Nie będę polecał tego, co ja robiłem, ponieważ skończyło się to tym, że nie dostałem pracy na uczelni, na której go kończyłem i to było z przyczyn pozamerytorycznych.
3454:  KMM - Potem zresztą, jak już pracowałem na AG, skableli o to, żebym poprowadził u nich zajęcia.
3458:  KMM - Ja wtedy powiedziałem, no, no.
3460:  KMM - Pokazałeś wała, jak Polska cała.
3463:  KMM - Ale tak, to było zabawne, bo ja byłem karmiony jako doktora.
3466:  KMM - No właśnie tym bardzo często doktoranci są karmieni.
3468:  KMM - Pracuj, jeździ na konferencje, pisze artykuły, to ci da meta.
3472:  KMM - Co robiłem?
3473:  KMM - No pewnie, że to robiłem.
3474:  KMM - Ile to wgdałeś?
3474:  KMM - Zapierdzielałem.
3476:  KMM - Pięć lat w sumie.
3477:  KMM - Tak.
3477:  KMM - Fundację założyłem, konferencje robiłem, książki wydawałem, redagowałem.
3482:  KMM - To był najcięższy okres pracy w moim życiu.
3485:  KMM - Szczerze to tak 60% tego mogłem sobie odpuścić i dalej miałbym pracę taką, którą mam.
3490:  KMM - Co może robić student, który nie chce się narazić tak jak ja, piszący ankiety na... Przepraszam, zanim jeszcze Ci przerwę.
3497:  MM - Przygotowując się na jeden z esejów o obcości, pamiętam, że spotkałem na Uniwersytecie Jagiellońskim Twoje zdjęcie na konferencję odnośnie obcości.
3509:  KMM - No tak, była tam.
3510:  KMM - Byłem.
3510:  MM - I była tam też profesor Magdalena Środa.
3512:  MM - Tak, wiem o której.
3512:  MM - I widziałem Twoją twarz, kontrastując sobie z dzisiejszą twórczością internetową.
3517:  MM - Byłeś mega smutny i przerażony.
3519:  MM - Miałem wrażenie, że jest to tak wyrysowane na Twojej twarzy.
3521:  MM - Miałem 30 kilo więcej.
3523:  MM - Tak.
3524:  MM - Nie patrzę na wagę, ale po prostu chodzi o wyraz twarzy, o mimikę, o mowę niewerbalną, która biła ze zdjęcia.
3529:  MM - Była całkowicie dużo bardziej kontrastująca się z tym, jak teraz wyglądasz.
3536:  KMM - To był ciężki okres w moim życiu.
3538:  KMM - Bardzo ciężki.
3539:  KMM - Ja sobie nie zdawałem sprawy z tego, co się ze mną wtedy działo.
3541:  KMM - Dlatego powiedziałem o wadze, że u mnie to było z przyczyn niezdrowotnych, tylko ze stresu.
3546:  KMM - i to olbrzymiego stresu, który po prostu zajadałem.
3550:  KMM - Więc rozwiązanie tego problemu przyszło nieprosto oczywiście, ale musiałem sobie uświadomić, że to był problem faktycznie, bo ja tego oczywiście nie widziałem.
3558:  KMM - Właśnie to jest ten problem najczelny.
3560:  KMM - Ktoś tego nie widzi, że jest kłopot.
3563:  KMM - Trzeba sobie wyobrazić, to jest najlepszy test, jaki można zrobić,
3566:  KMM - że jest się w pracy, w pracy, która jest też nie patologiczna, dodajmy, w której szanuje się pracownika, dostaje się pieniądze, nie ma się crunchu, nadgodzin i tego typu rzeczy, jest sensowny menadżer.
3577:  KMM - I czy będziemy też takie zachowanie tolerować?
3579:  KMM - Czy będziemy tolerować sytuację, w której szef siada z nami w pokoju i kładzie rękę na kolanie studentkę czy pracowniczki?
3586:  KMM - Nie, nie będziemy.
3587:  KMM - Czy będziemy tolerować sytuację, w której jest spotkanie i część zespołu na niego nie przychodzi, a druga część mówi
3593:  KMM - Ty się chcesz spotkać ze mną?
3595:  KMM - Przyjdź do mojej sali.
3598:  KMM - No nie będziemy czegoś takiego tolerować, tak?
3600:  KMM - I niestety trzeba to przeszczepić sobie na sytuację uczelnianą.
3603:  KMM - No i teraz tak, w zależności od tego, kto rządzi, można takie rzeczy próbować zgłaszać, ale en masse, masowo, odokumentować, opisywać i zostawiać uczelnię z problemem na piśmie, bo uczelnia nie może zignorować problemu, który jest zgłoszony na piśmie.
3621:  KMM - Jeżeli to jest zgłoszone ustnie komuś, zapomnijmy.
3625:  KMM - To, co robi na przykład samorząd u mnie na wydziale, jest fenomenalnym rozwiązaniem.
3629:  KMM - Tak, oczywiście, że są ankiety, które robi uczelnia, a samorząd robi własne.
3635:  KMM - Easy.
3635:  KMM - Bardzo dobrze, bardzo mądrze.
3637:  KMM - I nie muszę mówić, co z tych ankiet wychodzi.
3639:  KMM - To są zupełnie inne rzeczy, bo ludzie boją się uzupełniać ankiet.
3643:  KMM - uczelniane.
3645:  MM - Ja po prostu, jakby się wstrzelił w moje teraz myślenie o moim rodzimym uniwersytecie, nigdy, nigdy nic nie wypełniłem i nie zamierzam.
3652:  KMM - Bardzo dużo ludzi się boi.
3653:  KMM - Dlatego mówiłem, że ja robiłem samobójstwo, to znaczy ja wypełniałem te ankiety uczelniane i ja wypełniałem jeszcze komentarz i się podpisywałem Krzysztofem Maj po tej ankiecie.
3663:  KMM - Tam wszyscy wiedzieli.
3664:  KMM - Kiedyś jedna babka do mnie podeszła,
3666:  KMM - i powiedziała, że no, ale jak Pan tak obraźliwie napisał o moich zajęciach, faktycznie byłem dość złośliwy, powiedziałem, że zajęcia są... Byś jeszcze studentem, tak?
3676:  KMM - Tak, tak, że zajęcia przypominają ewangelizację, ponieważ wszyscy przykomendzimy się w kaplicy, prowadzący nie znosi sprzeciwu, no i nawet mówi z takim zaśpiewem kościelnym, tylko że wiernych brakuje, bo nikt na te zajęcia nie przychodzi, prócz mnie.
3692:  KMM - Więc to była złośliwa uwaga, przyznaję, ale ja powiedziałem wtedy tej babce, że no ale wie pani, gdybym ja się nie podpisał, to byśmy nie mieli tej rozmowy.
3700:  KMM - Aaa, to było tak, miałem mic drop wtedy, bardzo się cieszyłem, ale no tak, no nie wszyscy takie rzeczy, znaczy nie, nikt takich rzeczy nie robi, nie oszukujmy się.
3709:  MM - Mimo tego, że ankiety są podpisowane, że są anonimizowane, co nie jest pewnie do końca prawdą, bo na pewno są analizowane później pod kątem rekomendacji przekrojowo wszystkich wykładowców.
3719:  KMM - Klinicznie jest trudne powiązanie imienia z kodem, który jest w sosie, ale jeżeli ktoś chce coś zrobić, to może wszystko zrobić.
3727:  KMM - I tłumaczę zawsze moim koleżankom i kolegom uczonym w piśmie, że jeżeli mieliśmy aferę Cambridge Analytica i zobaczyliśmy, w jaki sposób można harvestować dane, to ludzie nie są głupi i wiedzą, że każdy system da się nadużyć.
3740:  KMM - Zresztą bywały wycieki, to swoją drogą było kiedyś w systemie ERK na mojej ulubionej uczelni w Polsce,
3746:  KMM - kiedy wyciekły dane studentów z PESEL-ami, z dowodami osobistymi itd.
3749:  KMM - To była poważna sprawa i poważna luka zabezpieczeniowa, za którą oczywiście nikt nie miał żadnej odpowiedzialności.
3755:  KMM - Pomijając prawdopodobnie tego studenta, który projektował system, oczywiście za darmo, ponieważ studentom się nie płaci.
3760:  KMM - Kolejna rzecz.
3761:  KMM - Każda rzecz, którą wykonuje student, która nie jest w programie zajęć, ma być płatna.
3768:  KMM - I to jest rzecz, która jest totalnie nieprzestrzegana przez nikogo.
3772:  MM - Czy to jest zapisane w kodeksie uniwersyteckim?
3774:  KMM - To jest zapisane w kodeksie pracy.
3776:  KMM - Jeżeli się wykonuje pracę jakąkolwiek, to ma być na nią płaca.
3779:  KMM - Jeżeli student wykonuje pracę, która nie jest w obrębie nauczania, to znaczy nie jest to projekt, który wykonuje się zaliczeniowy, to jest to praca.
3787:  KMM - Nie można skierować ludzi do posprzątania sali na przykład.
3792:  KMM - Dlatego też bardzo niepokojący jest ten zapis i nowelizacja prawa oświatowego, że dyrektor szkoły będzie mógł ucznia w ramach kary za złe zachowanie skierować do prac porządkowych.
3806:  KMM - To jest w tym momencie nowela, która została przyjęta przez Sejm.
3809:  KMM - Jest to przerażający precedens, bo on właśnie może być też na poziomie już dorosłych ludzi, nabywających status studenta, wykorzystany do tego, żeby mieć w tym momencie podkładkę prawną na niepłacenie.
3822:  KMM - Jeżeli, nie wiem, jest na przykład strona internetowa do zaprojektowania.
3825:  KMM - I na zajęciach nikt nie uczy cię projektowania stron internetowych i jest zlecenie dla projektowania stron internetowych, to jest zalecenie płatne.
3833:  KMM - Jeżeli ono nie jest płatne, to jest praca niewolnicza i to się zgłasza do Państwowej Inspekcji Pracy.
3838:  KMM - Nie powinno być takich sytuacji.
3839:  MM - A czy to wygląda tylko tak w kwestii wykorzystywania gdzieś poza merytoryczną wiedzą akademicką, czy też na przykład w kwestii akademickich kół naukowych?
3847:  KMM - Koła naukowe są poza tym.
3849:  KMM - Dlatego też zawsze ludziom, którzy zakładają koło naukowe i równocześnie mają jakąś działalność, powiedzmy jest to koło naukowe projektowania gier wideo, założyć sobie startup niezależnie, logo sobie otrademarkować, jeżeli są nakłady finansowe, więc najlepiej w jakimś inkubatorze przedsiębiorczości to ogarnąć.
3869:  KMM - i równolegle wszystkie rzeczy, które są naukowe, delegować dookoła.
3875:  KMM - Natomiast rzeczy, które są praktyczne, które faktycznie budują jakiś kapitał, absolutnie nie wolno tego oddawać uczelni, bo uczelnia wtedy nabywa prawa majątkowe,
3884:  KMM - do dysponowania tą własnością intelektualną.
3886:  KMM - Jeżeli ja piszę książkę, na przykład moją własną, to uczelnia ma prawo pierwodruku, ponieważ ja jestem zatrudniony przez uczelnię i student podlega podobnym obostrzeniom.
3896:  KMM - Jeżeli mamy na przykład pracę magisterską, fajnie jest zadbać o to, żeby mieć możliwość publikacji i już na etapie studiów, na przykład jeżeli się idzie na studia doktoranckie, to jak najszybciej opublikować tę pracę w formie książkowej, bo uczelnia ma prawa.
3911:  KMM - Więc jeżeli się skończy studia doktoranckie, to można już nie wydać tej pracy magisterskiej drukiem, bo uczelnia może powiedzieć nie jak.
3918:  KMM - Ale jest jeszcze jedna patologia i ona jest na uczelniach i niestety nie tylko uczelnia, bo także w liceach plastycznych i artystycznych, to znaczy dyplomy, które się zdaje, bardzo często wymagane są do wykupu.
3930:  KMM - przez ucznia lub przez studenta.
3931:  MM - Trzeba wykupić dyplom, ale tylko jeżeli chcemy go w wersji obcojęzycznej, z tego co mi wiadomo do tej pory tak jest na uczelni.
3941:  KMM - Nie ten dyplom, dyplom w znaczeniu pracy artystycznej na dyplom, czyli obraz, który zrobiliśmy, chociażby, albo digital art.
3951:  KMM - Czyli nie możemy go sobie wziąć do domu tak pod chok.
3952:  KMM - A powinniśmy, ponieważ to jest nasza własna działalność intelektualna.
3956:  KMM - Dlatego mówię, że to jest problem, to jest taka szara strefa, która jest bardzo paskudnie wykorzystywana.
3960:  KMM - Nie jest tak, że uczelnia zarabia na warunkach.
3964:  KMM - Szkoła może niestety zarabiać na najróżniejsze sposoby, a najwięcej zarabia na tym, że nie płaci.
3969:  MM - Czy jak wrócę na uczelnię, nie będę sprzątał tablicy ani klasy.
3972:  MM - No chyba, że wystawię rachunek jakiś.
3975:  MM - Żartuję oczywiście, ale tak całkiem serio, ten problem jest niszowy dosyć i nikt o tym sobie za bardzo nie zdaje sprawy.
3982:  KMM - Więc powiedzmy, to jest niszowy problem, a teraz wchodzimy poziom wyżej i jest mobbing.
3987:  KMM - Wchodzimy poziom jeszcze wyżej i jest molestowanie.
3990:  KMM - I teraz zadajmy sobie podstawowe pytanie.
3992:  KMM - Czy jeśli ktoś nie reagował przy błahej sytuacji, zareaguje przy sytuacji niebłahej?
3997:  KMM - Wykształca się pewien wzorzec myślenia i wzorzec postępowania.
4000:  KMM - Uczymy się, tak?
4001:  KMM - I uczymy się, że już tak wyraźnie i tak ma być.
4005:  KMM - I niestety to nie zamyka się na uczniach, studentach, ponieważ ludzie, którzy później idą do zakładu pracy, też mogą tak pomyśleć o toksycznym menadżerze.
4013:  KMM - No ja nie zgłoszę tego do HR-u, Human Resources, dla tych, którzy nie znają tego uroczego skrótu.
4019:  KMM - Tylko wytrzymam, zacisnę zęby, mam kredyt do spłaty, mam rodzinę do wyżywienia, to zacisnę zęby i tak możemy zaciskać zęby, aż się naprawimy bruksizmu.
4027:  KMM - Będziemy musieli nosić szynę dentystyczną.
4032:  MM - Chciałbym porozmawiać o czymś przyjemnym, bo widzę, że bardzo mi odpowiada to, co mówisz, bo ja też o wielu rzeczach nie zdawałem sobie sprawy.
4041:  MM - Natomiast też w tych podcastach mam w zwyczaju pytać o początki,
4045:  MM - o biografię moich gości, o początki pracy w branży, o to, czym się zajmowali, jaką drogę musieli przejść, żeby znaleźć się w tym miejscu, w którym są, jeżeli chodzi o tzw.
4056:  MM - relatywny sukces.
4057:  MM - Można powiedzieć, że ty osiągnąłeś jakiś sukces w swojej branży naukowej, czy można powiedzieć, że jesteś szczęśliwy z tego miejsca, gdzie aktualnie jesteś, że robisz to, co lubisz i po prostu to jest najlepszy moment twojego życia?
4072:  KMM - Jedyne nie, które udzielę, jest na pierwsze pytanie.
4074:  KMM - To znaczy prawdziwa nauka polega na tym, że nigdy się nie osiąga sukcesu.
4079:  KMM - Tylko zawsze się myśli krok dalej.
4082:  KMM - I ja zawsze mam kolejną książkę na myśli, kolejny tekst do napisania, kolejną rzecz do zrobienia i świadomość, że mojego życia nie wystarczy, żeby wszystko zaadresować i żeby stworzyć rzeczywiście coś, z czego
4092:  KMM - Mógłbym być dumny i myślę, że to jest najwłaściwsza rzecz, którą można w sobie pielęgnować, jeżeli się chce iść do tej branży.
4098:  KMM - To nie jest branża, w której się zyskuje jakiś sukces.
4102:  KMM - Bardzo podobny jest pod tym względem YouTube, gdzie dużo YouTuberów przeżywa, i to jest poważny problem, że się nie należy śmiać, wypalenie, bo ludzie mówią, ha, ha, siedzi sobie przed kamerą i przyszedł wypalenie.
4113:  KMM - Ja tego nigdy bym o koleżankach, twórcach, twórczyniach nie powiedział z bardzo prostego powodu.
4120:  KMM - I know this shit, ale z innej sfery, ze sfery akademickiej, w której wiem, że człowiek się może wypalić, jeżeli ma następujący mindset.
4129:  KMM - Okej, okej, to ja muszę osiągnąć to.
4131:  KMM - I YouTuberzy myślą sobie, dobra, muszę osiągnąć 100 tysięcy w rok.
4136:  KMM - Okej, no to możesz osiągnąć 100 tysięcy w rok, może osiągniesz sukces, ale moim zdaniem to jest przepis na depresję, wypalenie i frustrację.
4143:  KMM - Na te trzy rzeczy.
4145:  KMM - I dokładnie tak samo jest w środowisku akademickim.
4147:  KMM - Jeżeli myślimy o tym, że dobra, to ja muszę teraz napisać tyle i tyle artykułów, muszę paść na tyle i tyle konferencji, muszę mieć grant w ciągu najbliższych czterech lat, muszę absolutnie zrobić habilitację w ciągu lat ośmiu, no wtedy będzie dobrze.
4158:  KMM - I teraz tak, zrobisz to wszystko?
4160:  MM - Ja byłem już w tym... Miałeś tą bańkę myślenia?
4164:  KMM - Oczywiście, że tak.
4165:  KMM - Ja miałem następujący plan, to znaczy muszę być na 20 konferencjach międzynarodowych zagranicznych.
4171:  KMM - Pojechałem na nie.
4172:  KMM - Muszę napisać 40 artykułów przed dostaniem pracy.
4175:  KMM - Napisałem.
4176:  KMM - W ciągu pięciu lat.
4178:  KMM - Teraz piszę jeden artykuł na rok, a wtedy pisałem osiem artykułów na rok.
4182:  KMM - I jeszcze redagowałem książki.
4183:  KMM - Miałem to wszystko rozpisane.
4185:  KMM - No i osiągnąłem to wszystko i teraz mam taką sytuację, że bardzo trudno mi jest właśnie pisać teksty, ponieważ wypaliłem się, ponieważ zrobiłem różne rzeczy już wcześniej i mam takie wrażenie, że no, ale co teraz, tak?
4199:  KMM - Nie ma już we mnie tej kreatywności, która była dziesięć lat temu.
4202:  KMM - I przeżywam w wieku lat trzydziestu trzech to,
4206:  KMM - niektórzy akurat tak się składa, że są akademikami, przeżywali na poziomie pięćdziesiątki, sześćdziesiątki.
4214:  KMM - I chcę ludzi uchronić przed tym, tak?
4216:  KMM - I to wszystkich, nie tylko właśnie ludzi, którzy pracują w branży kreatywnej.
4220:  KMM - Ten kapitalistyczny, trochę korporacyjny styl myślenia, że mamy konkretne kamienie milowe, które musimy osiągnąć, on jest dobry do realizacji pojedynczych projektów.
4228:  KMM - Bardzo skuteczny.
4229:  KMM - Sam tak pracuję ze studentami nad pracami magisterskimi i licencjackimi.
4233:  KMM - Bardzo korporacyjnie.
4234:  KMM - Ale to jest fatalny model do rozwoju osobistego i do osiągania celów długoterminowych.
4240:  KMM - Coś, co może nas właśnie wypalić.
4241:  KMM - Coś, co sprawi, że będziemy mieli zasięgi w sociala, bo to wszystko cały czas będzie do góry szło, do góry ślicznie.
4249:  KMM - A potem będzie plateau, płaskowyż, tak?
4252:  KMM - I będzie problem.
4253:  KMM - Co ja robię źle?
4254:  KMM - Gdzie popełniłem błąd?
4256:  KMM - Dlaczego to się nie klika?
4257:  MM - A tak było w Twoim przypadku, że mimo tych wielu konferencji, na której jeździłeś, jeszcze będąc studentem, doktoratem UJ-u, że za tym nie szło otrzymanie
4268:  MM - właśnie tytułu doktora.
4271:  MM - Tylko dopiero jak zmieniłeś uczelnię, to wtedy się udało, bo wszedłeś... Nie, nie, nie się udało.
4275:  KMM - Nie się udało z tytułem doktora.
4276:  KMM - Tak, tak, nie się udało z etatem.
4278:  MM - Ale właśnie przez to, mówiąc w pro zapieprzanie?
4281:  KMM - Tak, przez ten zapieprz, przez to, że zrobiłem za dużo rzeczy, przez co...
4286:  KMM - też straciłem kontrolę nad tym, co się wokół mnie dzieje, nie czytałem różnych sygnałów politycznych, które powinienem było odczytać i tak dalej, i tak dalej.
4294:  KMM - No i byłem kompletnie nieprzygotowany na sytuację mobbingu, która mnie spotkała.
