Oto jak YouTube GNIJE i DOBIJA TWÓRCÓW
🔗 https://www.youtube.com/watch?v=9fyeOwIhQ8g
LC (Leszek Cibor, Przeciętny Człowiek)
KMM (Krzysztof M. Maj)
OR (Oskar Rogowski, Napisy Końcowe)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

18:  BFP - Kiedy ktoś czyta tytuł Oto jak YouTube gnije i dobija twórców...
6424:  LC - Totalna weryfikacja materiału.
6426:  LC - Jak dostawałem propozycje od niektórych wydawców, gdzie w grę wchodziła ingerencja wydawcy w film.
6436:  LC - Nie, że przed puszczeniem wydawca ma go jeszcze zobaczyć,
6441:  LC - to nie ma problemu.
6442:  LC - Jakby miałby go zobaczyć i ewentualnie zgłosić jakąś uwagę, to nie ma problemu.
6448:  LC - Ale ja spotkałem się z takimi sytuacjami, że my mamy go zobaczyć i musimy go zaakceptować przed puszczeniem.
6456:  LC - I jak coś takiego czytam,
6457:  LC - Że jak ja przygotowałem już cały film, wszystko to zrobiłem.
6460:  BFP - To jest standard.
6462:  BFP - Ja też nie mam z tym problemu kompletnie, tak długo jak się nie ingeruje w merytorykę.
6467:  LC - No nie, ale jak ci się nie zgodzą, powiedzą, że my nie chcemy.
6470:  BFP - To najczęściej jest na przykład prośba, żeby przesunąć wcześniej, albo żeby wspomnieć o tym i o tym, albo żeby pokazać od kogo taką funkcję.
6478:  OR - Dla własności, bo dla mnie to działa tak, jak działają, jak mówiliśmy często, jakbyś problem z filmami Hollywood, Marvela, gdzie przychodził reżyser i póki to działało, to on dostawał na początku wytyczne, mówił albo okej, w tych wytycznych mogę pracować i je biorę, albo mówił nie i dziękuję.
6495:  OR - I w momencie, w którym dostało wytyczne, ale potem studio przychodziło i się wpierdalało, to był problem.
6499:  OR - Natomiast my z naszymi współpracami mieliśmy generalnie tak, że dostawaliśmy często
6504:  OR - właśnie wytyczne, na przykład, okej, nie możecie użyć danego słowa, bo to ma być bardziej PG-friendly content i tak dalej, nie, na przykład coś reklamujecie, no to może w tym materiale nie przeklinać, jakby nie mam problemu z tym, nie, to jest, nie chcesz w tym miejscu w pewnych rzeczy ruszać,
6519:  OR - Jeżeli nam pasują te zasady, to robimy potem to pod te zasady.
6524:  OR - Mogą być zasady, które nam się nie podobają, w tym wymiarze dziękuję.
6526:  OR - Natomiast kiedy robimy, no to wtedy jakby nie mam problemu.
6531:  OR - Jeżeli my się zastosowaliśmy do tych zasad i ktoś powie, ok, akcept i lecimy, to żaden problem.
6537:  OR - Drobne poprawki to często są takie, że dobra, zrób to, przesuń to.
6541:  OR - Natomiast jeśli ktoś by powiedział nie,
6543:  OR - to ja bym wtedy nigdy więcej z taką osobą już nie współpracował.
6546:  OR - Po prostu.
6547:  OR - Ale rozumiem to, że oni chcą akcept.
6550:  OR - Nie wiem, u nas były takie momenty, jak na przykład, okej, tutaj macie ten motyw, to może użyjcie tego zwiastunu, który wam podesłaliśmy.
6557:  OR - Albo chcemy, żebyście reklamowali to, to nie wiem, to wrzućcie ten tytuł, a nie tamten.
6563:  OR - Jakieś takie różne pierdoły się zdarzały.
6565:  OR - Zwykle jest akcept z góry, ale jakby z samą weryfikacją nie mam problemu.
6569:  LC - Większe doświadczenie ode mnie akurat
6572:  LC - Moja branża jest znacznie biedniejsza w tym kontekście.
6575:  OR - Ja rozumiem fakt, że ktoś, kto mi daje zlecenie, chce mi zapłacić za reklamę, a za tym idzie nie chce, żeby płacić mi za to, że ja jego produkt obsmarowuję, bo on nie ma w tym żadnego interesu.
6590:  OR - I teraz pytanie, czy ja mam integralność, czy moja widownia wierzy, że ja mam tą integralność, że wziąłem tę współpracę faktycznie polecając ten produkt, który faktycznie mi się podoba,
6598:  OR - Czy wziąłem ten produkt po to, bo chciałem sobie dostać hajs, a tak naprawdę w ogóle mówię o nim nieszczerze.
6603:  OR - Ale to już zależy tylko i wyłącznie od integralności twórcy i wydaje mi się zaufania widowni, bo inaczej się tego nie da załatwić.
6610:  BFP - To chciałbym, żebyśmy przeszli do przedostatniej części naszej dyskusji.
6613:  BFP - Co was motywuje, co was demotywuje?
6617:  BFP - i jaką rolę w tym odgrywa społeczność, ale też motywacja wewnętrzna.
6621:  BFP - Ja tak odnoszę się, jako przykład właśnie takich wujaszkowatych komentarzy, może ja go źle odebrałem, więc też już nie będę obrażał dalej klapek Kubota, bo już dzisiaj mi się dostało zobrażenie mam, które robią jajecznicę i są twórczyniami za klapki Kubota, ale właśnie taki komentarz, szepta, który się pojawił, zacieram rączki na kasę z AdSense, ale YouTube jest fuj ble.
6641:  BFP - No właśnie nie, cała nasza dyskusja dzisiaj sprowadza się do tego, że my jesteśmy wdzięczni YouTubowi, że możemy robić to, co możemy robić, dlatego chcielibyśmy, żeby nam tego nie utrudniał.
6650:  KMM - Wręcz przeciwnie.
6651:  KMM - YouTube powinien być wdzięczny.
6653:  KMM - YouTube na nas zarabia przecież.
6655:  KMM - Oczywiście, odwracamy relacje między pracodawcą a pracobiorcą.
6660:  KMM - To jest absolutnie.
6661:  KMM - I ja tylko chciałem szepta i innych przestrzeń przed myśleniem takim w pracy, ponieważ to jest pierwszy krok do tego, żebyście się dali zamobbować na śmierć.
6671:  KMM - I to powiedziawszy, zaznaczę, że jedna z najbardziej toksycznych rzeczy, jaka jest od strony YouTube Creative Studio, czy aplikacji, która pomaga w zarządzaniu, która administruje zarządzaniem na YouTubie,
6686:  KMM - jest ranking.
6689:  KMM - Oczywiście, że najbardziej toksyczna rzecz, jaka istnieje, to musi być coś, co jest wzięte jeden do jeden ze szkół.
6695:  KMM - Ranking jest dziesięciu filmów, które są ostatnie, z czego za każdym razem, jeżeli w stosunku do poprzedniego miesiąca film radzi sobie lepiej, to jest taka zielona strzałeczka, która idzie w górę, jest to stonks.
6709:  KMM - Ale jeżeli, nie daj Boże, załóżmy, że ktoś miał na przykład virala, który zebrał
6713:  KMM - Półtora miliona odsłon, niesamowite, ale w następnym miesiącu Wajralek zebrał 1,4 miliona.
6722:  KMM - Uuu, bidnie, bidnie, strzałeczka nie będzie zielona, strzałeczka będzie szara w dół.
6728:  KMM - Oczywiście ranking jest 10, 1 na 10, wszędzie są numerki, cyferki, wiecie czego nie ma?
6734:  KMM - I to powiedział przed sekundą, nie znam się, ale się dowiem, który jest cały czas tutaj na czatach.
6739:  KMM - Nie ma feedbacku.
6740:  KMM - Tak, tak, tak.
6741:  KMM - Ja nie wiem nic.
6742:  KMM - Nie mam oceny opisowej.
6743:  LC - Nie, nie masz pojęcia, nie masz pojęcia, co się stało.
6745:  KMM - Ja wiem, że to może być też zinterpretowane przez kogoś, Dlatego nazywam to maszyną losującą.
6750:  LC - Tak, tak.
6750:  KMM - Tylko moje sprzedawanie kontentu edukacyjnego, ale to nie jest tylko kwestia edukacji, jak zawsze staram się mówić, to jest kwestia zarządzania, to jest kwestia, owszem, również edukacji, ale to jest przede wszystkim kwestia tego, że nie umiemy w ogóle w żaden sposób oceniać się.
6764:  KMM - I tak, ja bym wolał, żeby ktoś mi napisał, nawet jeżeli by to był czat GPT, napisałby mi jedną stronę A4 z wyjaśnieniami, co mogę zrobić, co...
6772:  KMM - inni robią i tak dalej, to bym to przyjął i byłoby to dla mnie o wiele bardziej sensowne.
6777:  KMM - Tak samo jak jakieś bardziej pogłębione statystyki.
6780:  KMM - Natomiast konia z rzędem, że mnóstwo twórców, zwłaszcza młodych twórców, którzy są podatni na tego rodzaju mechaniki i socjotechniki, będą na to dokładnie tak samo wrażliwi, jak są wrażliwi na różnego rodzaju strategie przemyślne w grach hazardowych projektowane, czy też mechaniki uzależniające, mechaniki podkreślę, uzależniające w mediach społecznościowych.
6800:  KMM - Bo media społecznościowe, tak, gry nie uzależniają same z siebie, uzależniają mechaniki, warto to mówić za każdym razem.
6806:  KMM - I martwi mnie to strasznie, bo widzę na przykład ludzi, którzy się autentycznie potrafią przejąć tym.
6811:  KMM - No i załóżmy, że ktoś zarabia na YouTubie, tak?
6814:  KMM - I poszło mu świetnie w danym miesiącu.
6815:  KMM - Powiedz, że mówisz o mnie.
6818:  KMM - No dużo z Filipem o tym rozmawiamy też.
6820:  KMM - Poszło mu zajebiście w danym miesiącu i ja zawsze jak widzę, że jest u Filipa jakiś świetny film na Bez Schematu, to zawsze to napiszę, nie?
6827:  KMM - I cieszę się z tego, ja się autentycznie cieszę z tego, że Bez Schematu przez ostatni rok praktycznie zwiększyło się o 50 tysięcy subskrypcji i będę się, ja otworzę szampana wtedy, kiedy Bez Schematu będzie miało więcej subskrypcji ode mnie z bardzo prostego powodu.
6843:  KMM - Ja plwam na te numery.
6844:  KMM - Natomiast
6845:  KMM - cieszę się, widząc, że ta metryka odzwierciedla na przykład wzrost jakości.
6849:  KMM - Tylko, że nikt w ten sposób nie myśli.
6851:  KMM - Ludzie myślą wpierw metryką, a potem jakością.
6854:  KMM - I w jednym miesiącu pójdzie źle, w związku z powyższym myślą sobie, a, to jest prognoza trendu.
6859:  KMM - To nie jest żadna prognoza trendu, to narzędzie jest debilne, ono nic nie potrafi zaprognozować.
6864:  KMM - To nie jest żaden trend.
6865:  KMM - To może, to jest wyłącznie czysty chaos.
6868:  KMM - Nikt nie wie, jak to działa, to nie ma sensu, w związku z powyższym są dwie strategie, jakie można mieć, albo to totalnie trollować,
6874:  KMM - albo wykorzystywać różnego rodzaju te mechaniki, a jest oczywiście trzecia strategia, która jest najtrudniejsza, mianowicie olać to i się śmiać z tego, ale znowu wracam do swojej mantry dzisiaj, to można zrobić wtedy, kiedy to nie jest to główne źródło dochodu.
6887:  KMM - Ja na przykład robię sobie eksperymenty, w listopadzie wiem, że jest najwyższy AdSense, w związku z powyższym nie zrobiłem ani jednego filmu dłuższego, zrobiłem dwie recenzje i tak dalej, nie zrobiłem swojej flagowej serii, nie zrobiłem vloga, byłem ciekawy, jak to będzie wyglądało, bo mogę sobie robić tego rodzaju eksperymenty i wiecie co?
6903:  KMM - Nic się nie zmieniło.
6904:  KMM - I to jest najzabawniejsze.
6906:  KMM - Znaczy dokładnie taki sam mikreadsens jaki mam na poziomie mojego kanału, bo jeszcze raz podkreślę, że u mnie jest głównie społeczność, to się utrzymał, prawda?
6913:  KMM - Ani nie zwiększyłem liczby streamów, ani nie zmniejszyłem liczby streamów.
6916:  KMM - To nie ma żadnego sensu i się nie należy tym przejmować, ale to jest największe rakowisko na tej cholernej platformie.
6922:  KMM - Te przeklęte statystyki, które nie informują nas o niczym praktycznie, tylko szeregują filmy od najlepszego do najgorszego.
6929:  KMM - I dokładnie tak samo te statystyki działają na nas źle w innych obszarach i nie, nie zgadzam się, jak niektórzy argumentują, że to jest motywacja, właśnie budowanie motywacji wewnętrznej, że ja będę lepszy od siebie w poprzednim miesiącu.
6944:  KMM - To jest gówno prawda.
6945:  LC - A propos tego rankingu, jest śmieszna rzecz a propos tego rankingu, jeszcze nawiązując odrobinkę do MrBeast'a, którego wcześniej przywołałem,
6953:  LC - On akurat mówił, że właśnie jest to, że nasz ostatni film, gdzieś w jakimś wywiadzie, i to bardzo niedawno było, nasz ostatni film był jeden na dziesięć.
6964:  LC - I tak sobie popatrzyliśmy na te statystyki, no nie jeden na dziesięć z naszych dziesięciu ostatnich filmów i tak naprawdę on jest jeden na cały YouTube.
6971:  LC - To znaczy nigdy na YouTubie nie było tak szybkiego filmu z tak szybkim przyrostem wyświetleń, etc., etc.
6977:  LC - Sobie to sprawdzili, więc teraz
6980:  LC - mówią, że w zasadzie jedyne, co by musieli zrobić, to pobić całego YouTube'a za każdym kolejnym, żeby być jeden na dziesięć, znowu musieliby pobić całego YouTube'a do ślubu tak absurdalnego poziomu, że mówią, że spokojnie wystarczy cztery na dziesięć, jakby przy ich filmach.
6994:  LC - Natomiast, no, masz poniekąd rację, że te liczby są super konfundujące, tym bardziej, że wiesz,
7005:  LC - Powiedzmy model, który wypracowałeś obserwując YouTube'a, czyli znowu bawiąc się w takiego wróża bajarza wiejskowego, który rzuci kośćmi i tam patrzy się click-through rate jest tyle, czas jest tyle, przekliki są tyle, tyle subskrypcji doszło, więc film za pół roku będzie miał tyle.
7026:  LC - I sobie tam wywróżysz coś z tych kości.
7029:  LC - Był
7032:  LC - Byłem w stanie popatrzeć się i ja mówię tutaj z doświadczenia nie tylko swojego, ale patrząc się na mastermindach, w którym jestem przy tych milionowych twórcach i przy ich doświadczeniu, patrząc się na historyczne wyniki, że były jakieś pułapy, że w momencie, gdy miałeś click-through rate rzędu 8-10%,
7051:  LC - to miałeś niemalże gwarancję, że YouTube to popchał.
7054:  LC - Teraz nie ma... A potem spojrzałeś na moje wyniki i się dziwiłeś, czemu mam tak wysoki click-through rate i tak słaby... No właśnie, spojrzałem na twoje wyniki i po prostu myślę sobie, no, ale to już było dużo później... Po przemianach, tak, tak.
7067:  LC - Po tych przemianach, jak ja puściłem materiał, miałem 8% click-through rate, czyli dla ludzi, którzy nie wiedzą, o czym mówię, to jest wskaźnik przekliku, czyli wyświetliła ci się miniatura na telefonie czy na komputerze, na monitorze i kliknąłeś albo nie, no i na przykład 8% ludzi kliknęło, tak?
7086:  LC - 8% ludzi, którym się wyświetliła ta miniatura, kliknęła.
7088:  LC - To jest bardzo wysoki wskaźnik.
7091:  LC - Wardęga ostatnio miał na tych swoich Pandorach, jak gdzieś tam to pokazywał, w okolicy 20-40% click-through rate, bo było takie zainteresowanie, takie ssanie tematu, że po prostu rozwalił polskiego YouTube'a, więc mówimy o jakichś tam totalnych anomaliach.
7104:  LC - Natomiast mimo wszystko ten parametr znowu gdzieś został zdegradowany w algorytmie,
7109:  LC - względem jakichś innych parametrów, przyrostu fanów, tego ile ludzi kupi, kupi tą subskrypcję.
7114:  LC - To się ciągle zmienia.
7118:  KMM - Metryka przestała mierzyć, stała się celem samym w sobie.
7121:  KMM - To jest cały czas ten sam problem, który wszyscy popełniają i błąd ten popełniają.
7125:  OR - Warto też, właśnie co my zauważyliśmy, no to subskrypcje.
7129:  OR - Jeszcze troszkę wspominałeś o tym, że ilość subskrypcji, na przykład ile osób na live'ie czy coś takiego.
7135:  OR - Jak zaczynałem na YouTubie, to subskrypcja była wszystkim.
7139:  OR - absolutnie wszystkim.
7141:  OR - Jakby im więcej miało się subskrypcji, to był bezpośredni przekład na ilość współprac, tak dalej.
7147:  OR - Dla Jasności zależy od branży, ale w tym, czym my się zajmujemy, dalej jest i zaraz będę miał na to poparcie.
7156:  OR - Natomiast generalnie było absolutnie wszystkim.
7159:  OR - Napisy końcowe dla Jasności do dziś mają 30 tysięcy subskrypcji.
7163:  OR - Mój kanał, który jest martwy o komiksach,
7168:  OR - którego nie prowadzę na dobru sprawy już od wielu, wielu lat.
7171:  OR - Ma cały czas prawie 40 tysięcy.
7175:  OR - Miał trochę ponad.
7176:  OR - Spadły mu od, jak skończyłem go prowadzić o 4 tysiące może subskrypcje.
7181:  OR - Odeszło.
7181:  OR - Tyle ludzi i tak dalej.
7182:  OR - Reszta została.
7185:  OR - Wielu, i wiem o tym, bo rozmawialiśmy z ludźmi, którzy się tym zajmują, wiele ludzi, którzy zleca współpracę, szybciej, gdybym dzisiaj zaczął prowadzić materiał i po prostu oni zauważyli, że tam się jakieś materiały wyświetlają, to szybciej chcieliby zrobić współpracę z moim kanałem 38, który jest martwy dla jasności, kompletnie martwy, niż z napisami końcowymi w tym momencie.
7206:  OR - Kiedy jednocześnie my mamy anomalię, bo mieliśmy przez długi czas, jeśli chodzi o lajwy, więcej wyświetleń niż subskrypcji na kanale regularnie.
7216:  OR - To kompletna anomalia była.
7218:  KMM - A contrario, przecież jest sporo kanałów, które mają milionowe subskrypcje i tam są zasięgi, które nazywa się małymi, chociaż znowu ja tego nie znoszę, jak wiecie.
7228:  KMM - Ja wiem, teraz będę bardzo kontrowersyjny dla twórców, ale mnie się zdarzało przemawiać do dwóch tysięcy ludzi.
7235:  KMM - Na żywo.
7238:  KMM - Ja wiem, ile to jest 2 tysiące ludzi.
7242:  KMM - I bardzo nie lubię tego, że film mi nie trenduje, bo ma 9 tysięcy.
7247:  KMM - A ja sobie myślę, ja w swoim życiu spotkałem w Polsce...
7252:  KMM - Może 100-150 osób, z którymi mogłem dzielić swoje zainteresowania o fantastyce.
7257:  KMM - Teraz puszczę recenzję, która się nie klika, moją, na temat jakiegoś utworu fantastycznego.
7262:  KMM - I ogląda to mało w skali mojego kanału, będzie 9 osób, 8 tysięcy, może ktoś sobie myśli,
7268:  KMM - Ja tutaj subskrybuję Krzysztofa po ranty o edukacji i o polskiej kulturze rupturze, a tu tymczasem co mnie obchodzi jakaś jego recenzja.
7277:  KMM - A ja sobie myślę, a co mnie obchodzi twoje, żebym cię nie obchodził.
7280:  KMM - To jest mój kanał, ja sobie tu będę robić, co mi się żywnie podoba, ponieważ mnie to interesuje i to ma być autentyczne.
7287:  KMM - a równocześnie znajduje 9 tysięcy nagle osób potencjalnie, z którymi nagle mogę rozmawiać na temat fantastyki, no come on, że to jest niesamowity sukces.
7296:  KMM - I problem polega na tym, że YouTube przez właśnie monetyzację wyświetleń, kliknięć i zasięgów, odbiera nam te przyjemności, odbiera tę radość prostą z pasji, jaką możemy mieć, że ktoś nagle wjedzie na kanał, gdzie, no come on, Nerdforge na przykład, gdzie babeczka maluje sobie styropian i buduje z tego zamki.
7313:  KMM - No wiesz, że to jest nieprawdopodobnie niszowe, a ludzie to uwielbiają oglądać.
7317:  KMM - Ty mnie tym zaraziłeś.
7317:  KMM - Mamy teoretyczne zasięgi, też nawiasem mówiąc, ponieważ to jest kanał anglojęzyczny i tutaj moglibyśmy długo dyskusję na temat teorii postzależnościowej, postkolonialnej robić, ponieważ my i tak jesteśmy uprzywilejowani w stosunku do twórców, którzy na przykład są zupełnie z innego regionu świata, typu Myanmar chociażby.
7332:  KMM - No ale to już by się za bardzo rozdało wszystko.
7335:  KMM - Zmierzam krótko mówiąc do tego, że jak zawsze zamienianie ludzi na numery jest złą strategią i nieprawdopodobnie toksyczną.
7342:  KMM - Ale tutaj mamy przykład tego, jak łatwo być uwięzionym w tym systemie.
7347:  BFP - Ja bardzo chcę się do tego odnieść, bo to naprawdę czuję się wywołany przez Krzysztofa i chciałbym kurczę jednak się do tego odnieść, już potem oddaję wam głos panowie, bo obiecałem na samym początku, ja wiem, że to brzmiało jakbym jakieś expose wygłaszał, ale obiecałem, że rzeczowo się będziemy prezentowali z naszą perspektywą i szczerze i autentycznie.
7369:  BFP - I kiedy Krzysztof mówił, że zna osoby, które ciężko odbierają właśnie to, że nie idzie, to jestem ja.
7377:  BFP - I też mówię otwarcie o zdrowiu psychicznym na kanale i wspominałem o tym niedawno na swoim streamie urodzinowym.
7384:  BFP - Ja zacząłem terapię, która bardzo mi pomaga i wszystkim polecam.
7388:  BFP - Zresztą polecam też kanał Leszka, który naprawdę zajmuje się takimi rzeczami, jak na przykład schematy osobowości.
7393:  BFP - I zaczęliśmy pracować nad schematami osobowości i wyszło na to,
7397:  BFP - Czego nie miałem do końca świadomości, że jestem niezwykle silnie nakierowany czy skoncentrowany na rzeczowym feedbacku.
7406:  BFP - To znaczy ja zaczynam postradać zmysły, jestem bliski postradania zmysłów, kiedy ktoś mówi mi, że robię coś źle, ale ja nie wiem dlaczego.
7415:  BFP - Ja potrzebuję konstruktywnego pokierowania mnie, bo inaczej strasznie tracę na poczuciu własnej wartości.
7422:  BFP - I YouTube jest na tym niestety zbudowany od strony panelu twórców.
7426:  BFP - To znaczy, po pierwsze, jak powiedział Leszek, jest to maszyna losująca.
7430:  BFP - Po drugie, jak powiedział Krzysztof, jest to maszyna losująca z elementem grywalizacji, która wystrzeliwuje ci konfetti, kiedy ci idzie dobrze, najczęściej kiedy rantujesz, a kiedy pokazuje smutną, szarą strzałkę, kiedy ci nie idzie.
7443:  BFP - I ostatnio bardzo nie idzie.
7444:  BFP - Bardzo nie idzie, a ty jeszcze bardziej nie wiesz dlaczego.
7447:  BFP - I...
7448:  BFP - Ja mam opiekunkę, z którą współpracuję z YouTube'a i ona nie potrafi mi powiedzieć dlaczego nie.
7453:  BFP - Znaczy rozmawiam z żywą osobą, która nie potrafi mi tego powiedzieć i może wam powiedzieć zupełnie serio i szczerze, że to boli.
7460:  BFP - To znaczy jak się włożyło w coś pracę i się coś kocha i wierzy się w to,
7465:  BFP - że kiedy mówi się o czymś pięknym, w moim mniemaniu, jak na przykład pięknie zrobiony serial animowany i wierzy się w dobre emocje i dobre uczucia, bardziej niż te negatywne, które zawsze prażą na YouTubie i widzi się, że jasna strona mocy zawsze przegrywa z ciemną, to to boli.
7482:  BFP - To autentycznie boli psychicznie i wpływa na ciebie.
7485:  BFP - I tu nawet nie chodzi o pieniądze.
7486:  BFP - I żeby zamknąć ten wątek i oddać już głos Leszkowi, jest wtedy jedna rzecz, która zawsze mnie podbudowuje.
7492:  BFP - I ja nie będę mówił takie banały jak, o, wy.
7495:  BFP - Nie.
7496:  BFP - To są właśnie komentarze.
7497:  BFP - To jest człowiek, który się kryje za liczbami.
7500:  BFP - I ostatnio pod esejem o Niezwyciężonym było naprawdę dużo komentarzy, które mówiły, cenię Lema, to jest esej, który oddaje cześć właściwą twórcy.
7512:  BFP - A najpiękniejszy, wiecie jaki dostałem komentarz?
7514:  BFP - Faceta, który...
7516:  BFP - Wypisał trzy błędy merytoryczne w tym, co ja powiedziałem.
7519:  BFP - Ja mu podziękowałem i powiedziałem, że jeżeli wartość kanału jest mierzona jakością krytyki, to jestem szczęśliwym twórcą, bo wiedziałem, że ten człowiek wysłuchał mojego materiału od deski do deski i to mi wystarczyło.
7532:  BFP - Więc tyle ode mnie, jeżeli chodzi o motywację, demotywację.
7535:  BFP - Leszku.
7536:  LC - W takim stoickim sposobie myślenia powinieneś poszukać aprobaty w sobie, a nie na zewnątrz.
7543:  LC - To jest też taka porada, ale to na boku.
7546:  LC - Pracuję, pracuję!
7549:  LC - Natomiast jeśli mówisz o zdrowiu psychicznym i jak to siada na psychę.
7553:  LC - Ja miałem słaby rok, ogólnie słaby rok na YouTubie.
7558:  LC - patrząc na te cyferki, patrząc na te wszystkie parametry.
7562:  LC - I całe szczęście, ja w swoim życiu z niejednego pieca jadłem i niejeden piec mi się rozpadł i gdzieś tam kryzysów miałem całkiem sporo.
7572:  LC - I wiesz, jak ja mówiłem wcześniej, że prowadząc live'y 6 lat temu czy 5 lat temu miałem 100-200 osób i teraz prowadząc live stream z webinarem, szkoleniem swoim mam dalej 200 osób, mimo że
7585:  LC - subskrybentów mam razy 10, no nie?
7588:  LC - To zawsze otrzeźwia mnie ta myśl, że trochę wcześniej prowadziłem szkolenia dla 10 osób, dla 6 osób, dla 3 osób, dla 15 osób, dla... I to były trudne szkolenia, męczące szkolenia, to były szkolenia całodniowe, niekoniecznie też superpłatne, nawet powiedziałbym bardzo słabopłatne, bo się wtedy na przykład uczyłem, bo wtedy gdzieś zdobywałem szlif w fachu trenera i tak dalej.
7611:  LC - Więc otrzeźwia mnie ta jedna myśl i ta druga myśl, że
7614:  LC - Zbudowałem sobie akurat może nie tyle społeczność, ale markę w kontekście robienia animacji.
7621:  LC - I to jest super, bo jak ktoś się zgłasza do mnie po animację, to 99% zleceń, które mam, to są lekkie zlecenia.
7630:  LC - Powiem Wam szczerze, jeśli ktokolwiek z Was pracował kiedykolwiek w branży kreatywnej, ja wiem, że każdy z Was się dotknął,
7637:  LC - branży kreatywnej w ten czy inny sposób, czy pisząc, czy tworząc jakieś grafiki, czy montując i tak dalej, to zlecenia potrafią być upierdliwe, klienci potrafią być, zwłaszcza jeśli ktoś pracował w poligrafii, tak jak ja przez lata, to po prostu można w wieku 30 lat ośliwieć.
7653:  LC - I wiesz, ja w momencie, gdy ja dostaję klienta, który dzwoni do mnie, naprawdę nie robimy drogo tych animacji, no nie?
7661:  LC - Więc jakby tutaj nie ma też handlaczenia się, jeśli chodzi o cenę, ale on akceptuje, bo on widział to na kanale, bo on chce to dokładnie tak, jak my to robimy, bo on jest tym zainspirowanym i to jest przyjemne i cały ten proces.
7674:  LC - przejścia akceptacji, wiesz, dojścia detali w procesie kreatywnym, robienie jakiegoś dzieła dla klienta po prostu, jako formę tego, co właśnie z YouTube'a wynika, to jest super przyjemne.
7688:  LC - To są takie dwie super przyjemne rzeczy, gdzie w trudnych momentach, a w tym roku, ten rok miałem super depresyjny, miałem takie okresy, że po prostu masakra, nie mogłem się zebrać do pracy, do pisania, miałem totalne wypalenie.
7701:  LC - Ktoś wspominał w komentarzu o wypaleniu
7703:  LC - czy mieliśmy jakiekolwiek wypalenie, czy mieliśmy jakieś takie okresy, no to ja w tym roku muszę się absolutnie przyznać, że ja mógłbym sobie wykreślić w kalendarzu trzy miesiące, gdzie byłem absolutnie niezdolny do pracy intelektualnej, jakby w ogóle ledwo funkcjonowania w tym kontekście i jest lepiej, jest teraz dużo lepiej niż było, no ale problemy się nawarstwiały, to też jest trochę, prowadząc działalność,
7731:  LC - nie ma żadnej asekuracji w tej kwestii.
7734:  LC - No więc ja jedyne na czym się teraz mogę w cudzysłowie położyć, to są kursanci, którzy kupują dalej kursy, kupują książki, choć mniej, bo jest mniej wyświetleń, no ale też zlecenia właśnie na animacje, które cały czas gdzieś tam przez markę wyrobioną
7751:  LC - pojawiają się i też nie wymagają ode mnie jakiejś agresywnej, nachalnej sprzedaży, dzwonienia się i tak dalej.
7757:  LC - Więc to są rzeczy przyjemne, to są rzeczy, na których się opieram właśnie w trudnych momentach, kryzysowych momentach, natomiast trochę współczuję twórcom, którzy mają tylko to.
7773:  LC - na zasadzie nie są w stanie, nie są w stanie, fokusują się na liczbach, liczby idą źle albo społeczność się gdzieś rozjeżdża, jest jakiś kryzys wizerunkowy i społeczność postanowiła odwrócić się plecami do twórcy i twórcy nie zostaje nic, jakby to się gdzieś rozmywa, nie ma, nie ma, to już nawet nie z punktu widzenia biznesowego, tylko z punktu widzenia po prostu tworzenia
7802:  LC - Nie jest to takie rozwinięte, nie ma takiego kształtu, jaki każdy z waszych kanałów mógłby mieć.
7811:  LC - Mógłby mieć tego typu rozwinięcie kreatywne w jakąś stronę, które w trudnych czasach dawałoby po prostu oparcie.
7819:  LC - Ja wiem, Krzysztof, że Ty bronisz się rękami i nogami, że Ty masz swoje życie i po prostu sobie tam robisz tego, ale nie robisz, mówisz tak trochę.
7829:  LC - Uważam, że niebezpieczne jest takie... Chciałem Ci zwrócić troszeczkę uwagę, jest trochę takie niebezpieczne, bo jest to lekko lekceważące do społeczności, którą zbudowałeś.
7838:  LC - która jest super wartościowa.
7840:  LC - Już nie mówię w kontekście, za ile byś ją w cudzysłowie sprzedał jakiejś tam korporacji, która by chciała tam reklamować twoimi ustami coś tej społeczności, ale to jest super wartościowe i ja bym nie umniejszał tej społeczności mimo wszystko, że mi teraz gwiżdże, to nie gwiżdż.
7855:  LC - No nie gwiżdż, bo ludzie na ciebie liczą, ludzie są dla ciebie, przychodzą, jakby chcą i tak dalej.
7862:  LC - Pod tym kątem nie... Jakby wydaje mi się, że trochę tak
7868:  LC - Z jednej strony celisz oczywiście swoją społeczność i jak najbardziej ją lubisz i tego jamniczka gdzieś tam pokazałeś i tak dalej i cieszy cię to, ale takie komentarze tak trochę dziwnie odbieram, jakbyś po prostu, aaa, gwiżdżem, no mogę sobie jutro zamknąć i nara, no nie?
7882:  LC - To tak, wiesz, taka psycho girlfriend, no nie?
7885:  LC - Jesteśmy w związku ze społecznością, a mogę sobie jutro pójść i nara, cześć.
7889:  BFP - Ja tak tego nie odbieram, ale to niech Krzysztof się odniesie.
7891:  KMM - Ja od razu powiem, że tak mogę zamknąć z dnia na dzień kanał, absolutnie tak samo mogę z dnia na dzień odejść z pracy i nikt nie powinien nigdy tego...
