Popkulturowe TOP 2021. Najlepsze filmy, seriale i gry wg Bez/Schematu
🔗 https://www.youtube.com/watch?v=orC4wIAD1FU
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - Ostatnia porcja bez schematu w tym nieszczęsnym roku.
3365:  BFP - Cholera jasna, jak ja chcę zobaczyć ten film.
3368:  BFP - Jeżeli chodzi o seriale, to chcę zobaczyć ostatni, finałowy sezon Better Call Saul, który naprawdę już niemal sięga poziomu Breaking Bad, czyli najlepszego serialu, jaki w życiu widziałem.
3379:  BFP - Jeżeli chodzi o muzykę, nie mogę się doczekać nowej płyty Slipknota,
3383:  BFP - A jeżeli chodzi o gry, to bardzo chciałbym ex aequo, mając PlayStation 5, cześć wspierający na Patronite, ograć God of War 2 i ograć Horizon Forbidden Dawn.
3397:  BFP - Tak się chyba to nazywa, tak?
3400:  BFP - To trudno do mnie.
3401:  BFP - Jak, jak?
3401:  BFP - Forbidden West.
3403:  BFP - Forbidden West, no tak.
3404:  BFP - No tak, bo połączyłem Horizon Zero Dawn z Forbidden Woods.
3409:  BFP - No to ja chcę zagrać taki specjalny, zmodowany Horizon.
3413:  BFP - Jeżeli chcecie, ze swojej strony, to to jest wasz moment, żebyście powiedzieli na co czekacie w 2022.
3421:  KMM - Na dobrego RPGa.
3425:  KMM - Naprawdę.
3427:  KMM - Ja się dam zaskoczyć pozytywnie kinu, serialu, zwłaszcza, że nie mam tak egzeklopedycznej pamięci jak ty i dam się zaskoczyć, naprawdę.
3437:  KMM - Jestem otwarty w stu procentach na to, co się może zdarzyć, ale jest jedna rzecz, której mi naprawdę brakuje i to brakuje mi jej tak serio.
3443:  KMM - Znaczy brakuje mi opowieści, która by mnie porwała na 400, 500, 600 godzin.
3448:  KMM - tak jak to porwał mnie swego czasu Skyrim, tak jak teraz mnie porwało Dark Souls, wbrew pozorom, tak jak mnie porwał Wiedźmin 3, tak jak mnie porwał swego czasu Vampire The Masquerade Bloodlines, czekałem, 2021 rok miała wyjść, przesuwany jest cały czas, na Steamie jest
3465:  KMM - niepokojąca informacja, not available, nie wiadomo, co się z tym będzie działo, chodziły głosy, że zostały cancelowane.
3473:  KMM - Cały czas czekam na tego swojego prywatnego mesjasza Open World RPG, który pokaże, że da się to zrobić dobrze i nie przestanę czekać.
3483:  KMM - To jest moje ogromne życzenie na rok 2022, żeby coś takiego wyszło.
3487:  BFP - Krzysztof, mój przyjacielu, ja mam do Ciebie balsam dla Twojej duszy.
3493:  BFP - Mada fucking Planescape Torment.
3497:  BFP - Zagraj w tę grę.
3498:  BFP - Zagraj.
3499:  BFP - Serio nie grałeś?
3500:  GW - O stary.
3502:  BFP - Zagraj w Planescape Torment, jeżeli chcesz.
3504:  BFP - Tak zdecydowanie.
3505:  BFP - Jeżeli jesteś światotwórcą i nie zagrałeś w Planescape Torment,
3513:  KMM - Mój problem podstawowy jeszcze dopowiem, że dla mnie ten RPG z otwartym światem, na którego czekam, to jest taki RPG, który będzie doświadczeniem audiowizualnym.
3522:  KMM - Ja mam problem z czytaniem gier.
3525:  KMM - Duży problem.
3526:  KMM - Do tego stopnia, że gamedec robiony przez mojego serdecznego przyjaciela, byłoby nie było, literacko-krytyczno-literackiego, Marcina Przybyłka, razem ze studiem Anszar,
3537:  KMM - Grałem w tę grę 12 sekund.
3538:  KMM - Nie żartuję.
3539:  KMM - Odpaliłem ją, włączyłem, wiem, że jest dobra, była nagradzana, wyłączyłem i nie jestem w stanie czytać gier.
3545:  BFP - No dobra, to wejdziemy na stream, a ja będę grał, a ty będziesz patrzył.
3548:  BFP - Będę ci referował.
3549:  KMM - No nie wiem, jak to inaczej zrobić.
3551:  KMM - Zrobisz voice acting.
3552:  BFP - Jak będziemy robili serię o...
3555:  BFP - trzydziestu, pięćdziesięciu najbardziej bez schematu światach przedstawionych, albo najlepiej zaprojektowanych światach w popkulturze i mediach, to tam nie może nie być Planescape Torment.
3565:  BFP - To już mówię wprost.
3566:  GW - Zdecydowanie.
3569:  GW - To szybciorem tylko ode mnie, w przyszłym roku, na tyle na ile się orientuję, oczywiście pomijając to, o czym wy wspomnieliście, to tutaj tylko jak najbardziej poprę, to Northman Roberta Eggersa z filmów, z seriali Last of Us Craig'a Mezzina i z gier, pomijając oczywiście God of War i Horizon, no to Bayonetta 3.
3596:  BFP - No ale żeś rzucił dobre pozycje, faktycznie.
3599:  BFP - Słuchajcie, czekamy na wasze topki w komentarzach i naprawdę, o Jezu, my uwielbiamy wasze komentarze.
3606:  BFP - Nawet jak się pojawia Gottfried z Bouillon i mówi, że jesteśmy kakoldami, spoko, spoko, przynajmniej śmiesznie się rozmawia.
3613:  BFP - Także słuchajcie, no dawajcie komentarze, piszcie co sądzicie o naszych topkach.
3618:  BFP - Subskrybujcie Bez Schematu, ale jak klikacie dzwoneczek wybierzcie też wszystkie i ja ze swojej strony życzę Wam naprawdę lepszego 2022 niż ten rok, który mija, bo 2021 okazał się jednak po prostu w prostej linii sequelem 2020 w bardzo wielu poziomach.
3635:  BFP - Cieszę się, że mogę z Wami Panowie prowadzić Bez Schematu, to jest dla mnie wielka, wielka przyjemność.
3640:  BFP - Mamy śmiałe plany z Krzysztofem na 2022, będziemy robili pierwszego live'a Bez Schematu, w którym powiemy więcej.
3647:  BFP - Just stay tuned and stay with us.
