🔴 Thrones of Delay — WARHAMMER 3 (frakcja Dawich i Imperium)
🔗 https://www.youtube.com/watch?v=httWILQnfRQ

73:  Czemu?
7503:  Jeśli w przyszłości wyszłyby Total War historyczne z okresu po wynalezieniu czerwonego prochu, to jest szansa, że bym zagrał w historyczne.
7508:  Nie, szanak o, ja o mi, ale na pewno będę grał w Warhammera 40 tysięcy, który ma wyjść po Warhammerze tym.
7514:  I to całkiem niebawem.
7516:  Amethyst Magistrix.
7519:  O!
7520:  Strzelcy.
7521:  Dobrze, to mnie cieszy.
7523:  To mnie cieszy.
7525:  Iii... to nam da jakąś sensowną w miarę siłę.
7530:  Zastanawiam się jeszcze nad jakich rajtarzy są kiepscy, natomiast ci z Grenadierzy, oni są dobrzy.
7537:  I to tak konkretnie.
7538:  Dobrze, to przeciekamy sobie jeszcze jedną turę tutaj, myślę, i później ruszymy na Fyldorf.
7545:  I podbijemy w ten sposób Soland.
7547:  Skort info Total Warhammer 40 000 potwierdzone już jest przez Creative Assembly Legend of Total War robił na ten temat materiał.
7556:  Dlaczego nie grasz jaszczuro ludźmi?
7557:  Ponieważ nie było reworku.
7560:  A będzie Kirunia, musi być rework jaszczuro ludzi.
7564:  Wszystkie frakcje Starego Świata mają dostać rework i Starego, znaczy Starego Nowego Świata także.
7575:  W Warhammerze 40 jest mniejsza liczba frakcji?
7577:  To może akurat być na... Wyjść na dobre.
7584:  Czterech... Wystarczy.
7588:  Strzelcy.
7592:  Myślę, że Dothenbach...
7594:  Będziemy wznosić.
7595:  Dobrze, tutaj przynajmniej na północy jesteśmy zabezpieczeni przez naszych imperialnych sojuszników, to jest dobra wiadomość.
7606:  Śmierdzący ląd chce z nami paktować nawet bardziej niż myślałem.
7609:  Doskonale.
7612:  Czy bez DLC Balthasar Geld też zaczyna w Kitaju?
7614:  Tak, był update 5.0, który zmienia rzeczy.
7617:  To jest po to prawdopodobnie, żeby nowa frakcja, która jest dopakowana w nuln, mogła się lepiej rozwijać.
7623:  Ale chyba Balthasar Geld ma opcję powrotu z Kitaju.
7627:  Troszeczkę tak, jak w przypadku Imrica.
7630:  Co mi się nie podoba w Alekino?
7632:  Strasznie nachajpowana postać, która jest skokiem na kasę i którą się nie gra przyjemnie.
7638:  Mam podobne wrażenia, jak kiedyś dałem się namówić na Kamisato Jednoprzyciskato, po czym nie użyłem ani razu tej postaci, bo została przebita przez inne lepsze.
7652:  Potem sobie postanowiłem, że będę w gęślinie inwestował wyłącznie w Archontów.
7657:  Ewentualnie postaci, które są histerycznie potężne, albo są prawdziwymi archontami, jak chociażby Smoku z Fontaine.
7668:  Dobra, jakie mamy szanse tutaj?
7676:  Artyleria jest.
7680:  Mamy dużo strzelców.
7683:  Będziecie mieli przykład jaki to jest pain podbijać osadę.
7696:  czy polecam drogę cienia Brenta Wicksa, jest znacznie gorsza od czarnego pryzmatu, który polecam niezmiennie.
7704:  I czyta się to strasznie źle na początku.
7707:  Więc teraz się przebijam akurat i mogę wam śmiało powiedzieć, że czarny pryzmat startuje od pierwszej strony,
7714:  A tam się akcja plezie, że ojo, boziu!
7718:  Karminowy smok tego lorda ma atomic breath, niczym Godzilla.
7721:  Swoją drogą, byłem wczoraj na Godzilli, tej najnowszej.
7725:  Jestem zachwycony, ponieważ umarło mi 17 szarych komórek.
7729:  Dokładnie tyle, ile liczyłem.
7732:  Od której strony będzie lepsze podejście?
7734:  Chyba tutaj będzie krócej.
7737:  Tak, bo tutaj krążymy.
7739:  A tu mamy względną prostą drogę.
7744:  Względnie prostą.
7748:  Okej.
7749:  No tak, tylko że tutaj jest pipsztylion baszt.
7754:  Tutaj są dwie.
7756:  No i to rozstrzyga wszystko.
7765:  No nie lubię oblężeń w tej części.
7767:  No naprawdę ich nie lubię.
7777:  Nawet nie mogę sprawdzić zasięgu tych wież, to jest problem.
7782:  No nic.
7783:  Mamy tu jeden oddział.
7788:  I robimy tak.
7796:  No niestety, musimy obydwie zwierzę zniszczyć.
7802:  Może tak nawet.
7802:  Zrobimy.
7806:  To niby są chusteczki do nosa, ale... Czemu byłeś na tym czymś w kinie?
7813:  Potrzebowałem, Aniu, żeby zmarły mi szare komórki bardzo, bo byłem tak już przeciążony intelektualnie rzeczami uczelnianymi w tym tygodniu, że potrzebowałem...
7826:  Dowiedź Wojacki wymienia potencjalne frakcje w czterdziestce.
7828:  Imperium, cztery frakcje chaosu, Tau, Orkowie, Eldarzy, Mroczni Eldarzy, Tyranidzi, Nekronit, wystarczająca liczba frakcji.
7833:  Poza tym mogło zabić subfrakcje.
7836:  Zawsze.
7863:  Dobra, stop.
7869:  I teraz ostrzeliwujemy.
7872:  Engineer here!
7876:  W ogóle kilka filmów Suda Gibi będzie w kinach.
7878:  Spirited Away, Księżniczka Mononoke i ruchomy Zamek Hauru.
7880:  O, jak super!
7885:  Dobra, jest teraz szansa, że sporo ich ustrzelimy.
7888:  Druga rzecz, którą możemy zrobić, to podprowadzić tutaj łuczników.
7891:  Na tym etapie.
7896:  Samo Imperium, pisze Gen Greyman w 40, można podzielić na Gwardia, Astartes, Mechanicum, Muni Storm i Inkwizycję.
7903:  Ja uważam, że oni oczywiście zrobią herezję Horusa, więc wiecie, będą mieli fabułę praktycznie gotową.
7910:  Okej, ty wykańczaj Lorda.
7913:  Mistrza nekromancji.
7914:  Pono.
7915:  Zobaczymy, czy jest faktycznie mistrzem.
7921:  I to jest to.
7921:  I oni się tutaj będą poruszać teraz w nieskończoność.
7924:  Dobrze.
7925:  Stop.
7930:  Tu trzeba to zrobić troszeczkę inaczej.
7932:  Wypuścić mianowicie jakiegoś lorda albo bohatera i wtedy.
7940:  Kołam to, że Imperator Francji ma już minusów za wchodzenie na terytorium Imperium.
7943:  Oj tak, oj tak, wreszcie.
7947:  Dobrze, tutaj przygotujemy sobie jeszcze te oddziały.
7951:  Mam pewien plan, sprytny.
7967:  Ok.
7968:  Czy oni się tu wszyscy zgromadzili?
7969:  Nie, oni cały czas są po całym mieście rozbiegani, jasne.
7974:  Czy w Imperium są nekromanci?
7976:  No właśnie, pierwsza postać taka, która jest czarodziejką Collegium Ametystu.
7981:  I wygląda jak nekromantka, ale nią nie jest.
7984:  A mój błąd był na początku.
7989:  Krzysztof, po co rekrutowałeś płuczników?
7991:  Właśnie po to.
7995:  I knew it!
7999:  Przycisy strzelają po paraboli, dzięki czemu parabole tańczą.
8004:  Dobra, teraz tak.
8005:  Tutaj stara strategia.
8014:  Okej.
8016:  Ehehe.
8020:  No, bardzo dobrze.
8021:  I Elsbeth sobie tutaj podprowadzimy, jak tylko strzelcy przyjdą.
8028:  Good.
8031:  Strzelać Ty ty ty Artyleria Przestać strzelać Dobrze, bardzo dobrze
8064:  Elsbeth, a walnęłaś swoim zaklęciem, czy nie walnęłaś?
8068:  Elsbeth mnie rozczarowuje.
8072:  170 dodatek?
8072:  Dużo, dużo z Aramantis.
8073:  Bardzo dużo.
8074:  Nie będę mówił, że nie jest to dużo.
8079:  Mogę coś ulepszyć w szkole artylerii przed bitwą za schematy?
8083:  Mogłem.
8084:  Fakt.
8087:  Zapomniałem.
8090:  No a Hellstorm może walnąć tutaj.
8093:  Dobra, dobra, stop, stop, stop, raczej ich podprowadzimy.
8097:  Troszeczkę bliżej.
8099:  Łucznicy strzelają.
8101:  Dobrze, strzelajcie w czarnych rycerzy może.
8105:  Dobra.
8107:  I teraz tak.
8109:  Tu raz.
8111:  O!
8117:  Nie będzie proste, ale się musi udać.
8122:  Dobra, trzy oddziały damy radę tutaj zmieścić.
8127:  Ten będzie rezerwowo.
8129:  Gdyby coś tutaj się niedobrego stało.
8136:  Okej.
8138:  Można przyzywać elektorów jako dodatkowe armii napierdelać, jeżeli się gra Francem, tak?
8143:  Karl Franza jest dobry.
8146:  Wreszcie!
8147:  Wreszcie imperator jest jak imperator, prawda?
8149:  Wcześniej była tragedia.
8151:  Co robią łucznicy?
8152:  To co zawsze.
8153:  Zapomniałem włączyć automatyczny tryb strażniczy, chociaż i tak on czasem nic nie daje.
8160:  No i teraz tak.
8165:  Czy będą ostrzeliwać ich, czy nie?
8171:  Chyba tak.
8173:  Dobrze, dobrze, bardzo dobrze, bardzo dobrze.
8176:  Hehehehehe.
8181:  Kot!
8182:  Kot!
8182:  Kot!
8182:  Kot!
8182:  Kot!
8182:  Kot!
8182:  Kot!
8182:  Kot!
8183:  Kot!
8183:  Kot!
8183:  Kot!
8183:  Kot!
8183:  Kot!
8183:  Kot!
8183:  Kot!
8183:  Kot!
8183:  Kot!
8183:  Kot!
8183:  Kot!
8183:  Kot!
8184:  Kot!
8184:  Kot!
8184:  Kot!
8184:  Kot!
8184:  Kot!
8184:  Kot!
8184:  Kot!
8184:  Kot!
8184:  Kot!
8185:  Kot!
8185:  Kot!
8185:  Kot!
8185:  Kot!
8185:  Kot!
8185:  Kot!
8185:  Kot!
8185:  Kot!
8186:  Kot!
8186:  Kot!
8186:  Kot!
8186:  Kot!
8186:  Kot!
8191:  Kot!
8193:  Kot!
8193:  Kot!
8193:  Kot!
8193:  Kot!
8193:  Kot!
8194:  Kot!
8194:  Kot!
8194:  Kot!
8194:  Kot!
8194:  Kot!
8194:  Kot!
8194:  Kot!
8194:  Kot!
8194:  Kot!
8194:  Kot!
8197:  Kot!
8197:  Kot!
8197:  Kot!
8197:  Kot!
8197:  Kot!
8197:  Kot!
8197:  Kot!
8197:  Kot!
8197:  Kot!
8197:  Kot!
8198:  Kot!
8198:  Kot!
8198:  Kot!
8198:  Kot!
8198:  Kot!
8198:  Kot!
8198:  Kot!
8198:  Kot!
8198:  Kot!
8198:  Kot!
8198:  Kot!
8199:  Kot!
8199:  Kot!
8199:  Kot!
8199:  Kot!
8204:  Kot!
8205:  Kot!
8205:  Kot!
8205:  Kot!
8205:  Kot!
8205:  Kot!
8205:  Kot!
8206:  Kot!
8206:  Kot!
8206:  Kot!
8208:  Kot!
8208:  Kot!
8209:  Kot!
8209:  Kot!
8209:  Kot!
8209:  Kot!
8209:  Kot!
8209:  Kot!
8209:  Kot!
8209:  Kot!
8209:  Kot!
8210:  Kot!
8210:  Kot!
8210:  Kot!
8210:  Kot!
8210:  Kot!
8210:  Kot!
8210:  Kot!
8210:  Kot!
8211:  Długi.
8214:  Ale nie, niestety.
8216:  Za dużo modeli jednostek.
8223:  Kot, kot, kot, kot, kot, kot, kot.
8227:  Jak tam ucznicy?
8228:  Radzą sobie jakoś.
8231:  Dobrze, tych możemy tutaj przenieść.
8234:  Magia nekromancji przy Majestic Dwarves pochodzi od Nagasha.
8238:  O jak ja bym chciał wreszcie grać Nagashem, bo byłoby cudowne.
8241:  Ujmę go jako spotkonego maga śmierci.
8242:  Maga śmierci wykorzystał energię naturalnej śmierci morru, bo przyzywanie nieumarłych nie jest naturalne.
8247:  Na wschód Nagash.
8253:  Engineer here.
8258:  A matter of locomotion to jest chyba najgłupszy tekst jaki słyszałem w całym swoim życiu w tej grze.
8266:  Dobra, wyeliminowani.
8277:  Nagaśłos weak.
8281:  Ktoś tak mówi, nie?
8284:  Nie pamiętam już kto na tym etapie.
8287:  Wrażenie, że... Nie strzelają wszystkie rakiety?
8291:  Chyba nawet, chyba tak, chyba tak.
8298:  Spróbujemy ich ostrzelać tutaj, w tym miejscu.
8301:  Manfred to mówił, faktycznie!
8303:  Czy zdarzyło mi się odbić do odgry przez motorykę postać?
8305:  Odbyłem się od Skyrima, Glitwola i od Wieśka 2, bo sterowanie jest sztywne i kompletnie tracę imersję.
8309:  To jest naturalne laseromanto.
8310:  Między innymi dlatego zawsze tak walczę o to, żeby w grach były dobrze zaprojektowane tego rodzaju systemy.
8318:  I bardzo się denerwuję, jak ludzie tego nie rozumieją.
8321:  Można się bardzo odbić.
8324:  Strzelać!
8324:  Strzelać w niego!
8326:  Kompania!
8329:  Strzelać!
8331:  Głupie zombiaki.
8336:  Dobra, dobra, dobra, dobra, dobra.
8340:  Najdziwniejsze oblężenie ever.
8346:  Ostrzeliwanie przez dziurę i wyłom w murze.
8351:  Może przypomina mi się ta najsmutniejsza scena gry o tron, jak powstał wyłom w murze.
8355:  Ojej, jak ja wtedy płakałem.
8356:  Ja jestem człowiekiem, który bardzo nie lubi wyłomów w murach, w ogóle nie lubię niszczenia, dlatego tak denerwuję się, jak garnizony padają.
8363:  Nie znoszę, jak ktoś niszczy moje miasta.
8364:  To już rok, pisze Daniel Mazur.
8366:  Prawda jak leci czas?
8367:  Dzięki za wsparcie od 12 miesięcy.
8372:  Okay.
8374:  Engineer here!
8375:  Inżynier jest najbardziej heroiczny ever.
8379:  Nam więcej ta wieża zadała obrażeń niż same wąpierze.
8383:  Nie wierzę.
8385:  Jak nazywa się Mucha bez ucha?
8387:  Pyta Dominika jemnikotwórczyni Kimczak.
8389:  Mmm!
8396:  Dominika jemnikotwórczyni Kimczak jak zawsze dowozi.
8399:  Dowozi i w postaci emoji, i w postaci najsukszych dochcipów.
8405:  A new view!
8408:  Ooo!
8421:  Niespodzianka!
8439:  Ładnie, ładnie sobie kosą poczyna Erzbeth.
8442:  No kto je przypuszczał?
8444:  Wprawdzie oberwaliśmy bardziej od naszych niż od kogokolwiek innego, ale co tam.
8450:  Dobra, jak tam sytuacja?
8452:  Są już nieliczne jednostki wroga, więc myślę, że możemy Erzbeth powoli posyłać naprzód.
8462:  Okej, łuczników już prawie nie mamy.
8466:  Mam nadzieję, że będzie jakaś opcja zboostowania ich.
8474:  Fire!
8476:  Fire of desire!
8478:  Czy będzie kiedyś Skyrim?
8479:  Chciałbym Crysk58.
8480:  Musimy poczekać, aż będzie sezon ogórkowy.
8484:  Zmoduje się Skyrima i się zagra.
8490:  No dobrze, dobrze.
8491:  Zombiaki ostrzeliwane, to lubię.
8493:  Lubię takie rzeczy widzieć, bardzo dobrze.
8499:  Zachęciliśmy ich częściowo do ataku.
8501:  Czy to możemy zniszczyć?
8502:  Spróbować przynajmniej.
8504:  Zobaczymy, jak to będzie z tym strzelaniem.
8506:  Czy dzieła są w stanie zniszczyć coś, co widzą?
8513:  No, chyba?
8516:  Jest jakaś szansa.
8519:  Ale zobaczymy.
8521:  Chciałbym, żebyśmy mieli już jakąś magię, Elsbeth, to byłoby cudowne.
8527:  Nie widzę motyfikacji do Screama w moim wykonaniu.
8529:  W moim wykonaniu nie umiem robić takich rzeczy.
8532:  Kłam, że Imperator nareszcie ma Mechaniki Imperatora, cieszy się Majestic Dwarves.
8541:  No.
8542:  Dobra.
8546:  Nie, nie!
8548:  Jest!
8550:  Proszę bardzo.
8550:  No, no i to rozumiem, tak?
8555:  To rozumiem.
8561:  Krzysztof się przejęzyczył, nie mam na myśli Skyrima, mam na myśli Enderal, pisze Ken Graham, który zachęca do tego, żeby zagrać w Enderal oraz trybutuje, za co serdecznie dziękuję.
8571:  Zawsze mnie niepokoi, jak Dominika, mnikotwórczynik Limczak, pisze coś kapslokiem na czacie.
8575:  Mam wrażenie, że to do mnie wtedy.
8579:  A chodziło o to, jakie mody bym zainstalował.
8581:  O nie, to ja bym wlazł na jakąś stronę, gdzie ktoś by mi doradził, jakich potrzebuję i to byłyby głównie wtedy mody graficzne, bo ja... No i chyba usprawniające Interface, bo projekt Interfaces w Skyrim jest strasznie zły.
8595:  Rozkład duszy.
8599:  Zagładaj mrok.
8601:  Zagładaj krok czy rozkład dupy?
8602:  To jest pytanie.
8606:  Why not both?
8610:  Okej, Feidolf jest nasz.
8613:  Może rosnąć.
8617:  Okej.
8620:  15 minut klepy o zamek, to mogło trwać 5, ale zachowanie AI robiło swoje.
8623:  No no właśnie, to jest to, co ja mówię.
8625:  Dobrze, mamy następne... O!
8626:  Ogrody Morra!
8630:  Czekajcie, naprawdę, to jest rewelacja jakaś, co tu się dzieje.
8633:  W ramach swych tajemnych studiów, Elspeth podróżuje między czarnymi wieżami rozlokowanymi w ogrodach Morrra.
8640:  Zabiera ze sobą swoje repozytorium mocy nasycone magią czarodzieja w Forzrickach, dzięki czemu może zgromadzić i przenosić swoje wojska oraz zgromadzone cenne artefakty na dużą odległość.
8652:  Dostępna teleportacja, dostępna budowa... O co tu chodzi?
8656:  Zbuduj nowe ogrody Morrra.
8663:  Zbudowałem.
8665:  What now?
8672:  Czemu one akurat muszą być w Wiesenburgu, a nie mogą być w jakimś ufortyfikowanym miejscu?
8678:  Łooo!
8681:  Udostępnia garnizon, no nie wierzę!
8685:  Ametystowe kolegium.
8687:  To sobie zbudujemy w jakiejś fortecy lepszej.
8692:  Pozwala na werbunek zawodowych jednostek elitarnych rycerzy Morra.
8698:  Jesus Christ.
8709:  Hmm.
8711:  Nie jest takie głupie.
8713:  My będziemy mieć większy garnizon tutaj.
8715:  Bo to jest bardzo często atakowane miejsce.
8718:  Wiesenburg mianowicie.
8719:  Wystarczy, że tutaj przyjdą wąpierze.
8721:  Dobrze.
8722:  Fajnie.
8728:  Za pięć tur możemy nowe zbudować.
8730:  Okej.
8730:  Czyli w każdym mieście możemy?
8732:  Tak.
8733:  Ale ciekawe.
8734:  Super.
8737:  Super.
8740:  Okej.
8745:  Czy jutro na live'ie o fantastyce planach czytarka?
8748:  Bardzo możliwe, zobaczymy.
8751:  Krzysztof, jesteś pierwszą osobą, która nie powiedziała mi, że źle zagrałem w SkyMesh, sterowanie nie jest ważne, żebym zwiedzał świat, bo ja jestem po stronie Laseromanto projektowania doświadczeń podużytkownika, a nie zmuszania użytkownika, żeby klękał i czcił twórców.
8769:  Nie znoszę tego, niezależnie od tego, czy to jest w odniesieniu do literatury, czy to jest w odniesieniu do gier wideo.
8776:  Otóż tego nie mogę z jakiegoś powodu zrobić.
8779:  Wciąż nie wiem jak... A, okej.
8781:  Dokonaj trzech ulepszeń w szkole inżynierskiej.
8783:  Aktualnie jeden na trzy.
8784:  Okej.
8786:  Jezu, co to jest za jednostka?
8787:  Okręt lądowy?
8790:  Co?
8794:  Jaki okręt lądowy?
8795:  Dobra, czołgi parowe na pewno potrzebujemy.
8799:  Czołg parowy z piekielnikiem?
8801:  Jesus Christ!
8803:  Dobra, Imperium zostało bardzo zbuffowane.
8806:  Bardzo.
8810:  Łucznicy.
8812:  Flaminguel dzięki wsparciu od 16 miesięcy.
8816:  Czy oglądam czasem turnieje Total War'a komentowane przez Turina?
8819:  Nie, w ogóle sceny multiplayer'owe nie śledzę.
8822:  Nawet nie mam osiągnię... Jedyne osiągnięcia, których nie mam w Warhammerze 2, to są z multiplayer'a.
8828:  Włączcie z jednym osiągnięciem.
8829:  Rozegraj jedną bitwę multiplayer.
8833:  Jakie inne uniwersum Fatazy nadawałyby się do Talwora?
8837:  Archiwum Burzowego Światła.
8839:  O, powieści z Mekkańskiego Pogranicza.
8841:  Łooo, jakby to się nadawało.
8842:  Piękna sprawa.
8845:  Z okrętami lądowymi jest historia taka.
8847:  Marienburg po zazdrości imperium czołgów parowych chciał mieć własne, ale oryginalnemu w Nelasty zginęło się w wypadku i nie zostawił planu.
8855:  Dostatecznie mocno zmodowany Skyrim pozwala wypalić do ostatniej tekstury i mechaniki brzydotę pozostawioną tam przez Baktezdę.
8861:  2000 plus modów, aha.
8863:  2000 modów to dużo.
8864:  Wściekli bogowie?
8865:  Zawsze.
8868:  Wiecie co teraz zrobimy?
8870:  Wyeliminujemy ich!
8875:  Biorę natychmiast.
8878:  Absolutnie.
8882:  To jest tak irytująca frakcja, że jak tylko można ich dorwać, to się bierze.
8892:  Łucznicy zamiast tego dziadostwa.
8898:  Zagładaj mrok.
8899:  Zagładaj mrok.
8902:  Dziesięć przysiadów dla widza?
8905:  Daj spokój, Clever One, czy chcesz, żebym ja się... Chyba muszę wyłączyć klimę.
8914:  Czy chcesz, żebym ja umarł?
8937:  Ja bez wspomagania, moi drodzy, na EMS jestem w stanie zrobić następujące przysiady.
8959:  Właśnie takie.
8961:  Inne EMS.
8966:  Szymonie, dzięki za wsparcie od 25 miesięcy.
8971:  Szybkość.
8972:  Dodatkowy proch, wreszcie!
8976:  Tak.
8977:  To jest zasadzanie się do stolca, tak jest.
8980:  Zupełnie jak w przypadku pomniku JP2 w Parku Strzeleckim.
8987:  Który właśnie zasadza się do stolca.
8990:  Proszę bardzo.
8993:  Dowód.
8995:  Mówiłem?
8998:  Mówiłem?
9000:  Koszmarny absolutnie.
9001:  Bardzo ubolewaliśmy w Krakowie jak powstał.
9004:  Creative Assemblage wezmie się za Lord of the Rings?
9017:  Nie sądzę.
9020:  Rock kiedyś tak robił pompki na live'ie?
9022:  Jezus mój, w życiu bym nie był w stanie.
9025:  Ja w ogóle w życiu nie zrobiłem więcej niż pięciu pompek, nigdy nie byłem w stanie.
9029:  Miałem zawsze za słabe ręce do tego.
9032:  Krótko mówiąc, ja nie jestem w ręce mocny.
9035:  Ooo, pięknie.
9040:  Okej, tu są Dawii.
9042:  Pytanie, czy nie chcemy w pierwszej kolejności Fort Sol, ale nie, nie, nie, nie, nie.
9047:  Że oni zginą tak czy siak.
9049:  Czy ktoś z kimś walczył?
9050:  Nie.
9053:  Jaka szlachetna porażka!
9057:  Co to za bzdura?
9060:  Dam szlachetną porażkę.
9066:  Walczymy.
9070:  Ja w życiu nie zrobiłem żadnej bombki przed ważką, ja też nigdy.
9073:  Ja dopiero zacząłem ćwiczyć sensownie jak dostałem trena personalnego i sensowniejsze ćwiczenia.
9078:  Chociaż szczerze, pompki trzeba robić umiejętnie, tak samo z brzuszkami jest.
9083:  Znaczy ja nie wiem jakim cudem byśmy mieli to przegrać, ale wiecie, ja znam też swoje możliwości.
9090:  No oczywiście.
9092:  Genialna mapa, nie?
9094:  Taka fajnie się rozstawić tutaj z artylerią.
9098:  No, będzie rozkosz aż bierze człowieka na myśl o tym flankowaniu.
9103:  Rozkosz.
9105:  No cudownie, bo świetna mapa, świetna, uwielbiam to.
9110:  Nie jestem w stanie zrozumieć po cholerę są te mapy z takim ukształtowaniem terenu, nawet nie mam zielonego pojęcia.
9117:  Ono jest przegięte.
9118:  Trzeba byłoby się postarać, żeby znaleźć takie ukształtowanie terenu w rzeczywistości.
9128:  Nie, no nie mam zielonego pojęcia co tutaj zrobić.
9130:  Chyba w tym miejscu jest najlepiej.
9135:  Ale my atakujemy, więc teoretycznie... Ja nigdy nie wiem jak się AI zachowuje, to też jest problem.
9143:  Więc nie wiem czy oni nas zaatakują czy nie zaatakują.
9145:  Teoretycznie my zaatakujemy, więc powinniśmy móc się ustawić, ale cholera wie w sumie.
9149:  Handgunners!
9157:  Wrogu to nie jest czizowanie, to jest jedyna strategia, która działa w tej grze, inaczej się przegrywa.
9161:  Albo to robisz, albo przegrywasz.
9173:  No nie, oni ruszą, jak znam życie.
9176:  No, oni ruszyli, oczywiście.
9182:  Dobrze...
9194:  Dobra.
9195:  Ja atakuję jak masz przewagę zasięgu lub wymusisz zakręciami.
9198:  Nie zamierzam rzucać żadnych zakręć na razie, ale przewagę zasięgu mogę mieć.
9205:  Tylko, że ja tej przewagi zasięgu w tym momencie nie wykorzystuję, przez to, że usiłuję się rozstawić, a oni atakują mnie całą tyralierą.
9215:  Dobra, spróbujemy zrobić tak.
9217:  Wypuszczę ją.
9228:  Dobra, tutaj ci.
9231:  Zmodyfikujemy troszeczkę.
9238:  Dobra, strzelajcie już.
9243:  Okej, okej, okej, okej.
9245:  Trochę, trochę... Bardzo dobrze, niech wariują, niech wariują.
9249:  Niech wariują, o to chodzi.
9255:  Zamówiono tutaj piechotę?
9256:  Nonsens, piechota w tej grze jest beznadziejna.
9258:  Nie znoszę.
9262:  Ona jest po to, żeby przegrywać.
9268:  Dobra, tutaj.
9276:  Okej.
9278:  No.
9279:  Nie umiem tylko flankować, there's only one thing I can do!
9291:  Piechota czeka, aż przyjdzie wróg i zacznie ją zabijać, a strzelcy strzelają.
9297:  To jest ta przewaga.
9302:  Dobra Strzelać mi tam Tych możemy wysłać tam Dobra Mhm
9338:  Strzelaj mi w tych tutaj.
9343:  Dobra, gdzie jest dyscyplina minus 16?
9346:  Czy ja mogę zrobić to?
9350:  Tak?
9359:  Co oni robią?
9360:  Czemu oni łażą?
9362:  Przestań łazić jak debil!
9365:  Boże, jakie to jest irytujące.
9381:  Dobra.
9382:  Co oni robią?
9384:  Czemu głupoty?
9390:  Dobrze.
9397:  No nie no, po prostu całą przewagę artyleryjską, którą byśmy mieli, straciliśmy przez to durne ukształtowanie terenu, no.
9405:  Ale przynajmniej ta flanka ma się lepiej troszeczkę.
9408:  Nawiasem mówiąc, wielkie działa, jak zawsze, zadają żenujące obrażenia.
9415:  Co ci robią, nie wiem.
9424:  Gdzie jest Elsbeth?
9427:  Co ona robi?
9432:  Co ci robią?
9434:  Co wszyscy robią?
9444:  O mój Boże!
9458:  Co im się stało teraz?
9464:  Dobrze.
9471:  Tutaj nasza dzielna, wspaniała piechota przegrywa.
9475:  Czyli robi najlepszą rzecz, którą umie.
9477:  On zadał ile?
9478:  Dobrze, 69 nice zabił.
9481:  Przynajmniej tyle.
9483:  Czy LSBF przestanie się wygłupiać?
9485:  Czy przede wszystkim nasi strzelcy przestaną ginąć, bo tak?
9488:  Dziękuję.
9489:  O, ci na przykład nie mogą strzelać, bo tak.
9492:  Cudowne, prawda?
9493:  Uwielbiam to.
9497:  Jesus Christ.
9503:  Zaczynam dochodzić do wniosku, że jedynym prawidłowym sposobem grania w Warhammera jest włączenie trybu łatwego z ułatwieniami na pierwszych 20 tur, a potem już granie normalne.
9519:  Dobra, ostrzelajcie tutaj.
9530:  Strzelać, strzelać do nich.
9533:  Jesus Christ, oni bez przerwy wracają.
9538:  Czy te działa mogą zacząć strzelać?
9543:  Elsbeth ginie powoli, doskonale.
9550:  Jezus, czy to jest jakiś stres, po prostu jakiś dramat, to co się tutaj dzieje?
9555:  Przecież to są jakieś randomowe jednostki, które powinniśmy rozpierniczyć.
9568:  Gdzie jest wczytanie?
9570:  Rzadko to robię.
9572:  Nie mogę wczytać.
9574:  Nie mogę wczytać.
9575:  To ja wczytam.
9576:  To jest po prostu nieprawdopodobne.
9583:  Nie, ukształtowanie terenu tam jest takie, że tego się nie da wygrać.
9588:  Autozapis... Tura szósta.
9590:  Tura szósta.
9598:  Ja wiem, że ja bym udał... Ja wiem, że ja bym był Majestic Dwarce bardziej... Znaczy, miałbym przewagę taktyczną, to w porządku.
9604:  Tu mieliście przykład, co się dzieje, jak się gra uczciwie.
9607:  Jak tyralierą atakuje wróg i mamy tyralierę też, a nie jesteśmy w rogu.
9611:  Nie da się grać w tę grę inaczej niż w rogu.
9614:  Po prostu nie da się.
9616:  Dobrze, wypierdalam tę cholerną piechotę stąd, bo się do niczego nie nadaję.
9622:  Będę się czuł lepiej, jak jej nie będzie.
9626:  Nieprawdopodobne.
9634:  W ciry straszne dostajemy dzisiaj, no.
9636:  Okropne.
9638:  No dobrze, przynajmniej jest wyzwanie.
9649:  Dobra.
9651:  Teraz tak.
9652:  No co, możemy zrobić.
9655:  Znowu stara... Mistrz Inżynier, ciekawe.
9657:  Mechanista, utrzymanie tempu uzupełnienia strat.
9662:  Okej.
9665:  Mianowicie, spróbujemy ich wywabić.
9671:  Jako, że grałem głównie krasnoladami, to się z Tobą zgodzę, ale często się nie da, bo przeciwnik flankuje wszystkim, czym się da.
9676:  Ta gra jest stworzona do tego, żeby być w rogu, a następnie ustawić sensownie w jakąś dobrą formację swojej jednostki, ponieważ na wyższych poziomach trudności przeciwnik ma nierealistyczne buffy do dyscypliny i będzie walczył do samej śmierci.
9694:  No i tu się dzieje dokładnie to, czego się obawiałem, to znaczy teraz ten wróg udał się cholera wie gdzie i teraz już go nie złapiemy.
9703:  Wystarczyło przeczekać jeden ten, no ale cóż zrobić.
9708:  Tak, w tym miejscu jest.
9709:  Dobrze.
9710:  Czekaj, on tutaj nigdy nas nie wesprze.
9716:  Okej.
9723:  Mhm, naturalnie.
9731:  Dobrze.
