🔴 Yuan-bo zwiedza terrarium z Mazdamundim — WARHAMMER 3 Yuan-bo #2
🔗 https://www.youtube.com/watch?v=Xd5wxHcz938

193:  Witam wszystkich najserdeczniej!
6953:  Strzelajcie w nich natychmiast.
6969:  Dobrze, bardzo dobrze.
6979:  Spróbujemy.
6982:  Spróbujemy bezpośredniej walki z nimi.
6987:  Dobrze, dobrze, dobrze, dobrze.
6988:  O to chodzi.
6989:  I teraz tak.
6990:  W koatla natychmiast.
6999:  Dobra, może się uda.
7000:  A nóż.
7000:  A nóż, a widelec.
7003:  Ojoj, tu się jakaś niedobra rzecz dzieje.
7006:  Strzelają w drzewa.
7007:  A miało być to spaczowane.
7009:  Przez ciebie pobieram Total War'a.
7010:  Bardzo dobrze!
7013:  Ojojojojojoj.
7015:  Koatl zmierza.
7018:  To zabawne, ponieważ zaraz go unieruchomimy.
7021:  Tylko musi być tam, gdzie będzie zasięg kuszników.
7023:  Więc za momencik dosłownie.
7025:  Za momencik.
7030:  Dobrze.
7031:  Strzelajcie w to skupisko.
7032:  Znakowicie.
7040:  Dobrze.
7041:  Czy kusznicy są już w zasięgu koatla, czy jeszcze nie?
7044:  Jeszcze nie.
7047:  W co wali koatl?
7052:  Dobra, chyba teraz.
7056:  Kusznicy.
7057:  Strzelać w koatla natychmiast.
7064:  Oj, oj, oj, oj, oj.
7066:  Dobrze.
7067:  Zmieniamy się w smoka.
7072:  To już ginie.
7073:  To cholerstwo już ginie.
7079:  Oho.
7081:  Koatl znowu atakuje.
7082:  Dobra, walnimy tutaj.
7085:  Czym jesteśmy w stanie?
7088:  Oooo.
7096:  Kusznicy, czy ja się doczekam kompetentnej walki z waszej strony?
7110:  Autentycznie, jeżeli to przegramy, przestaję raz na zawsze w ogóle rekrutować te nieszczęsne lwy.
7124:  Zresztą cały czas strzela w koatle.
7125:  Tak, ponieważ one są nieśmiertelne najwyraźniej.
7136:  Zresztą te wszystkie zaklęcia, które my wrzucamy, powinny tę armię eliminować całkowicie.
7144:  Boże, wyeliminuj tego cholernego koatla, no przecież szlag jasny trafi.
7161:  Dobra.
7170:  Ta nasza magia nic nie daje, mam wrażenie.
7173:  Dlaczego ja to tak często muszę mówić?
7176:  Boże, Mazda Mandy nagle... Mazda Mandy się poczuł silnym żołnierzem.
7186:  Dobra, wyeliminujmy Mazda Mandy'ego natychmiast, bo mnie szlag jasny trafi.
7198:  Boże, dlaczego ta armia nie walczy?
7203:  Ja już zrobiłem wszystko.
7206:  Te lwy są do dupy, moi drodzy, tak stwierdzam.
7210:  Nie da się nimi walczyć.
7213:  Cała nasza armia nieustannie ucieka.
7216:  Kuśnicy nie strzelają.
7219:  Czy to jest jakaś satyra kompletna?
7224:  Kompletnie jesteśmy niekompatybilni, jeżeli chodzi o te lwy.
7227:  One nie trzymają pola.
7230:  Cały czas uciekają tylko.
7231:  Widzicie?
7231:  Nonstop uciekają.
7233:  Niesamowite.
7235:  A Mazda Mandy się rozpanoszył i atakuje naszych wszystkich kuszników.
7242:  Bezużyteczne wojsko.
7244:  Dramat.
7246:  O Boże, następny koatel nie do zwyciężenia.
7249:  Nie, nie, nie, nie, nie, nie, nie, nie, nie.
7252:  Wycofać się.
7253:  A, ja się nie mogę wycofać?
7254:  Jakim cudem ja się nie mogę wycofać?
7260:  Dlaczego ja się nie mogę wycofać?
7264:  Co?
7266:  Co?
7268:  Przecież to była zasadzka.
7270:  Dlaczego zasadzka nie zadziałała?
7273:  Ja nie wierzę.
7278:  Ja po prostu nie wierzę.
7281:  Ile tych kotlów on ma!
7284:  Gdy gołąb odpoczywa, sokuł wzlatuje, nie inaczej.
7291:  To jest jakaś parodia absolutna.
7295:  Ja znowu muszę teraz wracać do... Ja całkowicie eliminuję jakiekolwiek lwy z tej armii.
7302:  Całkowicie.
7303:  Frakcja Moratti?
7304:  Nie lubię grać Dark Elfami, że ci powiem, Probercie.
7307:  Krzysztof jest rasistowski Warhammerowo.
7309:  Won mi, won, won.
7312:  Won.
7313:  Musimy mieć dwie armie na niego.
7315:  No autentycznie, będę rzucał dwie armie i rozstrzygał automatycznie bitwy.
7322:  O!
7323:  Sławne regimenty!
7324:  Jeźdź na wielkich tasach!
7327:  Świetnie.
7328:  Z pewnością nam pomogą.
7329:  Już widzę, jak będą szybko ginąć.
7334:  Gdzie on się w ogóle wycofał?
7337:  Dobra, zablokujmy Mazdamandiego.
7339:  Albo rańmy.
7340:  Krytyczna pora... Sorcery!
7343:  Umi!
7345:  Nie zostawcie nic poza mną!
7350:  Krytyczna porażka.
7352:  Bezkrytyczna, more like.
7355:  Co myśmy stracili?
7356:  Straciliśmy jedno wielkie działo, moi drodzy.
7362:  Niebiańscy Smoczy Kusznicy.
7368:  Biorę ich.
7375:  Dramat.
7376:  Lwy są beznadziejne, bo zamiast walczyć, sikają pod siebie.
7378:  Nie, no po prostu są beznadziejne, bo są pierwszo-levelowe, nie?
7382:  A oni wysyłają na nas armię, która ma jakieś gigantyczne boosty.
7386:  Ja nie mam, szczerze powiedziawszy, pojęcia, w jaki sposób sobie z nimi poradzić bez dwóch armii.
7391:  Oczywiście, że przerżnąłem bitwę i to sromotnie.
7396:  Zawsze jest tak w Warhammerze, jeżeli stracicie pierwszą armię, to potem to już jest taka...
7405:  Beznadziejna walka przez cały czas i staranie się, żeby udało się znowu wrócić do formy.
7415:  Dziewiąty poziom, taktyk biurokrata.
7418:  Taktyk, taktyk, biurokratę weźmiemy.
7420:  Czy ja dobrze pamiętam, że on ma właściwą rzecz, to znaczy leczenie?
7425:  Tak.
7428:  I to może być rozwiązanie, moi drodzy.
7431:  To może być rozwiązanie.
7435:  Dobra.
7436:  Dobra.
7437:  Uspokajająca obecność.
7438:  Ofiarę minus 10 z wyczerpania.
7442:  To chyba będzie najlepsze.
7446:  I druga armia, moi drodzy.
7448:  Nie ma to tamto.
7449:  Dwa wielkie działa.
7454:  Dwa oddziały kuszników.
7458:  Dobra, i lecimy.
7461:  Z dwiema armiami nie ma szans.
7465:  Gorsza porażka niż to, co autoplay wygenerował?
7467:  Nie, lepsza.
7468:  Autoplay zawsze sprawia, że macie niestety stracone jednostki jakieś i to jest zasmucające.
7477:  Wyganie frontline i zastosowanie to flankowanie, więc obawiam się, że dobre jest w tym wyłącznie AI, bo AI umie wyłącznie flankować.
7484:  Jak to szło?
7485:  Trzy lwy w tarczy, dwa strają, a trzeci walczy.
7491:  Kto już wie od Dawida, że teina równa się kofeina?
7495:  To dobrze, bo piję dużo herbatki.
7499:  Lwy wyglądają na ciężkie, może byłyby skuteczne jako improwizowane amunice do katapult.
7502:  Ja wciąż mam nadzieję, że nim da się walczyć i jest to fajne.
7508:  Dobrze.
7510:  No, tu macie przykład autopleya, tak?
7512:  Nigdy w życiu byśmy nie mieli takich strat, ale już bym się nie chciało walczyć.
7518:  Ale chemik o rozbieganym spojrzeniu z dumą prezentuje bogato zdobioną skrzynię, która zdaje się to zyskiwać, to tracić namacalną formę.
7524:  Jak twierdzi, skrywa się w niej najczystsza magia.
7527:  Niestety czarodziej nie zdoła powtórzyć eksperymentu, dlatego rozważniej skorzystaj z jego daru.
7532:  Nie rób niczego.
7533:  Napijmy się herbaty.
7535:  Zobaczyłem napijmy się herbaty i od razu kliknąłem, nie zastanawiając się nad niczym.
7541:  da się dogadać.
7542:  Wiesz co, Barry, ja myślę po prostu, że Yuan Bo powinien być w innym miejscu mapy, bo jeżeli walczy z jaszczuroludźmi, to jest najgorszy sposób na walkę z jaszczuroludźmi.
7552:  Taka armia.
7552:  W życiu bym takiej armii nie wystawił do walki z jaszczuroludźmi, bym widział, Krzysztof, który wystawił taką armię.
7556:  Wystawił dlatego, że chciał zobaczyć, jak walczą lwy.
7560:  Hmm... Co myśmy stracili?
7562:  Działo.
7565:  Dobra.
7567:  Okej.
7568:  Tak.
7572:  Czy przychodzą do mnie co chwilę powiadomienia z Discorda?
7574:  Ja, moi drodzy, mam powiadomienia z Discorda w sposób trwały wyłączone, tak jak zresztą wszystkie inne powiadomienia.
7581:  Nie da się inaczej.
7586:  Lew nie sprzymierza się z Kojatem.
7588:  Ej, ja muszę mieć jakiegoś Sultana.
7592:  Gdy piasek przemieszcza się swobodnie po marmurowym krześle, tego dnia dłużą się godziny.
7600:  Żmija kąsa tych, którzy chodzą bez butów.
7604:  Nie inaczej.
7606:  Nie inaczej.
7613:  Dobrze.
7614:  Fit for a prick.
7617:  Tak, tak, tak.
7618:  Celestial Glory.
7619:  Nie zesraj się.
7620:  Przeżynasz bitwę za bitwą.
7621:  Żadna Celestial Glory to nie jest.
7625:  Dobrze, dobrze, dobrze.
7627:  O!
7627:  Frontline wreszcie jakiś.
7629:  Świetnie, będziemy mieli piekociarzy.
7632:  Tipy do serii Total War or Rome 2?
7633:  Graj na poziomie normalnym.
7637:  Koniec!
7638:  Koniec protipowania, tak serio?
7641:  Jakiś objaw dla Orionu!
7642:  Jakiś objaw dla Orionu!
7671:  Mhm.
7671:  Stracimy miejsce do rekrutowania kuszników.
7673:  Wiecie o tym, prawda?
7680:  O!
7680:  A to jest ciekawe.
7681:  Mazdamandi stąd zniknął.
7683:  Możemy odbić leży jaśminowego jamnika.
7685:  To dobra wiadomość.
7691:  Tak.
7699:  To on w zasadzie ma wszystko, czego chcemy od niego.
7704:  Jak stoi Lord w garnizonie, to źle?
7705:  No, tak, jednoręgi ma.
7707:  Generalnie rzecz biorąc, Lord jest od tego, no chyba, że jest taki do utrzymania porządku jak ten, żeby cały czas się poruszał z armią.
7713:  Prawda jest taka, że nawet jak się ma lekki deficyt, to nie jest źle w Total Warze, bo może zawsze tą armią podbić kolejne miasto, prawda?
7720:  Kamil Piekara jest... Jamnikołajem, moi drodzy!
7725:  Niuch!
7726:  Teraz mi nikt nie powie o złych kamerach.
7728:  Były dwie kamery naraz.
7729:  Dziękuję Kamilu najserdeczniej.
7732:  Lucy, Krystian, Karol Adamczyk, Artuditum, Crazy, Damiks, Sandra oraz Wola i Piotr Bajer i Pepsi2192 i MakMaks otrzymują możliwość używania jamników.
7747:  To te stworzenia na czacie.
7750:  Dziękuję bardzo za wsparcie kanału i społeczności.
7756:  Dramat.
7771:  Michał Z. Dziękuję za wsparcie od 11 miesięcy.
7774:  Siemanko za Imperium.
7775:  Fowy Empire indeed.
7777:  Jak tam jest z Miao Ying?
7780:  O, oczywiście, już spad... 10, 10, 10!
7784:  Wrzuca... Dobra, cokolwiek.
7788:  Uwielbiam cię, Miao Ying.
7791:  Wielbię cię.
7791:  Bierz moje 4000.
7792:  Bardzo dobrze.
7792:  Tak, tak, tak, oczywiście.
7813:  I teraz tak.
7814:  Założę się, że tutaj gdzieś jest ten cholerny Mazda Mandy.
7820:  Drobne zwycięstwo.
7823:  To jest drobne zwycięstwo.
7824:  A. Będę dożyć.
7826:  Wiecie co zrobię?
7828:  Złupię to cholerstwo.
7831:  Ponieważ on zasadzi się teraz na mnie w zasadce, ale ja będę sprytniejszy.
7837:  Proszę bardzo.
7839:  Magnus, dzięki za wsparcie od 25 miesięcy, ponad 2 lata wsparcia zleciało jak parę miesięcy, no nie inaczej.
7848:  Dziękuję za Jamnika Premium, pisze Piotr Bajer.
7854:  Mam taką perełkę białego kruka w biblioteczce poza rękopisem?
7858:  Nie, to u moich rodziców są takie rzeczy.
7862:  Oj, oj, oj, kichnięcie, kichnięcie nadchodzi.
7876:  Akował system, wysiąkał nos zanim kiknął.
7879:  Ktoś mi poinformował ostatnio, że siąkanie brzmi śmiesznie.
7887:  Masz beznadziejny replenishment?
7888:  Właśnie dlatego nienawidzę
7891:  Nienawidzę grać tutaj katajem.
7893:  To jest katastrofa absolutna, co tu się dzieje.
7895:  Ja muszę się cofać do zamku, żeby więcej tur zyskać, replenishmentu.
7903:  No koszmar absolutny, moi drodzy.
7907:  Dragon-Blooded Sugar Gun, tak jest.
7911:  I tak nic innego nam nie zostaje.
7917:  Kalibracja, nie chcę żadnego kompasu.
7920:  Tempo odzyskiwania strat dla telekotowych strażników.
7922:  Dobra, zobaczymy co tutaj możemy zrobić, tak żeby było lepiej.
7926:  Wszystko.
7928:  Good.
7932:  Dobrze, dobrze, bardzo dobrze.
7935:  Nefritowi strażnicy się nam bardzo przydają.
7938:  Świetnie, potrzebujemy niebiańskich koszar także i już nie mamy pieniędzy w ogóle.
7943:  Czy przynajmniej jest zbalansowana ta prowincja?
7946:  Tak.
7947:  co wcale nie jest dobrą wiadomością, ale to możemy teraz wyeliminować, bo to nam daje rozwój i to nic nam nie da.
7952:  To nam da przychód i równowagę z centrum administracji.
7956:  Dobrze, czyli to jest lepsze.
7958:  Czyli będziemy mieli teraz budynek Yang do skonstruowania jakiś.
7963:  Przychody z jarmarku na przykład.
7966:  Albo... Właśnie, bo to daje replenishment niestety.
7970:  Dobra, weźmiemy ten jarmark.
7973:  Chociaż z drugiej strony.
7976:  Lepsze byłyby te rzeczy.
7978:  Ale nie da rady.
7979:  Musimy mieć tutaj na razie złoto.
7983:  Tak jest.
7985:  Trudno.
7988:  Mhm.
7990:  Dobra.
7991:  I teraz ruszamy.
7994:  Powolutku znowu.
7996:  Tak to jest, gdy się walczy w przeklętej dżungli, w której drzewa gadają językiem jaszczur ludzi.
8000:  No tak, absolutnie.
8002:  Yuan Bo nie jest dobrym lordem tutaj.
8006:  Najemnicy Stilei, pisze Marcin Majozurek, nasz lorzmistrz, służą na zachodnich krańcach cesarstwa Kataju, ochraniając cesarstwo i Wielkiej Szlagi Edwabiu oraz ginąc z rąk słabszych przeciwników.
8015:  A nie, przepraszam, przed zagrożeniem ze strony wiekiego khana Hobgoblinów, Hobgobla.
8019:  To jest urocze, że nazwał się Hobgoblem, żeby pamiętać, że jest wodzem Hobgoblinów.
8028:  To brzmi jak coś, co ja mógłbym zrobić.
8030:  Nawet dla dragonów.
8033:  Dobrze, teraz robię zwiad specjalnie, żeby wiedzieć, na co sobie możemy pozwolić tutaj.
8040:  I teraz jeszcze będziemy mieli straty, nie?
8041:  Dlaczego mamy straty?
8042:  Ja tego nie jestem w stanie zrozumieć.
8044:  Jakiś obrzęd cholerny.
8046:  Tak, przeprowadzono obrzęd, świetnie.
8052:  Boże drogi, nie mamy pieniędzy.
8056:  Nie mamy pieniędzy, to niedobra wiadomość.
8058:  To bardzo niedobra wiadomość, ponieważ północne prowincje są o krok od Konfederacji z nami i musimy im dawać pieniądze.
8071:  Horror.
8078:  Lubisz rehabilitację, w sensie masaże, prądy i inne takie?
8081:  Nigdy nie musiałem się rehabilitować w ten sposób.
8084:  Za mało złota zawsze.
8085:  Zawsze, moi drodzy.
8087:  Potrzeba złota.
8088:  Potrzeba więcej złota.
8091:  Za mało złota, mój panie.
8097:  Już 22, od 16 strzeliło jak z bicha.
8100:  Żartuję, 22, Jezus, faktycznie, teraz zobaczyłem.
8103:  Jak ja gram w Total War'a, to zawsze tracę poczucie czasu, to jest niesamowite.
8108:  Czy grałem w Dawn of War?
8109:  Oczywiście.
8111:  Nie lubię tylko Dawn of War 3, uważam, że to jest hańba dla serii.
8117:  No i już wrócił.
8119:  Już wrócił.
8120:  No ja jadłem z nim walczyć.
8129:  Brak statku.
8132:  Tutaj jest to.
8133:  W momencie... Dobra, inaczej.
8138:  Co jest stąd najdroższe?
8140:  243.
8140:  Musielibyśmy się pozbyć dwóch dział.
8142:  No trudno, musimy to zrobić.
8148:  Co nam daje pieniądze?
8149:  To nam daje pieniądze.
8150:  Niestety potrzebujemy coś, co nam daje dużo pieniędzy.
8153:  Nie ma wyjścia.
8156:  Karawana można wysłać.
8159:  Jakoś szybko karawanę wyślemy.
8162:  Tu.
8168:  Jakoś szybko karawanę wyślemy.
8169:  Ha twu!
8170:  Ruszaj!
8171:  Dobrze.
8173:  Czy wieprza mam?
8173:  Oczywiście, że mam wieprza.
8175:  Wieprz to był pierwszy... Pierwszy dźwięk nie wziąłem.
8184:  Oto wieprz nadchodzi, w blasku pożogi.
8194:  Wieprz był ważny.
8197:  Jedyną potrzebą ludzi jest potrzeba chleba, potrzeba złota również.
8201:  Bez złota nie ma chleba.
8203:  Walcz!
8205:  Bierzemy z tego pieniądze.
8207:  Potrzebujemy tej walki wyłącznie dla pieniędzy.
8211:  Każde grosiwo się liczy, won mi z nim.
8217:  Dobrze zorganizowane kamienie.
8241:  Dobra, jest szansa, jest szansa, że w następnej turze go wyeliminujemy.
8246:  Jest mała szansa, ale jest.
8248:  On teraz sobie rekrutuje koatlę, mówię wam.
8250:  Rekrutuje same koatlę.
8254:  Czy grałem w odświeżoną wersję twierdzy?
8255:  Nie grałem, ale mam wrażenie, że to jest odświeżenie głównie graficzne.
8258:  Zapłata 500... Czy oni walczą z kimś?
8261:  Walczą z Grimgorem, dobrze, bierzemy.
8266:  Potrzeba drewna też, zawsze.
8270:  Jeszcze mam jedną rzecz z twierdzy.
8283:  Chyba tak.
8286:  Natomiast dawno już powinienem był powiedzieć... To powinienem był powiedzieć o wiele, o wiele, wiele, wiele, wiele turu już temu, tak.
8307:  Zawsze potrzeba kilku wyszkolonych inżynierów, zwłaszcza do obsługi Trebusza.
8312:  Miałem iść na siłkę, ale stream przykumuje uwagę.
8314:  Po streamie chyba czas na nocną siłkę.
8316:  Oczywiście.
8317:  Oczywiście.
8322:  Nie ryzykujemy.
8327:  Piechociarze.
8330:  Nie przynieście mi wstydu.
8331:  Tylko o to proszę.
8332:  Ja już nie proszę o to, żeby wygrać.
8334:  Ja proszę o to, żeby nie przynieść mi wstydu.
8340:  O, świetnie, ludożercy.
8342:  To chcieliśmy zobaczyć.
8344:  Potrzeba było już tylko ludożerców.
8348:  Fenomenalnie, dobrze.
8349:  Good flag.
8351:  Good flag to jest dobra flaga, albo dobre flaki, w zależności od tego, co kto potrzebuje.
8357:  Widzicie, co zrobią ludożercy?
8358:  Jedyną rzecz, którą umie robić AI, czyli flankowanie.
8361:  A może to jest flakowanie.
8364:  Było coś takiego jak flakturm.
8367:  Wieża Flaków.
8369:  A tak naprawdę to nie.
8374:  Dobrze, eliminujcie mi ich natychmiast.
8379:  Tak.
8379:  Fight as one.
8380:  Wy byście chcieli, żeby oni walczyli jako jeden.
8383:  I walczą jako jeden kretyn.
8387:  Jeden mózg z jedną szarą komórką.
8389:  To jest to, co mam do powiedzenia na temat sztucznej inteligencji moich wojsk.
8395:  Kochani luduzercy, wy byście chcieli, byście chcieli, żeby nie byli kochanimi luduzercami, wyeliminować go.
8402:  Przypominam, że on miał zadać, miał zabić 200 z naszych.
8408:  Zobaczymy, ilu zabije.
8410:  Ojej!
8411:  Zero.
8414:  Dlatego w tej grze kompletnie nie opłacały się autorostrzygnięcia.
8417:  Ale to kompletnie.
8418:  Nawiasem mówiąc, nie wiem, czy wiecie, ale jak się, pewnie wiecie, jeżeli graliście w Total War, ale jak się zabije Lorda, to dostaje się więcej pieniędzy z bitwy.
8426:  Na szczęście naszym miotaczom chusteczek do nosa się to udało.
8431:  Flakturmy wieży, na których stały flaki, działa przeciwlotnicze, nie inaczej.
8434:  Była piękna misja z flakturmami w Medal of Honor Airborne.
8439:  Mmm, ale to była gra.
8442:  Cudowna taktycznie, można było spadochroniarzami wylądować w dowolnym miejscu mapy, co jak na tamte czasy było niesamowite.
8450:  Call of Duty czegoś takiego nie miał.
8451:  Beka z Call of Duty.
8453:  Zawsze byłem po stronie Medal of Honor, a nie Call of Duty.
8458:  Także dlatego, że Medal of Honor miało lepsze doświadczenie singlowe.
8464:  Dobra, jeszcze może jednego wyeliminujemy, nie wyeliminujemy.
8468:  Nie wykradniemy technologii, nic nie zrobimy.
8472:  Blokada armii, to się przyda.
8474:  Dobrze.
8474:  Dragon-blooded sugar gun.
8478:  O, skończył mi się już ten pieprzony rytuał.
8481:  A może nie?
8485:  Ja już nie wiem.
8488:  Durarum.
8492:  Misja nazywała się Der Flakturm, była ostatnia, pisze Stefan.
8495:  Oj tak, dobre to było.
8498:  Dobra, sprawdźmy, czy ktoś się tutaj skrada.
8500:  Nikt.
8500:  Jesteśmy w miarę bezpieczni.
8501:  On powinien teraz zginąć.
8503:  Ola, to będzie zemsta.
8504:  Biurokratyczny trening.
8505:  O!
8506:  Dochody z budynku przemysłowych.
8507:  Bierzemy.
8508:  Absolutnie.
8509:  I teraz tak.
8510:  Potrzebujemy tego kamienia bezwzględnie.
8512:  Uczynimy leżę jaśminowego jamnika fortecą.
8515:  Nie do zdobycia wtedy.
8517:  Tak będzie.
8519:  Masz wrogą armię przy mieście?
8520:  Gdzie?
8524:  Gdzież?
8526:  Nie, nie, nie, to jest, to jest tylko bohater szczęśliwy.
8531:  Da się zrobić armię pod AR, ale nie ma to sensu, ponieważ zaraz Ostrata w bitwie gra się taką armią bardzo źle.
8537:  AR?
8540:  Mam pojęcie, czym jest AR.
8543:  Call of Duty Modern Warfare było, stare było mi odzio.
8546:  No tak, tam było, to było tam, gdzie grał Kevin Spacey, dobrze pamiętam?
8549:  No tak.
8553:  Ach, auto-resolve, okej.
8556:  Ja mam nietolerancję dla akronimów, Bear.
8559:  Nietolerancja dla akronimów jest o wiele poważniejsza niż nietolerancja laktozy.
8564:  Dobrze, i teraz, teraz moi drodzy, tak.
8616:  Nic nie widzieliście!
8619:  Moje!
8623:  Jezus Maria.
8624:  To jest jakaś paranoja to, co tu się dzieje.
8630:  Zdenerwowałem się.
8633:  Ileż można?
8634:  ILEŻ MOŻNA?
8635:  Ja się pytam.
8638:  Ja i tak nie rozumiem.
8640:  Ja zmieniłem poziom trudności bitwy na okoliczność tego oblężenia.
8644:  Nie dało się inaczej, moi drodzy.
8646:  Teraz tak.
8648:  Jaki minus 18 teraz jest?
8653:  Po takim złocie, które dostała, musimy poczekać, aż zostanie przez kogoś zabita.
8657:  To jest jedyny sposób.
8661:  Czy miałem styczność z League of Legends?
8663:  Nie, nawet nigdy nie zagrałem.
8665:  Tak samo w Fortnite'a.
8667:  Były gry, których nigdy nie odpaliłem.
8668:  Minecraft, Fortnite i League of Legends.
8670:  Wszystkie z tego samego powodu.
8671:  Zbyt dużo ludzi je lubiło.
8675:  Ser, tak, tak.
8676:  I kit kocha ser.
8677:  Tak, to dobrze, tak.
8681:  W trójce armia Grimgora nie nazywa się już Krwawe Ręce?
8684:  Chyba nie.
8685:  Nie graj w ligę.
8692:  Czata jak zawsze.
8693:  Nie graj w ligę nigdy.
8697:  Dobrze.
8698:  Wiecie co teraz zrobimy?
8700:  Zablokujemy tę armię.
8702:  Blokada armii sukcesu.
8703:  Doskonale.
8706:  Ale ciekawe mnie jedno.
8709:  Ciekawi mnie to, czy... czy ona będzie mogła i tak uciec przed nami.
8715:  To mnie fascynuje.
8717:  Z kolei jest zablokowana, bo teoretycznie nie powinna.
8721:  I co?
8722:  Kto oszukuje?
8724:  Właśnie dlatego ja nigdy, nigdy nie mam żadnych skrupułów.
8730:  Ale to ŻADNYCH.
8734:  Właśnie dlatego.
8743:  Niech pylony będą wam wysokie, pisze budowniczy pylonów.
8746:  Rok 2023, 15 grudnia, na Akademii Sztuki Wojennej wciąż nie ma Wi-Fi.
8750:  Jak to dobrze być w domu, mogę coś wreszcie zrobić.
8752:  O Boże.
8754:  B pisze, że gra w Lola 13-14 lat, najgorsza decyzja w moim życiu.
8758:  Grałem w Mediwala 2?
8759:  Tak.
8760:  W Mediwala 2, w Szoguna, w Rome Total War 1 i 2 oraz w... Ale The Three Kingdoms grałem bardzo krótko.
8768:  Dwóch nowych ministrów edukacji, gdzie kucharek sześć tam nie ma co jeść, Ribi.
8771:  Zobaczymy, niech podejmą jakieś decyzje.
8773:  Na razie mnie niepokoi to, że ministra edukacji, możemy ich łatwo rozróżniać flaminatywem, nie?
8780:  Ministra edukacji jest po stronie nauczycieli, a nie po stronie uczniów i to mnie bardzo martwi.
8784:  Widzicie jeszcze to tchórzliwe cholerstwo?
8786:  Co to, jakie to jest bezczelne, po prostu jest niesamowite.
8790:  Nieprawdopodobne, jakie to jest bezczelne.
8793:  Co to, co to są?
8794:  Dwie tury, pomieszanie zmysłów?
8796:  Co to w ogóle jest, jakie pomieszanie zmysłów?
8801:  Pomieszanie zmysłów, my ass.
8807:  Nie zauważyłem tego.
8811:  Wiecie co, ja po prostu przestaję na razie rekrutować te jednostki, bo to nawet nie jest śmieszne.
8817:  To nawet nie jest śmieszne.
8819:  Po prostu rekrutujemy niebiańską smoczą straż.
8823:  Choćby miało mi to zająć 70 tur, to to zrobię.
8829:  Mam dość tych cholernych lwów.
8832:  Bezużyteczna jednostka.
8835:  Co tutaj robią Siostry Zmieszku?
8836:  Anti-Player Bias, to robią.
8844:  Dobrze, zostanie zablokowana przynajmniej.
8849:  Bardzo dobrze.
8851:  Mhm.
8856:  A to po co mi?
8859:  To nie jest złe, ponieważ możemy pójść do Grimgora i go atakować nieustannie tym bohaterem i będziemy dostawać punkty u Miao Ying, ponieważ jak widać nie da się jej w żaden sposób skonfederować.
8871:  21, dobrze, jest troszeczkę lepiej.
8874:  Ale i tak nie jest idealnie.
8877:  Wymiana tu od pani Major, bo Majorka brzmi niepoważnie w przypadku wojskowości.
8883:  Wtedy można dać właśnie tym Majora, nie?
8886:  Ale to brzmi źle, w związku z powyższym ja jestem za Majoressą na przykład.
8890:  To brzmi tak jak Generalissima masz, prawda?
8893:  Generałka też brzmi źle.
8895:  Generalissima, o nie, Generalissima brzmi... Ja nie wiem, czy ja mogę wam pokazać ten mem.
8908:  Chyba nie mogę wam pokazać tego memu.
8910:  Zresztą i tak go nie umiem znaleźć.
8920:  Więc generalissima brzmi jak ktoś, kto byłby w stanie podporządkować sobie generała.
8931:  Jakim cudem po fortunnej blokadzie armii to się porusza, to ja nie wiem.
8942:  Mam zielonego pojęcia.
8944:  Erect a shrine.
8951:  Dobrze, teraz będziemy mieli naprawdę potężną armię.
8957:  Obrzęd Yang.
8960:  Premia za technologię.
8962:  Nie, przychody z łupienia osad bierzemy, oczywiście.
8966:  Doskonale.
8969:  Minister Nauki był perkusistą w kapeli medalowej.
8972:  To jest jak dotąd jego jedyna zaleta, ponieważ minister nauki, nie wiem czy wiecie, nie ma z nauką absolutnie nic wspólnego.
8981:  Lor, Smoczy Cesarz i Księżycowa Cesarzowa, władcy Cesarstwa Kataju, są starsi niż większość bogów.
8987:  Jest to prawda, a pisze to Marcin Mazurek, więc tym bardziej.
8991:  Są starsi więc niż większość bogów Panteonu Starego Świata, nawet starsi niż przedwieczni, pamiętają sam początek.
8998:  Sympatyczna ciekawostka, moja babcia zamiast bizneswoman mówi biznesmenka, trochę uroczo.
9002:  O, to ja też się z tym spotkałem.
9003:  Tak, tak, tak, też się z tym spotkałem.
9005:  Poślij wszystkich do Smoczej Rzeki.
9008:  Obowiązkowa medytacja.
9010:  Zawsze bierzemy obowiązkową medytację.
9012:  Dobrze.
9013:  I teraz atakujemy uszkodzony budynek, whatever.
9018:  Porażka.
9019:  Ale i tak powinny nam zaliczyć punkty na rzecz dyplomacji z Miao Ying.
9024:  Ale Krzysztof, przecież konfederacje zostały poprawione.
9029:  Konfederacja nigdy nie została poprawiona.
9031:  Widzicie?
9032:  To blokowanie armii nic nie daje.
9034:  To jest niesamowite.
9036:  To jest absolutnie, to jest mistycznie, mistycznie paranoidalne.
9043:  Potrzebujemy tutaj... O, dobrze.
9046:  Więcej kuszników, tak jest.
9049:  Znakomicie.
9052:  Znakomicie.
9052:  Karawana.
9053:  Patrzcie, cztery razy już wysłaliśmy tego karawaniarza.
9056:  Nauczyć karawaniarza to chodzi i powtarza.
9058:  Dobra, teraz potrzebujemy siedem tysięcy, jak najwięcej.
9065:  Masakra.
9066:  Dosłownie, my dojedziemy do setnej tury i nie opuścimy pierwszej prowincji.
9072:  No co, jakiego mamy ministra?
9073:  Mamy dwóch.
9074:  Barbara Nowacka jest ministrą nauki, natomiast ktoś, nawet nie pamiętam jak się nazywa, jest ministrem nauki.
