🔴 Bear with me, niedźwiedź ze mną — WARHAMMER 3 Kostaltyn #2
🔗 https://www.youtube.com/watch?v=yjpBzYQVOcw

34:  Szybko ruchnij.
8157:  No nie, nie, nie, nie, jaka recepta, na co wypisać, na co wypisać, ale mi się wiele razy coś takiego zdarzyło.
8162:  Takich lekarzy omijam dużym łukiem.
8171:  Doktor House to idealny przykład tego, jak wiele kreatywności przejawia w zawodzie lekarza, prawda?
8175:  Dobra, wycofujemy te sanie, bo nic nam nie dadzą.
8178:  A wtedy stracimy mniej jednostek.
8183:  Dobrze.
8189:  Okej.
8190:  Zamiast trenera konsultuje się z fizjoterapeutą przy emeriu.
8194:  Trzydziestki jeszcze nie ma, ale wszystko się już sypie.
8196:  No moi drodzy, ale też się sypie dlatego, że naprawdę nikt nie dbał specjalnie o naszą postawę.
8201:  No przypomnijcie sobie jak wyglądały i wyglądają do dzisiaj zresztą krzesła, stoły w szkołach, w ogóle w miejscach, w których spędzamy tak dużo czasu, bo to jest obojętne czy to będzie szkoła, czy to będzie uczelnia.
8211:  To jest skandal absolutny.
8213:  Ja nieprzypadkowo też tak bardzo lubię zajęcia zdalne, bo ja mam naprawdę gigakomfortowe miejsce pracy i nie jest w stanie mi naprawdę wielu pracodawców zapewnić tego rodzaju warunków.
8225:  No po prostu nie są w stanie.
8226:  Bo totalnie tego nie priorytetyzują, dla nich to nie jest ważne.
8229:  A mnie to przeraża.
8230:  To była prawie pierwsza rzecz, którą się robi dla pracowników biurowych, znaczy dostosowujecie miejsce pracy, w którym oni będą stale siedzieć, no litości.
8243:  Mnie się to wydaje logiczne.
8246:  Ale mnie się to... mogą się różne rzeczy wydawać logiczne.
8252:  Dobra.
8253:  Zdecydowanie mniej straciliśmy, moi drodzy, tutaj, niż byśmy stracili, gdyby... Aś zaklinował.
8261:  Aś zaklinował.
8262:  Gdyby było rozstrzygnięcie automatyczne.
8264:  To jest jeden... jeden taki przykład armii, którą absolutnie trzeba się poruszać samemu.
8273:  Ja mam czekoladę uwu, pisze Din... Ach, Dilofozaur!
8277:  I co nam robisz?
8278:  Teraz wszyscy mamy ochotę na czekoladę!
8284:  Dobra!
8285:  Frott nieczysty ma dwie cysty, a ponadto zginie.
8287:  E, e, e!
8293:  Poziom zdawalności w Collegium Tumanum.
8295:  Wy się śmiejecie, a ja widziałem ostatnio taki łzawy film zrobiony przez studentów w Collegium Tumanum.
8300:  Czekajcie, może to znajdziemy.
8304:  To było tak okropne, bo on został zrobiony na zlecenie stud... na pewno na zlecenie uczelni, ja nie wierzę, żeby nie był.
8314:  Kolegium humanum apel studentów.
8316:  Czy ja to w ogóle znajdę, czy to zostało zlikwidowane?
8318:  He!
8319:  Nie mogę tego znaleźć.
8321:  Hihi!
8323:  A był taki film, nie wiem, czy to zauważyliście gdzieś w swoich mediach, ale jak studenci mówili, że no, że nie, nie róbcie nam tego i nie oceniajcie studentów pod kątem tego, co faktycznie zrobił rektor.
8339:  Ale jeżeli ktoś naprawdę myśli, że studenci to sami zrobili, a nie, że ktoś im to zlecił, no to jest bezbrzeżnie naiwny.
8347:  Oczywiście na YouTubie się niczego nie da znaleźć.
8353:  No nie.
8354:  Nie znajdę tego.
8355:  To musiało w jakimś razie być gdzieś na Insta.
8359:  Nie patrzyłem, czy trot został zabity, nie został zabity.
8361:  Zabić trota.
8367:  Dobra, zabity.
8368:  Good.
8371:  Jedyne, co wyniosłem ze szkoły, to kabel.
8374:  Skąd wiesz, których specjalistów unikać?
8375:  Mi zajęło ponad rok, zanim znalazłem człowieka, któremu zależy na moim zdrowiu.
8378:  Szukam na znanym lekarzu, to raz.
8382:  I czytam opinie.
8383:  O, czytam... Co ja czytam?
8386:  Już wiem, oceny opisowe.
8388:  I jak czytam oceny opisowe ludzi, którzy idą do lekarza, no to idę do tego, który ma najwyższe oceny opisowe, to jest raz.
8397:  A potem wsłuchuję się w to, jak robi ze mną wywiad lekarski i następnie podejmuję poinformowaną decyzję.
8404:  ... bez czasu na śmierć.
8410:  Nobela Oblastu.
8426:  Wyznawco Rogatego Szczura też ma urodziny dzisiaj, dopiero teraz mówisz?
8430:  Jako, że wszyscy mieli jeść pizzuszkę, a dzisiaj jadłem pizzuszkę, wczoraj, dzisiaj, wczoraj, dzisiaj sobie uspanszyłem burgerka, normalnie nie robię dwóch cheatów daily, ale dzisiaj mam urodziny.
8440:  Doczytał się Krzysztof, wszystkiego jamniczego dla Ciebie, Wyznawco Rogatego Szczura, w dwóch kamerach, czemu by nie?
8448:  Najwyższe oceny opisowe... Did you mean najwięcej punkcików?
8451:  Nie.
8452:  Najwyższe oceny opisowe oznaczają, że ludzie są zachwyceni, mówią, że jak im pomógł lekarz, jak z nimi rozmawiał, czy z nimi rozmawiał, czy właśnie robił dobry wywiad lekarski.
8462:  Naprawdę ludzie umieją pisać takie rzeczy, gdy im dać tylko taką możliwość.
8467:  Amunicja plus 100% na terenach leśnych?
8471:  Artybut Leśnik Armia Lorda.
8474:  Ej, bierzemy to.
8476:  I co więcej...
8477:  Rekrutujmy dla niej ten... Aaa, ona nie może tutaj rekrutować tych zamachowców Ashiny.
8482:  Wsik!
8485:  Niedobrze.
8499:  Ulepsza zew ojczyzny Saliaka.
8502:  Bieremy to, powiedział Krzysztof, który nie pamięta, o co chodziło z ojczyzną Saliaka.
8512:  Toczenie bitwy.
8513:  Bierzemy.
8514:  Thor!
8515:  Thor przybył!
8518:  Olmar pisze, że jako młody chłopak miał spore problemy z kolanami.
8520:  Lekarze zabronili ruchu.
8521:  Z wiekiem było tylko coraz gorzej.
8523:  Trafiłem do fizjologa na WUF-ie w Gdańsku.
8525:  Powiedział, że zacznie się ruszać.
8526:  Koniec problemów bólowych.
8527:  Zawsze trzeba mieć kilka diagnoz.
8532:  Zawsze.
8533:  Im więcej diagnoz, tym lepiej.
8539:  Dobra, będziecie oburzeni, ale nie mamy wyjścia.
8543:  Nie podałabym tym dwóm armiom.
8549:  Mi przyjatka odmówiła o wypisaniu leków na ADHD, bo jej zdaniem nie mam, po czym zapytała jak gdyby nigdy nic.
8554:  A jakieś leki na regulację nastroju pani chce?
8556:  To jest to, to jest to.
8558:  To jest to.
8563:  O sprawach religijnych, światopoglądowych i politycznych Polus nie mówię w swoim kontekście nigdy.
8570:  Doma, doma!
8571:  A nie, czekaj, siemango, pisze Skałka.
8573:  No dobrze, będzie ten Hollow Knight, będzie!
8575:  Będzie konkretnie moje mini w środę.
8578:  Trzeba odpocząć troszeczkę przed środą, a poza tym jutro, jutro Horizon, Horizon.
8584:  Czym co ona powiedziała?
8585:  Uwielbiam moje heksy.
8593:  Spirytów?
8595:  Widzę.
8596:  Tylko starej kobiety.
8602:  No powiedz to, co powiedziałaś!
8621:  Piękne.
8623:  Lufenrel, dzięki serdeczne za wsparcie od 28 miesięcy.
8626:  Kiedy Death Stranding, skoro nie Dragon's Dogma?
8630:  Nie wiem.
8632:  Muszę się przekonać też do Death Stranding, bo Death Stranding wydaje mi się grą, od której nieznacznie tylko nudniejsze jest obserwowanie po prostu trawy.
8644:  Więc muszę znaleźć dobry moment taki na tę grę i przede wszystkim swój moment.
8651:  Usiłowałem oglądać te live'y.
8655:  z Death Stranding i było to ciężkie przeżycie.
8658:  Poza tym nie wiem właśnie, czy na live to też nie jest dobry pomysł, biorąc pod uwagę, że jest to... Death Stranding jest niesamowicie nudne przy Grimhawk, że jest to jednak gra dość długa też, więc nie wiem, trzeba byłoby rzeczywiście, żeby ludzie byli tym giga zainteresowani.
8674:  Champion Kisleva.
8675:  No pewnie, że tak, bierzemy.
8678:  Uczynimy rycerkę absolutnie przewybitną.
8680:  Ona nie ma zbroi?!
8682:  Rycerka jest... Tak nie ma zbroi, jak ma!
8686:  Rycerka ewidentnie jest naga, niedobrze.
8690:  Nie chcemy nagiej rycerki.
8693:  Czy my możemy coś jej dać?
8697:  Tylko zbroja szczęścia niestety powstaje.
8702:  Dramat.
8702:  Definicja gry do robienia Q&A.
8705:  Okej, rozumiem.
8708:  Betrayers!
8710:  Okej, Lodowa Czarownica, co nam daje?
8713:  Czempion Lodowej Królowej, Przyboczna Królowej Królowej... Czas odnowienia minus 10% dla zaklęć?
8720:  Biorę to.
8722:  Biorę to bez chwili wahania.
8727:  Dobrze, jeżeli chodzi o Patriarchów, no to oni w zasadzie są już wylewelowani.
8731:  Daniel Ratajczak jest wciąż Jamnikołajem, co się dzisiaj dzieje?
8736:  Tiuch!
8738:  Mega Fuka, Kurier Inkwizytor, Wat Jega, Mateusz Wojtkowski i Dziki Węgorz oraz Gomez otrzymują wsparcie.
8747:  Mniuchacz się pokazywał z profilu, rzadki wygląd.
8750:  Bartek Laskowski, Szalony Szkodnik, Sikorka Kruk, Cytrynowa Frytka.
8755:  Mniuchacz, Mniuchacz jest super, naprawdę.
8760:  Uwielbiam Mniuchacza.
8761:  Mam wrażenie, że ten Mniuchacz jest nawet ładniejszy od swojej wersji kinowej.
8768:  Coś tutaj jeszcze było.
8770:  Wieszcz.
8771:  Dobrze.
8771:  I Kostalt.
8772:  Co może Kostalt jeszcze zrobić?
8774:  Możemy dopakować go bardziej.
8777:  Wszystkimi kanteczkami dla Lejbowica.
8781:  Polecam.
8782:  Książka Waltera Millera.
8784:  Okej, więc Skarbrant tutaj się czai.
8789:  A Kislevici uciekają.
8792:  No cudownie.
8793:  Jaką mamy sytuację z Carycą?
8797:  Dobrze, potrzebujemy wie... Za jedną turę używamy pobożności, żeby pozyskać Pobleczników.
8804:  Rise of Ronin czy będzie ogrywany?
8805:  Muszę obczaić grę.
8806:  Wpierw Badem i Furness.
8808:  Zobaczymy.
8810:  Dawno też nie sprawdzaliśmy szybkich umów.
8813:  O!
8827:  Musimy sobie zrobić kampanię królami grobowców, moi drodzy.
8830:  Chyba nigdy nie mieliśmy.
8834:  To będzie świetna okazja do tego, żeby wyrecytować wszystkie tytuły Setry Nieźmiertelnego.
8841:  Kto na czacie gra w planszówki?
8842:  W co ostatnio pogrywacie?
8844:  Tymczasem patrzę na naszą ankietę.
8845:  Nie no, ja zakończę tę ankietę.
8847:  Tafelki mają 3%, to jest jakiś dramat absolutny.
8851:  To jest jakiś absolutny dramat.
8856:  Dobra, koniec tury.
8861:  Aktualizacja Windowsa, dzisiaj jest jakaś, nie przerażajcie mnie, o Boże.
8867:  Windows za każdym razem, że się aktualizuje, to obniża o 40 dB mój mikrofon.
8875:  Tafelki 2%, aha, super.
8880:  Astro gov, bura rur!
8883:  W życiu.
8895:  Dlaczego te tematy kislewitów trwają tak krótko?
8900:  Wziął jakoś krakowską gotkę i się dziwi krakocentrysta, że nikt tego nie używa.
8905:  Szydzi pan Skorpion.
8908:  Jadowicie.
8913:  Okej.
8914:  I miał bardzo podobny glif.
8917:  Krasnoludy chaosu oraz zielonoskórzy, niestety.
8921:  Przez co zawsze się mylę.
8924:  Bezmiar spopielenia.
8925:  Tu jest jakaś armia, czy nie bardzo?
8931:  Dobra, potrzebujemy dla matki ostanki.
8933:  Aaa!
8935:  A, weźmy cokolwiek na niej.
8937:  Na razie.
8938:  Potem poprawimy troszeczkę tę armię.
8940:  Na razie potrzebujemy u niej cokolwiek.
8946:  Dobrze, dobrze, dobrze, dobrze.
8947:  Chodź do wody.
8948:  Do wody!
8949:  Drużyna Stand Ready!
8956:  Polecam kampania Arkhana, jeżeli chodzi o nieumarłych władców.
8959:  Właśnie kiedyś chyba robiłem Arkhana, ale tam są jednostki wampiryczne, a tymczasem trzeba, moi drodzy, rasowo czystą.
8971:  Będziesz uciekał!
9006:  Idźcie, moje sanie!
9011:  Przecież nie pokazywało żadnych strat!
9015:  O nieee!
9021:  Wycofuj się, wyliż rany!
9024:  Aaa, moje sanie!
9028:  Zepsuł mi sanie!
9030:  Ale za to mamy premię do szarży.
9032:  Zepsuł mi sanie!
9037:  Żadna chosen drużyna!
9044:  Kulik się popsuł.
9048:  Dobrze, tutaj nie będziemy... Ja zawsze rozstrzygam automatycznie bitwy o miasta, ponieważ Warhammer 3 moim zdaniem je kompletnie zepsuł.
9057:  Mhm, dobra.
9061:  Dobra.
9062:  Matka Ostankia.
9069:  Weź sobie jeszcze troszeczkę więcej.
9071:  Rzeczonych, onych i będzie good.
9073:  A my tymczasem możemy jeszcze sprawdzić, czy możemy gdzieś pobudować rzeczy.
9076:  Jamniogród jest, wszystko jest wybudowane wszędzie.
9081:  Łódź Hućnie jest rozbudowana jedynie.
9085:  Lekkie sanie bojowe.
9086:  Śnieżna Pantera.
9088:  Udostępnia garnizon?
9089:  Zamachowce Ashiny?
9092:  Okej.
9094:  Albo czekających w puszczy.
9099:  To nam się najbardziej opłaca na tym trzecim poziomie.
9101:  Carska Gwardia z wielką bronią.
9103:  Usarze.
9104:  Tu w ogóle nawet nie komentuję.
9106:  Śnieża Pantera, Żmij Mro... Żmij Mrozu.
9114:  Żmij Mrozu brzmi nieźle.
9118:  Dobra.
9121:  Teraz inwestować w Pantery.
9123:  Nie!
9124:  Tylko sanie bojowe, sanie bojowe najwspalniejsze.
9127:  You are Kostaltyn!
9129:  She is rycerka.
9130:  Co ma rycerka, snycerka?
9132:  Yyy... Niewiele.
9135:  Tutaj coś się dzieje?
9137:  Już nic.
9140:  Fałszywy biały miś przykabacił misie pociągowe.
9145:  Czy skoro oni moją drużynę aready, to mogę powiedzieć dzień morning?
9147:  Tak.
9149:  Rzmi im rozum, brzmi jak duet raperski.
9151:  Mówiłeś niedawno, że po Kislewie będzie Cinch i Vilić Przeklęty i nie zmieniłem zdania.
9156:  Dawno nie było, moi drodzy, ale kusi równocześnie, żeby sobie ogarnąć Królów Grobowców.
9162:  I jeszcze kusi mnie, żeby pokazać wam mod z kampanią... Nagasha.
9169:  Na wschód Nagasha.
9172:  Na cud Nagasha.
9176:  Jak ja tego nie znoszę.
9180:  Jak ja tego nie cierpię.
9186:  Wielkie jezioro czaszek my ass.
9193:  No!
9194:  Orror!
9198:  Dostępnia garnizon.
9201:  Dodaje obronę do osady.
9204:  Ta obrona do osady mnie nie cieszy.
9213:  Malagor Mroczny Omen!
9215:  Ale się nam fuksnęło!
9221:  To jest, moi drodzy, rewelacja absolutna.
9226:  Malagor Mroczny Omen daje nam bardzo dobrą cechę, jak go pokonamy.
9231:  Ciekawostka.
9232:  Na Uniwersytecie Ekonomicznym w Poznaniu nasz prowadzący na socjologii na start wykładowy zadaje pytania na pobudzenie na temat aborcji, religii, kary śmierci, stąd się odpalają się aż miło.
9243:  A co to jest za przedmiot?
9244:  A socjologia.
9246:  No dobra, no to jak jest to socjologia, to jest to uzasadnione.
9248:  Mam nadzieję, że tylko nic nie narzuca wam światopoglądowo.
9252:  Cudna gasza spuchł i posiniał.
9254:  Tak.
9254:  Nasturcjonasza.
9259:  Tak.
9259:  Uuuu.
9261:  A to ciekawe.
9264:  Zamachowcy Ashiny, wyobraźcie sobie, mogą się ustawić tak.
9268:  To absolutnie im nic nie da.
9278:  No powiem wam, że to jest ciekawe.
9284:  Sargard!
9285:  Dobra.
9288:  Ważne jest jedno, żeby wyeliminować Saigora jak najszybciej.
9293:  Daniel Ratajczak jest niezmiennym Jamnikołajem!
9299:  Mnie już brakuje.
9300:  To już musi być, moi drodzy, Niuchacz i Jamnik.
9304:  Na raz!
9306:  Sar otrzymuje wsparcie, Szeptucha Majusz, Mateusz Czech, Adulp.pl62, Haber i Piotr Bratek oraz Michał K. i Raven of Cinch i Free vs Free and Flow i Katłanka Dobrej Pani Bast i Haber oraz kto jeszcze?
9327:  Ktoś jeszcze otrzymuje wsparcie?
9329:  Ja nie przeczytałem.
9330:  Piotr Bratek i Sofi i Michał K. Dziękuję najserdeczniej.
9334:  I wszystkiego Jamnikołajego dla Jamnikołaja przechojnego naszego dzisiejszego.
9338:  Dziękuję Danielu za niezmienne wspieranie społeczności.
9353:  Ani razu nie dostałem dodatkowych wiatrów magii dzisiaj.
9356:  Ani razu.
9359:  Czy oni mają strzał w ruchu?
9360:  Mają.
9361:  Tak, świetnie.
9362:  Na to liczyłem.
9365:  Ale nie wiem, czy strzelają do tyłu także, czy nie.
9369:  Uuu, oni nie strzelają do tyłu, niedobrze, niedobrze.
9372:  To po co mają strzał w ruchu?!
9374:  Co to jest za strzał w ruchu, jak nie strzelacie do tyłu?!
9384:  Dobra, ty idź na Saigora.
9386:  Dobra, jeszcze Zmija Mrożu możemy wysłać tutaj, dobrze.
9394:  Kislewie tak piździ, że wiatr magii nie łapią.
9396:  No ewidentnie.
9400:  Obey the orthodoxy!
9406:  Co to jest?
9407:  Gniew niedźwiedzia.
9408:  Aha, podstawowa siła broni.
9410:  No git.
9414:  Dobra, zamachowców Ashiny możemy jednak tutaj dać.
9421:  Sygor prawie ginie już.
9426:  Rycerka zablokowana, Nobczyzia zwariuje.
9429:  Kostaltyn.
9435:  Wyznawca Rogatego Szczura tymczasem wypisuje wszystkie tytuły Setry Nieśmiertelnego na czacie, co jest już powoli tradycją tych czatów.
9442:  Dobrze, Malagor Mroczny Omię zaraz zginie, to dobra wiadomość.
9447:  Ale giną minotaury, patrzcie.
9449:  Zamachowcy Ashiny są naprawdę silni.
9451:  Nie chcę myśleć, jak oni będą silni przy matce Ostanki.
9455:  Bardzo dobrze.
9456:  Znakomicie.
9462:  Ktoś obrywa za bardzo, czy nie?
9467:  Chyba nie.
9469:  Przyzwie jeszcze panterę, czemu by nie?
9473:  O, Saigor jest tutaj najniebezpieczniejszy.
9479:  Strzelają do tyłu wiatrami magii.
9481:  Sugerujecie, że tak to działa?
9488:  Boże, 22 wiatry magii, serce zimy.
9490:  No przecież to jest jakaś zbrodnia.
9499:  Rycerka ładnie sobie radzi z tym zwiastunem Zagłady.
9502:  Zostawmy ją tutaj.
9503:  Oni w ogóle strzelają?
9504:  Co jakiś czas, dobrze.
9507:  Strylci!
9516:  Dobrze, ładnie.
9520:  Jest!
9521:  Zginięty gud.
9528:  Mały grom niech strzela w nich.
9533:  Dobrze.
9535:  Mamy to.
9537:  Zapomniałem o panterze oczywiście.
9542:  Miłek pyta, jak sobie radzić z lękami różnego autorementu.
9546:  Wiesz, to jest bardzo dużo różnych sposobów.
9549:  Ja taki najczęstszy, znowu mogę mówić tylko ze swojego doświadczenia, bo nie jestem terapeutą, ale ja mam takie czasem momenty, że kompletnie mnie obezwładnia ilość rzeczy, które muszę zrobić, jeżeli zaczynam o tym myśleć.
9563:  Dlatego nie używam nigdy w zasadzie kalendarza do tego, żeby planować zadania i taski poszczególne, jedynie umawiam spotkania w nim.
9570:  Bo nauczyłem się, że jeżeli bym sobie wypisał wszystkie rzeczy, które mam zrobić, to bym wpadł w panikę.
9576:  I staram się myśleć o tym, co mam do zrobienia dziś i jutro.
9580:  Nie wychodzę poza jutro zasadniczo, chyba że to są jakieś wykłady, czy jak planuję streamy, ale nawet, widzicie, niechętnie mówię o tym, że zaplanuję na przykład film na przyszły tydzień, nie wiem.
9589:  Może, może będzie, może nie będzie.
9591:  Staram się eliminować tego rodzaju rzeczy, bo wiem, że mnie będą niepotrzebnie stresować.
9598:  Nie wiem, czy to ci pomogło, ale mnie to pomaga.
9603:  Ja jestem Kostaken!
9606:  No i druga rzecz oczywiście, to jest, to jest radosny eskapizm, to zawsze, no właśnie, kiedy recenzja problemu trzech ciał, ja skończę problem trzech ciał i jeżeli w ogóle będzie tak, że mnie to na tyle zainteresuje, że będę miał potrzebę zrobienia recenzji, albo wręcz przeciwnie, zdenerwuje mnie na tyle, żebym miał potrzebę zrobienia recenzji, bo to też się może zdarzyć.
9625:  Tutaj potrzebujemy.
9626:  Patriarcha by się tutaj przydał jakiś.
9631:  Tak.
9633:  Matka ostańka nic nie może zrobić.
9637:  Dobra, wyłączam te monit o nieprzedzielonych punktach umiejętności, bo mnie drażni już na tym etapie.
9644:  Zwykle to robię właśnie jak jest już zaawansowana kampania.
9646:  Dobrze, i tutaj mieliśmy uciec, znaczy przepraszam, wycofać się taktycznie do Łódź.
9652:  Tymczasem tutaj myślę, że powoli nam się robi ładny już dumstak niedźwiedzi.
9658:  I pozostałe trzy sloty zapełniane patriarchami.
9662:  Mąż stanu.
9666:  Dobra, whatever, najwyżej później ich wymienimy.
9670:  Aha, nie, nie wymienimy ich, ponieważ i tak nie mamy slotów na patriarchów, więc whatever.
9676:  Przypomniałeś sobie planuszczówkę, którą chciałeś polecić komuś w zeszłym tygodniu?
9679:  Słuchaj, klucze, stażystka, wydział humanistyczny.
9681:  Wiem, o czym mówisz.
9682:  Nie, nie przypomniałem sobie niestety, ponieważ nie zanotowałem tego, o czym mówiła i to jest problem.
9688:  Jak nazywa się mod na garnizon?
9692:  Wydaje mi się, że to jest Greater Garrison, zaraz zobaczymy.
9696:  Muszę zajrzeć na Steama.
9698:  Steam, Steam, Steam, Steam.
9701:  Jaki ten mod mam zainstalowany?
9705:  Biblioteka, strona, dobrze.
9706:  Warhammer, poproszę Warhammera.
9710:  I teraz potrzebujemy warsztat.
9714:  Twoje przedmioty z warsztatu.
9720:  Nie ma żadnych przedmiotów w warsztacie.
9722:  Subskrybowane.
9724:  To się nazywa, moi drodzy, Greater Garrisons by Zorbaz.
9731:  Wpisuję wam na czat.
9732:  Greater Garrisons by Zorbaz.
9738:  Naprawdę bardzo polecam, bo garnizony, które są oryginalnie w Warhammerze III są po prostu źle zaprojektowane.
9746:  No i co tu dużo mówić, dostajecie jakieś nisko levelowe jednostki, mogłoby to się skalować z rozwojem Imperium, albo umożliwić wam po prostu dorekrutowywanie czy inwestowanie w garnizony, na przykład za złoto, surowce, jakieś unikatowe, wszystko jedno.
9761:  Bezmiar spopielenia został spopielony i tymczasem Legion Asgorfa dołączył do walki.
9766:  Będziemy dzisiaj walczyć dużo z krasnoludami chaosu, widzę.
9769:  Proszę, proszę, proszę, proszę.
9771:  Co tu się dzieje się?
9777:  Ja wpadam w panikę, jak muszę wszystko z kolei pamiętać, więc wszystko zapisuję, pisze Itxo.
9780:  No właśnie, dlatego trzeba to wszystko skalować do swoich potrzeb.
9783:  Może zamiast sań bojowych dać te leśne sanie, do których ma bohater bonusy.
9788:  To jest dobra uwaga, natomiast problem polega na tym, że musimy mieć wtedy szkaradnych wiedźm, nie sześć w slotach, tylko znacznie więcej, ale... Jesteś geniuszem, bo akurat mamy dyscyplinę, a dyscyplina nam zwiększa atak w sań.
9805:  Spryt też nie jest zły, bo daje szansę na powodzenie zasadzki.
9810:  Tak więc weźmiemy.
9813:  Już jest dwa... dwoje sań mniej do zrekrutowania.
9818:  My nie mamy tutaj możliwości rekrutowania sań!
9821:  Won mi z niedźwiedziami na razie!
9824:  Sanie ważniejsze!
9826:  Ssanie!
9831:  Czy grałem w Hearts of Iron?
9833:  Wydaje mi się, że kiedyś tak.
9839:  Oooo, ile tego.
9842:  Ale to są kiepskie armie.
9846:  To już nie jest kiepska armia.
9848:  Więc jeżeli my zużyjemy ruch na nich... No właśnie, tego się obawiałem.
9861:  Tego się obawiałem.
9866:  No nic.
9869:  Jakie pyrrusowe zwycięstwo.
9873:  Pyrrusowe zwycięstwo, my ass.
9874:  Spójrzmy, imiona tych wiedźm, które zakutowały się, są memiczne?
9883:  Czy byłem kiedyś w to czynieniu, ale poznałem kogoś z nerwistą natręc?
9885:  Nie, nigdy.
9885:  Nie wiem, czy to kwestia tego wiatru, czy kilia by wywaliło mnie i nie mogłam wejść przez prawie 10 minut.
9889:  I dlatego, moi drodzy, ja się strasznie cieszę, że dzięki wam mam internet, który jest łączem biznesowym i mamy komfort, moi drodzy, grańska, a ja z wami.
9901:  Właśnie teraz sprawdzę sobie, jaki mamy radosny upload.
9908:  To było po raz trzeci.
9909:  Chciałem zobaczyć, że po raz trzeci
9913:  Gra nas nienawidzi.
9915:  Po raz trzeci.
9918:  Otóż, moi drodzy, mimo streamu jest 800 uploadu.
9925:  Czy wszystkie Warhammary są strategiczne, czy tylko ten?
9928:  Generalnie Warhammer jest traktowany jako gra strategiczna, to to prawda.
9932:  Warhammer Fantasy Battle.
9934:  Nieprzypadkowo.
9935:  Dobra, to zrobimy tak, my się ustawimy w tym miejscu, zobaczcie, mamy wtedy wszystkie flanki obstawione.
9941:  Myślę, że to jest dobra opcja.
9946:  O tak.
9950:  O tak.
9952:  Strielci będą tutaj przed nimi.
9957:  Dobrze.
9958:  A mnie denerwuje, że nie ustawiają tych jednostek normalnie.
9962:  Okej.
9962:  I Tsargard również.
9968:  Gdzie są małe gromy?
9969:  Tutaj.
9969:  Małe gromy.
9973:  Z czego to był cytat teraz?
9974:  Ja ci nie powiem teraz, Aredel, bo nie wiem jaki to.
9978:  Przez ten wiatr tu się pojawiło na południu drzewo koło Akademiku AGH się wywaliło, pisze Baka.
9981:  Na szczęście w drugą stronę niż Akademik, istotnie.
9985:  Daniel Ratajczak wciąż jest Jan Nikołajem.
9988:  Heksz otrzymuje wsparcie.
9991:  A Karin Godfroy i Cappuccino i Maciej Janowski oraz Piotr Bajer i Mike Metals i Witek i Trent oraz Klaudia01 i Rado i Cappuccino i Maciej
10004:  Och!
10004:  Jan Mikołaje dla Jan Mikołaja ponownie!
10007:  No, fokus działa.
10008:  Boże, jak ja się cieszę, że działa fokus, moi drodzy.
10010:  A skoro działa fokus, to jest to dobra przypominajka, żebyście kupili książkę w imię Boga Dominiki Skoczeń.
10017:  Miałem powiedzieć Dominiki, ja mówię o twórczyni Klimczak z przyzwyczajenia.
10027:  Dobra, pobawimy się herosami tutaj.
10032:  Strielci!
10037:  Oho, już oberwali.
10041:  Aaa, to dlatego dają im takie małe szumy.
10047:  Musimy zniszczyć te... Oj tak.
10051:  Musimy je zniszczyć.
10054:  Albo... Dobra, niech rycerka... Niech rycerka to ogarnie.
10065:  Co to jest?
10068:  Mroczni pustoszyciele Haszuta.
10070:  Kuta Haszuta.
10073:  A, czyli jednak.
10074:  Czyli w Konstaltyna celują.
10076:  Ciekawe.
10077:  Dobra, atakujemy czarnoksiężnika, a rycerka idzie na nich.
10081:  Tu jest jeszcze moździerz groza wstrząsu.
10083:  Wiecie, jaki ja mam plan?
10085:  Że ten moździerz zacznie w nas napieprzać.
10088:  Ściśle wtedy, kiedy my zaczniemy z nimi walczyć.
10091:  Czyli będą zadawać sobie sami obrażenia.
10095:  O, to było!
10103:  Ale obrywa ona, biedna.
10105:  Jezus Maria, daj jej spokój!
10108:  Wszyscy w nią strzelają!
10114:  Zostaw mi moją maginię!
10118:  Rycerka, rycerka!
10119:  Gdzie jest rycerka?
10122:  No przecież atakuj ich!
10133:  Dobra, czyli częściowo się udaje nam to.
10136:  Pantera atakuje.
10140:  Dobra, ukryjemy ją.
10147:  Jesus Christ, jeszcze nigdy nie widziałem, żeby się tak uwzięli na jednego bohatera.
10151:  No come on!
10156:  Bardzo się jej boją, powiem wam.
10162:  Dusza Potępienia, piekielne działo.
10163:  No rzeczywiście jest to Dusza Potępienia.
10165:  Dobra, rzućmy, rzućmy ten czar.
10169:  I spieprzamy.
10175:  Już kupiłam książkę.
10176:  W imię Boga, Dominiki Skoczeń.
10178:  Dziękuję, Itxo!
10179:  Nie będziesz żałować.
10184:  Dobrze.
10185:  Co tu się dzieje?
10186:  Okej.
10188:  Opuścili działa?
10190:  Jaki to ma sens?
10195:  Nie mam pojęcia.
10196:  Ja czekam na audiobooka.
10197:  Podobno ma być... Co więcej, nie wiem nawet, czy to Dominika nie będzie tego czytać sama.
10203:  Diabli wiedzą.
10205:  Ale oberwała biedna nasza Magini, no dajcie spokój, co to w ogóle dawało?
10209:  Odmrożenie i prędkość, aha, okej.
10213:  Że będziemy musieli ją wyleczyć w miarę możliwości.
10216:  Czy ktoś jeszcze nie ma jamników?
10218:  Nieliczni.
10219:  Baka pyta, jak przekonać kogoś, kto przez 5 lat spędzał czas 24 na 7 na naukę na najlepszej uczelni w tym kraju?
10224:  Twój, hehe.
