69 000 SUBSKRYPCJI DLA SLAANESHA — WARHAMMER 3 IMMORTAL EMPIRES
🔗 https://www.youtube.com/watch?v=rB9atL7RQ-4

688:  Chcieliście żądzy?
11669:  W Jedi Survivor będzie coś na pokój życzeń?
11671:  Good!
11672:  Good!
11673:  Niech wyciągają wnioski.
11676:  Grzędowicz napisał taką jedną powieść, która jest typowym sci-fi, to jest Hell 3.
11679:  Jest to najgorsze sci-fi, jakie czytałem w całym swoim życiu.
11685:  Gdzie jest niby ten wróg?
11687:  Co się stało?
11689:  Czyż dostali rozkaz, czy ja zwariowałem?
11691:  No nie zwariowałem.
11697:  No nie chcą, nie chcą nas zaatakować.
11699:  Śmieszne.
11703:  Śmieszne.
11706:  Czy nie będziemy się wystawiać na atak, bez przesady?
11708:  O, nie, nie, nie, nie.
11713:  Udało się.
11717:  Xpans było czytane.
11719:  Jeszcze nie całość.
11720:  Widziałem jedynie serial.
11724:  Ja generalnie wolę zdecydowanie fantasy od science fiction.
11732:  Zabijcie ich.
11733:  Dobrze.
11733:  Łucznicy.
11735:  Strzelić do kogokolwiek.
11736:  Każdy kogo zabijecie, to jest plus dla nas.
11750:  Science fantasy czym się różni od science fiction?
11753:  W science fantasy masz elementy świata, który jest wyobrażoną przyszłością i wyobrażoną przeszłością jednocześnie.
11759:  Bardzo częsty przypadek.
11760:  Warhammer jest dobrym przykładem.
11762:  Chociażby.
11765:  40 tysięcy.
11767:  Technicznie czasem stało się określa science fantasy.
11771:  Chociaż dla mnie to jest po prostu fantasy.
11773:  W wielu przypadkach.
11774:  Z uwagi na to, że wszystko zaczyna się od dawno, dawno temu w odległej galaktyce, prawda?
11781:  No, Helczi był bardzo źle ocenioną książką Grzędowicza.
11784:  Nie dziwi się, że potem niewiele napisał już.
11789:  Muszę powiedzieć, że to jest jedna z najdziwniejszych bitew, jakie kiedykolwiek rozgrywałem.
11794:  Dobra, atakujemy.
11798:  Albo jeszcze poczekajmy chwileczkę na przyjście tych posiłków.
11801:  One strasznie wolno idą.
11807:  Ten wróg za moment zginie i dobrze.
11811:  Musimy się tego upewnić, żeby nie uciekł.
11816:  Były bardzo, bardzo niekorzystne.
11819:  Hemmara.
11823:  Gin, gin, gin!
11829:  Hemmara zginęła.
11830:  Dobrze.
11832:  Co, co to było?
11833:  Co tu się dzieje?
11836:  Okej.
11841:  I teraz, moi drodzy, żniwiarki wchodzą.
11847:  Przy graniu w Path of Exile nie jesteśmy w sumie, albo bardzo trudno grać, tyle, że sobie założymy coś drobnie, a tam się ma instancje do wyczyszczenia.
11853:  A jak drobnie, to trzeba... Dobra.
11855:  A jeżeli czytasz i stwierdzasz, ojej, to jeszcze przeczytam jeden rozdział, jesteś uzależniony od książki?
11864:  Jak się ogląda serial i ma się syndrom jeszcze jednego odcinka, to jest się uzależnionym od serialu?
11869:  A jak się nie ma takiego syndromu, a też się ogląda inny serial, to znaczy, że się uzależnionym tylko od jednego gatunku seriali?
11876:  Za lekko używamy tego słowa, moi drodzy.
11878:  Uzależnienie to jest poważna sprawa.
11880:  Jeżeli ktoś jest uzależniony, to traci kontrolę.
11882:  A nie, że o, chcę sobie dłużej pograć, albo o, fajnie się czyta, to przeczytam jeszcze jeden rozdział, albo o, fajnie się gra w Warhammera, to jeszcze jedną turę.
11894:  rozegram.
11895:  Więc dlatego też tak przewrotnie mówię, że w większości przypadków, kiedy nam się wydaje, że możemy mówić o uzależnieniu w grach, nie ma tego tematu, z tego względu, że używamy tego słowa trochę nieodpowiedzialnie.
11912:  A uzależnienie to jest, moi drodzy, paskudna sprawa.
11918:  Czy ja dobrze widzę, że zaklęcie rykoszetuje?
11921:  Tak, tak!
11923:  Świetnie.
11933:  Ładna, wciągająca gra na Switcha.
11934:  Kurczę, nie gram na Switchu.
11936:  Ciężko mi jest podać jakiś przykład, ale z tego, co słyszałem, Legend of Zelda jest na Switcha i teraz będzie druga część.
11943:  Aha.
11944:  Margot Witch przyszła tylko dla jednej rzeczy, to znaczy Slaanesha, do rozkoszy, biczowania, niejaśnie dziwie.
11952:  Absolutnie tak.
11959:  Dobrze!
11962:  Ale widzicie, strasznie szybko te rydwany konkretnie... Teraz mamy lepiej to widoczne.
11967:  Patrzcie, jak szybko giną.
11969:  Nie ma sensu.
11971:  Biorąc pod uwagę, jak się klinują rydwany w jednostkach, tak jak tutaj, idzie i tylko traci zdrowie, nie zadaje żadnych obrażeń.
11978:  Nie ma sensu inwestować w rydwany, które nie są dobrze opancerzone.
11988:  Dobrze.
11989:  Uwaga, skargi!
11993:  Gorzej, jak się ogląda serial wreszcie w grę, bo nie wie się, co innego można zrobić z swoim czasem.
11996:  Chodzisz po domu bez celu i czekasz, żeby włączyć komputer.
12000:  Prawda.
12000:  Ale to jest świadectwo innych problemów, moi drodzy.
12003:  Jeżeli coś takiego macie, to jest świadectwo tego, że jest jakiś problem, którego nie umiemy rozwiązać i intuicyjnie sięgamy do różnego rodzaju rozrywek, ale nic nam one nie dają i dlatego wtedy bardzo dobrze jest pogadać z terapeutą albo z kimś, kto jest w stanie nam pomóc.
12024:  z psychologiem i opisać to zjawisko.
12026:  Bardzo często się może okazać, że to jest na przykład wczesny objaw depresji.
12031:  Again.
12032:  Zaznaczam tylko, że może, ale trzeba to uzgodnić z terapeutą, żeby mieć pewność.
12038:  Może to być po prostu zwykłe zmęczenie też, albo przemęczenie.
12042:  Dużo opcji.
12048:  Czy jest uzależnione od wielbienia jamników i używania awazy?
12050:  Tak, absolutnie.
12052:  Zawsze tak.
12054:  Czy on jeszcze zginie?
12057:  Kto odchodzi?
12058:  Gdzie odchodzi?
12060:  Dobrze!
12061:  Wszyscy mają ginąć!
12064:  Natomiast nie mają ginąć nasze żniwiarki.
12073:  Tak, w zasadzie tylko taka strategia coś daje, to znaczy skoncentrowanie się na jednym oddziale i cały czas szarżowanie.
12082:  Tylko to ma sens.
12083:  Ale wtedy nie jesteście w stanie zajmować się innymi jednostkami.
12086:  Bardzo lubię natomiast Doomstack Kislewicki z saniami bojowymi.
12090:  Ojej, jakie to jest dobre.
12094:  Bardzo skuteczny Doomstack.
12096:  Cały oddział macie wypełniony sananiami, które prowadzą ostrzał z sań w trakcie, w trakcie atakowania i w trakcie jazdy.
12106:  Jest tu niesamowite.
12111:  Zabićmy go.
12113:  Dobrze, udało się.
12114:  Wszyscy mają zostać zabiti, świetnie.
12117:  Pyrrusowe zwycięstwo, my ass.
12120:  Pyrrusowe zwycięstwo.
12122:  Przychodzi Dominika Jamniko, twórczyni Klimcza, która stworzyła wszystkie najjurniejsze z jamników.
12129:  Proszę przygotować jamniki do kontroli, napisała, tak?
12132:  Dominiko, dzisiaj używamy jeden jedyny dzień, specjalnie jamnika Slanesza, haha.
12142:  Bierzemy wiernych.
12144:  Mamy mało wiernych.
12148:  I... Jeszcze plądrujemy.
12150:  Świetnie, dobrze, bardzo dobrze.
12153:  Frakcja zniszczona.
12155:  To został nam Tyrion!
12157:  Hihihi!
12157:  Hihihihi!
12160:  O Nakari, o Nakari.
12164:  Będziesz mieć duuuużo do roboty.
12167:  Hmm...
12175:  Good.
12176:  W następnej turze będziemy przygotowani do walki.
12179:  Bardzo dobrze.
12180:  Bardzo dobrze.
12182:  Bardzo dobrze.
12184:  Nie chcę tej notyfikacji.
12186:  Nie chcę.
12186:  Nie chcę.
12187:  Nie chcę.
12188:  Nie chcę.
12189:  Nie chcę.
12189:  Nie chcę.
12190:  Nie chcę.
12191:  Dziękuję.
12193:  Spróbujmy.
12193:  Może teraz się uda oddać tę kaplicę.
12196:  O proszę.
12198:  Oblegają nas.
12199:  A nie, przepraszam.
12200:  Nie nas.
12200:  Mówiłem wam, że to była dobra decyzja taktyczna.
12204:  Niech się broni Klotik.
12207:  A my sobie tutaj okopiemy się w Lover, najbogatszej stolicy prowincji.
12210:  Tak, atakujemy Królestwo Przystań jak najbardziej.
12213:  Tyrion zostanie zgładzony.
12214:  A nie, to nie ten świat.
12227:  Wiecie, co mnie kusi?
12232:  Hahaha.
12238:  Tak, właśnie taki jest jej tytuł, a mógł być inny.
12240:  Miałem ten problem, da się z tego wyjść.
12242:  Wychodzi się z tego w ten sposób, że zastanawiacie się
12263:  Co się bardziej przyda czytelnikowi na przykład, jeżeli piszecie książkę, nie?
12267:  I staracie się postępować zgodnie z odbiorcą.
12271:  Tak samo może przekomplikować ktoś na przykład interfejs użytkownika.
12275:  O, bo ja jestem... Ja jestem... ...artystą.
12281:  Nie, to trzeba inaczej, moi drodzy.
12283:  Bo ja... ...jestem... ...artystą UX-a.
12290:  Ja mówię...
12292:  że tak to ma wyglądać i ludzie to się mają dostosować do mojego artyzmu.
12300:  Nie!
12301:  It's not a bug!
12303:  It's a feature!
12304:  Nie znoszę takich ludzi.
12308:  Później mamy interfejs w Sekiro.
12310:  Świetnej grze, która spieprzonuje najbardziej podstawowe rzeczy w UI-u.
12315:  Koszmar.
12317:  UI, czyli Interfejs Uniżytkownika.
12326:  Zobaczymy, jak sobie będą radzić nasi zdobyczni, wspaniali wojownicy.
12331:  Tym razem my zaatakujemy.
12336:  Dobrze.
12339:  Jak wrażenia po teaserze do Ahsoki?
12343:  Zobaczymy.
12345:  Mój entuzjazm względem produkcji Disneya jest bardzo mocno ograniczony.
12349:  Przypominam, że mieliśmy ostatnią Willow.
12353:  To został skasowany zresztą.
12355:  A jeżeli chodzi o Mando, jest spoko, ale jest spoko.
12358:  Nie jest wybitnie, jest spoko.
12363:  Przede wszystkim problem z Mandalorianiem obecny jest taki, że usiłują uzasadnić Skywalker przyrodzenie.
12371:  To znaczy Skywalker odrodzenie.
12373:  Nie była zika po budkę.
12375:  To właśnie.
12377:  Przestań ścigać nasze żniwiarki do cholery jasnej.
12383:  Stracimy jedną żniwiarkę.
12384:  No mówię wam, stracimy żniwiarkę, ponieważ te durrrrne, cholerne koniki muszą za nami iść!
12389:  WON KONIKU!
12392:  Masz!
12394:  Wolni!
12395:  Wolne elfy!
12397:  Atakuj, atakuj, atakuj, atakuj, atakuj!
12401:  Jezus Maria!
12404:  Jak człowiek musi cierpieć!
12409:  Dobrze, udało się.
12411:  Wreszcie.
12413:  Żniwiarki macie u łuczników i u łuczników.
12417:  Czego nie rozumiecie?
12419:  Dobrze, wreszcie atakują.
12421:  Świetnie.
12424:  Entuzjazm względem Małej Syrenki nie jest osłab ani trochę.
12427:  Myślę, że wszyscy na to czekamy, absolutnie.
12430:  A naj... Najbardziej czeka Marcins na gałęzi.
12433:  O tak.
12436:  Uwielbiam to, że zrobił spokojną analizę tego zwiastuna i pokazał jak on po prostu jest źle zrobiony od strony technicznej.
12443:  Walą nasze konie, właśnie!
12446:  Czy to jest skandal?
12449:  Co tu się dzieje?
12451:  Łucznicy w lekkich zbrojach.
12453:  Zabić ich.
12456:  Zabić ich natychmiast.
12459:  Jak to nasze żniwiarki?
12461:  Co tu się dzieje w ogóle?
12463:  Jakiś magin używają wobec nas.
12465:  Skandal.
12469:  Nie znoszę sił dobra.
12471:  Siły dobra nudne, siły zła ciekawe.
12475:  Zawsze.
12487:  W Mando dalej jest spółkowanie z nowym kanonem Tomex, tak.
12492:  Cały czas usiłują... I w Mandalorianinie, i w Bad Batch usiłują cały czas wyjaśnić jedno durne zdanie z Niebołazika Pobudki.
12503:  Somehow Emperor returned.
12505:  Somehow.
12507:  Asa, atak!
12513:  najgorszy writing, jaki był kiedykolwiek w historii cywilizacji.
12518:  Krasnoludy są siłami dobra... O, Bear, o!
12521:  Krasnoludy są siłami... swoimi.
12525:  To znaczy, przejmują się wyłącznie tym, co mają zastaszowane w swoich skarbcach.
12529:  I w momencie, w którym by się okazało, że nie opłaca się popierać elfów albo imperium, natychmiast by się wycofały do swoich górskich siedzib i bardzo dobrze.
12538:  Tak należy postępować.
12540:  Pożar na planie Rings of Power?
12543:  Co się stało?
12545:  Tego nie słyszałem.
12546:  Pożar brzmi niedobrze, moi drodzy.
12554:  Slayerz ma fajne mechaniki, ale jednak Kairos to love forever.
12557:  Slayerz jest fajny na późniejszych etapach, jak wreszcie będziemy mieli szybką armię.
12567:  Dobrze.
12569:  Bardzo dobrze.
12570:  Death to all.
12570:  Wszystkich zabić, zgładzić, zamordować.
12575:  A zwłaszcza ją.
12577:  Nasze żniwiarki potrzebują zniszczyć białe lwy z Craze.
12581:  I widzicie?
12582:  Młuszcznicy w lekkich zbrojach też muszą zostać zgładzeni.
12585:  Musi zostać mniej czterech lub mniej.
12589:  Dobra.
12591:  Żeby jednostka była całkowicie zgładzona.
12596:  Hmm, tak.
12600:  Białe lwy z Craze, elitarna piechota, ale wiecie, i tak jest lepiej teraz niż w Warhammerze II, jeżeli chodzi o z piechociarzami.
12607:  Czy można tutaj wygrać?
12608:  Tak, jak najbardziej można.
12611:  Jakby Slaanesh nie chciał, żeby można było, to by tak nie stworzył świata, moi drodzy.
12616:  Prosta sprawa.
12620:  z ploną plan zdjęciowy Rings of Power i jeszcze w jakimś wypadku zabili konia.
12623:  A nie, to jeżeli chodzi o zabicie konia, to było wcześniej, już podczas kręcenia pierwszego sezonu, więc jak byłoby mało tego wszystkiego, to jeszcze w pierwszym sezonie zginął biedny koń!
12635:  Nadia Lewioza za poleceniem przysłała Skłomas, odłożyła po mianownym rozdziale.
12638:  Książka to jeden wielki infodump, monolog irytującej bohaterki.
12640:  No jak się jej nie polubi faktycznie, to można mieć z nią problem.
12645:  Armia uzupełniona.
12647:  Wierni, wierni.
12651:  Wszyscy giną.
12653:  Good!
12654:  Good!
12659:  Cześć, Elan Daya, wchodzę na Steam, pojazd po nowej twu trylogii.
12663:  Obrzydliwość i ohyda.
12665:  Sigvald.
12668:  Piękny, znaczy nie jest piękny, nie oszukujmy się, jest odrażający ten portret, ale Sigvald jest piękny.
12673:  Sigvald jest jednym z najwspanialszych dzieciąt chaosu, którzy czczą Slaanesha.
12678:  Czy będzie drugi sezon Ring Zapalu?
12679:  Oczywiście, że tak.
12681:  Przecież to jest Amazon.
12682:  Kancelują serial, który jest świetny, jak Carnival Row, po czym w dalszym ciągu
12688:  Robią Rings of Sour, no przecież to jest okropne.
12693:  Mmm... Misguided indeed.
12698:  Wiecie co, wykorzystajmy fakt, że mamy jeszcze tę armię.
12701:  Jeszcze.
12704:  Okej, i zaatakujmy na Karim.
12707:  I seek stimulation.
12713:  Mmm... Wiecie co?
12717:  Weźmy sobie coś, to co uważane jest tutaj za elitarną jednostkę.
12723:  Biały Elwys Craze też?
12724:  Nie.
12727:  Eee... God!
12732:  Stwórz Wasala?
12734:  Tyrjon będzie naszym wasalem?
12736:  A nie, nie Tyrjon.
12738:  Iwres!
12741:  Wiecie co, czemu nie?
12747:  Czemu nie?
12751:  I teraz... I teraz... Pójdziemy do Elessai, zajmiemy kaplicę Loeka.
12761:  Jak zajmiemy kaplicę Loeka, oddamy ją Iwres.
12766:  Gut.
12769:  GAMBIT KRZYSZTOFA DZIAŁA!
12771:  Te komentarze są trochę dziwne, to dlatego Filipie, że mamy dzisiaj najjurniejszy ze streamów.
12777:  Nie było nigdy jurniejszego streamu.
12781:  Szczesz, spaczenie, załóż, kult, nope, wrota Slaanesha.
12787:  Aj, ten biczek, ten biczek.
12789:  Wiecie co?
12791:  Oddajmy tralinie w takim razie.
12794:  Jeszcze.
12795:  I'm listening.
12796:  What do you seek from the Asura, traveler?
12798:  Tralinia, tak?
12799:  Tralinia.
12801:  Za kasę.
12802:  Świetnie.
12804:  W ten sposób się nie musimy tym przejmować.
12806:  Dobra.
12808:  22 tysiące tymczasem.
12809:  Świetnie.
12815:  Brink z powrotem mógłby zrobić P.O.V.
12816:  Saurona z pierwszego sezonu.
12817:  Nic nie uratuje tego serialu Vedax.
12819:  Nic.
12819:  Ja już się będę z niego tylko śmiał.
12830:  Cordemon pyta, czy przy premierze DLC do Krasnoludów będzie Simtotor Warowy.
12834:  Oczywiście.
12835:  Może nawet będzie przedpremierze, ale to zależy od tego, czy Creative Assembly da mi kody.
12841:  Mam nadzieję, że da.
12843:  Okej.
12845:  Tradycyjnie merżujemy jednostki, żeby zrekrutować więcej jednostek.
12851:  Dobra.
12852:  Wystarczy.
12854:  Coś możemy jeszcze mieć.
12855:  Lustrzana Straż Wojownicy Chaosu.
12860:  Czy to się opłaca?
12861:  Nie, ale będziemy w stanie szybciej robić auto-resolve.
12871:  To było bardzo dziwne.
12874:  Okej.
12876:  Świetnie, szerzący się konsumpcjonizm.
12878:  Do tego potrzebujemy jeszcze tylko niebiańskiej kokieterii.
12881:  Ciek pisze, że jest pierwszy raz na live.
12885:  Witamy serdecznie, jamniki dla Krzyśka!
12888:  Kanał polecił, student zagiechł, aktualnie jestem z maturzystą, ja w pełni się zgadzam z poglądami.
12892:  Dobrze, cieszę się bardzo, że wpadłeś do nas.
12894:  Ogromnie.
12896:  Jamniki dla ciebie.
12898:  Nawet ja wyślę.
12899:  Czemu nie?
12899:  Dzisiaj w prawdzie, nie wiem, czy to jest dobry moment, Krzysiek, żeby dołączyć do naszej społeczności, bo dzisiaj jesteśmy wyjątkowo jurni.
12905:  Jesteśmy zamknieni w jurnej wierzy.
12909:  Wszyscy.
12910:  Po prostu nasza wieża jest teraz na styku Dominium Chaosu.
12914:  Dlatego przenikają tutaj siły Slaanesha, deprawują nas.
12918:  Nawet Jamnik jest zgorszony.
12920:  Bardzo jest zgorszony.
12929:  Tak!
12931:  Chaty, chaty.
12934:  Potrzebuję... Potrzebujemy dwóch bohaterów.
12940:  Okej, załóż kult jest gdzie?
12942:  Tu jest załóż kult.
12943:  Dobra, to nas interesuje.
12944:  Ten bohater.
12947:  Kusicielka.
12949:  Co ona ma?
12950:  Bitch slonesza.
12951:  Eee, to nie.
12952:  Ona jest nam niepotrzebna.
12955:  Jest nam bardzo niepotrzebna, bo tylko zużywa fundusze, ale ten bohater jest nam bardzo potrzebny.
12960:  Wiecie dlaczego?
12961:  Zaraz zobaczycie.
12963:  Załóż kult.
12965:  Wiecie na czym to polega?
12967:  Im więcej założycie kultów, tym bardziej deprawujecie jakąś frakcję.
12971:  Co więcej, możecie zbudować jednostki za...
12977:  Więc tak.
12979:  Najlepsza rzecz, jaka istnieje, to moim zdaniem to, ponieważ zwiększa limit kultystów, albo to.
12985:  Koszt uwodzenia jednostek, wierni plus 5 natury i gorszący wpływ plus 4 natury dla posiadacza osady.
12992:  Więc na razie damy to.
12994:  Potrzebujmy wiernych.
12997:  I można zakładać kulty co kilkanaście tur, chyba.
13000:  Nie pamiętam dokładnie, jaki jest limit.
13002:  Rudlist, dziękuję za wsparcie.
13004:  Idealny dzień na wbicie kolejnego progu, prawda?
13008:  Jamniki dla ciebie, dziękuję.
13009:  Dwa miesiące to już.
13011:  Na czym polega tworzenie Vasalii?
13012:  Już zrobiliśmy to parę razy.
13014:  Musisz poczekać, aż Lily Throws, aż wypełni się ten wskaźnik gorszącego wpływu.
13021:  Na przykład to zrobiliśmy przy Iwres i przy Clothique z tego względu, że podbiliśmy tę frakcję.
13026:  Od razu wtedy możemy ją zvasalizować.
13028:  Vasal płaci określony trybut i do tego wszystkiego jeszcze może wykonywać rozkazy.
13034:  Więc potrzebujemy na przykład w tym momencie zvasalizować Avelron.
13038:  I ten gorszący wpływ będzie się coraz bardziej zwiększał.
13044:  Czy steamy będą tylko dzisiaj, czy jeszcze w tym tygodniu?
13047:  Sobota, niedziela i może jeszcze poniedziałek.
13050:  Taki jest plan, moi drodzy.
13052:  Peuszko jest znów Jan Mikołajem.
13056:  Co się dzieje, moi drodzy?
13059:  Simon, Tomasz Bergander, Gen Greymane, Mikołaj Rychlicki, Mateusz Madej, Paweł Kuska oraz Mega Fuka i Harry Osborn oraz Szalony Szkodnik i DW otrzymali najjurniejsze z wsparć.
13080:  prosto z wieży z Eremus Lanesha, od Akulity Jamnikuaja, Pepeuszko.
13087:  To mogło stać się tylko dziś.
13090:  Dziękuję, Pepeuszko, za wsparcie kanału, za rozdanie jamnikuajowych emoji wszędzie i owędy.
13098:  A my, by to uczcić, zatakujemy kaplicę Loeka.
13104:  Pewne zwycięstwo.
13111:  No, niby... Szymon Cichowski, dziękuję za wsparcie.
13115:  Daj od siebie miesięcy.
13116:  Czy oglądam polski serial Emigracja?
13118:  Nie oglądam z definicji polskich seriali, moi drodzy.
13124:  Dobra, udało się.
13126:  I... łupienie?
13131:  Następnie zajmujemy...
13135:  I teraz, jak weźmiemy troszeczkę replenishmentu, oddajemy natychmiast to i w res.
13150:  Dobrze.
13154:  A nie.
13155:  To jest nasza prowincja w sumie.
13157:  To zostawmy ją sobie.
13159:  To w sumie by opłacało się, żeby Iwres zostało podbite przez Alastera Białego Lwa.
13164:  Dobrze, tak to zrobimy.
13167:  Degresywny wilk, dziękuję za wsparcie od 13 miesięcy.
13170:  Imię dla bohatera Benedict Cumberas.
13180:  Jest to zbyt dobre, moi drodzy.
13184:  Slumber.
13187:  Kotak.
13189:  O, absolutnie.
13191:  I gdzie będziemy nim wędrować?
13193:  Moi drodzy, kogo musimy zdeprawować?
13196:  Morathi wymknęła się z naszych łapsk.
13200:  Należy to naprawić.
13203:  Co nam da ta piekielna manifestacja?
13206:  Nie, nic.
13207:  Piekielne manifestacje pozwalają na przykład zdobyć szybko stu wiernych, ale na przykład uziemiają na was dwie tury na terytorium wroga.
13215:  Kiepski pomysł.
13218:  Dwie serie fantasy na celowniku u Oli Nowickiej.
13220:  Malazańska Księga i Koło Czasu, które polecam bardziej.
13224:  Zacznę od... Jest to trudne.
13228:  Zależy jak... Ile masz za sobą fantasy.
13231:  Jeżeli dużo i lubisz lore, to Malazan.
13234:  Jeżeli wolisz raczej bardzo spokojną fabułę, to Koło Czasu.
13242:  Teoretycznie to byłoby do wygrania, gdybyśmy...
13259:  A spróbujmy.
13262:  Magnus Ogma, dziękuję za trybut.
13265:  Ogrywanie na Steamie Hitmana 3?
13266:  To jest bardzo solowa gra.
13269:  W sumie mogłoby być, ale nie za bardzo, wiesz?
13272:  Ja wolę, jeżeli jest magia i fantasy.
13276:  Powiedziałem błędnie oglądając emigracji, tylko dlatego, że jest polski.
13278:  Polska komedia, która nadaje horror i rikcz komediom polskim.
13283:  Tak, ale jest polska.
13285:  Sorry, zostałem tak strasznie wymaltretowany polskimi produkcjami, że nie jestem w stanie.
13289:  Druga kwestia, jestem bardzo wrażliwy na dźwięk.
13291:  Nie bez powodu tak szalałem z tym, żebyśmy mieli odpowiedni setup dźwiękowy tutaj.
13295:  Jak słyszę...
13297:  polskie nagłośnienie, to ja cierpię po prostu.
13299:  Fizyczny ból odczuwam.
13301:  Dokładnie taki sam ból odczuwam, jak redaguję teksty.
13304:  Don Ratkos, dziękuję za trybut.
13305:  Zdeplować Moratii to, aby podpalić ogień.
13309:  Tak, jest to prawda.
13312:  Nie możemy być w lesie tym razem.
13315:  Ponieważ w lesie dostają nasi przeciwnicy boosty.
13320:  Co by nam się tutaj przydało?
13322:  Tu by się przydał jakiś ładny corner camping.
13326:  To też zrobimy.
13332:  A jeźdźców?
13334:  Damy do lasu.
13335:  O tak.
13337:  Tak właśnie.
13355:  Okej, łucznicy... Są przy... Tam są dwa oddziały łuczników.
13365:  Czy my jesteśmy w stanie odciągnąć troszeczkę część?
13368:  Tak, jesteśmy w stanie to zrobić.
13371:  Żeby nie walczyć z nimi naraz.
13374:  Przynajmniej jeden oddział może się uda.
13378:  Tak, a nie... Dobra, i tutaj idziemy po łuczników, świetnie.
13381:  Zawsze coś.
13382:  Aaa, nie walcz na raz!
13391:  Dobrze.
13393:  Co oni robią?
13402:  Dobrze, dobrze, dobrze, dobrze, dobrze.
13405:  Zniszczyć ich.
13408:  Świetnie.
13412:  Miko392, dziękuję za wsparcie od 8 miesięcy.
13415:  Jak się nazywa?
13416:  Jurny, John Wick, John Dick, to tak, Philip Kindred, zawsze z tym, znaczy nie zmieniam nazwiska.
13423:  As you say.
13426:  Demonetki, lecicie.
13429:  O nie, nie, żadnego flankowania.
13431:  Consume them!
13431:  To the next!
13441:  Dobra.
13444:  Make them scream!
13445:  Make them suffer!
13448:  Acknowledged!
13450:  Acknowledged!
13451:  Jestem elfem i wykonuję rozkazy!
13453:  Zaraz będziesz wykonywał rozkazy kogoś innego!
13457:  Prawda?
13457:  Czemu Philip Kindred Dick nie zmienił drugiego imienia?
13460:  Kindred.
13463:  Dick thinks this is a very good strategy.
13470:  Ooooo, giniemy.
13474:  O nie.
13475:  Wiecie co, to się może udać jeszcze.
13481:  To to jest?
13482:  Drzewne Bractwo, dobrze.
13483:  To, które wykończyliśmy wcześniej.
13489:  Dobra, w tych łuczników teraz.
13492:  Walić w łuczników.
13499:  Drzewne Bratstwo wbrew pozorom może nas wykończyć, bo ono jest dość odporne.
13509:  Tak.
13518:  Co ci łucznicy robią?
13519:  Czemu oni idą?
13519:  Czemu ty idziesz?
13520:  Czemu idziesz?
13530:  Nasza jazda.
13536:  W łucznicy tutaj, bardzo proszę.
13539:  Wgryźć się im w tyły.
13543:  Łucznicy szaleją.
13546:  Łucznicy autentycznie oszaleli.
13551:  O Boże, oni przestali iść.
13557:  No, Drzewne Bractwo jest za silne.
13571:  Zabić, zabić, zamordować!
13578:  Ej, nie ma, nie ma, nie ma tutaj jakiejś depresji dziwnej, nie ma.
13583:  Więc dlaczego oni się nie chcą... Dziwna sprawa.
13588:  Striders!
13595:  Oczywiście, że to przegramy, teraz to już jest bardzo widoczne, ale... ale za to zadamy mu straty i o to chodzi.
13604:  Więcej zadamy straty ich własnymi łucznikami i o to chodziło.
13608:  Good.
13618:  Dobra, oddział stracony, świetnie.
13622:  Tu sytuacja, łucznicy cały czas obrywają.
13637:  Właśnie, dobrze byłoby, żeby zapłonęły konary Drzewnemu Bractwu, czemu my nie możemy tego zrobić?
13643:  Zbyt silne jest Drzewne Bractwo, moi drodzy, niestety.
13653:  Tak.
13655:  Tak, zbyt silne.
13657:  Ale przynajmniej bohaterska to była porażka, moi drodzy.
13661:  Wszystko płonie, bo szle na szronie.
13670:  Jest jeszcze inny problem w kontekście gier, wciąż podkreśla się ich rzekomo szkodliwość.
13675:  Masz jakiś pomysł, jak się nie złapać w tę narrację?
13676:  Tak.
13677:  Jeżeli ktoś mówi o szkodliwości w grach, musi mieć doktorat z psychologii lub z terapii i doktorat z groznawstwa.
13684:  Tylko wtedy dopuszczam kompetencyjne wypowiadanie się na ten temat.
13688:  Nigdy w innych przypadkach.
13690:  Jeżeli ktoś zajmuje się terapią, jasne, ale musi też się znać na grach.
13696:  Tutaj, moi drodzy, jeżeli ktoś głosi bzdury, to trzeba przypuścić atak kompetencyjny.
13702:  Czy raczej kontratak.
13704:  Bo, jak wiadomo, zaczynanie dyskusji od tego, jakaś ma kompetencje, jest paskudne i klasistowskie, ale jeżeli ktoś w pierwszej kolejności bzdurzy, to jak najbardziej należy to zrobić.
13713:  To jest ten przypadek.
13717:  Mmmmmmmm... Oooo... Tyrion jest silny.
13724:  Czy my damy radę?
13727:  Czy my damy radę?
13730:  Nie możemy przywołać armii wyznawców jeszcze, ale wiecie, co możemy zrobić?
13734:  Zasadzić się w zasadce.
13737:  Zwłaszcza jak zaczniemy cokolwiek wznosić.
13740:  AI dostaje wtedy szały.
13742:  Muszę pokonać.
13743:  Zawsze.
13745:  Więc jest to dobry sposób na to, żeby zwabić paskudną i głupią inteligencję, która jest sztuczna.
13751:  Widzę, że przegrywamy nasz przeciwnik, znaczy nasz sojusznik tutaj i to tak słono przegrywa, więc musimy mu powiedzieć, co ma robić.
13760:  Zaatakuj cel.
13764:  Wybrano cel ataku.
13766:  Dobrze, działa.
13780:  Czy można być po prostu wyjebany i sobie pograć?
13782:  Wiesz co, dużo ludzi poddaje się takiej narracji, jeżeli nie wie na przykład w jaki sposób działają gry, nie wie, że to jest po prostu takie samo medium jak każde inne.
