Największa z uraz do pomszczenia — WARHAMMER 3 IMMORTAL EMPIRES
🔗 https://www.youtube.com/watch?v=1-_JZpCZ0kk

251:  Wyjątkowy stream środowy.
8499:  Hartka Drwala najlepsza.
8505:  Dobrze.
8508:  Nie wiem kiedy Genshin z Dominikiem hała Sakura, ja jestem generalnie niedobry w te zobowiązania, dlatego staram się ich zawsze unikać, bo moim zdaniem zawsze jest dobrze zrobić coś wtedy, kiedy po prostu o, nagle jest chęć po wszystkich stronach, a spontanicznie robimy, nie?
8524:  To jest super wtedy.
8526:  Planowanie... I'm not in the business of planowanie.
8532:  Inaczej bym się denerwował.
8533:  O nie, nie.
8534:  Nie mam żadnego zaplanowanego filmu.
8537:  Na styczeń, co teraz?
8539:  Koniec!
8540:  Nie, nie.
8542:  Szept.
8543:  Zwłaszcza, że Stachu pisze, że Dominik na razie nie gra w Genshin'a.
8549:  Jeśli ma powstać Total War University Tolkiena, to by była to pierwsza era?
8552:  Nie sądzę.
8553:  Właśnie zrobią prędzej coś, co jest znowu w okolicach Władcy Pierścieni.
8558:  Wszystko jest lepsze niż Rings of Sour Tsukitsubane.
8561:  Ooo... Co za, co za smutek.
8565:  Cały czas swoją drogą dzięki temu dostajemy boost do rozwoju prowincji.
8576:  Nie wypowiadam się bimaj na temat wypowiedzi innych ludzi na mój temat.
8579:  Gdybym tracił swój czas na zastanawianie się, kto następny zamierza jeździć na zasięgach albo moim nazwisku, to nic innego bym całe życie nie robił, a to jest straszna strata czasu.
8596:  Tak, przychody potrzebujemy tutaj stanowczo.
8600:  Zatem na samym początku zakładania tego kanału poprzysiągłem sobie, że chociaż jest to vlog, to nie będzie to kanał o mnie.
8608:  I konsekwentnie... Uuu, nie ma tutaj skawenu.
8610:  I konsekwentnie staram się dotrzymywać tego zobowiązania.
8614:  Jeden jedyny wyjątek, to jak informowałem o moim kursie, ale to dlatego, że bardzo dużo ludzi o to prosiło i pytało wcześniej.
8621:  I to nie ukrywam, że się zabrałem za zrobienie tego kursu w Łódź, dlatego że widziałem, że jest popyt na to, a nie... Nie usiłuję tworzyć sztucznego popytu.
8630:  Czy słaby poziom Rings of Power może przyczynić się do zmniejszenia zainteresowania fantastyką?
8634:  Nie, ale może się przyczynić do zmniejszenia zainteresowania fantastyką po stronie producentów.
8638:  O, bo zauważcie, co wygrywa?
8641:  Peryferal, The Last of Us, wspólna cecha?
8644:  Science Fiction.
8645:  Wiecie, w takim bardzo ogólnym sensie.
8648:  Fani wiedzą, że post-apo i science fiction to jakby dwie różne rzeczy w zasadzie.
8652:  Różnią się w zasadzie wszystkim, pomijając technikę ekstrapolacji, czyli tworzenia świata wyobrażonego w wyobrażonej przyszłości.
8658:  Ale to się sprawdza.
8660:  Film, science fiction, wszystko w porządku.
8662:  Wychodzi jakieś fantasy i są od razu problemy.
8664:  Willow, problemy.
8666:  Rings of Power, problemy.
8667:  Wiedźmin, problemy.
8668:  Zauważcie, że z perspektywy człowieka, który nie jest w to zanurzony i nic nie ogarnia,
8673:  Wyłania się z tego prawidłowość.
8674:  Pasta tymczasem dołączył do grona trybutariuszy.
8677:  Dziękuję za to serdecznie.
8684:  Zawsze się jednoręki będą zdarzały krzykacze, którzy chcą się wybić.
8687:  Niezależnie od tego, gdzie się jest, kim się jest i co się robi.
8691:  Zawsze.
8692:  Gdybym dostawał 5 złotych za każdą osobę, która na przykład rozmawiała ze mną z szerokim uśmiechem na konferencji, tak?
8701:  albo słuchała bardzo pilnie mojego referatu, po czym opublikowała artykuł dokładnie o tym, o czym ja mówiłem, bez cytowania mnie, to prawdopodobnie w tym momencie bym się zastanawiał nad zakupem willi w Los Angeles.
8717:  I oczywiście sytuacje pochodne.
8719:  Zawsze jest najprościej
8722:  Nie ściągać mojej mini, tylko plagiatować, albo wykorzystywać celem łatwego i szybkiego wzbogacenia się, czy łatwego i szybkiego zyskania renomy, czyjeś osiągnięcia, tudzież czyjąś pracę.
8735:  I to będzie jedna z tez odcinka na temat ściągania, który się zbliża, bo wiecie, ściąganie nie istnieje.
8742:  Ale istnieje coś innego i o tym będę mówił.
8744:  It is time!
8751:  To co, Karakosiem Szczytów?
8753:  Czy jeszcze nie?
8754:  Może lepiej... Poczekajmy troszeczkę tutaj, aż się... No, przynajmniej żebyśmy mieli mury.
8761:  Kusi mnie, żeby wybyć już.
8762:  Kusi mnie.
8763:  Za bardzo.
8764:  Musicie mnie powstrzymać przed czymś takim.
8773:  Westward lepszy od peryferalu?
8777:  Sezon pierwszy, zgodzę się, jest na pewno o większej skali, natomiast czy sezon drugi, to już bym miał problemy.
8786:  Ludzi, którzy ucinają końcówki liczebników, 10 zł.
8790:  To jest kwestia tego, że H jest głoską bezdźwięczną.
8795:  Kiedyś było rozróżnienie w polszczyźnie na H dźwięczne i na przykład dlatego macie słowo zharmonizowane i pisane przez Z, bo w polszczyźnie jest zasada, że dźwięki dźwięczne przejmują swoje właściwości wzajemnie.
8808:  Natomiast schamieć będzie przez S, dlatego że jest dalej bezdźwięczne H. I kiedyś ludzie rozróżniali to, dlatego się utrzymywała taka zasada w ortografii, a dla nas ona jest już nielogiczna.
8822:  Natomiast jeżeli chodzi o ucinanie właśnie, no to jest coś takiego jak utrata dźwięczności w wygłosie w polszczyźnie i to jest naturalny proces.
8832:  W L.A.
8832:  polecam Palos Verdes nad Oceanem.
8834:  Dziękuję.
8835:  Może za 150 lat to już, wiecie, tylko to jest ważne, muszę nie pić tej jednej laty w miesiącu, już za 150 lat będzie mnie na to stać.
8843:  To jest ważne.
8844:  Protipy dotyczące oszczędzania.
8846:  Pamiętajcie, odmówcie sobie tego jednego snickersa w miesiącu, 450 lat i macie już samochód.
8855:  Żelazna skała, czy idziemy dalej?
8857:  Nie, nie będziemy tego rozwijać na razie Ciułamy, ciułamy pieniążki Ewentualnie, jeżeli jest możliwość Przestajemy ciułać pieniążki, bo tutaj będzie trzeba zbudować mur W wysokim punkcie, albo inaczej Pieniążki, pieniążki, tak Nie naprawiamy tego, myślę Nie, nie ma sensu Jak tam góra Gundbad, czy możemy mieć... Nie, jeszcze nie
8885:  Tak, koniecznie jeszcze trzeba wstawać o 4 rano i nie szanować kobiet.
8888:  To jest ważne.
8889:  Widzę, że słuchaliście długo jednego z najwybitniejszych filozofów współczesności, wybitnego intelektualistę, świetnego przedsiębiorcę, który wcale nie wzbogacił się na tym, że po prostu odpalał sobie kamerki z dziewczynami, Andrew Tate'a.
8904:  Przepraszam, profesora Andrew Tate'a.
8905:  ponieważ nie zapominajmy, że jak każdy wannabe coach i przedsiębiorca, podpina się swoimi biznesami pod edukację i usiłuje robić rzeczy, do których nie jest przygotowany.
8918:  Autentycznie założył uniwersytet, znaczy ten jego śmieszny kurs się nazywał uniwersytet czy college czy coś takiego.
8923:  Bardzo znaczące.
8927:  Dlatego zawsze niepokoję się, jak ludzie się snobują na edukację.
8932:  Bardzo mnie to niepokoi, bo to prowadzi zawsze do patologii.
8938:  329... Ojej, dobra, czaty, teraz trudna rzecz.
8940:  Ja nie umiem liczyć, więc to będzie 329 razy 5.
8944:  Nie stać nas na te jednostki jeszcze.
8947:  O nie.
8948:  A czy stać nas na inżyniera?
8950:  Tak!
8952:  Walaja!
8954:  Uuu...
8957:  Dobra, weźmiemy Valaya.
8958:  Lubię Valaya brać, ponieważ na późniejszych etapach rozgrywki AI dostaje nieprawdopodobne boosty do zabijania naszych bohaterów, więc ten minus 20% to jest konkret, konkret.
8969:  Oczywiście, że zazdroszczę PPU-szku, naturalnie.
8971:  Moim marzeniem jest to, żeby masturbować się przez swoim czerwonym, dużym samochodzie.
8976:  To jest moje marzenie.
8978:  Ponieważ jestem żałosnym człowiekiem, nigdy w życiu nie będę mógł tego zrobić.
8982:  Zdaję sobie z tego w pełni sprawę.
8993:  Rumuńskie służby zarekwirowały Tate'owi 3,5 miliona dolarów w majątku?
8998:  O nie... O nie... Jeszcze nigdy ta kwestia Palpatina tak nie pasowała!
9015:  Słuchajcie mnie, się wzbogacicie!
9017:  Ojej, ale ja nie umiem!
9022:  To jest tak, Logan Paul, który chciał zrobić sobie świetny interes na KryptoZoo, nakrył go Coffeezilla, zrobił serię materiałów i Logan Paul był taki, jesteś u pani, pozwę cię, aaa!
9042:  ale tak naprawdę jest poważny przedsiębiorca.
9045:  Bardzo poważny przedsiębiorca.
9047:  Coffey's Villa genialnie zareagował, poczekał, dał Loganowi nakręcić jeden film, w którym się skompromitował, drugi film, w którym się skompromitował.
9056:  Po czym, jak opublikował trzeci, w którym przeprosił, Coffeezilla ze śmiertelną powagą powiedział, że dobrze, to ja w takim razie odpowiadam, a nie, nie na ten, nie, nie, też nie na ten, w którym grożono mi pozwem, o, na ten odpowiadam.
9070:  Przepiękna, przepiękna sytuacja.
9072:  Jak nie znacie jakimś cudem afery z Logan Paulem i KryptoZoo, polecam kanał Coffeezilla, można się spłakać ze śmiechu, jak to wygląda.
9080:  Świetne, świetne biznesy, skrzydlate biznesy, moi drodzy.
9087:  Co może pójść nie tak?
9088:  O, o, o, będziesz grał w gierkę i zarabiał pieniądze.
9095:  Mnie się to wiele razy zdarzało, moi drodzy.
9096:  Jak gram w gry, tysiące razy mi się tak zdarzyło po prostu.
9099:  Absolutnie tak się dzieje, że po prostu odpalacie grę i deweloperzy sami wam płacą.
9104:  I tak się dzieje.
9106:  To nie jest tak, że w Genshin Impact my płacimy deweloperom.
9108:  To nie jest tak, że my płacimy za... Nie.
9111:  Jest.
9112:  Tylko najważniejsze jest to, żeby mieć takie cyfrowe obrazki.
9116:  W grze.
9117:  O. I wtedy te cyfrowe obrazki będą warte więcej, jeżeli będzie miała je na profilówce Magda Gessler.
9124:  Co może pójść nie tak?
9125:  Co może kuźwa pójść nie tak?
9128:  Julka utyskuje, że się drę.
9130:  Przepraszam, czy to znaczy, że mam mikrofon zbyt blisko?
9133:  Mmm, piramidy finansowe, prawda?
9135:  Hehehehe.
9139:  Polskie dramy się do tego nie umywają.
9141:  Wiszko Sysakowski, to jest troszeczkę tak, że... Dobrze, teraz Krzysztof będzie bardzo złośliwy wobec polskiego YouTube'a.
9147:  W zachodnim YouTube'ie są faktyczne dramy i poważne problemy tego rodzaju, natomiast w Polsce trzeba dramy tworzyć.
9154:  Ponieważ wiecie, pierwsza zasada polskiego YouTube'a jest taka, że trzeba robić to, co robi zachodni YouTube, bo to się sprzedaje w algorytmie.
9161:  Więc jeżeli sprzedajesz tam dramy, a my dram nie mamy, no to stworzymy własne.
9168:  No i są takie, wiecie, tak, ten miś na miarę naszych możliwości, to są takie dramy na miarę naszych możliwości, takie, takie bidne, jakieś, tak, jeden drugiemu powiedział, o, brzydko wyglądasz, a tamten mu odpowiedział, nie, nie, nie, nie, nie, to ty brzydko wyglądasz i wjeżdża gimper na całego.
9186:  Słuchajcie, poważna sprawa.
9189:  Poważna sprawa, YouTuber A powiedział do YouTuberki B, że ona wygląda brzydko.
9194:  YouTuberka B powiedziała do YouTuberki A, że ona wygląda brzydziej.
9198:  No ja, ja czekam na to Fame MMA!
9201:  Ja na to czekam!
9204:  Piękne.
9205:  Every fucking time.
9208:  Every fucking time.
9209:  Dobrze.
9210:  Bardzo, bardzo się zrobiło teraz nieinteresujące na mapie kampanii, ponieważ Krzysztof Kampi, ale to dlatego, że to jest kampania,
9220:  Wspaniale!
9227:  Czy doczekamy się zagrania we wspaniałą grę opartą na filozofii Karla Junga?
9231:  Ze wspaniałą fabułą i ciekawymi postaciami.
9233:  Miałeś mi już przy Karlu Jungu Rainmaker, to znaczy miałem powiedzieć nie, nie chcę mieć nic wspólnego z Karlem Jungiem.
9239:  Persona 4 Golden.
9242:  Mam problem z Personą.
9246:  Ale doceniam, żeby nie było.
9247:  Doceniam grę, ale nie umiałbym się w nią wczuć.
9255:  Okej.
9256:  Okej.
9257:  Wysoki po... Aż mnie kusi, żeby tutaj coś zbudować, no!
9263:  Ale widzicie?
9264:  Wurzak wielki, zielony.
9267:  Prorok znowu jest tutaj.
9269:  Popatrzcie, on się z nami po prostu... Za nami się stęsknił.
9273:  Wurzak nie może wytrzymać bez nas chwili jednej.
9276:  I wiecie, co zrobię?
9278:  mury w tym miejscu, ponieważ Wurzak widząc mury, dostanie palpitacji piany na swoim wielkim, zielonym ryju i zacznie nas atakować.
9288:  Co z dramą Nitro?
9289:  To nie była drama, to był właśnie, to był przypadek pierwszy w polskim YouTubie, rzekłbym, kiedy rzeczywiście miałem wrażenie, że jest poważna sprawa i nareszcie się mówi o poważnych sprawach.
9303:  To był pierwszy taki przypadek, kiedy to było na poziomie tego, co wykrywa Kofi Zilla.
9307:  Bo zauważcie, że Kofi Zilla nie mówi o dramach w sensie, że o Jezu, jest drama i coś tam.
9311:  Tylko jeżeli rzeczywiście ludziom się dzieje krzywda i setki na przykład osób się nabiorą na jakiś skam, o, jeżeli chodzi o nakrywanie skamów na polskim YouTubie, co mi się zdarzało rewo, to bardzo szanuję.
9321:  Jak najbardziej takie rzeczy trzeba robić, bo wiecie, chcemy ochronić w ten sposób innych ludzi.
9326:  Ale jeżeli jest to robione tylko dla czystego zysku, z tych potwornych igrzysk, którym jest ten obrzydliwy fame MMA, to we mnie to wzbudza głęboki niesmak.
9344:  Pierwsze prawo Abercrombiego.
9347:  Wciąż jest przede mną, to jest długa seria.
9351:  Ja Abercrombiego czytałem tylko może drzazg jak dotąd.
9356:  Ale Abercrombie jest ulubionym pisarzem, co ciekawe, Andrzeja Sapkowskiego.
9359:  Nie wiem, czy wiecie.
9360:  Więc kto wie, kto wie.
9365:  Dobra.
9368:  Jeżeli oni kosztują... Byłoby 600 więcej w utrzymaniu, gdybyśmy dorzucili sobie żelaznych rębaczy tutaj.
9378:  Nie stać nas tak czy siak.
9380:  Musimy te prowincje rozbudować teraz.
9383:  Głóg krańca świata teraz będzie zagrożony bardzo atakiem, podejrzewam.
9390:  Dobra, na wszelki wypadek ufortyfikujemy pierw wysoki punkt.
9396:  Jaki jest mój problem z Jungiem?
9401:  Generalnie Jung, jeżeli go będziemy traktować jako twórcę fikcji literackiej, który bardzo interesujące rzeczy mówił o mitach i o antropologii, to wszystko jest w porządku, ale jak zaczniemy to traktować bardziej naukowo, czy nie daj Boże już jak psychologię, to wtedy zaczynają się pewne problemy, bo wiecie, gdyby tak w dużej mierze streścić filozofię Junga, to ona się sprowadzała do tego, że
9422:  O, to jak Freud mówił, że jest nieświadomość, to ja mówię, że jest coś takiego jak nieświadomość spiorowa, że wszystkich przenika taka energia i ona nazywa się moc.
9436:  I możesz być po jasnej stronie moc lub po ciemnej stronie mocy.
9440:  I równocześnie my odradzamy się w kolejnych pokoleniach i pamiętamy swoje przeszłe wcielenie.
9446:  Ta prawda brzmi jak George Lucas, ja wolę George'a Lucasa,
9450:  Ale jeżeli ktoś mi mówi, że to jest psychoanaliza, to trzeba mieć z tym pewien problem.
9453:  Więc ja jestem po stronie Freuda, jeżeli chodzi o dysputę Freuda z Jungiem, a przypominam, że nawet staruszek Freud jest krytykowany przez współczesnych psychoterapeutów, psychologów i psychiatrów równocześnie.
9464:  Więc cóż dopiero Jung?
9466:  Protosi do Kali, no właśnie, też są połączeni.
9469:  Tak, tak jest.
9471:  Tego rodzaju nieświadomością zbiorową.
9473:  Przecież w sumie u Protosów to była świadomość zbiorowa.
9478:  Popatrzcie, spryciarz i anuj... Przepraszam, to nie jest anuj.
9482:  To jest anuj.
9484:  Z pewnością było to łatwiej przeczytać.
9486:  Atakują nas.
9487:  Równocześnie i naraz.
9491:  Ale mnie kusi odbicie karaku osiem szczytów.
9493:  To jest straszne.
9494:  Uświadomiłem sobie w tej chwili, że nie postąpiliśmy w ogóle naprzód.
9499:  W tej kampanii.
9499:  W ogóle.
9501:  Czy słyszałem rozmowę Jacka Dukaja z Jackiem Bartosiakiem?
9504:  Dwóch Jacków, tak?
9507:  Jeszcze nie, ale dużo osób mi to wysyłało.
9514:  Czy tutaj cały czas nas zachęcają?
9516:  Nie chcę ulepszenia budynku.
9518:  Ja będę decydował o tym, kiedy ulepszać budynek.
9522:  Gdzie jest ulepszenie budynku?
9523:  Dlaczego ja tego nie widzę?
9524:  Tu!
9531:  Jung pod koniec życia pisze z psykoanalogicznego na nas, że tak odleciał, że nikt nie traktował tego poważnie.
9535:  Zresztą właśnie Freud też się nie traktuje poważnie.
9538:  Tak, tak, tak.
9540:  Dlatego wiecie, traktujmy to jako filozofię, nie?
9542:  To jak, nie wiem, filozofię Derrida, Heideggera czy kogokolwiek innego.
9547:  Po prostu filozofia, fajna koncepcja, którą można wykorzystać w pracy licencjackiej, poza tym niewiele idzie indziej.
9555:  Karolitka mówi, że świetna rozmowa dwóch Jacków.
9559:  O nie.
9562:  Orki z Majorki nas... Dlaczego nie napisali Orkowie, powinni być Orkowie z Mrocznych Zień.
9568:  Orki z Majorki nas atakują, no niedobrze.
9572:  3300, dobrze, dobrze, dobrze.
9573:  Chcę mieć teraz możliwość... ...wejścia na piąty poziom.
9581:  Za 6 tur.
9583:  Ile to będzie kosztowało?
9584:  11 tysięcy!
9587:  Wielkie nieba!
9591:  Za dużo!
9593:  O, trzeci poziom.
9595:  To możemy zburzyć.
9597:  Dobrze.
9599:  Dobrze.
9601:  Mury jeszcze tutaj stworzymy i będzie można zrobić wypad na... Albo wiecie co?
9606:  Zróbmy teraz wypad na ziemię zielonoskórych.
9608:  Ja tego bardzo pożałuję, ale zróbmy ten wypad, bo oni i tak będą nas cały czas atakować, a w ten sposób nawiążemy stosunki z klanem Ungru... Yyy... Ungrunt.
9621:  Ja widzę tu pytania dotyczące Hogwarts Legacy Helena, ale ja na tematów politycznych celowo nie poruszam.
9627:  Dobrze.
9635:  Aż ten łuk końca świata naprawdę będzie zagrożony, ja to wiem.
9638:  A potrzebujemy tak... Góra Gunda, proszę za tyle, o Jezus.
9642:  Musimy mieć to.
9644:  Piekarnia kamiennego chleba sprawi, że będziemy rosnąć szybciej troszeczkę.
9653:  Trochę racja, Wojciechu, że Jung i Freud byli dla psychologii trochę czymś jak model atomu Bohra dla chemików, czyli błędną teorię, która pozwoliła stworzyć lepsze.
9660:  Nic o tym nie krytykuje Bohra.
9662:  Tak, tylko że równocześnie mam wrażenie, że w przypadku nauk humanistycznych te idee mają o wiele dłuższy okres połowicznego rozpadu.
9672:  że też użyję metafory technicznej, mianowicie ludzie, zauważcie, do dzisiaj, nie wiem, odkrywają na przykład teorię Freuda i myślą, że to jest coś, co ludzie poważnie traktują, a tymczasem, no nie mają takiej świadomości już, że to jest... zużyte poniekąd.
9687:  Dobra, bierzemy złoto.
9690:  He, he, he.
9691:  Wiedziałem!
9694:  Orki z Majorki to był chyba taki film na Netflixie, Blythe.
9697:  Blythe nie był zły!
9702:  Krzysztof mówi naukami ścisłymi.
9703:  Szok.
9707:  Moderatorka dworuje na czatach.
9710:  Zobacz zdjęcia.
9712:  Tak to jest, moi drodzy.
9713:  Świetnie.
9713:  Dostaliśmy jeszcze... O, bardzo dobrze, bardzo dobrze.
9717:  Mamy Penunce.
9719:  To oznacza, że odważę się... ...porekrutować, moi drodzy.
9725:  Wreszcie się odważę.
9727:  Trzy oddziały, no jest idealnie.
9729:  Jeden inżynier, jeden kowal run, jeden lord i reszta piechociarzy.
9736:  Thronebearers!
9738:  Teraz tak, o co zakład, że tutaj będą skaweni za moment.
9743:  Zwłaszcza, że... ojojojojoj.
9752:  To kosztuje strasznie dużo.
9755:  Nie no, to jest jakiś dramat.
9757:  Dobra, musimy kogoś obrabować.
9760:  Uniwersalne rozwiązanie.
9762:  To jest jaki poziom?
9764:  Wysoki.
9765:  Idziemy tu.
9767:  Hmm.
9770:  E, e, e. Dobra, atak!
9774:  O bogowie!
9775:  Walka!
9779:  Mnie się nie tnie obraz, Pawle.
9780:  Na szczęście, jeszcze!
9784:  Gra się zacina coraz mocniej, im dłużej w nią grasz.
9788:  Wiesz co, na ostatnich poziomach, czyli tury, tak powiedzmy, 400-500 bywa.
9794:  Niestety.
9807:  No dobra, tu mamy cztery wieże, nie ma się co w to pakować, tu są dwie.
9820:  Dobrze.
9830:  Mimo to jak... Dobrze, ta wieża idzie w pierwszej kolejności.
9836:  Coś tam jeszcze jest?
9837:  Nie.
9837:  Dobra, lecimy.
9841:  W sumie zrobiłem jeden błąd, ale jak zawsze, zawsze robię ten błąd.
9847:  Zawsze robię ten błąd.
9849:  Ile nam to zajmie?
9851:  Okej, niewiele.
9853:  Dwie salwy i będzie.
9859:  Docięcie gry zależało od przeładowania pliku zapisu lokalnego, prawda?
9863:  To ciekawe.
9865:  Nie miałem tej świadomości.
9868:  Ja jestem reprezentantem bardzo atechnicznym, moi drodzy.
9871:  Jestem PC-ciarzem, ale mam swoją małą firemkę, w której zaufani, dobrzy ludzie rozbierają mój komputer na części, ponieważ ja uważam, że komputer to jest magia.
9885:  To nie jest nic logicznego.
9887:  No właśnie, na jakim sprzęcie gram?
9890:  3060 Ti, jeżeli chodzi o GeForce'a i Ryzen.
9897:  8 albo 16 rdzeniowej, nie pamiętam, 8 rdzeniowej.
9899:  Właśnie teraz będę chciał 24 rdzeniowego Intela ID.9 i 4080 Ti kartę.
9907:  Prawdopodobnie koniec lutego albo początek lutego, zobaczę.
9911:  W zależności od tego, kiedy moja mała firemka będzie miała dla mnie czas.
9918:  Laptop to jest system magiczny?
9920:  No oczywiście, że tak.
9922:  Siedzi tam diabeł i to on decyduje, albo demon, o tym, czy coś działa, czy nie działa.
9927:  Mówię wam.
9929:  Wiem to, ponieważ czytałem Terry'ego Pratchetta.
9932:  Strasznie duża jest tutaj ta armia, ale liczę na to, że zdołamy zbombardować te jednostki mocno.
9940:  Daoui mocno masakrują debeściaki orków.
9943:  Zobacz zdjęcia.
9946:  Czasem, żeby się nie nudził nasz Thorgrim Strażnik Uras, który nawiasem mówiąc, popyla na Wielkim Tronie.
9953:  W związku z powyższym jest... jest tak typowym królem klasą ludów jak tylko można.
9959:  To poślemy go, żeby zniszczył bramę.
9965:  Jaki demon, święty, duch maszyny.
9968:  Tak jest, zapomniałem, przepraszam.
9971:  I tak już inkwizycja po mnie jedzie.
9976:  Goblińskie głazocizki tu mają?
9978:  Kto pomyślał?
9980:  Zniszczyć mi te wieże denerwuje mnie.
9982:  Chociaż w sumie to jest marnotrawstwo pocisków te wieże, zostawmy to.
9986:  Niszczmy raczej debeściaki orków.
9993:  Są ciągle ludzie, którzy sądzą, że w grach komputerowych jest szata, ale ty się śmiesz Krzysztof.
9997:  Coś w tym jest niestety.
9999:  Coś w tym jest.
10000:  Wiecie jaki mam plan?
10001:  Eee... Wiecie jaki mam plan.
10004:  Ten plan jest następujący.
10005:  Niszczymy fortyfikację, podprowadzamy tutaj... ...żelazne smoki, ale do tego musimy się pozbyć gładzocisków.
10012:  Bardzo mnie one niepokoją.
10016:  Do pozbycia się gładzocisków potrzebujemy... ...nasz młot niebios, żyrobombowiec.
10022:  O tak.
10025:  O, tak.
10029:  Komputer u Pratchetta z naklejką Until Inside.
10032:  O, o, o, o, o!
10033:  Właśnie, Dariusz, właśnie.
10038:  Tam też był taki wątek przecudowny.
10042:  demonów, które chociażby spały sobie radośnie w aparacie fotograficznym i dlatego to działało.
10049:  Czy lubię story realistów?
10050:  Lubię.
10051:  Ale najbardziej lubię realizm fantastyczny, czyli ten nurt, który reprezentuje Wojciech Siódmak albo Zdzisław Beksiński.
10060:  Natomiast, ja mówię, że realizm fantastyczny to też fachowe określenie tego, co robi Schulz, ale poloniści go nie znają.
10066:  Znaczy, nie Schulza, ale tego fachowego określenia.
10069:  Co zabawne, sam Schulz go też nie znał.
10072:  Schultz zdefiniował gatunek, w którym pisał, mityzacja rzeczywistości.
10075:  I shoot you not.
10077:  Przypominam, że Schultz pisał już w czasach, w których powstawała fantastyka i to tak radośnie zupełnie.
10082:  Mityzacja rzeczywistości, my ass!
10090:  Joe Rogan'a kiedyś słuchałem, ale przestałem ikłaju.
10094:  Jako inżynier informatyki Barthos z całą powagą potwierdza, że modlitwy faktycznie działają, więc Admech ma rację.
10100:  Leptus Mechanicus zawsze miała rację.
10102:  Nie, ta wieża mnie doprowadza do szału.
10105:  Zniszczyć mi tę wieżę.
10109:  Zresztą ta wieża zadaje nam więcej obrażeń niż cokolwiek, ktokolwiek, kiedykolwiek, gdziekolwiek.
10119:  A!
10119:  Tu są dwie wieże, świetnie!
10123:  Zniszczyć mi te głazociyski, cholerne głazociyski, won.
10128:  Aha, świetnie.
10130:  Nasz robomowiec stwierdził, że znudziło mu się strzelanie do jednostek, do których miał strzelać.
10139:  Ej, ej, ej, co to takie?
10142:  Shift 1?
10143:  Dobra, wystarczy.
10146:  Zrzućmy jeszcze parę bomb.
10154:  Dobra, mamy zrzucone bomby.
10159:  Trochę się udało.
10162:  Ale jakby zginął, to jakoś się nic nie stanie przesadnie przerażającego.
10166:  Ale wolałbym, żeby nie zginął.
10169:  Meksiński miał świetne fotografie.
10170:  Właśnie nie znam.
10172:  Dobra, podprowadzamy teraz, moi drodzy, kuszników i ostrzeliwujemy wszystko, co żyje, żeby byli bezpieczni wypalacze.
10178:  I na sam koniec wypalaczy posyłamy do zniszczenia piechoty i...
10183:  I tyle.
10183:  Gotowe.
10185:  Proste.
10188:  Chociaż czekajcie, tutaj jeszcze został jakiś głazociisk, czy nie?
10192:  Ej, zostały głazociiski.
10195:  Zniszczyć mi goblińskie głazociiski natychmiast.
10202:  Trybut, przepraszam.
10204:  Black Cat, dzięki za wsparcie od pół roku.
10206:  Czy to ten gość badał orkowe ła?
10209:  Oj, tak.
10210:  Orkowe ła to jest coś, z czym walczymy bez przerwy teraz, moi drodzy, niestety.
10216:  Ła, dla tych z was, którzy nie wiedzą, akurat w Warhammerze to jest mechanika, która pozwala jednostkom orków mieć w zasadzie drugą armię, która wędruje z waszą armią.
10227:  Co w jakiś sposób balansuje fakt, że jednostki orków, zwłaszcza niskiego poziomu, są dość słabe.
10235:  Ale ja nie lubię grać orkami.
10240:  Wszystko wskazuje na to, że to nasze bombardowanie coś ich daje.
10244:  Nasz inżynier tymczasem, wspaniały inżynier, może zasilić amunicję katapult.
10257:  Jaka gra zastąpi Horizon Zero Dawn?
10260:  Bardzo możliwe, że Harry Potter and the Hogwarts Legacy.
10264:  Kto wie?
10268:  Myślę, że to jest logiczne.
10271:  Dobra, o tutaj mamy możliwość strzelania, świetnie.
10275:  Okej.
10277:  Coś nas strzela, coś nas strzela.
10279:  O nie, nie w nas.
10281:  Zasięg wieży jest dotąd.
10294:  To teraz baitujemy atak.
10297:  I podprowadzamy Iron Drakes, podprowadzamy Strzelców.
10302:  Będzie radośnie.
10303:  W Jedi Fallen Order 2 też będziemy grali.
10307:  W zależności od tego, co wyjdzie pierwsze, bo ja uważam, że...
10311:  Harry Potter is Hogwarts Legacy będzie opóźniony.
10313:  To jest moja teza.
10316:  Mam duże wątpliwości co do tego dewelopera.
10318:  Jak jesteście zainteresowani też takim sceptycznym oglądem tej gry, to polecam materiał Luca Stevensa.
10328:  Dobra.
10333:  Możemy jeszcze ich ostrzelać tutaj.
10335:  Proszę bardzo, tam się udało.
10339:  No chodź, chodź, chodź, chodź, chodź, chodź, chodź, chodź.
10341:  Ale jest chytrzy, chytrzy.
10342:  Nie chce nas zaatakować.
10343:  Kto by pomyślał?
10347:  Może, może ta część wojsk się połakomi.
10351:  Liczę na to bardzo.
10352:  Nie mamy nieograniczonej amunicji.
10353:  Niestety!
10358:  Ale Krzysztof, to byłoby niezbalansowane.
10360:  Tak, bardzo niezbalansowane.
10361:  Linie zaopatrzeniowe istnieją!
10365:  Ulubiony styl w architekturze?
10366:  Art deco.
10369:  Bardzo szybka odpowiedź jak na tak niekonkretny styl, ale tak, bardzo lubię.
