🔴 Precz z Dragon's Dogma — HORIZON: FORBIDDEN WEST #2
🔗 https://www.youtube.com/watch?v=ey8tVacIRp8

202:  Wszystkie prawa zastrzeżone.
12917:  Nie cierpię i nie znoszę.
12920:  Okej, tu jesteśmy przy okazji, możemy ogarnąć kolco grzbiety.
12925:  I później... Reszta.
12933:  A cieszę się, growy dziad, że uratowałem twój portfel, bo nie, no naprawdę, jeżeli nie znasz Baldur's Gate 3 i nie grałeś, to mega polecam.
12945:  A, i jeszcze Divinity Original Sin 1 i 2 przecież od Larian Studios.
12951:  Słyszę jakieś rzeczy.
12956:  Żeby nie było, że znowu nie skradam się.
12958:  Skradam się.
12959:  Skradam się.
12960:  Skradam się.
12961:  Gdzie są kolcogrzbiety?
12962:  Skradam się.
12964:  Kolcogrzbiety są nieopodal.
12969:  W Dragon Age było fajne sterowanie drużyną, tworzyło się makra.
12973:  One były za mądre na mój mózg.
12975:  Mój mózg tego nie ogarnął.
12977:  Kolcogrzbiety chyba są w tę stronę.
12980:  Słyszę jakieś dźwięki.
12985:  Czemu ludzie narzekają na brak polskiego dubbingu, a potem grają z angielskim?
12996:  Bo jesteśmy w Polsce, po pierwsze, a po drugie, trafnie, trafnie punktujesz, ale mam wrażenie, że ludzie bardziej narzekają na brak napisów polskich, wiesz, polskiej lokalizacji, ale jeżeli chodzi o dubbing, fakt faktem, dobrze jak jest wybór, nie?
13014:  A niemniej jest to prawda.
13020:  Ja zazwyczaj, jak jest w grze dostępna polska lokalizacja, odpalam wpierw polską lokalizacją, ale drażni mnie, no nie ma tych kolcogrzbietów, moi drodzy, ale drażni mnie, jak nie ma polskiego HUDu.
13032:  Disco Elysium ma polskie napisy.
13034:  Fuj napisów.
13035:  Oj tak.
13036:  Disco Elysium jest książką interaktywną.
13038:  To jest trochę jak... Detroit Become Human nie jest grą, tylko jest filmem interaktywnym.
13044:  To jest gatunek gry w sumie, film interaktywny, no ale...
13048:  Nie ma typowego gameplayu.
13050:  To jest na dole?
13051:  Aha.
13052:  Natomiast w przypadku Disco Elysium to jest interesująca książka dla mnie.
13055:  Może nie poziom Visual Novelki, ale bardzo blisko.
13063:  Polerne kolcogrzbiety.
13065:  Poogarniemy to w drodze powrotnej.
13070:  W dole wodospadu.
13071:  Skandal.
13073:  Ale, ale... argument piękny, podołamie się.
13081:  Powalający łuk wybó... powalający łuk wyborowy.
13089:  Wyborowy, tak.
13097:  Dobra.
13098:  Jesteśmy uzbrojeni.
13104:  Daj mi ryj!
13106:  Daj mi ryj, pokaż ryj!
13109:  To jest wielkie!
13114:  To jest wielkie i ja się nie spodziewałem... Dobra, dobra, dobra, dobra.
13120:  Temu się ustrzeliwało to.
13127:  Śmiesz we mnie pluć kwasem?
13132:  He, he, he, he.
13133:  Zbiornik.
13136:  Pojemnik na surowcu.
13143:  Aaa, beka z ryja.
13147:  To jest bardzo duże.
13152:  Jo, jo, jo, jo, skradnę fraga.
13154:  He, he, he.
13186:  Szlag mnie trafi.
13195:  Dobra, przestaję naciągać te strzały.
13199:  Skanuję te maszyny.
13202:  Robiłbym to, gdyby była aktywna pauza.
13204:  Nie robię tego, ponieważ nie ma aktywnej pauzy.
13209:  Mój zarzut się utrzymuje z pierwszej części.
13211:  Powinna być aktywna pauza.
13212:  Jeżeli gra chce, żebym walczył strategicznie, jeżeli chce, żebym walczył na pałę, to będę walczył na pałę.
13223:  Jak chce, żebym skanował maszyny, proszę bardzo, niech mi da na to czas.
13231:  A my jesteśmy tutaj w sytuacji takiej, że... Ojej, ojej!
13234:  Trzeba... Ludzie, ludzie są tutaj!
13235:  O, pomóż ludziom, szybko, szybko, szybko!
13237:  I maszyny już walczą.
13249:  Chacia-puk.
13251:  Muzyka jest rewelacyjna!
13254:  To jest jedna... To jest jeden z tych utworów, który pójdzie na moją playlistę.
13267:  Gubię, jak odpadają rzeczy z maszyn.
13272:  Au.
13278:  Ja ci dam brak amunicji.
13292:  Zrobione!
13296:  Zrobione.
13300:  Możesz użyć ulta, gra by ci o tym powiedziała.
13304:  Kiedy gra mi o tym powiedziała?
13307:  Mistrzowskie strzelectwo, a to jest ten ult.
13309:  To on się strasznie długo ładował.
13312:  Dobrze, ale na przeszukiwanie ciała w trakcie walki jest już czas.
13315:  A to absolut?
13315:  To zawsze?
13317:  Zawsze.
13317:  Nie no, to skanowanie trwa długo po prostu, bo skanujecie, tak, ale później musicie się przełączać klawiszami, których nie pamiętam, między różnymi punktami.
13326:  No, jest to złożony proces.
13331:  To jest też to, co mi bardzo przeszkadzało w Dragon's Dogma, to znaczy totalnie bezwyraźna muzyka, która się ucinała w połowie.
13339:  Żeby nie było mnie, to też przeszkadzało w Dune'ie drugiej, że się ucinała w połowie muzyka, która mi się podoba.
13346:  Ja tu się już... O, emocje i tak dalej, a... A nie, koniec!
13350:  Cięcie!
13354:  Czy to źle, Lukasza?
13355:  Ssshhh, teraz...
13359:  Wszystko będzie w porządku.
13361:  Wszystko w porządku?
13363:  Błyskawiczna.
13364:  Ale nie bardzo.
13364:  Nasza ordynacja będzie żyć, żeby zobaczyć kolejny dzień.
13366:  Z pewnością będzie.
13367:  Nie jesteśmy wyjątkowymi od trudności, Nora.
13370:  Przełociliśmy połowę Świątyni Świątyni z nieco więcej niż kłopotami na nosach.
13377:  I tak szybko jak nasz Świątyni Świątyni wróci, nasz drogę będzie oczywista.
13382:  Na razie... czekamy.
13389:  Lindor pisze, że gra brzmi lepiej po angielsku.
13394:  A to, że skanowanie na przyszłość jest konieczne, to ja wiem, moi drodzy, ale na razie nawet nie mamy całej broni do tego.
13401:  Kachi pisze, że Ubi Forgotten Lambs?
13403:  Spokojnie, będą inne studia.
13406:  Ja bym chciał, żeby ktoś zrobił grę taką jak Skyrim w świecie Dungeons & Dragons.
13411:  O!
13413:  Bo ja przyznam, że mnie formuła Baldura nie do końca odpowiada.
13416:  Mnie ona nuży.
13417:  Za dużo tego rzutu izometrycznego jest.
13421:  Za dużo klikania, czytania tekstu.
13428:  W którymś momencie się to robiło już bardzo przydługie.
13430:  Mimo, że gra świetna.
13432:  Po prostu formuła się opatrzyła mi już bardzo, bo są wyłącznie takie RPGi bez przerwy.
13438:  Też nie wiem, gdzie to owoło się na twarz Aloy i Jakob'a, tylko pokazuje, jak należy zawsze sprawdzać, a nie tylko słuchać tego, co mówią gracze.
13447:  Jesteś Shadow Carja, nie?
13450:  Jesteśmy Ordem Człowieka.
13452:  A różnica jest w tym, że kiedy usurper Avad zabił jego matkę, uciekliśmy z Shadow Carja do Sunfall.
13457:  Nasze życie tam były trudne.
13464:  Pustułki.
13464:  Czy Stary Blizzard kiedyś wróci?
13468:  Stary Blizzard to byli ludzie, którzy odeszli od Blizzarda.
13470:  Niestety.
13471:  I zabałem się, że już nie.
13474:  Chyba, że założył swoje własne studio.
13487:  Ale mam wrażenie, że się za bardzo rozproszyli.
13488:  Nawet CD Projekt Red przejął devów z Glizzarda.
13490:  Wszyscy przejęli.
13499:  Sam Ferun Darku z Dungeons & Dragons jest gigantycznie niewyeksplorowany.
13503:  W Świecie Podmroku moglibyśmy zrobić jeszcze całą grę o skrytobójcach, na przykład WoW.
13511:  Twój mężczyzna, Sauron.
13512:  Powiedział, że ma trzy dni.
13513:  Jego medytacja nie może być uratowana.
13515:  Więc on to często robi?
13515:  Medytuje na końcu dni?
13517:  No... Zazwyczaj nie trwa tak długo.
13539:  Ja chcę reagować na to, że oni nie będą robić gry z Dungeons & Dragons?
13542:  Zadowoleniem.
13543:  Zrobili rewelacyjną rzecz już.
13545:  Wystarczy.
13547:  Podmrok był w dodatku do Neverwinter Nights drugiego, Hordes of Underdark, tak jest.
13555:  Ale Neverwinter Nights 2 to był znowu taki sam typ gry, jak Neverwinter Nights 1, Icewind Dale, Baldur's Gate, Divinity Renaissance 1, 2, Baldur's Gate 3, naprawdę dużo gier izometrycznych, RPGów, wszystkie fallouty praktycznie, wyjąwszy czwórkę, no...
13570:  Patrzcie na siebie.
13571:  Te maszyny praktycznie nie są dla ciebie.
13573:  Nasi osramowcy patrzą na ciebie, nie chcą cię strzelić.
13577:  Jesteś w niebezpieczeństwie.
13578:  Musisz zabrać Savo'har i wyjść.
13580:  Nasza sytuacja... To jest tylko najgorsza rzecz, którą przeżywaliśmy.
13596:  Wiem, że nie możemy tu zostać, ale bez Sawelharda Gajdysa, który mnie tam nie odwiedził.
13600:  I przekonam go, że czas na to, żeby iść dalej.
13602:  Ale jego medytacja... Jeśli nie otrzymał jego wizji, to go nie odwiedzi.
13607:  Przynajmniej pozwól mi sprawdzić go.
13611:  Jeśli był tam przez dni...
13616:  Tak, tak.
13616:  Tak, to jest sensowne, wierzę.
13618:  Proszę, bądź ostrożny.
13619:  Podróż do góry się rozpadła.
13620:  Bawelhar jest silny, nie mogłaby być łatwiejszym podróżem.
13625:  Rzadko jest.
13633:  W Deep Road Galactic nie grałem, ale faktycznie krasnoludowie w kosmosie, nie?
13639:  Kiedyś student mi robił prezentację z tego, stąd znam gierkę.
13644:  Bardzo sympatycznie wyglądała.
13646:  Dobrze, szybki zapis, moi drodzy, i nie uwierzycie, idziemy do misji głównej.
13652:  Misja główna jest główna!
13658:  Co?
13659:  Jak to z Knights?
13661:  To jest misja główna nagle?
13663:  Eee?
13663:  Zaraz, zaraz, zaraz, zaraz, zaraz.
13664:  O co chodzi?
13666:  A myśmy nie ukończyli drogi zmierzchu jeszcze, o. No to po, po, po, po drodze skończymy.
13674:  Gdzie ja jestem?
13676:  Tu jestem.
13678:  Daleko zaszliśmy.
13682:  Dobra, czyli tędy.
13686:  Ale z tego, co widzę, to już jest koniec.
13692:  Będzie, moi drodzy, wspinaczka, albo i nie będzie.
13696:  Ponieważ ja nie umiem trafiać.
13697:  Chyba jednak nie tędy.
13704:  Co to robi?
13705:  Eee, a ja mam w głowie papanada.
13708:  Nie mówcie mi, bo mam ochotę dzisiaj po horizonie odpalić Hollow Knighta.
13714:  Boże, to byłoby dopiero, po jakiejś przerwie, to by dopiero byłaby rozpusta.
13720:  Dobrze, jest nasz konik.
13723:  Chyba tędy.
13725:  Melemu!
13728:  Pod tym wodospadem podobno były stworzenia, ale ich oczywiście tam nie ma.
13737:  Nie, ale prawda jest taka, że będzie trzeba odpalić Genshin'a, żeby zrobić swoje daily, jak zawsze.
13741:  Dawaj drugi stream.
13744:  Skubane się uzależnione.
13746:  Hollow Knight jest fenomenalny.
13749:  Co mam wam powiedzieć?
13750:  Jakie kolcogrzbiety.
13753:  Kolcogrzbiety jednak?
13755:  W kopalni?
13760:  Okej.
13764:  Helldivers to Starship Troopers, trochę tak.
13766:  Bardzo chwalona gra swego drogu, ale ona jest co-opowa, więc wiecie, nie dla mnie.
13773:  Niemniej, niemniej, podobno dobra.
13779:  Czemu to z tymi kolcogrzbietami?
13786:  Cieszę się, że tutaj nie ma full damage.
13789:  Cieszę się, że tutaj nie ma contact damage.
13793:  Jeszcze Pathfinder, równie izometryczny.
13795:  No, izometryki generalnie są bardzo popularne.
13797:  Czy ja się teraz zakałapućkałem?
13803:  Czemu ja się zakałapućkałem?
13806:  Dobrze, nie zakałapućkałem się.
13811:  Zbieram to z mojego kształtu, kiedy to potrzebuję.
13837:  Dobrze.
13838:  Mam wrażenie, że mamy bardzo dużo już różnych farfocji do ulepszania rzeczy.
13845:  Czy nioch by się nadało na streamy?
13848:  Jest lubiany, jest so-slike'iem, a to mnie widzi z jakiegoś powodu.
13856:  Widzicie, jak ja mam skanować, jak to mnie widzi?
13859:  Kolcogrzbiet kwasowy, odporność na kwas, podatność na elektryczność, nie mam strzał elektrycznych.
13866:  No i już nie pamiętam jak się przechodzi... no okej, w ten sposób się przechodzi.
13872:  Dobrze, wyłącz, wyłącz to.
13876:  F i powalający łuk wyborowy.
13882:  Powalający łuk wyborowy zadaje tyle obrażeń, to ja nie chcę myśleć co będzie z innymi.
13889:  Dobrze, odpalimy swój ten przypływ odwagi.
13893:  Aloj jest teraz odważna.
13897:  Aloj się nie ulęknie.
13899:  Aloj zadaje dokładnie takie same wyobrażenia jak wcześniej.
13907:  Chcę strzelić w ten kwas, a nie mam jak.
13922:  Nie!
13922:  Głupia maszyna, głupia!
13927:  Ale nie tyle jest odważna, co jest sprytna.
13929:  Zwiększył się jej spryt znacząco.
13934:  A świetna, no świetna ta umiejka, taka nie za długa.
13942:  To zwiało.
13955:  Strzelaj wrogi.
13958:  To są wrogowie, faktycznie.
13960:  Wrogowie mają wrogi.
13961:  Przy okazji widzę, że ktoś dołączył do grona wspierających i wygląda zupełnie jak... Wspaniała postać z Baldur's Gate 3.
13968:  Aradel, dzięki za dołączenie do grona wspierającego, a ściśle za odnowienie wsparcia.
13973:  W postaci Astariona, najlepiej.
13980:  Staram się strzelać w te rogi, naprawdę.
13989:  To się rusza za bardzo!
13995:  Mhm, tak się skończyło strzelanie wrogi.
14005:  Brak amunicji.
14008:  On jest odporny na kwas!
14011:  Przecież było napisane, że jest odporny na kwas, nie mam strzelać.
14015:  Czekajcie.
14024:  Gra mnie znowu oszukała, gra mnie znowu oszukała!
14032:  Czemu tak jest?
14038:  Nic nie rozumiem.
14043:  Gra mnie oszukuje.
14045:  Krzysztof, jak podejdzie do ciebie Astarion na Pyrkonie, to będę ja najprawdopodobniej, pisze Areden.
14050:  Proszę bardzo.
14054:  Ale Krzysztof rzeczywiście będzie na Prykonie.
14057:  Korpus jest odporny na kwas, a kanisty były podatne.
14059:  Czaję.
14066:  Jakieś dziwne rzeczy się tutaj dzieją.
14070:  And what now?
14074:  Może tutaj też mam strzelić kwasem?
14082:  Hmm...
14084:  Co z The Invincible na streamy?
14085:  No nie, nie no, Invincible to jest niegrywalna gra na streamy, moim zdaniem.
14091:  Tak się składa, że mój kolega katedralny, który jest jednym z najbardziej znanych lemistów w Polsce, osobiście mi powiedział, że mimo że on kocha lema, to gra jest tak śmiertelnie nudna, że nie był w stanie jej ogarnąć.
14103:  Więc uznałem, że jeżeli on nie był w stanie, to tym bardziej ja nie będę.
14110:  Co to jest?
14111:  To są jakieś beczułki, moi drodzy.
14117:  Jak zmusić się, pyta Zuza, do robienia pracy, której się bardzo nie chce robić?
14121:  Trzeba robić częste przerwy, wiesz, to jest praca wtedy, to się kanban nazywa, że robisz sobie interwałowo pracę, no powiedzmy wyznaczasz sobie takie, co...
14134:  Nie wiem, piętnaście, dwadzieścia minut, pół godziny, jak wolisz Robisz sobie przerwę albo takiej samej długości co praca, albo troszeczkę krótszą, na przykład o pięćdziesiąt procent i potem następny... Następny element, następny, następny, następny i następny Będę mieć jakąś prelkę na prelkę?
14150:  Nie, zawsze mam, zawsze mam Jak gdzieś jadę na konwent, to staram się mieć prelkę od razu No to wyjść, czyli czego?
14164:  A, czyli to jest wybuchowe.
14167:  Przeczytaj notatkę.
14168:  Jaką notatkę?
14171:  Pergamin.
14182:  Moja mama pracowała intuicyjnie tą metodą.
14184:  Co ciekawe, jak się nudziła robiąc zadania z mechaniki, to...
14191:  Czytała sobie fragment opowiadania.
14193:  Napisze, że jak jest zbiornik, trzeba strzelać tym samym żywiołem, co ma zbiornik.
14196:  Okej.
14197:  To było chyba w pierwszym Horizonie, tylko ja po prostu nie pamiętam.
14203:  Jeszcze dobrze jest otworzyć pracę na dodatkowym monitorze, jak się ciężko za nią zabrać.
14207:  Bo to jest coś, co ja często robię, faktycznie też.
14209:  Czy mogę dowiedzieć się, w jaki sposób?
14218:  No czemu nie mogę się wyspindrać? !
14226:  No czy to jest jakieś szaleństwo?
14235:  Krowa zawadza.
14237:  Zaiste jest to krowa.
14240:  Czyli widziałem piąty i szósty odcinek drugiego sezonu Invincible.
14243:  W ogóle porzuciłem drugi sezon Invincible, jak zobaczyłem, że bezczelnie wychodzi w odcinkach.
14248:  Więc zamierzam obejrzeć całość, aby będzie dostępna, ale mam już tak dużo seriali do obejrzenia w całości, aby będzie dostępne, że to się w głowie nie mieści.
14255:  Na razie priorytetyzuję Freeren.
14258:  Jak skończę Problem Trzech Ciał, bo Problem Trzech Ciał muszę zrecenzować, no więc to tak jest właśnie.
14268:  Jeżeli to jest praca dyplomowa, Zuzano, to wtedy tym bardziej te moje rady się aplikują.
14275:  Ja między innymi dlatego rozbijam zawsze studentom to na duże, takie fragmenty, nie na rozdziały, rozdział to jest za dużo, tego promotorzy bardzo często nie rozumieją.
14283:  Krótkie fragmenty, jedna strona, dwie strony, potem cztery strony, potem sześć stron, siedem stron, piętnaście i tak dalej i leci.
14291:  O Jezuś, jak daleko.
14292:  Dobrze, czyli kolca grzbiety ogarnięte, ale oprócz tego mieliśmy tutaj inną misję poboczną, czyli drogę zmierzchu, tak?
14299:  Mieliśmy znaleźć, jaka jest Sawa, Sawa, Sawa na role, Sawo na role.
14304:  Drugi sezon, więc jeszcze podzielony na pół.
14306:  No to to już jest w ogóle skandal, niech spierdzielają z czymś takim, nie znoszę tego, głupota to jest po prostu.
14313:  To jest właśnie konsekwencja tego, że recenzenci piszczeli i kwilili, że o nie, nie, nie, cały serial okropność.
14323:  Dramat.
14329:  A potem jeszcze doszło do tego to, że o, reklamodawcy i tak dalej, nie podobało im się to, no...
14335:  I skończyło się dla nas tak, jak się skończyło.
14337:  Ja bardzo lubiłem tę formułę.
14339:  Ojej, naprawdę?
14341:  Lubisz oglądać serial z tygodnia na tydzień?
14343:  To se kuźwa go oglądaj z tygodnia na tydzień, tak?
14346:  Masz dostane 15 odcinków i sobie zanotuj w swoim ślicznym notatniczku.
14350:  W poniedziałek jeden, w przyszły poniedziałek drugi, w przyszły poniedziałek trzeci, w kolejny poniedziałek czwarty.
14357:  Cholera jasna!
14359:  A ja nie mogę sobie tak obejrzeć, ja muszę teraz czekać na całość, tak?
14364:  Doprowadza mnie to do szału!
14368:  Gdzie jest to przejście?
14369:  Nie umiem tutaj trafić już drugi raz.
14372:  Chyba, że to jest tędy.
14373:  Dobra.
14374:  Odpalam fokus.
14380:  Tam, ewidentnie tam w górę iść.
14385:  Drabinka cholerna Jakubowa.
14388:  Dobrze, schodki.
14397:  Właśnie widziałem filmik z Moda do Baldura przeistaczającego pięknego Astariona, wiórną wampirzycę, nigdy już tego nie odzobaczę.
14405:  Jest to realna i realny problem.
14410:  Dobrze, teraz nie chcę stąd spać całkowicie.
14413:  Zeskoczyłem na półkę, zeskoczyłem na półkę, dobrze.
14416:  Odpal te drabiny.
14423:  Dlaczego ta drabina nie działa? !
14429:  Metoda, o której mówisz, że to metoda Pomodoro.
14431:  O Jezu, przepraszam, tak, bo mi się zawsze kanban myli z Pomodoro, macie rację.
14437:  Jest łącznie 9 godzin streamu, nie dotknąłeś nawet wątku głównego.
14442:  Ale to jest wątek główny.
14448:  O, o, wątkiem głównym jest historia rudowłosej Aloy, moi drodzy.
14453:  To jest nasz wątek główny.
14456:  W jedynce można było strzelić w drabiny, okej, czaję.
14460:  Ooo, ależ to lubię.
14462:  To jest super, naprawdę.
14465:  Mi się bardzo podoba.
14469:  A to mniej.
14475:  I mówicie, że w tę drabinę się strzela tak samo, jak w te inne obiekty?
14479:  Okej.
14480:  To była drabina sznurowa, więc to dla mnie nie było logiczne.
14487:  Co?
14491:  Rany boskie.
14492:  Znowu, znowu se robią... Znowu se robią coś, co Assassin's Creed zrobił lepiej.
14499:  Tak.
14507:  Nie przyzwyczaję się do tych dwóch.
14510:  Nie przyzwyczaję się do tych dwóch klawiszy, do eksploracji, do wspinaczki.
14515:  No nie przyzwyczaję się.
14519:  Gratulujesz, Psychecie.
14520:  Cieszę się, Lindor.
14521:  Wszystkiego jamniczego też dla ciebie.
14523:  Mam nadzieję, że samopoczucie będzie na tendencji wzrostowej i rosnącej.
14531:  Jak zbadać odbiór dzieła, pyta Szymon na lewajko.
14534:  Mam pomysł na artykuł imersji w mandze.
14536:  Jest to kwestia psychologiczna.
14539:  Socjologowie badają to głównie z wykorzystaniem ankiet, ale musisz bardzo dobrze pytania zadawać, bo ciężko się bada wrażenia i odczucia ludzi.
14548:  A w gruncie rzeczy to badasz przy imersji.
14551:  W ogóle badanie doświadczeń użytkownika nie jest prosta sprawa.
14555:  A tu mi się podoba, że są dwie alternatywne ścieżki wejścia.
14558:  To jest fajne.
14560:  Jaka karta graficzna?
14562:  40-90.
14562:  Generalnie teraz przy streamach staram się, żeby karta była najwyższej jakości, no bo streamuję jednocześnie, ale powiem wam, że to się bardziej nawet kalkuluje przy wykładach, bo na wykładach mam zwykle takich trzy gry, znaczy trzy gry takie odpalone w tle.
14586:  Więc Wiedźmin równolegle odpalony z Cyberpunkiem i z Genshinem na przykład, takie rzeczy się zdarzają u mnie.
14592:  Oprócz tego leci nagrywanie i transmisja dla studentów na Discordzie, więc... Więc teoretycznie...
14601:  Znaczy nawet nie teoretycznie, ale praktycznie o wiele większe wymagania wtedy mam do wykładów niż do normalnych zajęć.
14608:  Znaczy, Boże, no to tak, do normalnych zajęć to raz i nic do streamów to już na pewno.
14614:  Konkuter wybuchł.
14615:  No poprzedni wybuchał.
14617:  Monitory jakie?
14619:  Są na Discordzie wymienione, w każdym razie ktoś już powiedział, że 26-calowe to są wszystko Asusy z iCare'em, bo zauważyłem, że one nie sprawiają, że mam takie udzawienie w oczach, jak miałem przy innych monitorach i są trzy.
14635:  Jeden pionowy do czatów, jeden do pokazywania rzeczy i no i drugi do gry.
14642:  Dobra, jesteśmy blisko Savona Roli, a tutaj jest Jezus smaria ile rzeczy.
14647:  Czy my będziemy w stanie je zajść od tylca?
14652:  Węszyciel.
14657:  Węszyciel.
14660:  Może nas zwęszyć, obawiam się.
14662:  Boże zielony, cieszy się Magdalena.
14664:  Dostałem jamniki.
14673:  A, czyli oczywiście, że nas coś zauważyło.
14677:  Dobra.
14680:  Jezu, jak ja tego nie znoszę, no!
14683:  Nie może się zatrzymywać czas naprawdę?
14685:  Aktywuj!
14696:  To jest tutaj jeszcze?
14699:  Ktoś się zagrzebuje.
14706:  Nie no, miotam no na wszystkie strony po prostu, ta dupa niespecjalna umiejętność.
14721:  Specjalna umiejętność to byłaby z zatrzymywaniem czasu w tej grze i ona już się skończyła swoją drogą, nie?
14726:  No naturalnie, że specjalna umiejętność trwa 17 sekund, no pewnie.
14732:  Pewnie, pewnie.
14736:  Tyle w temacie.
14739:  Ja sobie mogę skanować, mogę robić rzeczy, ale przeciwnicy mnie są w stanie wywężyć z odległości 15 kilometrów.
14746:  A nigdzie wysokiej trawy nie ma.
14748:  Wysoka trawa, ostatnim razem ją widziałem w samouczku.
14756:  Potykacze... O, to skacze w taki sposób, że nie mam szans, żeby to zadziałało.
14760:  Potykacze w tej grze poza tym bardziej szkodzą mnie niż przeciwnikom, gdyż albowiem, czego nie lubię, zmienili w stosunku do jedynki to, że zadają nam obrażenia.
14773:  Jak wiadomo, w grach zawsze zmieniane jest jedno.
14775:  Jeżeli coś jest patchowane, to żeby gracze mieli mniej funu.
14779:  To jest ważne.
14780:  W pierwszej kolejności się zmienia rzeczy, które były zbyt dobre i zbyt rozrywkowe.
14788:  Ale ta wysoka trawa, ja już wiele razy w niej usiłowałem się schronić i ona nie działała.
14792:  Kompletnie.
14793:  Ta, konkretna.
14796:  Nie wiem dlaczego.
14800:  Jest.
14802:  Może, może nie wiem, może gdyby był taki indykator, tak?
14805:  Że o, jestem schowany w wysokiej trawie teraz, ale nie, nie ma żadnego indykatora.
14810:  Więc ja nigdy nie wiem, czy to działa, czy nie działa.
14813:  Jak już cię zauważyło, to wysoka trawa nie pomoże?
14814:  A okej, w ten sposób.
14819:  To tak skacze, że omija potykacze.
14820:  Tak!
14821:  Tak!
14823:  Tak!
14825:  Dobrze.
14827:  Ja się bardzo staram strzelać całe punkty, ale przy takiej mobilności przeciwnika i przy zerowych możliwościach zatrzymywania czasu przy strzale z łuku, jest skomplikowane.
14842:  Jesus Christ.
14846:  Książki fantasy lub science fiction prowadzone w formie dziennika lub pamiętnika.
14853:  Nie przychodzi mi nic do głowy, szczerze powiedziawszy.
14856:  Bardzo, bardzo specyficzne pytanie.
14859:  Czy znacie taki przypadek?
14862:  Ja chyba nie znam żadnego, bo mogły być fragmenty dzienników gdzieś, no Pilot Peaks w sumie go prowadzi, tak?
14869:  Ale... A żeby całość była w takim formie?
14872:  W takiej formie?
14874:  Wojna Światów?
14875:  Naprawdę?
14877:  Nie pamiętałem tego.
14880:  Joe Wu pisze, że zanudziłoby czytelnika, ale myślę, że byłoby dobrze zrobione.
14885:  Historia naturalna smoków.
14887:  Ej, było tam!
14887:  Faktycznie, faktycznie!
14892:  Podlewam się w tym wspomnieniu.
14893:  Czasami ja go używam przy każdym strzale, Taraellu.
14896:  Tylko to działa, jak działa.
14909:  World War Z jest w formie reportaży.
14920:  W jedynce była taka umiejętność, że podczas skoku spowalniał się czas.
14927:  Tak!
14928:  Nie potrzebuję tego spowolnienia, bardzo.
14932:  Nie.
14933:  To było moje wyjaśnienie dla przyszłego wizjonu.
14935:  Nie potrzebujesz wizjonu.
14938:  Potrzebujesz medycznej otoczności.
14939:  Na drodze do góry widziałam części trawienia, które odbyły się.
14943:  Czy tak się błagasz?
14944:  Moja błaganie?
14945:  Wszystkie części... Rytuał.
14947:  Błagasz.
14953:  Błagasz.
14957:  I twoi ludzie uciekają z czasu.
14960:  To jest, moi drodzy, wódz Wymęczona Dupa.
14972:  W pierwszej części pod kompasem było oko, które wskazało, czy jesteś tutaj, czy nie.
14975:  Właśnie o taki indykator mi chodzi.
14984:  W sumie, ale mogłabym mu założyć fokusa i włączyć cokolwiek byłyby wizje wtedy.
14992:  Co myślisz o tym, co się tutaj wydarzy?
14997:  Jeśli siedzisz długo, to mój syn ci pokaże coś?
15009:  Tak wygląda, Krzysztof, gdy musisz wczekać, klikać szybko w klawisze.
15012:  Jezus, ja zobaczyłem wczoraj Path of Pain, moi drodzy.
15015:  Albo jakaś Osrym ją strzeliła i zniknęła w starej towarze.
15021:  I się przeraziłem.
15026:  A tych z was, którzy nie wiedzą czym jest Path of Pain, to Path of Pain jest w... Hollow Knight'cie.
15037:  I... Zobaczyłem to oczywiście w formie speedrunu w pierwszej kolejności, żeby się zmartwić.
15043:  I...
15047:  Jak ja zobaczyłem, jak ja zobaczyłem takie rzeczy, znaczy to jest jeszcze nic, to jest jeszcze absolutnie nic.
15055:  Może włączę muzykę, bo ta jest akurat bardzo ładna.
15059:  Ale jak ja zobaczyłem, że tutaj wszystko praktycznie jest wyłożone kolcami, jak zobaczyłem, że w zasadzie muszę się przemieszczać w powietrzu, bez żadnych ścian, bez żadnych skoków, to myślałem, że jest źle, ale potem zobaczyłem, że może być znacznie gorzej.
15077:  Zobaczyłem mianowicie, że mogą być piły tarczowe, od których będziemy się oczywiście odbijać.
15082:  I będę to robił dokładnie tak szybko, jak ten speedrunner.
15086:  Następnie są kolce, od których trzeba się odbijać.
15090:  I bynajmniej to tak nie wygląda szybko.
15093:  To zwłaszcza taki bardzo ładny moment.
15095:  Przepiękny moment.
15096:  Przepiękny moment, absolutnie.
15099:  Oczywiście za każdym razem, jak coś się nie uda, to wracacie do początku.
15104:  czy do checkpointa ostatniego.
15105:  To wyjątkowo ulubiony chyba mój fragment taki, ale to jeszcze nie jest najgorszy.
15111:  Więc ja takim stoickim spokojem to oglądałem wczoraj.
15117:  zwłaszcza ten moment, bardzo lubię, no, fenomenalne, fenomenalny moment, to znaczy, no, trzeba się po prostu odbić od piły tarczowej w locie i przelecieć tutaj, potem tu i... Tak i od następnej piły tarczowej się można również odbić.
15132:  Oczywista sprawa, robiłem to wiele razy.
15136:  Wiele razy w różnych miejscach.
15139:  A w...
15141:  Poza tym, to zauważcie, że tutaj muzyka przepięknie, to uwielbiam ten fragment, uwielbiam go, muzyka tutaj w przepiękny sposób cały czas ma takie crescendo, nie?
15155:  O, to i tak nie była ostatnia komnata.
