🔴 Ścieżka bólu bez nadziei | HOLLOW KNIGHT Livestream #12
🔗 https://www.youtube.com/watch?v=Ti3O49kJYAY

28:  O nie...
8769:  Dlaczego nie zadziałał escape?
8774:  Dlaczego do ciężkiej nie zadziałał escape?
8784:  No to se odpocząłem fajnie.
8785:  No ale mówię, że to jest durne, tak?
8788:  No to jest durne, no tam powinna być półka, żeby człowiek sobie odpoczął trochę.
8794:  To nie jest kuźwa sport.
8798:  To jest doprowadzenie do szału robienie sportowych wyzwań w grach.
8801:  Do szału.
8804:  Dajcie ludziom możliwość zapisu.
8816:  No ale to była perfekcyjna rada.
8821:  Ja bym się tutaj męczył nie wiadomo ile.
8836:  debil, który wymyślił również, że się samo zwalnia ten Crystal Dash i że trzeba tego cholerstwa używać, żeby się trzymać ściany, pozostaje debilem w dalszym ciągu.
8845:  I nie musiało być tego, swoją drogą, gdyby Mantis Blade działał, czy Mantis Claw, czy jak siękolwiek to nazywa, działał tak, jak działa każdy pazur, Tomahawk, czy nie wiem co innego, hak, a mianowicie, że jak się wbija w ścianę, to jest wbity w ścianę.
8858:  Ale nie, w tej grze nie może tak być.
8860:  W tej grze on będzie po prostu...
8863:  Troszeczkę wbity w ścianę, tak?
8864:  Odrobinkę.
8866:  Będzie się obsuwał, bo tak.
8870:  Ma to sens?
8870:  Nie.
8875:  Tak samo jak to wybijanie w górę z piły.
8892:  Perfekcyjna rada.
8893:  Bardzo dziękuję.
8894:  Ktokolwiek powiedział, żeby tak robić, błogosławię go.
8899:  Czemu nie mogę tu mieć półki, w której mogę usiąść i zobaczyć, co tu się dzieje?
8905:  Przeanalizować to taktycznie.
8915:  Dobra.
8917:  Jak on to robił?
8924:  jednokrotny powrót, wtedy robię dash, puszczam, skaczę, liczę na to, że natrafię tam na te nieruchome piły, na nich skaczę, wbijam się na górną, na niej skaczę i robię dash.
8947:  No i zjebane.
8950:  I od nowa.
8956:  To jest debilność, to jest po prostu... To jest w tym momencie rozgrywka głupiego.
8964:  Hmm...
8990:  Jezu, czemu?
8992:  I to jeszcze cholerstwo mówiłem, że nie będę używał Krystal Dasza właśnie dlatego, że cholera jasna, jak użyję Krystal Dasza, to na moment jest tak, że postać opada.
9002:  Dlaczego tak się dzieje?
9006:  Przecież to jest idiotyczne po prostu.
9008:  Z samego początku, jak zdobyłem tę bezużyteczną zdolność, mi to nie pasuje i znowu mnie wybiło na pół kilometra.
9024:  Nie, no niewiarygodne to jest, absolutnie.
9039:  W sensie, najzabawniejsze, że wszystkie inne rzeczy jakimś cudem skillowo wychodzą, tak?
9043:  Wyjąwszy, wyjąwszy hendożone krystal dasze i przyciskanie się do ścian.
9049:  Niemożliwe, że to nie wychodzi, no niemożliwe.
9053:  Aaaa!
9059:  Raz.
9066:  Nie wiem, nie wiem, z jaką szybkością mam to naciskać.
9068:  Nie wiem.
9073:  Ale chciałem móc to częściej wyćwiczyć, ale chyba nie będę mógł tego częściej wyćwiczyć.
9098:  No i źle jest.
9098:  Widzicie, że jest źle, prawda?
9105:  Następny debilizm, że nie można tego w żaden sposób anulować.
9109:  Wystarczyłoby, żeby jeden przycisk zwalniał Crystal Dash, a inny przycisk go uruchamiał.
9114:  Wystarczyłoby.
9116:  Albo żeby gasł po jakimś czasie.
9117:  To nie, nie.
9127:  Jezus, ale dla mnie też palce bolą ziemię.
9129:  I najgorsze jest to, że naprawdę nie mam kiedy odpocząć.
9132:  Nie mam możliwości takiej, żeby tam przeanalizować sobie spokojnie sytuację, zobaczyć sobie jak ktoś to robi, bo tego się nie da inaczej zrobić.
9142:  Bo nawet metoda prób i błędów to nie za bardzo działa.
9144:  To nie, nie mogę tego zrobić.
9145:  Gra mnie zmusza, żebym cały czas robił debilny progres.
9152:  To znaczy cofa mnie w czasie i każe mi jeszcze raz robić to, co już zrobiłem.
9156:  Okropne to jest.
9176:  Ale Path of Pain to nie jest Path of Debil, tak?
9179:  To nie jest Path of Moron.
9180:  To jest Path of Pain.
9182:  Ma być bolesne, nie ma być debilne, to jest różnica.
9192:  I tutaj nie chodzi o poziom trudności, tu chodzi wyłącznie o możliwość zapisu, o możliwość zapisywania progresu.
9198:  Znaczy, ja nie mogę na przykład sobie wstać od gry i stwierdzić, okej, fajnie, wrócę sobie do tego jutro.
9202:  Nie, nie mogę tego zrobić.
9204:  W każdej walce w Dark Souls mogę to zrobić.
9221:  Nie wiem co tutaj zrobić, po prostu naprawdę nie mam zielonego pojęcia jak to zagarnąć.
9230:  Ja będę próbował na dole tą piłą, tak jak ktoś radził wcześniej.
9237:  To będzie jeszcze dłużej.
9243:  Teraz jestem za wysoko, prawda?
9244:  A może właśnie nie.
9249:  Za wcześnie.
9256:  Robert Ocker, polecam bardzo playlistę, którą mam na swoim Spotify Q&A.
9261:  Sam przy niej piszę, uczę się, czytam.
9266:  Jest dobra do tego.
9267:  Dobieram do niej takie utwory właśnie, które są najmniej angażujące psychicznie.
9273:  Nie ma tam żadnych utworów wokalnych, są wyłącznie instrumentalne i ambientowe.
9278:  Godzinę, dwadzieścia minut na ten etap poświęciłeś.
9280:  Jak na każde, w których są durne elementy wspinania się po jakichś cholernych ścianach.
9293:  Jak dla mnie sytuacja jest bardzo klarowna.
9295:  Idzie mi wtedy, kiedy mam pewność, że gra mnie nie wyrucha.
9299:  Natomiast w momencie, w którym gra zaczyna się ze mną bawić, no to wtedy zaczynają się problemy.
9306:  O, bardzo, bardzo nie lubię takich rzeczy.
9312:  Zawsze jak rozmawiam z deweloperami, mówię im jedną rzecz, jak mówią, Krzysztof, jak zaprojektować dobrą grę?
9317:  Dajcie kontrolę użytkownikowi, koniec moich uwag.
9320:  Ale jaką kontrolę?
9321:  Kontrolę.
9322:  Chce włączyć mapę?
9322:  Niech ma mapę.
9323:  Chce wyłączyć mapę?
9324:  Niech może wyłączyć mapę.
9327:  Chce włączyć HUD?
9328:  Niech włączy HUD.
9329:  Chce poziom łatwy?
9330:  Niech ma poziom łatwy.
9330:  Chce poziom trudny?
9331:  Chce poziom chwalebny?
9332:  Niech ma poziom chwalebny.
9334:  Chce mieć mapę pełną?
9335:  Niech ma mapę pełną.
9336:  Chce mieć keybinding inny?
9337:  Nie ma keybinding inny.
9339:  Chcę wyłączyć sobie pająki, bo ma arachnofobię.
9341:  Niech wyłączy sobie pająki, bo ma arachnofobię.
9343:  Chcę włączyć sobie pająki, bo nie ma arachnofobii.
9345:  Niech sobie włączy.
9346:  Oddajcie graczowi kontrolę.
9349:  To jest powód, dla którego nie zagram i nigdy nie zagram w Kingdom Come Deliverance, ponieważ obraźliwe jest dla mnie używanie potki po to, żeby zapisać.
9356:  I nie, nie interesuje mnie to, że gra wprowadziła później możliwość zapisu, ponieważ mój bojkot się zaczął w momencie, w którym oni zrobili dokładnie to.
9363:  To znaczy wprowadzili debilną mechanikę picia jakiejś cholernej potki,
9369:  Boże, jaki idiotyzm po prostu.
9377:  Władza w ręce ludzi i graczy.
9384:  Nie, nie będzie stachu satysfakcji, wiesz?
9387:  Ja satysfakcję miałem, jak kończyłem te rzeczywiście etapy, w których...
9392:  Czułem, że jakiś mój skill wzrasta, tak?
9394:  To było w drugiej części pierwszego etapu.
9396:  Natomiast pierwsza część pierwszego etapu jest najgorszą częścią tej gry.
9402:  Najgorszą.
9405:  Jutro pierwsza rozmowa o kwalifikacjach na 13 lat, pisze Mateusz, w jednym przedsiębiorstwie, dlatego jeszcze związane z szkołą w chmurze.
9410:  Proszę o błogosławieństwo, dziękuję Ci serdecznie za trybut i jamnicze błogosławieństwo niech spłynie na Ciebie.
9416:  Ale, moi drodzy, zawsze można zainstalować mod, ale fakt, że można zainstalować mod, nie zwalnia od odpowiedzialności twórców, tak?
9423:  Nie zwalnia Bethesdy, tak?
9425:  Z tego, że Bethesda robi kiepskie gry, a gracze potem ją modują.
9428:  No ale co?
9428:  Skyrim teraz jest świetną grą, ponieważ jest zmodowany.
9431:  No nie, nie jest.
9432:  Nawiasem mówiąc, w dalszym ciągu, dokładnie w takiej samej kolejności czasowej, wciskam dwa razy Control i za każdym razem jest to totalnie losowe, czy to zadziała, czy nie.
9443:  Proszę bardzo.
9447:  A nie, a człowiek wychodzi na idiotę, tak?
9449:  Człowiek wychodzi na idiotę, że raz wciska raz kontrol, a raz wciska dwa razy.
9453:  Nie, za każdym razem wciskam dwa razy, dokładnie w tej samej frekwencji.
9456:  Akurat jeżeli chodzi o frekwencję wciskania przycisków, ludzie, którzy grali na fortepianie kiedykolwiek, me included, problemu nie mają.
9465:  To jest niewiarygodne, absolutnie.
9467:  Chciałbym mieć jakiś, żeby ten up-let mi wskazywał, ile milisekund było.
9471:  Założyć, że jest tyle samo.
9471:  To jest nieprawdopodobne, absolutnie.
9484:  Za szybko teraz klikam.
9486:  No nie, no nie, nie, nie, nie, nie, nie.
9489:  Tutaj nie będzie mi zgody.
9491:  Po prostu nie sczytuje gra inputu.
9497:  A ściślej sczytuje go losowo.
9499:  Raz go sczytuje, raz nie.
9504:  Masakra absolutna.
9507:  Urzędnik ma kontrolę, jak mówisz, ale przy ustawieniu twórcy dają komunikat, jakie ustawienia zalecają dla doświadczenia, jakie przygotowali.
9513:  Ale tak jest w bardzo wielu grach Zły Czarowników, w bardzo wielu grach.
9515:  Ale i oczywiście pamiętajmy, że jeżeli to jest Dark Souls, to w Dark Souls to nie jest tak, że mamy wprowadzić poziom łatwy, bo częścią rozgrywki jest to, że tam nie ma poziomu łatwego.
9524:  Teraz mnie wybiło na sufit, bardzo interesujące.
9527:  Tylko chodzi o sytuacje takie, że np.
9529:  w Dark Souls nie ma mapy.
9530:  Za każdym razem będę powtarzał, że częścią doświadczenia gry w Dark Souls nie jest brak mapy.
9549:  Dobrze, mam za sobą to piekło.
9553:  Teraz tak, na spokojnie.
9554:  On musi jeden raz powrócić.
9573:  Dobrze, już wiem jak to zrobić.
9578:  Potem będzie się trzeba odbić od tego... Dobra, jak zrobił to ten człowiek?
9589:  Czy to jest niedaleki dystans?
9590:  Okej.
9597:  Wracamy do Królestwa Randomu.
9601:  W Królestwie Randomu udało się tym razem zdobyć błogosławieństwo od Arendzizusa.
9606:  Dziękuję serdecznie.
9611:  Teraz wyszedł już z królestwa randomu.
9614:  Testujemy.
9615:  Dobrze.
9616:  Pojawia się tutaj koło.
9618:  Świetnie.
9619:  Raz.
9621:  Dobrze.
9623:  Puszczam.
9625:  Nie zadziałała spacja.
9629:  Czyli tam też mamy królestwo randomu, ponieważ zapomniałem, że jak się używa Crystal Dash'a, to jest królestwo randomu wtedy po prostu.
9636:  Randomu, dlatego Enerdo, że czasem jest tak, że jak puścisz Crystal Dash, to masz zablokowane wszystkie klawisze, a czasem nie.
9643:  Niesamowite.
9650:  Odbiłem się od Dragon Age'a Rediago, wiesz?
9652:  Odbiłem się dlatego, że nie podobało mi się sposób sterowania postaciami.
9655:  No właśnie, odbiłem się czysto przez interfejs użytkownika, co nie powinno w ogóle mieć miejsca w żadnej grze.
9663:  Ale było.
9667:  Dobra.
9669:  Na spokojnie.
9670:  Raz.
9676:  Dobra, ja nie jestem w stanie tego wyliczyć, krystal też jest za szybki względem tego, co tam się dzieje.
9688:  A równocześnie odbijanie się wyłącznie od tych pił to jest zbyt chaotyczne.
9703:  Dobrze.
9710:  Ależ to była dobra rada, jak ja kocham dobre rady.
9724:  No i co?
9726:  Mieliście na impucie w tym mom... Nie, nie, w tym momencie ja to zobaczę.
9729:  Ja to autentycznie odpalę.
9734:  Ja to w tym momencie odpalę.
9737:  Ja to muszę zobaczyć.
9741:  Ja zrobię teraz komentary do samego siebie.
9743:  Ja muszę to zobaczyć.
9764:  No, to był ten wcześniejszy.
9773:  Tak.
9774:  I teraz widzę, co się stało.
9777:  Czyli on mi sczytał, on mi sczytał ruch w prawo i zrobił machnięcie mieczem, a nie w dół.
9785:  Mam zielonego pojęcia, jakim cudem, bo macie tutaj zaciśnięte S jak w byk!
9794:  Na impucie.
9795:  A, kamera zasłania input.
9796:  Proszę bardzo.
9800:  Jest S, jest S.
9802:  Szlag mnie jasny trafi.
9808:  Szlag mnie jasny trafi.
9817:  Ja, ja nie wierzę, ja nie wierzę, ja nie wierzę.
9828:  Ja W cały czas muszę wciskać.
9830:  Właśnie na tym problem polega, że ta gra nie rozróżnia klawiszy kierunkowej od klawiszy ruchu.
9840:  I czasem nie ma innego wyjścia i trzeba wcisnąć.
9843:  Jeżeli wciskam jednocześnie S i spację, to to jest nowy atak.
9854:  Szlag mnie trafi po prostu, jasne z tym.
9867:  Nie no, po prostu jest jakiś dramat i nie jestem w stanie wyczuć długości tego dasha.
9874:  Trzymaję cały czas wciśnięte S i co jeszcze mam trzymać wciśnięte, biorąc pod uwagę, że mam cały czas krystal dash.
9879:  Ja nie wiem, czy to nie wpłynie na zachowanie krystal dasha wtedy.
9884:  Dlaczego gram na WSAD, a nie na strzałkach?
9886:  Ponieważ nie mam trzeciej ręki.
9889:  A na myszy mam atak.
9907:  Dobra.
9910:  Muszę przeczekać to.
9911:  Dobrze, jest tak.
9914:  Wraca raz piła.
9920:  Dobrze, teraz na spokojnie.
9924:  Nieee.
9927:  Nieee.
9944:  No był progres, był progres.
9947:  Było od razu lecieć?
9948:  Jakie od razu lecieć?
9952:  Ja nie wiem, czy tam jest dalej.
9999:  Nie sczytał o spacji.
10000:  Tyle chciałem powiedzieć.
10007:  Bo w momencie, w którym jest ten pierdzielony Crystal Dash, on ma jakiś lag.
10013:  On ma jakiś lag na koniec i w momencie, w którym ja wtedy cokolwiek kliknę, to gra nie reaguje.
10020:  Stój w miejscu po skończeniu Crystal Dasha, czyli jednak jest lag!
10025:  Czyli jednak jest lag, tak?
10026:  Ja nie zwariowałem!
10028:  Mówiłem, że jest lag.
10034:  No, tak, ale to jest debilizm.
10039:  No więc gra nie reaguje, to jest dokładnie to.
10045:  To, co powiedziałem.
10049:  To jest abstrakcyjne po prostu, jak można zaprojektować taką umiejętność?
10055:  Wy się dziwicie, że ja nie używałem wcześniej Crystal Dasha, Jezus Maria.
10063:  Przecież ja bym chyba uświrknął w pierwszym pokoju, gdybym miał używał Crystal Dasha.
10069:  Dlaczego po użyciu jednej umiejętności miałby być kultan na skok idiotyczny?
10072:  To jest idiotyczne, to jest kompletnie idiotyczne w grze, w której jest podwójny skok jeszcze do tego wszystkiego.
10077:  Bo krystal dasz technicznie tak w ogóle, służy do innych rzeczy, ale jest wykorzystywany także w elementach platformowych i widać, że nie zostało to spoko przemyślane dla mnie.
10102:  Nie ma się co wczuwać w to, to jest po prostu debilizm, no.
10105:  Ja się muszę tutaj wczuć w trzy czasy.
10107:  Czas Crystal Dasha, który zależy ode mnie, ale nie zależy ode mnie, ponieważ on wyhamowuje tajemniczą liczbę pikseli przed sobą, potem jeszcze tajemniczą liczbę sekund ma cooldown, do tego jeszcze wokół są piły, które poruszają się, w związku z powyższym to utrudnia troszeczkę sprawy.
10129:  Nie znasz, to jest najbardziej znienawidzona przeze mnie umiejętność w niniejszym, czyli Crystal Dash.
10144:  Ja nie wiem, jak nam to zsynchronizować.
10146:  Nie wiem.
10150:  Nie, nie, pierwszego etapu nie przechodzę w stylu bezbłędnie, kwot erat demonstrandum, ponieważ nie ode mnie zależy to, czy gra sczyta kancelowanie Crystal Dasha tym razem, czy nie.
10164:  Nie, no niestety, no ta spaprana jest ta umiejęka, bo nic znoszę jej.
10172:  I druga rzecz, znowu zależy od kapryśnego bóstwa, czy nie zostanę katapultowany w sufit.
10187:  Dobrze, to jest dobry Matrix.
10190:  Nie, jednak zły.
10194:  A na padzie Mateusz Krystal Dash nie ma laga?
10198:  Z ciekawości, bo jednak ma chyba.
10207:  No ja no, dramat, dramat.
10226:  Nawracamy do Królestwa Randomu.
10238:  Było blisko, było blisko.
10246:  Było blisko.
10258:  Dobra, chcę, żeby to się dzisiaj przynajmniej udało.
10266:  Ale się nie uda, ponieważ pierwsza część tej komnaty będzie mnie w dalszym ciągu tormentować.
10278:  Wiem, że tam jest półka, już zobaczyłem tę półkę przynajmniej.
10284:  Ale nie można tego zsynchronizować, bo to nie ode mnie zależy, jak one sobie będą jeździły.
10294:  Mi się na tym polega problem.
10302:  Jest checkpoint po tym Just Wait.
10303:  I właśnie dlatego, jeżeli nawet skończę stream, to ja autentycznie będę musiał zostawić grę i próbować tak długo, aż wyjdzie.
10311:  Bo ja tego tak nie zostawię.
10320:  Straszne.
10324:  Ja też jem imperialny slip, bo ja też jem.
10326:  Dobra, może zrobimy tak.
10330:  Pojedziemy troszeczkę wcześniej.
10335:  Nie, to był zły błąd.
10336:  To był zły pomysł.
10344:  To nie jest perfekcjonizm, Maciej.
10345:  To jest nienawiść do tracenia czasu.
10357:  No i znowu, znowu.
10360:  Jaki mode na noclip?
10361:  Co to jest noclip?
10363:  Czerwony list.
10363:  Co to jest noclip?
10378:  Nukli to przechodzenie przez ściany, ale to jest glitchowanie.
10382:  Modowanie, które polega na niszczeniu gry, dla mnie jest bez sensu.
10388:  Tutaj nie jest problemem to, że ja nie wiem, nie umiem tego zrobić, problemem jest to, że są mechaniki debilne, na przykład zjeżdżanie po ścianie, na przykład cooldown na Crystal Dashu, to jest problem.
10397:  Niech gracze zrobią w takim razie, czy modderzy, takie mody, które eliminują faktyczne błędy, no to wtedy spoko, ale dla mnie instalowanie modów, które sprawia, że jestem nieśmiertelny, bo przenikam przez ścianę, to jest oszukiwanie.
10411:  To jest bez sensu dla mnie, dlatego nie znoszę speedrunów, które są any percent.
10417:  O, zgliczuję się, zobacz, jakie to trudne, zrobiłem glitcha i skończyłem grę w 3 sekundy.
10424:  Jestem pewien, że to nie jedyna rzecz, którą można skończyć w 3 sekundy, ale czy to jest powód do dumy?
10428:  Nie wydaje mi się.
10435:  Natomiast speedrunning taki, że wiecie, uczciwie przechodzi się grę i pokazuje się, że można szybko, bardzo doceniam.
10449:  Pamiętam, jak widziałem właśnie speedrun bodajże, właśnie takich gier, co to myślicie, że się nie da ich speedrunować jak Elden Ringa chociażby i to było wow.
10458:  Speedrun Path of Pain?
10459:  Wow.
10465:  Dobra, dobra, dobra, dobra, teraz znowu tak.
10471:  Znowu, znowu to samo, znowu to samo.
10475:  Znowu nie zadziałała mi spacja.
10477:  Nie wiem, no ja mam... Jak ja mam się zatrzymać przed czymś, czego nie widzę na ekranie?
10483:  Jak ja mam przewidzieć to, kiedy to będzie?
10487:  Litości, no!
10507:  Tutaj macie przykład, jak to działa w małej skali, nie?
10511:  Że jest opóźnienie, jest lag Czasem ten lag wbija nas w piłę, a czasem nie To się jeszcze nigdy nie zdarzyło
10546:  Autofocus kamery się wysypał?
10550:  A już nie chyba.
10553:  Przejdźmy do Dark Souls.
10557:  Nie, nie mam potrzeby na razie.
10559:  Na pewno tęsknię za jakimś Souls-like'iem, więc jak będzie dodatek do Eldenka, to będę grał.
10577:  Okej, na chwilę bym oglądał autofocusa.
10580:  To się zdarza, no.
10581:  Niestety.
10586:  Ależ ta rada mi pomogła.
10591:  Tu niestety nie ma żadnej rady.
10595:  Tu rady są mistyczne i szamańskie.
10596:  Trzeba wyczuć.
10597:  Trzeba zsynchronizować swoje mojo z grą.
10601:  Trzeba modlić się do najświętszej jutrzenki.
10629:  Za każdym razem nie wykańcza to samo, to znaczy brak ostatniego skoku dostępnego.
10660:  Nie, nie mogę po prostu tego... Rytmicznie wciskam cały czas dokładnie tak samo mysz.
10666:  I w którymś momencie coś się dzieje.
10669:  Jakiś błąd w Matrixie i ja nagle zaczynam ginąć.
10674:  Ja nie jestem w stanie zrozumieć jak działa pogo na tych piłkach, naprawdę.
10688:  Dobra.
10689:  Raz.
10701:  Czemu mi nie sczytuje spacji?
10706:  Brak muzyczki?
10707:  Ja nie mam muzyczki foreign w swoim nasłuchu.
10710:  Ja mam inne rzeczy w nasłuchu, a inne rzeczy dla was są puszczone.
10723:  To jest aż piękne, to jest aż piękne, jak to będzie widać teraz.
10728:  Widzicie, widzicie?
10729:  Spacja, spacja, spacja, spacja, spacja.
10731:  Ile razy była wciśnięta ta spacja?
10733:  Ile razy?
10734:  Jeżeli ktoś jeszcze mi powie, że to jest skill, się wścieknę.
10738:  Jeszcze raz.
10740:  Spacja, spacja.
10741:  Ile, ile było?
10742:  Kiedy wciskałem spację już?
10744:  O, na poziomie tych drzwi wciskałem spację.
10750:  Spamowałem spację.
10753:  Więc ja nie zwariowałem niniejszym oświadczaczem, ja zwariuję dopiero.
10765:  Ale nie skoczyła postać, dokładnie, ona sobie była martwa w powietrzu.
10769:  Jak ja się cieszę, że to nagrywam.
10779:  Ooo!
10781:  Słamuj spację bez D. Muszę mieć wcisnięte D z uwagi na cholerny krystal dat wcześniej.
10790:  Poza tym to jakoś wcześniej nie powstrzymywało gry.
10811:  Dobra.
10815:  Teraz się muszę zastanowić.
10824:  Jeżeli chcesz skoczyć naprzód, to musisz wcisnąć jednocześnie D i spację, ponieważ inaczej nie skoczysz naprzód, tylko skoczysz w pionie.
10835:  Więc trzeba wciskać D.
10854:  Wciskaj depospacji.
10856:  Co?
10857:  To jest w ogóle bez sensu.
10859:  Jak to depospacji?
10862:  Czyli mam opaść tam, tak?
10864:  No może, może.
10865:  Nie.
10867:  Będę próbował.
10874:  Pa.
10885:  Dziękuję, dziękuję Citalu, próbowałem spamować spację po krystal, to nie działa, musisz wyczuć kiedy się kończy krystal, wiem, ja to już wiem, ale nie mogę wyczuć kiedy się kończy krystal, z tego względu, że moja postać wtedy opada w związku z powyższym, co człowiek wtedy stara się wcisnąć, no nie wiem, spację, żeby przestała postać opadać i żebym mógł uratować się.
10916:  Jestem za nisko, jestem za nisko teraz.
10923:  No, to się dzieje, to się dzieje.
10931:  To się dzieje właśnie, to jest piękne.
10932:  A gdzie urok to sraczka, po prostu nieprawdopodobne.
10940:  To jest po prostu bug.
10941:  Ja nie wierzę, nie wierzę, nie wierzę, żeby to było zaplanowane.
10946:  Jeżeli jest zaplanowane, to jest zrobione leniwie.
10964:  Ale w Foxy Gwen ja mam tak czułą klawiaturę, że wystarczy, że ja... Mocne spacje, mocne, jakikolwiek klawisz i on jest naciśnięty, ja nie muszę mocno do niczego wciskać.
10977:  To jest taka kwestia, mogę dłużej wciskać spacje, to tak, to wtedy jest dłuższy skok, ale to nie jest kwestia mocy nacisku w tym momencie.
10990:  Dobrze, dobrze, dobrze.
10991:  Błagam, dajcie mi tam dojść przynajmniej, że to już tylko mnie RNG w tym momencie uratuje.
11002:  Nie mówcie mi o wysokim skoku, okej?
11004:  Bo ja na pierwszym etapie właśnie miałem tak, że losowo działy się rzeczy z tym wysokim skokiem.
11011:  Już to przećwiczyłem.
11013:  Po prostu to jest nieprecyzyjnie określone, no i tyle, no.
11016:  Co mogę powiedzieć?
11018:  Z tym Crystal Dashem nieszczęsnym.
11020:  Jest też mało w sumie miejsc w grze, w których można to przećwiczyć, tak sobie uświadamiam.
11024:  To chyba pierwsze miejsce, kiedy tak dużo tego Crystal Dasha używam.
11041:  I nawet nie wiem, czy to jest najgorsze.
11043:  Ja nawet nie wiem, czy to jest to okno.
11044:  Bo ja zapamiętałem, że tam jest jakieś okno, ale nie wiem, czy to jest to okno.
11051:  Tak!
11065:  No i Markov Pride zadziałał za wysoko niestety tym razem, ale już było bardzo blisko.
11071:  Czyli to jest to okno.
11073:  Okej, to jest dobra wiadomość.
11075:  Dopiero teraz to zobaczyłem.
11082:  To naprawdę powinien być guide na, nie wiem, z hitboxami oznaczonymi, z sekundami przytrzymywania klawiszy i tak dalej.
11090:  Najlepsze jest to, że jak patrzyłem radośnie na ludzi, którzy robią guide'y, to sami się mylili wiele razy.
11104:  No świetnie.
11104:  Ale boskie.
11118:  W warunkach stajnych zawsze wychodzą wszystkie niedoróbki i fuszarki.
11121:  Tak, tak, no właśnie dlatego trzeba grać w takie fragmenty, żeby sobie wyrobić opinię na temat całości.
11129:  Bo Holana jest grą zachwycającą, ale to nie znaczy, że nie ma niedoróbek.
11132:  To jest niedoróbka.
11133:  Ten cholerny Crystal Dash to jest niedoróbka.
11135:  To jest skill, który późno wchodzi, jest rzadko używany w grze i dopiero tutaj w zasadzie.
11140:  Kiedy używamy Crystal Dasha?
11142:  No w Crystal Peak głównie, po to, żeby się tam przemieszczać i
11146:  Głównie Crystal Dash służy do tego, żeby go wcisnąć i się nim nie przejmować i patrzeć, jak postać ładnie frunie.
11151:  Do tego służy Crystal Dash.
11152:  I może wtedy właśnie ten cooldown jest fajny przy eksploracji, prawda?
11156:  Bo o, widzicie sobie, jak postać tak ładnie spowalnia i możecie wtedy sobie zadecydować, z którą strony iść.
11160:  Ale tu to, tu nie!
11162:  Tu trzeba precyzji Zegar Mistrzowskiej, której tamten skill nie oferuje.
11171:  Dobra.
11173:  Przed oknem, przed oknem.
11203:  Jeszcze raz powtórzę, to że to jest opcjonalna sekcja nie zmienia faktu, że ta rzecz została źle zaprojektowana.
11208:  Ta konkretna jedna mechanika.
11211:  Nie sekcja, nie Path of Pain jest źle zaprojektowane, zaznaczę na wszelki wypadek, gdyby ktoś chciał wyrwać to z kontekstu, nie, nie.
11216:  Path of Pain jest świetnie zaprojektowane, jest challenge'ujące, gra mi się w to fenomenalnie.
11221:  Natomiast złości mnie to, że nie mam pełnej kontroli nad tym, co ułatwiłoby mi niesamowicie.
11240:  Dobra.
11249:  No, łatwiło był, łatwiło.
11252:  Bo odbijanie się po tych piłach bez podwójnego skoku działającego, tak jakbym sobie wymarzył, żeby on działał, to nie podejmuję się.
11264:  Gdyby na przykład tutaj na dole była piła, która sobie jest w jednym miejscu, to w ten bym się podjął tych skoków, ale tak?
11271:  Nope.
11284:  Właśnie widać, co się dzieje, jak człowiek próbuje.
11288:  Mysz nie jest do platformówek, zwłaszcza, że fakt, że idealnie poguje za każdym razem na czymkolwiek jestem, świetnie pokazuje, że mysz, której używam tylko do tego, nie jest do platformówek.
11299:  Strasznie złości, zwalanie na kontrolsy.
11305:  Na każdym
11307:  W każdym sprzęcie jesteście w stanie mieć skilla.
11310:  Każdym.
11311:  To może być klawiatura, to może być mysz, to może być kontroler.
11313:  Nie ma najmniejszego znaczenia to, na czym gramy.
11317:  Tak długo, jak długo nie ma błędów w kodowaniu czy input lagów i tak dalej.
11322:  A input lagi akurat są częściej na kontrolerze.
11329:  O nie no, kompletnie sobie nie radzę z tą myszą.
11331:  Boże, gdybym ja tylko miał kontroler, idealnie mógłbym pogować.
11334:  Boże, ojej, znaczy kompletnie.
11336:  No dramat absolutny.
11337:  No przypominam o DAX-u na mapie do tańczenia, dokładnie.
11340:  Boże, no słuchajcie, no kuźwa, gdybym ja tylko miał ten kontroler, cholera jasna, no.
11346:  Tu się zaczynają problemy, tak?
11348:  Przy cholernych podskokach.
11351:  I ruszających się piłach, wtedy się zaczynają problemy.
11353:  Ale to są moje problemy percepcyjne, bo ja nie znoszę jak jest coś, co się porusza, tak?
11357:  Bo to nie jest problem.
11359:  To jest problem, który nad tym mogę zapanować.
11361:  Nad innymi nie jestem w stanie zapanować.
11368:  Ale nad tym, gdzie mam mysz, jestem w stanie.
11376:  Ja zwariuję po prostu z tym podejściem tutaj.
11388:  A w ogóle uważam, że jak twórcy piszą swoją drogą o druku Sowie Sen rekomendów dyw pap, to znaczy to jest lenistwo z ich strony, że im się nie chciało zaprojektować czegoś na myśl i klawiaturę.
11405:  Tutaj na przykład dash nie zadziałał po krystal dashu.
11413:  Czyli tutaj jest nie tylko tak, że spacja czasem nie działa,
11417:  Czasem też dash nie działa.
11429:  Jestem.
11430:  Dobrze.
11434:  Ja się tutaj czuję, jakbym losował postać w Genshin Impact, w tej sekwencji.
11465:  Mam dla was następnego hiciora.
11470:  Mam następnego superhiciora dla was.
11473:  Tylko muszę właściwą klatkę znaleźć.
11478:  O, tu jest superhicior.
11483:  Ładne, nie?
11485:  Ładnie ominął?
11486:  Ładnie ominął uderzeniem.
