Za Aiur! | STARCRAFT 2 Livestream #6
🔗 https://www.youtube.com/watch?v=37NWlyITPD8

51:  Wielkie dziękuję.
8740:  Tunele przesyłowe zostały zabezpieczone.
8742:  Nasze gwiezdne myśliwce ruszają do ataku na powierzchnię.
8747:  Egzekutorko, przejmij dowodzenie nad inwazją.
8750:  Zeratulu, musimy dokładnie omówić ostatnie wydarzenia.
8758:  Środek zergobójczy wystarczy sok z cytryny.
8760:  Tak, to było.
8761:  Juliusz wrzeszczy.
8763:  Halo, co to za obrażenie moich ukochanych zergów?
8765:  Biomasa twojego mózgu jest uszkodzona.
8766:  Nie splotły się sekwencje.
8768:  Konieczna ewolucja.
8772:  Tak.
8774:  Czytałem Davida Webera.
8775:  O, jeszcze nie, jeszcze nie.
8777:  Ale Honor Harrington pewnie ci chodzi.
8779:  A nie, serię schronienie.
8780:  To tym bardziej.
8782:  Staszek szybki jest, Staszek jest najlepszy.
8784:  Teraz, za chwilę będzie ta scena.
8787:  To jest pierwszy przypadek w historii tych streamów, że wy mówicie, że to będzie ta scena i ja pamiętam, że to będzie ta scena.
8817:  Zaczyna się ostateczna wojna, o której ostrzegałeś.
8821:  Powiedz mi, druhu, czego się dowiedziałeś?
8825:  Byłem świadkiem końca wszystkiego.
8830:  Przerażające legiony hybryd niszczyły świat za światem.
8836:  W smoloku przywodziła im mroczna postać.
8840:  Amon.
8843:  Ale wspominałeś, że można to powstrzymać.
8847:  To była wizja pełna potuchy.
8851:  Jakby pradawny głos wzywał mnie zza światów.
8861:  Ogniwo.
8861:  Ujrzałem rozbłysk, który ujawnił artefakt Xelnaga na terrańskim świecie Korhaera.
8872:  To ogniwo z mojej wizji.
8874:  Proroctwa mówią o tym, że do Xelnaga powstrzymałem apokalipsę Amon.
8879:  Wierzę, że ogniwo zaprowadzi nas do pokoju.
8889:  Zawsze ci ufałem, Zeratulu.
8892:  Ale brzemię dowodzenia to wielka odpowiedzialność.
8895:  Są chwile, gdy wątpię, czy zdołam ten ciężar unieść.
8900:  Niepotrzebnie wątpisz.
8903:  Zaakceptuj to, kim się stałeś.
8906:  Musisz być przywódcą, którego potrzebujemy.
8915:  Udaj się do Jamesa Raynora na Korhal i zdobądź ogniwo.
8919:  Ja przygotuję nasze siły na nadchodzącą wojnę.
8922:  Kiedy wrócisz, templariusze będą w gotowości.
8926:  Entaro Tassadar, druhu.
8930:  Entaro Arcanis, bracie.
8938:  Zeratulu, musisz zdobyć ogniwo Xelnaga od Jamesa Raynora.
8943:  Moje siły reaktywują włócznie Aduna.
8946:  Okręt wojenny, który okaże się nieoceniony w czekających nas bitwach.
8951:  Oby cień Tassadara zapewnił ci schronienie, przyjacielu.
8956:  Trowon pyta, skąd brać wiedzę teoretyczną i literaturze fantasy.
8959:  Zacząłbym od rękopisu znalezionego w Smoczej Jaskini Sapkowskiej.
8962:  Ono chyba, że mówi, że o naukowej literaturze.
8964:  To wtedy co innego.
8968:  Witajcie wszyscy dołączający.
8970:  Teraz będzie... Misja nie będzie sama w sobie jakaś niesamowita, ale będą się piękne rzeczy potem działy.
8983:  Fargemil zajrzy na kartę społeczności, tam jest wyjaśnienie.
8988:  Czy Artanis mówił o bohaterze, z którym graliśmy podczas pierwszych trzech streamów, a nie nazywał się on James Jamior?
8993:  Musiał mu się coś pomylić.
8997:  Poszukiwacz otchłani jest zniszczony.
9001:  Co tam się stało?
9004:  Zergii, mrońcie Mrocznego Prałata.
9010:  Zergii na tym obszarze zostały przecież wybite.
9014:  Tropiciele, śpieszcie do pobliskiego Nexusa i ostrzeżcie naszych pobratymców.
9020:  Ja muszę to zbadać.
9027:  Tron mi, że chodzi o naukową literaturę.
9030:  Kiedyś razem ze Staszkiem Krawczykiem zrobiłem zestawienie całej bibliografii naukowej o fantastyce powstałej przynajmniej w Polsce i napisanej w Polsce.
9038:  Jest to na stronach Creatio Fantastica.
9041:  Czekaj, jak już o tym mówię, to może od razu Wam pokażę.
9046:  Bo wprawdzie Creatio Fantastica już się nie ukazuje, ale jeszcze wersja archiwalna jest, więc wydaje mi się, że powinienem do tego dotrzeć.
9055:  Tak, moi drodzy, już wam pokazuję.
9059:  Boże, pierwszy raz pokazuję czasopismo, którego byłem redaktorem naczelnym tyle lat.
9063:  Tutaj macie Bibliografia Polski Prac Naukowych o Fantastyce.
9071:  Ale tego jest.
9074:  Więc skompilowaliśmy to, zaczął, prawda jest taka, że gro pracy wykonał Staszek Krawczyk, ja tam dołączyłem się z rzeczami czysto takimi teoretycznymi właśnie, więc polecam.
9087:  Dam wam link później, upominajcie się i jeszcze wrzucę na Discordzie.
9094:  Może nawet już wam dam link.
9096:  Czekajcie, o.
9098:  Dam na czatach, a potem jeszcze na Discordzie.
9101:  I w komentarzu.
9104:  Dobrze.
9106:  Czy Natalia Aleman była z Uniwersytetu Łódzkiego?
9108:  Tak, Natalia Aleman dalej pracuje na Uniwersytecie Łódzkim.
9112:  Pracuje na Uniwersytecie Łódzkim i zajmuje się kontrfaktycznymi historiami.
9119:  Czyli wiecie, człowiek z Wysokiego Zamku i tego typu rzeczy.
9124:  Kiedy...
9126:  Zadajemy sobie pytanie, co by było gdyby i od tego pytania wychodzi nam cały fikcyjny nowy świat.
9134:  Wolfenstein takie samo pytanie zadał.
9139:  To jest trudna misja.
9152:  O, Truman pisze, że miał historię Polski.
9154:  Historia Polski?
9155:  Naprawdę?
9167:  Dobra.
9167:  Tropicielu.
9169:  Nawet nie żartuj.
9171:  To my mamy takie moce?
9173:  Tropicielu.
9176:  Tropicielu.
9178:  To się przypomina od razu... Samuelu!
9180:  Samuelu!
9182:  Słynne anegdoty, które już wam nie będę odpowiadał, bo ileż można.
9191:  Serialowego Człowieka z Wysokiego Zamku wytrzymałem, szczerze powiedziawszy, bardzo niewiele.
9197:  To znaczy chyba pierwszy sezon.
9203:  Póki co.
9211:  O Jezus Maria, tak to jest... Mówiłem, że to będzie okropne.
9229:  Ale to już jest chyba koniec.
9234:  Okej, teraz moja żona jest ciekawa, co to za anegdota z Samuelem.
9241:  W moich czasach nie można było się zwolnić z religii.
9245:  W związku z powyższym chodziło się narzeczoną i mieliśmy taką jedną nawiedzoną siostrę, która stwierdziła, że będzie robiła pełen, ale to pełen roleplay przy czytaniu jakichś przypowieści, whatever, nie pamiętam, co to było dokładnie, ale wiem, że bohaterem był Samuel.
9258:  I ona, i to jest absolutny autentyk, wbiła w którymś momencie na rumaku do klasy z gromnicą, z której wylewał się wosk i zaczęła dziko wrzeszczeć.
9269:  Co?
9270:  Samuelu!
9272:  Samuelu!
9276:  Na co mój kolega miał swoje pięć minut i jak mawia Filip, without missing a bit, powiedział na to glum glum, glum glum, bo akurat czytał Hobbita, więc no spalił, spalił anegdotę siostrzytce zakonnej, bardzo spalił.
9295:  Nikt nie był w stanie już później utrzymać powagi.
9297:  Będzie jak mówisz.
9303:  Zeratulu stacjonowali tutaj Templariusze.
9306:  Nie wyczuwam już ich w Kali.
9309:  To chyba niemożliwe.
9311:  Wasz rodzaj nie znika z Kali, chyba że odetnie się wasze sploty nerwowe.
9317:  Zatem stało się niemożliwe.
9320:  Nie wyczuwam już Artanisa.
9321:  Tylko pustkę w Kali, tam gdzie kiedyś się znajdował.
9325:  Dzień jest przeciwko nam, Eksekutorgo.
9329:  Artanis jest w wielkim niebezpieczeństwie.
9333:  Musisz zbudować armię i go odszukać.
9336:  Mój fazmator Carax pomoże ci przywrócić ten nexus.
9340:  Zeratu, uratuj Artanisa.
9341:  Przyjacielu Caraxie...
9364:  Ja już teraz będę zawsze do Filipa mówił, nie Filipie, tylko będę mówił, przyjacielu Filipie, my idziemy na żeberka?
9371:  Przyjacielu Carax, kto tak mówi?
9376:  Carax, teraz czas na tower defense, absolutnie.
9381:  Tu-du-dum, tu-du-dum.
9386:  Towarzyszu!
9396:  No przy takiej muzyce można robić wszystko, moi drodzy.
9401:  Góry przenosić.
9405:  Kieśi wita po miesięcznej przerwie spowodowanej pracą sezonową.
9407:  Hej, hej.
9408:  Czasami trzeba zrobić sobie przerwę, żeby zauważyć, że nie możemy bez siebie żyć.
9411:  O, jakie piękne.
9414:  Jakie to piękne.
9417:  Pylony stawiać.
9418:  Absolutnie więcej pylonów jest konieczne.
9420:  Więcej.
9430:  Droga przyjaciółko się przypomina Wiedźmijskie, o tak!
9434:  Zawsze jest niewystarczająca liczba minerałów, nie ilość, do jasnej cholery!
9443:  Nie możemy, Adrianie, psuć takiej pięknej muzyki czytaniem Olgi ***, absolutnie nie zgadzam się z twoją supozycją.
9453:  Za mało zło... Zawsze jest za mało złota ta sunka, absolutnie.
9458:  Teraz jeszcze mamy nierozwinięte, prymitywne ekstraktory, które wymagają próbników.
9466:  Próbniki są na swój sposób słodkie.
9473:  Uuuu...
9476:  A czemu nie możemy... O Boże, cofnę!
9478:  ZACOFANIE TECHNOLOGICZNE!
9480:  Nie możemy... O nie!
9484:  Co za tragedia.
9486:  Nie wiem, czy wiecie, jaki jest powód mojej rozpaczy, to znaczy nie możemy zmienić bramy na bramę.
9493:  Czy taką, która będzie teleportowała jednostki.
9496:  Tu mamy żenującą, wcześniejszą wersję technologiczną bramy, która tego nie umie.
9501:  Jakie to jest zasmucające.
9505:  próbniki to robotyczki, czy zwierzątka.
9507:  Ilość a liczba?
9508:  Proste.
9508:  Ilość dotyczy gazów na przykład w pomieszczeniu, ilość powietrza w pokoju.
9513:  To jest to samo, co w języku angielskim.
9515:  Są rzeczowniki policzalne i niepoliczalne.
9518:  I język polski rozwiązuje to w ten sposób, że po prostu różnicuje między ilości jako do niepoliczalnych i liczba do policzalnych.
9525:  Ilość pieniędzy, liczba monet.
9529:  How primitive.
9531:  No, prymitywna technologia, co poradzę.
9543:  Jestem tu, w mroku.
9547:  Ach, jak ja kocham tę muzykę.
9551:  Muzyka w Legacy of a Void jest najbardziej dla mnie wspaniała.
9558:  Z wszystkich części.
9572:  Przestań być w mroku.
9576:  Oczywiście... PRZYZYWAM DODATKOWE PYLONY!
9579:  I kto... kto się teraz śmieje?
9590:  Aaa... Czy minerały w Starcraftzie są policzalne?
9593:  Jak dla mnie tak.
9594:  To jest 100 z minerałów.
9596:  I zobaczcie, mamy dowód, że są policzalne, bo próbniki je zanoszą.
9608:  Ty tak nie spiesz się z oddawaniem życia, ja cię bardzo proszę.
9617:  Chciałbym, żebyśmy nie oddawali życia za nic, chciałbym, żeby wszyscy przeżyli.
9626:  Po tej misji kolejna czasówka?
9628:  Tak, pamiętam.
9629:  Niestety.
9630:  Sporo jest misji na czas w Legacy of the Void.
9633:  To jest zasmucające.
9644:  Muzyka z Legacy of the Void była głównym powodem, dla którego grałem tak długo w multiplayera do właśnie tej części.
9651:  Tryb współpracy głównie.
9652:  Tryb współpracy.
9660:  Dobra, tutaj nie pamiętam... Pylony odchłani, jak się gra w Orazum w trybie współpracy, ukrywają jednostki, to jest super.
9681:  Okej, mam złe przeczucia.
9692:  Dużo minerałów!
9694:  Świetnie!
9699:  Bardzo dobrze.
9705:  Okej.
9706:  Pylon, pylon, pylon.
9712:  Tak, w kampaniach RTS-ów lubi się dawać misje na czas.
9715:  Ja jestem strasznie przeciwny temu.
9724:  O, ale ja bardzo lubię, bardzo lubię muzykę do Genshin, jest fantastyczna, ale chyba najbardziej z wszystkich, jak dotąd, oj tak, najbardziej z wszystkich jest ten, Jezus, jak to się nazywa, Inazuma, w Inazuma jest taka muzyka,
9743:  Fun fact.
9744:  Byłem kiedyś strasznie zmęczony, akurat pogęszcznie zasnąłem sobie po południu i zasnąłem przy tej muzyce, która tam była zapętlona.
9752:  O Boże, jakie to było piękne uczucie.
9761:  Ale brutalny poziom trybu współpracy jest naprawdę ciężki.
9766:  Naprawdę.
9768:  Zwłaszcza teraz, jak już wszyscy się oswoili z trybem współpracy, Blizzard sprawia wrażenie takie, aby stwierdził, że okej, to już nie będzie nowych graczy, są tylko gracze, którzy od początku byli z trybem współpracy i mocno przeginiają z poziomem trudności.
9785:  Zwłaszcza jeśli ktoś lubił grać w trybie współpracy solo, tak, jestem jednym z tych samobójców.
9792:  Plague Tale Innocence to jest jedna z tych gier, w której fajnie byłoby też zagrać na Steamie, ale w pierwszej kolejności będzie Detroit Become Human.
9800:  Prawdopodobnie wjedzie po StarCraft'cie, bo jeżeli chodzi o Sekiro, jeszcze troszeczkę sobie pogramy, bo chciałbym New Game Plus.
9806:  Poza tym też nie ma gwarancji, kiedy poradzę sobie z ostatecznymi bossami.
9810:  No, więc po StarCraft'cie włazi, moi kochani... Detroit Become Human!
9820:  Czytałem Moby Dicka.
9821:  Moby Dick mi się podobał.
9823:  O dziwo.
9823:  Ale to dlatego, że ja bardzo lubię książki żeglarskie.
9828:  Dlaczego nie jestem zatrudniony przy produkcji gier?
9830:  Byłem raz zatrudniony i właśnie dlatego nie jestem.
9834:  To jest bardzo stresująca robota.
9839:  I mam też wrażenie, że lepiej się czuję w funkcji osoby, która by to radzała, krytykowała, aniżeli takiej, która by była w stanie wziąć na siebie te potworne deadline'y i pracę kreatywną, twórczą.
9852:  Nie, nie czuję się artystą.
9854:  Podróżnie od niektórych youtuberów.
9860:  O, że nigdy nie zestarzeję.
9861:  Moje życie za ajur!
9870:  Dobra.
9872:  Myślę, że mamy już sensowną armię.
9875:  Czego nie mamy, to pylonów.
9888:  Trafnie rozpoznana aluzja, chaty, trafnie.
9892:  Nieraz mi brakuje nowych gier typu StarCraft, a pisze Marcin Asmolak Rogaluk, któremu bardzo serdecznie dziękuję za wsparcie od trzech miesięcy już.
9899:  Mnie bardzo brakuje RTS-u.
9901:  Jest zresztą taki materiał, nie pamiętam, kto go zrobił, o śmierci RTS-ów.
9905:  ale mieliśmy parę dobrych ostatnio.
9907:  Na przykład Day of Billions, mimo że jest rozpoznawany jako tower defense, jednak jest fajnym RTS-em.
9913:  Ma pewne błędy.
9914:  Bardzo mi się nie podoba na przykład, że w Day of Billions jest tak, że w każdej kampanii musimy przejść przez całe drzewko technologiczne.
9921:  Jaki to jest bezsens kompletny.
9923:  Kampanie RTS-owe polegają na tym, że ulepszenia są globalne i działają do wszystkich misji.
9928:  I potwornie mnie znudziło to, że w Day of Billions musiałem za każdym razem przechodzić przez krucjatę z drzewkiem technologicznym.
9935:  No bez przesady!
9942:  Odchłań ziomia.
9942:  Odchłań zawsze zionie chłodem.
9943:  Intrygujące.
9947:  Aaa, jest spodzianka!
9951:  Prymitywne organizmy nie mają teleportacji.
9954:  Aaa, beka z organizmów, które nie mają teleportacji.
9958:  Widział Krzysztof, który sam jest prymitywnym organizmem, który nie ma teleportacji.
9962:  ...póki co...
9965:  Oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj, oj,
9992:  Na zbyt wysokim poziomie cywilizacyjnym jesteśmy, żeby używać takich określeń.
10000:  Otóż autyzm nie jest nawet chorobą.
10001:  Autyzm jest pewnym... Nie znam się oczywiście na tym, ale jest raczej stanem.
10007:  O, tak to ujmę.
10011:  Prawdopodobnie psychologowie by potrafili wam to uczenie powiedzieć.
10017:  Czemu bijemy zelgi?
10018:  No, niby...
10019:  To jest po prostu inwazja na ajur, ale poza tym to nic, poza tym dzień jak codzień.
10025:  Dzień jak codzień se bulba.
10029:  Ale inwazje to do siebie mają, że dowodzą wcielenia zła i że hrabia mol złe Jedi.
10038:  We must construct additional pylons.
10040:  Tak jest, Michale, absolutnie tak.
10046:  Jestem tu.
10046:  Jestem tu.
10051:  Michał Wolski swoją drogą jest imiennikiem i nazwistnikiem Michała Wolskiego, który założył albo działał w nim, nie pamiętam dokładnie, Stowarzyszenie Badaczy Popkultury Trickster z Wrocławia, pozdrowienia, bo jeszcze dalej działa, do którego uciekałem z UJ, bo to było jedyne miejsce, gdzie można było sobie podyskutować sensownie o popkulturze, czyli kulturze współczesnej, umówmy się, i napisał książkę o wampirach, więc jak jesteście zainteresowani źródłami naukowymi, to...
10080:  Jest jego książka o zjawisku wampiryzmu.
10084:  I ma dowodu, że Zergi wiedziały o Protossan Ayur.
10087:  Tak.
10088:  O, Juliusz pisze, że Autumn to przypadłoś po prostu.
10091:  Lofrana pyta, jestem przyciekawy z jakimi zakończeniami skończysz Detroit.
10094:  Masz to zaspoilowane, czy będziesz przechodzić całkiem w ciemno?
10097:  Zabawne, że pytasz.
10098:  Oglądałem dwa razy z różnymi zakończeniami, ponieważ potrzebowałem tego do artykułu i nie pamiętam żadnego.
10103:  Moje życie za Ayur.
10110:  Jestem tu w mroku.
10111:  Niewystarczająca ilość minerałów.
10114:  Seratul, strajca Kadi.
10116:  Niepokojące rzeczy, moi drodzy.
10118:  Nagle walczymy z protosami.
10122:  Ale jak to?
10123:  Ale czemu?
10130:  Cieszę się, że jesteście na moje rozkazy.
10136:  Wampiry to najlepsze rzeczy w fantasy, coś w tym jest.
10147:  Nie lubię, jak zeloci są spaczeni.
10150:  Jedyne spaczenie, jakie ma sens, to spaczenie spaczeniem.
10155:  Spaczeń, tak, tak!
10157:  Skaven, yes!
10162:  Brakuje mi Skavena.
10164:  Ja oscyluję między dwoma stanami.
10169:  Za mało Skavenów...
10172:  Znudzenie Warhammerem.
10175:  W sensie Warhammerem Total War.
10178:  I w którymś momencie tęsknota za skawanami jest już tak duża, że przeważa nad znudzeniem Warhammerem.
10186:  I idę do następnych bojów przez kilkaset godzin.
10195:  Naprawdę byłoby lepiej, gdybyśmy mieli możliwość przesyłu natychmiastowego.
10206:  Michał pisze, że pozdrawia swojego imiennika i dodaje, że inny mój imiennonazwistnik jest dobrym inżynierem oprogramowania.
10214:  Znam ten problem.
10215:  Dlatego, że Krzysztofu Majów jest bardzo dużo, swego czasu stwierdziłem, że fajnie byłoby dać sobie inicjał.
10221:  Dałem sobie inicjał, dzięki temu teraz jest tylko jeden Krzysztof M. Maj.
10228:  Naprawdę, osiągnięcie.
10230:  Ja mam wszystkie.
10232:  Aha, bo to są te osiągnięcia jubileuszowe, ciągle zapominam.
10237:  Philip, dzięki serdeczne za trybut.
10238:  Co do RTSów, trylogia Myth the Fallen Lords.
10241:  Czemu ja jej nie kojarzę?
10243:  Dzięki za trybut, czemu ja jej nie kojarzę?
10244:  O czym to jest?
10246:  Sekiro skończone?
10247:  A skąd?
10248:  Zagrałem z Kawanami w RTSie?
10250:  Boże, bez chwili wahania.
10263:  Ja nie będę tej misji nigdy kończył, jest zbyt dobra muzyka.
10269:  Gdzie jamnik w tle?
10271:  Jest zawsze jamnik w tle.
10278:  Tu.
10281:  I tu.
10285:  Selendis nie odpowiada.
10287:  Niedobrze.
10287:  Moje życie za Ajur!
10297:  Seratunu, wyczuwam twoją obecność.
10299:  Kala wypełnia ją gniew.
10301:  On pochłania mój umysł.
10316:  Pozbawiony jest sercu.
10318:  Przynoszę wam zbawienie.
10323:  Not good, not good, not good, not good!
10327:  Anon, Mroczny Bóg jest tutaj, na A'jurze.
10331:  Przejął kontrolę nad Karo.
10332:  Templariusze, upadnij!
10349:  Mój jamnik za jamniór, pisze ta sunka i ma rację.
10352:  Uciekamy stąd, uciekamy, uciekamy, uciekamy, uciekamy, uciekamy, uciekamy.
10355:  Hop, hop, hop, hop, hop, hop, hop, hop, hop.
10357:  Pomóc, pomóż im, pomóż im.
10360:  Tak, tak, tak.
10364:  O nie, o nie, o nie.
10366:  Pomogliśmy, pomogliśmy im, a oni nas dalej atakują.
10371:  V!
10374:  B!
10374:  Ctrl-Q!
10377:  Jezus Maria!
10378:  Groźni przeciwnicy są groźni!
10386:  O nie, o nie, o nie!
10388:  To ta scena!
10398:  Słyszę... Wciąż słyszę...
10417:  Przez twoje sploty narwowe należy je usunąć.
10423:  Nie!
10428:  Amun!
10470:  Zaraz przejmę ten... przeklęty cykl!
10473:  Nie udać się mnie powstrzymać!
10481:  Moje życie... za Alium.
10524:  poprowadzi cię do Xel'naga.
10581:  A wy pytaliście, dlaczego są dzisiaj zielone ledy?
10587:  Entaro Zeratul.
10599:  Najwspanialsza postać Starcrafta.
10602:  Dla tych z was, którzy nie wiedzą, co się stało, Kala to była właśnie ta więź protosów, ale ta więź miała fizyczną manifestację, te sploty nerwowe.
10611:  Zeratul w ten sposób odciął Artanisa od Kali i nawiasem mówiąc to też było przyczyną schizmy.
10618:  Protosi, którzy zostali przy m.in.
10621:  Artanisie cały czas akceptowali więź z Kalą, a Nerazimowie, czyli frakcja, której był Zeratul, nie.
10628:  Dlatego oni byli odporni na wpływ Amona.
10633:  Dobrze.
10635:  Dziękuję za jamniki na czatach, za Zeratula.
10639:  Już wiecie, skąd się wzięło z Entaro Zeratul.
10643:  Swoją drogą, będzie w pięknym momencie, w pięknym momencie to powtórzone.
10648:  Zwróćcie uwagę, pisze arcykolega, że Zeratul, pomimo, że jego lud opuścił Ajur i założył swoją cywilizację na Shakuras, będziemy zresztą na Shakuras dzisiaj, dalej idąc na śmierć, powiedział moje życie za Ajur.
10657:  Tak?
10658:  Nie, no piękne.
10660:  Piękne.
10662:  Hmm...
10666:  Nasze jamniki za jamniór.
10668:  Tak!
10699:  Wstawcie Caraxa!
10725:  Czemu Carax stoi z boku?
10727:  Bo Carax jest inżynierem!
10734:  W Azmetorze Caraxie.
10737:  Szukałem cię.
10738:  Artanisie, chwała Bogu.
10740:  Twoje sploty nerwowe.
10742:  Trzeba je usunąć.
10743:  To już zrobione.
10745:  Jestem wolny od spatrzenia Kali.
10748:  Co z pozostałymi?
10751:  Taki fazmator jak ty...
10787:  Hmm, Carax będziesz moją fazmatorę.
10789:  Wy teraz pytacie, czym jest ta włócznia.
10790:  Zły timing!
10791:  Zły timing, chaty!
10792:  Zły timing!
10808:  Zobaczycie, czym jest włócznia Aduna, teraz już wam tego na pewno nie zdradzę.
10816:  Tak, bąki na czatach, to jest słuszne.
10826:  Ale będziemy stawiać działa fotonowe, bogowie!
10838:  Włócznia Aduna spoczywa uśpiona pod powierzchnią serca Conclave.
10851:  Zamierzałem wzbić ją w powietrze, by zapewnić zwycięstwo przeciwko Zergom.
10856:  A teraz to nasza jedyna nadzieja na przetrwanie.
10860:  Ale tam się...
10863:  Dlaczego uciekasz od własnego zbawienia?
10866:  Zostawcie Selendis.
10867:  Selendis znalazła się pod wpływem Amona.
10872:  Karaksie!
10873:  Musimy aktywować włócznie Aduna!
10878:  Aktywuje się pierwsze ogniwo zasilające, ale pozostałe cztery są wyłączone przez biomasę.
10884:  Niespodzianka.
10887:  Rozumiem.
10888:  Nie mamy wyjścia.
10889:  Musimy je oczyścić.
10891:  Jak wygląda nasza obrona?
10895:  Niestety jesteśmy pozbawieni zasilania, ale systemy pomocnicze włóczni Aduna mogą nam pomóc.
10902:  Pozwolą nam przesyłać pylony w dowolne miejsce na polu walki.
10906:  Powinniśmy jak najszybciej przesłać jeden w to miejsce.
10916:  Czyżbyśmy wreszcie mieli obronę, prawdziwą obronę z generatorem osłon?
10921:  Tak!
10923:  Nasza to... Działa fotonowe mogą ochronić nasz Nexus, hierarcho.
10928:  Potrzebują tylko jednego pylona do działania.
10931:  Pylon możesz przesłać z włóczni Aduna.
10933:  Naciśnij przycisk przesył pylonu na górze ekranu dowodzenia.
10935:  Przestań mi mówić o naciskaniu przycisku, kretynie!
10939:  Z imersji wyrywasz!
10941:  Naciśnij przycisk, ja ci dam naciśnij przycisk, kuźwa!
10945:  Nasze działa będą teraz prowadzić ostrzał przeciwników.
10948:  Zaplułem się ze zdenerwowania.
10950:  Generator osłon przywróci ich osłony.
10953:  Linie obronne są istotnie kluczowe dla naszej ewakuacji, ale naszym priorytetem jest oczyszczenie ogniw zasilających z biomasy.
10965:  Ale Krzysztof, w tej misji nie chodzi o budowanie wieżyczek.
10969:  W tej misji chodzi o budowanie wieżyczek!
10977:  Ale Krzysztof, jesteśmy... Tak!
10982:  Czy my mamy już możliwość zrobienia bramy?
10984:  Jezus, jeszcze nie.
10985:  Okej, okej.
10986:  Mógłże wiedzieć.
10991:  Misja bez wieżyczek to jest zła misja.
10992:  Proszę bardzo, proszę bardzo.
10995:  Bartek na czatach z Rikczem.
11001:  Czy istotnie kluczowe to nie synonim?
11002:  Okej.
11006:  Kluczowe to jest ważne, a istotnie może być używane w funkcji zaiste, czyli za prawdę, naprawdę.
11012:  Nooooo!
11015:  Dobra wiadomość.
11021:  Ale Krzysztof, tu chodzi o oczyszczenie mapy z biomasy.
11023:  Też.
11025:  Też.
11027:  Ale są ważniejsze rzeczy, moi drodzy.
11032:  Na przykład to, żeby wszystkie nasze budynki były równo.
11036:  Zerglingi zbliżają się do naszego Nexusa.
11052:  Musimy przygotować obronę.
11064:  Możesz spróbować!
11065:  Tak, kus paprałem.
11096:  Ale od czego jest armia?
11101:  Tak, będę wykorzystywał armię... Przyciszam.
11104:  Będę wykorzystywał armię do tego, żeby niszczyć niesymetrycznie postawione wieżyczki.
11108:  Właśnie tak będzie.
11111:  Wła... Właśnie tak będzie.
11120:  Czyli co?
11120:  Tutaj jest... Okej.
11123:  Lastwa.
11127:  Ważne jest, żeby wykorzystywać przy tej strategii, która jest moją strategią, tej zdolności właśnie przesyłu pylonu, żeby oszczędzić maksymalnie dużo minerałów.
11140:  Krzysztof jest niegospodarny.
11141:  Na to wygląda.
11144:  Nikt nie powiedział, że jestem gospodarny.
11147:  Gdybym był gospodarny, mówiłbym po każdym filmie, że proszę subskrybować i wcisnąć dzwoneczek.
11153:  Boże, jak to dobrze, że nigdy tak nie upadłem nisko.
11156:  Nie, żartuję.
11157:  Tak naprawdę to były durne rady, które były sprzedawane mnóstwu youtuberów i potem wyszła z tego katastrofa absolutna.
11169:  Ja miałem tak, że jak ktoś mi coś takiego mówił, to wtedy ze zdwojoną energią nie chciałem subskrybować.
11175:  Ale ja jestem przekorny.
11177:  Co zrobić, żeby tutaj mieć zasięg?
11179:  Tak.
11180:  Ale Krzysztof, jesteś niegospodarny.
11181:  Przestań, przestań, przestań.
11184:  Wszystko jest przewidziane, moi drodzy.
11187:  Wszystko jest przewidziane.
11214:  To jest tak samo jak jakaś firma, bo są takie podręczniki dla marketerów, że utrzymuj kontakt z klientem i wysyłaj newsletter.
11228:  I wiecie, jak to się później kończy?
11229:  Kończy się to w ten sposób, że ktoś mi wpakowuje do gardła ten newsletter.
11233:  Tylko przełykaj dobrze.
11235:  Ja ledwo kupiłem jedną szczotkę w twoim sklepie.
11238:  Chcesz więcej szczotek?
11239:  Chcesz więcej szczotek?
11240:  Chcesz więcej szczotek?
11240:  O, mamy jeszcze takie szczotki, mamy takie szczotki, mamy takie szczotki, mamy takie szczotki.
11243:  O, tu jest newsletter o tym, że słuchaj, w dziedzinie szczotek został niesamowity postęp ostatnio zrobiony i w tym newsletterze o czymś napiszemy.
11250:  Oczywiście wszystko jest takim jokulziomalskim, Karolina Korwin-Piotrowska stylu mówione, że cześć!
11258:  Nie wiem, czy słyszałeś, że mamy nowe szczotki!
11261:  Jezus, dziękuję!
11263:  Dziękuję, wreszcie wiem, że mogę kupić więcej szczotek.
11268:  Knypie, byłem raz w twoim sklepie, kupiłem raz szczotkę i nie chcę więcej.
11272:  Będę chciał szczotki i to se przyjdę.
11276:  Boże, jak mnie to denerwuje.
11278:  Za chwilę zacznie się wykład o szczotkach.
11281:  Zaczął się.
11282:  Bo jakiś debil mówi, że to jest dobry marketing.
11286:  Nie, to jest chujowy marketing.
11291:  Oczywiście, że nie ma zasięgu.
11294:  Nigdy nie ma zasięgu.
11299:  Ileż ja mam... I najlepsze jest to, że oni nie czekają na to, aż sami się zgodzicie.
11304:  Nie!
