10 powodów, by zlikwidować kanon lektur | Dla każdego coś przykrego #55
🔗 https://www.youtube.com/watch?v=xrAHyBIXeEw

0:  W Polsce jest wiele rzeczy niepewnych, ale są też takie absolutnie i bezsprzecznie pewne.
3151:  Pałka, czyli niedostateczny, i zagroził, że prześle wypracowanie do ministerstwa.
3155:  W przypadku Gombrowicza, który opisywał, co robili ludzie należący do klubu kawalerów Ostrogi, co było bardzo niezawalowaną metaforą aktów homoseksualnych, moja wzmianka o tym, że Pałka znaczyła co innego, była absolutnie konieczna.
3172:  Możecie mi uwierzyć, a jeżeli mi nie wierzycie, to przeczytajcie końcówkę Transatlantyka.
3178:  Na co ja zapytałem Piczyl Gąbrowicz dalej, tym razem już nie o pałce, że jeżeli wypracowanie ma zostać przesłane do ministerstwa za karę, to dlaczego zmusza się uczniów do hipokryzji?
3188:  Natomiast no niestety nie wiemy, ponieważ jak wiemy, do dzisiaj się zmusza uczniów do hipokryzji, do udawania, że czytają lektury, natomiast wszyscy dobrze wiemy, że każda osoba, która mówi wam o tym...
3197:  że listy lektur są ważne, wybitne i konieczne.
3201:  Ona znaje z wydawnictwa z grę, zwłaszcza jeżeli to jest pokolenie 30-40, to już wszyscy praktycznie znają wydawnictwo z grę, już nie mówiąc o wszystkich młodszych, więc wiecie, wchodzimy w taki piękny czas, kiedy możemy
3214:  Za parę lat już powiedzieć, że 100% nauczycieli zostało wykształconych przez wydawnictwo Zgret, więc ono powinno dostać w tym momencie jakieś laury od Ministerstwa Edukacji za kształcenie obywateli.
3225:  Myślę, że trzeba się za to niezwłocznie zabrać.
3229:  Koniecznie, bo to nie może być tak, moi drodzy, żeby zobaczyć, że ma taką stronę internetową starą, zachęcają, żeby kupować w pakiecie taniej.
3238:  Oni potrzebują tego, żeby uhonorować ich za wkład
3241:  w rozwój literatury polskiej, w tym zwłaszcza w rozwój czytelnictwa i rozwój zainteresowania literaturą.
3250:  Na samym końcu tego historycznego rysu czytamy, że podczas czasów, no cóż, w czasach, ściślej mówiąc, podczas czasów to byłaby straszna tautologia PRL-owskich.
3262:  No cóż, Gomułkowska władza może oprzekła, przystąpiła jednak do nowej ofensywy ideologicznej i wychowywania przez literaturę, a jej rzecznicy za motto przyjęli twierdzenie Tadeusza Kotarbińskiego i trzymajcie się teraz, bo będzie zabawnie nieustannie.
3274:  uczymy literatury głównie dla wzorców stylu pisarskiego, ani uświadomień w literaturoznawstwie przede wszystkim, ani dlatego, by przyszłość była jakąś kontynuacją przeszłości, lecz głównie dlatego, by uchronić młodych od moralnej degrengolaby, by w nich umocnić dobrowolę i dzielność.
3289:  Dzisiaj nie musimy słuchać takiego patriotycznego aparatczyka, wystarczy, że odpalimy jakiś kanał popularnonaukowy, na przykład takie naukowe zero i dostaniemy dokładnie takie same treści, nic się nie zmieniło, poza tym, że w dalszym ciągu mówią to ludzie, którzy nie parają się aktywnie dydaktyką.
3304:  Takie wychowanie jednak można było sprowadzić do traktowania literatury jako narzędzia w ideologicznym urabianiu młodzieży.
3309:  W czasach małej stabilizacji w spisie można było znaleźć współczesne utwory lepszej jakości literackiej niż sztampowe produkcyjniaki, ale wciąż wpisujące się w politykę historyczną partii.
3318:  Literatury odczuwały się bowiem po coś.
3321:  Medaliony naukowskiej czy Niemców-Kruczkowskiego, by pamiętać o germańskim zagrożeniu i walce o pokój.
3325:  Anielkę Prusa, by ujrzeć obraz upadku ekonomicznego i tak dalej, i tak dalej.
3329:  Doktor Judym z przywróconych do łask ludzi bezdomnych miał być wzorem pasji zaangażowania niepokoju ducha rewolucjonisty.
3334:  Przyznaję nagrodę w komentarzach dla tych z was, którzy znajdą w wydawnictwie Zgret dokładnie te rzeczy, nie?
3340:  Znaczy, aż mnie ciekawi, bo niestety nie mam dostępu do wydawnictwa Zgret, nie ma takich rzeczy na moich półkach i trochę się tym chlubię.
3347:  ponieważ przypomnę, że z uwagi na nieczytanie tych opracowań byłem zagrożony z polskiego, więc było bardzo zabawne.
3352:  O!
3353:  Jeszcze musimy sobie zrobić kiedyś odcinek o tym, dlaczego w polskiej edukacji jest słowo zagrożenie na niezdanie i co to o nas mówi jako społeczeństwie.
3362:  Więc jeżeli znajdziecie w ludziach bezdomnych Żeromskiego w opracowaniu wydawnictwa z Gret wzór pasji, zaangażowania i niepokój ducha rewolucjonisty,
3371:  to będziemy mieć wszyscy cudowną, intelektualną satysfakcję, że nakryliśmy współczesną edukację na powielaniu wzorców komuszych.
3379:  Ale fajna zabawa będzie, prawda?
3381:  Po 1989 wprowadzane są minima programowe, wyszydzane przeze mnie podstawy, państwo wyznacza podstawowe ramy nauczania, wokół których szkoła, nauczyciele mogą konstruować własny program i od tego czasu, moi drodzy, batorzymy się po głowach.
3393:  kolejnymi listami lektur.
3395:  Wchodzi Giertych, wchodzi Czarnek, wchodzi teraz Nowack.
3398:  Każdy będzie proponował swoją własną listę i będziemy się w ten sposób okładać po głowie w nieskończoność.
3404:  Chyba, że zrobimy coś.
3406:  W związku z powyższym, ponieważ w tej serii nigdy nie mówię tego, co można zrobić w zamian, to zrobimy właśnie to samo, to znaczy jak zawsze w tej serii powiem, co można zrobić w zamian, jaki jest program pozytywny, natomiast muszę to teraz zaznaczać, zauważyłem, uważniej, to znaczy odnotowałem, że zwłaszcza starsze osoby słuchające, osobliwie nauczyciele, mają duży problem, jak ja nie powiem wprost czegoś, tylko mówię między wierszami, więc teraz dla was, specjalnie, tak samo jak w wydawnictwie ZGRED,
3435:  Krzysztof przechodzi do postulowania zmian programowych, mówiąc poważnym tonem i nie żartując.
3445:  Teraz nie ma ironii, nauczyciel poprawnie rozpoznaje brak ironii w materiale vlogowym w serwisie YouTube.
3456:  Więc teraz będzie bez ironii i będziemy sobie mówić o programie pozytywnym.
3462:  Okej, okej.
3463:  Jeżeli mamy to już ustalone, to przejdziemy sobie do tekstu Aleksandy Korczak, która jest swoją drogą też nauczycielką języka polskiego, polonistką, przy okazji badała kanon literacki i proponuje taki kanon pozytywny, nazwijmy to, w swoim tekście, gdy palec wskazuje niebo, tylko głupiec patrzy na palec i poświęcony ten tekst jest kanonowi lektur na XXI wiek.
3484:  Jeżeli jesteście w ogóle zainteresowani
3486:  twórczością Aleksandry Korczak, swoją drogą doktorki nauk literaturoznawczych, to bardzo też serdecznie polecam jej doktorat, będzie też podlinkowany w opisie.
3495:  Niestety nie ma on jeszcze formy drukowanej, ale wyszedł w takiej postaci preprintu dostępnego w Centrum Otwartej Nauki i możecie sobie ten preprint radośnie przeczytać.
3507:  Tutaj zresztą mam dla was jeden cytat, do którego sobie później przejdziemy.
3509:  To są dziewczęce i kobiece postaci literackie w kanonach lektur szkolnych
3512:  Klas 4-6 po 1989 roku w perspektywie gender studies, więc już w tym momencie paręnaście osób cisnęło dislajka, ponieważ pojawia się termin, którego nie rozumieją, a przynajmniej rozumieją go tak, w jaki sposób wytłumaczyła to kiedyś posłanka Beata Kempa, która jak wiadomo jest wybitnym autorytetem w zakresie gender studies i wie bardzo dużo na ten temat.
3532:  Powracając do tekstu o literaturze na XXI wiek, kanon lektur nie powinien składać się z konkretnych tytułów do omówienia, tylko z celów.
3539:  I tu w zasadzie powinniśmy postawić kropkę, bo może pamiętacie, że tak wygląda właśnie kanon lektur, czy kanon nieistniejący, kanon antykanon lektur, zestawienie, nie wiem jak to nazwać lepiej, w Francji, w Wielkiej Brytanii, jak się okazuje w Stanach Zjednoczonych również, macie po prostu zagadnienia.
3554:  Uważam osobiście, że na przykład ktoś, kto wychodzi ze szkoły w dzisiejszy świat, powinien widzieć, jaka jest różnica między fantazy a baśnią, a Izekajem.
3564:  Czym jest anime, czym jest manga, jaka jest różnica między mangą a manchwą.
3569:  jaka jest różnica między powieścią graficzną, a grą typu Interactive Movie, czy innymi tego rodzaju tytułami, które się mogą pojawić.
3579:  W ogóle, czym jest gra wideo?
3580:  Czy gra wideo to dalej jest ten saper i pasja, z którego ktoś pamięta z zamierzchłych lat, czy może teraz to są wirtualne narracje, które wrzucają nas do wirtualnych światów i poruszają tam problemy, o których można byłoby tworzyć sążniste, i as a matter of fact tak się dzieje, wideoeseje na YouTubie, które są czysto interpretacyjne i
3597:  Wiecie, o czym mówię, jeżeli kiedykolwiek natrafiliście na kanał Watividia na temat lore, czyli wiedzy o światach Dark Souls, Elden Ringa i tak dalej, i tak dalej.
3605:  Tam są interpretacje, moi drodzy.
3607:  Piękne interpretacje.
3609:  Tworzone przez człowieka, który ewidentnie nie został wykształcony przez polską szkołę.
3613:  I to jest trochę smutne.
3616:  Nieliczni zdają sobie sprawę z tego, pisze Ola Korczak, że kanon lektur to nie musi być spis konkretnych utworów do przeczytania i dopiero po 1989 roku, jak już czytaliśmy wcześniej, coś takiego powstało.
3626:  Jeśli nie nauczycielka, i to jest może coś, co powinienem podkreślić teraz z intensywnością, chcę proponować współcześniejsze uzupełnienia listy lektur, podsuwać podopiecznym powieść zagraniczną,
3635:  fantastykę.
3637:  Widać swoją drogą, że Aleksandra Korczak wychodzi z pracowni badań literatury dziecięcej i młodzieżowej Uniwersytetu Warszawskiego.
3643:  Pozdro serdeczne dla Weroniki Kosteckiej, Maśka Skowery, Grzegorza Leszczyńskiego i wszystkich, którzy tam pracują, no bo właśnie to jest jedna z takich niewielu enklaw w Polsce, które zajmują się badaniem literatury młodzieżowej i fantastyki i nie udają, tak jak to mój Wydział Polonistyki Uniwersytetu Jagiellońskiego, że ona nie istnieje.
3660:  Po prostu tam się to bada i no, później to widać.
3665:  Albo opowiadanie dotyczące problemów adolescencji można też polecić, chociażby zwracając uwagę na fakt, że dzisiaj tematy chociażby zdrowia psychicznego młodych ludzi są bardzo dla młodych pokoleń istotne i chwała Bogom.
3678:  I nie dziwota, że literatura Young Adult właśnie takie tematy proponuje, natomiast literatura kanoniczna, klasyczna – nie.
3686:  bo młody człowiek jest tam bardzo często przedstawiany instrumentalnie i traktowany jako właśnie podmiot, który musi zostać nauczony czegoś.
3693:  Literatura miała kiedyś, XVIII wiek, uczyć i bawić.
3696:  Powstawała ad usum delfini, dla pożytku księcia.
3699:  W związku z powyższym chodziło właśnie o to, żeby ten wymiar edukacyjny cały czas był wywierany hierarchicznie.
3705:  Dzisiaj zupełnie inaczej dowiadujemy się o tym, jak funkcjonuje świat z YouTube'a, z mediów społecznościowych, no właśnie, z kultury współcześnie powstającej.
3712:  Jedni i drudzy nauczyciele natomiast poprawiają się egzaminów,
3716:  uczniów, samych ich, nie wiem, preferencji literackich, takich, a nie innych rodziców, którzy naciskają na różne rzeczy.
3723:  I w związku z powyższym wszyscy wolą niekończące się powtórki testów.
3726:  I uczniowie też są tutaj niebezwinni, no bo każdy będzie chciał repetytorium maturalne przed maturką, która odpytuje nas z tego, co już jak wiele razy sobie powiedzieliśmy,
3736:  jest w wydawnictwie Gregg i nie ma nic absolutnie wspólnego z tym, czego możemy się dowiedzieć czytając jakąś konkretną książkę, ba, przeczytawszy opracowanie, będziemy lepiej przygotowani niż przeczytawszy książkę.
3746:  Nawiasem mówiąc, nie musicie dziękować, dobra rada.
3750:  W każdym razie uczniowie czują się bezpieczniej, rodzice czują się bezpieczniej i nauczyciele czują się bezpieczniej, robiąc dokładnie to samo, co było zawsze.
3758:  uprawiając sztukę konformizmu i udając, że świat się nie zmienił.
3762:  Po 1989 obowiązywało wiele kanonów.
3765:  Niestety model, który obecnie funkcjonuje, zwyciężył.
3768:  Chociaż w czasach, które teraz już są słusznie minione, mogli nauczyciele wybierać sobie powieści fantasy.
3774:  Dlatego bardzo często, jak ja na przykład na kanale mówię, że nigdy nie miałem fantastyki na listach letków w szkole, dużo ludzi na streamach mówi, ale Krzysztof, u mnie były.
3782:  To właśnie dlatego, że wasi nauczyciele korzystali z tych zapisów,
3786:  i podsuwali wam rzeczy, które kochali i podsuwali wam rzeczy, które faktycznie były współczesne i dzięki takim wspaniałym ludziom mogliście się zainteresować literaturą i kulturą.
3795:  W związku z powyższym cieszcie się, że spotkało was taki zaszczyt i spotkało was taki przywilej, ponieważ absolutnie nie jest to norma, zwłaszcza obecnie.
3805:  Edukacja literaturoznawcza nie powinna być wkuwaniem na pamięć treści lektury, do czego zmusza obecna forma egzaminów i nie tylko forma egzaminów, zmuszają do tego także opracowania różnych lektur.
3814:  W tej chwili dzieciaki uczą się o pana Tadeuszu nie śledząc wpisanych w utwór idei, wbijając sobie na pamięć do głowy wiedzę o świecie przedstawionym, bo tylko to pozwoli uniknąć popełnienia błędu kardynalnego.
3824:  A czym jest błąd kardynalny?
3825:  No jeżeli pomylicie cokolwiek, co jest...
3828:  W wydawnictwie Grek, to znaczy pomylicie sobie nazwy bohaterów, nazwiska bohaterów, czas, miejsce akcji, nie napiszecie ludowa moralność, tylko ludowa etyka, nie będziecie wiedzieli kto był w świecie żywych, w świecie umarłych, błąd kardynalny.
3841:  Nie czytaliście, nie znacie, nie macie wiedzy i umiejętności, które są wymagane przez centralną komisję egzaminacyjną.
3851:  Skandal.
3853:  I tak Gloria Victis, na przykład, argumentuje, polonistka, nie jest o losach Anielki, Marysia i Jagminy, tylko o szacunku do historii, a tego można uczyć chyba na czymś bardziej zrozumiałym i przekonującym dla uczniów niż egzaltowana nowela z 910, napisana przez sfrustrowaną, zroficyfikowaną młodzieżą orzeszkową, która do patriotycznych retrospekcji współczesnego nastolatka raczej zniechęca, co więcej, jeżeli ktokolwiek dojrze do tego, co w ogóle znaczy ten utwór,
3875:  To szczerze podziwiam, myśmy czytali to na studiach i wiele osób nic nie wiedziało, w związku z powyższym czytaliśmy co?
3880:  No, opracowanie oczywiście.
3882:  Innymi słowy, w edukacji kanon nie powinien składać się z konkretnych tytułów do omówienia, tylko z celów, które są zorganizowane genologicznie i topicznie, czyli są zorganizowane pośród gatunków i określonych problemów, które poruszają.
3892:  W ten sposób możecie sobie na przykład wziąć problem osamotnienia i radzenia sobie z porażką i zrobić esej o Dark Souls.
3899:  Możecie sobie wziąć problem liniowości.
3904:  Dlaczego w naszej kulturze mówi się, że jakaś fabuła jest liniowa?
3908:  To źle, że jest liniowa?
3909:  Dlaczego linia stała się synonimem czegoś takiego?
3912:  I o tym jest cała książka, krótka historia linii Tima Ingolda, podlinkuję ją wam w opisie.
3917:  I możecie do tego podejść od strony, o, chociażby weźmy sobie Procedurala, serial kryminalny, który w jednej linii wydarzeń przedstawia nam różnego rodzaju zagadki kryminalne, ale jest też druga linia, która jest taką główną osią fabularną, mającą nas zainteresować.
3930:  Na przykład dla takiego Dextera, nie wiem, czy Dexter jest jeszcze oglądalny, będzie mi zagadki kryminalne o morderstwa w każdym odcinku, a na głównym planie fabularnym będzie to, czy ludzie wreszcie odkryją, że Dexter nie jest tylko technikiem kryminalnym, tylko jest także mordercą i czy ktoś go w końcu nakryje.
3946:  I w ten sposób macie dwie linie.
3949:  Możecie wreszcie zastanowić się nad tym, w jaki sposób w współczesnej literaturze, kulturze podejmuje się problem propagandy.
3958:  I weźmiecie sobie chociażby jakąś animkę, to może być Ergo Proxy, to może być...
3965:  Cokolwiek w zasadzie, co przyjdzie wam w tym momencie do głowy, możecie wpisać w komentarzach swoje pomysły.
3971:  Na każdy temat w zasadzie.
3973:  I to jest piękne.
3974:  Ja na to nie wpadnę, ale może ktoś wpadnie.
3976:  Właśnie na tym polega interpretacja i na tym polega humanistyka i do tego się powinno ludzi zachęcać.
3982:  Żebyśmy kreatywnie kombinowali, co nas interesuje w kulturze i co chcemy przekazać innym i jak chcemy innych zaradzić.
3990:  Dlatego właśnie listy, niech to będzie moim dziewiątym argumentem, są bezsensowne.
3995:  Potrzebujemy map.
3997:  My zwiedzamy światy.
3999:  My postrzegamy naszą rzeczywistość jako właśnie przestrzeń.
4004:  Co robicie w pierwszej kolejności, jak się gubicie w przestrzeni?
4007:  Robicie mapę.
4008:  Nie robicie listy, robicie mapę, żeby się zorientować, jak należy przejść.
4013:  Oczywiście możecie sobie potem nanieść rzeczy z tej mapy na jakąś listę, uporządkować miejsca, które chcecie odwiedzić.
4019:  Jasna sprawa.
4020:  Natomiast zastanówcie się, o ile uboższe byłoby wasze doświadczenie zwiedzania jakiegoś świata, nieważne, czy to będzie świat rzeczywisty, czy świat w grze wideo, jakbyście mieli listę rzeczy do odhacenia.
4033:  Może komuś to odpowiada, ale nie jest to pierwotne poznawcze doświadczenie i prawdopodobnie, jeśli komuś to odpowiada, to jest dlatego, że ktoś nas przyzwyczaił do myślenia liniowego.
4042:  I macie tutaj kolejny przykład tego, w jaki sposób liniowość funkcjonuje w naszej kulturze.
4046:  Więc kanon problemów, a nie tytułów, ma kształcić świadomych i krytycznych odbiorców, którzy będą w stanie poruszać się właśnie w naszej współczesnej kulturze i będą w stanie również kontrolować to, jeżeli się dorobią potomstwa,
4059:  młodzi ludzie będą następnie czytać, będą poznawać literaturę.
4061:  Czy myślicie naprawdę, że to się ma zamykać na książkach?
4066:  W jaki sposób jesteście przygotowani do tego, żeby zorientować się, jakie gry wideo są dobre, a które nie są dobre?
4073:  Które są wartościowe, a które są mniej wartościowe?
4076:  Jak jesteście przygotowani do tego przez szkolnictwo?
4079:  Nijak.
4079:  Nie macie żadnej wiedzy na ten temat.
4081:  Połowa ludzi nie rozróżnia fabuły gry wideo od rozgrywki.
4084:  Ludzie nie wiedzą, jaka jest różnica między przedstawieniem przemocy w grze wideo, a grą wideo, która zachęca do tego, żeby w przemocy uczestniczyć.
4091:  Słynny przypadek Grand Theft Auto V, gdzie nie można było omijać sceny tortur.
4096:  I gracze protestowali, że gra im odbiera sprawczość, odbiera im decyzyjność.
4101:  Zmusza do uczestnictwa tak, jakby to był film.
4103:  Jak to się ma z tezami ludzi, którzy twierdzą, że gry wideo epatują przemocu i do niej zmuszają?
4108:  To jest dokładnie na odwrót.
4110:  I tego rodzaju przykładów będzie tym więcej, im więcej będziemy mieli mediów.
4115:  Jeżeli nie będzie rozumiane anime, jeżeli nie będzie rozumiana manga, jeżeli nie będą rozumiane komiksy, jeżeli nie będzie rozumiany serial, serial współczesny także, antologie filmowe, jeżeli nie będą znane współczesne teatry, spektakle teatralne czy performatywne, różnego rodzaju eksperymenty,
4130:  to nie będziemy w stanie w ogóle funkcjonować w społeczeństwie i w kulturze i na pewno nie będziemy w stanie spełniać się później jako rodzice, czy spełniać się również jako, nie wiem, decydenci w partiach politycznych, którzy mają, jak widać, tak żenującą wiedzę, że nie są w stanie nawet skomponować listy rekomendacji z różnych mediów.
4149:  Na liście lektur, którą przeglądałem specjalnie a konto tego materiału, widnieje gra wideo, nie wiem, czy mi się uda ją znaleźć, bo nie pamiętam, gdzie ona jest, ale prawdopodobnie jest ona w którejś z tych podstaw programowych i lista tych lektur obejmuje także dwie gry wideo.
4167:  Ewidentnie nie jestem w stanie tego teraz na szybko znaleźć.
4170:  W każdym razie, o, This War of Mine i gra szyfrów.
4176:  Czy widzicie wspólny mianownik tych dwóch gier wideo?
4181:  No oczywiście, że to jest dokładnie to samo, co zawsze.
4183:  To znaczy ładowanie do głowy o powstaniach, wojnie, poświęceniu.
4188:  Dlaczego to nie może być Frostpunk?
4190:  Tego samego studia Eleven Beat?
4193:  Dlaczego to nie może być cokolwiek innego?
4195:  Dlaczego to nie może być listy?
4196:  Dlaczego to nie może być Heroes albo Gothic albo Wiedźmin?
4199:  Dlaczego?
4200:  Nawiasem mówiąc, Sapkowskiego też nie ma na tych listach.
4202:  Nie wiem, czy dożyje Andrzeja Sapkowskiego na jakiejkolwiek rekomendacji lekturowej.
4206:  Ale widzicie, też nie chcę sam łapać się w tę pułapkę.
4210:  Gdybym ja miał stworzyć listę gier wideo, to ona byłaby moją listą i byłaby bezsensowna.
4215:  Tak długo, jak długo nie byłaby to lista problemów.
4217:  I gdybyśmy mieli listę problemów, to ja wskazując na tę listę, nie widziałbym This War of Mine, tylko widziałbym cały czas, z góry na dół, od wszystkich możliwych tych filmów, które tutaj są, i zauważcie, że one też mają bardzo wspólny mianownik,
4231:  I Lisle, który cały czas miałbym wojna, wojna, wojna, powstanie, wojna, wojna, wojna, wojna, wojna, wojna, powstanie, podmiotowość, tożsamość, wojna, posttrauma, wojna, wojna, wojna, powstanie.
4244:  Cały czas byłoby to samo.
4245:  I ktoś by zwrócił na to uwagę i powiedział, ej, nie za dużo o tych powstaniach i wojniech?
4252:  Może zróbmy coś konstruktywnego?
4254:  Może pokażmy program odbudowy demokratycznej?
4257:  Może poczytajmy jakieś teksty utopijne właśnie, żeby używać chociażby tego terminu poprawnie?
4262:  Może poczytamy trochę fantastyki naukowej, która się mierzy z problemem poznania nieznanego i obcych cywilizacji?
4269:  A przy okazji uczy nas sporo z zakresu astrofizyki.
4271:  Może dla wytchnienia przeczytamy sobie jakąś dobrą fantazję i zobaczymy, w jaki sposób mit odżywa w naszej kulturze, jak przenika do opowieści superbohaterskich, w których rezonują bardzo często stare opowieści heroiczne.
4284:  Wtedy te problemy i tematy organizowałyby nam myślenie o listach lektur lepiej niż licytacja na targowisku próżności.
4291:  O, kto zna lepsze rzeczy, kto zna wybitniejsze płyty, wybitniejsze gry wideo, wybitniejsze filmy, wybitniejsze spektakle.
4300:  I będzie to właśnie taka licytacja i prędzej czy później dojdzie do argumentacji pozamerytorycznej, kiedy ludzie zaczną machać swoimi kwalifikacjami i nie będziemy mieli w ogóle żadnej sensownej dyskusji.
4312:  I to może, moi drodzy, położyć kres wreszcie tej naszej egzaminozie.
4317:  Temu, żeby nie włączać cały czas tego samego, z czego egzaminowano, tylko dawać na listę lektur nowe rzeczy.
4325:  I teraz dziesiąty kontrargument mój.
4327:  No ale gdyby egzaminatorzy i nauczyciele musieli egzaminować z nowych utworów i wszystkiego, boże, to ty chcesz, zwariowałeś Krzysztof, anime, gry wideo, kiedy ja mam to zrobić?
4339:  Odpowiem, że jeżeli uczeń będzie w stanie wymyślić sobie od A do Z
4347:  przekonująco, jakikolwiek utwór, nieważne w jakim medium zrealizowany, i zinterpretować go następnie, i zrobić to tak przekonywająco, żeby egzaminatorzy uwierzyli w istnienie tego utworu, to właśnie sprawdziliście, że ten człowiek ma wybitne kwalifikacje i powinien iść na studia.
4364:  To jest jedna rzecz, którą sprawdziliście.
4366:  Wyłoniliście właśnie zdolnego, inteligentnego, kreatywnego człowieka.
4372:  Czyli zrobiliście precyzyjnie to, czego nie umiecie robić.
4377:  Precyzyjnie to, co podobno ma teraz babać ranking Pisa, uwielbiany przez wszystkich, czyli kreatywność.
4384:  Sprawdziliście kreatywność właśnie.
4387:  Nie, nie, nie, nie ważne jest to, jaka jest fabuła, utwory, jacy są bohaterowie, wydarzenia nieistotne.
4393:  Ważny jest problem i ważne są umiejętności komunikacyjne, ponieważ, i tu będzie jedenasty mój argument przeciwko liście lektur, przedmiot ten nazywa się język polski.
4407:  a nie historia literatury, nie teoria literatury, nie poetyka i genologia, tylko język polski.
4417:  Język polski, który może być w filmie, w teatrze, w anime, w komiksie, w powieści fantasy, ale równocześnie w poezji, może być też w powieści realistycznej, w literaturze faktów, w performansie ulicznym, w graffiti, wszędzie, w rapie, w hip-hopie, wszędzie.
4436:  I teraz limitowanie nauczycieli narzucaniem określonego medium, czy określonego gatunku literackiego jest działaniem przeciwskutecznym, ponieważ sprawia, że ludzie po lekcjach języka polskiego, którzy wychodzą przecież nie na uniwersytet, dokształcić się następnie na kulturoznawstwie, że o Boże, istnieją inne gatunki, idą w świat.
4454:  pisać komentarze na temat tego, że pustyni w puszczy musi zostać na liście lektur, bo czytałem pustyni w puszczy, czytałem pustyni w puszczy tak samo jak dziady, czytałem z wydawnictwa Grek, gdzie była biografia i czas i miejsce akcji i te ważne.
4475:  Tacy ludzie idą.
4476:  A później do mnie, uczącego na kulturoznawstwie, przychodzą osoby, które znają
4482:  sposoby analizowania i interpretowania innych mediów z YouTube'a, z internetu, z portali fanowskich, z konwentów, z prelekcji na konwentach, ponieważ nigdzie indziej takich wzorców nie ma.
4496:  I niech te wszystkie argumenty, które sformułowałem przeciwko liście lektur, patronują może dyskusji, którą teraz mamy, w większym stopniu niż licytacja dotycząca tego, co włączamy na listę i co wyłączamy.
4507:  I tak, dlatego właśnie nigdy nie formułowałem mojego kanonu,
4513:  ponieważ to jest głupota.
4514:  Dlatego właśnie nigdy nie mówiłem, jaka jest lista gier wideo, które są najważniejsze w życiu każdego, bo to jest głupota.
4521:  I dlatego właśnie nigdy nie formułowałem uniwersalnych instrukcji dotyczących formułowania kanonów, bo jest to głupota.
4527:  Ja nie lubię być głupi.
4529:  I w związku z powyższym, jedyne co mogę robić, to zawsze zadawać konkretne pytanie.
4534:  Co Cię interesuje?
4536:  Jeżeli uzyskam odpowiedź na pytanie, co kogoś interesuje, w 9 przypadkach na 10 umiem podać film, płytę, spektakl teatralny, cokolwiek, wymienicie sobie wszystkie media jeszcze raz, bo nie będę tego robił ponownie, co być może rozbuduje jakość zainteresowania danej osoby.
4552:  Czyli tak, odpowiedzią jest indywidualne podejście do konkretnego ucznia.
4557:  I zanim ktokolwiek mi znowu powie bzdurę, że to jest niemożliwe,
4562:  Wróćcie sobie do początku materiału, gdzie wymienialiśmy wszystkie kraje i strategie, które tam są wdrażane, tego jak można w 40-30 osobowych klasach indywidualizować to podejście.
4573:  No właśnie w ten chociażby, że jakiś człowiek przynosi coś, czym się zainteresował i próbuje tym zainteresować innych i następnie nauczyciel wykorzystując swoją wiedzę, którą tam jak widać ma,
4586:  live, na żywo, bez przygotowania, zaczyna improwizować pod dany temat.
4591:  I jak widać, tacy nauczyciele, co mieliśmy przykład po tekście Aleksandry Korczak, jak najbardziej w Polsce są, tylko po prostu nie mogą realizować swojej misji z tego względu, że cały czas i notorycznie usiłuje się w nas budować takie przekonanie, że nauczyciel ma po prostu być egzekutorem woli ministerstwa i centralnej komisji egzaminacyjnej.
4613:  Mam nadzieję.
4614:  Nie, nie, nie będę mówił, że mam nadzieję.
4616:  Nie mam nadziei.
4617:  Nie mam nadziei na to, że w przyszłym roku nie będę musiał wam powiedzieć tego samego.
4621:  Jedenasty odcinek dla każdego coś przykrego.
4623:  Lektury to bzdury.
4624:  Spotykamy się po ponad 40 odcinkach dla każdego coś przykrego.
4628:  Jedyne, co mogę zrobić, to rozwinąć ten wątek i zrobić na ten temat dłuższy film.
4633:  A i tak w którymś momencie będzie jakiś komentarz mówiący, że ale to jest przecież bzdura, ponieważ pustyni w puszczy jest ważne.
4640:  Szkoda gadać.
4642:  Do następnego.
