🔴 Największy koszmar Niedomaga Iamnixa — ELDEN RING: SHADOW OF THE ERDTREE Livestream #6
🔗 https://www.youtube.com/watch?v=X80bC_wf5vI

34:  Iście.
5016:  Tak, z kometą idzie szybciej, zdecydowanie.
5038:  Dzięki za oglądanie!
5067:  To nie nauka.
5097:  Au!
5098:  Za długi jest ten cast na prawo.
5100:  O Jezu, i teraz to.
5104:  Nie, nie, nie, nie, nie wiem.
5106:  Nie wiem kiedy.
5109:  Nie wiem kiedy.
5110:  Proszę, to się skacze przed tym atakiem, w trakcie, po nim, kiedy się skacze wtedy, kiedy jest ten atak, au.
5119:  Trzeba odbić i skoczyć na koniec albo dotrzeć, no to dotrz w tył, próbowałem i to, wiecie, zapomnij.
5125:  O nie, na prawo, na prawo, nie, nie jesz.
5135:  Dobra, inaczej.
5136:  Muszę się pozbyć wszystkiego, czego nie używam w ogóle.
5143:  Teraz z drugiej strony tego mogę użyć.
5146:  Nie, muszę zdecydować.
5150:  Niezmiennie DS-1, carze Mikołaju.
5158:  On ma niewrażliwość na początku.
5173:  Czemu mi zniknęły... Czemu mi zniknęły moje miecze?
5178:  Nie lubię takich sytuacji.
5188:  Za mało obrażeń to zadaje, naprawdę, jak na tak długi cast.
5194:  Za mało.
5196:  Wiesz, policzcie ile ja musiałem zadać tym zaklęciem.
5209:  Jezus.
5228:  Jezus, nie ścigaj mnie tak!
5249:  Chyba tak.
5260:  W jaki sposób mam zrolować go?
5262:  W jaki sposób mam go zrolować do tyłu, jak on mnie ściga i namierza tym atakiem?
5268:  To nie jest tak, że on se ląduje na środku areny.
5272:  Nie mam zielonego pojęcia, co mam zrobić.
5278:  W jaki sposób mam, w jaki sposób mam uciec, uciec przed tym?
5285:  Mam zielonego pojęcia.
5286:  Biegniesz z dala od niego, potem rolujesz?
5289:  No ja mam biec z dala od niego, jak on się do mnie przybliża cały czas.
5318:  No i... nie weszło.
5320:  Delikatnie zrzymując.
5325:  Muszę cholerną strugę wypieprzyć, bo... czy torrenta.
5334:  Bo po prostu przełączanie się między tym doprowadzi mnie do szału.
5340:  On targetuje twoją pozycję na początku lotu, a potem jej nie zmienia?
5343:  A, okej, okej.
5346:  Dosłownie na ćwierć sekundy przed upadkiem kuli ognia trzeba rolność?
5351:  Problem polega na tym, że jak ona ląduje na mojej głowie, to ja nie widziałem, kiedy było ćwierć sekundy przed upadkiem.
5375:  Musisz wyłączyć lock na tamten atak?
5377:  O Jezus.
5382:  Czy umiem wrócić do Baldura, skoro ukończyliśmy Baldura?
5390:  Nie miałem żadnego trybutu, moi drodzy, w tym, na liście.
5393:  Nie mam jak przeczytać w tym momencie, bo nie mam historii czatu.
5396:  Przepraszam, jeżeli nie zauważyłem, no ale jak jest walka z bossem, to nie mam szans.
5403:  Bardzo często.
5403:  Okej, teraz wyszło.
5421:  No nie, nie.
5422:  On nie lokuje się w miejscu, w którym ja byłem.
5425:  On na mnie spada.
5430:  On na mnie spada bezpośrednio.
5446:  O mój Boże.
5449:  Bardzo potrzebowałem tej animacji, bardzo.
5459:  Potrzebowałbym bardziej animacji.
5460:  Uwaga, jesteś przy ścianie.
5466:  niż animacji oglądania kostura.
5484:  Ale łą muzyka, teraz słyszę muzykę piękną.
5488:  O Boże, co to jest?
5493:  No i koniec.
5518:  Boże, tracę życie już.
5521:  Zapu... Nie.
5530:  Co to jest?
5530:  Co to jest?
5531:  O mój Boże, jeszcze raz?
5534:  Nie... Proszę, no nie...
5541:  Jak mam tego uniknąć?
5543:  No, pys te panie, no.
5550:  Nie mogę unikania tych ataków obszarowych po prostu.
5553:  Nie, nie, nie jestem w stanie.
5554:  Nie miałem kiedy się tego nauczyć, to jest najgorsze.
5564:  Nie było nowego... No nie mam, moi drodzy, Dominika mam i tyle.
5569:  Mówiłem, że nie mam trybutu.
5575:  Biniesz cały czas do tyłu, nie skręcasz, nie prosto do tyłu, no ale on mnie namierza!
5584:  Poza tym, jeżeli jest taka arena, to se możecie do tyłu w momencie, w którym jesteście na przykład w złym miejscu tej areny, to co wtedy, do przodu?
5595:  Vegary pisał, twoja walka z bossem uwolniuje mnie do walki z OECD.
5598:  Okej, dzięki Vegary.
5599:  Nie wiem dlaczego tego nie widziałem.
5619:  Więc tego księżyca rani to ja się nie pozbędę, moi drodzy, bo on pozwala nam zadać obrażenia z bardzo daleka.
5634:  Masz ci los.
5642:  Jezu, zapominam cały czas o wywalaniu cholernego torrenta.
5659:  Ale jest agresywny teraz.
5665:  Myślałem, że on już się będzie teraz unosił.
5672:  Widzicie?
5673:  Biegnij do tyłu.
5674:  No ja mam bujec do tyłu, jak on mnie atakuje do przodu.
5682:  Można w niektórych warunkach biec do tyłu.
5685:  Z okrągła arena można biec do tyłu.
5690:  Nie, no nie będzie dobra próba, bo się nie nauczę unikać jego nieunikalnego ataku dla mnie na razie.
5705:  No, jest do mnie złości, że nie jestem w stanie się tego nauczyć.
5708:  Jak?
5710:  Jak mam to zrobić?
5718:  Ja bym podskoczył, żeby się udało uniknąć.
5720:  Sam piszesz chyba, John Cena, sam piszesz chyba.
5723:  Nikt nie wie.
5726:  Nikt nie wie tak naprawdę, co zrobić, póki nie nauczy się tego intuicyjnie.
5735:  A w jaki sposób, Marcin, nie pobiegniesz do tyłu z Lokonem i masz ścianę?
5738:  Co wtedy?
5739:  Bo ja miałem taką konkretnie sytuację, że miałem ścianę i ja nie wiem wtedy, gdzie mam biec, bo nie ma tyłu żadnego za mną.
5745:  Jest tylko przodu dostępne.
5758:  A, niepotrzebnie.
5768:  Koniec.
5785:  Na Fextralife proponuję od razu rollować w tył kilka razy, ten atak można poznać po tym, że on zaczyna lewitać.
5790:  Znaczy to wiem, że zaczyna lewitować.
5792:  Natomiast w momencie, w którym rollowałem kilka razy, to on i tak mnie namierzał wtedy.
5798:  Daje najmocniejszą broń w grze, ale Dominiku, ta najmocniejsza broń w grze nie jest kosturem, prawda?
5803:  Więc tak mi nic nie da.
5804:  The depths of your foolishness!
5814:  Hmm...
5858:  Jezus Chryste.
5859:  Za wcześnie.
5863:  Zobacz, co się dzieje.
5902:  Czemu to raz na taki zasięg, a raz inny?
5922:  No i fuck.
5927:  Nic nie, nic nie mogłem zrobić w tej sytuacji.
5930:  Jestem zlokowany w animacji, to nic nie zrobię.
5938:  O pech straszny.
5940:  Stagger nie zależy od rodzaju damage'u, tylko od jego ilości w krótkim czasie?
5943:  Nie, od rodzaju.
5944:  Nie ma ataków magicznych Staggera czasem.
5948:  I co zrobisz?
5949:  Nic nie zrobisz.
5960:  6000 obrażeń i byś zadał normalnie Staggera.
5964:  No ale nic nie zrobisz.
5967:  O mój Boże, naprawdę?
5976:  Czy ja po prostu zadaję strasznie mikro obrażenia jak na to?
5983:  Co on później wyprawia w drugiej fazie.
6002:  Ej, nie podobały mi się te zwiechy, które mam.
6012:  Dobrze, teraz jest fajnie.
6024:  Próbowałem rollować w momencie, w którym on to zrobił.
6043:  Nie rozpoznaje tego ataku jeszcze.
6056:  W drugiej fazie niestety wchodzi mu to, co jest problemem tutaj zawsze, to znaczy ta seria ataków potworna.
6073:  Proca?
6073:  Nie wiem, czy Proca coś da.
6078:  Nie schodzi do krawędzi.
6079:  To ciężko trochę zrobić w momencie, w którym usiłowałem uniknąć ataku obszarowego na całą arenę.
6084:  Ciężko wtedy nie zejść do krawędzi.
6101:  te ataki jego mieczem unikam w większości przypadków.
6105:  Gdybym poznał sposób na unikanie tego ataku obszarowego, byłoby fajnie.
6113:  Wystarczy, że walnie we mnie jakąkolwiek obszarówkę i już jej nie unikam, bo nie jestem w stanie zrozumieć, jak działają hitboxy ataków obszarowych.
6122:  Tak dziwaczne.
6125:  Totalnie nie kończą się tam, gdzie się kończy animacja.
6129:  Nie wiem, poczułem to rozpoznawać.
6133:  A timing jest ciężki przy takiej atakach, ponieważ one są różnej długości.
6136:  Jak są różnej długości, to wtedy są różne wartości timingów.
6150:  Pod niego biegasz jak wleci w ciebie i podskok w chwili uderzenia o ziemię?
6155:  Właśnie to jest problem.
6156:  Nie wiem, co to znaczy w chwili uderzenia o ziemię.
6162:  Nie wiem.
6164:  Dobra, wbiegam pod niego.
6168:  Podskoczyłem.
6170:  No i... I wyszło jak zawsze.
6172:  Dobra.
6205:  Tak, Demon Prince też miał taki atak, też go nie umiałem uniknąć.
6209:  Radagon też miał taki atak, też go nie umiałem uniknąć.
6226:  Trzeba go pewnie odlokować?
6227:  To jest bardzo możliwe.
6229:  Tak, to jest bardzo możliwe, że to jest ta kwestia.
6234:  To jest bardzo dobra kwestia.
6240:  Dobra, muszę wypieprzyć strugę, bo zwariuję.
6245:  Ale to nie jest, to jest chore event flow, że zlokowałem w chwili minięcia, zawracam.
6249:  To jest chore, no naprawdę.
6253:  Nie, nie tutaj.
6256:  Używając Księżyca lewitujesz?
6257:  To jest nieprawda.
6259:  Boss jest w stanie mnie zmieść z powierzchni ziemi, poza tym dla niego ja nie lewituję.
6263:  Jestem dalej przyklejony do ziemi.
6267:  Nie wiem dlaczego tak jest, ale tak jest.
6280:  Dobra.
6291:  Cieszy mnie.
6296:  Tej kombinacji nie znałem.
6301:  Jak widać jest śmiertelna.
6324:  Wiedziałem, że to już jest ściana, ale ja to wiedziałem na pamięć.
6327:  No, daj mi sekundę, no.
6344:  On czasem daje dużo czasu, a czasem ma właśnie non-stop ataki, non-stop i wtedy nic nie zrobisz.
6394:  Oho Byłem w powietrzu w momencie, w którym uderzył Nie, ludzie mówili, żeby podskoczyć wtedy
6432:  Ja muszę się nauczyć wreszcie unikać tych ataków obszarowych, bo one po prostu są w tym dodatku non-stop, no i każdą walkę mi zepsują inaczej.
6446:  Nie, nie gram z Ray Tracingiem, były straszne spadki jakości.
6456:  A przy mojej karcie to jest raczej niedopuszczalne, no ale były.
6480:  Staram się nie być, staram się nie być przy krawędziach areny, ale on wtedy wpada w swoje wiru wiru i ginę momentalnie.
6490:  Tak, to będą jeszcze niższe fp, a ja już i tak mam strasznie złe klatki, zauważcie, bez przerwy jest jakiś problem.
6503:  Podczas tej walki tak ze cztery razy były spadki klatek, nie mam zielonego pojęcia.
6508:  Francji pisze, że w tym roku po 10 minutach staja w 30 stopniach i słuchaj, na pierdolenia dyrektora po prostu wyszliśmy, poszliśmy na piwo, żeby wrócić tylko po świadectwie.
6515:  Bardzo dobrze, tak należy robić.
6519:  Czy powiedzieć, wieczna wojna jest warta uwagi?
6520:  Haldemana?
6524:  Możesz, to jest klasyka.
6524:  The depths of your foolishness!
6540:  Czy jest to mięso?
6541:  Oczywiście.
6543:  Ja nie byłbym w stanie przeżyć na diecie wegańskiej.
6552:  Idę w ultra agresję.
6567:  No tak się skończyło pójście w ultra agresję.
6573:  Był fukt, że on nie użył swojego wiru wiru.
6591:  Ależ nie mogę wyczuć zasięgu jego.
6603:  Zrolowałem.
6604:  Nie miałem go oznaczonego.
6609:  Oczywiście trafia mnie, jak jestem tyłem.
6613:  Mogę.
6622:  Dzięki za oglądanie!
6642:  Chciałem tylko powiedzieć, że na czacie pojawił się komentarz, lepiej używać karyjskiego kostura niż zielonego.
6647:  Zielone jest tylko do komety Azura.
6649:  5% każdy spel jest droższy, a jak nie używasz komety Azura, to tracisz dużo.
6653:  Chciałem przeczytać ten komentarz z tego względu, że jak używałem karyjskiego kostura królewskiego, co jest udokumentowane przez wszystkie nagrania, wszystkich streamów,
6663:  a jest 20 ponad odcinków z pierwszej serii i w tym momencie będzie już 8.
6667:  Używałem karyjskiego berła królewskiego, który jest ulepszony do plus 10.
6671:  Chciałem tylko, żeby to wybrzmiało.
6686:  Miałem godło Fenip w głównej ręce przez całą podstawkę.
6693:  Nie, na egzamin za tydzień mają przyjść na salę, ale pisać na własnym sprzęcie?
6697:  A jakim cudem, Dominiko, skoro nie ma w programie studiów informacji, że macie mieć własny sprzęt?
6708:  Ja na ten bosio nauczyłem się, że nie warto się przejmować unikiem jak skacze na główkę, lepiej HP wytopować i grać na klatę.
6714:  Aha, tylko że jest jeden problem, ja nie mogę mieć większego HP niż mam.
6734:  ok
6755:  Ja chciałem tych roli zrobić.
6759:  Możesz aktuować łuk runiczny?
6760:  Tak, a potem no gdzie je zdobędę?
6764:  Bo ja nie zamierzam ich farmić.
6777:  Była już kilka razy druga faza.
6778:  On w drugiej fazie robi atak obszarowy.
6789:  Zresztą druga faza będzie za moment dosłownie, ona jest bardzo szybko.
6792:  O właśnie teraz.
6803:  No rzeczywiście trzeba to wziąć na klatę i tyle.
6824:  Daj mi odbiec i zażyć manę.
6851:  Zaczyna znowu to samo, co było.
6856:  Nie zejdę mu poza połowę przez cały czas.
6859:  Nie zajdę.
6868:  Może te flaszki wsadzić UZ na obniżenie obrażenia od jednego ataku specjalny na ten wybuch?
6879:  To nie jest głupi pomysł.
6880:  To nie jest głupi pomysł.
6884:  Mogę to zrobić.
6893:  Zamienia otrzymywane obrażenia na punkty życia.
6898:  Może to?
6899:  Nie.
6905:  To nie jest głupi pomysł.
6908:  Zrobimy tak.
6911:  Może przypalić kometę, jak lewituję kastrojąc wybuch?
6914:  Obawiam... Obawiam się... Znaczy, można, ale obawiam się, że... Może to nic nie dać wtedy, ale to też wypróbujemy.
6924:  Na razie ta strategia mi się spodobała.
6942:  Dzięki za oglądanie!
6964:  Czemu to zaklęcie nie działa w momencie, w którym on się do mnie zbliża?
6967:  Czy ono nie powinno działać właśnie w ten sposób, że jak się zbliża do mnie boss, to wtedy go atakuje?
6974:  Logiczne jest, nie?
6975:  Nie.
7000:  Dobra, zadziałało.
7003:  Ale i tak zginę.
7010:  Ale przetrwanie jest zdecydowanie łatwiejsze.
7026:  Daj mi, daj mi się wyleczyć, daj mi się wyleczyć.
7030:  Proszę, żadnej obszarówki.
7032:  Żadnego kombosa.
7036:  Boże, jak on mam ma... Boże, jak on ma dużo zdrowia jeszcze, no przecież to jest niesamowite.
7044:  Jakie to jest zniechęcające, naprawdę.
7047:  Trafia człowiek 70 razy bossa i... Nawet połowy nie ma zbitego HP-ka, no.
7055:  Zniechęcające to jest po prostu, no.
7073:  No już zapis.
7078:  Ta palanga dziwnie działa.
7080:  Ja ją wyekwipuję.
7082:  No nie ma sensu żadnego.
7093:  To jest zabawne.
7095:  Tylko zaklęcie po zaklęciu eliminuję, bo każdy się okazuje beznadziejny.
7099:  Spróbujemy jeszcze, spróbujemy jeszcze czego?
7103:  Może to?
7104:  A, już, naprawdę.
7106:  Ale tak, ten niesamowity eliksir coś dawał.
7115:  Ten boss ma więcej życia od final bossa.
7117:  W ogóle HP bossów to jest coś, czego ja nie skomentuję już.
7121:  Skomentowałem wystarczająco dużo razy.
7126:  No spróbujemy w niego procą walnąć teraz.
7130:  Ale ona też ma taki zasięg beznadziejny, że wiecie.
7133:  Nie no, czy wy widzicie te obrażenia?
7137:  Czy wy widzicie te obrażenia?
7139:  Przecież ja dlatego nie gram procą, no.
7141:  No przecież co to są za obrażenia, no naprawdę.
7147:  Nie da się tak walczyć, no.
7151:  To są obrażenia konkretne, tak?
7153:  Nie jakaś proca cholerna.
7156:  Proca, no.
7163:  No się dlatego drażni mnie, jak ktoś mówi mi, że proca stageruje, no bo raz, nie stageruje, dwa, zadaje żałosne obrażenia. ...
7190:  Fajnie, że nie mogłem użyć Księżyca Rani, mimo że byłem nierażliwy teoretycznie.
7197:  No oczywiście.
7208:  Ma ten boss mało poiza, no ale to tak jak mówię, macie dowód jak działają zaklęcia, które mają nabijać poiza.
7218:  Proca stageruje?
7218:  No to kiedy stageruje?
7220:  Dobrze, nie ma problemu, będę używał cały czas procy.
7223:  Nie ma problemu.
7241:  Ja muszę udowodnić, czy nie stageruję, bo ludzie mi nie dadzą spokoju potem, żebym używał procy.
7253:  A co daje kostur grawitacyjny do procesu?
7255:  Sprawia, że ona staggeruje?
7265:  Czwarty raz dostał.
7270:  By ile staggerowała?
7271:  Bo miał większy model postaci.
7275:  Dlatego.
7278:  Dla małej postaci jest to beznadziejne.
7282:  Bo jest niecelne.
7286:  Policzcie sobie, ile razy oberwał i czy to jest opłacalne, biorąc pod uwagę, że już nie mam flaszki.
7306:  No, więc lew to macie.
7311:  Wypierdalam tę pracę do niczego.
7328:  Tak, odebrałem Zaklęcie Bliźniaczy Księżyców.
7330:  Możecie napisać Nixiosowi, jak działa Zaklęcie Bliźniaczy Księżyców.
7334:  Znaczy, jak nie działa.
7368:  Terda magicka jak zastosuję na początku to z niej wypadnę przy rolach.
7383:  Mogę spróbować natomiast rzeczywiście, bo to była ta rzecz, o której powiedziałem, że spróbuję, kometę w momencie, w którym on jest na górze.
7391:  To nie będzie proste.
7393:  Będzie bardzo trudne.
7394:  Ponieważ jednocześnie muszę zażyć miksturę i użyć komety.
7399:  A kometa bez mikstury z kolei, która odnawia manewr w nieskończoność, jest bezużyteczna.
7405:  Nie pamiętam, gdzie się idzie teraz.
7407:  Tutaj.
7430:  Czy DLC będzie wyklucza na Patfunie?
7431:  Na pewno nie.
7435:  Ponieważ, żeby ogrywać DLC trzeba ponownie zebrać wszystkie fragmenty ostro drzewa, żeby levelować.
7440:  Ja tego nie zrobię.
7443:  Jest to nudne, nieinteresujące.
7451:  Jest to główna wada tego systemu swoją drogą.
7478:  Te błogosławieństwa zwiększają damage magiczny nieznacznie.
7495:  No i tyle w temacie Azura.
7497:  Jak możecie sugerować Azura dla tak szybkiego bossa?
7501:  To jest niemożliwe po prostu, żeby... Wiesz, cast Azura to jest ile?
7506:  15 sekund co najmniej.
7508:  Niemożliwe to jest.
7511:  Nie, nie uniknąłem Tadeuszu, tylko miałem zażyty... Co, że to miksturę, która anihiluje obrażenia?
7531:  Zamiast picia potki strzelaj Azurem jak się wznosi i wiesz co będę robił?
7535:  Mianowicie boss spadnie tutaj, a Azur będzie kastował dalej tutaj.
7539:  Tak będzie.
7543:  Więc... Więc nie.
7555:  Tak, Błyskamienna Kametaj uniki... Godlight uniki na niego i do zrobienia.
7564:  To, że wiecie, ja muszę tych uników wykonać 40 razy tyle, co osoba posługująca się jakimkolwiek innym buildem.
7571:  Znaczy ja uników tych wykonuję tyle, ile parowania w Sekiro.
7597:  Zobaczcie, co się dzieje.
7635:  Wpadłem w ścianę.
7656:  Skąd miałem wiedzieć, że on to zrobi?
7659:  Zrobi drugi raz, zrobi drugi raz.
7661:  Zrobi jeszcze trzeci raz.
7665:  Wię-więcej ataku, więcej AOE, więcej AOE, więcej AOE.
7677:  Więcej AOE, więcej AOE, więcej.
7681:  Więcej, więcej, jeszcze, jeszcze, jeszcze więcej, jeszcze, za mało.
7688:  Dawno nie było.
7703:  Spam, spam, spam AOE.
7716:  No już przerżnąłem.
7724:  Jezus, nie do wytrzymania to jest po prostu.
7744:  No nie do wytrzymania jest ta druga faza po prostu.
7755:  Przestaje on w ogóle w niej walczyć tak, jak walczy na początku, że zostawia czas na openingi, na uniknięcie, na oddech, na odtoczenie się, na wyleczenie się.
7769:  I spamuje.
7773:  Tak, w tej chwili zaspamował.
7777:  Tylko, że tam robi to cały czas.
7802:  Dzięki za oglądanie!
7842:  Zaczyna się.
7854:  Zaczyna się.
7862:  Jezus, jak mam tego uniknąć znowu, no?
7868:  Trzy razy ten sam atak wykonał.
7877:  Teraz zobaczymy ile razy wykona ten.
7916:  Ataki płomieniami leczące po ziemi, można przeskoczyć.
7919:  Tajming jest bardzo szczodry.
7920:  No, chciałbym zobaczyć Skyler.
7922:  Może mi napisz instrukcję, jak mam to zrobić?
7926:  Bo ja niestety, nie wiem, skaczę wtedy, kiedy on to robi i zniechęciłem się, ponieważ nie działało.
7939:  Jednak rol czasem w takiej sytuacji zadziała, natomiast... No niestety.
7945:  Podskok mi jeszcze ani razu nie zadziałał.
7970:  Nie do dźgnięcia po prostu, to jest masakra absolutna.
7975:  Jeżeli się pozbędę medalionu, który boostuje mi inteligencję, to będziecie mieli teraz jeszcze mniejsze obrażenia zadawane.
7982:  Przypominam, że zadaję 1000 obrażeń.
7984:  Ale dobrze, zrobimy sobie redukcję.
7987:  Nie wiem jakie to są wprawdzie obrażenia.
7989:  Czy to są obrażenia magiczne, czy to są obrażenia niefizyczne.
7993:  Może to?
7994:  Nie wiem.
8001:  Na wiadomość o przedwejściu nie ma podpowiedzi?
8002:  Nie.
8014:  Właśnie obawiam się, że to nie jest Simon Simon ogień, to są jakieś obrażenia od szaleństwa czy coś takiego.
8032:  Czyli nawet kiedy on uderza mnie mieczem, to są dalej obrażenia nie fizyczne?
8036:  Nie rozumiem.
8041:  W ogóle epickie jest to,
8046:  Mówiłem, że będziemy mogli zadawać jeszcze mniej obrażeń.
8062:  Piękne.
8065:  Najbardziej lubię, jak przylatuje moje zaklęcie obok.
8068:  Moje cenne zaklęcie, które zadaje tak niewiele obrażeń.
8076:  Myślałem, że już zrobi, ale nie.
8079:  Jeszcze nie robi frufru.
8082:  Teraz zrobi frufru.
8084:  A nie, jeszcze nie.
8085:  Teraz.
8097:  Dasz mi jedną sekundę.
8100:  Spadłeś z wielkiego meteorytu.
8112:  Mhm, w animacji tradycyjnie.
8114:  Boże, jaki to jest drewniany system walki, Jezus Maria.
8119:  Jest najlepsze, że ja tych spacji muszę wcisnąć siedem, żeby raz zadziałała.
8126:  A, oczywiście, że to nie był ten medalion.
8127:  No jasna sprawa, że to nie był ten medalion.
8134:  Stalizmany na Intech bije z 15 demedżu więcej.
8137:  No tak, ale wiesz, ale to się skaluje wszystko w sumie, no ale może racja.
8140:  To jaki znowu mam medalion założyć?
8143:  Prostokątny z kolorkami?
8146:  Może ja go nie mam w ogóle?
8150:  Nie mam żadnego prostokątnego medaliona.
8151:  To są jedyne, to są rombo idealne.
8153:  Nie mam żadnego prostokątnego medaliona.
8158:  Nie, nie, nie, nie wiem o jakim mowa.
8172:  bo one mogły być jakoś posegregowane, czy cokolwiek.
8175:  Nie.
8175:  Jezus Maria.
8181:  Się potem dziwicie, dlaczego ja nie zmieniam buildów często.
8185:  No niesamowite, dlaczego ja nie zmieniam często buildów.
8188:  Przecież to jest męka.
8193:  Przecież to jest po prostu męka.
8199:  To jest jedyny medalizman, który mam na negację obrażeń niefizycznych.
8205:  Lepiej podpić odpłonę na szaleństwo?
8206:  Nie mam.
8219:  Wyszukiwanie po nazwie itemu?
8220:  Przecież to wprowadziło Baldur's Gate 3, a to oznacza, że nie można tego zrobić, nie da się.
8227:  Bozby jest bardzo fajny, tylko że on cierpi z powodu globalnych problemów gry.
8236:  Czyli chorych timingów na ataki obszarowe.
8243:  Ja miałem nadzieję, że cała walka będzie tak wyglądała jak w pierwszej fazie, ale nie i będę znowu musiał użyć Massamona i tak to leci właśnie.
8266:  Gdyby nie było tego ataku obszarowego, to nie byłoby problemu.
8270:  Ale mam jeden atak, którego nie mogę zdodżować.
8273:  Bo tak.
8285:  Co nawiasem mówiąc, próbowałem podskoczyć.
8293:  Aż żebym chociaż mógł cokolwiek zrobić po tym jako ataku, ale nie, nie, nie, nic nie my... On od razu spamie, od razu spamie, od razu spamie.
8301:  Wylądował i od razu spamie.
8311:  Trzy role muszę zrobić, żeby tego uniknąć.
8321:  Jak chcecie, żebym tego unikał podskokiem, to ja nie mam pojęcia.
8337:  Jeden atak zadałem mu i co się stało?
8342:  A, w ten sposób mam to robić, czyli jednocześnie roll i podskok.
8350:  No oczywiście.
8351:  Spammy AOE.
8354:  Jeszcze raz?
8355:  Jeszcze... No pewnie, pewnie.
8356:  Jeszcze raz, jeszcze raz.
8357:  Jeszcze trzeci raz.
8358:  Nie, teraz inny rodzaj AOE będzie.
8361:  Teraz jeszcze inny rodzaj AOE.
8362:  Mhm.
8375:  Ale jest nieprawdopodobna absolutnie.
8385:  Ja będę wszystko wypróbował, żeby udowodnić wam, że ja nic nie mogę już więcej zrobić.
8392:  Próbuję.
8394:  Próbuję.
8395:  Cały czas próbuję.
8399:  Ale chyba widać, w której fazie ginę, nie w pierwszej.
8405:  I chyba widać, od czego.
8408:  Nie, jeżeli się trzymasz blisko bossa, to spamuje wtedy AOE ze stożka i łączy je z atakami, których musisz unikać rolami.
8422:  Widzę, że teraz mamy ten Matrix, w którym jest inne otwarcie.
8426:  Okej.
8430:  Różne rodzaje Matrixów są z RNG.
8458:  No świetnie.
8462:  Przepraszam, zrobię mu jeden roll za mało.
8465:  Zrobię mi 14 tylko.
8470:  Mogę się już wyleczyć.
8471:  Po ilu sekundach od jego ataku?
8478:  Po następnych pięciu sekundach mogłem dopiero wziąć miksturę many.
8484:  W dalszym ciągu nie mogłem ani razu w niego uderzyć niczym.
8489:  W dalszym ciągu nic nie mogę zrobić.
8491:  Czy uda mi się raz uderzyć?
8492:  Tak.
8493:  W dalszym ciągu nie ma połowy HP nawet przede mną.
8498:  I już znowu nie moja tura, nie moja tura, nie moja tura, nie moja tura, nie moja tura, nie moja tura, nie moja tura, nie moja tura, nie moja tura, nie moja tura, nie moja tura, nie moja tura, nie moja tura, nie moja tura.
8509:  Moja tura.
8510:  Nie moja tura.
8513:  No nie żartuj, moja tura.
8519:  Nie moja tura, nie moja tura, nie moja tura, nie moja tura.
8535:  Znowu nie moja tura.
8540:  Teraz też nie moja tura, bo nie mam zaklęć.
8552:  Nie moja tura.
8557:  Ooo!
8562:  Doskonale!
8566:  Gdybym nie uleczył się dwa razy, to byłby problem.
8604:  Zadaję od ognia i szaleństwa, nie sądzę, że to odporności coś pomogą.
8608:  Zauważyłem.
8613:  On używa trzy razy tego ataku w walce?
8615:  Świetnie.
8617:  Widziałem u Ciebie talizm na nasze przekastowanie, który niedawno zdobyłeś.
8620:  To jest taka niebieska dłoń.
8621:  Czy może Cię zaciekawi?
8622:  Tak, testowałem go.
8623:  Działa dokładnie tak samo jak ikona Radagona, z tą różnicą, że jest cięższy.
8627:  Ale proszę bardzo. ...
8642:  Ale mnie jego damage z miecza nie niszczy.
8645:  Mnie niszczą jego ataki obszarowe.
8667:  Miecz mi zadaje tylko pół paska życia.
8670:  Ataki obszarowe zadają mi cały pasek życia.
8690:  A jak trafiam je mieczem, to wtedy, kiedy jestem w pół castu i nie mogę cancelować animacji.
8704:  Albo w półrola.
8706:  Od jego ataku obszarowego.
8716:  Myślałem, że on... A, ściana.
8722:  No tak.
8729:  Ciekaje mnie, że ludzie nie widzą, że ja i każdy, kto gra magiem, matematycznie mniejszy okienko na atak.
8738:  Matematycznie.
8739:  To znaczy fakt, że używam dwóch butelek automatycznie sprawia, że mam mniejsze okienko na zadanie obrażeń.
8747:  Nie wiem, jak bardzo trzeba być odpornym na dowody, żeby tego nie widzieć.
8754:  Nie rozumiem tego, szczerze powiedziawszy.
8756:  Jak dla mnie, dwa jest większe od jeden.
8778:  Może zrobię tak.
8794:  O, już naprawdę spierniczaj z tym spamieniem, no!
8817:  Przeczytałem właśnie na czacie, żebym zmienił z powrotem na Radagona.
8821:  Więc zostawię.
8839:  Spróbuję Księżycem go jednak znowu atakować, bo on jakiś zwiększał coś tam, nie...
8855:  Nie znoszę tych zmiennych timingów.
8866:  Po prostu inny timing na cast taki, inny timing na to, inny timing na rol tutaj.
8871:  I jeżeli on połączy je ze sobą w takiej kolejności chaotycznej, no to jest dramat absolutny.
8877:  Co daje podwójny księżyc?
8879:  Gówno.
8880:  Otóż to daje podwójny księżyc.
8883:  Podwójny księżyc zabija cię podwójnie szybciej niż pojedynczy księżyc.
8886:  O, to daje podwójny księżyc.
8900:  Lodowy pocisk, który miałem z Messmerem, to był właśnie ten księżyc.
8907:  Piękne jest to, jak zawsze, boss jest w stanie mi przerwać zaklęcie. ...
8932:  Tak, to jest wersja po update'cie.
8933:  Przed update'em byłbym na hita za każdym razem.
8936:  Każdy jego atak byłby na hita.
8939:  Tak strasznie żałuję, że nie przeżyłem walki z Tańczącym Lwem normalnie.
8946:  Strasznie żałuję.
8965:  Jezus, nie zdenerwują mnie te zmienne.
8968:  Nieustannie zmienne są.
8977:  Jestem za blisko.
