Ordo Iamnicorum | WARHAMMER CHAOS GATE: DAEMONHUNTERS Livestream #4
🔗 https://www.youtube.com/watch?v=SAfx6T20tlU

219:  Fitam!
4464:  Tak, strefy śmierdzi są dobrym pomysłem.
4471:  Czaty pamiętają brata Jeremiarza?
4473:  Brat Jeremiarz jest nawet tutaj z nami!
4480:  A zobaczymy.
4480:  Oj, oj, oj, oj, oj, oj, oj!
4481:  Nasze!
4481:  NASZEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE
4502:  Eltarze to elfy w Gundamach, tak, tak!
4505:  Piękne.
4509:  Co to są objęcia Nugla?
4510:  Nie wiem, co to są objęcia Nugla, ale wygląda źle.
4514:  Dobrze, pójdziemy z Inkwizytorką zatem tutaj.
4518:  Czy polecam jakąś serię, w której fantasy zmierza się z klimatami Science Fiction?
4521:  Tak, Pan Lodowego Ogrodu oraz Głębie Marcina Podlewskiego, a Pan Lodowego Ogrodu oczywiście Rosława Grzędowicza.
4535:  A gdzie, gdzie aktywność wieżyczki?
4539:  Jak mam z tego strzelić?
4544:  Chcę móc z tego strzelać.
4549:  Ktoś wie na czatach, w jaki sposób się używa wieżyczek w tej grze?
4552:  Bo myślałem, że w momencie, w którym je zajmiemy, to już będzie okej, a tu się okazuje, że nie bardzo.
4563:  Wracamy teraz!
4563:  Jesteśmy Hammerami!
4564:  Jesteśmy Hammerami!
4565:  I rozmawiamy na wielkim angielskim języku!
4597:  Ustawimy strefę śmierdzi.
4600:  Nie ma problemu.
4604:  Eldarskie tytany, czyli wielkie machiny kroczące, są prawie 1 do 1 jak Eevee z Neon Genesis Evangelion, a mychy Tau to takie klasyczne japońskie meleka.
4611:  O, proszę!
4613:  Tego nie wiedziałem.
4616:  Czy jak tutaj pójdziemy, to będziemy go mogli wypalić?
4619:  To są takie dylematy, które ja czasem mam.
4623:  Wejdźcie na pozycję!
4623:  Aegis nas strzeli!
4624:  Jesteśmy na południu!
4626:  Poczekaj, mogę to poczuć!
4627:  Przejdźmy!
4654:  niesprawiedliwe.
4668:  Czy książka Campbella i jego Monomite to dobra podstawa do budowania fabuły, czy są jakieś lepsze materiały?
4673:  O Jezus, jest lepsza książka do scenariuszy, na pewno nowsza, ale w tym momencie nie jestem w stanie sobie przypomnieć tytułu.
4682:  Ale na pewno, na pewno... Na pewno są bardziej przejrzyste.
4688:  Celowałbym w podręczniki dla scenariopisarzy po prostu.
4691:  NurgleMarine, witamy w gronie trybutariuszy lorowo-zgodnego czatownika!
4697:  Dobry zwyczaj, zajamniczaj, powitajmy!
4700:  NurgleMarine w naszym gronie, kochani trybutariusze.
4704:  Czy słyszałem o śmierci mojej Lidii Kossakowskiej?
4706:  Tak, tak, bardzo mnie to sieknęło.
4707:  To już jest któraś śmierć w fandomie.
4710:  Po Mirku Gomuńskim, która mnie sieknęła bardzo.
4715:  Swoldarze, a gdzie będą nekronie?
4716:  Właśnie może będą w tej grze, kto wie, kto wie.
4724:  Aaa, działa!
4727:  Czyli trzeba być przy wieżyczce.
4729:  To jest super.
4732:  Wieżyczki działają, mam mojego ukochanego Tower Defense'a jeszcze do tego wszystkiego.
4737:  Dlaczego on się... On mutuje.
4740:  On mutuje.
4741:  Ho!
4742:  Ciach!
4743:  Ciach!
4747:  Działające działo!
4749:  Działo działa!
4752:  No, Evangelis też zmarł.
4754:  To jest tragedia absolutna, to, co się dzieje.
4762:  Niektórzy wrogowie zyskują mutacje, more like wszyscy wrogowie zyskują mutacje, a my mamy znowu przerąbane.
4770:  No dobrze, moi drodzy.
4771:  Brat Shitstorm ma 5 na 7 siły woli, więc sprawa jest prosta.
4779:  Brat Zajebus robi to, co umie najlepiej.
4782:  Another foul seed claimed.
4788:  Firing now!
4801:  I teraz tak.
4802:  To, co możemy zrobić teraz... To strielać.
4819:  Ale nie za... Dobrze, dobrze, dobrze, dobrze, ale nie do końca.
4823:  Tak jest!
4825:  Brata Papiusz!
4825:  Brata Papiusz ma zyskać!
4827:  O, jak spadł do leja!
4828:  Haha!
4830:  Teraz Disney może zrobić na jego temat film, w którym pokaże, że tak naprawdę on żyje.
4837:  A fani jeszcze będą za to dziękować.
4847:  Ok.
4847:  All right, brothers!
4855:  Dobra, czyli tak, trzeba nadwerężyć troszeczkę, żyć komu.
4859:  Co w tym miejscu znaczy bardzo trzeba nadwerężyć.
4863:  Warhammer 3 wieżyczki, Warhammer Chaos Gate wieżyczki, HMM.
4866:  Nie wiem czym jest HMM.
4870:  Czy to jest heavy machine gun?
4875:  No już się bałem, że zginął.
4877:  A to brat Jeremiasz ma...
4879:  To brat Jeremiasz ma oczyścić.
4882:  Oczyść braci.
4887:  Ile remake'ów można zrobić od Disney & Villains, którzy spadli w okładę, prawda?
4890:  Ale to jest zabawne.
4897:  Ekstremalny poziom trudności, a tymczasem jest o wiele łatwiej niż zwykle.
4902:  Dobra, żebym nie powiedział tego w złą chwilę.
4907:  Ja zwykle mówię rzeczy w złą chwilę.
4912:  Oczyśćmy bitwy kwitu.
4919:  Dobrze.
4920:  Głupia inkwizytorka.
4922:  Głupia inkwizytorka niech idzie na szpicę.
4928:  Zapis gry?
4929:  Mądra uwaga.
4940:  Dobrze.
4945:  I teraz tak.
4948:  Jeszcze mamy brata Shitstorma, który musi przejść.
4954:  Tu.
4955:  Jaki brat Shitstorm skoczny, który pomyślał.
4958:  I teraz tak.
4959:  To, co możemy zrobić, to teraz pójść na szpicę i zobaczyć, czy tutaj jesteśmy wrogowie.
4964:  Tak.
4964:  Wtedy zyskamy jeszcze więcej punktów ruchu.
4968:  A może nie.
4970:  A może tak?
4976:  Jaka zaraza, jaka zaraza!
4983:  Dobra, to teraz tak.
4985:  Niech wszyscy podejdą tutaj.
4987:  Ostatni patch poprawił balans rozgrywki.
4989:  Był tutaj patch?
4989:  Ja nie wiem czy ściągałem.
4991:  Mógł Steam ściągnąć w tle.
4994:  Tego nie sprawdziłem.
4999:  Natalia R. ubolewa, że kiełki się zrobiły miękkie i żółtawe.
5002:  Czy się nadało, żeby rzucić je na patelnię do Chińszczyzny?
5005:  Trzeba to pytanie zadać komuś, kto na przykład umie nie przypalić popcornu tak jak ja w mikrofali.
5012:  Stwierdzam, że skoro nie radzę sobie z takimi rzeczami kulinarnymi, nie powinienem być autorytetem w jakiejkolwiek innej.
5023:  Steam zawsze to robi zanim odpali grę?
5025:  Okej, no to w takim razie nie powinno być problemu.
5051:  Czy ja usłyszałem from that door?
5054:  Okej, jest dużo wieżyczek, wszystkie musimy mieć.
5057:  Więc tak, po kolei.
5069:  Dobrze, ta wieżyczka jest nasza.
5070:  Świetnie.
5073:  Dygresywny Wilk prosi o jamniki, bo są urodziny.
5075:  Absolutnie dygresywny Wilku.
5077:  Dobry zwyczaj za jamnicze.
5078:  Mamy już specjalne jamniki urodzinowe na tę okazję.
5080:  Od Dominika Jamniko, twórczyni Klimczak.
5087:  Dobrze.
5090:  Niedobre jest to, że nie mamy tutaj zasięgu za bardzo.
5093:  Dobre jest to, że... No.
5099:  Zobaczymy.
5101:  Jak się zajamniczyło pięknie.
5107:  Nie.
5111:  Odpalamy tarczę.
5114:  Dla wszystkich Marines.
5119:  Okej.
5119:  Obrona.
5127:  W porządku.
5127:  Co masz na myśli?
5158:  Oszmar!
5161:  Won mi z tym.
5162:  Co w ogóle?
5163:  Inwizytorka?
5163:  Aha.
5174:  Nieee.
5178:  Nieee.
5182:  Nie, nie mamy w ogóle zasięgu nigdzie.
5184:  Odpalamy zatem obronę.
5192:  Zostaw!
5241:  Przyjmę proszę o niekomentowanie sytuacji zwierzytelnej.
5256:  To, to, dobrze, dobrze, nie ma problemu.
5258:  Nie ma problemu!
5260:  Nie ma problemu!
5268:  Potrzebujemy jakiegoś granata.
5269:  Widzicie, po to nam był granat potrzebny.
5270:  Ajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajaj
5296:  Dla Imperatora!
5328:  Ja to już planowałam.
5333:  Dobrze powiedziane.
5347:  Czyli jeżeli tutaj strzelimy, to coś to da.
5350:  Może... O!
5351:  O!
5356:  Czyli inkwizytorka jest dobra do kruszenia pancerza, widzę.
5361:  To dobrze.
5370:  Dobrze, a Papiusz będzie teraz wykańczał.
5373:  Maczeta zapija, a Papiusz wykańcza.
5376:  Tylko niestety, brat, a Papiusz nie ma nigdzie zasięgu.
5380:  Witamy Michała Kubika na czatach.
5382:  Witamy, witamy.
5384:  A może zrobimy złośliwiej?
5404:  Płoniemy.
5417:  Dobrze, dobrze, dobrze.
5420:  Brad Sheetstorm ma jedno zadanie.
5428:  Tak pieprznąć, żeby wszyscy zginęli.
5439:  Jakie pięknie rozczłonkowane!
5444:  Ślicznie!
5445:  Słońce, możliwość, radość.
5447:  Czy jeżeli tutaj... Tak.
5451:  Wieżyczki w grach, absolutnie.
5462:  Przypadłość otwarta.
5489:  Czy widziałem trailer sequela do Jedi Fallen Order?
5492:  Nie, nie, nie widziałem.
5498:  Czyżby Inkwizytorka miała okazję raz w życiu się wykazać?
5510:  Nie.
5514:  A, tak!
5516:  Nie!
5519:  Tak!
5521:  Niezdecydowany, Krzysztof.
5522:  Ja też chcę taką wieżyczkę, jest wspaniała.
5526:  Moi drodzy!
5527:  Oni wszyscy giną!
5530:  Wszyscy!
5531:  Wszyscy giną!
5536:  Kogo jeszcze?
5537:  Kogo jeszcze zginiemy? !
5541:  To ja, moi bracia!
5541:  Mój przewodniczący!
5542:  Na razie!
5542:  Tak, komendantze.
5543:  Ignatius...
5572:  Tak, tak.
5572:  Co to jest?
5573:  Tak.
5599:  Zabrany wyjeżdża czołg Predator.
5600:  Nawet mi nie mów, Bartku, nawet mi nie mów.
5604:  Witamy Fomkę na czatach.
5613:  Dobrze.
5616:  Brad Sheetstorm.
5620:  Jeszcze nie.
5621:  Na razie.
5622:  Leczonko.
5626:  Zapis stanowczo.
5631:  Dzięki za przypomnienie Julio.
5656:  Co się stało?
5665:  Dobrze.
5667:  I teraz lecimy z Inkwizytorką w to miejsce, tak?
5671:  Chyba.
5672:  Chyba, że trzeba ją przemieścić dokładnie na środek tego przeklętego krzyżyka.
5677:  Trzeba ją przemieścić na środek tego przeklętego krzyżyka.
5680:  Tak.
5681:  I to konkretnie ją.
5686:  Uwielbiam to, jak brat Jeremiasz mówi podwyższonym głosem.
5690:  Wspaniałe.
5695:  Ładna pani poszła po schodach.
5696:  Nie ma to jak narracja pozakadrowa, prawda?
5701:  Czy leczone są rany piłą?
5702:  Nie, to było wtedy, kiedy brat Jeremiasz prawie zginął.
5705:  Znaczy, on zginął naprawdę.
5715:  Ludzie Gond... Jesteście strażą Gondoru i Minas Tirith!
5720:  Cokolwiek wyjdzie z tych drzwi!
5722:  Nie cofniecie się!
5724:  Cokolwiek wyjdzie z tych drzwi!
5731:  Tak będzie.
5733:  Będziemy z odwagą strzelać w cokolwiek, co stamtąd przyjdzie.
5746:  To będzie piękne i wspaniałe.
5754:  Co?
5754:  W porządku.
5755:  Shiva!
5755:  Shiva!
5755:  Tanuri Shiva!
5770:  Inquisitor, szybko!
5771:  Eee...
5798:  Heh?
5800:  Znowu minus jeden do maksymalnych punktów życia!
5802:  Skandal!
5803:  Już?
5804:  Co?
5804:  Poziom trudności ekstremalny!
5805:  Uuuu!
5806:  Uuuu!
5806:  Okej.
5842:  Czoło świata krawędzi.
5860:  Świat księgi Avatara zniszczył się, ale pozostał bezsłuchany kontagionowi.
5866:  Inquisitorze, nie pozwólcie, żeby wasza fascynacja zabijała was od obiektu.
5873:  Bądźcie ostrożni.
5874:  Słoneczko Avatara Eldar może jeszcze nie przetrwało.
5877:  To są tylko ekwizyty swojego kiedykolwiek wielkiego duchu.
5880:  Ta rzecz nie przyspieszyła się na milenium.
5895:  Inkwizytorka Vakir, raz jeszcze, nieprawdopodobnie przydatna.
5899:  To jest to.
5901:  Ciepło Nexusu.
5903:  Cierpienie El Darii.
5904:  Gdzie żyją dusze ich śmierci.
5906:  Mogę zauważyć inne kwiaty, ale one czują się... inaczej, w jakiś sposób.
5913:  Szykają się na pozostałych siłach świata krawczystego, germynujących tutaj, w wielkich, demonicznych łóżkach.
5925:  Ślubowy świat krawędzi, używany jako szmaragd demonów.
5929:  Ta błędność powinna być zniszczona na razie!
5933:  Nie!
5933:  Nie wiemy nic o pochodzeniu Plague'a!
5935:  To może być nasza jedyna szansa poznać jego tajemniki, zanim się rozwija w coś o wiele gorszym!
5942:  Uwaga!
5943:  Korrupted Xeno Archeotech jest bardzo nieprawdopodobny!
5947:  Przed nami jest płyn, Inquisitorze.
5950:  Bracia, gotujcie się do działania!
5954:  Jesteś tutaj na mojej prawnej nocy!
5957:  Ustań!
5957:  Muszę najpierw zbudować się z tym Nexusem.
5962:  Widzę to teraz.
5972:  Każde demoniczne wiosło powstaje z wielkim rzuceniem.
5978:  Współpracującym potencjałem?
5981:  Inquisitor!
5984:  Wcześniej było pięć, ale jeden już się rozprzestrzał.
5988:  Kierującym płagiem wciąż są cztery.
5990:  A reszta... czekają.
5991:  Czujesz to?
5992:  Współpracę... z wielkim Korruptorem.
6006:  Ta entytia wciąż żyje!
6019:  Inquisitor, czuję mocną koncentrację energii Warp.
6047:  Szmaragdy demoniczne odpowiadają na naszą obecność.
6054:  Czy one w jakiś sposób się rozwijały?
6056:  Maszynowe dźwięki się odpoczywają.
6057:  Nasze czytelniki ospektywne są zniszczone.
6058:  Inquisitorze, to jest szaleństwo!
6059:  Musisz się teraz odwrócić!
6060:  Nie!
6060:  Nie!
6060:  Potrzebuję sampli!
6060:  Tylko sampli!
6061:  Nie!
6061:  Nie!
6061:  Potrzebuję sampli!
6061:  Tylko sampli!
6062:  Nie!
6062:  Potrzebuję sampli!
6063:  Tylko sampli!
6064:  Nie!
6064:  Potrzebuję sampli!
6065:  Tylko sampli!
6066:  Nie!
6066:  Potrzebuję sampli!
6068:  Tylko sampli!
6068:  Nie!
6069:  Potrzebuję sampli!
6069:  Tylko sampli!
6070:  Nie!
6070:  Potrzebuję sampli!
6070:  Tylko sampli!
6071:  Nie!
6071:  Potrzebuję sampli!
6071:  Tylko sampli!
6072:  Nie!
6072:  Potrzebuję sampli!
6072:  Tyl
6080:  Witamy Meko Czarę, witamy Palitkę, wszystkich przybyłych nowo i witamy Patrycję Dąbrowską.
6086:  W jakim podniosłym momencie przybywacie na czaty?
6090:  W takim oto podniosłym momencie, że Inkwizytorka Wakir jest kretynką w dalszym ciągu i nie jesteśmy w stanie tego powstrzymać.
6097:  Chyba, że użykujemy unikatowych umiejętności brata Shitstorma.
6105:  Witamy Wadjegę!
6107:  Gdyby magia istniała i uczyłbym się nią władać, pyta Rick Chunchez.
6111:  Dowolne jej wydanie.
6112:  Do czego bym właściwie ją wykorzystywał?
6116:  Czy ja się zaśmiałem zbyt szczerze?
6125:  Ej, czemu nie działa granata?
6128:  Dobra, brat Harad.
6136:  To może zrobić Brad Harad w sumie.
6138:  Wiem, co może zrobić Brad Harad.
6139:  Brad Harad może zrobić coś niewypowiedzianie złośliwego.
6149:  Mianowicie... Brad Harad pieprznie tutaj granatem.
6163:  To nie było zaplanowane, ale jest ciekawe.
6169:  Ale jest bardzo ciekawe to, co się stało.
6172:  Kompletnie tego nie planowałem.
6177:  Ale to oznacza, że możemy zrobić małe wypalanie.
6180:  Wiecie, co jest lepsze od małego wypalania?
6185:  Duże wypalanie.
6187:  Witamy Urszulę na czatach.
6189:  I Klaudię.
6189:  Kończy się maj niestety jeden tak.
6194:  Ubolewam nad tym.
6201:  Jak powiedziałbym, to czołg wykorzystywany przez siły frakcji Kane'a.
6207:  Men and conquer.
6208:  Błyskawiczna amunicja zniszczona.
6212:  Przechodzimy!
6215:  Harad!
6215:  Zastanawialiście się, dlaczego brat Harad tak się nazywa?
6217:  To właśnie dlatego.
6221:  Przywieźliśmy
6232:  Wstrętne schody!
6241:  Fuck!
6242:  Wstrętne schody.
6248:  A papież za to może przedostać się tutaj i tam tego wykończyć.
6254:  I to jest piękne.
6271:  O, strefa ostrzału.
6273:  O, drżę ze strachu.
6276:  Mówiąc o Flametank, mam nadzieję na Command & Conquer.
6278:  Peace through power!
6282:  Szanuję za zacytowanie proroka Kane'a.
6284:  Cytowanie proroka Kane'a nie jest herezją, nawet w świetle prawa imperatora.
6289:  Sądzę, że przeciwnik się zmienił.
6291:  Przejdźcie do nich!
6291:  Musisz odwrócić się od razu, Inquisitorze.
6295:  Czy jest to krótka krzywda, która załatwia dla najelityczniejszego Imperatora?
6317:  Ty teraz nas mokrasz, ale zrozum to.
6320:  Jeśli ktoś z moich braci będzie musiał cierpieć za twoje przeszkody, to odpowiesz na mnie za to.
6325:  Tęsknięcie!
6339:  Tęsknięcie!
6341:  Tęsknięcie!
6343:  Tęsknięcie!
6343:  Tęsknięcie!
6352:  Muszę się wyrzucić!
6353:  Wyrzuć!
6354:  Wyrzuć!
6354:  Na moją drogę!
6368:  Dobrze... Moja kawałek jest twoim.
6390:  Dwa razy!
6410:  Czyżby to było automatyczny reload?
6413:  Nie wierzę.
6415:  Wierzę w zwierzę.
6417:  Brad Apapiusz.
6418:  Co może zrobić Brad Apapiusz?
6420:  Brad Apapiusz nadaje się do tego, żeby kogoś ciachnąć od tylca.
6425:  Wspaniała liczba autoportretowych jamniczych emoji.
6429:  Dobrze.
6431:  What is your will?
6436:  Brother Shitstorm!
6440:  Niech to szlag.
6441:  No to pozostaję na moim imieniu.
6449:  Tepnąć się radośnie.
6471:  w to miejsce.
6473:  Pam.
6476:  Mówicie, że można byłoby obniżać morale wroga poprzez czytanie im książek Olgi D***czuk?
6481:  To rozwiązanie ma jedną wadę, musiałbym je czytać wtedy.
6488:  Co możemy uczynić?
6489:  O, wiem, co zrobimy.
6490:  Wypalanko.
6492:  I potem brat Apapiusz dopije.
6497:  No ale teraz wreszcie mam wrażenie, że gram żołnierzami elitarnej kohorty, a stawkę zda.
6506:  No bo wcześniej miałem wrażenie, że gram... No nie wiem, kimś na kształt... Kolonii mrówek, tak?
6522:  Do czego on znowu rzyga?
6529:  Wygląda na to, że wszyscy przychodzą do świątyni Twojej oczekiwania.
6540:  Błagany jesteś za to, aby zobaczyć ten historyczny moment.
6550:  Bądźcie ostrożni, bracia.
6552:  To jest demon księdza Nurgla.
6557:  Co to jest?
6558:  Co?
6558:  Co?
6559:  Aaa!
6564:  O nie!
6566:  What is happening?
6568:  You can't speak!
6578:  Eee?
6581:  Dlaczego brat Jeremiasz... Jestem pewien, że brata Jeremiasza tutaj nie było.
6596:  Biedny brat Jeremiasz.
6600:  To przecież jakaś katastrofa i tragedia.
6612:  Myślę, że to jest moment brata Shitstorma.
6620:  Tworzy odbicia po otrzymaniu trafienia?
6623:  Co to znaczy, tworzy odbicia po otrzymaniu trafienia?
6635:  Oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj oj
6681:  No dobrze.
6684:  Musimy mieć cel.
6691:  Zobaczycie teraz, co robi brat Harath za Jebus i dlaczego nazywa się bratem Harathem za Jebusem.
6710:  Brat Jeremiasz jest uniwersalnie zniszczony, więc przeniesie się tutaj.
6721:  Kto jeszcze ma?
6723:  Tylko brat Apapiusz może jeszcze strzelać.
6725:  Brat Apapiusz nie ma tutaj cela.
6727:  Ja się pytam, co to się dzieje i dlaczego.
6741:  Krwawienie!
6746:  Ktoś krwawi!
6747:  Dobrze, dobrze.
6752:  Jak się okazuje, to nie działa, moi drodzy.
6760:  Zaraz zostaniecie wypaleni.
6764:  Wszyscy zostaną wypaleni.
6766:  Wyczyścimy te plugastwa z powierzchni materium.
6770:  Tak się to skończy.
6775:  W Leśnym Włóczykiju najlepiej się skontaktować wtedy z specjalistą, terapeutą albo zadzwonić na infolinię z bizansu.
6787:  Mamy swoją drogą poradę wpisaną dotyczącą tego na naszym Discordzie w zakładce ogłoszenia.
6797:  Ale Franklin pisze, że jego uczelnia mają świetny pomysł do zrobienia egzaminu zdraktycznego przez na przykład metodyki w ten sam dzień, ale Joe Convent nie wie, że to jest ten sam przedmiot.
6814:  O proszę, przedstawił nam się demon.
6816:  Ej, ale teraz, jeżeli znamy już jego imię, to możemy go kontrolować.
6821:  O, jak świetnie.
6836:  Co to jest za efekt, który ma na sobie?
6840:  Tak, komendant.
6841:  Obroniony i gotowy.
6869:  Przestań!
6872:  Powiem tak, chyba najbardziej logiczne będzie, gdy on sam go pokona.
6879:  To jest zadanie dla brata Harata.
6882:  W jednym instancie!
6883:  Muszę się zafokować, komendantze.
6884:  W dół!
6928:  Moja broń jest zawsze gotowa.
6929:  Tylko ja, Tęczny, mogę żyć na zawsze.
6940:  Muszę zaskoczyć moje ramy.
6942:  Wyłóż mnie.
6968:  W porządku, panie.
6971:  W porządku, panie.
6996:  Są bardzo głośne efekty dźwiękowe.
7002:  Co więcej, nie pomogło zwiększenie głośności muzyki i wyciszenie samej gry, co mnie bardzo zasmuca.
7010:  Ojej, brat Shitstorm nie ma przeładowanej broni.
7015:  To fatalnie.
7016:  Co może zrobić brat Shitstorm?
7019:  O tak, to jest cel życia brata Shitstorma, szturm psjoniczny.
7036:  To lubię.
7041:  Nope.
7044:  Dobrze, z tego napieprzamy dalej.
7048:  Nie ma tu osobnego suwaka dźwięku na efekty?
7051:  Jest.
7053:  I zrobiliśmy bardzo, bardzo dawno temu.
7060:  To właśnie.
7062:  Ogólna głośność efektów dźwiękowych jest na poziomie 30, ale niestety głośność dialogów jest wyższa, albowiem wtedy wszystkie przerywniki filmowe byłyby za cicho, więc kiepsko jest to zoptymalizowane.
7074:  Zwykle jest tak, że odzywki żołnierzy powinno się podpinać pod głośność efektów, a nie pod głośność dialogów.
7082:  Nigdzie bądź, Gaiman, a co sądzę?
7083:  Kocham Arturitum.
7084:  Ja odczytałem wszystko Nila Gaimana.
7085:  Zawsze wam polecam swoją drogą.
7087:  Nigdzie bądź jest też dobre, bo reprezentuje coraz bardziej popularny nurt tak zwanej fantastyki miejskiej, czyli urban fantasy.
7098:  I to tak dosłownie, ponieważ całość dzieje się w mieście, konkretnie w Londynie.
7103:  Mam bardzo złe przeczucie względem tego, co się będzie działo z biednym bratem Jeremiaszem.
7111:  Jeszcze reprezentuję drugi gatunek, tak zwany Portal Quest Fantasy, którą fani lepiej znają jako Isekai, bo została spopularyzowana przez animki.
7123:  Ten uczucz, kiedy zaczynasz grać w Mechanicusa, ale zaskakuje cię sesja.
7126:  O nie, najgorzej.
7129:  Dyrekcja Instytutu, pisze Adam Dudzik, zarządzania Komunikacji Społecznej UJ.
7133:  A!
7133:  Stwierdziła, że w związku z powrotem zainstalowanych dokumentów związanych z obronami trzeba złożyć tradycyjnie w wersji papierowej.
7138:  Nie no, oczywiście, no wiadomo, no oczywiście, że skończyło się wszystko, więc...
7143:  Nie wyciągamy żadnych wniosków.
7146:  Nic nie robimy absolutnie w życiu.
7149:  Jedyne, co trzeba zrobić, no to wrócić do normalności.
7151:  No przecież naturalnie, że tak.
7154:  To mnie to kompletnie nie dziwi.
7155:  Co się dzieje z bratem Jeremiaszem?
7161:  Brat Jeremiasz nie żyje?
7163:  Nie.
7164:  Dlaczego go nie mogę uzdrowić?
7166:  Co się dzieje?
7169:  Uwolnij uwięzionego rycerza.
7172:  Okej, to jest bardzo dziwne.
7175:  Zrobię to po swojemu.
7181:  Pisze Urszula.
7182:  Dzięki przy okazji za wsparcie.
7184:  Dziewięć miesięcy już.
7185:  I Urszuli dziękuję za wsparcie podwójne, bo Urszula jeszcze moderuje u nas.
7189:  I to nie na Discordzie, i tutaj na czapach.
7195:  Widzieliście ich uciec, bracie!
7196:  Widzieliście ich uciec, bracie!
7219:  Gliding through the warm.
7221:  I must meditate.
7250:  Uwolnijmy uwięzionego rycerza.
7253:  Jak zrobimy to od tej strony, to czy to się da?
7257:  Tak.
7260:  Spinoki był pierwszym androidem.
7262:  Na pewno był pierwszym, jednym z pierwszych konstruktów?
7266:  No i co?
7267:  No czemu, czemu on nie... Dziwne rzeczy tu się dzieją.
7274:  Naprawdę tu się dzieją dziwne rzeczy.
7277:  Okej, czyli dopiero teraz możemy go uzdrowić.
7280:  Jeszcze z ładunkiem osnowy trzeba.
7284:  Cały tydzień przeczekałem, pisze Tom Jur.
7286:  Nagrodę otrzymałem.
7289:  Wreszcie przybył w swej osobie.
7291:  Krzysztof, to o mnie.
7292:  W obu rękach, dzierżąc bronię.
7294:  W lewej młot bojowy, broń straszliwa, przeogromna jego siła.
7296:  To nie ja, mój drogi.
7298:  To nasi dzielni Astardes, między innymi brat Jeremiasz.
7302:  Ja jestem tylko... a humble servant.
7311:  Dobrze, eee... teraz tak.
7320:  To nie jest zbyt ryzykowne.
7325:  Zobaczmy.
7330:  Aaa, nie mamy już w ogóle... uuu, nie mamy punktów akcji.
7341:  Przepiękne absolutnie, ale nie możemy się już ruszyć z żadną z naszych postaci, to mnie martwi.
7355:  Na wszelki wypadek.
7357:  Na wszelki wypadek.
7359:  A co tu się dzieje?
7361:  Ojej, ja nie zauważyłem tamtego wroga w ogóle.
7366:  Julia pisze, że Pinokio to była jedyna lektura, co do której miała pełne przyzwolenie na nieprzeczytanie jej od rodziców, to też jej nie lubili.
7372:  Ja Pinokio znam tylko w postaci animacji i nie przeszkadza mi to kompletnie.
7382:  Eww.
7382:  Eww.
7391:  Ufff... Ufff... Ufff... Ufff... Ufff... Ufff... Ufff... Ufff... Ufff... Ufff...
7422:  Naprawdę jest sporo tutaj tych wrogów.
7431:  A niech to diabli.
7434:  Nie mamy... A może mamy?
7440:  Dobra, Brad Sheetstorm, co może zrobić?
7443:  To tutaj pieprznąć.
7445:  Brad Sheetstorm to uczyni.
7471:  Dobra.
7476:  Ciekawi mnie jedno, czy jeżeli teraz strzelimy... Zróbmy to dla pewności.
7484:  To czy też będzie asysta?
7491:  Tak!
7493:  Co się stało się?
7497:  O nie, niedobrze.
7501:  Dobrze, musimy haratnąć w sposób tradycyjny.
7506:  Nie możemy haratnąć w sposób tradycyjny.
7508:  Skomplikowane decyzje do podejmowania!
7511:  Nie nadaje się do skomplikowanych decyzji!
7519:  Uważam, że te płomienie powinny być zdecydowanie silniejsze.
7525:  No to nie było save'ów.
