🔴 WIEDŹMIN (SEZON 3) — odcinek 3-5 | Recenzja ze spojlerami #2
🔗 https://www.youtube.com/watch?v=Wiw-Gb3mWek

196:  Wiecie co, w sumie odcinek trzeci nie jest taki zły.
3001:  No straszne, tak, i potem oczywiście Dijkstra mówi, że ohoho, tak naprawdę to ja, tak naprawdę to ja i Filipa i biedny Radowid jest zdumiony i zdruzgotany, jak to jest, że papcio Dijkstra sobie tak tutaj siedzi radośnie i nic, i nawet nie ma wyrzutów sumienia, przecież to w ogóle skandal absolutny, dlaczego kudłaty ze Skubidu został królem?
3022:  Królestwa Redanii.
3023:  Mam nadzieję, że w tym uniwersum nie zostanie nigdy.
3026:  Węgorzewa faktycznie istnieje w warmińsku mazurskim.
3028:  Wiedziałem, że skąd znam tę nazwę.
3030:  No to tak, że mają tam Muzeum Kultury Lodowej, wszystko się zgadza.
3033:  Just Whiteley, absolutnie się wszystko zgadza.
3035:  Zapomniałem, że tu jest muzyka.
3036:  Mój mózg w ogóle jej nie zauważył.
3038:  A tak, tak, mamy cały czas muzykę, która sobie tam plumka w tle.
3041:  Jeżeli jest za głośno, to na mnie krzyczcie.
3043:  Mówicie, że trup jest lepiej umalowany...
3045:  czarodziejki.
3046:  Fakt faktem, że czarodziejki nie mają żadnej charakteryzacji i przypominam, nie mają też instagramowych filtrów, które akurat powinny mieć.
3051:  Ale te wnętrza są absolutnie katastrofalne.
3054:  To powinien być Arras, ładny.
3056:  A to wygląda mniej więcej tak jak Monteriggioni malowane z pamięci albo San Gimignano malowane z pamięci.
3062:  Nie wygląda to, krótko mówiąc, dobrze.
3063:  O!
3064:  Moja ulubiona scena, która nic nie daje absolutnie.
3066:  To znaczy, to jest postać wprowadzona tylko po to, żeby była z nią upojna scena i rzeczona upojna scena jest absolutnie niepotrzebna, z tego względu, że jedyne, po co została ona wprowadzona tutaj, to to, że o, to jest skrytobójczynik, który odpowiada za śmierć Hedwigi Redańskiej.
3081:  I tyle, nie?
3081:  Nic więcej praktycznie.
3083:  No i oczywiście musimy pamiętać, że Filipa lubi się gzić w pościeli.
3087:  I to jest jedyna w zasadzie jej cecha charakterologiczna, jaką mamy, a przepraszam, serial jeszcze wiele razy nam przypomina, że może się zmienić w sowę.
3094:  Totalny przypadek.
3095:  I w związku z powyższym zawsze ma gdzieś tam jakieś piórko, tutaj jest tam fruwa albo coś, proszę bardzo.
3100:  Więc to jest to, w jaki sposób Netflix pochodzi do scen seksu.
3103:  I nawiasem mówiąc, złośliwie się mówi, it's not television, it's boobs and HBO, a tak naprawdę powinno się mówić w tym momencie, że it's boobs and Netflix.
3113:  Bo to Netflix w tym momencie celuje w taką instrumentalizację scen seksu, które absolutnie niczemu nie służą, a przypominam, że gra o Tron naprawdę robiła to dobrze i to było potrzebne czemuś.
3123:  Straszne absolutnie.
3126:  Nie są to ładne sceny, oszczędzę wam ich, nic się tutaj ważnego nie pojawia praktycznie.
3132:  pomijając może to, że w którymś momencie jest wymiana zdań między obydwiema kobietami i dowiadujemy się, że ten portal też był taki spaczony, tak jak Jennifer mówiła.
3142:  Nie wiem, o co będzie chodziło z tymi spaczonymi portalami, w każdym razie ja wiem o jednym spaczonym portalu, który jest w...
3148:  wieży mewy.
3150:  Natomiast jeżeli chodzi o pospaczone portale otwierane przez czarodziejów, tego nie pamiętam z sagi, najwyżej możecie mnie poprawić.
3156:  Michał Z., dziękuję za wsparcie od 6 miesięcy.
3157:  Czemu Dijkstra wygląda jak cebulowy rycerz z gry o tron?
3160:  Myślałem, że mówisz o rycerzu cebuli z Dark Souls.
3163:  O, a tu jest scena z czarodziejku, która się okaże później bardzo ważna.
3166:  To znaczy, jest to czarodziejka, która prawdopodobnie jest łączniczką między Magusem, a tymi nieszczęsnymi elfkami, półelfkami, które są porywane dla celów niecnych eksperymentów.
3176:  Pojawia się to na mr...
3177:  Prince, czyli moi drodzy, ten wspaniały rycerz, to nie jest rycerz błędny, ponieważ ten rycerz został opisany przez Loren Histrich, który będziemy wiekuiście nazywać Fistech, to jest rycerz bezbłędny, tak jak to scenariopisarstwo i bezbłędny.
3192:  Błędny, bezbłędny oto nasz rycerz Rins indaguje bardzo intensywnie naszą wspaniałą czarodziejkę i po co jest ta scena?
3200:  Jak zwykle nie wiem.
3202:  Oczywiście po to, żeby uzasadnić naturalnie te paralele, które będą z Nilfgaardem, infiltracje Królestwa Północy przez Nilfgaard, nudy i jasne rzeczy.
3211:  O, o, i pojawia się tutaj zupełnie z niewiadomego względu, bam, cięcie na Franceskę Findabir, to ona.
3217:  I tu jest właśnie ta kłótnia między Franceską Findabir a elfem, którego nigdy nie rozpoznałem, który był późniejszym królem Dol Blathana.
3225:  Rin zwań również Riensem.
3229:  Tutaj wystrój całkiem spoko, ale szkoda, że taki czarno-biały.
3232:  Tak, generalnie, generalnie, jak mówiłem, trzeci odcinek jest pod tym względem kinematograficznym absolutnie najlepszy.
3238:  Filavandrel, nigdy nie jestem w stanie nazwać... Jeżeli ktoś mówi, że w Silmarillionie są trudne, elifickie imiona na F, to bardzo zapraszam do zapamiętania Filavandrel...
3248:  Filavandrela.
3249:  Nie da się tego zapamiętać w żaden sposób, jest to absolutnie przerażające.
3253:  Ten elf wygląda jak bieda demon z Targaryen.
3255:  Trochę tak.
3256:  No i później pamiętacie tego elfa, który był tak naprawdę człowiekiem z dolepionymi uszami, mianowicie on zostanie zaasasynowany.
3265:  Bardzo trudny czasownik sobie wymyśliłem przez naszego Cahira.
3268:  Dlaczego?
3270:  po to, żeby cesarz Emry van Emreis, biały płomień tańczący na kurhanach scenarzystów Netflixa, mógł lepiej wpływać na Scoia'tael i wykorzystać ich do własnych niecnych celów, moi drodzy.
3281:  Lepszą nazwę ma Borch.
3283:  Pełna nazwa to zawsze sobie łamie język, pisze Froggatt.
3285:  O tak, ja nie jestem w stanie tego absolutnie przywołać.
3287:  No i biedny jest Cahir, moi drodzy.
3289:  I teraz najważniejszy.
3292:  Ja absolutnie w tym momencie nie żartuję.
3296:  Mamy do czynienia ze sceną tak dobrą,
3300:  że włączę dźwięk na moment, żebyście zobaczyli, jak ten serial mógłby wyglądać, gdyby był zrobiony dobrze.
3307:  To był pierwszy i jedyny moment w całym odcinku, ba, w całym serialu, w którym miałem ciary.
3314:  I to było dlatego, że Ciri zaczyna być ścigana przez Dziki Gon.
3316:  Wprawdzie na razie wygląda to bardzo źle, to znaczy wygląda to znowu jak Akademia Pana Kleksa, ale w momencie, w którym Dziki Gon już ma, już ma Cirille złapać, to dzieją się tak piękne rzeczy, że ja w tym momencie zapauzuję muzykę, włączę dźwięk i będziemy się tym napawać, co zrobi Gerard, prawda?
3345:  Niestety to jest wszystko, ale naprawdę...
3351:  Gdyby tak wyglądało to, z tą muzyką Percivala Schuttenbacha, tak?
3356:  Gdyby Geralt miał takie wejścia, no byłyby ciary, nie oszukujmy się, że byłyby ciary.
3361:  Byłoby miło, ale przez to, że to trwa sekundę i zobaczcie, na co to jest cięcie, momentalnie.
3368:  Zrobiło się epicko.
3369:  O, o, stop, stop, stop.
3373:  Wracajmy na ziemię.
3375:  Magia jest dla dzieci, my tu poważni jesteśmy i robimy obraz, tak?
3382:  A nie jakąś produkcję fanowską, brzydliwą i grę.
3385:  W związku z powyższym będziemy o poważnych rzeczach mówić, tak?
3389:  No i żal mi strasznie, wiecie?
3390:  Bo naprawdę, gdyby to tak wyglądało, to byłoby super.
3393:  Złap go wyrytym, tak?
3395:  Ociężkę gonu zrobili jak śmierciożerców z Harry'ego Pottera.
3397:  I tym sposobem, moi drodzy, za nami jest odcinek, który jest najlepszy z tych wszystkich, które będziemy dzisiaj analizować, więc...
3406:  Wspaniale, fenomenalnie, bardzo się z tego powodu cieszę.
3410:  No ale co zrobić, moi drodzy?
3411:  Nic nam innego nie pozostaje, tylko mknąć dalej.
3413:  To byli jeźdźcy apokalipsy.
3415:  Na to wygląda.
3417:  Tęskniliście może za białym płomieniem tańczącym na kurhanach wrogów?
3422:  Tęskniliście?
3423:  Hold on, wait a minute, pisze Mortin.
3425:  Co się dzieje?
3426:  Gdzie się dzieje?
3426:  Cięcie jak siekierą?
3427:  Nie widzieliście jeszcze czwartego odcinka, mówicie o cięciach jak siekierą.
3432:  Proszę bardzo, zaproszenie, tak?
3434:  Na co to może być zaproszenie?
3436:  No proszę.
3437:  Czy to będzie zaproszenie na tanet?
3438:  Niemożliwe, to na pewno nie będzie zaproszenie na tanet.
3441:  I tak Cahir się dalej dowiaduje, że ma misje, jest wysyłany tak mniej więcej w Assassin's Creed Revelations były takie misje, że się wysyłało w różne miejsca, na przykład wysyłało się do Moskwy, która była przedstawiona na terenach Polski.
3454:  Nie wierzycie mi?
3456:  Bardzo uprzejmie służę przykładem, mam nadzieję, że uda mi się szybko znaleźć tę mapę.
3461:  Dlaczego rozmawiamy o Assassin's Creedzie?
3462:  Bo rozmawiamy o wszystkim, tylko nie o Wiedźminie.
3466:  To było w Revelations na 1000% i bardzo mnie to rozbawiło, ale oczywiście tego nie znajdę.
3471:  Naturalnie, że tego nie znajdę.
3472:  Myślałem, że uda mi się to znaleźć.
3474:  Jakie to jest zasmucające.
3475:  W każdym razie, musicie mi wierzyć, że tam była Moskwa i to było bardzo przerażające dla każdego, kto ceni sobie Rikcz.
3482:  Tak, na terenie Przemyśla, właśnie.
3486:  To były jakieś zadania.
3488:  Quest map, może tak zrobimy.
3490:  A może to nie było Revelations, to było Black Flag chyba.
3494:  To było w Black Flag.
3497:  Tak mi się wydaje, że to było w Black Flag, ale nie znajdę tego już.
3502:  Moja ambicja, jak wam to znajdę, to wrzucę w komentarzu pod odcinkiem.
3505:  W każdym razie, niestety nie udało mi się skręcić do Assassin's Creed Revelations, więc muszę dalej mówić o Wiedźminie, jakie to jest bardzo zasmucające.
3512:  To było w Brotherhood, mówicie?
3514:  W Brotherhood?
3515:  Na 1000%?
3516:  Jamnikowemu Piechurowi dziękuję tym czasem za bycie Jamnikołajem.
3519:  To jeszcze sprawdzimy w Brotherhood, bo to jest zbyt zabawne, moi drodzy, żeby ten temat tak porzucić.
3526:  Brotherhood.
3527:  A może jak damy Europe, to będzie wtedy.
3530:  Ho!
3531:  Tak!
3532:  Tak!
3533:  Tak!
3535:  Tak!
3536:  Tak!
3537:  Tak!
3537:  Udało się!
3538:  Znalazłem!
3539:  Znalazłem!
3540:  Ale to dzięki wam, moi drodzy, znalazłem.
3542:  Proszę bardzo.
3543:  I tu, przysięgam, jest Moskwa.
3545:  Może mi się tutaj uda znaleźć nawet.
3548:  Bo to było strasznie memiczne.
3550:  Tak!
3552:  Jest Moskwa, jest Moskwa na terenie Przemyśla w tym miejscu, więc dokładnie tak, moi drodzy, jest robiony Wiedźmin Netflixowy.
3561:  Mniej więcej tak, ta mapa.
3563:  O, tutaj nawet widać wyraźniej.
3565:  Jest Moskwa jak byk.
3570:  Wspaniałe, to jest właśnie tak, jak postrzega się Europę Wschodnią o mas z perspektywy zachodniej, dlatego między innymi dla tej nieszczęsnej Loren tak to się przedstawia, moi drodzy, a nie inaczej, że och, tam będę się przejmować jakimś Sapkowskim, bym się przejmowała, gdyby to był Tolkien, a potem sobie przypominamy, że jest Amazon i jednak nie.
3592:  Teraz fraszka też od Dawida, dziękuję ci za trybut.
3594:  Netflix, Netflix, ty chuj, a tak serio.
3596:  Sposób szybki na kieszenie wina, otwórz beczułkę i odpal Wiedźmina.
3600:  Mam nadzieję, że chodzi o Wiedźmina growego, moi drodzy.
3602:  A fraszkę o Lambercie zawsze będzie warto, tak, zawsze będzie warto przytaczać.
3607:  No dobrze, moi drodzy, wracamy w takim razie do naszego radosnego oglądania, żebyście wy nie musieli, a ja już musiałem dwa razy.
3612:  O, i tutaj jest moja wątpliwość dotycząca Eretuzy.
3615:  Ja zniknę na moment.
3616:  Czy ktoś mi może wyjaśnić, gdzie, gdzie jest Tanet?
3619:  Hehehe...
3621:  Gdzie jest Tanet?
3622:  To jest Tanet?
3624:  Ta dziwna bryła, od której jest ten dziwny most?
3628:  Czy też to jest Aretuza, ta dziwna bryła, a most prowadzi do wieży Mewy, w której są Węgorze i Portal?
3635:  Ja nie wiem, autentycznie nie wiem, gubię się w tym wszystkim, w każdym razie Tanet jest tak dwa razy za mała w stosunku do tego, co jest w Sadze, bo z tego, co pamiętam, znowu na Tanet jest normalne jakieś miasto, jakiś tam pałac, namiestnika, whatever, i oprócz tego Aretuza.
3649:  Jak to, gdzie?
3650:  Ta net jest tuż za rogiem.
3652:  Zawsze lubiłem, jak się chodziło gdziekolwiek.
3653:  Nie wiem, czy też tak mieliście na różnych wycieczkach, powiedział Krzysztof, który robi wszystko, żeby nie omawiać Wiedźmina.
3658:  Mianowicie, jak szło się i pytało się, daleko jeszcze?
3661:  To się słyszało, no już za tym zakrętem.
3663:  Ja zawsze dopowiadałem za tym zakrętem, którego nie widać.
3666:  Koszmar absolutny.
3667:  I tutaj Yennefer zostaje namaszczona na...
3672:  Pierwszą poruszycielkę zjazdu na Tanet oczywiście magowie się z nią nie zgadzają, ale w którymś momencie, oczywiście jest tutaj też Stregobor, którego nie powinno być, ponieważ przypominam, że jest w Kowirze, i magowie w którymś momencie prawem konferencji niemieckich, nie wiem dlaczego na konferencjach niemieckich i naukowych zawsze jest tak, że zamiast bić brawa na przykład, to robi się tak...
3691:  Ojej, kamera mi zaczęła skakać.
3694:  No, w każdym razie, stuka się bardzo intensywnie i tutaj też to magowie robią.
3697:  Być może jest to aluzja do wcześniejszego stukania, które uprawiała Philippa Eilhart.
3701:  W każdym razie, czy ktoś mi może wytłumaczyć, dlaczego tutaj jest Mistrz Paj-Hivo?
3706:  Wedle tego, co udało mi się dokopać w serialu, Mistrz Paj-Hivo tak naprawdę jest wielkim arcymistrzem Banard.
3716:  który absolutnie nie powinien wyglądać jak mistrz Paihiwo.
3719:  Gdzieś tutaj w którymś momencie jest nawet zbliżenie na niego, ale prawem przypadku oczywiście nie udał mi się go w żaden sposób namierzyć.
3727:  Nie wiem, dlaczego jest tutaj mistrz Paihiwo, ponieważ mistrz Paihiwo jest potężny.
3732:  Dla tych, którzy nie wiedzą, kim jest mistrz Paihiwo, to też jest akademia pana Kleksa.
3736:  Dlaczego nie wygląda jak w Klejni w Photoshopie?
3738:  To jest właśnie kwestia tej teatralności, prawda?
3740:  Wy zauważcie, wychodzimy z chat, wchodzimy na salony, do arystokratycznych komnat albo do pałaców i nagle od razu jest taka klepawa, teatralna, źle oświetlona scena.
3754:  Główny problem tutaj jest z oświetleniem.
3757:  Ja tutaj widzę dużą lampę, która została puszczona na scenie.
3760:  Tutaj w ogóle nie ma czegoś takiego, co się nazywa... O Boże, ja teraz będę strasznie się wymądrzał, mimo że to nie jest moja dziedzina, ale to tylko dlatego, że zobaczyłem fajny film na YouTubie, okej?
3768:  Nie oceniajcie mnie.
3769:  To się nazywa Motivated Lighting, czyli oświetlenie, które jest umotywowane.
3774:  No na przykład ja bym sobie mógł tutaj, w to miejsce, o tutaj, gdzie macie lampę, walnąć mógłbym sobie tutaj kominek, tak?
3780:  I teoretycznie...
3782:  I wy byście widzieli, że to jest czerwone od tego kominka, a tak naprawdę to nie, ok?
3785:  Motivated lightning.
3787:  I tego tutaj nie ma.
3788:  Nie ma tego umotywowanego światła w żaden sposób.
3790:  Jeżeli ktoś zna to pojęcie z filmoznawstwa polskiego, to chętnie poznam, jaki jest odpowiednik.
3796:  Tutaj tego nie ma.
3797:  Tu ewidentnie widać jakiś snop świata.
3799:  Co to wychodzi stamtąd?
3800:  Czy tam jest jakieś przejście?
3801:  Czy tam jest jakieś, nie wiem...
3802:  Na zewnątrz się idzie?
3803:  Nie idzie się tam nigdzie na zewnątrz.
3805:  Gdzie pada to światło?
3806:  Bez sensu jest to wszystko absolutnie.
3808:  Co to znaczy teatralna?
3809:  Teatralna dla mnie oznacza sztuczna w tym konkretnym przypadku, to znaczy nie taka, która chce nas zanurzyć i jak w zgodzie z wszystkimi prawidłami imersji, która działa w światach fantasy, więc zanurzacie się i zapominacie, że oglądacie jakieś medium, tylko podkreśla to tę sceniczność, tak?
3827:  Najprostszy przykład, jeżeli macie scenę, na której jest krzesło tylko,
3831:  aktora, który ma monodram, monolog, tak, przemawia, i wy macie się zatopić w tym monologu, to ta scena jest nieistotna.
3838:  Fantasy jest dokładnie odwrotnie.
3840:  To, co jest w tle, jest cholernie ważne, dlatego do ciężkiej cholery, jak macie Warhammera fantasy, która jest grą figurkową, macie jebaną mapę na pół ściany, którą mogłem sobie zrobić tylko dlatego, po pierwsze, że zrobiłem niepraktyczny kartograf, a po drugie, dlatego, że ktoś ją zaprojektował, tak?
3855:  Ludzie projektują tego rodzaju rzeczy właśnie po to, żeby nadać wiarygodności temu światu.
3860:  Tolkien nawet w którymś momencie zaprojektował coś, teraz wam to pokażę, bo to akurat jest w temacie tej teatralności, co jest, nazywa się Book of Mazarbul.
3869:  Book of Mazarbul to jest fragment kroniki, którą znalazła drużyna Pierścienia w Morii.
3877:  Wygląda to moim imieniem i tak.
3878:  I Book of Mazarbul została dosłownie przez Tolkiena zrobiona, tak.
3882:  Tutaj macie przykład.
3883:  Swoją drogą widziałem to osobiście w Bodleian Library, więc to nie jest wymyślone w żadnym razie.
3888:  Była taka zajebista wystawa From Middle Ages to Middle-Earth.
3890:  No i można sobie zadać
3891:  pytanie, po jaką cholerę Tolkien nadpalał tutaj, nie?
3894:  Albo zostawił taką smugę letalną, czyli kreskę, którą zostawia kronikarz, jak umiera nad księgą.
3900:  No po to, żeby to uwiarygodnić.
3902:  Netflix tego kompletnie nie rozumie, że tego rodzaju artefakty, że tego rodzaju właśnie rzeczy w świecie to nie są tylko rekwizyty.
3911:  One mają działać!
3913:  Tolkien, no... Ale wiecie, Tolkien, tak?
3916:  Jeszcze Rings of Power przed nami, więc będziemy się nad tym jeszcze zmyślać.
3920:  O Boże, to będzie straszne.
3923:  Tutaj się będą pojawiały sceny, które są w zasadzie lustrzanym odbiciem tego, co mieliście w poprzednim odcinku.
3928:  W poprzednim odcinku był Bonding Ciri i Yennefer, tu jest Bonding Ciri i Geralta.
3932:  Ciri znowu chce być wiedźminką.
3934:  Nie zgadniecie, co będzie w kolejnym odcinku.
3936:  A może zgadniecie?
3938:  Dam wam chwilę.
3945:  Tak, pogodzi się Ciri z Yennefer i z Geraltem i nie będzie Ciri i Yennefer, Ciri i Geralt, tylko będzie Ciri, Yennefer i Geralt.
3953:  Aaa, rodzina!
3954:  I wszyscy będą szczęśliwi, radośni, a potem będzie zjazd na Thanet i będzie gorzej.
3959:  Więc wiecie, to jest taka ładna
3961:  Paralelna struktura, która powtarza nam poszczególne... Ja myślę, że Loren była niesamowicie dumna, że to wymyśliła.
3968:  To jest taki wspaniały zamysł konstrukcyjny.
3971:  Po co korzystać z tego, co jest w sadze?
3973:  Możemy zrobić to ciekawiej i bardziej interesująco.
3976:  Wiecie dlaczego?
3978:  Bo tak będzie najlepiej dla wszystkich!
3980:  Widzicie, że te dialogi są uniwersalne?
3982:  Można się absolutnie... Proszę bardzo, są nawet złośliwe kobiety!
3987:  Z noży czarodziejek, których jeszcze nie ma.
3989:  Te dialogi są napisane w taki sposób, że pasują do dowolnej wypowiedzi losowo skonstruowanej.
3994:  A co jeśli nie jestem zbyt dobra?
3996:  To były przemyślenia Loren, które zostały zakodowane, moi drodzy, w tym serialu.
4000:  Nie żebym się na tym znał, to o mnie, kiedy mówię o filmoznawstwie.
4003:  Widzicie, wszystko się da tutaj wszyć.
4005:  Gdzie potwory z Menhirów?
4006:  Spokojnie, zanim będą potwory z Menhirów, musimy wpierw zaprosić ludzi na Tanet, gdzie jak wiadomo nie ma wieży Mewy, tylko jest obelisk, którym się przeniesiemy do innego miejsca i to wszystko jest, moi drodzy, połączone.
4017:  Zgodnie z tym wspaniałym, mimicznym fragmentem
4019:  holistycznej agencji detektywistycznej Drake'a Gentilego.
4022:  Everything is connected, everything is connected.
4024:  Tutaj też wszystko jest połączone.
4026:  Więc zaproszenia, moi drodzy, na zjazd na Thanet, żeby było ładniej, żeby było radośnie.
4030:  Ta bransoletka od Vilgeforta jest bardzo ważna.
4033:  Jeżeli graliście kiedyś w Stanley Parable, może pamiętacie taki fragment, kiedy narrator mówi, Stanley, ta paprotka będzie ważna.
4043:  Nigdy już później nie jest, ale taka jest funkcja tego rodzaju rekwizytów pokazywanych nam do kamery, żeby to było bardzo ważne.
4049:  Już wam zaspoiluję, bo przecież i tak rozmawiamy ze spoilerami.
4052:  Wiecie, dlaczego ta bransoletka jest ważna?
4053:  Ponieważ ta bransoletka jest wykonana z metalu, który jest w tym miejscu, w którym są dzieci, kwiaty z Dol Blathana, które są starszą krwią, harwestowaną przez Stregobora, tak naprawdę Vilgefortza, i ten metal się pojawia wtedy też, kiedy Yennefer wypaczonym teleportem się przenosi w inne miejsce i równocześnie
4072:  Ta bransoletka jest też z takiego samego metalu i wiecie, i to wszystko jest ze sobą połączone i Yennefer w takim przebłysku świadomości, eurece w rozmowie z Geraltem dochodzi, haha, jak Filipa do tego wszystkiego, ale to jest dopiero w następnym odcinku, więc przepraszam, że wybiegam w fakty, ale to jest bardzo ważny moment, więc chciałem wam udowodnić, że serial dba o to, żeby ustanawiać tego rodzaju znaczące połączenia.
4095:  O, tu macie przy okazji dobrze zrobiony motivated lighting, nie?
4098:  To znaczy tu jest okno,
4100:  Jest zarys na włosach światła, tak?
4101:  Tak to powinno wyglądać.
4103:  Włączyłem, nie do... teraz, o nie, teraz puściłem, trzy sekundy, Netflix będzie mógł mnie zbanować za to, moi drodzy.
4109:  Aaa, tak.
4111:  Więc rozmowa, na jasne mówiąc, wiecie, co jest zabawne?
4117:  Autentycznie przysięgam wam.
4119:  Przysięgam.
4120:  Przez cały dzień zastanawiałem się, co to jest za czarodziejka, bo już się nauczyłem, że... Nauczyłem się Filippy, nauczyłem się Katie Metz, nauczyłem się nawet... Nawet Margarety Leantil.
4132:  Nawet.
4133:  Wszystkich.
4134:  Ale na cholerę nie wiedziałem, kto to jest.
4137:  I w którymś momencie, któraś z czarodziejek w ostatnim odcinku, który oglądałem dzisiaj, mówi do niej triz.
4145:  No, choćbyście mnie na męki wzięli, to bym nie powiedział, że to jest Triss.
4149:  Nie miałbym zielonego pojęcia, że to jest Triss.
4152:  To jest Triss już nie tyle rysowana z pamięci, ale to jest Triss wykastowana na zasadzie takiej, okej, wykastujmy dowolną osobę, która się maksymalnie różni od postaci z gry.
4164:  Ja wiem, że Triss z gry była przeseksualizowana, do przesady, zwłaszcza ta sesja w Playboyu była mało smacznym pomysłem Redów, ale spoko, dla mnie to był fajny eksperyment, że skręcę do tego, mianowicie pokazał, że można postać, która jest całkowicie fikcyjna, potraktować dokładnie tak samo, jakby była postacią rzeczywistą i to tylko wzmagało wiarygodność fantasy.
4185:  No teraz mamy oczywiście temat deepfake'u i AI i tak dalej, ale pamiętajmy, że to było wszystko przed tym, więc polecam, kolega polecał sprawdzić sesję w Playboyu z Triss Merigold w ramach kampanii marketingowej do Wiedźmina 2 Zabójcy Królów.
4198:  Możecie sobie zadać pytanie, a skąd ci piękni ludzie są tutaj?
4203:  O, o, w tej pięknej bibliotece, która nie ma już Motivated Lightning, ponieważ tutaj światło pada na czuprynę nie wiadomo skąd.
4212:  No, moi drodzy, oni są w tej bibliotece z bardzo prostego powodu, a mianowicie będą szukać ekscytującej literatury,
4220:  Ekscytująca literatura to jest kronika wszystkich tych elfiej, elfiej dziadki całej, moi drodzy, która to elfia dziadka, no, dzieli sobie starszą krew i można na niej eksperymentować.
4230:  Na męki z chęcią wskazany po Wiedźminie?
4232:  No ja myślę, to znaczy ja już męki przeżyłem, więc to teraz można byłoby modlić się do biednego Krzysztofa używając słów dla jego bolesnej męki.
4242:  Anywho, w tymto dzienniku Czku Ucznia możemy prześledzić właśnie cały ten lineaż, jak to się ładnie mówi, wszystkich elfich dzieciątek, które są harwestowane dla ich mocy.
4251:  Ale tak naprawdę najważniejsza jest Księga Monolitów!
4265:  W Księdze Monolitów bowiem zapisane są tajemne informacje dotyczące czasoprzestrzennych portalomenhirów, które to przenoszą nas w inne sfery rzeczywistości.
4279:  Inne plany czasoprzestrzeni, jak dobrze pamiętacie,
4282:  Menhir, najskuteczniejsza forma komunikacji z miejsca do miejsca.
4286:  Możemy zaświadczyć tym znakomicie w momencie, w którym pójdziemy na przykład do Stonehenge, nie?
4292:  Pamiętacie mniej więcej, jak wygląda Stonehenge, myślę, prawda?
4295:  W związku z powyższym jest wiele teorii, na których zostało zbudowane Stonehenge, więc na wszelki wypadek to jest taki krąg megalityczny, gdyby ktoś jakimś cudem nie widział, on tutaj się znajduje, proszę bardzo, no więc jeżeli byście chcieli na przykład wejść do środka Stonehenge, moi drodzy,
4311:  O, tu będzie to lepiej widać.
4313:  To nie wybieracie tego prześwitu tu, tu, tu, w tym miejscu, gdzie pokazuje myszą.
4317:  To.
4317:  Tędy wchodzicie.
4322:  Musicie zmienić swoją strukturę atomową, wasze atomy się rozszczepią, tak?
4326:  Wy przejdziecie przez to na wskroś.
4329:  O, na przykład jak flesz, rozedrgacie się odpowiednio.
4332:  Rozedrgacie się tak, że przejdziecie przez materię na następną stronę.
4336:  Więc w ten sposób działają menhiry.
4338:  W ostateczny sposób mamy już to potwierdzone.
4340:  Myślę, że więcej nie muszę wchodzić w ścianę, żebyście uwierzyli, bo ja wszedłem ostatnio w ścianę i nikt nie uwierzył, że tak działają menhiry.
4346:  Więc jestem zmartwiony, szukam nowych sposobów na to, żeby wam to pokazać.
4350:  Natomiast nie jestem w stanie znaleźć ani jednego sposobu, który mnie przekona, że to jest Triss Merigold.
4353:  To nie jest Triss Merigold, ja po prostu jej nie rozpoznaję.
4356:  Zapytacie, gdzie Geralt?
4357:  O, proszę bardzo, Geralt razem z Cyrillą i razem z Yennefer podróżują.
4361:  Są, powiedzielibyśmy, moi drodzy, na Wiedźmińskim Szlaku.
4364:  Gdzie jest Wiedźmiński Szlak i gdzie nas prowadzi?
4366:  Ano, do Aretuzy.
4368:  Ale zanim poprowadzi nas do Aretuzy, Wiedźmin musi wdziać swoje wiedźmińskie rajtuzy i powalczyć z potworem, ponieważ dobrze pamiętacie teriadę ważną dla Loren, to znaczy miłość, śmierć i potwory.
4381:  Więc muszą teraz się pojawić potwory, tak, w fantastycznych zwierzętach, tak o igłu Geralta, będzie, szlak wiedźmiński musi być potwór.
4388:  No więc ciężko jest prowadzić jakiegoś potwora, więc wymyślimy sobie, że jakieś krakenoidalne stworzyszcze będzie nas atakować.
4394:  Oczywiście Ciri ma tutaj wątpliwości.
4395:  Ciri sobie mówi, nie no, Geralt, Geralt, Geralt, ja chcę być wiedźminką.
4399:  No a Geralt mówi, być please, nie?
4401:  Nie, nie chce, żeby Ciri była wiedźminką, ale w końcu się zgadza i robi swoje kawilowe hmm i swoje kawilowe inne rzeczy i następnie oddala się na stateczek.
4411:  Tutaj będą bardzo ważne sceny.
4412:  Zmutowany Węgorz będzie jako potwór.
4414:  Który odcinek teraz komentujemy?
4415:  Lecimy, moi drodzy, czwarty odcinek, tak?
4417:  To jest czwarty odcinek pod tytułem Zaproszenie mojej mili.
4424:  W sumie podobnie się wchodzi jak przez Menhir na 9 i 3 czwarte w Potterze.
4428:  Jest to prawda.
4429:  Kim jest ten jowialny staruszek?
4431:  Otóż on jest zleceniodawcą, a Geralt jest zleceniobiorcą.
4436:  Proszę bardzo.
4436:  I oprócz tego jest jeszcze bardzo interesujący dialog dotyczący nierówności rasowych w Wiedźminie.
4443:  To jest drugi moment, moi drodzy, kiedy chcąc, nie chcąc, muszę, ale to muszę, przerwać nasz fragment muzyczny i puścić wam lepszą muzykę.
4456:  Czy ja jestem w stanie puścić lepszą muzykę?
4459:  Będziemy musieli natrafić na ten odpowiedni fragment.
4462:  To będzie bardzo skomplikowane.
