Tańczący z wilkami — WITCHER 3 Livestream #8
🔗 https://www.youtube.com/watch?v=9gKMBfSbQ4s

4:  Witam Was wszystkich serdecznie.
10502:  Przecież tutaj jeszcze była ta... jak ona się nazywa?
10507:  Ee... Wes?
10508:  Wes tutaj gdzieś była.
10509:  Gdzie jest Wes?
10509:  Wes?
10511:  Gdzieś była.
10512:  Wiem, że warto z nią pogadać.
10525:  Z jakiegoś powodu.
10527:  Tak, tak, nowa gra, plus pewnie, co jak widać nic nie zmienia w moim podejściu do rozgrywki, ponieważ dalej nic nie wiem co robić.
10534:  No okej.
10539:  Może Wes się dopiero pojawi.
10547:  Weź te piguły, co Radowicz zapomniał, to się poprawi.
10549:  Tak, tak, bilobil.
10551:  Mówiłeś, że masz jakiś problem.
10554:  Mhm, z Wes.
10555:  Wzięła paru ludzi i poszła za rzekę do Jawornika, bić Nilfgaardczyków.
10559:  To dlatego nie ma Wes.
10561:  No i?
10562:  To chyba właśnie robią partyzanci.
10565:  Robią, jeśli dostaną taki rozkaz.
10568:  A ja zakazałem jej opuszczać obóz.
10571:  Do odwołania.
10575:  Bo w Nowa Gara Plus, tak nawiasem mówiąc, również resetuje nam zbroję.
10578:  Ja miałem wymaksowaną zbroję niedźwiedzia i miałem pozostałe sety też, ale one zniknęły z ekwipunku, tak samo jak wiele innych fajnych rzeczy, które miałem, wziąwszy także, włączając w to talię kart, co mnie bardzo zdenerwowało.
10592:  Dlaczego Wes poszła akurat do tej wsi?
10595:  Widzisz, chłopi z Jawornika udzielili nam wcześniej pomocy.
10599:  Nilfgaardczycy się o tym dowiedzieli.
10601:  Poszła wiedzieć, że szukają karnych tradycji.
10604:  Powieszą pewnie co piątego.
10608:  No to już rozumiem, czemu Wes tak się paliło, żeby iść z odsieczą.
10612:  Nie rozumiem za to, czemu ty jesteś przeciwny.
10615:  Dla wojny giną ludzie.
10617:  Nie tylko żołnierze, cywile też.
10619:  Wszystkich się nie uratuje.
10620:  Ot, tyle.
10623:  Tak, kasy nie resetuję, ale ja zawsze miałem bardzo mało.
10628:  Kupowałem idiotyczne ilości rzeczy i nigdy nie farmiłem złota.
10631:  Nie lubię tego robić.
10647:  Przestałeś ufać Wes?
10649:  Gdzie to?
10650:  Dałaby się za mnie zabić.
10652:  Nie w tym problem.
10654:  Wiesz, czym się różni żołnierz od byle Rębajły?
10658:  Mundorem?
10659:  Pytam poważnie.
10661:  Pytasz retorycznie.
10663:  Więc zamiast czekać na odpowiedź, po prostu mnie oświeć.
10668:  Żołnierz myśli taktycznie.
10670:  Wie, kiedy uderzyć, a kiedy się wycofać.
10672:  Kiedy szarżować, a kiedy czekać.
10676:  Wesma z tym problem.
10677:  Jest porywcza, impulsywna, a w partyzantce... Jeden fałszywy ruch i wszystko... Pamiętam ten quest.
10685:  Trzymałem ją w obozie, bo bałem się, że jak ją wyślę w teren, pójdzie na żywioł, popełni błąd.
10691:  No i nie myliłem się.
10694:  No dobra.
10695:  Masz problem z dyscypliną, ale co ja mam w związku z tym zrobić?
10703:  Wes jeszcze nie uderzyła.
10705:  Pewnie czai się ze swoimi chłopakami gdzieś w lesie koło tej wsi.
10709:  Trzeba ją znaleźć nim zaatakujemy.
10711:  Znajdziemy ją i powstrzymamy.
10714:  Tak jest.
10714:  Ty się znasz na tropieniu.
10716:  Pomożesz mi?
10721:  Możesz na mnie liczyć.
10723:  Dzięki, Geralt.
10724:  Wiszę ci przysługę.
10726:  Strasznie mi się podoba repryza tego tematu muzycznego z dwójki.
10738:  Okej.
10742:  A tutaj jest interesująca rzecz.
10747:  Absolutnie będziemy zabijać wszystko co się rusza.
10752:  Ale piękne, piękne kryjówki.
10755:  Tutaj, uch, jak tutaj cudowna pozycja strzelecka, strasznie mi się to podoba.
10759:  Uwielbiam takie smaczki.
10763:  No ma to sens.
10767:  Czuję się tak, jakbym widział kryjówkę w Tatrach.
10773:  No nie do wiary, myślałem, że Geralt zginie z tej wysokości.
10779:  No Geralt nie należy do asertywnych, to jest tak, każdy go prosi o pomoc i Geralt spoko, spoko, rzucam wszystko.
10784:  Wprawdzie Dziki Gon poluje na Ciri, która jest jedyną osobą bliską, oprócz Merigold albo Yennefer, w zależności od tego, którą z czarodziejek trzymamy, i paru Wiedźminów, którzy się ostali w Wiedźmińskim Siedliszczu, ale tak, tak, znajdę ci ten Kwiat Paproci i Dwa Listki Berberki, oczywiście.
10804:  Umówmy się, to jest bardzo poważna sprawa.
10806:  Wiecie co, może jednak ogarniemy to szybką podróżą.
10811:  Nie lubię tego zwykle robić, ale jak widzę tysiąc metrów na liczniku, tysiąc stóp w zasadzie, to słabo mi się robi.
10820:  Tak, po tym kłeście robimy jaskra.
10822:  Nie martwcie się, musimy zrobić jaskra, żeby trafić gdzieś sensownie dalej z fabułą.
10830:  I jeszcze jest jedna rzecz, którą musimy zrobić, to znaczy w... I może to teraz zrobimy.
10836:  Wiecie co, teraz to zrobimy.
10837:  Mamy 72 poziom, a to oznacza, że możemy już ulepszyć zbroję gryfa.
10840:  Więc mówiliście, że są dwie opcje.
10842:  Opcja u Krwawego Barona na razie odpada, bo nie zrobiliśmy questu, ale co nie odpada, to opcja... Opcja... O właśnie, czy to jest ten kowal, o którym ja myślę?
10857:  Czy on był na Ryneczku?
10860:  Zobaczymy.
10861:  Właśnie, bym bardzo chciał, żebyśmy dotarli do Corvabianko, bo to robimy cały quest z tym, z... Jaskrem.
10872:  Tak jest plan na dziś maksimum, to znaczy Corvabianko, a jutro mały wypad na Skellige.
10880:  Ten kowal robi tylko miecze?
10885:  Co?
10885:  Poważnie?
10891:  To mnie zmartwiliście.
10892:  A przecież był jakiś kowal, przecież ten elfi kowal w Nowigradzie był.
10897:  Dobra, nie będę kombinował, to idziemy w takim razie do tego kowala głównego, to znaczy na Velen.
10904:  Płatneż na rynku?
10908:  Na rynku przy bramie głównej.
10911:  Na szczęście rynek to jest coś, co znajdę.
10914:  Dobrze, to się tam przeteleportujemy szybciutko.
10920:  Czy mi się coś wydawało, że może być na rynku?
10922:  Bardzo bym chętnie spalił już tych wszystkich kapłanów, ale niestety nie mogę.
10930:  Ryneczek wtedy.
10931:  Ryneczek it is.
10932:  Tylko gdzie to będzie?
10941:  A właśnie, Hattori przecież.
10943:  Czemu już ja zapomniałem o Hattori?
10947:  Czy to jest tutaj?
10948:  Księgi i zwoje.
10949:  Nie, to nie jest tutaj.
10954:  Tam jest Bank Vivaldi.
10963:  Dobra, tu jest Bank Vivaldi, na pewno.
10968:  Płatnerz!
10972:  Płatnerz.
10975:  O, słabo się dziś czuję.
10979:  Wieczer pierwszego sortu.
10980:  O, tak.
10982:  Tęskniłem za... ...proprio szybki ban.
10990:  Nie chciałbym tylko was przez przypadek zbanować.
11001:  Okej.
11007:  To nie jest... Zaraz, to nie jest Hattori.
11008:  Aaa, Hattori jest dostępny dopiero... Później.
11013:  To niedobrze.
11014:  No to musimy iść do Velen, kochani.
11017:  Nie ma innego wyboru.
11039:  Miecze i pierogi prowadzi na Skellige.
11044:  No to dobrze, nie ma tego złego, bo i tak musimy iść w stronę Drzewa Wisielców.
11049:  Okej.
11062:  Mówicie, że on wykuje te zbroje, a...
11067:  Zgubiło mnie to.
11068:  Czasami za bardzo zawierzam dialogom.
11074:  Weźmy, weźmy płotkę, bo... Płotko, płotko.
11091:  Boże, jak to jest pięknie.
11093:  Stęskniłem się za kasztelem barona.
11095:  Jedziemy!
11102:  Dobra.
11107:  Mmm, dwójka.
11108:  Potrzebuję zbroi.
11114:  Ulepszone legendarne buty gryfa, tak?
11116:  Tak, to są nasze.
11119:  Wykonaj.
11124:  Dobrze.
11125:  Pancerz.
11127:  Ulepszona legendarna zbroja cechu gryfa.
11130:  Jest.
11130:  Jest.
11144:  Ulepszone, legendarne rękawice cechu Gryfa.
11146:  Są.
11148:  Tutaj zostały jeszcze sportki.
11158:  Czemu nie mamy... Czemu... Czemu ten... Czemu ten człowiek nie ma tego, czego my potrzebujemy?
11163:  Ech.
11177:  Powinno wystarczyć.
11179:  Ulepszone legendarne portki cechu gryfa.
11189:  Czy nasza zbroja jest już ulepszona?
11192:  Ulepszona legendarna zbroja cechu gryfa, ulepszone legendarne rękawice, buty i portki.
11199:  Jest wszystko i co więcej zostają glify, co mnie bardzo cieszy, bo to oznacza, że walimy glif i gni.
11205:  Jeszcze jeden, ten, który mamy.
11207:  Niestety wszystko, co mamy.
11211:  Geralt znów wygląda jak kretyn, co oznacza, że możemy użyć barwnika.
11215:  Tym razem będzie to barwnik czarny do zbroi.
11221:  I...
11224:  Czerwony do spodni.
11227:  Mam nadzieję, że doceniacie, jak pasuje teraz wszystko do maski Geralta.
11232:  Tymczasem Mike'a Smitha witam pośród tributariuszy.
11235:  Geralt wygląda teraz jak jaskier, więc może śmiało ruszać na questy.
11245:  Mam nadzieję, że doceniacie to, że Geralt wygląda teraz jeszcze bardziej niż jak pajac.
11250:  Różowe rękawiczki, będzie git.
11253:  Tak jest.
11257:  Tak jest, dobrze.
11259:  Ruszamy w takim razie pod Drzewo Wisielców.
11263:  A ponieważ jest pięknie, to sobie może nawet tam przejedziemy.
11266:  Przecież to jest, nie, to jest tysiąc... Dobra, przejedziemy sobie.
11276:  Eee... Jest przepięknie.
11284:  Mmm...
11286:  Tak, to byłoby zdecydowanie za daleko na jazdę.
11289:  Karamazynowy mściciel.
11292:  Tak, grałem w Technomancera i bardzo polecam tę grę swoją drogą.
11296:  I polecam studio, które ją zrobiło.
11297:  To jest studio Spiders, jeśli mnie pamięć nie myli.
11302:  To ta wieś na dole.
11304:  Już czarno od Nilfgaardczyków.
11307:  Szykują egzekucję.
11309:  A was nie widać.
11310:  Może jest porywcza, ale nie głupia.
11313:  Czeka na odpowiedni moment.
11315:  Chce pewnie uderzyć po zmroku, jak... Ciii... Co znowu?
11321:  Ludzie.
11321:  Trójka.
11322:  Lekko uzbrojeni.
11323:  Skradają się.
11324:  Tam, od strony.
11324:  Śmierć czarnym!
11325:  Epme!
11325:  Syrke!
11330:  Wygląda na to, że się spóźniliśmy.
11333:  Płotka jak zwykle mistrzyni drugiego planu.
11337:  Zabij wszystkich Nilfgaardczyków.
11339:  Fantastycznie.
11341:  Ruszamy.
11341:  Karmazynowy mściciel na odsiecz.
11344:  Po co maska?
11345:  Come on.
11347:  Geralt w tej masce... On komunikuje jedną rzecz.
11353:  To znaczy, jestem najgroźniejszym człowiekiem w okolicy.
11355:  Trzymajcie się ode mnie z daleka.
11367:  Dobra, potrzebujemy quen, tradycyjnie.
11371:  Boże, czy ja naprawdę użyłem złego znaku?
11373:  Tak, naprawdę użyłem złego znaku.
11386:  Boże, wszędzie nas otaczają Nilfgaardcy żołnierze.
11390:  Wes ginie.
11391:  Gdzie jest Wes?
11394:  Gdzie jest... Tu jest Wes.
11395:  Musimy chronić Wes.
11410:  Tak, dzięki tej masce przeciwnicy umierają ze śmiechu.
11413:  Przypominam, że jesteśmy na drodze ku zagładzie i nie wiem, czy to był dobry pomysł, ale damy szansę.
11419:  Damy szansę.
11421:  Ochroniliśmy West swoim ciałem, ale to oznacza, że musimy mieć jad wisielców już wyposażony.
11429:  I to tak bezwzględnie.
11432:  Petardy są dobre, okej.
11438:  Potrzebujemy zapisu tam.
11447:  Dobra, od razu idziemy do Wes.
11454:  Tak, jest tutaj.
11456:  Quen.
11460:  I... Północny wiatr.
11466:  Głównym problemem jest tutaj to, że Wesnam może zginąć, prawda?
11472:  Igni.
11473:  Igni, błagam, Igni.
11478:  O tak.
11487:  Dobrze.
11499:  Mam nadzieję, że to nasze Igni nie... nie... działa również na Vess, to byłoby słabe.
11504:  Dobra, nie działa.
11507:  Skąd te bomby wiedzą, kogo zamrażać, a kogo nie?
11510:  Through the sheer power of plot armor!
11522:  Dajcie im spokojnie płonąć, a nie... nie atakujcie mieczem!
11530:  Ooo, cóż za piękny widok.
11536:  Vernon, przestań!
11538:  Przestań niszczyć moje kryty!
11544:  Wess, kurwa mać, co ci odbiło?
11547:  Ignorujesz polecenia.
11548:  Idziesz na samobójczą misję.
11550:  Jeszcze zamiast założyć na pierśnik, lecisz do walki w koszlinie rozpiętej do pępka z cycem na wierzchu.
11557:  Nie jesteś moim ojcem, Rosz.
11559:  Nie będziesz mi mówił, jak mam się ubierać.
11561:  Ale jestem twoim dowódcą, więc masz mnie słuchać.
11565:  Partyzantka to też wojsko do kurwy nędzy.
11568:  Nie mogłam zostawić tych ludzi.
11570:  Oni nam pomogli.
11571:  Żołnierz jest od zabijania, Wes.
11574:  Nie od ratowania.
11575:  Jak ci się nie podoba, wstąp do siostrzyczek Melitele i przyucz się nas na horkę.
11580:  Z tyłu była też Wes, żartujecie?
11582:  Dawaj broń.
11583:  Dostaniesz z powrotem, jak zmądrzejesz.
11585:  Jeśli zmądrzejesz.
11587:  Płotka kiwa głową z tyłu.
11589:  Tak.
11590:  Tak, Vernon.
11591:  Tak, masz rację.
11592:  Tak, wuju Vernonie.
11602:  Kur... Oho, wygląda na to, że macie jeńca.
11604:  My nie bierzemy jeńców.
11606:  Zabrałeś mi broni, Roche.
11607:  Ale poradzę sobie gołymi rękami.
11610:  Zostaw go.
11612:  Dość trupów.
11614:  Co?
11614:  Słyszałaś?
11616:  Gdy Geralt był dzieckiem, został dziabnięty przez żurawia.
11618:  Dziś walczy ze złem, przywdziewiając wygląd tych majestatycznych zwierząt.
11624:  To jest przepiękne.
11650:  Don't kill, kill!
11654:  A wiecie co?
11656:  Dobrze, zrobimy tak.
11665:  Pierwsza ankieta tego czatu dotyczyła kwestii poważniejszej, to znaczy czy jemy nutellę z masłem czy bez masła.
11674:  Teraz mamy kwestię moralną.
11676:  Czasami tak czynie.
11679:  Zobaczymy, co zdecydujemy.
11683:  Dziś interaktywny stream, tak.
11690:  Krew dla Boga krwi.
11695:  Te bugi pasują do klimatu streamu, to prawda.
11698:  Geralt, swoją drogą, rzeczywiście wygląda tak, jakby był na tripie kwasowym, biorąc pod uwagę to, co się dzieje.
11710:  Proszę o reasumpcję!
11716:  Faktycznie, teraz zauważyłem drugą Wes w tle.
11718:  To jest idealny moment.
11722:  No dobrze.
11723:  No dobrze w takim razie.
11725:  Oszczędzamy, moi drodzy.
11730:  Muszę tylko zakończyć.
11740:  Wes jest w mistrzyniu obydwu planów, tak?
11751:  Bardzo Geraltowskie swe odrogo to też jest.
11755:  Dobrze, cieszę się.
11758:  Albo zanim ktoś się zorientuje, że coś jest nie tak z Wes.
11767:  Na przykład Krzysztof, który się zorientował po pół godzinie.
11772:  Nie chce znaleźć statku, który zmierza na Skellige.
11778:  Junior!
11779:  Junior!
11780:  Koniec!
11781:  Koniec z tym!
11782:  Koniec tego dobrego!
11783:  Koniec zwlekania!
11784:  Koniec poszukiwania pytajniczków!
11786:  Idziemy do skurwiela!
11803:  Wiem, że są dobre mody, ale ja na modach nie gram.
11805:  To jest zasada, którą musiałem przyjąć z uwagi na wsteczną kompatybilność save'ów.
11815:  O proszę, jakby jak się go zabije, to później Nilfgaardczycy pacyfikują wieś.
11820:  Dobrze wiedzieć.
11823:  A ty tu czego?
11825:  Gdzie Skurwiel Junior?
11827:  Widziałeś go?
11828:  Bardziel.
11829:  Trzeba dać znać Skurwielowi, że ktoś za nim węszy.
11836:  Dobra, zróbmy to, co nam sugerowano.
11840:  Przyszedłem dogadać sprawę nowych dziewczyn dla juniora.
11843:  Nigdy wcześniej cię tu nie widziałem.
11845:  Znasz go?
11847:  Nie znam.
11852:  Na tym streamie ta odpowiedź musiała zostać wybrana.
11855:  Masz słabą pamięć, już tu bywałem.
11858:  A to bezczelny skurwysyn.
11861:  Byli już tacy, co próbowali na bezczelnego.
11865:  Pokażę ci, co im zrobiliśmy.
11866:  Nie lubisz tego, co... Wiem.
11884:  Oni są jak z powieści Agaty Christie.
11886:  Słonie mają dobrą pamięć.
11891:  Ops.
11894:  Możemy wejść i tak.
11903:  Spokojnie, może się okazać, że zginę, wtedy będziemy mieli drugą szansę.
11914:  O nie.
11916:  Dobra, obawiam się, że będzie trzeba.
11923:  Teraz odkryjemy, co kryło się za innym rozgałęzieniem tej ścieżki dialogowej, a zatem odkryjemy pokojową opcję.
11931:  Już zobaczyliśmy, co się dzieje, jak wybierzemy słabopamięć.
11935:  Teraz robimy inaczej.
11937:  Można napić się wody, tak?
11945:  Co?
11947:  Nie, nie, nie, nie, nie, nie, nie, nie, nie ma, nie ma, nie ma, nie ma.
11952:  Nie ma!
11952:  Nie ma!
11952:  Nie ma!
11953:  Nie ma!
11953:  Nie ma!
11953:  Nie ma!
11955:  Nie ma!
11955:  Nie ma!
11955:  Nie ma!
11956:  Nie ma!
11956:  Nie ma!
11956:  Nie ma!
11956:  Nie ma!
11957:  Nie ma!
11957:  Nie ma!
11957:  Nie ma!
11957:  Nie ma!
11958:  Nie ma!
11958:  Nie ma!
11958:  Nie ma!
11960:  Nie ma!
11960:  Nie ma!
11960:  Nie ma!
11961:  Nie ma!
11961:  Nie ma!
11962:  Nie ma!
11962:  Nie ma!
11962:  Nie ma!
11963:  Nie ma!
11963:  Nie ma!
11963:  Nie ma!
11964:  Nie ma!
11964:  Nie ma!
11964:  Nie ma!
11964:  Nie ma!
11964:  Nie ma!
11965:  Nie ma!
11965:  Nie ma!
11965:  Nie ma!
11965:  Nie ma!
11966:  Nie ma!
11966:  Nie ma!
11966:  Nie ma!
11966:  Nie ma!
11967:  Nie ma!
11967:  Nie ma!
11967:  Nie ma!
11968:  Nie ma!
11968:  Nie ma!
11968:  Nie ma!
11968:  Nie ma!
11969:  Nie ma!
11969:  Nie ma!
11969:  Nie ma!
11969:  Nie ma!
11970:  Nie ma!
11970:  Nie ma!
11970:  Nie ma!
11970:  Nie ma!
11971:  Nie ma!
11971:  Nie ma!
11971:  Nie ma!
11971:  Nie ma!
11972:  Nie ma!
11972:  Nie ma!
11972:  Nie ma!
11972:  Nie ma!
11973:  Nie ma!
11973:  Nie ma!
11973:  Nie ma!
11974:  Nie ma!
11974:  Nie ma!
11977:  Nie ma!
11977:  Nie ma!
11978:  Nie ma
11981:  Powiedziewczyn.
11982:  Przyszedłem.
11983:  Nigdy wcześniej cię tu nie wi... Znasz go?
11986:  Nie znam.
11987:  Jestem nowy?
11988:  Jestem tu nowy.
11989:  A co się przytrafiło Norbertowi?
11992:  Przytrafił mu się tasak.
11994:  Szkoda chłopa.
11995:  Lepsze to niż śmierć na suchoty.
11998:  Pamiętasz?
11998:  Był już jakiś taki schyłkowy.
12001:  Dobra, zapamiętaj sobie na przyszłość, że dziwki dla skurwiela wprowadza się od tyłu kawałkiem starego kanału.
12008:  Idź tamtędy.
12009:  Dzięki, będę pamiętał.
12012:  Aaaa... Wygrywamy through the sheer power of quicksaves.
12023:  Ale oni muszą zginąć, inaczej nie będą martwi.
12026:  Nie da się ukryć.
12029:  Wiele rzeczy można się powiedzieć.
12037:  Właśnie myślę, że gdyby Cybermax reklamował jako Looter Shooter, to by uniknęła ta gra wielu problemów.
12046:  Okej.
12049:  Czy to jest to miejsce, którego szukamy?
12052:  Oczywiście zaraz się okaże, że nie.
12054:  Nie, to nie jest to miejsce, którego szukamy.
12059:  Sekretne przejście.
12071:  Miało być obok kanału.
12075:  Drabina!
12077:  Oczywiście widzieli drabinę.
12086:  Tu w środku?
12088:  Czemu ja nic nie widzę?
12100:  W budynku zejście na dół.
12104:  Aaa!
12109:  Lekcja na przyszłość, używać pochodni albo kota.
12112:  Znaczy, kota nie lubię strasznie.
12119:  Okej, ma to sens.
12120:  Coś tutaj było do zlutowania?
12123:  Nie.
12125:  Okej.
12126:  Myśmy tu czasem nie byli kiedyś?
12128:  Oj, byliśmy.
12133:  Okej, to jest... Czyli tędy idziemy na pewno, czy tędy idziemy?
12136:  Bo to są dwie opcje.
12141:  Aha, tutaj się po prostu nie da przejść.
12143:  Czy może czas kupić okulary?
12148:  Ja mam, moi drodzy, okulary.
12153:  Ale nie wbliż, one są w dal.
12159:  Oho.
12162:  Zamknijcie oczy.
12171:  A, my i tak musimy z nimi walczyć.
12183:  Owszem.
12184:  I to dobre.
12204:  A owszem.
12210:  Dobrze.
12218:  Co tutaj są za rzeczy?
12219:  Aha, to są te cegłówki, które rozpierdzieliliśmy.
12224:  Widzę tu jakieś niebieskie, dziwne... ...refleksy, ale to jest tylko Fistech.
12233:  Dobrze.
12236:  Czy tutaj jeszcze coś jest?
12237:  Nie, musimy wyjść na górę.
12241:  Czy Wesemir tłumaczył, dlaczego pochodnie nie należy używać?
12246:  Być może.
12248:  Ja oczywiście nie słuchałem.
12250:  Czy to są wyprute jelita?
12262:  Strażnicy posiadłości Skuriela Juniora nie opanowali walki z wykorzystaniem drzwi, za którymi stoi popoprany magus ognia.
12272:  Będziemy zapisywać co chwilę, absolutnie.
12280:  Na tym poziomie trudności nie ma żartów.
12283:  Co tu jest?
12283:  Co tu jest ciekawego?
12287:  Okej, tu absolutnie nic nie ma.
12290:  Musimy przeszukać recy...
12292:  Nie recenzje, tylko rezydencje.
12295:  Okej.
12300:  Przeszukanie zawsze oznacza dla mnie zabieranie absolutnie wszystkiego, co się znajdzie.
12311:  Ale jednak musimy stąd wyjść.
12314:  Geralt, wychodź.
12319:  Tak, Geralt, tak, tak, oczywiście Geralt.
12321:  Myślę, że nieużywanie miecza, świetny pomysł.
12326:  Uuu, nie mamy filtru Petriego już.
12329:  To niedobrze.
12346:  Do góry... Też mi się wydawało, że do góry, tylko zastanawiałem się, gdzie są schody do góry.
12350:  Tu są schody w dół.
12353:  Muszę powiedzieć, że projekt tych pomieszczeń nie należy do najfortunniejszych.
12360:  Chyba, że tutaj są pro... Tu są schody w góry!
12363:  Krzysztof znalazł schody!
12365:  Cudownie.
12369:  Medytacja szybka.
12372:  Ja tam nie rozumiem grania na wysokim poziomie trudności i zmuszam je do zapisywania i wczytywania co 5 sekund.
12377:  Czuję tę zabawę, to prawda.
12379:  Nie no, myśmy... O Boże, co są te straszne sceny.
12382:  Myśmy to zrobili dlatego, że było za łatwo, wiesz?
12385:  Rzeczywiście w przypadku tych potworów ze zleceń to nie ma absolutnie żadnego sensu.
12398:  No tu się będą działy rzeczy.
12416:  No, los Skurwiela Juniora jest jeden możliwy.
12421:  Tu nie ma wahania.
12423:  Ja pierdolę!
12449:  Do mnie, kurwa!
12451:  Nikt tu nie przyjdzie.
12459:  Przestań!
12464:  Czego... czego chcesz? !
12478:  Dobrze, na razie gadamy.
12480:  Witaj, Junior.
12481:  Przyszedłem pogadać.
12482:  Zrobię wszystko, co chcesz.
12501:  I nawet nie wiem, jaki outcome ma opcja pacyfistyczna, bo nigdy się nie zdobyłem na nią w tej scenie.
12506:  Na początek zadam kilka pytań.
12508:  Wszystko powiem.
12509:  Szukam pewnej dziewczyny i Trubadura.
12511:  Wiem, że się z nimi widziałeś.
12513:  Dziewczyna?
12514:  Jaka kurwa dziewczyna?
12517:  Miała szare włosy i miecz na plecach, jak ja.
12520:  Tak, tak.
12521:  Była taka.
12522:  Pamiętam.
12528:  Teraz skup się i mów prawdę.
12530:  Wiesz, dlaczego nie możesz mnie okłamać.
12532:  Nie będę kłamał.
12535:  Przeszedłem bardzo długą drogę, żeby cię znaleźć.
12539:  Jestem bardzo zły i zmęczony.
12542:  Musiałem rozmawiać z ludźmi, z którymi normalnie nie chciałbym rozmawiać.
12546:  Część z tych ludzi próbowała mnie oszukać.
12549:  Nie podobało mi się to.
12551:  Czuję, że jeszcze jedno kłamstwo przelałoby czarę goryczy.
12555:  Byłbym jeszcze bardziej zły.
12558:  I zrobiłbym coś, czego bym później żałował.
12561:  Wiesz już, dlaczego nie możesz skłamać?
12563:  Macie rację, ta maska bardzo mocno psuje imersję, ale monolog jest genialny.
12571:  Interesuje mnie, w jaki sposób szarowłosa dziewczyna trafiła do ciebie i co się z nią stało.
12576:  Co się z nią stało?
12578:  To ona na mnie napadła!
12579:  Jeszcze raz skłamiesz i utnę ci jaja.
12582:  Hehehe.
12587:  Umowa była taka, że ja im naprawiam magiczne fila coś tam, a dziewuszka i Fircyk przynoszą mi skarb Zigiego Royvena.
12594:  Przynieśli, no to trochę się wkurzyłem, przyznaję.
12598:  I co zrobiłeś?
12599:  Złapałem tego ich przydupasa Dodo i czekałem, aż po niego przyjdą.
12604:  Zobacz, o, co chcieli zreperować.
12606:  Ja nie wiem, czy wylądowanie na ulicy jest straszną karą dla takiego człowieka.
12611:  Jak nie wiem, miałby się naprawić.
12614:  Nie ja, ale znam tu różnych ludzi.
12621:  Kręcisz, Junior.
12623:  Ja oczekuję konkretów.
12625:  Opowiem ci wszystko.
12626:  Wszystko po kolei.
12627:  Mam złe przeczucia.
12647:  Spokojnie, Jaskier.
12649:  Przecież nie zostawimy Dudu w rękach Skurwiela Juniora.
12653:  Wiem, ale moje przeczucie jest głuche na racjonalne argumenty i nie daje się zagłuszyć sentymentami.
12663:  Chiri!
12666:  Na pewno nam się uda.
12668:  Głowa do góry.
12670:  Słynne ostatnie słowa.
12672:  Dowiedziałeś się, gdzie dokładnie Skurwiel Junior przetrzymuje Dudu?
12676:  W pokoju na ostatnim piętrze, tym z balkonem.
12680:  Przejdę po dachach.
12682:  Ty czekaj na mnie przed domem Skurwiela.
12684:  Wiem, że to dla ciebie trudne, ale staraj się nie rzucać w oczy.
12687:  Jeśli zrobią ci krzywdę, ja nie daruję tego Skurwielowi.
12693:  Muszę wleźć na dach.
12698:  Przedostań się na dach.
12700:  Przynajmniej gra nas ukierunkowuje w stronę drabiny, dzięki czemu jest minimalnie prościej.
12708:  Również pewne deski są obsrane, dzięki czemu wiemy, że mamy na nie wchodzić.
12712:  Ale ja i tak dobrze wiem, żeby zapisać w trakcie.
12718:  Właśnie dlatego.
12725:  No dobrze.
12728:  Okej.
12731:  Jak to jest w ogóle ładnie.
12734:  Assassin's Creed Witcher.
12739:  W ogóle bardzo dużo jest muzyki, która nie została wypuszczona z Wiedźmina.
12744:  To jest jeden z wielu przykładów.
12745:  Zobaczymy, co w środku.
12751:  O, jeden, jedyny przypadek, kiedy wchodzimy przed okno.
12753:  Teraz, uczucie Ludodo, zamierzam zmienić narzędzie.
12756:  To już mi się znudziło.
12758:  Jesteś pierdolonym świrem, junior.
12761:  Mówił ci to ktoś?
12762:  Dużo zyskuje przy bliższym poznaniu.
12768:  Lubisz poznawać nowych ludzi?
12771:  Zamierzasz mnie komuś przedstawić?
12778:  O, jesteś.
12779:  To miło.
12780:  Albowiem czekałem na ciebie.
12782:  Uuuu...
12802:  Oko za oko!
12833:  To się może nie udać.
12863:  Nie, nie ma jeszcze nic pod Q. No nie.
12882:  Powiedziałbym, że w wypadku Ciri idzie nam zdecydowanie lepiej niż w wypadku Geralta.
12886:  Dobra.
12892:  Teraz z lewa zachodź, z lewa!
12906:  Chodź z lewa!
12906:  Nie otrzymamy!
12921:  Dobra, robię Q i niestety nic nie ma.
12924:  Smutna sprawa.
12925:  Chyba, że... Nie, mignięcie tylko mamy.
12950:  Powiadasz?
12954:  Trzeba przytrzymać, mówicie?
12956:  Dobra.
12957:  Jeszcze będziemy mieć czas, mam nadzieję, przetestować.
12964:  Nie, nie będziemy mieli.
12967:  Jestem razem.
12970:  To dziwne.
12977:  Do zobaczenia, Moniko.
12978:  Powodzenia w walce z migreną.
12983:  Nie, to jest najwyższy poziom toności.
12984:  W tej chwili mamy powyższony wręcz.
12986:  Co się potem stało z dziewczyną?
12988:  Chuj ją wie.
12991:  Któryś z chłopaków zranił ją w plecy.
12994:  Ale ona żyje, przysięgam.
12997:  Chcecie zdecydować o rosach skurwiela juniora?
13001:  No rozważam, rozważam.
13002:  Powiedziałem ci wszystko, co wiem.
13005:  Wszystko.
13006:  Skrzywdziłeś dziewczynę, której szukam i torturowałeś jej przyjaciela.
13010:  Napadła na mnie.
13011:  Musiałem się bronić.
13015:  Ok.
