Noc Długich Pazurów — WITCHER 3 Livestream #22
🔗 https://www.youtube.com/watch?v=J4cSjj_WcAQ

1:  Witajcie w Królestwach Północy.
11622:  Ponoć Elsa spędzała w nim całe swoje życie.
11624:  Ludzie mówią, że w amfiteatrze straszy i dlatego nigdy już nie wystawia się tam sztuk.
11628:  Ponoć każdy, kto spróbował zagrać rolę Elsy na deskach teatru, ginął w niewyjaśnionych okolicznościach.
11633:  Gadanie.
11634:  Nawet jeśli tam straszę, to wierzę, że duch Elsy da mi błogosławieństwo.
11639:  Zapalę świecę.
11642:  Pierwszy płomyk za chłopca, dziecko nieledwie, co w polu bitewnym w samo południe rażony skonał bez jęku.
11648:  Druga za tego, kto klejnoc na studni złowić chciał dla mnie i nie wypłynął już nigdy do świata.
11652:  Trzeci za męża, pięknego jak posąg, jak głaz zimnego, co samu zostawił i w ciemność odszedł.
11658:  Zmarł bezimny, w lesie zgubiony.
11660:  Czwarta za tego, co pięknie kochał, gorąco pocieszał i w ogniu spłonął.
11663:  Piąta za ciebie, mój kochany, druhu wierny.
11665:  Mężu nieszczęsny, toczony chorobą, tyś w grobie najpłytszym płoną już świece piękne i białe.
11670:  Mężczyźni, chłopcy, mężowie moi, kocham was wszystkich, a oto wino.
11673:  Wypiję i nim waszą pamięć uświęcę.
11675:  Zadanie?
11676:  Zadanie?
11676:  O mój Boże.
11697:  Czy ja dobrze rozumiem, że trzeba zapamiętać kolejność zapalenia tych pieprzonych świec?
11701:  Ech... Chłopca, dziecko, nie ledwie co w polu bitewnym w samo południe rażony skonał bez jęku.
11712:  W samo południe, w polu.
11714:  Chłopiec.
11715:  Czy tu jest gdzieś jakiś chłopiec?
11718:  Zbadaj.
11719:  Chyba muszę cofnąć się po jej śladach.
11722:  Aaa!
11723:  A potem zapalić świeczki w tej samej kolejności.
11726:  Dlaczego ja tutaj słyszę jakiś bełkot?
11729:  Dobrze.
11731:  Ślady.
11733:  A, cofnąć się po jej śla... O nie, to jest trudne!
11737:  Dobrze, to chyba będzie, to chyba będzie pierwsze.
11742:  A, mi się wydaje, że to będzie pierwsze.
11749:  Dobrze.
11750:  Czy jest zapalona?
11751:  Tak, jest zapalona.
11753:  Tup, tup, tup, tup, tup od bosych stóp.
11759:  Tup, tup, tup, tup, tup, tup, tup od bosych stóp.
11763:  Jest.
11765:  Tup, tup, tup, tup, tup od małych stóp.
11767:  Jest.
11770:  Tup, tup, tup, tup.
11779:  Gotowe.
11780:  Jest!
11780:  Teraz muszę wypić winioz.
11784:  Udało się!
11791:  Vilacra!
11793:  Vilacra!
11794:  Vilacrac!
11796:  Vilacruc!
11798:  Gdzie jest to wino?
11801:  Czy to jest przedmiot fabularny?
11804:  Tak!
11806:  Gulgul?
11809:  Będę bardzo sprytny i inteligentny, to znaczy już nałożę olej na upiory.
11825:  Gera... O nie... Czy to będzie... Nie mówcie mi nawet.
11836:  O tak, to będzie to samo.
11840:  O, to b...
11842:  Co? !
11845:  Upiór płonie!
11847:  Upiór płonie!
11848:  Czaty!
11849:  Czaty!
11850:  Ile było, ile było naigrawania się z Krzysztofa?
11853:  No!
11853:  Ho, ho, ho, ho, ho!
11855:  Co się wybierasz na upiora?
11856:  Upiory nie płoną!
11857:  Upiór płonie!
11860:  Upiór płonie!
11862:  Pięknie płonie, ślicznie płonie!
11865:  Proszę bardzo!
11866:  Proszę bardzo, jak płonie!
11870:  Proszę, proszę, proszę bardzo!
11873:  Eteryczność my ass!
11876:  Szkielet?!
11877:  To jest pierwszy szkielet w Wiedźminie!
11879:  Skąd tu się wziął szkielet?!
11881:  Ze szkieletami się walczy na początku RPGa!
11885:  Ja nawet nie użyłem żadnych mikstur!
11888:  A upiór płonie!
11901:  Wyjątek potwierdza regułę.
11910:  Okej.
11913:  Ukryta skrytka.
11914:  Mmm, ukryta skrytka jest ukryta.
11919:  Ja, wiecie, gdzie ja myślę, że będzie ta skrytka?
11922:  Na pewno nie na górze.
11924:  To będzie na dole.
11925:  Tutaj będzie.
11925:  Tu będzie ta skrytka.
11926:  Na tysiąc procent będzie tutaj ta skrytka.
11928:  Musi być.
11929:  To będzie się zamiesz... Przypomnijcie mi, żebym się nigdy nie zakładał.
11941:  Nie, nie wolno, nie wolno mi się zakładać.
11944:  Żaden hazard, nic z tych rzeczy.
11947:  Skrytko!
11948:  Hop, hop!
11949:  Skrytko?
11951:  Skrytko?
11953:  Gdzie jest przeklęta skrytka?
11962:  To wygląda mi na miejsce, gdzie mogłaby być skrytka.
11964:  Nie ma skrytki.
11965:  Nigdzie nie ma skrytki.
11966:  Co za oszustwo!
11969:  Czemu na mapie nie dostajemy żadnej podpowiedzi?
11973:  Co, przepraszam?
11979:  Oreny?
11983:  Baba wodna!
11987:  Zastanawiałem się, co to jest za bełkot.
11996:  Dzień dobry!
11997:  Już nas obrzuciła gównem.
12006:  Jedyny zakład, który cię obowiązuje, to Zakład Ubezpieczeń Społecznych.
12010:  Coś w tym jest.
12011:  Coś w tym jest.
12012:  Faktycznie, piękny widok na Bokler, macie rację.
12014:  Dobra, gdzie jest ten pieprzony, głupi mieczyk?
12022:  Albo cokolwiek innego, co jest w ukrytej skrytce.
12025:  Znaczy, gra oczywiście nas kieruje w to miejsce, prawda?
12028:  I wszyscy wiemy, że to jest błąd.
12036:  Może, może jest tak, że to jest tutaj.
12044:  Aha.
12044:  Quick thinking, nie.
12046:  Oczywiście, że nie.
12054:  Grabka pisze, popełniłem błąd na metodę badań medioznawczych, zdecydowałem się na dokonanie alizy porównawczej Motelu Polska i Google Box przed telewizorem, zobaczyłem zaledwie 3 minuty i już rzygam.
12062:  O jak współczuję, o jak współczuję.
12065:  Jest w ścianie za kratami?
12068:  Ściana za kretami.
12071:  Ściana... Jest!
12076:  Jest!
12077:  Tak!
12078:  Tak!
12082:  Czaty, jesteście genialni.
12084:  Jesteście genialni.
12085:  Bardzo dobrze.
12086:  Co za radość.
12087:  Zakurzony pamiętnik.
12092:  Obawiam się, że z aktorką nie było dobrze.
12096:  Dobrze, następny pytajniczek.
12100:  Następny pytajniczek jest tutaj.
12101:  Warto tu było przyjść, ale wciąż nie ma żadnej bestii, czyli brakuje nam jednej bestii do zleceń kamerariusa.
12109:  Pochodnia jest przyjacielem Geralta, absolutnie tak jest.
12113:  Gdzie jest płotka?
12114:  Tu jest płotka, dobrze.
12117:  Dobrze, ogarniemy te pytajniczki i potem lecimy do serc z kamienia.
12123:  Błędny rycerz w potrzebie, a płotka się glitchuje.
12128:  Płotko, przestań się glitchować.
12131:  Trzeba pomóc błędnemu rycerzowi w potrzebie.
12133:  Nie wiem, jakim cudem w ogóle ten rycerz przegrywał z trzema bandytami, ale co tam.
12155:  Zakutego rycerskiego łba, naprawdę to powiedział?
12169:  Myśmy wypełnili tym samym kontrakt.
12170:  A, czyli to... A, rozumiem.
12173:  Czyli to nie były tylko zlecenia na potwory.
12175:  Świetnie.
12176:  Ostatni pytajniczek wtedy.
12180:  Bardzo dobrze, że nasi sojusznicy mają odporność na ogień.
12182:  To byłoby wyżoce niefortunne, gdyby nie mieli.
12185:  Kłodko.
12186:  Uciekaj stąd, tu są komary.
12188:  Komary będą cię tnąć w zadek.
12193:  O tak.
12195:  Geralt, jedź tym wąwozem, homole.
12201:  No Geralt, błagam, jeszcze troszeczkę, tak, tak!
12209:  Życie, życie... Życie jest ciężkie.
12213:  Przydałby się portal.
12215:  Przydałby się portal, naprawdę?
12218:  Gwerwan jak Diogenes chodzi z zapalonią pochodnią w dzień, coś w tym jest.
12226:  Uuuu!
12227:  Wiwerna!
12229:  Wiecie, dlaczego to jest dobra wiadomość?
12231:  Wiwerny płoną!
12237:  O tak!
12240:  Aaa!
12242:  Taaaak!
12244:  Płoń!
12246:  Płoń, wiwerno, płoń!
12251:  Cudownie!
12252:  Cudownie, wspaniale, doskonale!
12261:  O. Ciekawe rzeczy.
12262:  Czemu tu jest tak dużo wąwozów?
12266:  Czemu tu jest tak dużo wąwozów?
12267:  Niesamowite.
12271:  Jesteście lepsi niż solucja na grach online.
12273:  Potwierdzam.
12296:  Nie!
12298:  Znowu grawitacja!
12300:  Jeżeli kiedykolwiek dotrwamy do Soulsów, to gwarantuję wam, że to będzie pierwszy i podstawowy czynnik, który będzie śmiertelny całkowicie i w stuprocentowo.
12312:  Już wiemy, po co tę wąwozę, tak, tak, zemsta gier online, tak.
12317:  Schakowano strumyk, bo szkaluje się ten skądinąd zacny serwis.
12323:  Wiecie, że Encyklopedia Gier Online to jest fizycznie jedyny taki projekt w Polsce?
12327:  Znaczy, żaden nigdy naukowiec, żadne wydawnictwo nie wpadło na pomysł, żeby... żeby być może fajnie byłoby robić taką encyklopedię gier, nie?
12337:  Miejsce mocy.
12337:  Pomysł, żeby zaczerpnąć.
12360:  Art została, Art naprawdę, naprawdę, naprawdę, po, na, na, na, na jasny ujmie Art!
12373:  Jeszcze, jeszcze za karę.
12374:  Ciekaw jestem, czy tu się możemy dostać do tej winnicy.
12383:  Kapliczka Aart.
12386:  Jeszcze kapliczka do tego.
12387:  Jeszcze może bym się miał pomodlić do znaku Aart.
12392:  Serio?
12393:  Serio, Geralt, serio?
12400:  Ja w nowej grze plus Piszczotomex nie dostaje punktów za miejsca mocy?
12404:  Uuu, a to dziwne.
12405:  To dziwne, to musi być jakiś bug i to poważny, bo... No, myśmy dostali 3 punkty.
12411:  I teraz pytanie, bo był gdzieś, była gdzieś zdolność.
12416:  Podnosi próg zatrucia eliksirami.
12421:  75-80%, zwiększona tolerancja, to jest to, co powinniśmy mieć.
12424:  Nieodporność nabyta.
12427:  Chociaż każda znana, a nie, z poziomu pierwszego.
12433:  Każdy zażyty odwar zmiększa maksymalną żywotność.
12435:  Niepotrzebne.
12437:  Niepotrzebne.
12440:  Nie.
12444:  Nie.
12446:  Nie.
12449:  To jest do petard.
12452:  To jest z kolei do olejów.
12454:  To jest do ważenia miksu.
12455:  Zażycie... Nie.
12457:  Efekty miksu nie znikają.
12458:  Znaczy to jest dobre, ale... Dobra, to.
12463:  Mówicie, że nabyta odporność?
12466:  Lepsza.
12467:  Każda zdana receptura alchemiczna z poziomu pierwszego.
12470:  A my znamy dużo tych odporności.
12474:  A, odporność nabyta jest mocniejsza.
12475:  Dobra czaty, dobra.
12480:  I teraz tak.
12482:  I teraz tak.
12483:  Czego się pozbywamy?
12489:  Myślę, że się możemy pozbyć sugestii na tym etapie z dialogów.
12495:  Bo chyba wszystkie, tak, wszystkie dotyczą albo znaku Yrden, albo znaku Quen i nie chciałbym się pozbywać ich za bardzo.
12505:  Rytualnie strumienigny go najrzadziej używamy, ale czasem jest przydatny, więc... No, tak.
12517:  Jest i odporność nabyta, dobrze.
12521:  Uff, dobranoc misjesionko, dobranoc.
12524:  Marzeniem misjesionki jest wyspać się w weekend.
12527:  Dobranoc, dobranoc.
12529:  Jamnik na noc.
12533:  Sugestia, sugestia by się przydała w dialogach, ale z drugiej strony dziś mieliśmy ten... Dziś była ta zdolność z kapliczek utrzymywania się.
12544:  Nie, nie, tego nie mamy, to mamy wyłączone.
12548:  Tak, wydaje mi się, że wszystkie znaki, które...
12552:  Przecież z drugiej strony zastanawiam się nad znakiem quen.
12561:  To jest quen leczniczy, on jest nam potrzebny, ale może właśnie rozładowanie quen nie byłoby jakieś takie przesadnie potrzebne nam.
12571:  Dobra.
12574:  Bo sugestia regeneruje nam wytrzymałość w walce.
12576:  To jest bardzo dobre.
12581:  Rozładowanie quen się przydawało bardziej przy zbroi niedźwiedzia, mam wrażenie.
12586:  Strumień igni zostawiam z uwagi na to, że muszę mieć jakiś sposób na wytrącanie tarcz.
12596:  Quen, twój przyjaciel.
12598:  Pantera bardzo... bardzo groźna pantera jest, ale nie tak groźna jak wilki.
12605:  Spamować... spamować spacy jak się spada, to się przeżyje?
12608:  Poważnie?
12612:  Nie znałem tego.
12614:  Nie znałem tego.
12618:  Nie wiem czy, ale, ale Ard też wymagałby tego, żebyśmy wrzucili to, a nie wrzucę zamiast strumienia Igni Ardu, musiałbym bardzo, bardzo upaść.
12628:  Bardzo nisko.
12630:  Dobrze.
12636:  To jest znowu ten moment, kiedy muzyka w Wiedźminie zapomniała, że ma być odpalona.
12641:  Ja wam dam szkalowanie Igni na czatach.
12644:  W nowej grze Plus można około 300 zatrucia mieć.
12647:  Właśnie, ciekawe jestem, jak teraz będzie, jak zażyjemy wszystkie nasze mikstury.
12651:  Nie, no to w ogóle to wszystko zmienia!
12656:  Mogę trzy razy je zażyć teraz!
12658:  Ło, panowie i panie!
12663:  I cała reszta, moi mili, to jest rewelacja!
12669:  To jest absolutna rewelacja.
12671:  No to tak.
12673:  Teraz można zażywać otwary.
12677:  Teraz można zażywać otwary wreszcie.
12681:  O tak.
12683:  O tak.
12691:  Czym?
12691:  Podmienić odporność nabytu z niebieskim treetem.
12693:  Nie można tego zrobić.
12695:  Patrzcie.
12697:  Te cechy wszystkie mają albo zielony, albo czerwony ogranicznik.
12702:  Nie można innych dawać tutaj, niestety.
12704:  Więc ja bym bardzo chętnie miał tutaj coś innego, ale niestety się nie da.
12708:  Tak samo tego się nie da przerzucić.
12710:  Więc tutaj tracimy moc znaków.
12713:  Trudno.
12720:  Cóż za, cóż za piękne okoliczności przyrody.
12724:  Jest i winko, jest mostek.
12727:  Pora będzie szybko zmienić to, jak oddamy zlecenie kamerariusowi, to wtedy nurzę do welen.
12739:  Chodzi o mutagen?
12740:  Co z mutagenem jest źle?
12743:  Nie no, mamy, mamy wszystkie mutageny te, które potrzebujemy.
12750:  Z brązowych nic nie usuniemy, bo Szkoła Gryfa jest idealna.
12754:  Witamy Uriotivi w gronie Trybutariuszy.
12756:  I Kontrola Gniewu też jest kluczowa do tego buildu.
12759:  Więc niestety nie jesteśmy w stanie nic z tym zrobić.
12762:  I Zielony Mutagen, no, no, no, no.
12765:  10% znaków jest ważne.
12768:  10% znaków jest bardzo ważne.
12770:  To nie jest to samo co 40, ale zawsze plus 10.
12772:  Okej, i, i, i, i, i, i...
12780:  I tu, przy leneczku głównym.
12787:  Co tu tak błękitno?
12788:  No ha ha ha ha.
12789:  Bo to, bo to build magiczny.
12792:  Bardzo go pożałujemy wprawdzie przy walce z Detlafem, jak znam życie.
12796:  Ale cóż, czegoż się nie robi.
12798:  Jaki stan Skellige?
12799:  Myślę, że jutro będzie stream pytajniczkowy na Skellige.
12803:  Trzeba, trzeba dokończyć Skellige.
12807:  Absolutnie trzeba dokończyć Skelligę.
12809:  Jutro się czuję bardzo questowo i eksploracyjnie.
12816:  Jesteśmy oto i u Kamerariusa.
12827:  Nowy Trybutariusz cały na biało i jamniczy, pisze UrioTV.
12831:  Jamnikodzierżcy wiecie, co zrobić, prawda?
12834:  Witajcie w naszym szlachetnym gronie UrioTV.
12838:  Aż na tę okoliczność zagramy sobie w gwinta.
12841:  Dawno nie było gwinta.
12843:  Proszę, witamy Norberta na czatach.
12845:  W ten sposób ujawnił się.
12848:  Może zagramy w gwinta.
12850:  Właśnie.
12856:  Dowódca.
12857:  Czy nie możemy innego dowódcy?
12859:  Możemy.
12860:  Obejrzyj trzy losowe karty.
12863:  Blokuje umiejętność dowódcy.
12865:  Wybierz kartę z...
12868:  Aaa!
12871:  To ciekawe.
12873:  To nie jest głupie.
12878:  To nie jest głupie, mi się podoba.
12879:  Nie wiem tylko, czy nie potrzebujemy czegoś innego.
12892:  Nie, nie widzę nic, co by nam się mogło jakoś epicko przydać.
12898:  Jeszcze trzy minuty, odliczacie.
12902:  Nie no, niezabijalność jest absolutnie kluczowa, bo właśnie, nie, tak jak pisze Stoben Frost, oszczędza czas, który musielibyśmy poświęcić na oglądanie przerywników, tak.
12911:  Tak jest właśnie, o świetnie jest Gaunter, dobrze.
12914:  Są szpiedzy, świetnie, podoba mi się to.
12916:  Podoba mi się to, co tutaj widzę w tej talii.
12920:  Nic nie wymieniam.
12922:  Czemu gram Nilfgaardem?
12923:  A, jakoś teraz się... jakoś się tak zapaliłem do grania Nilfgaardem.
12927:  Nie wiem dlaczego.
12928:  Graliśmy Królestwem Północy, ale się przełączymy następnym razem.
12932:  Jest trochę weselej.
12935:  A, jaki chytry, chytry, chytry.
12939:  Co polecacie po przeczytaniu Wiedźmińskiej Sagi, pyta Kinga.
12941:  Opowieści z mechańskiego pogranicza Roberta Wegnera będą najbliższe temu.
12948:  Ale Krzysztof Gaunter jest straszną kartą.
12958:  Wybalej Gauntera.
12967:  Aaaa, bity gwinta, wspaniałości.
12980:  Populacja szpiegów zwiększa się.
12987:  Nie znam kasio rosyjskiego żartu o niedźwiedziu, ale witam cię na czatach.
12991:  Aaa, tak, nasz, nasz korpulentny... Jak on się nazywał?
13002:  Szpieg?
13002:  Nie pamiętam, jak się nazywał.
13003:  Oni wszyscy mają takie, takie imiona, że one są niewymawialne dla mnie.
13010:  Kolejny szpieg, wspaniałości.
13019:  To jest Lira Korbowa?
13020:  Dzisiaj już kilka razy mi mówiliście, że to jest Lira Korbowa, ja to jeszcze wiele razy zapomnę.
13029:  Zobaczymy, co zrobi.
13033:  Stefan Skeller z sagi, okej.
13035:  Niby Dijkstra.
13037:  Ale będzie wskrzeszania szpiegów!
13039:  Ojej, ojej, ojej, ojej, ojej, ale będzie wskrzeszania szpiegów.
13043:  Durny ten nasz przeciwnik.
13045:  Tak stwierdzam.
13051:  Dobrze.
13054:  No to zaczynamy.
13063:  Kończę Mesjasza Duny, zastanawiam się czy czytać Dzieci Duny pyta Red Angel, czy zrobić sobie przerywnik i przeczytać coś innego.
13070:  Jak do Mesjasza dotrwałaś, to... Kto wie, można poczytać te, bo później już są tylko z tego co... Nie, jeszcze jest kapitularz Duną przecież.
13081:  Te dwa ostatnie tomy Chronic Duny są już dziwne.
13085:  Nie, żebym chciał zniechęcić jakoś.
13089:  O, tak.
13090:  Tą barkę.
13091:  Tak, tak, absolutnie.
13102:  My i tak teraz wskrzesimy sobie więcej szpiegów.
13105:  Ile mamy szpiegów w zanadrzu?
13106:  Mamy mnóstwo szpiegów w zanadrzu.
13121:  Bóg, imperator, diuny, heretycja i kapitularz to jeszcze.
13124:  A, okej, okej.
13125:  Byłem przekonany, że dzieci diuny są później.
13128:  To Bóg, imperator jest fajny.
13129:  Ja na Bogu, imperatorze skończyłem.
13131:  To oznacza, że przeczytałem cztery tomy diuny, a nie trzy, jak myślałem.
13134:  Ciekawe.
13135:  Taka konsekwencja binge'owania.
13138:  Uuu.
13141:  Kusi, ale zrobimy inteligentniej, eee... Zrobimy inteligentniej, zrobimy bardzo złośliwą rzecz.
13154:  Będzie krowa.
13160:  No, talia się nam zaraz kończy, to prawda, ale za to mamy mnóstwo kart.
13163:  Na przykład taką fajną kartę mamy.
13175:  Aha.
13176:  Tak, tak, tak, tak.
13176:  O to chodziło.
13179:  Dobrze, dobrze.
13182:  Dobrze.
13182:  Dobrze.
13184:  To my sobie Krówsko przywołamy.
13186:  Witam, ja mam jako muzykanta.
13187:  Moja opinia o serii Bioshock?
13189:  Bioshock Infinite najlepszy.
13191:  Dodatki?
13191:  Eee.
13192:  Pierwszy i drugi spoko.
13193:  Okej.
13207:  Co będzie najinteligentniejsze teraz?
13211:  Wiem, co będzie najinteligentniejsze.
13213:  Otóż to.
13230:  Dobrze.
13231:  Dobrze.
13241:  Okej.
13245:  Okej.
13252:  Ciekawi mnie jedna rzecz.
13257:  Co teraz mógłby być pas?
13260:  Chyba pas będzie najlepszy.
13261:  Chociaż zastanawiam się jeszcze nad tym.
13263:  Bo z drugiej strony... No pas chyba.
13267:  Pas, pas.
13273:  Mój stosunek do Metroidvanii?
13275:  Ambivalentny.
13277:  Ja mam... No, chyba tak.
13280:  Mam wrażenie, że ten nostalgiczny stosunek do gier starego typu, który jest widoczny w tych seriach jest... Nie przemawia do mnie trochę.
13291:  Podobny mam problem z roguelike'ami, podobny mam problem... Z czym jeszcze ja mam taki problem?
13296:  Z niektórymi Interactive Movies mam taki problem.
13299:  Niektórymi.
13303:  Gdzie kupuję książki papierowe najczęściej?
13305:  W księgarniach.
13305:  Jeżeli mam kupić książkę papierową, to stacjonarnie zwykle, bo chcę wtedy ją zobaczyć.
13311:  A jeśli nie, to zwykle stawiam na jakąś księgarnię internetową całkowicie losową.
13316:  Zwykle jest tak, że też kupuję u wydawcy bezpośrednio.
13323:  Zobaczymy, czy mam Pożogę.
13326:  Hollow Knight znany.
13328:  Among Us... O, właśnie, to nie jest totalnie gra mojego typu.
13335:  Okej, co my tutaj ciekawego mamy?
13339:  Mamy dużo ciekawych rzeczy, ale samych szpiegów głównie.
13344:  Okej.
13347:  Okej.
13350:  Ale mamy jedną kartę, więc w sumie jeden szpieg by nam się przydał.
13359:  Weźmy jakiegoś najtańszego.
13371:  Aaa, tak!
13372:  Tej karty brakowało.
13375:  Czemu wydawcy?
13375:  Żeby pieniądze poszły bezpośrednio do wydawcy, nie do pośrednika.
13380:  Co sądzę o Black Mirror Bandersnatch?
13381:  Bardzo lubię.
13382:  W ogóle bardzo lubię uniwersum Black Mirror i Bandersnatch absolutnie jest jedną z tych rzeczy, która sprawia, że to jest jeszcze lepsze.
13393:  Co więcej, właśnie jako Interactive Movie się to sprawdza o tyle, że jest po prostu na Netflixie i nikt nie udaje gry komputerowej, prawda?
13408:  To był dziwny efekt.
13414:  No proszę, no proszę.
13417:  Umiejka dowódcy.
13418:  Jaka jest umiejka dowódcy?
13420:  Zapomniałem o umiejce.
13421:  Jest wyszarzona.
13422:  Nasz przeciwnik ją blokuje.
13440:  Żeby nie było, ja grałem w Among Us, studenci mnie namówili, ale... nie dla mnie.
13448:  Okej, teraz musi użyć... a nie, nie użyje Pożogim, a sam... okej.
13455:  Interesujące rzeczy tu się dzieją, muszę powiedzieć.
13461:  Interaktywność Bandersmatcha to wydmuszka?
13464:  Tak, ale myślę... znaczy to nie był dla mnie system seller Bandersmatcha, mi się bardziej fabuła podobała.
13470:  W której zakładce na Discordzie można znaleźć wykład Arcymagusa dla nauczycieli?
13474:  Kalendarz streamów, nieintuicyjnie trochę, no bo to było jako livestream na giechu prowadzone.
13478:  Mniej więcej tak w połowie wchodzi chyba.
13481:  Nie wiem, po dwóch, trzech godzinach, coś takiego.
13486:  Nier Automata jest przede mną jeszcze.
13488:  Widziałem tylko na YouTubie, ale chciałbym tego doświadczyć bardzo.
13494:  Wazon właśnie też myślałem o tym, żeby się zabrać za te książki w uniwersum Franka Herberta, te, które pisał jego syn razem z Andersonem, ale jeszcze nie.
13504:  Jeszcze nie miałem czasu na to.
13508:  Mamy porówno kart.
13515:  Liczę na to, że będzie mieć róg dowódcy.
13519:  Bardzo na to liczę.
13524:  Powoli nam się kończą opcje.
13528:  Hogwart Legacy będę ogrywał na pewno.
13531:  Soczysta sprawa.
13533:  Ale jest wyrównany.
13544:  Dobra, walnijmy te pożogę.
13547:  Pożałuję tego.
13555:  Dobrze.
13555:  Zaszkodził tym sobie.
13557:  Świetnie.
13559:  Świetnie.
13563:  I co masz na koniec?
13564:  Co masz na koniec?
13565:  Pożogę?
13566:  Pożogę ma!
13569:  Dobrze!
13570:  Bardzo dobrze!
13574:  To jest powód, dla którego lubię czasem zalgać Nilfgaardem.
13576:  Jest emocjonująco.
13580:  Witamy Jakubę Religę, proszę bardzo, w imieniu naszego Zbawcy Imperatora Ludzkości, doceniam odniesienie Warhammerowskie.
13591:  I oto, i oto za nami, jeszcze mamy mnóstwo kart z Kedigę, ale teraz Wieś Bronowic, Róża na Czerwonym Polu, wracamy do czyszczenia questów z Velen, z dodatku Serca z Kamienia, bowiem wszystko, co było do zrobienia,
13606:  Tu są.
13607:  Prawie.
13608:  Zostało zrobione.
13609:  Nie umiem znaleźć znacznika.
13612:  Tu jest znacznik.
13614:  Sądzę o firmie i grach Nintendo.
13615:  Nie grałem w życiu... Trzymajcie się.
13618:  W życiu nie grałem w żadną grę Nintendo.
13620:  Nigdy.
13622:  Ale to jest dlatego też, że Nintendo mam wrażenie się ładnie parują z handheldami, konsolami przenośnymi, których nie mam.
13632:  No i druga kwestia, to są, mam wrażenie, takie... To nie są gry, w które ja miałbym imersję.
13638:  Ale nie chciałbym przesądzać tego, no bo tak jak mówię, nie znam, więc trudno mi się wypowiadać.
13643:  O, tak, Nowigrad.
13644:  Dawno tam nie byliśmy.
13647:  Gdzie jest wieś Bronowic?
13650:  Tu jest strzeżony skarb.
13652:  Mamy nieodkryty strzeżony skarb wsi Łukowiec.
13655:  Czemu mamy nieodkryty strzeżony skarb wsi Łukowiec?
13661:  Nie wiem, dlaczego tak jest.
13665:  Odczarowanie umy nie było łatwe.
13667:  Jest i uma.
13667:  Ale powiodło się.
13668:  Dzięki połączonym wysiłkom Yennefer i wszystkich... Widzikamy Dominikę na czatach.
13672:  Dominika pyta, kiedy będę grał w Red Dead Redemption i mogę się doczekać ciebie w tej grze.
13676:  Powiedz mi nie.
13677:  ...lecz owym elfim czarodziejem, który towarzyszył Ciri w ucieczce przed dzikim gonem.
13682:  Avalach, bo pod takim mianem był znany, zdradził Geraltowi, że Ciri przebywa w ukryciu na Wyspie Mgieł.
13689:  Czy widziałem kiedyś plan dnia Alberta Einsteina, potem Maximiliana?
13693:  Jeśli nie, to mniej więcej tak.
13694:  10 godzin snu i kilka drzemek w ciągu dna, oczywiście przeplatane pracą.
13697:  To brzmi bardzo jak mój plan dnia!
13700:  Szanuję.
13702:  Zawsze powtarzam, sen jest najważniejszy.
13707:  I odpoczynek.
13709:  Dobrze zregenerowany mózg wymyśla dobre rzeczy.
13717:  Czy robiliśmy quest rekonstrukcja?
13719:  Nie pamiętam, czego dotyczy ten quest.
13722:  Pewnie, że grany był Skyrim, pewnie i to wiele razy.
13724:  W Skyrimie mam utopione mnóstwo godzin, chociaż od pewnego czasu już nie mówię, jak dużo, bo okazało się, że to moje dużo, czyli jakieś 700, to wcale nie jest tak dużo, jak może być.
13737:  Ale mam wrażenie, że odkryłem tam każdy centymetr.
13743:  Tak, na Discordach wysyłaliście mi informację o tym, że nauczyciel pisał uwagę uczniowi dlatego, że uczeń zamieścił małpę przed jego nazwiskiem.
13752:  Nie wiem, jakim trzeba być kretynem, żeby coś takiego zrobić, ale nie, przecież to nie jest czysty kretynizm.
13757:  To jest także technofobia, ponieważ jeżeli się jest w internecie dłużej niż godzinę, to już się wie, że w takich, a nie innych celach używa się rzeczonego znacznika, prawda?
13775:  O, zakon Płonącej Róży ma nową siedzibę?
13785:  Niczego sobie.
13787:  Słuchaj, no przybłędo.
13789:  Nie wiem, co tu robisz, ale mam dla ciebie radę.
13792:  Wracaj, skąd przyszedłeś.
13795:  No, czego jeszcze tu sterczysz?
13797:  Mogę wam ci wypłazować?
13807:  Nie podoba mi się twój ton, bracisku.
13811:  Dziwne, bo w sumie byłem grzeczny, ale koniec z uprzejmościami.
13815:  O, to dobrze, dobrze, dobra wiadomość.
13821:  Dobra wiadomość, bardzo dobra wiadomość.
13826:  Płonąca róża płonie.
13828:  Rzekłbym adekwatnie.
13831:  Jedna jest mało adekwatna, to znaczy brak irden.
13847:  Grzegorz pisze, właśnie dowiedziałem się, że na szczyt klimatyczny COP26 przyjechało 400 prywatnych odrzutowców.
13854:  Ekohipokryzja pełną gębą.
13855:  Tak, moja dyplomantka teraz pisze pracę magisterską o greenwashingu.
13861:  Takich rzeczy jest bardzo dużo.
13863:  Jedna z takich bardziej przyziemnych i zabawnych, te, wiecie, te wszystkie pudełeczka, znaczy pudełeczka, bo Krzysztof ogarnie się, kubki na kolejne tego rodzaju napoje w KFC czy McDonaldzie,
13875:  Jest, jest, jest papierowa słomeczka, która się rozpuszcza oczywiście od napoju dowolnego.
13881:  Jest papierowy kubeczek, ale oczywiście jest, co?
13883:  Pewnie, że jest plastikowe wieczunio.
13885:  No musi być plastikowe wieczunio, naturalnie.
