Pół wieku eksploracji później — WITCHER 3 Livestream #12
🔗 https://www.youtube.com/watch?v=2a46pkxu55E

2:  Witajcie serdecznie
11832:  Ale zapamiętaj.
11834:  Zabijesz jeszcze kogoś z Arrynbjörn, to własnoręcznie ukręcę ci łeb i powieszę nad paleniskiem.
11840:  Niech to, mór twój,
11851:  Jaki mam stosunek do niedokładności adaptacji?
11854:  Uważam, że adaptacja z przeżytkiem powinna się rozszerzać świat w kolejnym medium, a nie adaptować.
11858:  Więc nie obchodzi mnie to przez zmienione wydarzenia fabularne tak długo, jak jest dobre światotwórstwo.
11864:  Gdzie jest fantasy zmieszane z SF?
11866:  Grzędowicz, Pan od owego ogrodu.
11867:  Proste.
11870:  Czy znam jakąś książkę, serial lub grę związane z Litwą?
11872:  Pyta ozdoba.
11873:  Tak, Andrius Tapina z Wilcza Godzina.
11876:  Dobre fantasy steampunkowe.
11878:  Szukam jakiegoś polskiego zagranicznego pisarza sci-fi, czy polecę coś?
11882:  Neil Stevenson.
11884:  Albo... Sixin Liu.
11888:  A jeśli chodzi o polskiego?
11889:  Rafał Kosik.
11890:  Vertical, Mars, Easy.
11896:  Nie, raz efekt snoba, dwa po prostu tego nie znają.
11898:  To jest coś, co akurat udowodniłem na swój własny rachunek i po prostu posprawdzałem kto co zna.
11916:  I się okazało, że nie znają, po prostu.
11918:  Moja promotor magisterium nawet nie znała nazwy wydawnictwa MAG, więc wiecie, jako literaturoznawczyni.
11929:  Wróćmy do tej klątwy, co?
11935:  Co czytam poza fantastyką?
11936:  Nic.
11942:  Co?
11946:  Nie chciałem tutaj... Nie chciałem się tutaj teleportować.
11949:  Nic nie czytam poza fantastyką, bo szkoda mi czasu.
11953:  Wolę sobie obejrzeć dokument na Netflixie na przykład, jeżeli mam potrzebę poczytania sobie czegoś poza fantastyką albo poznania czegoś poza fantastyką.
11961:  Albo obejrzeć film.
11962:  Szkoda mi czasu na książki, które nie są fantastyką.
11968:  Czy ja idę w dobrym kierunku?
11969:  Chyba tak.
11971:  Ale na wszelki wypadek sprawdzę.
11973:  Bo tym znacznikom totalnie nie ufam.
11977:  Czy oglądałem Wolf Walkers, animację od małego, znanego irlandzkiego studia?
11981:  Nie, nie oglądałem.
11986:  Czy... Mnie też irytuje, że NPC sobie przerywają, bo jak jest prowadzony dialog, to tak naprawdę... A, tak, tak, tak, to mnie bardzo irytuje.
11992:  Ciekawy, czy taki mocny na jakiego wygląda.
11995:  Bo w ten sposób można przegapić coś istotnego i parę razy czaty już mi zwracały na to uwagę.
12000:  Jurre baranie, jeszcze coś upuścisz, to cię pod killem przeciągnę.
12004:  Możemy porozmawiać?
12005:  Nie widzisz, że łódź szykuje?
12007:  Będziemy polować na Nilfgaardzkie psy.
12010:  A ja na grubszą zwierzynę, Mordvarga.
12012:  A, to takie buty.
12015:  No pytaj, w imię Frey.
12019:  Słyszałem, że jako jedyny przeżyłeś atak Mordvarga i jego kompanii.
12030:  Tak, udało mi się uciec.
12032:  Widać wielka matka nade mną czuwała.
12034:  Mhm, ale nad kapłankami już nie.
12040:  Ano nie.
12041:  Mork Vark kazał je spętać, a potem podrzynał im gardła jak konioł na ofiarę.
12046:  I śmiał się.
12047:  Śmiał się, rozumiesz?
12048:  Hmm.
12054:  Ale arcykapłanka Ulwę ostatnim tchem jeszcze go przekleła.
12058:  Skoro jak bestia jesteś, będziesz nią na wieki.
12062:  Święta kobieta.
12066:  Netflix ma słabe dokumenty, lepsze są na YouTube.
12070:  Pokaż mi coś, co jest lepszego od Seaside albo hakowania świata na YouTubie.
12076:  Przy całym moim szacunku do rzeczy, które robi np.
12079:  Tom Nicholas albo Johnny Harris albo Vox, to jednak takie dokumenty naprawdę są dobrze opracowane.
12090:  I co się wtedy stało z Morkfagiem?
12093:  Ciężko uwierzyć, ale wraz porósł futr.
12096:  Twarz mu się wyciągnęła w pysk, jak u wilka czy u psa.
12100:  Zawył, rzucił się na swoich ludzi.
12104:  Próbowali uciekać, ale on szybki był, jak piorun.
12109:  A jak którego zabił i w zęby chwycił, ten zaraz w popiół się rozsypał.
12115:  O, o tak!
12117:  Okej.
12130:  Czy mam jakieś preferencje dotyczące narracji, czy pierwszoosobowa, czy trzecioosobowa?
12136:  Ja myślę, że najbardziej naturalna, czyli trzecioosobowa, ale lubię eksperymenty, na przykład eksperyment Norikaj Jemisin w piątej porze roku z narracją drugoosobową.
12146:  To było ciekawe.
12149:  Czemu nie pomogłeś, kapłanko?
12152:  Co ja mogłem zrobić?
12154:  Sam jeden przeciw całej drużynie zbójów, co?
12156:  No i czego się tak gapisz?
12159:  Dziwię się.
12160:  Zwykle macie obsesję na punkcie honoru, odwagi i tak dalej.
12163:  A ty tak po prostu zwiałeś?
12166:  Nie jestem z tego dumny.
12169:  Od tego dnia szukam godnej śmierci na morzu.
12173:  Ale bogini nie chce mnie do siebie wezwać.
12177:  Jeszcze.
12184:  Dzięki za pomoc.
12185:  Oby bogini prowadziła twój miecz.
12199:  Tak, problem z tymi zabawami, z narracją, zwłaszcza drugoosobową, jest taki, że trzeba to umieć zrobić tak, żeby to było imersywne i przypadek Jemisin jest jednym z nielicznych, które znam, gdzie rzeczywiście jest to imersywne.
12214:  Gwint.
12214:  Gdzie gwint?
12216:  Czy można było z kimś tutaj zagrać w gwinta?
12220:  Nie żartujcie.
12222:  Z kim?
12229:  Z nikim!
12229:  Z nikim to się nie da zagrać w gwinta!
12237:  Czy grałem w jakieś gry z serii Fate Stay?
12238:  Nie, niestety nie.
12240:  Moi drodzy.
12242:  Fałszywy alarm!
12243:  Nie można było zagrać w gwinta!
12245:  Jasny gwint!
12247:  Absolutnie.
12249:  Co sądzę o kanale z historią, historia bez cenzury?
12251:  Czasem oglądam, ale to rzadko.
12253:  Ja właśnie historyczne rzeczy wolę oglądać na Netflixie albo... W sumie też... Nie tylko na Netflixie, bo czasem też na HBO coś trafię.
12263:  Ale ja mam bardzo rzadko smak na jakiś dokument, wiecie?
12266:  Bardzo rzadko.
12267:  Muszę być w odpowiednim humorze do tego.
12272:  Musimy znaleźć klucz, więc wpierw może znajdźmy ten klucz, a potem się pozbędziemy mor... Czyli... Wow, dobra.
12282:  Czy warto zagrać w Gritfall?
12283:  Tak, to jest bardzo dobra gra.
12287:  Ale... Double A, pamiętajmy o tym.
12291:  Więc co tam denerwujące rzeczy, których nie ominiemy, co tam irytujące rozwiązania, bugujące się questy i tak dalej, ale i tak warto.
12301:  Bo cała narracja, która opasuje tę grę, jest znakomita.
12305:  Czy ja tutaj widzę randomowego kupczyka?
12315:  Co?
12315:  Tu się jakieś ciekawe rzeczy dzieją.
12321:  Aaa!
12324:  Ty, która obdarzasz miłością, nienawiścią i siłą.
12330:  Uwielbiam książki Trudy i Canavan.
12331:  No, come on, trylogia Czarnego Maga?
12333:  Musiałem to przeczytać.
12337:  Dostaliśmy zwiastun nowego sezonu Wiedźmina Netflixa i umierł tak mech, pisze Mikołaj.
12341:  No, ja jeszcze nie oglądałem, więc poczułem się zachęcony bardzo.
12347:  Ty, która obdarzasz miłością, nienawiścią i siłą.
12353:  Pan Światła Zelaznego?
12354:  O, tego nie czytałem.
12356:  Chyba.
12357:  To jest powieść, czy jakaś postać z sagi, której nie pamiętam.
12361:  To się może zdarzyć.
12363:  Witaj.
12365:  O co chodzi?
12367:  O Morgwarga mam jeszcze parę pytań.
12370:  W ogłoszeniu nie było mowy o klątwie.
12371:  Tutejsi wiedzą.
12393:  No ale ja jestem tamtejszy, więc będę wdzięczny za szczegóły.
12397:  Klątwę rzuciła arcykapłanka Ulve.
12400:  Wiąże ona morkwarka z ogrodem po wsze czasy.
12403:  Nawet jeśli się go zabije, wraca.
12409:  Czym dokładnie jest ten Morkvarg?
12411:  Pierwsze słyszę o takim potworze.
12413:  Nie czym, tylko... To był najgorszy człowiek, jakiego znało Skellige.
12419:  Nie znał żadnej świętości.
12421:  Na kadrocie mnie własnego klanu brał złoto od Nilfgaardu.
12425:  Mordował ciężarne, a dzieci... Mhm, znam ten typ.
12431:  Powiadali, że boi się tylko jednego – gniewu bogów.
12434:  Morkfark chciał udowodnić wszystkim, jak bardzo się mylą i przybił do Hindarsfjall obrabować ogród bogini.
12441:  To było kilkanaście lat temu.
12445:  Arcykapłanka Ulve stanęła mu na drodze, a on wbił jej nóż między żebra i rzucił w błoto.
12451:  Nim się wykrwawiła, obłożyła go klątwą i Morkfark zmienił się w potwora.
12460:  Co mnie denerwowało w Diablo 2?
12462:  Bardzo prosta sprawa.
12463:  Niemożność przytrzymania shifta do tego, albo kontrola, nie pamiętam, któregoś z tych, żeby postać stała i mogła napieprzać wokół.
12470:  Taka bardzo prosta rzecz, którą wprowadziło Diablo 3.
12472:  Tak samo zarządzanie ekwipunkiem.
12474:  Dwie rzeczy, które powinny zostać absolutnie zmienione, nie zostały.
12478:  O!
12479:  Widzicie?
12480:  Dlatego mówię, że jest błąd w dialogu, bo to zdanie, chyba już spotkałem tego Morvarga, powinno pojawić się wcześniej.
12486:  Gra musi zawsze sprawdzać, czy myśmy czegoś nie zrobili.
12489:  Nawet w dziele Redów, które jest prawie doskonałe pod tym względem, zdarzają się takie kiksy.
12494:  Chyba spotkałem tego waszego Morvarga.
12497:  To wilkołak, tak?
12500:  Nie wiem, ja... sama nigdy go nie widziałam.
12505:  Szkoda.
12505:  Miałem nadzieję, że będę mógł cię o niego wypytać.
12508:  To by mi pomogło w robocie.
12509:  Porozmawiaj z Tordarem, synem Einara.
12512:  On był w ogrodzie, kiedy wpadła tam drużyna Morkvarga i widział, co się stało.
12516:  I jako jedyny z pielgrzymów uszedł z życiem.
12521:  Zamieszkał w Larvik i tam na przystani go znajdziesz, o ile nie będzie akurat na morzu.
12527:  Chętnie bym z wami obejrzał trailer Netflixa pod koniec streamu nawet.
12531:  Problem polega na tym, że wtedy Netflix zbanuje cały stream.
12536:  Mam tak przy każdej recenzji Netflixa, 29 dni jest ban na monetyzację i na całą resztę.
12545:  Uważają, że w ten sposób naruszam copyright jakiś.
12548:  Ja już mam przygotowany taki wielki list, w którym mówię, co myślę o tego rodzaju sprawach i oni oczywiście za każdym razem zrzucają ten ban, ale to jest i tak irytujące.
12556:  Bywaj.
12557:  Niech bogini chroni cię od złego.
12562:  Ty, która obdarzasz miłością, nienawiścią i siłą.
12572:  Mam wrażenie, że sam się tu sprowadziłem.
12577:  Nie jesteś wyznawcą Freji.
12579:  Nie, ale szanuję jej wyznawców i kapłanki.
12584:  To dobrze, o tobie świadczy, ale też nie ma znaczenia.
12587:  Freja nagradza i każe również innowierców oraz ateuszów.
12591:  Oddanie jej czci pomaga, ale o niczym nie przesądza.
12596:  Czego potrzebujesz?
12599:  Wczorajszy stream jest zapisany na kanale AGH na YouTubie.
12603:  Jeżeli chodzi natomiast o wszystkie lokacje w Gęszcinie na 100%, jak bardzo mi się nudziło.
12608:  Ja mam tak, że jeżeli jest eksploracja, to bardzo lubię czyścić mapę.
12612:  To mnie gubi.
12613:  Ale głównie oczywiście chodzi o Primogemy, nie?
12615:  Które się dostaje za... Pokaż mi swoje towary.
12617:  ...wszystko w Genshinie.
12619:  Więc to się najzwyczajniej w świecie opłaca.
12621:  Ha!
12621:  Art!
12624:  Podróże między światami.
12626:  Chcę tę książkę.
12632:  Czy możesz mi opowiedzieć o tej świątyni?
12635:  Fani kotów robią brrr.
12661:  Tej świątyni Freya pomaga szczególnie tym, którzy czegoś wytrwale szukają.
12666:  Może i dla ciebie będzie łaskawa.
12670:  Nie krzyw się.
12670:  Czyżbyś miał aż tak potężnych przyjaciół, że możesz sobie pozwolić na odtrącenie pomocy bogów?
12677:  W pierwotnej wersji mitu był to biały jamnik.
12679:  Potwierdzam.
12680:  Boże, jamnik albinos to byłoby coś.
12689:  Okej.
12690:  Powiedzcie mi, że tędy się da przejść.
12693:  Błagam, powiedzcie mi, że tędy się da przejść i nie musisz się cofn... Tędy się nie da przejść.
12709:  Zen, Krzysztof, zen.
12711:  Nie denerwuj się.
12712:  Spokojnie.
12715:  Mogłbyś czytać biegunów Olgi Tokarczuk, zawsze mogłoby być gorzej niż robienie backtrackingów najbardziej znienawidzonej lokacji na Skellige, która jest zaprojektowana w taki sposób, żeby człowiek po niej wiekuiście błądził.
12730:  Co więcej, w dalszym ciągu te drzwi są zamknięte.
12738:  Jakbyśmy się zabili, to byłoby nieźle.
12742:  A, nawodnienie, macie rację.
12745:  Ciemnik Albines jako mak lodu to nowa emotka.
12750:  W ogóle za moment będzie tak, że będziemy mieli kap na nowych emotkach, nie będzie można dodawać nowych.
12756:  YouTube głupio to powiązał z liczbą trybutariuszy.
12761:  Dobrze, czyli w tę stronę idziemy.
12768:  Nie mam pojęcia, jak tam przejść.
12769:  Okej, tędy.
12774:  Tak, zapowiada się ciężkie zadanie.
12777:  Ja nigdy nie ukrywałem, że nie znoszę błądzenia po tej lokacji.
12783:  Czy słyszałem o nowym uniwersum Lola Arkay?
12785:  Nie.
12788:  Ale bacznie będę obserwować.
12790:  No dobra, ale tutaj wejdziemy do jaskini, w której on był.
12800:  Znajdź klucz, o którym mówił Morvark.
12804:  Okej, zapiszemy na wszelki wypadek.
12809:  Klucz.
12811:  Okej, okej, okej.
12813:  Idealny przyjaciel, cierpliwie słucha, nie mądrzy się.
12819:  Okej, to zabrzmiało niemiło.
12824:  Polimorfia, czyli możemy się douczyć, ale... Czemu Morwark z nami walczy?
12832:  Ja chciałem tylko klucz!
12835:  Precz mi stąd!
12840:  Gdzie jest klucz?
12849:  Psiakrew.
12853:  Dobra, nie pamiętam, ale chyba jest tak, że... Chyba jest tak, że on przestaje walczyć w którymś... w którymś momencie.
12869:  Ale to jest wilkołak, nie wilk, więc... On chcę tylko gryza, tak.
12877:  Co jest?
12878:  Igni.
12880:  Igni rzekłem.
12887:  No.
12890:  Płoń!
12891:  Dobrze.
12892:  Okej, okej, okej, okej, okej, okej.
12895:  Dobrze.
12898:  Wracamy do szukania klucza.
12902:  Geralt, już uspokój się.
12912:  Od dołu idzie przeciąg.
12914:  Coś tam jest.
12915:  Jakaś jaskinia.
12924:  Od dołu idzie przeciąg.
12925:  Coś tam jest.
12926:  Jakaś jaskinia.
12928:  Tak.
12929:  Ta, do której masz znaleźć klucz.
12935:  Czemu nas gra wyprowadza z tej jaskini?
12938:  W budynku na środku ogrodu mówicie?
12953:  BŁAGAM!
12962:  Okej.
12968:  Jak możemy się przedostać do tej zalanej jaskini?
12989:  Za wodospadem?
12994:  Jezus, jak ja nie znoszę tych oznaczeń na minimapie.
12997:  No naprawdę, przysięgam, nienawidzę.
13000:  Oczywiście, że nie mogę tu się wspiąć!
13002:  No naturalnie, że nie... Aaa!
13007:  Bo tu można tylko tam, gdzie są schodeczki!
13013:  Są nieliczne rzeczy, które mnie denerwują w tej grze, ale mnie mega denerwują.
13019:  Za wodospadem.
13025:  Tu jest wodospad.
13026:  No ale to to jest jaskinia, z której wybyliśmy, nie?
13032:  Chyba, że tu.
13033:  Nie.
13036:  No nie.
13039:  21.37.
13039:  No tak.
13040:  No tak.
13043:  Do tej jaskini przez śluzę.
13049:  Okej.
13051:  Próbujemy.
13053:  Tu były te pokrętełka?
13054:  Tutaj chyba.
13060:  Nie, to jest inna śluza.
13064:  Że jak ja nie znoszę tej lokacji!
13072:  Okej, to się tam otworzyło teraz.
13081:  Tu dalej nic.
13085:  Tu dalej nic, moi mili.
13091:  Aha.
13096:  Aha.
13105:  Przysięgam.
13108:  Zaraz dostanę szał.
13119:  Nie mam zielonego pojęcia, gdzie iść.
13123:  Nie mam zielonego pojęcia, gdzie iść.
13125:  Jest to tak denerwujące, że zaraz zmieniam quest.
13128:  Przysięgam.
13136:  Tam się ewidentnie nie dało przejść.
13142:  Nie, no naprawdę, bo to nie ma sensu, znaczy to jest tak oznaczone, że musiałbym w tym momencie wejść do solucji, czyli zrobić dokładnie to samo, co zrobiłem za pierwszym razem, jak przechodziłem ten quest.
13153:  Jest masakrycznie to oznaczone po prostu.
13157:  Bo tutaj z kolei, generalnie rzecz biorąc, wszystko jest pozamykane, nie?
13160:  Nie można przejść, później się zdobywa ten mityczny klucz, który otwiera nagle wszystkie te drzwi.
13166:  Pomiędzy wajchami jest...
13171:  Iść do budynku na środku ogrodu.
13173:  Tam będzie dziennik klucz.
13174:  Który budynek na środku ogrodu?
13176:  My jesteśmy literalnie w tym budynku na środku ogrodu.
13180:  I jest tutaj wszystko pozamykane.
13183:  Tu się nie da przejść, oczywiście.
13185:  Nie, ta lokacja jest po prostu tak źle... Znaczy nie, ona nie jest źle zaprojektowana.
13189:  Jest fajna, ale źle jest zaprojektowana mapa.
13191:  I bez sterowania... No błądzi się.
13198:  Nie wiem, jeszcze jedną próbę podejmę, ale...
13202:  Moja cierpliwość się kończy.
13204:  Gwałtownie.
13207:  Bo to chyba nie jest kwestia właśnie śluzy.
13209:  Tak mi się wydaje.
13213:  No właśnie, żeby wejść do domu, trzeba najpierw do jaskini, a żeby wejść do jaskini, trzeba wejść do domu.
13217:  Ja po prostu... Śluza podniesiona, ale nic się nie dzieje.
13221:  Śluza podniesiona, ale nic się nie dzieje.
13224:  No.
13231:  Okej.
13236:  Dobra, mamy też luzę otwartą, która była poprzednio.
13241:  Przepłyniemy sobie tutaj.
13245:  Tu już raz byliśmy.
13247:  Byłem przekonany, że tędy nie trzeba wejść, ale jednak tędy trzeba wejść.
13254:  Zobacz, to jest ten budynek na środku ogrodu.
13257:  Nie, to jest literalnie ten budynek, w którym byliśmy przed 11 sekundami.
13265:  A nie, a nie.
13267:  A nie.
13269:  A nie.
13270:  Dobrze, po prostu one są identyczne.
13272:  Dziwne.
13272:  O Boże, o Boże.
13273:  Odrosła.
13273:  Zawsze odrasta.
13294:  Aha.
13302:  Ja mam fatalną orientację w terenie.
13305:  Fatalną.
13310:  Przyszli wojowie.
13313:  Wiedzieli, że nie zabiją.
13314:  To złapali.
13317:  Przekuli łańcuchem.
13319:  Zamknęli tu.
13321:  Wiesz, co zrobiłem?
13324:  Odgryzłem sobie nogę.
13327:  I się uwolniłem.
13330:  Z każdym kesem wyłem z bólu.
13334:  Rygałem krwią.
13338:  Mhm.
13338:  Kto by pomyślał, że odgryzanie własnych kończyn może boleć?
13342:  Nie rozumiem!
13344:  Gralta się trzyma jak zwykle sarkaż.
13346:  To dobrze.
13348:  Jak gryzłem to, jakbym połyskał rozrażone węchla!
13354:  Jakbym się rozpadał od środka!
13358:  Ale zrobiłem to!
13360:  Zrobiłem to!
13361:  A poza...
13366:  Rozszerpałem ich na strzępy bohaterów pierdolonych!
13377:  Ta historia ma jakiś morał.
13379:  Czy chciałeś się po prostu pochwalić?
13382:  Morał jest taki... Nie zabijesz!
13389:  Odczaruj!
13393:  Odczaruję cię!
13394:  Taki jest plan, idioto!
13396:  Tylko mnie bez przerwy atakujesz!
13398:  Kretyn!
13400:  Durne zwierzę!
13403:  Bądź jak jamnik!
13410:  Proszę bardzo!
13411:  21 tysięcy... 2173 obrażeń!
13412:  Mogło być odwrotnie.
13413:  Zabawnie.
13419:  Okej, czyli literalnie tutaj już nic nie ma.
13421:  Geralt, uspokój się, walka się skończyła.
13424:  Geralt?
13424:  Gera... Geralt?
13426:  Geralt?
13431:  Dobra.
13432:  Czy tutaj już absolutnie nic nie ma, bo nie chce wracać do tego miejsca nigdy już?
13437:  Dobrze, nic tutaj nie ma.
13439:  To Morkfark wyważył te drzwi.
13442:  Pewnie coś wyczuł po drugiej stronie.
13445:  Okej.
13446:  Mówiliście jeszcze o studni, ale myśmy w studni już byli wtedy, kiedy byliśmy tutaj z Yennefer.
13452:  Myśmy tu już raz byli, żeby było śmieszniej.
13455:  I to wcale nie sprawiło, że w jakikolwiek sposób progresowaliśmy problem Morgwarga.
13461:  Wręcz przeciwnie.
13465:  Jeszcze się upewnię, czy tutaj nic nie ma, co pomijam, ale nie.
13471:  Tu już nie ma nic.
13474:  I teraz wystarczyłoby, żeby tutaj się odblokowywały jakiekolwiek drzwi czy coś.
13479:  Słyszałem pytanie z poprzedniego wieśka, tym razem z krótkim opisem.
13483:  Ulubiona frakcja z Warframe?
13488:  Ja nie pamiętam frakcji w Warframe.
13490:  Ja pamiętam tylko i wyłącznie, jak grałem Warframem, to znaczy Emberem.
13497:  Okej, tutaj są schodeczki, tak.
13501:  Mówiliście cały czas, że jest jeszcze jakaś przekładnia pomiędzy tymi dwiema przekładaniami.
13506:  To jest ostatnia, że tutaj próbuję.
13515:  Aha, tylko że ona nie ma żadnej interakcji.
13517:  Wiecie o tym, prawda?
13519:  Nic z tym nie mogę zrobić.
13521:  Śluza podniesiona, ale nic się nie dzieje.
13525:  Okej.
13529:  Mówiliście, że musi być maksymalnie w prawo.
13532:  Okej, jest maksymalnie w prawo teraz.
13537:  Ma interak... Jak to ma interakcję?
13539:  Nie ma interakcji.
13541:  Przysięgam.
13546:  No właśnie, pokazuje, która jest otwarta.
13548:  Czyli wiemy tylko, że jest otwarta teoretycznie ta trzecia, która wcale nie jest otwarta, bo jest zamknięta.
13553:  Chyba.
13554:  Tak?
13554:  Jest cały czas zamknięta, nie?
13556:  No właśnie.
13558:  Teraz druga dźwignia, mówicie.
13564:  Jesteście genialni!
13566:  Czaty!
13567:  Przyznaję nagrodę!
13571:  Tak!
13574:  Przykład, że nic nie widzę.
13576:  Okej.
13578:  Czaty genialne!
13579:  Wysta... Oczywiście, że... Oczywiście, że jeżeli jest jakaś gierka logiczna...
13586:  to jasne jest, że ona mnie powstrzyma jeszcze bardziej niż drabina, która byłaby strzeżona przez armię wilków.
13595:  Ooo, klucz!
13601:  Czy tutaj też nas zaskoczy Morwark?
13606:  Czemu, Agnieszko, wstyd pytać?
13608:  Nie wstydź się nigdy pytania.
13610:  Skąd u mnie zamiłowanie magią ognia, bo jest najbardziej spektakularna?
13614:  Naprawdę to jest aż tak proste wyjaśnienie.
13620:  Nic więcej tu nie możemy zrobić?
13622:  Nic więcej tu nie możemy zrobić.
13623:  Chyba.
13625:  Chociaż ewidentnie gra chce, żebyśmy coś zrobili.
13630:  Gra pokazuje nam liczne rzeczy na interfejsie.
13636:  Dobrze, też chce to.
13638:  Nie ma interakcji.
13639:  Okej.
13640:  Otwórz drzwi do kapitularza.
13643:  Kapitularz to Festiwal Fantastyki.
13651:  Czy grałem w Portal i Portal 2?
13652:  Tak!
13655:  The cake is a lie.
13661:  Okej.
13666:  Czy naprawdę muszę przejść przez piekło otwierania... pieprzonej śluzy po raz drugi?
13676:  Kapitularz Dune'ą.
13677:  Następna rzecz.
13680:  Godna.
13700:  Prawa wajcha jest do zmiany śluza, lewa do otwierania?
13703:  To jest naprawdę aż tak proste?
13706:  Boże, drogi!
13708:  Czasem sam się przerażam samym sobą.
13719:  Bardzo czekam na Dune'ę.
13721:  Tak jestem wściekły, że jak zawsze musimy być krajem trzeciego świata i nie dostajemy... Burza psiokrew.
13731:  I nie dostajemy premier wtedy, kiedy inni?
13734:  Czy naprawdę tędy się nie da przejść?
13738:  O, tu jest ta studnia, o której mówiliście.
13741:  Boże, wreszcie!
13742:  Klucz!
13743:  Dziękuję, dziękuję, dziękuję!
13747:  Co za zaszczyt nas spotkał.
13749:  Mamy klucz, który otwiera wszystkie drzwi.
13752:  Jeżeli pamiętacie grę Get Medieval, to będziecie wiedzieli, jaką rozkosz wywołuje uniwersalny klucz.
13760:  Gracz posiada uniwersalny klucz.
13766:  Good medieval.
13768:  Ależ to było wspaniałe.
13773:  I była tam czarodziejka, która mówiła rozerotyzowanym altem, weź mnie.
13780:  I barbarzyńca, który nie umiał mówić po polsku.
13784:  Wspaniałe.
13797:  Ooo, bardzo się cieszę, że został kupiony Warhammer Total War 2.
13802:  Bardzo się cieszę.
13804:  Nie no, na Dune to idź do IMAX-a, słuchajcie, szanujmy się.
13808:  Ehem, Dziennik Morgwarga.
13810:  Tjostar mądry dowiódł, że nie zasługuje na swój przydomek.
13813:  Zapłacił, żebyśmy nie najeżdżali jego wsi i zadowolony z siebie odwołał strażę.
13817:  Łatwiejszej roboty, nie pamiętam.
13819:  Łupu z tego było niewiele, ale zabawa przednia.
13822:  Jak mieliśmy odbijać z Rennweig, słychać było huczenie sowy.
13825:  Zły omen, więc kazałem wracać do brzegu.
13828:  Pukke, czyli ktoś, kto często rzyga, śmiał się, że niby jestem taki odważny, a bogów się boję.
13834:  Wyrzuciłem go za burtę z nożem między żebrami, ale widzę, że i tak straciłem u chłopaków poważanie.
13838:  Trzeba będzie im pokazać, kto ma największe jaja na Landskipie.
13842:  ładne, bo jeszcze przyjdzie im do głowy co głupiego.
13845:  Wizyta na Hindarsfjall udana.
13847:  Kapłanki martwe, pomnik przewalony, święte księgi w ognińsku, beczki z miodem otwarte.
13851:  Srebra podzieliliśmy.
13852:  Ja wziąłem Vota, Norulf, syn Odlejka, misy i łyżki, Mons, syn Gudvara, lichtarze i biżuteria, a Thordar, syn Einara, zrezygnował ze swojej działki, bo boi się gniewu Frey.
13862:  No i dobrze dla nas.
13863:  Jutro płyniemy na Speaker Rock, zobaczymy, co tam kupczyki na targ przywiozły.
13867:  A tutaj przy okazji bardzo dużo różnych zleceń się pojawiło, które sobie odhaczymy.
13876:  340 było aż na Steamie, a to nie lepiej na jakimś Instagaming czy coś takiego.
13883:  Czy jest sens obejrzeć Dune przed książką?
13884:  Tak, w ogóle się nie przejmujcie takimi rzeczami.
13886:  Zawsze jest sens obejrzeć sobie wpierw film, bo jest łatwiejsze wejście do świata, a potem książkę, gdzie macie więcej danych.
13894:  Zwiedzanie rezydencji w serca z kamienia będzie trochę trwało.
13897:  Nawet mi nie przypominajcie, bo pamiętam.
13899:  To jest ta rezydencja... O Jezus, tak, ja ją pamiętam, tam są duchy, tam straszy, tam są przerażające rzeczy.
13909:  Aha.
13911:  Czyli chcecie mi powiedzieć, że my jeszcze tutaj wrócimy?
13914:  Moja rozkosz nie zna granic.
13921:  Chcecie mi powiedzieć, że przynajmniej idę w dobrą stronę, tak.
13927:  Powiedzcie mi też, że będzie tutaj działał ten kluczyk.
13931:  Nie, nie będzie działał.
13935:  Czemu nie działa kluczyk?
13937:  Ależ nie znoszę tej... Dobra, wpierw udamy się do wsi Larvik.
13950:  No, Dune'a jest trudna w odbiorze.
13953:  Widzę, że chaty też mają to takie doświadczenia.
13956:  Słuchajcie, ja się nawet poddałem na czwartym tomie.
13960:  Chyba.
13963:  Nie miałem sił.
13964:  Ale doceniam.
13965:  Światotwórstwo Herberta jest niesamowite, ale... Prawdę mu się przydał redaktor.
13974:  Jak idzie nauka gry na padzie?
13975:  Nie idzie, nie mam wciąż pada.
13978:  Moi drodzy...
13980:  Skąd wam przyszedł pomysł do głowy, że ja się lubię uczyć?
13986:  Piąty i szósty tom Duny nadrabiają, mówi Marta.
13989:  No właśnie, czwarty to jest zdaje się ten, w którym Paul Atryda w nowej formie, bez spoilerów, cały czas siedzi w jednym miejscu, w pałacu, bo się nie może z niego ruszyć.
13997:  Boże drogi!
13999:  Boże drogi!
14001:  Boże drogi!
14002:  Okłamałeś mnie.
14005:  Co?
14005:  Klnę się na wielką matkę, że...
14009:  Skądś już z tą bogobojnością.
14010:  Wiem, że należałeś do drużyny Morkvarga.
14013:  O proszę, bardzo jesteś przenikliwy, ale jednego nie przewidziałeś.
14021:  Jestem tu w towarzystwie uzbrojonych po zęby ludzi.
14026:  Zaraz ich poznasz bliżej.
14028:  Nie jestem błędnym rycerzem, tylko wiedźminem.
14035:  Nie przeszedłem wymierzać ci sprawiedliwości.
14038:  To czego wypytujesz o przeszłość?
14040:  Bo muszę wiedzieć, co naprawdę stało się w ogrodzie.
14043:  Inaczej nie zdejmę klątwy z Morkvarga.
14046:  A po cholerę, ten chuj powinien się męczyć aż po rach na rok i jeden dzień dłużej.
14058:  Taki zawód.
14060:  Też tak sobie mówiłem.
