Mass Effect 2 LEGENDARY EDITION Livestream #6
🔗 https://www.youtube.com/watch?v=6JDIAX6eEPk

2:  Mass Effect 2.
7629:  Świetnie, będziemy musieli do nich wrócić.
7633:  Szkoda mi chłopaków z CD Projektory, którzy pracowali dniami i nocami, żeby dowieźć produkt, a przez decyzję jakichś baranów cała ta praca poszła na marne.
7639:  Dokładnie, dokładnie tak, to jest to.
7641:  Gdyby mi dostali... Prawda jest taka, że powinni mieć rok, dwa.
7644:  Ja zrozumiałem, że devowie... Tak, dużo ludzi mówili, między innymi Jim Sterling,
7650:  są absolutnie niewinni całej sytuacji, jak wyciekł ten filmik, w którym się nabijali z błędów.
7655:  Ewidentnie były tam jakieś naciski i wszyscy sobie zdawali sprawę z tego, co się dzieje.
7660:  Co do książek, bo padło pytanie, czy bardziej lubię książki Sapkowskiego, czy grę Wiedźmin.
7665:  Odpowiem przewrotnie, okej?
7668:  Bardzo cenię opowiadania Andrzeja Sapkowskiego, zwłaszcza z Uniwersum Wiedźmińskiego.
7674:  Potem jest u mnie Wiedźmin jako marka, jako gra wideo i serial Netflixa, bo trochę też rozpatruję to łącznie.
7681:  A potem jest saga Wiedźmińska, w sensie 5 tomów, bo saga Wiedźmińska została napisana według takiego prostego schematu, żeby udowodnić tezę Andrzeja Sapkowskiego, że wszystkie kwantazy pochodzą od króla Artura.
7692:  I jeśli to się wie, to trochę to razi w którymś momencie i razi trochę ten ewidentnie taki polemiczny, postmodernistyczny, satyryczny stosunek do gatunku.
7704:  To trochę przeszkadza, bo to nie jest Pratchett, nie?
7706:  To nie jest Himmler z fantasy, tylko po prostu on sobie robi jaja wiele razy z różnych konwencji fantasy.
7711:  Jak ktoś lubi takie rzeczy, to super.
7714:  No ja nie do końca.
7718:  Czy my idziemy w dobrym kierunku?
7719:  Tak, w dobrym kierunku.
7722:  Nie, nie, hejt na realalnych twórców nie ma żadnego sensu.
7725:  No słuchajcie, to jest dokładnie tak samo, jak z wypadku jakiegoś pisarza, nie?
7730:  Łohoho!
7733:  Pięknie.
7739:  Kto tu jeszcze strzela?
7743:  O, nie, nie, nie.
7748:  Pięknie, pięknie.
7756:  Dobrze, przyciągniemy sobie jego.
7759:  Mega czekam na Dune'ę, Deni Villanueva.
7762:  Mega.
7764:  Jeśli chodzi o diunę Franka Herberta, czytałem pierwsze trzy tomy.
7768:  Do boga imperatora diuny bodajże, dalej nie byłem w stanie.
7773:  Mam wrażenie, że dalej troszeczkę się to rozmieniło na drobne.
7779:  Ale zmarnowałem headshota strasznie.
7785:  Dobra, idźcie tam.
7804:  Bardzo dobrze.
7807:  Co my możemy zrobić?
7811:  Pchnięcie.
7818:  Dlaczego dostajemy tak strasznie?
7825:  Come on!
7833:  Miranda się poświęca za nas.
7838:  Dobra, trzeba użyć jedności, nie ma wyjścia.
7845:  Dobra, jeden mniej.
7853:  Nasza magia nie działa, to jest skandal.
7865:  Pistolet, zero amunicji, co teraz?
7870:  W sumie mamy lepszy.
7877:  O, dobra analogia swoją drogą.
7888:  Dobrze.
7894:  No, no, no.
7894:  No, no, no!
7903:  Ktoś oberwał!
7907:  Znaczy my.
7910:  Nie!
7910:  Nie, nie, nie, nie, nie, nie, nie, nie, nie.
7913:  Uda się, uda się.
7916:  Dobra.
7918:  Huu!
7919:  Z hejtem na twórców cyberpunka jest tak, jak J.K.
7921:  Rowling krytykować za filmy Pottera.
7923:  Tak jest, absolutnie.
7927:  Albo jakby oceniać Pottera na podstawie wpisów na Twitterze J.K.
7931:  Rowling.
7932:  Podobna sprawa.
7934:  Trzeba absolutnie oddzielić w tym wypadku dzieło od twórcy.
7939:  Ale to działa też z dwie strony, to znaczy jakby krytyka gry cyberpunk nie jest hejtem na CD Projekt Red.
7948:  Wręcz przeciwnie, jest właśnie takim dobrym komunikatem dla wszystkich, którzy będą chcieli jeszcze raz zrobić z graczy idiotów i zrobić cash-in, że nie, to się nie opłaca.
7963:  Bo jeżeli duże studio to zrobi, to potem małe studio zrobi to tym bardziej.
7968:  Swoją drogą, bardzo jest poprawiony level design w Mass Effect'cie, naprawdę gra prowadzi nas w dobrą stronę.
7977:  Nic dziwnego, kiedy jesteś w klinice, bez tego, że chcesz poradzić z tymi mechami.
7984:  Jesteśmy w porządku!
7987:  Jesteśmy na naszej drodze i nie widzimy ludzi.
7989:  To będzie wystarczające.
7989:  Jeśli szukasz problemu, pójdź gdzieś tam.
8000:  Chciałbym bardzo, żeby ktoś ze mną porozmawiał, na przykład o re... Tak, chcę znaleźć Mordina, tylko nie wiem gdzie!
8011:  Profesor, profesor, o, o, o, o. Jest!
8014:  Mordiiiin!
8017:  Pięknie.
8021:  Jest, i on.
8024:  Hmm, nie zrozumiałam Cię z obszaru.
8025:  Zbyt dobrze ubrany, żeby być refużerem, bez uniformy mercenarza, kwarantyna wciąż w efekcie.
8029:  Chcemy coś innego?
8030:  Vortiga?
8030:  Krew, żeby je wyczyścić?
8031:  Niestety, Vortiga jest symptomem, a nie powodem.
8033:  Plaga, szukamy możliwych używania biowebiny.
8036:  Nie, nie, nie.
8036:  Za dużo broni, nie wystarczy.
8037:  Data, sprzęt, żołnierze... Nie będziemy niegrzeczni dla Mordina.
8041:  Tak, zbieramy broni.
8042:  Może.
8042:  Szukamy kogoś.
8043:  Tak, tak, ale kogo?
8044:  Kogoś ważnego, wartościowego.
8045:  Spokojnie, Morton.
8045:  Jestem komanderem Shepard i przyjechałam tutaj, by Cię znaleźć.
8060:  Jakie poziomy trudności najczęściej wybieram?
8062:  Właśnie wysoki, to znaczy nigdy najwyższy, bo uważam, że... Znaczy to zależy, bo są takie gry, w których najwyższy poziom jest dobrze zaprojektowany, ale są takie gry, w których najwyższy poziom jest zaprojektowany po to, żeby wszystkie postaci nagle były gąbkami na kulę.
8075:  Na przykład gram na legendarnym w Total Wary zawsze, bo po prostu jest to ciekawe.
8081:  Czy kiedyś słyszałaś o organizacji nazywającej się Cerberus?
8083:  Czasami przekroczyłem drogi.
8089:  Myślałem, że tylko pracują z ludźmi.
8091:  Dlaczego zaprosiłaś pomocy Celerii?
8096:  Mamy otwarte karty z Mordinem.
8117:  Gimmie Deus Ex!
8118:  O, a co, ma być remaster?
8120:  Oby był.
8120:  Dobrze, musimy znaleźć Daniela.
8122:  Dziękuję.
8122:  Powiedziałem mu, żeby nie iść.
8123:  Ale on jest mądry, biały przyszłość.
8138:  Dawno nie słyszeliśmy o żadnym wirusie.
8167:  Human Revolution był wspanialym, Mankind Divided nie dałem rady nigdy przejść.
8171:  Powiem, że szkoda, to znaczy...
8174:  Wiem, na czym może polegać problem.
8176:  Dla mnie podstawowym problemem w Mankind Divided było to, że czynił kanonicznym trzy zakończenia Deus Exa, a nie czwarte, które ja wybrałem.
8184:  Drugi problem, ta gra jest po prostu za krótka i niedopracowana, natomiast pomysł zrobienia cyberpunku w Pradze?
8190:  Genialny.
8191:  Ale Deus Ex się starzeje jak wino akurat dobre.
8194:  Ta paleta barw, którą wybrali złota sprawia, że ta grafika się właśnie nie opatrza tak szybko.
8201:  Any idea where I can find Daniel?
8203:  No.
8206:  Aaa, czuję.
8213:  Gimme Deus X to był najwyższy poziom gry, tak, to prawda.
8215:  Prawda, przypomniałem sobie.
8218:  Myślałem, że mówisz o remasterze, bo ja właśnie nie miałbym nic przeciwko, ale raczej takiej edycji kompletnej.
8226:  Bo są takie gry, które mam po prostu na płytce i chciałbym je przypisać sobie do Steama.
8230:  Czy miałeś jakieś problemy?
8232:  Nic, majorze.
8232:  Czerwone słońce przychodzą dla ludzi.
8233:  Dla doktora jesteś niesamowicie spokojny w tym, żeby wyciągnąć grupę mordów.
8236:  Nie byłem zawsze doktorem.
8237:  Niektórzy pracują w grupie specjalnych dla Celeriana.
8239:  Mogę sobie z tym poradzić.
8240:  Czerwone słońce przychodzą dla Celeriana.
8241:  Turianie, Kroganie, Warche, wszystkie oczywiste zagrożenia.
8244:  Nigdy nie widziałeś mnie przychodząc.
8247:  Co możesz mi o tej płaganii opowiedzieć?
8249:  M6 cannon acquired, okej.
8251:  Okej, hand cannon to brzmi jak coś, co moglibyśmy dać Jacobowi, bo on się do niczego nie nadaje.
8257:  Gdzie się... Gdzie jest equipment?
8280:  To był equipment w pierwszej części, czemu go tutaj teraz nie ma?
8284:  Ależ mnie to zasmuciło.
8290:  Dobra, find Daniel.
8292:  Power cells.
8293:  Chcę wszystko zebrać.
8295:  Wszystko.
8296:  Proszę, proszę, siedem paragonów dostaliśmy.
8298:  Bardzo dobrze, bardzo dobrze.
8303:  Fallout 76, mówicie, robi comeback?
8305:  A to ciekawe.
8309:  Czyli jak widać niektórym się udało zyskać na tej całej sytuacji z cyberpunkiem.
8315:  Przy stoisku można?
8317:  Boże drogi, nic nie pamiętam.
8319:  To akurat wielka szkoda.
8324:  Mmm... Ojojoj, tutaj dużo rzeczy widzę.
8326:  Refine Platinum, oczywiście, że chcemy.
8328:  Medkit.
8329:  Tutaj, akurat w tej grze trzeba mieć dużą cierpliwość do Najrzydziury Krzysztofa, z tego względu, że Najrzydziura Krzysztof będzie następnie ulepszał Normandię.
8341:  Research Station.
8345:  Dobra.
8351:  Czy coś jeszcze tutaj mamy, czy nic?
8353:  Tylko Mordin?
8354:  Tylko.
8355:  Dobra, idziemy dalej.
8361:  Ooo!
8362:  Wygodnie.
8364:  Dobra, Jacob, dostajesz... Właśnie to dostajesz.
8371:  Choose.
8375:  Miranda?
8377:  Nie, Miranda już nie.
8378:  Wystarczy.
8385:  Morten jest gdzieś tutaj.
8386:  Idź rozmawiać z nim.
8387:  Potrzebujemy wszelkiej pomocy.
8401:  Zaraz, zaraz, zaraz, zaraz, zaraz, żebyśmy czegoś nie spaprali.
8405:  Trochę mnie konfunduje to, że nie ma jednak mapy, przynajmniej na overlay'u.
8409:  Bardzo bym chciał, żeby ta mapa była.
8412:  Tu nie możemy przejść?
8413:  Nie możemy.
8414:  Dobra.
8415:  Czyli trzeba zrobić backtracking, kochany backtracking.
8428:  O, runy, runy, runy, spokojnie!
8436:  Come on!
8441:  Proszę bardzo, tutaj.
8443:  Macie się tutaj wystawić na ostrzał?
8447:  Przede wszystkim muszę zmienić sobie broń, bo... Czemu nie mogę zmienić broni?
8455:  A, ma... No nie wiem.
8456:  Zostańmy, zostawmy może te rzeczywiście.
8474:  Dobrze.
8476:  Musimy się przestawić w 100% na magię w tym momencie.
8483:  Spróbujemy jeszcze.
8486:  Get over here!
8487:  Tak jest.
8493:  Chcę snajperkę wreszcie!
8505:  Łukasz Stelmach, mówicie, jest striggerowany na Cimera?
8509:  Ja Cimera bardzo szanuję za niektóre projekty, bardzo go szanuję za to, co zrobił przy Incepcji, bardzo szanuję go za to, co zrobił przy Interstellarze, bardzo szanuję go za ten temat do Cryzisa.
8522:  Ha, ha, ha!
8523:  Gincie!
8525:  Through the sheer power of flanking!
8530:  Nie ma to jak dobre flankowanie, tak jest.
8540:  Come on!
8545:  Miranda, chodźcie tutaj.
8547:  Aha, część z naszej drużyny oczywiście nie żyje.
8559:  Nie!
8561:  O nie, nie, nie, nie, nie będzie żadnego.
8564:  Proszę bardzo.
8578:  Bardzo jestem zaniepokojony tą naszą bronią.
8589:  Magowie nie wyróżniają się przesadną celnością, co widzicie na załączonym obrazku.
8595:  Ja jednak potrzebuję mieć porządny karabin snajperski, nie coś takiego.
8608:  Ulubione animacje?
8612:  Ostatnio obejrzałem... Dragon Prince na Netflixie i bardzo, bardzo byłem zadowolony.
8621:  Ale generalnie w animkach przoduję, jeśli mogę.
8629:  Tłusty, głupi kroganin!
8631:  Weźcie go ode mnie!
8633:  Dobrze.
8640:  Dostaliśmy achievement Żołnierz, to jest skandal.
8650:  Straciliśmy prawie całą amunicję.
8653:  Nie żeby mnie to jakoś przesadnie zdziwiło, bo to się dzieje notorycznie.
8659:  Biegniemy ją uzupełnić.
8660:  Moja miłość do Morricone stała pod wielkim znakiem zapytania, ponieważ jak byłem dzieckiem, to zagubiłem się w tłumie ludzi podczas jego koncertu.
8665:  No proszę!
8666:  Ale to świadczy o prawdziwym fanostwie, jeżeli mimo to miłość pozostała.
8676:  Dobrze, czy coś tutaj jest interesującego, jak na przykład... O nie!
8683:  Nie jestem w stanie przestać słyszeć tutaj Mortala.
8693:  Czy coś tu jest?
8694:  Oczywiście, że coś tu jest.
8695:  To jestem cały ja, to znaczy drużyna zbywalczy... HAKUJEMY!
8706:  Okej, gdzie, gdzie jest, gdzie jest ten kawałek kodu i czemu ja go nie widzę?
8711:  Tu jest.
8713:  Dobrze.
8727:  Udało się.
8732:  Tłusty, głupi kroganicz to połączenie bodyshamingu i rasizmu, klasizmu i jeszcze ten, jeszcze gatunkizm do tego dochodzi.
8740:  Tak jest, ja mam problem z kroganami jak z wszystkimi barbarzyńcami.
8744:  To wszystko przez grę Get Medieval, nie wiem czy znacie, bardzo, bardzo stara rzecz.
8749:  w której był wybór do wykonania, mianowicie podjęcia, mianowicie można było albo grać Maginią, Magini mówiła pięknym, erotycznym, namiętnym głosem, weź mnie w menu rozgrywki, a na co tłusty, głupi Barbarzyńca mówił, weszłem masło na przykład.
8767:  Barbarzyńca nie umiał mówić po polsku.
8769:  Tego się datuje moja głęboka niechęć do Barbarzyńców, Conanów, Kane'ów i wszelkich tego autoramentu postaci.
8777:  Mówię ci, że jestem Daniel.
8778:  Pracuję za morderem w drużynie.
8779:  Przyszedłem, by ci pomóc.
8782:  Wiemy, że sprzedajesz wirus plague'a.
8783:  Widzieliśmy wioski w twojej kuchni.
8804:  Daniel jest naukowcem z Wuhan, którego trzeba natychmiast ewakuować.
8811:  Teraz ja tu sobie piję, a tu będzie kparagon za moment.
8817:  Get medieval, proszę.
8819:  Znany.
8833:  Tak, nie będziemy musieli zużywać na was naszej amunicji.
8837:  O, tak!
8839:  Cudownie.
8843:  Tak, idźcie, idźcie.
8849:  Proszę bardzo.
8851:  Nie miałeś nigdy kontaktu z Gildią Magów Cytadeli.
8855:  w które oczy patrzeć.
8857:  Te, które są najbliżej.
8867:  Świetnie.
8868:  Rozwiązana sprawa z Danielem.
8873:  Z kim mi się kojarzy to imię?
8874:  A już wiem, jest takie zwierzę.
8882:  Idę, idę, rozglądam się jak jakiś pieprzony komandos.
8888:  Ooo... Power!
8896:  Unlimited... Power!
8902:  Tylko nie można błyskawić niestety, to jest minus straszny.
8907:  Ale tak, o tak.
8909:  Jest już feeling maga.
8915:  Tak, ja myślę, że rzeczywiście moje pokolenie miało szczęście poznać gier medieval prędzej, ale jeśli ktoś z młodszych tu obecnych nie grał... Kurczę, to jest jedna z takich retro gier, której bym dał szansę, jest tak chora, tak dziwna i tak cudaczna.
8936:  Miranda, idź tam.
8939:  O. Teraz strzelaj w moich prymitywnych sojuszników.
8942:  Nie!
8943:  Nie we mnie!
8944:  W sojuszników strzelaj!
8950:  Dobrze, teraz proponuję, żeby go... Dlaczego oni cały czas strzelają we mnie?
8960:  Ja mam wrażenie, że oni po prostu już dobrze wiedzą, kto tu jest najpotężniejszy.
8976:  Wstyd straszny, żeby mag tak uciekał się do strzelania z pistoletu, no ale co zrobić?
8985:  Aaa, nie mamy tam zasięgu, to wiele wyjaśnia.
8990:  Jak ja nie znoszę tego, jak gra priorytetyzuje level design pod kątem żołnierzy, tak?
8997:  To znaczy, strzelasz z pistoleciku, będziesz mieć zasięg!
9003:  Nie dajcie bogowie, chcesz być magiem.
9006:  Nie będziesz mieć nigdzie zasięgu.
9017:  Come on, gąbka na pociski!
9019:  Czuję się, jakbym grał w cyberpunka teraz.
9022:  Cztery.
9024:  Jest, wreszcie!
9027:  Ach, on się regeneruje.
9029:  Zaraz się przestanie regenerować.
9035:  Come on!
9042:  On był prawie nieśmiertelny.
9047:  Boom!
9052:  Get over here!
9053:  Tak jest!
9058:  Jeszcze żyjesz?
9060:  Nie do wiary.
9062:  My tu powinniśmy mieć jakąś Shooting Gallery, ale...
9066:  Miranda nie żyje niestety, trzeba się... Trzeba się nią zaopiekować.
9088:  Czemu... czemu nasza magia nie pudłuje?
9091:  Ja rozumiem, że... że można, ale nie aż tak.
9101:  Dobrze, schodzimy na dół, bo widzę, że w tej grze niestety absolutnie nie działa przewaga, którą powinniśmy mieć terenowa.
9115:  Proszę, natychmiast się zorientowali, gdzie iść.
9124:  O nie!
9125:  Ale zjebaliśmy.
9128:  Najlepszy quest w Wiedźminie.
9132:  Krwałego barona.
9133:  Nie jestem w stanie niczego innego znaleźć.
9137:  Eee... Overlord anime jest na liście.
9146:  Dobrze, eee... Stanowczo zmieniamy taktykę.
9152:  Zmieniamy taktykę na wygrywanie mianowicie.
9157:  No właśnie, ten pistolet jest o wiele lepszy.
9162:  Tamta druga rzecz, którą mieliśmy to była jakaś absolutna tragedia.
9166:  Wyłącz?
9167:  Da się wyłączyć, dobra.
9170:  I teraz plan jest następujący.
9172:  Nie będziemy się wdawać w strzelanie na tej nieszczęsnej shooting gallery.
9178:  O właśnie.
9180:  Tylko od razu, od razu zbiegamy tutaj.
9184:  O właśnie.
9185:  O właśnie, tak.
9193:  Zobaczymy, co tutaj zdziałamy.
9200:  Okej.
9203:  Nie tędy.
9204:  Tędy.
9208:  I teraz powinniśmy mieć zasięg, mam nadzieję w każdym razie.
9213:  Czy nie?
9213:  Nie mamy.
9217:  To nie był dobry pomysł.
9229:  Okej.
9231:  Widzę, że strzelanie za zasłony ciężka sprawa.
9239:  Come on!
9242:  Dobrze.
9244:  Teraz tak.
9253:  Dobrze, jeden za nami.
9258:  Pistoleta na rakietmenów zostawić.
9260:  Pistolet, macie rację.
9261:  O, tu jest jeszcze granatnik.
9263:  Może to jest ten moment, kiedy użyjemy granatnika.
9280:  Koniec.
9282:  Koniec tego dobrego.
9286:  Dobrze.
9292:  Miranda, ty masz mnie chronić!
9302:  Co tu się dzieje tymczasem?
9304:  Dobrze.
9305:  Sojusznicy działają, przynajmniej.
9312:  Proszę zniszczyć tłustego, głupiego kroganina.
9320:  Dobrze, są emocje.
9326:  Jednak zdecydowanie lepiej się czuję, jak na ten przykład nie ma amunicji.
9332:  Oj, zdecydowanie się lepiej z tym czuję.
9336:  Dobrze.
9340:  Teraz zobaczymy, co to znaczy być głupim, tchórzliwym snajperem, który się chowa.
9350:  Twórczość Hideo Kojimy bardzo cenię.
9356:  Ooo... Tak mi przykro.
9362:  Spektakularna wygrana.
9364:  Ledwie jedna śmierć i load.
9367:  Cieszmy się tymi małymi zwycięstwami, bo będą szybko odchodzić.
9374:  Mam nadzieję, że...
9386:  Eee, czwórka myślę, tak.
9396:  Dobrze.
9406:  Musimy jak najszybciej się pozbyć Jacoba, ponieważ ja tych jego okrzyków nie wytrzymam.
9414:  Jak krogan na zamk gubimy, to co dopiero powiedzieć o worczach.
9417:  To prawda.
9418:  Potwierdzam.
9421:  Co tutaj mamy interesującego?
9423:  Absolutnie nic.
9424:  Ooo, jednak!
9426:  1000 kredytów.
9429:  Tu się da wejść, czy się nie da wejść?
9431:  Nie, tu się nie da wejść.
9432:  Dobrze.
9438:  Idziemy za najbardziej niezawodnym wskaźnikiem na mapie, to znaczy przeciwnicy oraz triggerowane wypowiedzi.
9446:  Zgadza się!
9449:  Tak!
9450:  Chcesz tu przyjechać?
9453:  Zatrzymamy maszyny, zniszczamy fanów!
9455:  Wszyscy czekamy i umrzemy!
9457:  Wtedy kolektorzy powodują, że jesteśmy silni!
9462:  Co chcą kolektorzy?
9473:  Mają... Widzę, że podejście mają bardzo podobne do Skavenów.
9478:  Ooo... Tak?
9490:  Tak mi przykro.
9491:  Tak mi niewyobrażalnie przykro.
9496:  Pięknie.
9498:  Eddie!
9500:  Brakowało mi jej.
9504:  A już wiem, to była ta Shooting Gallery, na którą się dostaliśmy.
9507:  Czy jest wszystko w porządku?
9509:  Dobrze, bardzo dobrze.
9511:  Teraz szybko sprawdzimy, czy tutaj nie ma czasem jakichś sympatycznych miejsc, w których się znajdą kredyty.
9516:  Albo coś w tym stylu, bo coś czuję, że bardzo możliwe.
9522:  Okej, tu jest po prostu zamknięte.
9526:  Tu też.
9528:  A może, może, może, może, może?
9531:  Nie.
9534:  Dobra.
9535:  Jeszcze sprawdzimy na wszelki badek tę stronę.
9538:  Jacob ma zajebistą misję lojalnościową nawiązującą do Jądra Ciemności.
9541:  Uuu, uuu.
9543:  Dobrze wiedzieć.
9544:  Ciekawe jak wyjdzie Dying Light 2.
9545:  Znajomy tam pracuje i aż do wyjścia Cyberpunka nieźle panikowali, że gra jest... Ale przy Cyberpunku są spokojni.
9553:  To jest kolejny byproduct tego, co się podziało, nie?
9558:  Ja jeszcze muszę zagrać w Medium od Bloobera, bo widziałem duże fragmenty na YouTubie i chociaż ja nie znoszę horrorów, to muszę dać szansę.
9573:  Absolutnie są pewni, że...
9577:  Dalej?
9577:  Nic, nic?
9579:  Oj, czyli ten pistolecik niestety po prostu ma 24 naboje, to jest koszmar absolutny.
9584:  Dobra, nic tu nie możemy więcej zrobić.
9589:  Dobrze.
9590:  Teraz czuję, że ktoś nas zaatakuje.
9593:  Oczywiście.
9601:  Okej.
9614:  Yennefer, przestań przytulać się do niewłaściwych obiektów nieożywionych.
9624:  Strasznie irytujący są ci Rocket Many.
9629:  Dobra.
9631:  Kaiden, masz tam zasięgnięcie, ma?
9634:  Zobaczymy, czy nasza biotyka tam sięgnie.
9638:  Sięgnęła!
9642:  Dobrze, biegniemy tutaj, będziemy mieli jeszcze lepszy zasięg.
9647:  Tyle?
9648:  Ktoś jeszcze?
9650:  Miranda, przydupas, tutaj.
9654:  Medium to Thriller, yyy... Devi uważają, że nazwanie tego horrorem byłoby błędem.
9659:  Okej!
9661:  Niemniej... Niemniej, z tego co widziałem na różnych gameplayach, było to ponad mojej siły.
9670:  Powodzenia w oglądaniu naszej reprezentacji, podziwiam samozaparcie.
9676:  Prymitywni sojusznicy, przybywajcie.
9683:  Teraz potrzebujemy tego naszego znakomitego pistoletu, który chybia.
9692:  Pistolet w sam raz dla Magini.
9698:  Nie, ale naprawdę, biotyka tu jest 700 razy lepsza niż w pierwszym Mass Effect'cie.
9713:  Carniflex ma wysokie obrażenie na strzał, okej.
9718:  Będzie trzeba go zaopatrzyć, myślę.
9721:  Sugerowali zresztą nam zaopatrzenie się w ten pistolet na tę misję, ale ja oczywiście to zignorowałem, stwierdziwszy, że mamy przecież potężną biotykę i właśnie widzimy, jak na tym wychodzę.
9731:  Westfam.
9734:  Mamy... Dobrze.
9739:  Arcane?
9740:  Ja mam nadzieję, że Arcane szykuje kolejnego Dishonored, słuchajcie, bo Dishonored to jest gra mojego... Gra mojego życia.
9747:  Jedna z wielu.
9751:  Ośmieliłeś się stanąć na drodze Magini, Shepard.
9756:  To był bardzo zły pomysł.
9763:  Ooo.
9767:  Czemu wszyscy zginęli znowu?
9786:  A, to ten jest.
9792:  Dobra.
9800:  Chcę wybrać ten pistolet, dziękuję.
9806:  Będzie idealny na tłustego, głupiego kroganina.
9819:  Co to jest?
9821:  Jaki... Jaki miotacz ognia i ja go nie mam?
9824:  Czemu nie mam miotacza ognia?
9827:  Udało się.
9831:  Jeżeli Arkane Studios w przypadku Dishonored zrobiło jeden z lepszych, moim zdaniem, systemów rozwoju świata i całej franczyzy,
9843:  Po prostu jest takie milczące założenie, że kolejne części będą nam odpalały kolejne lokacje w świecie.
9851:  Tak jak było z Serkonos chociażby.
9854:  I zakładam, że będzie bardzo podobnie z częścią trzecią.
9857:  Moja teoria fanowska jest taka, że to nas zaprowadzi na pandyzję i będę zachwyconym człowiekiem wtedy.
9865:  Halo, policja, Krogan szkalują.
9867:  Halo, policja, proszę przylecieć na Normandię.
9873:  Póki nie mamy w drużynie Rexa, trudno.
9881:  Żółte paski szybko schodzą heavy pistoletem, a bariery niebieskie i fioletowe... O, no dobrze wiedzieć, dobrze wiedzieć.
9895:  Uwielbiam to, jak oni wrzeszczą, powiedział każdy psychopata zawsze, w momencie, w którym uderza ich biotyka, to jest przepięknie zrobione.
9911:  Tak!
9913:  Dobrze.
9916:  Włączamy wiatraki.
9918:  Nasz pecet jest dobrze schłodzony.
9921:  Na Pantenzji według obecnego lore nie ma nic oprócz dżungli i szczurów.
9924:  No wiem, właśnie to jest ciekawe.
9928:  Bo na pewno to jest kłamstwo.
9931:  Widzicie, to jest tak samo jak z tym kontynentem na południe w świecie Martina, czyli Sotorios.
9945:  Okej.
9948:  Zdjęłam zamówienie, żeby ich opuścić, jeśli odpuszczą Cię.
9951:  Czarny mężczyzna z Majta i Magiki.
9953:  Czarny mężczyzna z Majta i Magiki.
9957:  Czarny mężczyzna z Majta i Magiki.
9960:  Czarny mężczyzna z Majta i Magiki.
9962:  Czarny mężczyzna z Majta i Magiki.
9963:  Czarny mężczyzna z Majta i Magiki.
9965:  Czarny mężczyzna z Majta i Magiki.
9966:  Czarny mężczyzna z Majta i Magiki.
9968:  Czarny mężczyzna z Majta i Magiki.
9969:  Czarny mężczyzna z Majta i Magiki.
9971:  Czarny mężczyzna z Majta i Magiki.
9972:  Czarny mężczyzna z Majta i Magiki.
9973:  Czarny mężczy
9976:  Czy Dark Messiah of Might and Magic nie wyszedł przypadkiem wtedy, kiedy taka stara gra Sacrifice?
9985:  Czy grać Emily czy Corvo?
9988:  A, a tu muszę wam opowiedzieć pewną historię.
9991:  Ja miałem pełen lore play, jeżeli chodzi o Dishonored, to znaczy grałem Corvo Attano i potem jak Emily została znowu zagrożona i tak dalej, to w moim playthrough w drugiej części Corvo grał czysty chaos, wszystkich wybijał, ponieważ nie był w stanie wytrzymać, że nie zdołał ochronić kolejnej ważnej osoby w jego życiu, wpierw cesarzowa, a potem Emily.
10014:  I dla mnie to miało wtedy uzasadnienie.
10015:  Natomiast jak grałem Emily, to wtedy low chaos, absolutnie.
10020:  Jest, jest.
10022:  Mordin with us.
10031:  Idziemy teraz.
10037:  Do zobaczenia na Normandy.
10060:  Witaj w Normandii profesorze.
10062:  Jestem bardzo zadowolony.
10063:  Tak, bardzo zadowolony.
10064:  Cerberus pracuje z alienami.
10065:  Nieoczekiwane.
10067:  Elusyjny człowiek, może się wyrzuca?
10068:  Nie tak humanistyczny.
10069:  Bardzo dobrze się informujesz.
10074:  Muszę powiedzieć, że rzadko kiedy w grach jest napisana fajnie postać naukowca, to znaczy w taki sposób, że to nie jest jakiś
10093:  psychopatyczny idiota, albo wariat, albo sidekick, tylko autentyczny intelektualista i jeszcze w dodatku sposób w jaki on mówi jest po prostu perfekcyjny.
10104:  Ach, uwielbiam Mordina, jest wspaniały.
10108:  Zawsze się przemawiam z jego imieniem przez Modern... tego inkwizytora od piekary.
10115:  Madernin Mordimer.
10116:  Mordimer, o, przypomniałem sobie.
10119:  Kolektori obdukowali kolonistów z powierzchni systemów Terminus.
10122:  Nie pojawia się żadnych sygnałów dystresu, żadnych oczekiwań ataku.
10125:  Jest prawie bezwzględna wiadomość, że żadnego nieskończonego wydarzenia się nie pojawiło.
10130:  Tylko, że każdy mężczyzna, kobieta i dziecko uciekło.
10132:  Gęstość, może?
10133:  Nie, rozszerza się za rzadko.
10134:  Wirus z powietrza?
10135:  Nie, rzadziej niż gęstość.
10136:  Gra nie pozwala wracać do miejsca, gdzie jest misja Mordina?
10139:  Ciekawie, fascynujące.
10140:  Nie ma dysfakcji.
10142:  Nie musisz siedzieć tam i wygadać.
10143:  Zbieraliśmy samoloty z jednej z kolonii.
10145:  Chciałabym, żebyś je analizował i dowiedział się, jak to robili.
10148:  Tak, oczywiście.
10149:  Analizuj te samoloty.
10151:  Będzie nam potrzebne laboratorium.
10152:  Jest w pełni skupione laboratorium na dekcie kombatu, profesor Solas.
10156:  Jeśli znajdziesz czegoś niepotrzebnego, zapraszaj do zakupu.
10160:  Kto to?
10160:  Pilota?
10160:  Nie.
10160:  Szybki głos, symulowane emocjonalne inflekcje.
10162:  Czy to... nie.
10163:  Może.
