Mass Effect EDYCJA LEGENDARNA — Livestream
🔗 https://www.youtube.com/watch?v=fxSlrdEm6LY

3:  Witaj się na streamie.
9707:  Jako bronie.
9710:  Czekaj, jest jeszcze coś.
9713:  Sarah nie była jedyną.
9715:  I w jeden krok bliżej do wrócenia Reapers.
9720:  Nie zrozumiałem tej drugiej głosu, tej, która mówi o Reapersach.
9724:  Wydaje mi się, że słyszałam ten nazwisko wcześniej.
9726:  Zgodnie z memory core, reaperzy byli hyper-adwansowanej maszynowości, która istniała 50 tysięcy lat temu.
9736:  Reaperzy jeżdżali protienami do całkowitego zniszczenia, a potem zniszczyli się.
9742:  Przynajmniej to jest to, co wierzy Gath.
9745:  Brzmi trochę niebezpiecznie.
9752:  Talia zawsze ma rację.
9754:  Słuchaj.
9775:  Nazywam się Tali.
9778:  Widziałeś mnie w linii, komendantze.
9781:  Wiesz, co mogę zrobić.
9782:  Pozwól, żebym przybyła z tobą.
9788:  Co o twojej questie?
9790:  Pilgrzymia pokazuje, że jesteśmy wdzięczni, że dostajemy się dla większego dobra.
9795:  Seiren jest niebezpieczny dla całej galakcji.
9797:  Moja podróż może czekać.
9798:  Będę wziął wszelką pomoc, którą mogę dostać.
9800:  Dzięki.
9800:  Nie przegapisz się tego.
9801:  Anderson i ja przejdziemy, by zrobić wszystko gotowe z konsulą.
9822:  Och, co za, co za straszny wybór teraz.
9826:  Czy chcemy Garusa i Tali, czy chcemy Reksa i Garusa?
9831:  Mmm, mmm!
9832:  Co teraz?
9834:  Nie, nie, nie ma, nie ma opcji, musi być Tali.
9837:  Tali jest inżynierem.
9839:  Combat Strength.
9841:  Mmm.
9841:  Mmm.
9845:  Garus musi zostać, nie, nie ma opcji, musi zostać Garus.
9850:  Garus Italii teraz jest na odmianę.
9852:  Accept.
9853:  Trudno.
9854:  Podarujemy sobie złośliwe uwagi Rexa.
9857:  Expose Saren.
9859:  Return to the tower.
9861:  Ale dzisiaj wędrujemy.
9864:  Chcę mieć jakiś... Terminal.
9871:  Terminalu szukam cię.
9873:  Tędy do terminalu.
9877:  Tejna?
9877:  Tejna nie kojarzę.
9878:  Czemu ja nie kojarzę Tejna?
9880:  I could spare a moment of your time.
9882:  I could spare a moment of your time.
9885:  My name is Samesh Bhatia.
9887:  Forgive the intrusion, but I have nowhere else to turn.
9890:  I'm Samesh Bhatia.
9891:  I'm from IT support.
9892:  It's no trouble.
9894:  What can I do for you?
9895:  Moja żona była marinerką.
9896:  Zaprosiłem, żeby moja żona odwróciła się do mnie na kremację, ale żołnierze odrzuciło moje zaproszenie.
9901:  Proszę o dłuższe informacje.
9904:  Musi być jakiś powód.
9906:  Nie wiem.
9908:  Wszystko, co wiem, to to, że czarodziejki nie lubią siebie.
9910:  Nie ma powodu, żebym odwróciła się do mnie.
9912:  Dziękuje za wasz czas.
9915:  Dobrze, dostaliśmy nowy quest.
9918:  I teraz idziemy do szybkiej podróży.
9921:  Sprawdzimy tylko, czy nie ma jakichś innych questów, bo już się nauczyłem.
9924:  To sobie możemy unmarkować.
9926:  Dobrze.
9928:  Tu coś jest.
9929:  Talk with the diplomat.
9931:  Idziemy.
9940:  Dobrze, idziemy do dyplomaty.
9943:  Tup, tup, tup.
9949:  Ja jestem tylko bardzo zaniepokojony o siły witalne mojej czarodziejki.
9954:  Aha, nie umiem jak zwykle chodzić tutaj.
9957:  Mianowicie ona tak sapie, że ja się boję, że jeżeli przyjdzie do rzucenia jakichś potężniejszych zaklęć, to może się poddać.
9966:  Aczkolwiek muszę powiedzieć, że w trakcie walki już sobie zaczyna radzić coraz lepiej.
9970:  Oczywiście w tych rzadkich chwilach, w których nie ginie.
9977:  Jakoś uspokajająco działa na mnie ta gra, pomijając oczywiście moje szaleństwa w trakcie walk, to znaczy ta muzyka i ten setting, przepiękny absolutnie, ach.
9991:  O mój Boże, ty jesteś komendantem Shepard?
9993:  Tak, oczywiście, jestem słynna.
9995:  Ktoś zrobił wyjaśnienie w dyplomatycznym korporacji.
9996:  Czy jest coś, co mogę zrobić... Tak, człowiek nazywa się... Aaa, panie Bhatia.
10001:  Przewodnicząca Narali Bhatia umarła na Eden Prime.
10004:  Jej łuky są niezależne od żadnego typu zniszczeń wojennych, które widzieliśmy wcześniej.
10008:  Dlatego jej ciało jest zablokowane.
10010:  Myślisz, że jej ciało może być niebezpieczne czy kontaminowane?
10015:  Nie, komendantze.
10016:  Narali Bhatia nie jest niebezpieczna.
10018:  Jej ciało jest w rzeczywistości ekstremalne.
10021:  Testy, które prowadzimy, mogą prowadzić do lepszych defensów przeciwko atakom Geth.
10026:  Zresztą, przewodnicząca Bhatia może uratować więcej żyć w śmierci niż w życiu.
10032:  Ale Bioware to czy robi science fiction, czy brutalne dark fantasy, czy epic muza, ta sama zawsze.
10037:  That's a good point, faktycznie.
10040:  Naprawdę polecam się zainteresować drzewkiem rozwoju umiejętności korzystania z pistoletów w niedalekiej przyszłości.
10045:  Może to się okazać kluczowe.
10046:  Dziękuję za ten dyskretny tip.
10049:  Zostanie to zrobione.
10068:  Świetnie!
10070:  Świetnie, możemy wrócić do naszego człowieka od IT Support i z nim porozmawiać, a w tak znanym międzyczasie sprawdzam, sprawdzam w tym momencie drzewko... Gdzie jest drzewko rozwoju?
10081:  Journal Squad.
10083:  Pistols.
10086:  No faktycznie, nie mamy absolutnie nic tutaj.
10091:  Będzie trzeba, ale przy okazji możemy wylewelować talii.
10095:  Ta... o, overload jest bardzo dobry, bo będzie do... Dobry do walki z gettami.
10106:  Dobrze.
10108:  Moja stała zasada brzmi, że oni wszyscy mają być znakomicie wprost.
10116:  Okej.
10127:  Gdzie jest... Gdzie jest nasz... Gdzie jest nasz człowiek z IT Support?
10140:  Samesh Bhatia!
10141:  We had a good inform... Level up!
10144:  Dobrze!
10153:  Level up.
10154:  Dobre informacje dla czatu.
10157:  W ramach level upu robimy... Czemu ja nie mogę?
10162:  Hej!
10163:  Required basic up.
10167:  Naprawdę?
10168:  Muszę wbić pięć punktów w to, żeby odblokować hendożone pistolety.
10179:  No dobrze.
10182:  Co za marnotrawstwo.
10186:  Ta umiejętność Maxman jest bardzo użyteczna jak się gra adeptem.
10189:  Robi ze zwykłego pistoletu pistolet maszynowy, przydaje się na większy przeciwnik albo duże fale.
10193:  Okej, I stand corrected.
10195:  Po prostu mnie boli serce za każdym razem, jak mam wydać jakiekolwiek punktu umiejętności nie na magię.
10208:  Co?
10208:  Hmm... tak, jest coś, czego chcesz?
10209:  Dlaczego jesteś tak zainteresowany kluczami?
10211:  Nie spędźmy czasu, mogę zobaczyć linię.
10212:  Nie jestem pewien, czy powinienem się z tobą o tym rozmawiać.
10236:  Legendarny mam tryb, ale już wiem.
10239:  Tak, wybieraliśmy na samym początku.
10240:  Mam legendarny, nie standardowy.
10242:  Czy można ją uczesać, naszą Maginie?
10246:  Ale jest dobra, taka zadziorna jest.
10248:  Standardowy ma 60 leveli, a legendarny 30?
10253:  Czemu legend...
10266:  Kto wymyśla takie rzeczy?
10267:  W jakim uniwersum legendarny poziom jest niższy niż standardowy?
10272:  To jest tak z profesorami w Polsce, że profesor nadzwyczajny jest gorszy niż profesor zwyczajny.
10282:  Nic nie było w opisie.
10284:  Protestuję.
10285:  Widział Krzysztof, który stworzył sobie złą postać na początku, bo nie czytał opisów.
10291:  Let me help.
10292:  A, to jest ten słynny quest.
10295:  Dobra.
10305:  Quest ze znalezieniem absolutnie wszystkich cudownych i radosnych Keeperów.
10311:  Dobrze.
10314:  Mr. Anderson?
10318:  Ooo, jest znowu ta rada.
10330:  Chciałeś dowód?
10332:  Jest tam.
10334:  Ta dowódność jest niezbędna, ambasadorze.
10335:  Saren zostanie utrzymywany od statusu spektra i wszystkie próby będą zostały zrobione, by przynieść go do odpowiedzi na jego krzywdę.
10340:  Zrozumiałam drugą głos, który rozmawiał z Saren.
10347:  Matriarka Benezia.
10349:  Kto jest ona?
10350:  Matriarki są silni Asarii, które weszły w ostatni stwór z Maginią.
10355:  Wierzyły w ich wiedzę i doświadczenie.
10358:  Służą jako guida i mentorzy dla mojego ludu.
10361:  Matriarka Benezia jest silnym biotykiem i miała wiele posłuszeństw.
10364:  Zrobiła niesamowity władzę dla Saren.
10366:  Jestem bardziej zainteresowanymi Reapami.
10369:  Co o nich wiesz?
10370:  Tylko to, co zostało zdobyte z memory core'a Geth.
10374:  Reaperzy byli starym rodziną maszyn, które wyłapały Protheum.
10378:  Potem zniszczyli.
10380:  Geth wierzy, że Reaperzy są bogami, a Saren jest profetem do ich powrotu.
10385:  Myślimy, że Konduit jest kluczem do powrotu.
10388:  Czy nawet wiemy, co to jest Konduit?
10391:  Saren myśli, że może wrócić do Reapers.
10393:  To zbyt źle.
10393:  Słuchaj tego, co mówisz.
10395:  Saren chce wrócić do maszyn, które zniszczyły całe życie w galakcji?
10398:  Niemożliwe.
10400:  Gdzie poszły Reapers?
10400:  Dlaczego zniszczyli?
10402:  Dlaczego nie znaleźliśmy znaków ich istnienia?
10404:  Nie wiedzieliśmy, że znajdziemy coś.
10408:  Próbowałam cię oczekować o Saren, a ty nienawidzisz się do rzeczywistości.
10412:  Nie zrób ten sam błąd znowu.
10414:  To jest inaczej.
10416:  Udowodniłaś, że Saren zniszczył księgę.
10418:  Wszyscy zgodzimy się, że użyje Geth do poszukiwania Konduitu, ale nie... Reaperzy oczywiście są tylko myślą, komendantze.
10424:  Udajny błąd, aby osiągnąć prawdziwy cel Sarena.
10427:  Legenda, którą używa, by odkręcić Geth do swojego umysłu.
10430:  Pięćdziesiąt tysięcy lat temu reaperzy zniszczyli całą cywilizację galaktyczną.
10434:  Jeśli Saren znajdzie Konduit, to znowu się wydarzy.
10438:  Cern jest żałobnym agentem na rynku dla swojego życia.
10440:  On już nie ma prawa ani zasobów dla spektra, który może wyrzucić jego pozycję.
10445:  To nie jest wystarczająco dobre.
10448:  Wiesz, że stoi gdzieś w trakcie.
10449:  Zostaw swój flit, nie możesz odzyskać jednego człowieka.
10454:  Ale nierówny flit mógłby ubezpieczyć całą region.
10457:  Zostawić gett z atakowaniem jakichkolwiek z naszych kolonii.
10460:  Albo mógłby powstrzymać wojnę z systemami Terminus.
10463:  Nie będziemy wdrażani do galaktycznej konfrontacji ponad kilkanaście ludnych kolonii.
10469:  Proszę.
10469:  Nie tylko władza mocą, ale jeszcze ma talent dyplomatyczny.
10508:  Otrzymujesz tytuł Najwyższej Magii Nictadeli.
10519:  Tak, to ten moment.
10527:  To decyzja Księżyca, że zostaniesz przyzwyczajony do wszelkich sił i przywilejów specjalnej taktyki i zrównoważonej części miasta.
10534:  Spektrów nie są trenowani, ale wybrani.
10538:  Indywiduali stworzonymi w sferze służby i walki.
10541:  Ci, których akcje wylewują ich poniżej rynku.
10544:  Spektrów to idealne, symbol, złożenie wierzy, decyzji i własnej relacji.
10550:  Są prawą ręką Księżyca, instrumentem naszej wolności.
10557:  Arcymagmasy.
10559:  Lubię to.
10560:  Give that chat a cookie.
10563:  Tak.
10564:  Dziś chat ma same dobre pomysły.
10582:  Nie, nie będziemy dziękować!
10584:  Mówimy konkretnie!
10585:  Jesteśmy dumni!
10587:  Co jest moją pierwszą misją?
10590:  Wysyłamy cię do trawersu po serenie.
10591:  On jest fudżetem z Justycy, więc otrzymujesz wszystko, co należy do tego, by go odzyskać lub wyeliminować.
10595:  Tak, lubię.
10597:  Od razu... To jest z tego przecież... No, z Doktora Strange'a.
10602:  Z Leeds.
10602:  Czy masz pojęcie, gdzie go znaleźć?
10606:  Przechodzimy wszystkie relevantne dokumenty do ambasadora Udina.
10608:  Ta spotkania z Księgiem jest zakończona.
10610:  Gratulacje, komandorze.
10611:  Znalazłeś wiele rzeczy.
10612:  Potrzebujesz samolotu, drużyny, sprzętów?
10614:  Będziesz mieć dostęp do specjalnego sprzętu i treningu.
10616:  Powinieneś iść do szpitala C-2.
10619:  Anderson, przyjdź ze mną.
10619:  Potrzebuję twojej pomocy, by to wszystko ustalić.
10622:  Myślałam, że profesor będzie trochę bardziej wdzięczny.
10625:  Nawet nie dziękuję ci.
10645:  Boże, głos Garrusa i głos Tully, to jest po prostu coś wspaniałego.
10649:  Specter Training Talent Unlocked?
10653:  Uuu... Increases the damage and duration of all your powers?
10665:  Aaa...
10668:  Dobrze.
10669:  Dobrze.
10670:  To będziemy w to inwestować.
10672:  Ale mówicie, że 30 punktów jest, tak?
10679:  Ale na szczęście można, bo to jest jeszcze w tych czasach, kiedy można było punkty za darmo z tego, co widzę, bez żadnego problemu.
10694:  Można dorabić punkciki.
10695:  To dobra, bo teraz chciałem zrobić undo i chyba się nie da wcześniej, a właśnie miałem pochwalić grę.
10701:  Dobra, czy tutaj przypadkiem nie ma, tak?
10704:  Bo mamy ten assignment związany ze scan the keepers, więc chciałbym przy okazji sprawdzać... Boże, mamy 20 jest tych keeperów do zeskanowania.
10712:  Chyba kogoś... Chyba kogoś absolutnie, całkowicie i dokumentnie pojebało.
10726:  Czyli musimy znaleźć... 19 tych pająków jeszcze!
10732:  Świetnie!
10736:  Nie można cofać wcześniej zatwierdzonych punktów, tylko te świeżo wydane.
10740:  Mmm, bardzo niedobrze.
10741:  Bardzo niedobrze.
10745:  Cześć robaczku, zostałem zeskanowany mniejszym.
10748:  Dobrze, to chyba są wszyscy kiperzy, z tego co wiem.
10750:  I tak wiem, że tak wszystko się skończy na tym, że pominę gdzieś jednego i będę latał po całej mapie.
10756:  Są modliszki jakieś, dobrze.
10759:  Czy... Pajęczaki, no, ma więcej niż cztery nogi, ja toleruję zwierzęta do czterech nóg.
10767:  Na szczycie tej hierarchii są jamniki, potem cała reszta.
10772:  Zresztą muszę powiedzieć, że czarodziej czy mag z jamnikiem to byłby najgłupszy wygląd jaki sobie można wyobrazić.
10785:  Proszę bardzo.
10787:  Dostajemy newsfeed.
10800:  To jest piękne, jak oni wszyscy nie wiedzą, gdzie spojrzeć.
10803:  Dobra, o, Keeper.
10805:  Według Lure te modliszki to... Boże, czy powiedziałem Lure?
10809:  Lore.
10809:  Te modliszki to pierwsza rasa wykasowana przez żniwiarzy, zostawili ich sobie do naprawiania w Cytadeli.
10814:  Ooo, ale no, super, super informacja.
10818:  Uwielbiam... Uwielbiam... Uwielbiam Lore.
10823:  Please do not disturb the Keepers.
10826:  Dobrze, i tak idziemy w tamtą stronę.
10832:  O. Co to za ksenofobia?
10836:  Bądź bardziej otwarty.
10838:  Jesteś racistą!
10840:  Nie jestem nieprawidłowy.
10842:  The Hanar jest wolny odmawiać jej nonsensu, gdy kupi ewangeliczny urzędnik.
10846:  Więc jeśli The Hanar otrzyma urzędnik, to jest pozwolony śpiewać?
10850:  Nie.
10853:  Niezbędność w poszukiwaniu regulacji powoduje zniszczenie licencji.
10856:  Jaki jest powód za pomocą urządzeń ewangelicznych?
10859:  Wstrzymywanie religijnych ewangelicznych do zaznaczenia urządzeń urządzeń wywołuje bezwzględności.
10864:  Cytatela jest zbyt ważna, by stać się podstawą do wojny religijnej.
10866:  Jeśli chciałbyś, mogłabym się z nim porozmawiać.
10868:  Rozmawiałeś ze stupornym jelitą całą wieczór.
10870:  Zdecydowanie jesteś zadowolony z próby.
10872:  Czy chcesz nauczyć się księży?
10877:  Czy posiadający oficer CISAC posiadł się za pomocą?
10884:  Co tu się dzieje?
10887:  Oficer CSEC prosi, aby ten kupił permit ewangeliczny, aby rozwijać wiadomość wierzących.
10890:  Pozwól mi porozmawiać z oficerem CSEC.
10895:  Ten byłby najgratulniejszy za wsparcie.
10897:  Proszę, pozwól, żeby ten wiedział, czy sukces jest możliwy.
10900:  Jakieś progresy z tym Hanar?
10907:  Myślałem, że to będzie prosty quest.
10934:  Tak.
10935:  Elevator music w tych windach to jest absolutne mistrzostwo, a 100% tak się zgadzam.
10943:  Przy okazji widzę, że mamy lore discussion na czacie dotyczącą kasowania gatunków przez żniwiarzy.
10963:  Aha, daj mi pieniądze i fejm.
10965:  Dostałem omnijel, dostałem expa i co dostałem jeszcze?
10973:  DACZEGO NIE DOSTAŁEM PINIĘDZY? !
10992:  Deliver information.
10994:  Go to Upper Worlds.
10996:  Dobrze, to jeszcze musimy iść do Upper Worlds, z tego co widzę.
10998:  Znajdźmy jakiś punkt szybkiej podróży.
11000:  Chciałbym wyczyścić większość questów z tych, które tutaj widzę, ale widziałem jeszcze gdzieś to robactwo, do którego chciałbym podejść.
11006:  O proszę, dzień dobry robactwo.
11009:  Robactwo zeskanowane.
11012:  Co tu jest?
11013:  Worlds.
11015:  Świetnie.
11016:  Czy to są Upper Worlds zarazem?
11021:  Nie sądzę, że do Upper Worlds się idzie w dół, ale... Kto wie.
11031:  Polecam bardzo również przejść DLC Layer of the Shadowbroken, można sobie poczytać dużo członka drużyny.
11040:  Ale pytanie, czy Legendary Edition musi mieć DLC-ki?
11044:  Tak mi się wydaje.
11047:  Więc jak ci się podoba twoje posty w Akademii?
11049:  Dobrze, ale bardzo zajęte.
11051:  Nie wierzę w to, jak szybko wchodzę z szpitala.
11061:  Jeśli czujesz się szczęśliwy, powinniśmy odwiedzić kasino w Flux.
11079:  Cytując wiki Mass Effecta, they theorize that the Keepers were as old as the Citadel itself.
11087:  To jest piękne, że one nie mówią w ogóle, czy oni nie mówią.
11090:  Proszę bardzo, do zeskanowania następny.
11094:  I wydają jedynie takie niezidentyfikowane odgłosy, prawda?
11099:  Panarzy.
11110:  Właszczcie, jakie te nazwy są eufoniczne.
11113:  Hanarzy od razu się kojarzą z czymś dystyngowanym.
11125:  Spoilery zaczynają wchodzić na niebezpieczny poziom na czacie.
11130:  Dobra, door control.
11133:  Mam wrażenie, że tutaj byłem.
11135:  Ale pamiętajmy, że moja skleroza jest legendarna.
11142:  Aaa, tak, tak, tak, tak, tak, zdecydowanie tutaj byłem, ale tego się nie dało wcześniej otworzyć chyba.
11150:  Morlan.
11152:  Dzień dobry.
11152:  Okej.
11152:  Nie.
11152:  Chciałem, chciałem przejść do Upper Walls.
11155:  Nie, nie, nie, nie, tu nie chcę wrócić, absolutnie.
11172:  Wracamy.
11174:  Dobra.
11177:  Niepotrzebnie nas tutaj zagnało.
11181:  Idzie na Terrum lepiej.
11183:  Dobra.
11184:  Ogarniemy.
11185:  Ten jest zeskanowany, jest zeskanowany.
11188:  O, o, o, tu widzę wykrzyknik.
11189:  Generalnie chciałem zdać ten quest, który tutaj mamy uczynić.
11193:  Po to w ogóle się tutaj znalazłem.
11196:  I pytam, gdzie jest ten quest.
11197:  Dobrze, tutaj.
11199:  Emily Wong.
11202:  Emily Wong, dzień dobry.
11203:  Aaa, to jest ta dziennikareczka.
11222:  Świetnie.
11223:  Dobrze, questy zaczynają być zdawane, to mi się bardzo podoba.
11231:  Terum.
11233:  Gdzie jest Terum?
11236:  Coś jeszcze mamy?
11238:  Unusual readings?
11239:  Nie, tu już ma nic na Cytadeli.
11241:  Terum jest na Cytadeli?
11245:  No niektóre tekstury są spikselizowane, ale naprawdę w jedynce wyglądało to znacznie gorzej.
11252:  Idź do Akademii SOC, tam jest winda do docków.
11256:  Tylko nas marsnie na punk.
11258:  Dobra.
11260:  Akademia SOC to jest tutaj, zdaje się.
11262:  Nie, nie, tutaj.
11263:  Dobra, gdzieś był system szybkiej podróży, ogarniemy to w ten sposób.
11267:  Gdzie był system szybkiej podróży?
11269:  Przysiąkłbym, że był tutaj.
11271:  Czemu go nie ma tutaj?
11275:  Czyli jeśli nigdy nie grałem w Mass Effecta, warto kupić edycję legendarną?
11278:  Absolutnie tak.
11279:  Nie dość, że właśnie jak się dowiedziałem, są wszystkie DLCki w niej, to jeszcze w dodatku, no naprawdę, Mass Effect to jest... Rzadko to mówię, ale to jest jedna z tych rzeczy, w które po prostu każdy powinien zagrać raz w życiu i samemu tego doświadczyć, bo...
11293:  Wiadomo, że na streamie to nigdy nie jest to samo, a Mass Effect jest generalnie rzecz biorąc grą, w której się podejmuje decyzje.
11302:  I te decyzje naprawdę zmieniają bardzo dużo.
11306:  Akademia SOC mieliśmy tam iść, dobra.
11309:  World Location to jest tu.
11311:  Czy nie?
11313:  CSEC.
11317:  Nie ma Pinnacle Station DLC outsourcowanego.
11323:  No wiadomo, że mody tak.
11326:  Boże, co to był za okropny dźwięk.
11330:  Nie, zdecydowanie nie tutaj chciałem się znaleźć.
11335:  Dobrze, idziemy za questem głównym na razie.
11340:  Quest główny... Tu jeszcze nie byliśmy.
11345:  Właśnie tutaj miałem... W sensie miałem tam być przed... Okej, to czekaj, to cofnę się.
11354:  Już, już, już, już.
11355:  Widzę, widzę na czacie.
11356:  To było w... SC.
11358:  Dobra, wracam tam.
11363:  Co tu się działo?
11365:  Ja tu nie mam nic na znaczniku interesującego.
11369:  Patrzyłem na dobrą windę.
11370:  Na tę windę?
11371:  Do Queen Bay, faktycznie.
11373:  Później, w dzisiejszym raporcie Emily Wong zainwestuje się w korupcję na Cytadeli i odkrywa pełnoletni syndykat kryminalny.
11384:  Ja zawsze się głupiłem nad Stadeli.
11386:  Zawsze.
11387:  Ambasador Udina.
11389:  Talk.
11392:  Hello, Ambasador Udina.
11394:  Winda do doków!
11395:  Tak, widzę!
11396:  Dziękuję.
11396:  She's quick and quiet, and you know the crew.
11400:  I'll take good care of her, sir.
11402:  I know you will, Commander.
11406:  What kind of leads do we have?
11407:  Zara's gone.
11409:  What about the Reapers?
11411:  Count on me.
11411:  Peros, Noveria czy Artemis Tau?
11438:  Czad jako decyzję podejmiemy.
11441:  Ja jestem za Nowerią, ale nie wiem, czy to nie będzie złe.
11445:  Jeszcze jest od tych modliszka.
11446:  According to vigil, the keepers were likely only a race that was either created, conquered or indoctrinated by the reapers, possibly even the first race they enslaved.
11461:  No Artemis Tau jest terum.
11464:  Artemis Tau it is.
11465:  Sounds like we should head for the Artemis Tau cluster.
11468:  Taweria może być ciężka?
11473:  Dobra, okej.
11475:  Journal, paragon, świetnie!
11483:  O, o, o, o, o. Robak.
11486:  Chodź robaku.
11490:  Boże, jakie to jest piękne.
11493:  Naprawdę, ja nie muszę mieć hiperrealistycznej grafiki, wystarczy, że coś jest zaprojektowane ze smakiem.
11501:  Stand by, shore party.
11505:  Decontamination in progress.
11512:  No wyrysiedlejesz z Benezją, która ma multum komandosek Asarii, o i to nie.
11517:  Sponsor potrwa do batalii, a potem zostanie zniszczona przez politykę z tyłu.
11520:  Spójrz tylko na tył, komandorze.
11521:  Jeśli coś się wydarzy na tej misji, to ty będziesz następny na swoim kształcie.
11529:  Nie, muzyka jest po prostu magiczna.
11535:  Pogadać z zespołem?
11537:  Pogadamy, pogadamy, absolutnie.
11558:  To komandant Shepard.
11559:  Mamy urządzenia.
11561:  Znajdź Sarina zanim znajdzie kondukcję.
11564:  Nie błogosławię, drużynie.
11565:  Ta misja nie będzie łatwa.
11574:  To zaczęło się z atakiem na ludzkie osiedlenie na trakcie.
11578:  Ale wiemy, że Sarina nie zatrzyma się tam.
11581:  Jego armii Geth nie zostaną na dalekich górach Spacu Cytadela.
11590:  Za długo nasza specja stała się od innych.
11592:  Teraz jest czas, żebyśmy wstąpili i robili naszą rolę dla reszty galakcji.
11597:  Czas pokazać im, czym ludzie są stworzeni.
11599:  To jest najważniejsza misja, na którą każdy z nas kiedykolwiek był.
11606:  Człowiek całej galakcji jest w stanie.
11608:  Zatrzymamy Saren, bez względu na koszty.
11609:  Dobrze powiedziane, komendantze.
11611:  Kapitan będzie zadowolony.
11618:  Kapitan wydał wszystko, żebym mogła mieć tę szansę.
11620:  Nie możemy przegrać.
11621:  Tak, Pani Wójt.
11640:  Ooo, jakie to było cudowne.
11642:  Hehe, to prawda.
11666:  Chciałabym znać moją karierę.
11668:  Mogę zobaczyć, gdzie to idzie.
11670:  Zrobiłeś background.
11671:  Chcesz mnie jako twojego pilota.
11673:  Nie jestem dobry.
11673:  Nie jestem nawet świetny.
11674:  Jestem najlepszym cholernym żołnierzem w aliancie.
11676:  Na górze mojej klaski w szkole podróżowej, osiągnąłem to.
11678:  Wszystkie te komendacje w moich dokumentach, ja... Mówisz... Mówisz, że nie wiedziałeś?
11685:  W porządku, mam syndrom Vrolix, chorobę brzydką.
11687:  Ciężar w moich nógach nigdy się nie rozwożył, są w zasadzie błyskawiczne, zbyt mocne i zniszczone.
11692:  Nawet z kręciami i moimi nógami jest trudniej się położyć.
11695:  Jeden błąd i krak!
11696:  To bardzo dramatyczne.
11698:  Zabierz Normandy w moje ręce i zrobię dla Ciebie śpiew.
11701:  Tylko nie zapytaj mnie, żeby się wstąpił i śpiewał, bez tego, że, wiesz, lubisz ten dźwięk śpiewańczyków.
11707:  Muszę wiedzieć więcej o tym Vrolixu.
11710:  Tak, oczywiście.
11712:  Jest to bardzo rzadka decyzja.
11713:  100 lat temu nie byłem w stanie przetrwać przez moje pierwsze lata.
11715:  Na szczęście dla mnie, nowe nauki medyczne zmieniły mnie w produktywnego członka społeczności.
11720:  Nie jeżdżę z moimi kciukami, komendantze.
11722:  Mogę robić moją pracę tak dobrze jak ktokolwiek na południu.
11725:  Nie próbuję Ci sprawić, że jesteś nieprzyjemny.
11726:  Co ty chcesz, komendantze?
11728:  Dlaczego wszyscy nazywają Cię Jokerem?
11730:  Jest to o wiele bardziej ostrożne niż mówić, że jestem żołnierzem podmiotu Allianza.
11734:  Poza tym lubię, żeby małe dzieci się uśmiechali.
11736:  Kurczę, dlaczego tak się nie pisze dzisiaj dialogów?
11739:  No naprawdę, przepraszam.
11740:  Grałem w styczniu w Cyberpunka.
11743:  Raz się tak zaśmiałem i było to przekłeście z pistoletem.
11746:  No... A naprawdę... Reggie mają bardzo dobrych scenarzystów.
11753:  Zobacz, ja nie wybrałem imienia.
11755:  Jeden z instruktorów w szkole podróżowej się bawił, że nigdy nie uśmiecham się.
11759:  Zaczął nazywać mnie Jokerem, hmm, i to się zmieniło.
11761:  Dlaczego nigdy nie uśmiechałaś się?
11766:  Wszystko mamy?
11767:  Wszystko mamy.
11769:  Dobra, do widzenia.
11786:  Świetnie.
11787:  F5.
11787:  Idziemy zapoznawać się dalej z załogą.
11790:  To jest piękne.
11791:  Ja czuję się w takiej sytuacji, jakbym był w środku filmu.
11796:  Co tu się dzieje?
11797:  Egzamin.
11799:  Uuuu!
11802:  3x Navigator Presley.
11805:  Gdyby ktoś musiał się zabrać za kapitana Andersona, szczęśliwy byś był.
11808:  Nie jestem pewien, czy mamy nieumyślnych na naszym samochodzie.
11810:  Mów, Presley.
11812:  Nie wiem, czy masz problemy z tym.
11814:  Nie jest to tak, komandorze.
11816:  Ludzkość zawsze zajmuje się swoimi problemami.
11819:  Saren atakuje nasze kolonie.
11820:  Musimy być tymi, którzy go zatrzymamy.
11822:  Nie potrzebujemy ich pomocy.
11824:  Niektórzy ludzie myślą, że prosić o pomoc... Myślę, że tak.
11827:  Może jestem po prostu zatrzymywany w starych sposobach myślenia.
11830:  Ale nie martwcie się, komendantze, to nie będzie problemem.
11834:  Musimy się odzyskać do Normandy.
11835:  Odzyskałem się z Alliansem jako nawigator, od szkoły.
11838:  Podążając za krokiem mojego ojca, myślę.
11839:  Byliśmy w Elysium.
11840:  Oni mieli te liczby, ale ich samochody nie są w porównaniu z Alliansem.
11844:  Było to zablokowanie.
11845:  Nie mogliśmy się odzyskać.
11847:  Jak się odzyskać do Normandy?
11849:  Dobra.
11861:  Nie pamiętam, co tutaj było.
11862:  Gdzieś jest doktor Chakwas i nigdy nie wiem gdzie.
11867:  Ale chyba jest ona na tym, na niższym poziomie.
11870:  Tak, tak, tak, tak, tak, tak, tak, tak.
11872:  Ona jest na niższym poziomie.
11874:  Idziemy do Dr. Chakwas, żeby uzupełnić Medi-Gel.
11878:  Pój Medi-Gelu.
11889:  Dr. Chakwas jest niżej.
11890:  Znaczy, cena edycji legendarnej na PS... A ile jest cena edycji legendarnej na PS Store, tak z ciekawości?
