Mass Effect LEGENDARY EDITION Livestream #5
🔗 https://www.youtube.com/watch?v=3_BXiLQwNPc

2:  Zaczynamy.
4310:  Tak, to prawda, to prawda.
4313:  Możemy przyjąć wspaniałomyślnie na poczet lo, że to jest dlatego, że Shepard ma teraz uzbrojenie widm.
4323:  Co wcześniej nie było możliwe.
4326:  Gdzie jest jakiś gett jeszcze?
4328:  O, tu!
4330:  Niszczyciel gettów, tak?
4333:  Kroganin.
4334:  O nie, dobrze, kroganie są... kroganie są... Tępi!
4337:  Tępy groganin!
4338:  Won!
4339:  Sześć!
4341:  Pięć!
4342:  Pięknie.
4346:  Bardzo lubię strzelać gettom w plecy.
4354:  O, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie,
4384:  Strzelamy do nich jak do kaczek.
4385:  O proszę bardzo, jak radośnie Gef sobie wyskoczył.
4389:  Bardzo, bardzo, bardzo daleko.
4393:  Gef Sniper, jesteśmy lepszym snajperem.
4403:  Mmm, jest mroczna muzyka, a ja się zgubiłem i nie wiem gdzie iść.
4408:  Spójrzmy gdzie iść.
4410:  Nie mam pojęcia gdzie iść.
4413:  Stąd wyszliśmy, więc zakładam, że tu.
4417:  Oczywiście mogę się dramatycznie mylić.
4424:  Ale level design nas tutaj prowadzi i dobrze nas prowadzi.
4428:  Finally some action.
4429:  Tali ewidentnie jest odwarstwiona od rzeczywistości.
4433:  Tali sobie kompletnie nie zdaje sprawy z tego, co się dzieje.
4445:  Tali, chcę żebyś natychmiast zhakowała niszczyciela getów.
4450:  Czy Tali się to uda?
4451:  Tak!
4455:  Wiecie co, muszę powiedzieć, że wybór Tali tutaj był dobrym pomysłem.
4467:  Oczywiście ja wpadłem na to, żeby zabrać tutaj Tali, naturalnie, absolutnie, to był w 100% mój pomysł.
4484:  Prymitywny get.
4487:  Proszę bardzo, strzał na 71 metrów.
4496:  Medi-gel!
4497:  W zasadzie przestaliśmy używać Medi-gelu już.
4505:  Atali może by schakowali coś tutaj, o.
4509:  Dwójeczce już nie pomarnuję.
4511:  Trzeba wieżę odpalać tutaj.
4512:  Jakie wieże?
4513:  Nie straszcie mnie.
4514:  Faktycznie.
4515:  Citadel Defense Tarret.
4516:  Dziękuję.
4517:  Jak zwykle czegoś nie zauważyłem.
4520:  Average Electronics.
4525:  Dobrze.
4533:  Coś możemy jeszcze zrobić.
4535:  Więcej getów.
4538:  Tu jest jakiś gef, który usiłuje nam przeszkodzić.
4544:  To się oczywiście nie uda.
4550:  Ja myślałem, że my mamy zaatakować ten dropship, ale tu się okazuje, że nie.
4553:  Tali!
4555:  Hakuj, dobrze.
4561:  Kroganin.
4562:  Dlaczego Kroganin jest zablokowany?
4564:  Straszne.
4567:  Oj, oj, oj, oj, oj, oj, oj, oj, oj, oj.
4571:  Jeżeli są jakieś pytania na czacie, przepraszam.
4574:  Bardzo, bardzo wymagająca walka, jak dla mojej możliwości.
4582:  Proszę bardzo, walnimy teraz spektakularnego headshota.
4590:  Dropship atakuje się sam, świetnie.
4595:  Clear.
4597:  To się nazywa muzyka, wreszcie!
4600:  Troszeczkę przesadzają z epickością może, ale... Oczywiście, ja też wnoszę, że będzie problem z uwagi na to, że tutaj widzę, że jest o co najmniej dwóch krogan za dużo.
4614:  Jest tylko jeden kroganin!
4628:  Tali się codziennie kąpie w antybiotykach, a to prawda, swoją drogą, tak.
4633:  Tali jest immunizowana na wszystkie wirusy.
4638:  Kto w nas strzela jeszcze?
4640:  Jakim cudem?
4640:  Ach, tu jest gef rakietowy.
4643:  Tali, zniszcz go.
4646:  Grzeczna Tali.
4648:  Tali się spisali.
4656:  Coś tutaj jeszcze do nas strzela.
4657:  Yennefer, przestań się przytulać do poręczy.
4664:  Cytadela była inside job.
4665:  Tak, jestem przekonany, że współcześni Amerykanie by tak twierdzili.
4670:  Chociaż smutna prawda jest taka, że Polacy już też, bo... O, nie, nie, nie, tu jest jakaś... Kroganin, idź przyjmować na siebie działka.
4681:  Kroganin wzmocnij się.
4684:  Dobrze, kroganin wzmocniony.
4688:  Nie wiem co mamy teraz robić, ale mam poczucie, że zginiemy.
4703:  Chyba nie możemy zniszczyć tych zwierzyczek, mam takie wrażenie ponure.
4706:  O nie, o nie, o nie, o nie, o nie.
4711:  Nie widzimy getty, które się wkradły, więc no de facto była Inside Joe, to prawda.
4716:  Cóż mamy teraz zrobić?
4717:  Dobrze, niech spojrzę.
4720:  Tu jest jakaś wieżyczka, nie, okej.
4723:  Geth Trooper, schakuj go.
4727:  Dobrze.
4732:  Tali zginęła i co teraz?
4739:  Okej, czyli to jednak po prostu trzeba zniszczyć.
4743:  O Boże drogi, dobrze, użyjemy tej jedności.
4748:  Chodźcie tutaj.
4750:  Jesteście beznadziejni i nie potraficie przeżyć.
4764:  Ileż mogę strzelać do tej wieżyczki?
4766:  Come on!
4768:  Czuję się jak w cyberpunku.
4776:  Bardzo niepokojąco wygląda to.
4779:  Tali jest głupia.
4786:  Rex, użyj swojej bariery, co?
4801:  Kiedyś w grze gąbki na kulę to była rzadkość.
4805:  Teraz to jest norma, więc i tak nie będę narzekał przesadnie.
4828:  Dosłownie ostatni pocisk, no nie wierzę.
4839:  Przepraszam bardzo, ale to był... to był pierwszy... to był world class shooting.
4844:  Żadna strzelba, nie znoszę strzelb.
4847:  Będziemy grać wyłącznie karabinem snajperskim i magią, jak przystało na odważnego żołnierza.
4859:  Zaraz pożałuję, że użyłem tego Medi-Gelu.
4862:  Tam jest jeszcze jakaś wieżyczka?
4863:  Nie ma już.
4872:  Nie będę... Osłony są dla słabych.
4874:  Magowie nie potrzebują osłon.
4876:  Magowie generują osłony siłą swej woli.
4879:  Pragnę zwrócić również uwagę, że udało się nam nie zginąć.
4884:  O, proszę bardzo, to jest potęga magii.
4889:  Głupie getty nawet nie wiedzą, jak z nią walczyć.
4903:  Proszę bardzo, jesteśmy blisko wykrzyknika.
4907:  Niczym w Gwardii Imperialnej.
4908:  Osłony?
4908:  My na to mówimy poborowi.
4910:  Piękne.
4912:  Przepraszam najmocniej, game overów mieliśmy na samym początku jeden, tylko i wyłącznie z tego względu, że gra w nieumiejętny sposób poinformowała nas o tym, co nas czeka.
4923:  I było to absolutnie przerażające.
4927:  Quick save.
4928:  Teraz, teraz będziemy mieć bardzo dużo game overów.
4932:  Bo jest konfrontacja z Serenem.
4934:  Mmm... Tak.
4937:  Tak.
4939:  Proszę bardzo, dostaliśmy Medi-gel.
4947:  Tali, proszę uprzejmie schakować, mam dość robienia wszystkiego sam.
4952:  Rex, pędź tutaj.
4955:  Jak przystało na kroganina, uzbrój się, proszę bardzo.
4961:  Jeszcze możesz Rexie, o proszę bardzo, zrobić warp.
4965:  Bardzo mi się przyda, ktoś to raz zrobi, kto nie będzie mnął.
4969:  Pięknie.
4972:  Użyjemy naszej potężnej mocy magicznej teraz.
4976:  Jeszcze raz, na wszelki wypadek, tak jest.
4981:  Proszę, jak one się radośnie unoszą.
4985:  Straciliśmy 2 miliony ludzi, 8 dywizji pancernych, szturmując tę maleńkie wzgórze pośrodku niczego.
4989:  Strategiczne zwycięstwo, tak.
4992:  Tak jest, to brzmi jak coś, co mogłoby się stać w Armii Imperialnej.
4998:  Dlaczego oberwaliśmy rakietą?
5005:  Jakiś jeszcze śmieszny gett usiłuje nas zaatakować?
5009:  Ginj, śmieszny getcie.
5015:  Pamiętam, że później jest ta konfrontacja z Sarenem, która wcale nie jest taka przyjemna.
5021:  Pamiętam, że spędziłem bardzo dużo czasu na konfrontacji z Sarenem.
5028:  Gdzie jest jeszcze Geth Trooper i dlaczego go nie widzę?
5032:  Ach, tu!
5033:  Tu się czai, nędzny.
5042:  Tytany chaosu na horyzoncie?
5044:  Bagnet na broń.
5046:  Warhammer 40k vibes.
5048:  Jak zwykle są mocne na czacie, bardzo mi się to podoba.
5052:  Zwłaszcza, że jutro wracamy do uniwersum Warhammera, 40 tysięcy, na zdecydowanie dłuższym streamie niż dzisiejszy.
5060:  Dobrze.
5061:  Saren, moi drodzy.
5063:  Saren.
5064:  Najbrzydszy Turianin w galaktyce.
5068:  Żeby nie było, że nie pamiętam o wodzie.
5071:  Żeby nie było.
5082:  Silostra nie została porzucona, ale mam plan wrócić do Warhammera Fantasy przy okazji trochę innej rasy, więc Silostra może być takim dobrym mostem pomiędzy tymi dwiema kampaniami.
5108:  You wish.
5120:  Yennefer mrugnęła, widzieliście?
5122:  Drugi raz!
5122:  Trzeci!
5129:  Wysokie sprzęty nie będą Cię uratować.
5132:  Myślę, że powinienem Cię podziękować, Shepard.
5134:  Po Wormeyerze nie mogłem przestać myśleć o tym, co powiedziałeś.
5137:  Saren ma żenujący czepek!
5139:  Saren ma żenujący czepek!
5140:  Saren ma żenujący czepek!
5141:  Saren ma żenujący czepek!
5145:  Saren ma żenujący czepek!
5146:  Saren ma żenujący czepek!
5147:  Byłem implantowany, aby wzmocnić moje rozwiązanie.
5152:  Teraz moje wątpliwości już nie są.
5154:  Wierzę całkowicie w Sovereigna.
5156:  Rozumiem, że Reapery potrzebują organik.
5158:  Współpracuj z nami i Sovereign znajdzie dla Ciebie miejsce.
5166:  Na czacie się pojawiają zbyt sympatyczne rzeczy warhammerowskie, żebym ich nie przeczytał.
5171:  Najlepsza akcja Gwardii Imperialnej była wtedy, jak jeden z generałów postanowił usypać kopiec z ciał gwardzistów, żeby wjechać czołgami na mury.
5178:  To swoją drogą taktyka rosyjska.
5179:  Przetrwałem 19 godzin na linii frontu, jestem zahartowanym weteranem i odblężenie wraks w 40k i straty w wysokości 70% stanu osobowego są akceptowalne.
5189:  Tak jest.
5190:  W sumie fajne w tej walce było, że jej pierwszą część można było całkowicie przeskipować, jeżeli się miało na maksa wskaźnik paragonu.
5196:  Uuu, naprawdę?
5198:  Którą pierwszą część walki?
5200:  Bo mamy na maksa paragon, więc dlatego się zdziwiłem.
5203:  Sovereign's controlling you through your implants, don't you see that?
5208:  A, Sarena można przegadać.
5210:  To damy radę.
5211:  Tak.
5212:  O, proszę bardzo, proszę bardzo!
5234:  Mogę go powstrzymać od kontroli tej stacji.
5235:  Uciekaj i inwazja nigdy się nie zakończy.
5237:  Nie możemy go powstrzymać.
5238:  Nie na zawsze.
5238:  Widzieliście wizje.
5239:  Widzieliście co się stało z Protheanami.
5246:  Reaperzy są za silni.
5247:  Jakaś część z was musi wciąż zdawać sobie sprawę, że to jest nie tak.
5252:  Możesz to walczyć!
5253:  Może masz rację.
5276:  Ja walczyłem z Sareną, więc zainteresowałem się.
5280:  Ha.
5297:  Szybko, zanim jest za późno!
5303:  Fajne zdjęcie Vigil.
5304:  Mam kontrolę wszystkich systemów.
5325:  Szybko, otwórz ręce stacjonarstwa.
5325:  Może flota może zabrać Sovereigna, zanim odzyska kontrolę stacjonarstwa.
5327:  Zobacz, czy możesz otworzyć kanał komunikacji.
5328:  Szybko, otwórz ręce stacjonarstwa.
5329:  Może flota może zabrać Sovereigna, zanim odzyska kontrolę stacjonarstwa.
5331:  Szybko, otwórz ręce stacjonarstwa.
5331:  Może flota może zabrać Sovereigna, zanim odzyska kontrolę stacjonarstwa.
5336:  Szybko, otwórz ręce stacjonarstwa.
5342:  Może flota może zabrać Sovereigna, zanim odzyska kontrolę stacjonarstwa.
5349:  Szybko, otwórz ręce stacjonarstwa.
5350:  Szybko, ot
5354:  Znalazłem ten telefon z dystresu, komandorze.
5362:  Siedzę tutaj, w sektorze Endura, z całą arcturystą.
5364:  Możemy uratować Ascensję.
5365:  Tylko wyłącz relacje wokół Cytadla i odpuszczamy kawalerię.
5368:  Zastanawiałeś się o żywotność ludzkiej, żeby uratować kawalerię?
5371:  Co oni kiedyś robili dla twojej rodziny?
5374:  Czy to będzie trudna walka?
5374:  Słowacki są zagrożeniem dla każdej organicznej roli w naszej galakcji.
5376:  Dlatego nie możesz wyrzucać obywateli, próbujących uratować kawalerię.
5378:  Utrzymaj ich, aż Cytadla otworzy ręce i ludzka flota może poszukać Słowackiego.
5391:  Ale kusi.
5392:  Zawsze kusi!
5395:  No nie będziemy wstrętni, ale kusi mnie zawsze, o jaw mnie kusi.
5399:  A!
5411:  Czary.
5411:  Komendantze, zabieramy uporządkowania!
5416:  Jest to połączenie.
5423:  Dziękujmy Bogu!
5468:  Przepiękna scena.
5472:  Flota przymierza biedna, to prawda, ale... Czekają gorsze rzeczy w przyszłości.
5479:  And it will endure.
5484:  Ujojojojoj.
5486:  Co tu się dzieje?
5496:  Rex musiał.
5498:  Musiał.
5501:  Ech.
5504:  Walka ze zwłokami będzie mu... O nie.
5505:  O nie.
5509:  O nie!
5512:  O nie!
5517:  A ja sądziłem, że udetkniemy tchórzliwe walki.
5533:  Tam gdzieś został zniszczony krążownik Warszawa?
5536:  Nie znam, nie znam.
5538:  Był taki?
5539:  Czy to jest jakiś reference, którego nie czaję?
5543:  O nie.
5549:  O nie.
5555:  Ale numer, nie wiedziałem, że był taki krążownik przymierzony, proszę.
5561:  Ja zawsze postrzegałem...
5568:  Rex Immunity.
5569:  Tak, bardzo dobrze.
5570:  Przyda się.
5572:  Łop.
5573:  Tali.
5575:  Cokolwiek.
5576:  Nie wiem.
5577:  Overload.
5578:  Tak.
5586:  Oj, tak.
5586:  Pamiętam tę walkę.
5589:  Tali.
5591:  Sabotaż.
5594:  Czemu on jest taki ruchliwy?
5596:  O nie.
5599:  Przestań być ruchliwy.
5603:  Ja chcę móc używać magii.
5617:  Dobrze, Tali.
5619:  Jeszcze raz Sabotaż przyda się.
5621:  Rex.
5623:  Rex jest w dobrym stanie?
5624:  W dobrym stanie.
5625:  Dobrze, to Stasis w takim razie poproszę.
5629:  A my użyjemy... zdolności magicznej, która absolutnie nic nie dała.
5639:  Dobrze, Saren już jest podatny na naszą najpotężniejszą moc, która mu zadała dosłownie zero obrażeń.
5653:  Tali.
5654:  Co tu się dzieje?
5655:  Tali, hakuj!
5661:  6.
5661:  V. Leczmy się.
5668:  Czy ja coś mogę zrobić?
5669:  Tali dumping i ja używam tego, tak jest.
5674:  Głupie getty!
5675:  Unoście się, tak jest!
5678:  Świetnie.
5681:  Rex nic nie może zrobić, Talii sabotaż.
5689:  O nie, Saren ma znowu pełne zdrowie, koszmar.
5695:  Co oni tu robią?!
5696:  Czemu oni stoją jak makolągwy?!
5699:  Ooo, strzelba.
5701:  Nie będziemy żadnej strzelby używać.
5703:  Używamy karabinu snajperskiego wyłącznie.
5708:  Talii... cokolwiek.
5713:  Damages enemy shield.
5715:  Tak, to będzie dobre.
5725:  Nie no, autentycznie, oni powariowali ci nasi cudowni.
5729:  Sześć, pięć... Dobrze.
5733:  Rex, chowaj się!
5735:  Gdziekolwiek się chowaj!
5737:  Nie zasłaniaj mi wi... Ooo!
5742:  Dobrze, co my jeszcze możemy zrobić?
5744:  Dalej overload, bo się przydaje.
5746:  Świetnie.
5753:  Makolongwy, tyle prawdziwie polskich ptaków, tak?
5756:  Co zrobimy?
5757:  Myślę, że poślemy tam naszą zdolność magiczną.
5761:  To się przyda.
5768:  Myślę, że następnego troopera sobie schakujemy, żeby nam pomagał, jeżeli to w ogóle tak działa.
5775:  Rex Barrier.
5786:  Tali, co może tali zrobić?
5796:  Wielkie nieba, to jest trudna walka.
5799:  Co tu się dzieje?
5801:  O nie, o nie, o nie, o nie, o nie, o nie.
5808:  V!
5808:  6, 5, wszystko.
5814:  Naparzać w Sarena teraz, bardzo proszę.
5831:  O nie... O nie... Sovereign jest za mocny!
5843:  Musimy wracać!
5846:  To nasza jedyna szansa.
5847:  Zabierz ten monster, bez względu na koszty.
5854:  Dobrze, teraz tak.
5856:  Rex Immunity, przyda ci się.
5860:  Tali w tarczę.
5868:  Dobrze.
5870:  Tutaj... Jakie Shields Disabled?
5877:  Nie!
5878:  Miałam mowy.
5880:  V.
5883:  Głupi Geth!
5886:  Geth oszukuje!
5890:  I Yennefer Shepard zwariowała tymczasem.
5897:  O nie, o nie, o nie, o nie, o nie, o nie, o nie.
5904:  V, świetnie.
5907:  Muszę powiedzieć, że fakt, że ten Saren jest taki skoczny mnie bardzo denerwuje.
5914:  Przenosimy się.
5918:  V. Sześć i pięć.
5921:  Dobrze.
5927:  Tali nic nie może zrobić.
5929:  Dobrze.
5934:  Niestety nasze zdolności magiczne nic nie dają, co było do przewidzenia oczywiście.
5941:  Hooo...
5953:  Tali nic nie jest w stanie zrobić.
5955:  Rex może mieć Immunity, co jest dobrym rozwiązaniem.
5960:  Niech gr... niech nas chroni.
5962:  Świetnie.
5969:  Tali wreszcie coś może czy nie?
5972:  W ogóle czy Tali żyje?
5973:  Nie, Tali nie żyje.
5974:  Nie dziwię się, że nic nie może.
5989:  No, biotyka jest tragiczna w Mass Effect 1, przyznaję w 100%.
5993:  Dobrze, Saren znowu może, jest podatny.
5995:  To jest najbardziej wylewelowana umiejętność biotyczna, zadaje mu 0 obrażeń.
6003:  Rex?
6003:  Cóż Rex może zrobić?
6005:  Absolutnie nic.
6013:  Ginie powoli, ginie, ginie, ginie, ginie.
6016:  Dobrze.
6018:  Rex, nie wiem już co.
6021:  Mamy kolejnych getów, widzę.
6024:  Z getami jest prosto, bo możemy użyć naszego... O, właśnie tej cudownej zdolności.
6033:  Szkoda tylko, że Tali nie może hakować.
6034:  Dobrze, użyjemy tej jedności, żeby Tali przywrócić.
6046:  Tali, chodź tutaj.
6048:  Głupia talii.
6057:  Eee... Dobrze.
6062:  Gdzież jest ten saren?
6063:  Strasznie mnie konfundują zawsze postaci, które potwornie skaczą.
6070:  To nie jest coś dla mnie, absolutnie.
6074:  Ooo...
6076:  No właśnie, nawet nie wiem gdzie jest.
6078:  Aha, tu jest.
6082:  Tali może coś zrobić?
6083:  Dobrze.
6084:  Damping.
6098:  Tak!
6111:  Dobrze, żeśmy ją wzięli, bo inaczej byłoby... Oj, bardzo byłoby źle.
6115:  Gdzie się saren podział?
6117:  Wyłaź, tchórzliwy sarenie!
6124:  Tali?
6125:  Overload, bardzo proszę.
6129:  Świetnie!
6130:  Rex przestał strzelać, stwierdził, że to jest za dużo jak na niego.
6141:  Naprawdę, teraz się czuję jak w cyberpunku.
6143:  Walę headshot za headshotem.
6148:  Tak, tak, tak, tak, tak, tak!
6151:  I biotyka na samym końcu.
6153:  Wykończymy go magią.
6155:  Nie, nie udało się.
6155:  Oczywiście, że się nie udało.
6166:  Głupi Rex!
6169:  Zasłania mi cel!
6171:  Nie mówcie mi, że Suweren znów ma pełnię zdrowia, bo zwariuje.
6177:  Oczywiście, że ma pełnię zdrowia.
6179:  Naturalnie, że ma pełnię zdrowia.
6185:  Tali, bardzo proszę... Zrób cokolwiek.
6199:  Po prostu dramat, dramat.
6203:  Pracuję z niekompetentną załogą Normandii.
6214:  Tali może wreszcie zrobić overload.
6227:  Tak!
6229:  Tak!
6229:  Unicestwiliśmy Sarena pchnięciem mocy magicznej!
6234:  Wiedziałem, wiedziałem, że zwycięży na koniec magia.
6238:  Tak.
6240:  Tak, absolutnie.
6244:  According to the Art of Mass Effect, Saren's left arm is actually a grafted gift... O, o, o!
6249:  Kac cena.
6250:  Zamykam się.
6257:  Hmm...
6299:  Hmm...
6315:  Wzrusza za każdym razem.
6317:  Ileż ja razy oglądałem tę cutscenę na YouTubie.
6320:  Mój Boże.
6348:  Mr. Anderson.
6354:  Atom, atom.
6355:  Atom, atom.
6392:  Jest, Magini!
6394:  Jest!
6407:  Nie udawaj, Jan, nic ci nie jest.
6413:  Ambasadorze, kapitanie, komandorze Shepardze.
6418:  Zgadzaliśmy się tutaj, aby zauważyć ogromne wpływy rządu Aliancji w wojnie przeciwko Sovereignom i GEF-owi.
6431:  Wiele ludzi straciło swoje życie w walce, aby uratować Cytadło.
6435:  Brawni i wdzięczni żołnierze, którzy wyraźnie dawali swoje życie, żeby my, Księżyc, mogliśmy żyć.
6443:  Nie ma większego skarbu.
6445:  I my dzielimy Twoją grzechowość za tragiczną stracę tak wielu mądrych mężczyzn i kobiet.
6450:  Księgowiec również daje ci wielkie pieniądze osobiste, komendantze.
6453:  Które nigdy nie możemy zapłacić.
6455:  Użyjesz nie tylko naszych żyw, ale też żyw milionów od władz i obywateli.
6459:  Komendantze Sherry.
6461:  Twoje heroiczne i samotne działania służą jako symbol tego, czego umiejętność i związek stanowią.
6466:  I mimo to, że nie możemy wrócić tych błędnych żołnierzy, którzy dawali swoje życie, aby uratować nasze, możemy honorać ich wspomnienia przez nasze działania.
6476:  Humanity has shown it is ready to stand as a defender and protector of the galaxy.
6480:  You have proved you are worthy to join our ranks and serve beside us on the Citadel Council.
6486:  Consul, on behalf of humanity and the Alliance, we thank you for this prestigious honor and humbly accept.
6494:  We will need a list of potential candidates to fill Humanity's seat on the Council.
6498:  Given all that has happened, I am sure your recommendation will carry a great deal of weight, Commander.
6503:  Do you support any particular candidates?
6506:  Potrzebujemy kogoś, który ma wdzięczność, żeby wstąpić za to, w czym wierzy.
6512:  Ktoś jak kapitän Andersen.
6514:  On?
6514:  Musisz żartować.
6516:  Andersen preferuje, żeby jego kciuki robili rozmowę.
6519:  Udina, tam są drzwi.
6521:  Tylko z tobą.
6522:  Jesteś pewien o tym, komendant?
6525:  Kapitän to żołnierz, a nie polityk.
6527:  Mamy już zbyt wielu polityków na Cytadeli.
6530:  Kapitän byłby idealny dla tego pracy.
6534:  Wydaje mi się, że to wyzwanie inspirujące.
6536:  Księżyc by go zaprosił z otwartymi rękami, powinien go przyjąć.
6539:  Jestem zadowolony, księże.
6542:  Jak reprezentant ludzkości, zrobię wszystko w moich siłach, by pomóc księdzu odbudować.
6548:  Zgromadzenie władzy oznacza początek nowej era dla ludzkości i księdza.
6557:  Wytrzeszczła oczy Yennefer.
6558:  Shepard ma rację.
6559:  Ludzkość jest gotowa na swoją rolę.
6561:  Zjednoczona z resztą konsulatu.
6563:  Mamy siłę, aby wypełnić każdą próbę.
6598:  Ktoś w ogóle wybrał Udinę kiedykolwiek?
6601:  Jest tak słony, że powinien być uzyskany w przepisach kulinarnych.
6604:  Tak.
6605:  Proszę, jaka dumna pocztówka z udziałem Yennefer Shepard.
6610:  na tle czegoś, co wygląda jak nowoczesna ziemia.
6612:  Tak jest.
6614:  To emoji zostaje jako INFR.
6634:  Ja oczywiście jako bezczelny człowiek zawsze skipuję.
6637:  Bardzo mnie ciekawi jedna rzecz, to znaczy ciekawi mnie to, czy oni zrobili to jakieś sensowne przejście od razu do części drugiej?
6647:  Nie, nie zrobili.
6649:  Nie zrobili sensownego przejścia do części drugiej, albowiem mam nadzieję, że to nie sprawi, że... Jeżeli zrobimy resume... Tak, tak też sądziłem.
6664:  Tak też sądziłem.
6666:  Dobrze, moi mili, to oznacza jedną rzecz.
6668:  To oznacza, że następnym razem zobaczymy się na streamie z Mass Effecta 2.
6678:  Dzisiaj mieliśmy, tak jak zapowiadałem, wyjątkowy stream piątkowy.
6682:  A to oznacza, że następnym razem, jeżeli się spotkamy w Mass Effect'cie, to spotkamy się w Mass Effect'cie drugim.
6690:  I tym razem radośnie zrobimy sobie nową postać, co w tym miejscu oznacza oczywiście, że zaczerpniemy Yennefer Shepard z tego naszego save'a.
6700:  A tymczasem ja Wam bardzo dziękuję i przypominam, że jutro standardowo się spotykamy na streamie z Warhammera 40000, Mechanicus.
6708:  Kto wie, co tam nas czeka.
6710:  Trzymajcie się, miłej reszty piątku i GG well played, do zobaczenia.
6715:  Dziękuję za towarzyszenie nam w tym epickim finale pierwszego Mass Effecta, drugiego z Yennefer Shepard.
6721:  Do następnego.
6724:  Yennefer out.
