🔴 Jedi, który gapił się na kozy | JEDI: FALLEN ORDER Livestream #2
🔗 https://www.youtube.com/watch?v=ga7G53uCoiE

14:  Zasmucające informacje są zasmucające.
10332:  To mnie to kompletnie dziwi.
10337:  Tu się nic nie da zrobić.
10342:  Na mapie oczywiście nie ma żadnej informacji.
10347:  No i jestem na dachu i nic nie ma, moi drodzy, tutaj.
10350:  Absolutnie nic nie ma.
10351:  Nie ma żadnego miecza.
10352:  Są przeciwnicy.
10355:  Jakie windy.
10357:  Macie windy.
10358:  Czy mógłbym łaskawie przestać być atakowany przez jakieś nonsensowne zwierzaki?
10377:  Teraz byłeś w siedzibie pustelnika, a musisz być w porzuconym warsztacie.
10382:  Przecież przed chwilą byłem w porzuconym warsztacie!
10390:  Nie mam pojęcia, jak tam przejść.
10393:  Nie, stół Zuza był do personalizacji miecza.
10401:  Okej, czy to jest tu?
10404:  Wielka przepaść.
10406:  Porzucony warsztat jest zupełnie w innym miejscu.
10410:  Nie mam pojęcia, czy do porzuconego warsztatu da się tędy przejść.
10422:  No cóż.
10428:  Jest winda tutaj.
10436:  Okej, jesteśmy w wielkiej przepaści.
10441:  Jest i winda.
10443:  Czy winda doprowadzi nas do porzuconego warsztatu?
10446:  Nie wydaje mi się.
10463:  Ja czytam to, co pisze Tarale, tylko to jest z ekstremalnym opóźnieniem, więc... Więc wiecie.
10472:  Ale czy to jest ta winda?
10473:  To jest pytanie.
10474:  Ja nie wiem, czy to jest ta winda.
10476:  Postaram się tam przeskoczyć.
10482:  Udało się.
10488:  Dobrze.
10491:  Jesteśmy oto w miejscu, w którym... Podziemne schronienie.
10497:  Wiedziałem, że się nie da iść do porzuconego warsztatu.
10503:  Porzucony warsztat jest wyżej.
10507:  Tu jest tylko podziemne schronienie.
10513:  No nic.
10521:  Obrzydliwe stworzenie.
10523:  Ginij.
10526:  Fakt faktem, nie mogliśmy tego wcześniej zrobić.
10532:  Hakujemy.
10536:  To dlatego tutaj nie mogliśmy przejść wcześniej, okej.
10538:  O Jezu, tam jest żaba.
10540:  Pamiętam walkę z tą żabą, była traumatyczna.
10543:  Och, nowa skórka do BD-1, świetnie.
10546:  No, nie było nas tutaj i to tak bardzo nas tu nie było.
10557:  Nie, nie, nie, nie, nie!
10565:  Nie będę próbował tędy iść.
10566:  To się źle skończy.
10568:  Jakiś zielony most!
10579:  Ja miałem... Ja miałem pójść dobrze, jak nie dostałem instrukcji, gdzie należy iść.
10584:  Eee... Okej.
10595:  Hmm... Wszystko wskazuje na to, że jak tutaj przeskoczę, to zginę.
10599:  O nie!
10603:  Porzucony warsztat!
10605:  Dzień dobry!
10607:  Porzucony warsztat.
10609:  Wspinamy się.
10614:  Dobrze.
10614:  Czemu wszędzie są te dziwne lisy?
10617:  Jesteśmy w jakimś... ...jurnym więzieniu założycieli Mozilla i Firefox.
10626:  Hakuj.
10634:  Proszę, niech to będzie to, o czym myślę.
10642:  Okej, może być.
10650:  Okej, BD-1 coś znalazł znowu.
10656:  Kopce druidów.
10659:  Wiecie, co możemy zrobić?
10661:  Możemy spersonalizować BD-1.
10663:  O Jezu!
10668:  Niebieski jest ładny.
10673:  Niebieski.
10680:  Panie przyjacielu, wyszedłem z całym czołem do Coruscant i przedstawiłem swoje znaczenie do konsulatury.
10690:  Ta góra pochodzi z Cordova.
10692:  Czuję się dziwne, że mówię o osobie, z którą nigdy się nie spotkałem, ale... To trochę przyjemne.
10698:  Zgadzam się.
10701:  To miejsce jest wyjątkowe.
10702:  Wydaje mi się, że to jest moja głowa.
10703:  Chcę utrzymać spokój z nim.
10714:  Tak!
10718:  No i to rozumiem!
10725:  Ooo... O bogowie!
10752:  Czoty nie oszukały!
10754:  Ale każdy mówił co innego!
10757:  Rzeknę na swe usprawiedliwienie.
10759:  Wspaniale!
10761:  To jeszcze możemy iść tam, gdzie jest zielone.
10768:  Wspaniałe wiadomości są wspaniałe.
10772:  O, tak.
10773:  Jaki poziom trudności?
10774:  Przedostatki.
10777:  Albo... Pomyliłem się.
10781:  Najwyższy.
10783:  Nie no, to wspaniały, prawda, Deepfire, bo on wspaniały absolutnie jest ten efekt.
10790:  Można mieć podwójny mierze od momentu, jak odblokowałem Daphomira, trzeba wiedzieć, gdzie szukać?
10793:  Ja nigdy nie wiem.
10797:  Okej, mamy odblokowany skrót, świetnie.
10802:  W dalszym ciągu... Aaa, tu jesteśmy, okej.
10810:  Ooo, ja myślałem, że ten podwójny miecz świetlny to są po prostu dwa miecze świetlne, nie?
10814:  A tu się okazuje, że nie.
10816:  Jezu, jak tam wrócić?
10819:  Nie mam bladego pojęcia, jak tam wrócić.
10823:  Mam parę pomysłów, ale każdy z nich jest błędny.
10830:  Podwójny miecz zadaje mniej dem... Co?
10835:  Jak to zadaje mniej demedżu?
10838:  Jest fajnie na duże grupy przeciwników.
10840:  Okej, ale jeden na jeden jest średni.
10842:  Czaję.
10845:  Dobra, biegniemy.
10850:  Ale przepiękne ruchy.
10852:  Nie.
10853:  Będziemy go często używać.
10854:  Nie ma opcji.
10858:  Chyba tędy.
10864:  Ale nie dam głowy.
10874:  Żaba już była ubita.
10882:  Nie no, wspaniały.
10883:  Znaczy, animacja tych... A cicho.
10886:  Animacja tych mieczy jest wspaniała.
10890:  Ja właśnie najbardziej lubię podwójne miecze świetlne.
10896:  Dobrze.
10898:  Lecimy na Zeffo.
10902:  Jest osiągnięcie za uróżnięcie języka żabia, na pewno go nie otrzymam.
10911:  Oczywiście, że podwójny miecz jest lepszy od pojedynczego bez podwójny, no wiadoma sprawa.
10926:  Grabka pisze, że każdy kolor miecza ma inne brzmienie zapalenia i ataku.
10929:  Lubię.
10931:  Mentus przypomina, że jak odbijemy pierwszy pocisk za pomocą podwójnego miecza, to wystarczy dalej trzymać blok, żeby odbijać kolejne pociski.
10937:  To jest dobra wiadomość.
10938:  Ale generalnie zauważcie, że tutaj więcej jest sytuacji, gdzie mamy większą liczbę przeciwników, niż takich, w których mamy mniejszą liczbę przeciwników.
10945:  Czemu moje rośliny nie rosną?
10949:  Czemu moje rośliny nie rosną?
10953:  To, to są, to są...
10956:  Gniliny albo uschliny.
10958:  To nie są rośliny.
10964:  Posadziliśmy rośliny, Grabke.
10972:  Proszę cię, podlewam.
10972:  To w rzeczywistości.
10973:  Co to w rzeczywistości?
10990:  Ta, ta, ta, ta, ta.
10991:  A ja mam podwójny miecz.
10994:  Aha!
10995:  Gdzie jest niby ten cel?
10996:  O Jezu, jak to jest daleko.
10998:  Nie!
11000:  Litości!
11004:  Podwójny miecz zasługuje na ocenę chwalebną.
11008:  Jakie mam tam dojść?
11016:  Okej, tutaj chyba jest jakiś skrót.
11019:  Nie, to nie, to nie wygląda jak skup.
11026:  Nie mam bladego pojęcia.
11030:  A. Nie wiedziałem.
11035:  Jezus, jakie zbieranie.
11038:  Wspaniałe!
11040:  Lodowa jaskinia, o!
11043:  Tęskniłem, a tak naprawdę to nie.
11047:  Znowu RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
11082:  Artur chciałby zobaczyć Krzysztofa grającego w Hollow Knighta Ja by nie patrzeć, to są czary Dużo ludzi chciałby zobaczyć mnie grającego w Hollow Knighta Nie mówcie mi, że ja mam znowu tutaj... Nie Nie, na pewno nie, na pewno tak nie jest Na pewno tak nie jest, na pewno można tędy przejść
11108:  Nie jest tak, że trzeba znowu iść przez... It just works.
11142:  Nie wiem, co tu się dzieje.
11154:  Jakim cudem on jeszcze żyje?!
11169:  Boże, gdzie mam iść? !
11173:  Chryste Jezu!
11176:  Dobra, nic nie widzę.
11180:  A, tędy.
11181:  Mhm.
11186:  Już wiem, gdzie.
11187:  Tam, gdzie będzie trudno.
11190:  U, a tutaj jest, widzę skrzyneczka, której nie zauważyłem w przód.
11196:  Idziemy do skrzyneczki.
11201:  Miło, miło grać tutaj i nie mieć już potwornych lagów.
11214:  C, C. Nie działa.
11219:  Nagle przestało działać przełączanie się między mieczami.
11238:  Czemu nie działa pchnięcie?
11243:  Naprawdę kozy są przerażające.
11247:  Przytrzymanie C też nic nie działa.
11250:  Absolutnie.
11252:  Zdumiewające.
11254:  A wcześniej działało.
11256:  A X... O, X działa!
11259:  Czyli nasz... A, już wiem!
11262:  Niesamowite.
11262:  Niesamowite.
11262:  Niesamowite.
11263:  Niesamowite.
11263:  Niesamowite.
11265:  Niesamowite.
11266:  Niesamowite.
11266:  Niesamowite.
11312:  Mogli też zrobić czytelniejszą mapę z obserwowania znaczników?
11315:  Tak, to prawda.
11317:  Mogli być, ale po co?
11321:  Nie będziemy mieli czytelniejszy map, tak długo jak długo nie będzie jednolitych standardów... projektowania gier w taki sposób, żeby nie było takiego gówna na przykład.
11346:  Teraz będziemy skipować i to tak intensywnie.
11357:  Teraz jestem w trybie sita.
11360:  Rozwścieczony.
11361:  Witamy Serra z Wiktorię.
11363:  Na czatach.
11364:  Dziękuję za zażyczenia smacznej herbatki.
11366:  Staramy się, by taka była.
11369:  I specjalnie ją parzyłem przez 7 minut.
11377:  Koza śmierci.
11393:  Tak, Jedi, znowu!
11430:  Ile razy mam, ile razy mam się uleczyć?
11449:  Czemu?
11449:  Co się dzieje?
11464:  Dobra, won.
11467:  Nie chce mi się z nimi walczyć.
11469:  I tak się tego nigdy nie nauczę.
11476:  Dobrze.
11479:  Teraz odpoczniemy.
11482:  I w taki oto sprytny sposób... Tak, tak, też się leczą.
11485:  W taki oto sprytny sposób ich dojedziemy.
11506:  Wystarczy, że mam blisko checkpoint, ciekawe dlaczego od razu lepiej idzie.
11519:  Dobra, teraz zrobimy pojedynczy.
11534:  Tak, lock, znaczy dam.
11535:  Trudny jest mój przeciwnik.
11541:  Aboon!
11565:  Parzenie dłużej wody na herbatę pojawia jej smak, nie dłuższe parzenie herbaty.
11574:  O, tak.
11580:  Piła wydobywcza, super.
11582:  O, myśmy z nimi kiedyś walczyli.
11585:  To wiele wyjaśnia.
11588:  Szturmowiec czystki z elektropałką.
11590:  Utworzony przez Imperium Galaktyczne program inkwizycyjny wykorzystuje budzących postrach szturmowców czystki do tropienia niedobitków z radzieckiego zakonu Jedi.
11597:  To już wiemy.
11599:  Ta wyspecjalizowana klasa imperialnych żołnierzy jest szkolona w użyciu zróżnicowanych broni oraz taktyk.
11603:  Niech na elitarną grupę przystały, jest niczna i unika rozgłosu.
11606:  Czyli tacy ninja, nie?
11608:  Większość poddanych Imperium nie zdaje sobie nawet sprawy z ich istnienia.
11610:  Wielu szturmowców czystki jest szkolnych w walce wręcz przy użyciu elektropałki.
11614:  Dzięki czemu są zwinnymi i śmiertelnymi przeciwnikami.
11625:  Dobrze, że się ich farmi.
11626:  O, to jest słuszna uwaga.
11630:  Co możemy zrobić?
11631:  Przetrwanie.
11633:  Wiecie co, tak.
11637:  Automatycznie podczas... O Jezus, to będzie cudowne.
11645:  Skoro strach jest drogą na ciemną stronę, czemu Jedi boją się ciemnej strony?
11648:  Wydaje mi się, żeby się bali.
11649:  To jeszcze kwestia ostrożności, ale dobra, odpocznijmy.
11656:  Potężna broń znana jako elektropałka.
11659:  Prawda?
11659:  Nie brzmi to.
11661:  Nie brzmi to zdecydowanie.
11662:  Dobrze.
11666:  Nie będziemy walczyć z tym dziwnym czymś.
11671:  Ale fakt faktem jest, powiem wam, że nie widziałem jeszcze gry, w której dobrze by zrobiono mapę wielopoziomową.
11677:  Ja już wiem, co musimy zrobić.
11685:  Pomóż mi, BD!
11719:  Co za chamstwo.
11723:  Co za chamstwo.
11727:  Zdobyto nowy materiał na poncho.
11729:  Świetnie.
11733:  Zobimy to w ten sposób.
11735:  Wendek przecież odpalił Prey.
11738:  I dobre jest.
11740:  Dużo osób poleca Prey.
11742:  I cyk, świnia w kanion.
11746:  Wziu było ładne.
11749:  Potrzebuję śniegu, BD.
11779:  Czemu funiki nie działają?
11780:  To jest coś, co mnie fascynuje od samego początku tej gry.
11792:  Tak, funiki ewidentnie nie działają.
11795:  Wciskam frenetycznie Ctrl i nic się nie dzieje.
11801:  Pretty fajny film.
11802:  Tak, to prawda.
11809:  Jaka następna gra?
11811:  Nie mamy w planach na razie.
11813:  Deus Exima Revolution jest jutro.
11820:  Niesamowite.
11839:  Nieprawdopodobne to jest, autentycznie.
11842:  Nie mam się jak nauczyć nawet tego.
11851:  Jak dotąd wychodziło mi totalnie przez przypadek.
11856:  Tu wszystko można kontrować?
11859:  Nawet nie będę próbował.
11880:  Zdecydowanie za mało dostałem doświadczenia jak na męki, które przeżywam.
11906:  Dobrze.
11916:  Nie czuję się tak świetnie, BD.
11917:  Wchodzą!
11918:  Target jest zablokowany przez atak.
11939:  Hmm, nawet nie wiedziałem, że można odbijać innego szturmowca.
11948:  Ciekawe.
11954:  Puuu.
11954:  Czy my się zbliżamy w ogóle do tego celu?
11958:  Nie, nie wiem, gdzie ja jestem.
11960:  Tak, zbliżamy się, dobrze.
11965:  Czyli teraz, teraz winda.
11971:  Czy Krzysztof grał pierwszego?
11972:  Oczywiście, wszystkie części.
11974:  Trójeczkę zawsze przechodzimy na zajęciach.
11976:  Jestem tym człowiekiem, który przeszedł Fallen Order na Wielkim Mistrzostwie bez ani jednej śmierci i jestem głęboko o tym przekonany.
11988:  Wszystko kwestia wyczucia, mechanik.
11991:  Bardziej mi imponuje jednak przejście Sekiro bez otrzymania jednego obrażenia.
11995:  Tak.
11999:  A jeszcze bardziej, wszystkich soulslajków równocześnie.
12002:  Bez otrzymania jednego wrażenia, bo są tacy.
12013:  Jezu, tak, jesteśmy blisko przed jamnikiem.
12016:  Uderz czołem, jamnik górą, chociaż dołem.
12017:  Tak jest, Robercie.
12019:  Dziękuję ci za zajamniczenie.
12021:  I za wsparcie od czterech miesięcy.
12024:  Dobrze, odpocznijmy, odpocznijmy, odpocznijmy, odpocznijmy, odpocznijmy, odpocznijmy.
12033:  Okej.
12033:  Uuu, tu są jakieś rzeczy niepoodkrywane, moi kochani.
12041:  Myśmy tu już byli dzisiaj, prawda?
12042:  Tak, myśmy tutaj zaczęli strumywać.
12047:  O nie, jak ja nie znoszę pływać.
12049:  Co ja w ogóle robię?
12050:  Usiłuję dotrzeć do obiektywu, Maćku.
12054:  To nie jest takie proste.
12060:  Wszystkie soslajki to nic przy pokonaniu wszystkich bossów Dark Souls 2 bez obrażeń.
12064:  Tylko, że Dark Souls 2 jest na tej liście, wiesz?
12066:  Wszystkich soslajków, które speedrunnerzy pokonują.
12069:  Niesamowite to jest, absolutnie.
12072:  Ogląda się to... Aaa... Nieprawdopodobny sposób... Myśmy tutaj byli i równocześnie... Aaa... To jest małpiatka numer dwa.
12087:  BD-1 wciąż wodoodporny?
12088:  Oczywiście.
12092:  Impressive, most impressive.
12094:  Czy jeszcze hrabiego duku potrzebujemy?
12102:  Nie, nie to.
12104:  Nie to.
12105:  Nie to.
12106:  Nie to.
12108:  To.
12111:  Czyśmy tutaj byli, czy nie?
12113:  Nie wydaje mi się.
12114:  Uuuuhuu!
12126:  Nie!
12127:  Tylko nie to!
12131:  Znowu tłoki!
12134:  Ja nie chcę tłoków!
12142:  Z drugiej strony jeszcze bardziej nie chcę walczyć z przerośniętą małpiatką.
12151:  Z trzeciej strony chyba walka z przerośniętą małpiatką jest konieczna.
12171:  A już wiem, co trzeba zrobić.
12172:  O Boże, to będzie przerażające.
12181:  To jest głupim tłokiem.
12182:  Głupi tłok!
12184:  Głupi tłok nie działa!
12187:  Czemu ten tłok nie działa?!
12193:  Może po prostu trzeba... Nie.
12205:  Nie wiem.
12207:  Coś robię źle.
12213:  Kiedyś było tak, że można było to wbiec.
12217:  Trzeba z poprzedniego tłoku...
12252:  Tak!
12253:  Tak!
12255:  Zwiększono maksymalne zdrowie!
12259:  Trochę tu tłoczno.
12267:  Tak!
12270:  Nigdy już tu nie wrócę!
12272:  Nigdy!
12273:  Nigdy!
12273:  Nigdy!
12274:  Nigdy!
12275:  Nigdy!
12276:  Nigdy!
12277:  Co?
12280:  Przestań!
12280:  Przestań!
12281:  Przestań!
12281:  Przestań!
12283:  Śmierć szczurów.
12292:  Nie!
12309:  Come on.
12312:  Dlaczego mnie nie leczy?
12314:  Dlaczego mnie nie leczy?
12318:  To jest jakiś kompletny absurd, po co ja to robię?
12324:  W zasadzie mógłbym w ogóle się nie uleczyć i wyszłoby na to samo.
12328:  Bip, powiedziała śmierć szczurów.
12330:  Szanuję Sara z Wiktorio za rozpoznanie śmierci szczurów.
12341:  PD-1 jest bezużyteczny.
12344:  Nie leczy nas, kiedy powinien.
12347:  Gdzie ja jestem?
12355:  Nie znoszę gier, w których musi się kończyć animacja, żeby się wykonała akcja.
12360:  To jest bez sensu.
12388:  Kolejny krok!
12390:  BD, potrzebuję pomocy!
12418:  Gra nie pozwala... ...właściwie wykonywać... ...poszczególnych rzeczy i mechanik, no to po prostu trzeba... ...grze powiedzieć, gdzie jest jej miejsce.
12434:  No...
12436:  Rex Helen pisze, że ostatnio podał mu w ręce książkę Neil Gaiman'a Nigdzie Bądź.
12439:  Czy to dobry tytuł na rozpoczęcie przygody?
12442:  Absolutnie.
12443:  Jest przepiękna.
12449:  Jest absolutnie przepiękna.
12457:  Nie wierzę, że ja walczę w tej chwili ze szczurem, a wygląda to mniej więcej tak jak walka Anakina z Obi-Wanem.
12466:  Jakie, jakie życie do tłoków?
12467:  O czym wy mówicie?
12469:  Przecież wziąłem tam życie.
12473:  No one.
12474:  Byliśmy tam.
12476:  Byliśmy tam.
12486:  Jak to nie?
12487:  Co wy mówicie?
12490:  Co z tego, że umarłem?
12492:  Jakie to ma znaczenie?
12495:  Co wy mówicie?
12499:  Nie ma tam nic.
12506:  Nie, nie, nie, nie, nie, nie ma tam nic już.
12508:  Wszystko jest w porządku.
12511:  Dobrze.
12513:  Musimy iść w to miejsce, nie mam pojęcia jak tam wyjść.
12518:  Chociaż może tędy.
12526:  Czaty nie trolują, czaty czasem bardzo dopominają się o jakąś rzecz i zwykle wtedy faktycznie jest to istotne, ale w tym konkretnym przypadku nie.
12538:  Dobra.
12541:  Tak, dobrze idziemy, dobrze idziemy.
12543:  Prodroid, oglądają nas, BD.
12554:  Ooo!
12556:  Jakie ładne!
12558:  Przykład, że nie odbija.
12565:  Znaczy, odbija i... Okej, w ten sposób.
12577:  Czyli ten miecz odbija po prostu obrażenia, ale nie rykoszytuje one wtedy.
12585:  Dopóki nie odkryjesz Force Pula, te sondy będą bólem na tyłku, pisze Rafał.
12589:  Tak będzie.
12591:  Sądzę o książkach z uniwersum Mass Effecta, pyta te Ketsu.
12593:  W końcu ogarnąłem komplet i zacząłem po kolei czytać.
12595:  Są mega w rozwinięciu fabuły i kontekstu gry.
12597:  Nie czytałem, nie czytałem, więc nie wiem.
12604:  Dygres, ja widzę, co piszesz, ale czasem jest tak, że jeżeli coś dotyczy tematu, który omijam zdecydowanie, to wtedy po prostu jak gramy, to gramy.
12613:  Mhm.
12620:  Chyba tędy, tak, to przyjdziemy.
12629:  Dobra.
12629:  Okej, okej.
12639:  Doktor Hu, przestałem oglądać po tym, jak David Tennant przestał się tam udzielać.
12647:  O Boże, ile tych sąd jest tutaj.
12651:  Ale już mamy opracowany sposób na nie.
12652:  Przecież to ktoś dał się trafić.
12659:  Kiedyś wyczuję ten timing.
12661:  Ale to nie... Ale to nie ten dzień.
12672:  Dobra, dało radę.
12676:  Matsmief to najlepszy doktor?
12677:  O, ja lubię Najwita Tenanta najbardziej.
12681:  Czy miecz... Dafa Malta, podwójny miecz świetlny, czy kij świetlny?
12686:  To jest kostur świetlny.
12687:  O Boże, to będzie trudne.
12701:  Oczywiście, że strzelają asynchronicznie.
12709:  CO?!
12709:  CO? !
12733:  Że te checkpointy po prostu nie... Nie wiedziałem, że wybuchają.
12744:  David ten ma wrócić w kolejnych sezonach?
12745:  Tak słyszałem, ale zrobili taki bałagan z doktorami i z Doctor Who w ogóle generalnie, że... W sensie to jest to, że w momencie, w którym się za dużo...
12758:  pogmatwa w lore i za bardzo zniszczy się jakiś uniwersum, to ludzie nie mają ochoty do tego wracać, nie?
12766:  I to jest to, co tak wiele osób mówiło, że bardzo by nie chciało, żeby się stało z Władcą Pierścieni.
12771:  Że franczyza umrze tak, jak i wiele przed nią.
12775:  Tutaj zabity przez sondy, prawda?
12777:  Bardzo logiczne.
12780:  Wcale to nie ma nic wspólnego z tym, że timing odbicia tego pocisku jest idiotyczny.
12813:  Ale się w końcu nauczyłem.
12816:  Rozpoznaję to po dźwięku mianowicie.
12821:  Czy zagłębiałem się w książkę o Uniwersum Gwiezdnych Wojen?
12824:  Tak, czytałem całą sagę Yuuzhan Vongów.
12827:  Ale nie czytałem już tych disneyowskich.
12836:  Tam se wybuchaj.
12839:  Dobrze.
12842:  Właśnie można sondę odepchnąć, tak.
12844:  Tylko wtedy spanikowałem.
12848:  To są w ogóle te sondy, które były w układzie Hoth, żeby było śmieszniej.
12876:  Co, co BD-1?
12877:  Co BD-1?
12877:  Co znalazłeś?
12880:  Imperialne sondy były wysłane wszędzie.
12884:  Dobrze.
12886:  Według jeszcze z nas Jedi mówicie złowrogi, imperialne, sondy szpiegowskie, zwane też probotami, co?
12892:  Stanowiły jednostki badawczo... Stanowiły!
12895:  O!
12895:  O!
12895:  O!
12896:  Stanowiły!
12897:  Wiecie, to od razu mi się przypomina ten mem z Kubusiem Puchatkiem, wiesz?
12900:  Wiecie, znaczy to jest tak.
12903:  Ma.
12906:  Stanowi.
12908:  Albo, nie wiem, ma.
12911:  Posiada.
12912:  O!
12912:  O!
12918:  Były jednostkami badawczo-zwiadowczymi Imperium Galaktycznego.
12921:  Lekko opatrzona maszyna wyposażona jest w sześć ramion zamocowanych do centralnego korpusu oraz liczne wysuwane czujniki służące do zbierania próbek.
12931:  Centralne rdzenie jednostki pokrywają odbiorniki i sensory o wysokiej rozdzielczości wykrywające ruch, dźwięk i fale sejsmiczne.
12940:  Rafał Alabrudziński przebił to wszystko.
12942:  Stanowi o posiadaniu.
12947:  Niech ktoś zrobi ten mem, będzie piękny.
12949:  Ja nie umiem robić memów.
12950:  Mieści on także holokamerę.
12951:  Jednostka wyposażona jest w czujnik atmosferyczny, w powietrzu zaś unosi się dzięki generatorowi repulsorowemu, który umożliwia poruszanie się na niemal każdym terenie.
12960:  Ich głównym zadaniem jest zwiad i obserwacja potencjalnych zagrożeń dla Imperium, w tym buntowników, poszukiwanych zbiegów i wysoko wyspecjalizowanych celów.
12970:  Han mówił, że mają mocny pancerz, w Imperium kontratakuje.
12972:  Han się nie znał.
12973:  Han się znał na przemycie, naprawdę?
12975:  Myślicie, że Han się znał na czymkolwiek innym?
12977:  Uuu, echo.
12987:  Okej, esencja zdrowia, super.
12990:  Battlefronta nie grałem, już wspomniałem wam o tym.
12993:  Zbojkotowałem grę z uwagi na mikrotransakcje.
12998:  Proszę bardzo.
13002:  Proszę bardzo.
13003:  Skrzyneczka!
13006:  Moja!
13010:  Moja, moja, moja!
13013:  Teraz to jest bardziej, biorąc pod uwagę to, co tutaj pokrywa ten silnik, to jest raczej moja, moja kupa gnoja i nic więcej.
13024:  Nie da się tam wyjść.
13027:  Zasmucające.
13040:  Co ty znowu znalazłeś, BD1?
13041:  To jest... Czy ten maszt jesteśmy w stanie... Za mało jest tutaj destrukcji otoczenia zdecydowanie, wiecie?
13049:  To jest moja... Moja jedyna uwaga.
13057:  Myślę, że idziemy blisko.
13058:  Zauważyłem to wcześniej.
13059:  To uczucie, że jestem w piasku.
13061:  Najpierw myślałem, że to jest grzyb w kuchni.
13065:  Teraz jest coraz silniejszy.
13069:  Myślę, że im bliżej jesteśmy, tym mniej się czuję.
13080:  Naprawdę bardzo lubię Kylo Rana.
13082:  Jakbym miał Miecz Świetlny, robiłbym to przez cały czas.
13085:  Czy są jakieś dalekosiężne plany co Uniwersum Gwiezdnych Wojen?
13088:  No Disney z pewnością chce, żeby jak najmniej ludzi się interesowało Gwiezdnymi Wojnami, ale mam nadzieję, że im się to nie uda.
13099:  Ktoś zresztą bardzo słusznie powiedział, że Disney potrafi tylko w tym momencie robić Reskin, reboot albo restart franchise, natomiast nie tworzy nic własnego, nie?
13109:  Pixar cały czas ma swoje własne pomysły, a Disney nie.
13112:  Disney ma pomysł tylko jak odgrzebać starą franczyzę i zrobić tak, żeby ludzie, którzy ją lubią, przestali ją lubić.
13121:  Odpocznij, a gdzie... Nie zauważyłem, dzięki czaty.
13132:  Nie spadnij za mną!
13160:  Yyy, co?
13167:  A, zobaczmy, może to coś dalej.
13170:  To jest wielkie działo, które się wbiło w rumowisko.
13177:  Coś tu można było zrobić przed... A, przyciążenie.
13180:  Ciekawe.
13186:  Czym jest Królena Śnieżka, Śpiąca Królena czy Kopciuszek Disney?
13188:  Na tym niemal powstał.
13189:  No tak, tak, Pusiu, jasne, ale problem polega na tym, że to było bardzo dawno temu, nie?
13194:  I teraz tylko potrafią cały czas odgrzewać kotlety, nie?
13200:  Skąd to przekonałeś, że dzisiaj nie chce, żeby się ludzie interesowali Star Warsami, w sensie, że nie ciekawi ich tylko kolejne produkty?
13207:  Robią absolutnie wszystko, żeby ludzie się przestali interesować Gwiezdnymi Wojnami, znaczy mają kaszmarne decyzje, absolutnie.
13213:  Najprostszy sposób, żeby ludzie się zaczęli interesować Gwiezdnymi Wojnami, to, nie wiem, pokazywać więcej Jediów i Sithów.
13220:  Starożytne Imperium Sithów, starożytne Imperium Jediów.
13222:  Fani już to wiedzieli od samego, nie wiem, od 10-15 lat.
13227:  A Disney stwierdza, hmm, zrobimy jeszcze jeden film o rebeliantach.
13231:  Ludzie na pewno chcą... Ja uważam, że jak ludzie piu, piu, piu, piu, piu w galaktyce, nikt tego wcześniej nie zrobił, nie?
13239:  O Boże.
13240:  Ileż można oglądać?
13256:  Ok, no więc plan jest taki, że... A, zapomniałem, że force pull nie działa na roboty, bo tak.
13266:  Nieprodukcyjny człowiek.
13266:  Inwador, zaznaczony na ofensy.
13284:  Dobra, jest jeden.
13287:  I punkt umiejętności, pięknie.
13296:  Nie tylko Andor, zobaczcie, Mandalorian, cały czas to samo.
13300:  Pustynne Tatooine na dżemnicy.
13303:  Andor na dżemnicy.
13305:  Nawet Rogue One, lubiany przeze mnie, to samo.
13307:  Cały czas kapitalizowany jest uniwersum na ludziach.
13313:  A nie na Sithach i nie na Jediach, ja tego nie jestem w stanie zrozumieć absolutnie.
13321:  Jest bardzo dużo dobrych fabuł science fiction i o wiele lepszych niż Gwiezdne Wojny, typu Dune'a, które robią to po prostu i zawsze będą robić to lepiej, więc nie jest dla mnie zrozumiałe, dlaczego decydenci, którzy odpowiadają za rozwój tego świata, nie kapitalizują na jego zaletach i atutach, tylko na tym, co jest przeciętne.
13348:  Jest taki film zresztą, jak jesteście tym zainteresowani, Disney doesn't understand lightsabers.
13354:  I on podsumowuje absolutnie wszystko, co mam w tej kwestii do powiedzenia.
13358:  Ja kocham świat Gwiezdnych Wojen, ale jestem zmęczony oglądaniem cały czas tego samego, nie?
13370:  Widzicie, że coś trzeba ulepszyć?
